C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:27:08

dec >=0&rah >=15.25&rah< 15.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3071

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 4634-352-1                                                                                           |High Proper Motion Star             |15 27 32.5886926632 +82 44 08.457733068|117.5047272040000 +32.6665077652772|-75.156 -99.278   |10.64    |~                 |    ~     ~    |    1|  103.580   pc  |  -0.1255     +0.1255  |paral   |2020yCat.1350....0G
23  |BD+86 231                                                                                                |Red Giant Branch star               |15 17 43.8238009680 +85 32 23.074742292|119.8435035633128 +30.6762863681439|   2.218 -2.749   |9.64     |G8                |    ~     ~    |    1|  555.124   pc  |  -3.5439     +3.5439  |paral   |2020yCat.1350....0G
24  |BD+85 260                                                                                                |Star                                |15 22 52.3338452592 +84 57 18.880460100|119.3198019927821 +31.0647218914806|   9.327 -4.608   |10.92    |K2                |    ~     ~    |    1| 1003.311   pc  | -10.0663    +10.0663  |paral   |2020yCat.1350....0G
25  |BD+85 261                                                                                                |Star                                |15 25 13.2174457560 +84 32 44.720027484|118.9639628298357 +31.3438775407904| -0.831 -10.765   |10.05    |~                 |    ~     ~    |    1|  656.642   pc  |  -5.0017     +5.0017  |paral   |2020yCat.1350....0G
26  |BD+85 262                                                                                                |Red Giant Branch star               |15 26 42.5238012048 +84 51 02.231221608|119.1650000493751 +31.0897834091570|  -10.967 9.669   |10.39    |K0                |    ~     ~    |    1| 1041.450   pc  | -11.8223    +11.8223  |paral   |2020yCat.1350....0G
27  |HD 141155                                                                                                |High Proper Motion Star             |15 27 10.4911027752 +84 49 30.848440980|119.1363823705701 +31.1021835839583| 13.199 -52.402   |6.87     |K0                |    ~     ~    |    1|  167.104   pc  |  -0.4216     +0.4216  |paral   |2020yCat.1350....0G
28  |HD 141263                                                                                                |Star                                |15 28 13.0994536272 +84 41 47.039895348|119.0167149187274 +31.1838901303677|   4.276 19.173   |9.05     |K                 |    ~     ~    |    1|  283.302   pc  |  -1.0354     +1.0354  |paral   |2020yCat.1350....0G
29  |V* TY UMi                                                                                                |Spectroscopic Binary                |15 17 57.4990796688 +83 51 34.073603712|118.6164084210890 +31.9896357836518|  -0.053 -5.001   |7.77     |F0                |    ~     ~    |    1|  117.744   pc  |  -0.3591     +0.3591  |paral   |2020yCat.1350....0G
30  |BD+84 346                                                                                                |Star                                |15 21 36.2644309656 +83 56 02.257281996|118.5834502345664 +31.8706443174621|  -1.461 -0.762   |9.47     |F2                |    ~     ~    |    1|  467.771   pc  |  -2.3850     +2.3850  |paral   |2020yCat.1350....0G
31  |BD+84 347                                                                                                |Star                                |15 25 20.1735858816 +83 50 29.534703684|118.4238608694244 +31.8771367394353|   0.795 -7.846   |10.34    |G0                |    ~     ~    |    1|  270.183   pc  |  -0.9928     +0.9928  |paral   |2020yCat.1350....0G
32  |BD+83 445                                                                                                |Star                                |15 20 39.2159284272 +83 05 07.457583480|117.9668581427867 +32.5404028529435|  -8.253 -2.826   |9.45     |G5                |    ~     ~    |    1|  529.297   pc  |  -2.7735     +2.7735  |paral   |2020yCat.1350....0G
33  |TYC 4638-22-1                                                                                            |Star                                |15 19 21.1869253920 +85 00 41.693906952|119.4309753956223 +31.0696039355618|  -17.723 7.247   |10.82    |~                 |    ~     ~    |    1|  390.533   pc  |  -1.5404     +1.5404  |paral   |2020yCat.1350....0G
34  |HD 140625                                                                                                |Double or Multiple Star             |15 25 47.5952655240 +84 30 14.119606980|118.9199927477494 +31.3668326058448|120.996 -25.049   |8.81     |~                 |0.0033  0.0    |    1|   64.353   pc  |  -1.1927     +1.1927  |paral   |2020yCat.1350....0G
35  |BD+79 465                                                                                                |Star                                |15 18 32.9033709336 +78 54 08.620400376|114.7655040586027 +35.7794829440594|   12.049 2.086   |10.10    |~                 |    ~     ~    |    1|  223.214   pc  |  -0.5780     +0.5780  |paral   |2020yCat.1350....0G
36  |BD+79 464                                                                                                |Star                                |15 15 11.2709490000 +78 31 15.384133236|114.6122884377415 +36.1759312715253| -10.691 -2.102   |10.66    |K2                |    ~     ~    |    1| 1105.950   pc  | -15.7783    +15.7783  |paral   |2020yCat.1350....0G
37  |BD+79 467                                                                                                |Star                                |15 29 36.0347394000 +78 36 47.292235380|114.0362931681021 +35.6275075845351|  -7.179 -9.687   |10.59    |K2                |    ~     ~    |    1|  266.603   pc  |  -3.2127     +3.2127  |paral   |2020yCat.1350....0G
38  |HD 137527                                                                                                |Star                                |15 18 11.4088478592 +78 23 38.395589604|114.3686922598526 +36.1740189569666|  4.668 -19.227   |7.32     |K2                |    ~     ~    |    1|  430.737   pc  |  -3.2469     +3.2469  |paral   |2020yCat.1350....0G
39  |BD+78 511                                                                                                |Star                                |15 19 09.6289522920 +78 10 43.796869104|114.1465115433343 +36.3028917220420|    3.497 8.087   |10.55    |F5                |    ~     ~    |    1|  443.164   pc  |  -2.2389     +2.2389  |paral   |2020yCat.1350....0G
40  |BD+78 512                                                                                                |Star                                |15 19 16.6901131464 +78 17 52.156275756|114.2388332238706 +36.2098753551630|   -0.387 5.457   |9.38     |K2                |    ~     ~    |    1| 1317.176   pc  | -22.0339    +22.0339  |paral   |2020yCat.1350....0G
41  |BD+78 513                                                                                                |Star                                |15 20 14.4537619176 +77 54 48.411634752|113.8750492178119 +36.4635045321920|  3.936 -10.341   |8.89     |K0                |    ~     ~    |    1|  484.168   pc  |  -3.0943     +3.0943  |paral   |2020yCat.1350....0G
42  |HD 138915                                                                                                |Star                                |15 26 48.5669090184 +78 10 39.135275652|113.7882883632663 +36.0386224462148|    3.445 6.864   |9.53     |A2                |    ~     ~    |    1|  371.113   pc  |  -3.9114     +3.9114  |paral   |2020yCat.1350....0G
43  |HD 139404                                                                                                |Star                                |15 29 23.9066384544 +78 19 50.969512956|113.8025929589495 +35.8368234917631|  -1.664 -7.346   |8.39     |K3III             |    ~     ~    |    1|  284.592   pc  |  -1.3121     +1.3121  |paral   |2020yCat.1350....0G
44  |BD+78 515                                                                                                |Star                                |15 20 54.8871774408 +77 45 15.667991100|113.7095111987368 +36.5576822928067|    3.926 2.066   |9.12     |K0                |    ~     ~    |    1|  424.520   pc  |  -2.3428     +2.3428  |paral   |2020yCat.1350....0G
45  |HD 137200                                                                                                |Star                                |15 17 20.3168373024 +77 11 09.625638732|113.4155438176636 +37.1101851955815| -18.192 10.522   |8.30     |A2                |    ~     ~    |    1|  205.015   pc  |  -4.7999     +4.7999  |paral   |2020yCat.1350....0G
46  |TYC 4560-280-1                                                                                           |High Proper Motion Star             |15 20 19.2655916352 +76 59 45.799191888|113.1008671327840 +37.1397940529407| -80.743 71.145   |10.38    |G5                |    ~     ~    |    1|  173.427   pc  |  -0.4271     +0.4271  |paral   |2020yCat.1350....0G
47  |BD+77 587                                                                                                |High Proper Motion Star             |15 26 29.4596498712 +76 54 13.287341412|112.7040812201159 +36.9678697134465| -38.953 66.333   |9.38     |G5                |    ~     ~    |    1|  164.897   pc  |  -0.2828     +0.2828  |paral   |2020yCat.1350....0G
48  |BD+77 588                                                                                                |Star                                |15 26 20.9806332192 +77 23 53.718299376|113.1407045216879 +36.6180106347630| -18.042 12.471   |10.67    |F5                |    ~     ~    |    1|  383.024   pc  |  -3.4623     +3.4623  |paral   |2020yCat.1350....0G
49  |TYC 4560-119-1                                                                                           |Star                                |15 23 57.9625639800 +77 25 29.599384548|113.2808433291487 +36.6882732308633|  -12.705 4.651   |10.06    |~                 |    ~     ~    |    1|  497.488   pc  |  -2.7472     +2.7472  |paral   |2020yCat.1350....0G
50  |TYC 4560-662-1                                                                                           |Star                                |15 27 53.2339083720 +76 29 36.903124068|112.2718385909086 +37.2039621146656|-29.934 -10.915   |10.72    |~                 |    ~     ~    |    1|  200.509   pc  |  -0.5267     +0.5267  |paral   |2020yCat.1350....0G
51  |GSC 04560-00741                                                                                          |Long-Period Variable Candidate      |15 19 32.5715880600 +77 12 35.999193384|113.3216444460093 +37.0108345736945|  -5.450 -8.085   |10.71    |~                 |    ~     ~    |    1| 2101.72    pc  | -82.1607    +82.1607  |paral   |2020yCat.1350....0G
52  |TYC 4560-1707-1                                                                                          |Star                                |15 28 10.1988234288 +77 10 10.699529988|112.8524136696994 +36.7119382201921| -29.182 37.423   |10.56    |~                 |    ~     ~    |    1|  341.367   pc  |  -9.7071     +9.7071  |paral   |2020yCat.1350....0G
53  |TYC 4560-2365-1                                                                                          |Star                                |15 27 42.8939213592 +76 39 18.860859972|112.4235468546866 +37.0962089886660|   1.014 -3.608   |10.84    |~                 |    ~     ~    |    1|  427.771   pc  |  -1.8665     +1.8665  |paral   |2020yCat.1350....0G
54  |TYC 4563-60-1                                                                                            |Star                                |15 17 46.7018000856 +77 30 45.579789576|113.6641557706745 +36.8497248685333|   -2.653 2.135   |9.50     |~                 |    ~     ~    |    1|  648.088   pc  |  -5.2502     +5.2502  |paral   |2020yCat.1350....0G
55  |TYC 4563-204-1                                                                                           |Star                                |15 16 30.9788594928 +78 47 53.591859312|114.7732561112983 +35.9225323247674|  13.738 10.527   |10.66    |~                 |    ~     ~    |    1|  389.636   pc  |  -1.8370     +1.8370  |paral   |2020yCat.1350....0G
56  |TYC 4563-347-1                                                                                           |Star                                |15 23 42.2763076896 +77 37 19.318585296|113.4617393521590 +36.5541609128063|   0.337 -8.739   |10.98    |~                 |    ~     ~    |    1|  700.329   pc  |  -5.9346     +5.9346  |paral   |2020yCat.1350....0G
57  |TYC 4563-382-1                                                                                           |Star                                |15 18 44.3497851312 +77 45 29.794240332|113.8196102505862 +36.6318865792593|    8.038 2.158   |10.78    |~                 |    ~     ~    |    1|  761.209   pc  |  -5.7944     +5.7944  |paral   |2020yCat.1350....0G
58  |TYC 4563-459-1                                                                                           |Star                                |15 27 36.4651873800 +77 37 45.597308664|113.2797325238224 +36.4046232524211| -5.967 -17.983   |10.84    |~                 |    ~     ~    |    1|  300.924   pc  |  -1.1591     +1.1591  |paral   |2020yCat.1350....0G
59  |TYC 4563-722-1                                                                                           |Star                                |15 29 55.2830095224 +77 44 19.591473372|113.2654934701958 +36.2401019672728|  -7.861 14.890   |10.15    |~                 |    ~     ~    |    1|  411.929   pc  | -31.4937    +31.4937  |paral   |2020yCat.1350....0G
60  |TYC 4563-933-1                                                                                           |Star                                |15 20 48.2035133328 +77 32 18.193732908|113.5338716383547 +36.7214321257583|   17.70 -19.40   |10.72    |~                 |    ~     ~    |    0|                |                       |        |                   
61  |TYC 4563-1034-1                                                                                          |Star                                |15 18 26.6549042088 +77 56 33.178639524|113.9863222930314 +36.5043337539267|  1.132 -27.515   |10.39    |~                 |    ~     ~    |    1|  191.333   pc  |  -0.4283     +0.4283  |paral   |2020yCat.1350....0G
62  |TYC 4563-1134-1                                                                                          |Star                                |15 25 12.4286598192 +77 49 22.388654604|113.5604692740189 +36.3531246535633|  -19.495 4.421   |10.58    |~                 |    ~     ~    |    1|  325.288   pc  |  -1.3332     +1.3332  |paral   |2020yCat.1350....0G
63  |TYC 4563-2047-1                                                                                          |Star                                |15 29 46.9633319280 +78 40 18.976996740|114.0788076082048 +35.5791017551561|   -6.511 9.762   |10.85    |~                 |    ~     ~    |    1|  522.985   pc  |  -4.3215     +4.3215  |paral   |2020yCat.1350....0G
64  |TYC 4563-2184-1                                                                                          |Star                                |15 27 21.9891637248 +78 26 34.977441300|113.9894739426158 +35.8270667295344|  -6.766 17.989   |10.72    |~                 |    ~     ~    |    1|  350.214   pc  |  -1.5331     +1.5331  |paral   |2020yCat.1350....0G
65  |GSC 04563-02329                                                                                          |Double or Multiple Star             |15 17 50.9415282720 +78 17 01.147598844|114.2947099237651 +36.2684183694095|  -7.195 13.578   |10.679   |~                 |    ~     ~    |    1|  988.826   pc  | -11.4400    +11.4400  |paral   |2020yCat.1350....0G
66  |TYC 4563-2466-1                                                                                          |Star                                |15 29 35.7011564808 +78 44 51.570423960|114.1517575639357 +35.5311884053245|   -7.056 2.621   |10.91    |~                 |    ~     ~    |    1|  843.028   pc  | -18.1228    +18.1228  |paral   |2020yCat.1350....0G
67  |BD+81 507                                                                                                |Star                                |15 17 03.3613935504 +81 08 52.131650172|116.5990264507289 +34.1098610402291|    3.723 9.232   |10.60    |F5                |    ~     ~    |    1|  315.856   pc  |  -1.3668     +1.3668  |paral   |2020yCat.1350....0G
68  |BD+81 509                                                                                                |Star                                |15 19 48.3211975536 +81 08 30.702717528|116.4965600532889 +34.0464003852493| -37.115 27.481   |8.81     |K2                |    ~     ~    |    1|  313.028   pc  |  -1.5580     +1.5580  |paral   |2020yCat.1350....0G
69  |HD 138366                                                                                                |High Proper Motion Star             |15 20 32.0423533104 +81 02 35.478302460|116.3933058528571 +34.1031220536260|  -7.194 60.970   |7.31     |G5                |    ~     ~    |    1|  174.046   pc  |  -0.4271     +0.4271  |paral   |2020yCat.1350....0G
70  |BD+81 511                                                                                                |Spectroscopic Binary                |15 21 58.5402684624 +81 02 02.898371508|116.3348553585434 +34.0732837101674|   0.799 -2.246   |9.52     |K0                |    ~     ~    |    1|  634.196   pc  | -12.3879    +12.3879  |paral   |2020yCat.1350....0G
71  |BD+81 515                                                                                                |Star                                |15 25 48.5130595224 +80 53 48.139033272|116.0888604844617 +34.0763528830533|  -2.620 -8.685   |10.23    |K5                |    ~     ~    |    1| 1355.197   pc  | -20.7531    +20.7531  |paral   |2020yCat.1350....0G
72  |BD+81 516                                                                                                |Star                                |15 28 50.8449672720 +80 36 50.805278280|115.7493339384819 +34.2019695481041|   6.981 17.284   |9.41     |K2                |    ~     ~    |    1|  444.425   pc  |  -2.5282     +2.5282  |paral   |2020yCat.1350....0G
73  |HD 139951                                                                                                |Star                                |15 29 53.8756056384 +80 46 15.818935224|115.8415092979728 +34.0583897840887|   15.919 9.435   |6.940    |K0                |    ~     ~    |    1|  182.482   pc  |  -0.4662     +0.4662  |paral   |2020yCat.1350....0G
74  |BD+81 508                                                                                                |Star                                |15 17 44.2440466464 +80 56 55.356289620|116.4204353895178 +34.2459329893691|  -25.687 9.048   |9.89     |F                 |    ~     ~    |    1|  206.778   pc  |  -0.4661     +0.4661  |paral   |2020yCat.1350....0G
75  |BD+81 513                                                                                                |Star                                |15 24 13.4550432936 +80 32 16.697543460|115.8562452937495 +34.3858415339263|  -10.424 6.745   |10.13    |K2                |    ~     ~    |    1|  691.372   pc  |  -7.4089     +7.4089  |paral   |2020yCat.1350....0G
76  |HD 137489                                                                                                |High Proper Motion Star             |15 16 09.1598208336 +80 25 21.745893576|116.0716975708001 +34.6910454130456|  59.073 52.299   |8.68     |G0                |    ~     ~    |    1|   37.886   pc  |  -0.1336     +0.1336  |paral   |2020yCat.1350....0G
77  |HD 138405                                                                                                |Star                                |15 21 26.1065790288 +80 27 58.257142848|115.9031495582984 +34.5158270049238|   -6.513 9.029   |8.86     |F8                |    ~     ~    |    1|  329.859   pc  |  -6.8331     +6.8331  |paral   |2020yCat.1350....0G
78  |HD 139305                                                                                                |Star                                |15 27 25.6854540192 +79 45 55.145087280|115.0998276831964 +34.8636457035862| -11.700 -2.259   |8.89     |A0                |    ~     ~    |    1|  344.187   pc  |  -2.1916     +2.1916  |paral   |2020yCat.1350....0G
79  |BD+80 479                                                                                                |Star                                |15 29 15.4043382240 +79 39 31.782176568|114.9383736479624 +34.8851141628876|   -1.213 2.212   |10.01    |K0                |    ~     ~    |    1|  653.894   pc  |  -4.1903     +4.1903  |paral   |2020yCat.1350....0G
80  |HD 138321                                                                                                |Star                                |15 22 13.1899271280 +79 19 39.024174936|114.9517516397655 +35.3461279845875|-18.592 -22.742   |9.12     |K                 |    ~     ~    |    1|  226.979   pc  |  -0.7470     +0.7470  |paral   |2020yCat.1350....0G
81  |TYC 4563-156-1                                                                                           |High Proper Motion Star             |15 25 23.1995472648 +79 49 58.999904976|115.2367629780765 +34.8752661225490|  0.564 -60.801   |10.96    |~                 |    ~     ~    |    1|  303.334   pc  |  -1.0213     +1.0213  |paral   |2020yCat.1350....0G
82  |TYC 4563-2105-1                                                                                          |Star                                |15 16 29.7543431472 +79 51 32.452799976|115.6171980843685 +35.1141607585902|   3.202 -2.477   |10.70    |~                 |    ~     ~    |    1|  998.104   pc  | -11.8549    +11.8549  |paral   |2020yCat.1350....0G
83  |TYC 4563-2352-1                                                                                          |Star                                |15 25 22.2624526464 +79 52 56.202562056|115.2778687813151 +34.8394104983537|   -5.446 5.088   |10.50    |~                 |    ~     ~    |    1|  649.013   pc  |  -3.9595     +3.9595  |paral   |2020yCat.1350....0G
84  |TYC 4566-146-1                                                                                           |Star                                |15 24 16.7797141704 +80 13 48.802120464|115.6047535169124 +34.6133437682503|  10.686 -3.502   |10.28    |~                 |    ~     ~    |    1|  212.035   pc  |  -1.0430     +1.0430  |paral   |2020yCat.1350....0G
85  |TYC 4566-170-1                                                                                           |Star                                |15 22 27.3163284264 +80 15 25.551579060|115.6965906914718 +34.6447343124721|   7.155 -1.618   |10.91    |~                 |    ~     ~    |    1| 1062.361   pc  | -32.0525    +32.0525  |paral   |2020yCat.1350....0G
86  |TYC 4566-182-1                                                                                           |Star                                |15 25 55.4436217200 +80 15 57.772131660|115.5713204949231 +34.5400339061072|   -1.689 0.042   |10.45    |~                 |    ~     ~    |    1| 1487.652   pc  | -31.4262    +31.4262  |paral   |2020yCat.1350....0G
87  |TYC 4566-1972-1                                                                                          |Star                                |15 19 28.7868533328 +80 07 08.813971308|115.7024100257809 +34.8320443689082| -3.691 -19.250   |10.40    |~                 |    ~     ~    |    1|  323.426   pc  |  -1.2657     +1.2657  |paral   |2020yCat.1350....0G
88  |BD+76 562                                                                                                |Star                                |15 25 00.2133451224 +75 35 59.735783148|111.6351451351599 +37.9617486525565|    0.549 3.126   |9.87     |K2                |    ~     ~    |    1| 1055.632   pc  | -12.0351    +12.0351  |paral   |2020yCat.1350....0G
89  |HD 136918                                                                                                |Spectroscopic Binary                |15 16 47.0294232768 +75 15 33.749661996|111.8147312009606 +38.5644713082422| -24.364 12.702   |8.16     |G5                |    ~     ~    |    1|  326.083   pc  |  -6.7307     +6.7307  |paral   |2020yCat.1350....0G
90  |BD+75 565                                                                                                |Star                                |15 21 53.7988186344 +75 24 24.726436056|111.6416573370238 +38.2356956335836|   7.917 -7.382   |9.41     |K0                |    ~     ~    |    1|  533.703   pc  |  -2.9338     +2.9338  |paral   |2020yCat.1350....0G
91  |BD+75 559                                                                                                |Star                                |15 16 42.9726544488 +74 53 58.101701820|111.5073078377809 +38.8327693815868|   38.397 5.272   |9.56     |F5                |    ~     ~    |    1|  167.448   pc  |  -0.3084     +0.3084  |paral   |2020yCat.1350....0G
92  |HD 137292                                                                                                |High Proper Motion Star             |15 18 50.0681697048 +74 51 29.041375896|111.3412821736846 +38.7690786096893| -46.884 18.274   |7.62     |K2                |    ~     ~    |    1|  221.548   pc  |  -0.8737     +0.8737  |paral   |2020yCat.1350....0G
93  |BD+75 562                                                                                                |Star                                |15 20 16.0016375232 +75 07 45.190748892|111.4931313630834 +38.5082144878533|  -21.146 1.040   |9.77     |G5                |    ~     ~    |    1| 2030.457   pc  | -47.4117    +47.4117  |paral   |2020yCat.1350....0G
94  |BD+75 563                                                                                                |High Proper Motion Star             |15 21 27.8642108160 +74 45 32.068088352|111.0936296440354 +38.7220853340549| -35.971 46.744   |9.84     |F5                |    ~     ~    |    1|  158.864   pc  |  -0.4391     +0.4391  |paral   |2020yCat.1350....0G
95  |BD+75 564                                                                                                |Star                                |15 22 24.6448787736 +74 38 07.782944712|110.9259651632293 +38.7671280840531|   6.115 -2.621   |10.58    |F8                |    ~     ~    |    1|  171.095   pc  |  -0.4713     +0.4713  |paral   |2020yCat.1350....0G
96  |HD 137971                                                                                                |Star                                |15 22 28.4878878840 +75 23 29.972084532|111.5947917302128 +38.2214301481899|    2.433 2.772   |8.48     |K0                |    ~     ~    |    1|  463.779   pc  |  -3.3339     +3.3339  |paral   |2020yCat.1350....0G
97  |BD+75 567                                                                                                |Spectroscopic Binary                |15 24 32.6339651640 +75 27 07.483127364|111.5296375794402 +38.0873517189719| 29.225 -67.166   |9.44     |F0                |    ~     ~    |    1|  170.532   pc  |  -4.7751     +4.7751  |paral   |2020yCat.1350....0G
98  |BD+75 568                                                                                                |Star                                |15 26 22.8375679944 +74 34 02.772389640|110.6252202822933 +38.6293330641805| -12.695 12.373   |10.44    |G5                |    ~     ~    |    1| 1101.322   pc  | -16.0104    +16.0104  |paral   |2020yCat.1350....0G
99  |BD+75 569                                                                                                |Star                                |15 27 15.1355655312 +75 10 51.347884476|111.1317920645367 +38.1581909385659| -12.589 11.313   |9.21     |K2                |    ~     ~    |    1|  461.574   pc  |  -2.5566     +2.5566  |paral   |2020yCat.1350....0G
100 |BD+75 570                                                                                                |Star                                |15 27 28.9562224968 +75 15 20.948313564|111.1864282513890 +38.0951275323690|  -8.725 20.191   |10.18    |G0                |    ~     ~    |    1|  175.781   pc  |  -4.6070     +4.6070  |paral   |2020yCat.1350....0G
101 |HD 136919                                                                                                |Star                                |15 17 22.6182664008 +74 02 42.504934956|110.7156295957857 +39.4283499569040| -16.163 33.278   |6.681    |K0                |    ~     ~    |    1|  101.813   pc  |  -0.1607     +0.1607  |paral   |2020yCat.1350....0G
