C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
414 |HD 23391                                                                                                 |High Proper Motion Star            |03 44 49.9325738771 -00 45 26.594100680|187.9502979138693 -40.7804492843075|-5.790 -114.454   |8.96     |G3V                |    ~     ~          |    1|   98.0344  pc  |  -0.4286     +0.4286  |paral   |2018yCat.1345....0G
415 |HD 22420                                                                                                 |Star                               |03 36 21.6844304472 -01 34 06.702442140|187.1363041674213 -42.9652727581415| -2.402 -10.994   |8.96     |M0/1(III)          |    ~     ~          |    1|  741.565   pc  | -14.1879    +14.1879  |paral   |2020yCat.1350....0G
416 |BD-02 669                                                                                                |Star                               |03 36 30.0485375424 -01 31 44.566185396|187.1215294100299 -42.9137409474409|  7.159 -15.237   |10.14    |K0                 |    ~     ~          |    1|  608.458   pc  | -10.1440    +10.1440  |paral   |2020yCat.1350....0G
417 |HD 22616                                                                                                 |Star                               |03 38 16.3518357720 -01 44 40.520767272|187.7167744359102 -42.6862814438831|  -1.044 -5.618   |8.89     |A5IV               |    ~     ~          |    1|  215.827   pc  |  -2.7480     +2.7480  |ST-L    |2020AJ....160...83S
418 |HD 22639                                                                                                 |Star                               |03 38 25.5948509424 -01 34 13.746497628|187.5573533090182 -42.5519990378662|  -4.180 -4.395   |9.02     |A1V                |    ~     ~          |    1|  295.673   pc  |  -7.0810     +7.0810  |ST-L    |2020AJ....160...83S
419 |HD 22797                                                                                                 |Star                               |03 39 44.4384909504 -01 35 33.072915084|187.8451005752623 -42.3005784294550|  2.784 -31.393   |7.49     |K0III              |    ~     ~          |    1|  229.405   pc  |  -3.0102     +3.0102  |paral   |2020yCat.1350....0G
420 |HD 22890                                                                                                 |Star                               |03 40 28.0218045624 -01 34 31.715521968|187.9713754515491 -42.1440589585957|  -3.311 -3.039   |10.94    |F                  |    ~     ~          |    1|  404.204   pc  |  -3.1206     +3.1206  |paral   |2020yCat.1350....0G
421 |HD 22941                                                                                                 |Star                               |03 40 55.4664272160 -01 39 57.338962128|188.1607338425872 -42.1050377327262|-28.679 -34.130   |9.58     |F6V                |    ~     ~          |    1|  148.843   pc  |  -0.3456     +0.3456  |paral   |2020yCat.1350....0G
422 |HD 22640                                                                                                 |Star                               |03 38 23.9609260608 -01 54 22.055823504|187.9195714909961 -42.7562907153221|  32.774 -2.616   |9.375    |G8III/IV           |    ~     ~          |    1|  418.478   pc  | -10.6200    +10.6200  |ST-L    |2020AJ....160...83S
423 |HD 22654                                                                                                 |Star                               |03 38 33.9658143144 -02 04 48.599904000|188.1446089594317 -42.8252399451094|  -4.880 -9.544   |8.05     |A7V                |    ~     ~          |    1|  170.109   pc  |  -2.1050     +2.1050  |ST-L    |2020AJ....160...83S
424 |HD 22674                                                                                                 |High Proper Motion Star            |03 38 41.3263634424 -01 50 38.245114212|187.9094313336919 -42.6612153284083|  79.256 -3.170   |9.66     |G6V                |    ~     ~          |    1|  254.341   pc  |  -4.1390     +4.1390  |ST-L    |2020AJ....160...83S
425 |HD 22806                                                                                                 |Star                               |03 39 52.0116357696 -01 55 31.217763288|188.2342181343872 -42.4713364625880|  2.618 -21.482   |7.77     |K4III              |    ~     ~          |    1|  466.810   pc  |  -5.0555     +5.0555  |paral   |2020yCat.1350....0G
426 |AG-02 66                                                                                                 |Spectroscopic Binary Candidate     |03 40 09.3640170936 -01 53 48.319545480|188.2604194248287 -42.3960721054112|  16.550 -5.159   |7.27     |K0III              |    ~     ~          |    1|  329.511   pc  |  -5.7763     +5.7763  |paral   |2020yCat.1350....0G
427 |HD 22994                                                                                                 |Star                               |03 41 21.1 -01 56 35                   |188.5479 -42.1812                  |            ~ ~   |10.8     |G5                 |    ~     ~          |    0|                |                       |        |                   
428 |HD 23223                                                                                                 |High Proper Motion Star            |03 43 22.3917922320 -02 04 10.687502136|189.0823369888079 -41.8444161728429| -8.169 -62.594   |7.13     |K0III              |    ~     ~          |    1|  184.662   pc  |  -0.7638     +0.7638  |paral   |2020yCat.1350....0G
429 |HD 23262                                                                                                 |Star                               |03 43 36.3525971568 -02 04 40.223230680|189.1365422087071 -41.8018139622719|  40.324 -0.173   |7.33     |K5/M0III           |    ~     ~          |    1|  273.194   pc  |  -6.7097     +6.7097  |paral   |2020yCat.1350....0G
430 |HD 23315                                                                                                 |Star                               |03 44 06.8345905872 -01 58 18.468284520|189.1193745828549 -41.6369143201128| 26.585 -23.387   |8.35     |K2III              |    ~     ~          |    1|  519.238   pc  |  -5.5000     +5.5000  |paral   |2020yCat.1350....0G
431 |NGC 1410                           NGC 1410                                                              |Seyfert 2 Galaxy                   |03 41 10.7 -01 17 55                   |187.8123 -41.8370                  |            ~ ~   |15.22    |~                  | 1.2   1.1           |    0|                |                       |        |                   
432 |BD-02 682                                                                                                |Star                               |03 39 11.1006622968 -01 55 52.832232660|188.1047657740393 -42.6126290426471|   6.046 -6.702   |10.53    |~                  |    ~     ~          |    1|  680.596   pc  |  -8.1062     +8.1062  |paral   |2020yCat.1350....0G
433 |TYC 4717-852-1                                                                                           |Star                               |03 41 21.9232753464 -01 53 10.844080368|188.4885337961511 -42.1452347161382|   8.502 -2.317   |10.429   |~                  |    ~     ~          |    1|  809.382   pc  | -40.1300    +40.1300  |ST-L    |2020AJ....160...83S
434 |BD-02 708                                                                                                |Star                               |03 44 28.9038277920 -02 02 00.274040556|189.2577588164035 -41.5976910010942|   1.757 -1.226   |10.23    |~                  |    ~     ~          |    1|  719.528   pc  |  -7.8694     +7.8694  |paral   |2020yCat.1350....0G
435 |NGC 1409                           NGC 1409                                                              |Seyfert 2 Galaxy                   |03 41 10.546 -01 18 10.12              |187.816329 -41.840017              |            ~ ~   |     ~   |~                  | 0.93  0.74          |    0|                |                       |        |                   
436 |TYC 4716-737-1                                                                                           |Star                               |03 34 55.4789526528 -01 58 20.147814876|187.2866150404814 -43.4943297139168|   6.843 -4.684   |10.48    |~                  |    ~     ~          |    1|  345.220   pc  |  -6.3879     +6.3879  |paral   |2020yCat.1350....0G
437 |TYC 4716-802-1                                                                                           |Star                               |03 39 06.0722748288 -00 19 11.147955708|186.3446573368327 -41.6668847984963|  26.681 -6.762   |10.42    |~                  |    ~     ~          |    1|  530.560   pc  |  -4.6165     +4.6165  |paral   |2020yCat.1350....0G
438 |TYC 4716-816-1                                                                                           |Star                               |03 35 40.6691027616 -00 25 34.529262492|185.7577137791525 -42.4110417738985|    9.298 7.970   |10.9     |~                  |    ~     ~          |    1|  335.069   pc  |  -7.4060     +7.4060  |ST-L    |2020AJ....160...83S
439 |TYC 4716-823-1                                                                                           |Star                               |03 35 46.0623974640 -01 45 29.899927332|187.2233206126099 -43.1976248894874|   4.510 17.392   |10.54    |~                  |    ~     ~          |    1|  443.583   pc  | -12.1500    +12.1500  |ST-L    |2020AJ....160...83S
440 |TYC 4716-827-1                                                                                           |High Proper Motion Star            |03 35 57.0024699336 -02 08 26.624905296|187.6829251401442 -43.3884555089387|-25.109 -44.078   |10.78    |~                  |    ~     ~          |    1|  139.174   pc  |  -1.4870     +1.4870  |ST-L    |2020AJ....160...83S
441 |TYC 4716-881-1                                                                                           |Star                               |03 37 58.6239998976 -02 07 40.588190256|188.0790576562802 -42.9723182857030| 11.220 -13.071   |10.655   |~                  |    ~     ~          |    1|  306.945   pc  |  -6.0830     +6.0830  |ST-L    |2020AJ....160...83S
442 |TYC 4716-987-1                                                                                           |Star                               |03 37 27.7495207512 -02 10 54.356997288|188.0349296003379 -43.1079010642644| -7.854 -10.100   |10.20    |~                  |    ~     ~          |    1|  534.331   pc  |  -5.8815     +5.8815  |paral   |2020yCat.1350....0G
443 |TYC 4716-1274-1                                                                                          |Star                               |03 36 55.0781126472 -01 33 24.607297836|187.2369427695099 -42.8467464504457|   8.117 -6.008   |10.17    |~                  |    ~     ~          |    1|  666.267   pc  |  -7.9904     +7.9904  |paral   |2020yCat.1350....0G
444 |TYC 4717-293-1                                                                                           |Star                               |03 43 32.6953457640 -00 17 06.394821288|187.1962415103301 -40.7586069743608| 11.761 -13.433   |10.8     |~                  |    ~     ~          |    1|  426.840   pc  |  -2.5325     +2.5325  |paral   |2020yCat.1350....0G
445 |TYC 4717-808-1                                                                                           |Star                               |03 41 01.5109496880 -02 12 11.165720940|188.7688719593711 -42.3992594383025|  -11.073 4.372   |10.93    |~                  |    ~     ~          |    0|                |                       |        |                   
446 |TYC 4717-1075-1                                                                                          |Star                               |03 42 13.1600553312 -01 20 05.315748648|188.0574437315263 -41.6484757546900| -15.511 -3.029   |10.90    |~                  |    ~     ~          |    1|  208.280   pc  |  -5.1550     +5.1550  |ST-L    |2020AJ....160...83S
447 |TYC 4717-1192-1                                                                                          |Star                               |03 43 56.3236886760 -01 41 13.571697300|188.7757569503574 -41.5069814457784| 22.257 -14.335   |10.486   |~                  |    ~     ~          |    1|  720.015   pc  | -23.2200    +23.2200  |ST-L    |2020AJ....160...83S
448 |TYC 4717-1205-1                                                                                          |Star                               |03 41 06.5484109176 -01 42 12.094691652|188.2381195870111 -42.0897306021261| -4.615 -10.689   |10.83    |~                  |    ~     ~          |    1|  150.607   pc  |  -1.0524     +1.0524  |paral   |2018yCat.1345....0G
449 |TYC 4717-1217-1                                                                                          |Star                               |03 42 29.1994255680 -01 51 23.870689704|188.6765944061265 -41.9005731051688|  23.223 -8.739   |10.805   |~                  |    ~     ~          |    1|  763.941   pc  | -42.4500    +42.4500  |ST-L    |2020AJ....160...83S
450 |TYC 4717-1347-1                                                                                          |High Proper Motion Star            |03 41 11.8150946160 -01 50 40.414595352|188.4095928916796 -42.1548665981930| 39.487 -31.494   |10.90    |~                  |    ~     ~          |    1|  154.991   pc  |  -0.3940     +0.3940  |paral   |2020yCat.1350....0G
451 |HD 22341                                                                                                 |Star                               |03 35 44.1546713952 -04 21 44.452583676|190.1571691846849 -44.7216237089797|   6.780 -1.226   |9.40     |F2V                |    ~     ~          |    1|  352.008   pc  |  -8.4740     +8.4740  |ST-L    |2020AJ....160...83S
452 |HD 23144                                                                                                 |Star                               |03 42 43.5744065616 -04 36 19.906938072|191.7972560875341 -43.4154389075995|   2.577 11.749   |7.69     |A0V                |    ~     ~          |    1|  238.073   pc  |  -2.0121     +2.0121  |paral   |2020yCat.1350....0G
453 |BD-04 648                                                                                                |Star                               |03 42 11.4926053848 -04 30 06.766543908|191.5766856041481 -43.4688399959604|  -1.839 -0.785   |9.8      |~                  |    ~     ~          |    1| 3164.450   pc  |-457.0000   +457.0000  |ST-L    |2020AJ....160...83S
454 |HD 22232                                                                                                 |Star                               |03 34 40.8601960080 -02 18 18.593062488|187.6062981292007 -43.7412420026139|  2.379 -19.744   |9.07     |K1III              |    ~     ~          |    1|  440.878   pc  |  -4.2373     +4.2373  |paral   |2020yCat.1350....0G
455 |HD 22378                                                                                                 |Star                               |03 36 02.6746936584 -02 21 42.827601852|187.9478219573250 -43.5001843955532|   7.714 -0.165   |9.33     |ApSi               |    ~     ~          |    1|  444.662   pc  |  -4.8640     +4.8640  |paral   |2020yCat.1350....0G
456 |HD 22200                                                                                                 |Star                               |03 34 24.9453715032 -03 13 39.106159284|188.5896571382870 -44.3374458846072| 14.844 -25.879   |8.28     |K0II/III           |    ~     ~          |    1|  532.708   pc  |  -6.9526     +6.9526  |paral   |2020yCat.1350....0G
457 |HD 22240                                                                                                 |Star                               |03 34 53.9275848408 -03 24 43.104346452|188.8974850563668 -44.3467472716585| 34.806 -20.364   |7.51     |A7IV               |    ~     ~          |    1|  154.404   pc  |  -0.6675     +0.6675  |paral   |2020yCat.1350....0G
458 |HD 22272                                                                                                 |Star                               |03 34 58.5677426976 -02 35 20.271655428|187.9837568231396 -43.8496125924379|   5.131 -3.080   |10.38    |G8/K0              |    ~     ~          |    1|  795.229   pc  | -11.1300    +11.1300  |paral   |2020yCat.1350....0G
459 |HD 22300                                                                                                 |High Proper Motion Star            |03 35 19.0629242184 -02 50 07.446922260|188.3299556878142 -43.9254711010119|-32.047 -57.220   |9.73     |K1/2V              |    ~     ~          |    1|   52.227   pc  |  -0.0456     +0.0456  |paral   |2020yCat.1350....0G
460 |HD 22393                                                                                                 |Double or Multiple Star            |03 36 04.395 -03 20 06.02              |189.047106 -44.063320              |       -6.0 2.0   |9.742    |F3V                |    ~     ~          |    1|  371.408   pc  | -21.7300    +21.7300  |ST-L    |2020AJ....160...83S
461 |HD 22355                                                                                                 |High Proper Motion Star            |03 35 51.1723593024 -03 34 19.153749684|189.2723078844279 -44.2451942712254| 45.602 -21.173   |9.63     |F3/5V              |    ~     ~          |    1|  218.694   pc  |  -2.6560     +2.6560  |ST-L    |2020AJ....160...83S
462 |HD 22340                                                                                                 |High Proper Motion Star            |03 35 44.8396049184 -03 51 52.172665488|189.5856210982505 -44.4350358092891|-103.118 -181.547 |8.70     |G3V                |    ~     ~          |    1|   85.032   pc  |  -0.1388     +0.1388  |paral   |2020yCat.1350....0G
463 |BD-04 624                                                                                                |Star                               |03 34 35.9068627872 -04 18 34.959075732|189.8685431289833 -44.9247567051378|   2.905 -3.382   |9.93     |~                  |    ~     ~          |    1| 1556.420   pc  | -42.8773    +42.8773  |paral   |2020yCat.1350....0G
464 |BD-04 625                                                                                                |Star                               |03 34 37.5521280168 -04 01 25.614035220|189.5433918823702 -44.7555059809000|  -1.936 -6.076   |10.61    |~                  |    ~     ~          |    1|  663.306   pc  |  -6.5116     +6.5116  |paral   |2020yCat.1350....0G
465 |BD-03 575                                                                                                |Star                               |03 34 48.9731949888 -03 09 33.677925192|188.5937851172013 -44.2164867089827|    8.735 4.356   |10.13    |~                  |    ~     ~          |    1|  504.668   pc  |  -3.9477     +3.9477  |paral   |2020yCat.1350....0G
466 |BD-04 626                                                                                                |High Proper Motion Star            |03 35 16.6794248616 -04 15 34.592222880|189.9467785241366 -44.7570281552482| 72.323 -53.082   |10.61    |~                  |    ~     ~          |    1|  166.486   pc  |  -0.4296     +0.4296  |paral   |2020yCat.1350....0G
467 |BD-04 628                                                                                                |Star                               |03 35 42.8911270584 -04 00 52.768453860|189.7516108406779 -44.5277159751070|-17.227 -14.896   |10.668   |~                  |    ~     ~          |    1|  420.343   pc  | -12.3800    +12.3800  |ST-L    |2020AJ....160...83S
468 |BD-02 659                                                                                                |Star                               |03 34 48.2714060592 -02 24 10.083788964|187.7405059011754 -43.7742353032366|    5.890 0.161   |10.54    |~                  |    ~     ~          |    1| 1125.492   pc  | -43.3223    +43.3223  |paral   |2020yCat.1350....0G
469 |HD 22918                                                                                                 |Red Giant Branch star              |03 40 47.4325756214 -02 19 57.663358224|188.8653997988815 -42.5223694245919|374.329 -220.915  |6.95     |K1V                |    ~     ~          |    1|   48.8849  pc  |  -0.0542     +0.0542  |paral   |2020yCat.1350....0G
470 |HD 23161                                                                                                 |Star                               |03 42 46.5697483920 -02 21 38.665243188|189.2854206170426 -42.1345928503982|   7.621 -8.706   |9.36     |F2V                |    ~     ~          |    1|  198.741   pc  |  -2.0460     +2.0460  |ST-L    |2020AJ....160...83S
471 |HD 23279                                                                                                 |Star                               |03 43 46.2328312368 -02 20 15.490483728|189.4530919509783 -41.9184520191482|   7.639 10.480   |9.85     |K0/1(III)          |    ~     ~          |    1|  561.388   pc  |  -9.3917     +9.3917  |paral   |2020yCat.1350....0G
472 |HD 22454                                                                                                 |Star                               |03 36 34.0862221920 -02 48 59.265240300|188.5617703357590 -43.6612024893514|   18.864 2.780   |8.99     |K1III              |    ~     ~          |    1|  452.018   pc  |  -4.2294     +4.2294  |paral   |2020yCat.1350....0G
473 |HD 22529                                                                                                 |High Proper Motion Star            |03 37 19.0514337408 -02 35 40.562455992|188.4644406748693 -43.3796614734123|  25.815 58.805   |10.40    |F3V                |    ~     ~          |    1|  203.161   pc  |  -0.6769     +0.6769  |paral   |2020yCat.1350....0G
474 |HD 22549                                                                                                 |Star                               |03 37 25.8753296088 -03 22 04.260940068|189.3562921907181 -43.8056939524239|  -2.857 -6.526   |9.70     |M0/1(III)          |    ~     ~          |    1|  552.151   pc  |  -4.7560     +4.7560  |paral   |2020yCat.1350....0G
475 |HD 22581                                                                                                 |High Proper Motion Star            |03 37 50.712504 -03 25 19.53300        |189.500101943 -43.752465265        |     93.5 -28.0   |10.428   |G8/K0IV            |    ~     ~          |    1| 3049       pc  | +12.801      +5       |ST-L    |2017AJ....153...75K
476 |HD 22584                                                                                                 |High Proper Motion Star            |03 37 54.3922321368 -02 30 41.950124496|188.4902813818757 -43.2118307847099| 113.182 20.988   |9.644    |K1/2V              |    ~     ~          |    1|   46.039   pc  |  -0.0899     +0.0899  |paral   |2020yCat.1350....0G
477 |HD 22629                                                                                                 |High Proper Motion Star            |03 38 17.3190363960 -02 33 30.240177300|188.6188028368729 -43.1617123952398|  29.289 43.692   |8.50     |G0V                |    ~     ~          |    1|   70.964   pc  |  -0.3527     +0.3527  |ST-L    |2020AJ....160...83S
478 |HD 22641                                                                                                 |Star                               |03 38 20.8703704608 -03 17 06.323816580|189.4450087456286 -43.5710347219038|   0.481 -9.109   |9.83     |K0(III)            |    ~     ~          |    1|  524.925   pc  | -17.2100    +17.2100  |ST-L    |2020AJ....160...83S
479 |HD 22783                                                                                                 |Star                               |03 39 31.8573382512 -02 51 46.726135668|189.2054112220910 -43.0862316338101| 17.967 -12.056   |10.21    |A9/F0V             |    ~     ~          |    1|  299.563   pc  |  -1.8486     +1.8486  |paral   |2020yCat.1350....0G
480 |HD 22798                                                                                                 |High Proper Motion Star            |03 39 38.3470730400 -03 23 34.820140164|189.8216888354598 -43.3691083715832|-12.227 -67.318   |6.219    |K0III              |    ~     ~          |    1|  128.049   pc  |  -0.5968     +0.5968  |paral   |2020yCat.1350....0G
481 |HD 22879                                                                                                 |Chemically Peculiar Star           |03 40 22.0652879951 -03 13 01.124265616|189.7665700501556 -43.1192184487153|690.795 -213.443  |6.667    |G0VmF2             |    ~     ~          |    1|   26.0924  pc  |  -0.0209     +0.0209  |paral   |2020yCat.1350....0G
482 |HD 22904                                                                                                 |High Proper Motion Star            |03 40 34.8564946536 -03 00 45.545366952|189.5794406616775 -42.9583597641056| 40.955 -41.790   |10.19    |G2/3(V)            |    ~     ~          |    1|  173.515   pc  |  -0.5088     +0.5088  |paral   |2020yCat.1350....0G
483 |HD 22979                                                                                                 |High Proper Motion Star            |03 41 10.5058977456 -02 49 35.675709456|189.4883010754348 -42.7299630481409|-77.417 -136.303  |10.21    |K1/2               |    ~     ~          |    1|   50.805   pc  |  -0.0501     +0.0501  |paral   |2020yCat.1350....0G
484 |HD 23063                                                                                                 |Star                               |03 42 02.7814952976 -03 21 56.223660888|190.2603515025451 -42.8600604784589| -40.191 -6.718   |9.37     |G8IV               |    ~     ~          |    1|  188.818   pc  |  -0.6239     +0.6239  |paral   |2020yCat.1350....0G
485 |HD 23280                                                                                                 |High Proper Motion Star            |03 43 44.5151925552 -03 02 08.660874300|190.2189316686924 -42.3243249966677| 41.380 -79.243   |9.59     |G8IV/V             |    ~     ~          |    1|  143.532   pc  |  -0.3564     +0.3564  |paral   |2020yCat.1350....0G
486 |HD 23364                                                                                                 |Star                               |03 44 30.8948379552 -03 29 52.330811856|190.8824420853821 -42.4269397199176|  5.664 -11.797   |8.83     |K0III              |    ~     ~          |    1|  377.216   pc  |  -3.0308     +3.0308  |paral   |2020yCat.1350....0G
487 |HD 22432                                                                                                 |Star                               |03 36 27.9184543608 -03 37 58.444226256|189.4645493838859 -44.1553827237344|    8.646 1.135   |8.53     |K0III              |    ~     ~          |    1|  366.730   pc  |  -4.0751     +4.0751  |paral   |2020yCat.1350....0G
488 |HD 22698                                                                                                 |Star                               |03 38 50.0885730984 -03 42 12.129712236|190.0149131417281 -43.7111379390718| -0.944 -13.409   |9.77     |K1/2               |    ~     ~          |    1| 1011.020   pc  | -59.5100    +59.5100  |ST-L    |2020AJ....160...83S
489 |HD 22784                                                                                                 |Star                               |03 39 41.2511853096 -03 47 05.875118376|190.2749321309018 -43.5826551481748|-18.322 -11.918   |9.58     |F3V                |    ~     ~          |    1|  269.139   pc  |  -4.2160     +4.2160  |ST-L    |2020AJ....160...83S
490 |HD 23198                                                                                                 |Star                               |03 43 09.9501975984 -03 34 28.554893904|190.7107753288811 -42.7482359119203|  -2.928 -4.465   |9.38     |G8/K0(III)(w)      |    ~     ~          |    1| 1110.124   pc  | -23.7849    +23.7849  |paral   |2020yCat.1350....0G
491 |HD 22588                                                                                                 |Star                               |03 38 04.6674724008 -04 19 54.399617400|190.5850896298429 -44.2231273072025|   24.345 8.548   |9.25     |K1/2III            |    ~     ~          |    1|  406.934   pc  |  -2.9973     +2.9973  |paral   |2020yCat.1350....0G
492 |HD 22745                                                                                                 |Star                               |03 39 18.4329931872 -04 18 18.834137964|190.7950072308099 -43.9549782025618|-20.167 -42.333   |9.88     |F7V                |    ~     ~          |    1|  273.172   pc  |  -1.8656     +1.8656  |paral   |2020yCat.1350....0G
493 |HD 22785                                                                                                 |Star                               |03 39 38.3247190872 -04 08 54.314889576|190.6798400228448 -43.7983573431738|    0.707 2.332   |9.54     |F5V                |    ~     ~          |    1|  154.928   pc  |  -0.4128     +0.4128  |paral   |2020yCat.1350....0G
494 |HD 22919                                                                                                 |Star                               |03 40 46.2055191600 -04 08 46.121539956|190.8968188297891 -43.5639212638049|-28.080 -21.693   |8.41     |A9V                |    ~     ~          |    1|  148.566   pc  |  -0.4326     +0.4326  |paral   |2020yCat.1350....0G
495 |HD 23112                                                                                                 |High Proper Motion Star            |03 42 28.2493184400 -03 51 25.887176964|190.8961270711000 -43.0507024829197|  2.923 -62.831   |9.54     |G3V                |    ~     ~          |    1|  148.379   pc  |  -0.3721     +0.3721  |paral   |2020yCat.1350....0G
496 |BD-04 652                                                                                                |Red Giant Branch star Candidate    |03 42 44.9566992216 -04 21 57.500631576|191.5275900334422 -43.2777307559430|  -0.596 -5.007   |9.68     |K0                 |    ~     ~          |    1|  453.700   pc  |  -6.1753     +6.1753  |paral   |2020yCat.1350....0G
497 |HD 23291                                                                                                 |Star                               |03 43 54.6947609568 -04 16 46.332281352|191.6498043302813 -42.9888172877412|   9.600 -0.443   |9.04     |A1V                |    ~     ~          |    1|  253.112   pc  |  -5.3600     +5.3600  |ST-L    |2020AJ....160...83S
498 |LP 653-25                                                                                                |Spectroscopic Binary               |03 41 09.9310693224 -03 29 50.554684608|190.2376645753943 -43.1158018827903|185.148 -49.084   |10.82    |~                  |    ~     ~          |    1|   90.829   pc  |  -0.6774     +0.6774  |ST-L    |2020AJ....160...83S
499 |BD-03 580                                                                                                |Star                               |03 36 23.8403526648 -02 57 55.038627144|188.6945942465663 -43.7826626489322| 18.965 -15.913   |10.423   |~                  |    ~     ~          |    1|  750.306   pc  | -25.6000    +25.6000  |ST-L    |2020AJ....160...83S
500 |BD-04 639                                                                                                |Star                               |03 39 00.0373631064 -03 57 21.172470156|190.3350919132006 -43.8207213604530|   9.769 -1.804   |10.440   |~                  |    ~     ~          |    1|  831.651   pc  | -34.2800    +34.2800  |ST-L    |2020AJ....160...83S
501 |BD-04 643                                                                                                |Star                               |03 39 44.0372474184 -04 19 07.590010764|190.8935770231016 -43.8746124183276| 13.668 -11.238   |10.52    |~                  |    ~     ~          |    1|  226.862   pc  |  -2.9880     +2.9880  |ST-L    |2020AJ....160...83S
502 |BD-04 645                                                                                                |Star                               |03 40 12.2204626104 -04 14 54.244332204|190.9040564612281 -43.7382006917218|  -2.943 -5.101   |9.91     |~                  |    ~     ~          |    1|  569.716   pc  | -23.6200    +23.6200  |ST-L    |2020AJ....160...83S
503 |BD-03 594                                                                                                |Star                               |03 40 58.1139423120 -02 53 51.636496416|189.5270546747162 -42.8130611890382|   5.100 11.914   |10.568   |~                  |    ~     ~          |    1|  326.599   pc  | -10.1200    +10.1200  |ST-L    |2020AJ....160...83S
504 |BD-02 695                                                                                                |Star                               |03 41 20.7447669072 -02 24 45.637107624|189.0629515714970 -42.4559609455828|   6.549 -0.707   |10.16    |~                  |    ~     ~          |    1|  706.871   pc  | -22.2500    +22.2500  |ST-L    |2020AJ....160...83S
505 |BD-04 654                                                                                                |Star                               |03 43 28.6684843416 -03 57 26.466310404|191.2020432335233 -42.8989890126253|  14.460 -8.648   |10.302   |~                  |    ~     ~          |    1|  256.788   pc  |  -3.8520     +3.8520  |ST-L    |2020AJ....160...83S
506 |BD-03 603                                                                                                |Star                               |03 44 02.5421053992 -02 36 26.401979880|189.8023652321510 -42.0179873220061|   -0.286 5.299   |10.49    |~                  |    ~     ~          |    1|  922.590   pc  |-281.9000   +281.9000  |ST-L    |2020AJ....160...83S
507 |BD-04 656                                                                                                |Star                               |03 44 11.4759728160 -03 57 59.790460500|191.3481414282402 -42.7566269631600|  21.485 10.420   |10.63    |~                  |    ~     ~          |    1|  241.043   pc  |  -3.7150     +3.7150  |ST-L    |2020AJ....160...83S
508 |BD-03 604                                                                                                |Star                               |03 44 23.3442530016 -02 41 06.402992316|189.9548971986565 -41.9915482715592|  14.858 -7.570   |10.34    |~                  |    ~     ~          |    1|  784.825   pc  | -47.5700    +47.5700  |ST-L    |2020AJ....160...83S
509 |BD-04 658                                                                                                |Star                               |03 44 33.6132112848 -03 51 33.570996696|191.2970374673098 -42.6203663793863| 34.784 -11.165   |10.53    |~                  |    ~     ~          |    1|  294.620   pc  |  -1.5971     +1.5971  |paral   |2020yCat.1350....0G
510 |BD-02 710                                                                                                |Star                               |03 44 59.4259031976 -02 22 23.916130356|189.7274597003290 -41.6897729693517| 16.281 -22.175   |10.17    |~                  |    ~     ~          |    1| 1281.830   pc  |-110.0000   +110.0000  |ST-L    |2020AJ....160...83S
511 |TYC 4719-570-1                                                                                           |Star                               |03 37 26.0867303256 -04 04 48.181567728|190.1689255999993 -44.2126755322089|   0.016 -4.382   |10.58    |~                  |    ~     ~          |    1| 1695.203   pc  | -50.2900    +50.2900  |paral   |2020yCat.1350....0G
512 |TYC 4719-320-1                                                                                           |Star                               |03 38 17.6138983032 -03 39 07.557451920|189.8498990886480 -43.7927138611195|  5.844 -10.985   |10.464   |~                  |    ~     ~          |    1|  755.387   pc  | -26.8600    +26.8600  |ST-L    |2020AJ....160...83S
513 |BD-03 596                                                                                                |Star                               |03 41 22.9731302256 -02 53 33.423157392|189.6024686032344 -42.7255271695873|   -1.272 2.742   |10.43    |~                  |    ~     ~          |    1|  734.445   pc  | -35.3700    +35.3700  |ST-L    |2020AJ....160...83S
514 |BD-03 601                                                                                                |High Proper Motion Star            |03 43 35.8319819256 -03 02 37.617367848|190.2000461087596 -42.3586055205401| -9.985 -50.241   |10.29    |~                  |    ~     ~          |    1|   59.889   pc  |  -0.2259     +0.2259  |ST-L    |2020AJ....160...83S
515 |BD-03 606                                                                                                |Star                               |03 44 40.4933074728 -03 28 00.647306508|190.8781626325542 -42.3764814104211| 44.783 -22.530   |10.33    |~                  |    ~     ~          |    1|  225.261   pc  |  -0.7561     +0.7561  |paral   |2020yCat.1350....0G
516 |BD-04 659                                                                                                |Star                               |03 44 53.9644392312 -04 22 28.635773592|191.9441679966538 -42.8364926785974|   8.098 -4.542   |10.49    |~                  |    ~     ~          |    1|  866.251   pc  | -12.5315    +12.5315  |paral   |2020yCat.1350....0G
