C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:38:27

dec< 0&rah >=3.5&rah< 3.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2851

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type     |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-------------------|---------------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 4716-300-1                                                                                           |Star                               |03 30 22.1137174272 -00 47 59.919922284|185.0460496577122 -43.6880706303523|   14.150 4.612   |10.5     |~                  |    ~     ~          |    1|  692.473   pc  |  -8.0559     +8.0559  |paral   |2020yCat.1350....0G
23  |TYC 4716-332-1                                                                                           |Star                               |03 31 30.9967521816 -00 55 59.624817204|185.4350877472065 -43.5439049382283|  20.649 -1.185   |10.6     |~                  |    ~     ~          |    1|  252.213   pc  |  -1.4503     +1.4503  |paral   |2020yCat.1350....0G
24  |TYC 4716-354-1                                                                                           |Star                               |03 30 19.0491176592 -00 01 54.273024156|184.2058472163040 -43.2207854795853| -15.504 16.403   |10.9     |~                  |    ~     ~          |    1|  263.915   pc  |  -1.2189     +1.2189  |paral   |2020yCat.1350....0G
25  |TYC 4716-433-1                                                                                           |Star                               |03 32 22.0156207392 -00 55 24.745121472|185.6040066959675 -43.3700174732052|  24.456 10.021   |10.9     |~                  |    ~     ~          |    1|  241.109   pc  |  -1.2034     +1.2034  |paral   |2020yCat.1350....0G
26  |HD 21977                                                                                                 |High Proper Motion Star            |03 32 25.9070293800 -04 21 39.921416136|189.4899129751954 -45.3970797557992|158.688 -86.591   |9.095    |G2/3V              |    ~     ~          |    1|   54.066   pc  |  -0.1855     +0.1855  |ST-L    |2020AJ....160...83S
27  |HD 22009                                                                                                 |Star                               |03 32 42.5351527368 -04 25 13.146373092|189.6154008482901 -45.3744384794770| -13.504 -7.667   |8.69     |K0III              |    ~     ~          |    1|  262.323   pc  |  -2.7594     +2.7594  |paral   |2020yCat.1350....0G
28  |HD 22076                                                                                                 |High Proper Motion Star            |03 33 25.1400976992 -04 23 04.221817188|189.7176460583567 -45.2087985530765|70.175 -110.235   |8.63     |G6/8V              |    ~     ~          |    1|  101.040   pc  |  -0.1838     +0.1838  |paral   |2020yCat.1350....0G
29  |HD 21823                                                                                                 |Star                               |03 30 58.9129999008 -02 28 08.824777932|187.0225890118875 -44.5810523180183|  20.494 -5.501   |8.98     |K1III              |    ~     ~          |    1|  365.925   pc  |  -2.9726     +2.9726  |paral   |2020yCat.1350....0G
30  |HD 21837                                                                                                 |Star                               |03 31 04.8667098504 -02 14 50.782572636|186.7946253963209 -44.4283342425424|-11.585 -26.411   |8.73     |K1III              |    ~     ~          |    1|  467.596   pc  |  -4.8102     +4.8102  |paral   |2020yCat.1350....0G
31  |HD 21745                                                                                                 |Star                               |03 30 14.7552650352 -02 58 45.972643728|187.4456563638793 -45.0328344920019| -8.500 -30.302   |9.36     |G1V                |    ~     ~          |    1|  169.869   pc  |  -0.5252     +0.5252  |paral   |2020yCat.1350....0G
32  |HD 21867                                                                                                 |Star                               |03 31 26.1662161608 -02 53 55.307835672|187.6027767110190 -44.7457306503501|  -4.494 -5.936   |8.91     |F3V                |    ~     ~          |    1|  118.083   pc  |  -0.6372     +0.6372  |paral   |2018yCat.1345....0G
33  |HD 21935                                                                                                 |Star                               |03 32 06.3243531600 -03 25 00.656931792|188.3319490330321 -44.9159702250152|    3.818 8.928   |9.68     |F7V                |    ~     ~          |    1|  231.417   pc  |  -2.3885     +2.3885  |paral   |2020yCat.1350....0G
34  |HD 22035                                                                                                 |Star                               |03 33 01.2769748856 -02 55 58.326280716|187.9699645462909 -44.4466520810317|  -3.803 -3.560   |9.03     |K0III              |    ~     ~          |    1|  436.738   pc  |  -3.1663     +3.1663  |paral   |2020yCat.1350....0G
35  |HD 22094                                                                                                 |Star                               |03 33 29.7795147840 -02 32 34.016796168|187.6283587186767 -44.1204109733122|   25.887 3.786   |8.71     |K0III              |    ~     ~          |    1|  313.529   pc  |  -2.1921     +2.1921  |paral   |2020yCat.1350....0G
