C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:15:54

dec >=0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4911

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |BD+45 54                                                                                                 |Star                              |00 18 25.2903144312 +46 22 04.138118472|117.0131184646011 -16.1241494866967|   36.653 3.940  |9.52     |F5                |    ~     ~    |    1|  237.473   pc  |  -2.1373     +2.1373  |paral   |2020yCat.1350....0G
24  |BD+45 55                                                                                                 |Star                              |00 18 36.2541636312 +46 22 17.027214060|117.0461349219725 -16.1247816801688| -16.660 -8.056  |9.28     |A2                |    ~     ~    |    1|  204.612   pc  |  -3.1274     +3.1274  |paral   |2020yCat.1350....0G
25  |BD+45 59                                                                                                 |Star                              |00 19 44.7184320240 +46 39 13.937351112|117.2868066471476 -15.8702038899868|  -6.916 -3.520  |10.07    |A0                |    ~     ~    |    1|  674.627   pc  | -11.4236    +11.4236  |paral   |2020yCat.1350....0G
26  |BD+45 61                                                                                                 |High Proper Motion Star           |00 19 50.4349507968 +46 43 22.726590276|117.3127987005429 -15.8037387162521|-47.686 -44.033  |10.37    |G0                |    ~     ~    |    1|  278.435   pc  |  -1.1939     +1.1939  |paral   |2020yCat.1350....0G
27  |BD+45 62                                                                                                 |Star                              |00 20 41.5449434160 +46 32 45.676644720|117.4405550715956 -15.9976463263389|   5.559 -2.830  |9.04     |K2                |    ~     ~    |    1|  636.132   pc  |  -6.7579     +6.7579  |paral   |2020yCat.1350....0G
28  |HD 1648                                                                                                  |Star                              |00 20 55.0038407160 +46 29 09.611835540|117.4726940295521 -16.0619677854153|  -6.258 -5.019  |7.95     |B9                |    ~     ~    |    1|  555.679   pc  | -12.8143    +12.8143  |paral   |2020yCat.1350....0G
29  |BD+45 65                                                                                                 |Star                              |00 20 58.8926705496 +46 31 29.965116648|117.4891936458595 -16.0246458930269|  -6.445 -5.110  |9.11     |A2                |    ~     ~    |    1|  554.847   pc  |  -6.1263     +6.1263  |paral   |2020yCat.1350....0G
30  |HD 1711                                                                                                  |Star                              |00 21 32.7813434184 +46 19 17.922622584|117.5640199829619 -16.2383196402495|  -6.424 -5.086  |8.46     |A0                |    ~     ~    |    1|  559.879   pc  |  -8.8710     +8.8710  |paral   |2020yCat.1350....0G
31  |BD+45 76                                                                                                 |Star                              |00 23 22.7093083104 +46 33 13.939001532|117.9186174339088 -16.0445609428153|  -0.142 -8.367  |8.98     |K5                |    ~     ~    |    1|  825.696   pc  | -13.0900    +13.0900  |paral   |2020yCat.1350....0G
32  |HD 1933                                                                                                  |Star                              |00 23 46.2541383936 +46 34 39.771555708|117.9911386639887 -16.0284441961055|  16.931 -6.718  |9.31     |A2                |    ~     ~    |    1|  280.599   pc  |  -1.5196     +1.5196  |paral   |2020yCat.1350....0G
33  |BD+45 45                                                                                                 |Star                              |00 15 59.9217105384 +46 09 47.160873684|116.5518491127459 -16.2691655760582| 13.041 -26.790  |8.78     |K0                |    ~     ~    |    1|  289.679   pc  |  -1.5692     +1.5692  |paral   |2020yCat.1350....0G
34  |BD+45 51                                                                                                 |Star                              |00 17 56.6158209792 +46 06 59.966640216|116.8927632759613 -16.3619658671985|   -2.812 1.811  |10.47    |K0                |    ~     ~    |    1|  917.263   pc  | -14.7240    +14.7240  |paral   |2020yCat.1350....0G
35  |HD 1374                                                                                                  |Star                              |00 18 09.2158718304 +46 12 51.526356516|116.9440031865445 -16.2700944000309| 30.347 -16.453  |6.816    |K0                |    ~     ~    |    1|  222.687   pc  |  -1.0017     +1.0017  |paral   |2020yCat.1350....0G
36  |BD+45 57                                                                                                 |Star                              |00 19 08.5413538008 +46 09 08.968234356|117.1122407935819 -16.3540019079901|  15.022 -1.620  |9.00     |K0                |    ~     ~    |    1|  420.822   pc  |  -3.0814     +3.0814  |paral   |2020yCat.1350....0G
37  |BD+45 60                                                                                                 |Star                              |00 19 45.1637004648 +45 54 07.149776364|117.1880701912735 -16.6160908654326|   2.144 -9.239  |10.90    |G0                |    ~     ~    |    1|  394.042   pc  |  -2.5464     +2.5464  |paral   |2020yCat.1350....0G
38  |BD+45 66                                                                                                 |Star                              |00 21 00.3916956600 +45 55 19.160456304|117.4164854219142 -16.6236120359465|  -2.455 -0.604  |10.40    |K5                |    ~     ~    |    1| 1484.561   pc  | -34.3812    +34.3812  |paral   |2020yCat.1350....0G
39  |BD+45 74                                                                                                 |Double or Multiple Star           |00 22 45.4163 +46 14 26.117            |117.7704287 -16.3435241            |  -0.882 -9.489  |9.99     |F2                |    ~     ~    |    0|                |                       |        |                   
40  |HD 1865                                                                                                  |Star                              |00 23 11.1552267600 +45 56 25.523750760|117.8114854990551 -16.6502504137457|  -6.640 -2.577  |9.66     |~                 |    ~     ~    |    1| 1260.081   pc  | -36.0431    +36.0431  |paral   |2020yCat.1350....0G
41  |HD 1092                                                                                                  |Star                              |00 15 22.0030535232 +45 31 47.135450748|116.3428803511896 -16.8799994025397|   5.714 -5.591  |9.66     |F0                |    ~     ~    |    1|  493.097   pc  |  -5.1303     +5.1303  |paral   |2020yCat.1350....0G
42  |HD 1121                                                                                                  |Star                              |00 15 44.9320267536 +45 32 37.972289076|116.4142125783962 -16.8757313645864| 18.200 -16.701  |8.24     |F0                |    ~     ~    |    1|  151.295   pc  |  -0.5997     +0.5997  |paral   |2020yCat.1350....0G
43  |HD 1158                                                                                                  |Star                              |00 16 07.4987948064 +45 27 09.268222500|116.4686923660586 -16.9755521851325|   6.664 -4.049  |8.61     |A0                |    ~     ~    |    1|  349.077   pc  | -10.0652    +10.0652  |paral   |2020yCat.1350....0G
44  |HD 1307                                                                                                  |Star                              |00 17 30.5764056168 +45 45 57.133983240|116.7650060466494 -16.6992244391598| 19.240 -43.274  |8.80     |G0                |    ~     ~    |    1|   96.639   pc  |  -0.1466     +0.1466  |paral   |2020yCat.1350....0G
45  |BD+44 56                                                                                                 |Star                              |00 18 37.8256710024 +45 24 07.068636288|116.9167598955274 -17.0862651947896| -0.762 -10.923  |9.62     |A5                |    ~     ~    |    1|  390.762   pc  |  -2.9012     +2.9012  |paral   |2020yCat.1350....0G
46  |HD 1614                                                                                                  |Double or Multiple Star           |00 20 33.0000842931 +45 30 32.103031740|117.2803579002230 -17.0236120326516| 64.528 -15.171  |7.010    |F5                |    ~     ~    |    1|  106.927   pc  |  -5.3953     +5.3953  |paral   |2018yCat.1345....0G
47  |BD+44 63                                                                                                 |Star                              |00 20 59.8394350536 +45 42 32.899131792|117.3874739930516 -16.8346474033956|   6.276 -4.029  |10.11    |A2                |    ~     ~    |    1|  328.526   pc  |  -1.9319     +1.9319  |paral   |2020yCat.1350....0G
48  |BD+44 65                                                                                                 |Star                              |00 21 13.7139535512 +45 15 35.345673432|117.3718228546095 -17.2855439400636|   40.903 9.682  |9.25     |G5                |    ~     ~    |    1|  274.363   pc  |  -1.2872     +1.2872  |paral   |2020yCat.1350....0G
49  |BD+44 69                                                                                                 |Star                              |00 22 30.4588938744 +45 41 26.486156328|117.6587157665068 -16.8846380240266|   27.427 0.311  |9.22     |A5                |    ~     ~    |    1|  432.152   pc  | -15.0151    +15.0151  |paral   |2020yCat.1350....0G
50  |HD 1081                                                                                                  |Star                              |00 15 16.2598420992 +45 10 45.172210008|116.2719081602167 -17.2243261700547|   0.574 -2.308  |8.31     |K0                |    ~     ~    |    1| 2044.572   pc  | -99.0725    +99.0725  |paral   |2020yCat.1350....0G
51  |HD 1093                                                                                                  |High Proper Motion Star           |00 15 25.4922521928 +45 01 32.497754124|116.2765360473021 -17.3801669125036|-28.036 -55.953  |8.48     |F8                |    ~     ~    |    1|   95.462   pc  |  -0.2843     +0.2843  |paral   |2020yCat.1350....0G
52  |BD+44 55                                                                                                 |Star                              |00 17 57.8763868992 +45 05 39.355529748|116.7519160818452 -17.3754410571746|-42.868 -10.282  |9.05     |K0                |    ~     ~    |    1|  233.492   pc  |  -0.9105     +0.9105  |paral   |2020yCat.1350....0G
53  |BD+44 59                                                                                                 |Star                              |00 19 36.4379889144 +44 56 43.228374108|117.0328749527709 -17.5615089149238|  27.015 -0.704  |9.45     |F2                |    ~     ~    |    1|  181.432   pc  |  -0.5366     +0.5366  |paral   |2020yCat.1350....0G
54  |HD 1602                                                                                                  |Star                              |00 20 28.3751388720 +44 56 20.994238428|117.1914124243843 -17.5871640499399|   8.364 -3.866  |8.49     |K0                |    ~     ~    |    1|  350.336   pc  |  -2.3442     +2.3442  |paral   |2020yCat.1350....0G
55  |HD 1670                                                                                                  |Star                              |00 21 10.5413891904 +44 56 14.480217852|117.3206354499151 -17.6044240995005|   -9.428 0.127  |7.55     |K2                |    ~     ~    |    1|  361.441   pc  |  -2.5867     +2.5867  |paral   |2020yCat.1350....0G
56  |HD 1728                                                                                                  |Star                              |00 21 42.0449948640 +44 53 37.256428248|117.4118595007620 -17.6591021536158|  18.956 -2.173  |9.43     |~                 |    ~     ~    |    1|  764.351   pc  | -14.3137    +14.3137  |paral   |2020yCat.1350....0G
57  |BD+44 70                                                                                                 |Double or Multiple Star           |00 22 32.7888689989 +44 55 35.990143377|117.5720019427592 -17.6441948056050| 20.417 -25.483  |9.07     |F8                |    ~     ~    |    0|                |                       |        |                   
58  |BD+46 54                                                                                                 |Star                              |00 19 25.4487456024 +47 12 21.233479356|117.3037149419399 -15.3157001092351|-28.300 -22.579  |9.840    |~                 |    ~     ~    |    1|  175.837   pc  |  -1.1842     +1.1842  |paral   |2020yCat.1350....0G
59  |TYC 3247-71-1                                                                                            |Star                              |00 20 43.8546943512 +45 34 56.844309180|117.3228065397179 -16.9545957033747|   8.329 -9.431  |10.86    |~                 |    ~     ~    |    1|  351.803   pc  |  -2.1411     +2.1411  |paral   |2020yCat.1350....0G
60  |TYC 3247-164-1                                                                                           |Star                              |00 22 25.2538944552 +45 20 29.550246000|117.6000618806829 -17.2295896104538| -20.809 -5.134  |10.21    |~                 |    ~     ~    |    1|  690.799   pc  |  -7.8738     +7.8738  |paral   |2020yCat.1350....0G
61  |TYC 3247-184-1                                                                                           |Star                              |00 21 24.2010653568 +45 17 34.325893572|117.4080096672142 -17.2564970856059|   3.773 -2.137  |10.23    |~                 |    ~     ~    |    1| 1924.557   pc  | -87.4125    +87.4125  |paral   |2020yCat.1350....0G
62  |TYC 3247-203-1                                                                                           |Star                              |00 20 04.4230098072 +45 35 25.510921476|117.2046050294835 -16.9322535942036|   7.997 -6.080  |10.92    |~                 |    ~     ~    |    1|  939.673   pc  | -11.9203    +11.9203  |paral   |2020yCat.1350....0G
63  |TYC 3247-226-1                                                                                           |Pulsating Variable                |00 22 09.5919682560 +45 14 22.148867688|117.5396847211607 -17.3255025027525|   3.165 -4.289  |10.73    |~                 |    ~     ~    |    1|  401.381   pc  |  -3.3510     +3.3510  |paral   |2020yCat.1350....0G
64  |TYC 3247-265-1                                                                                           |Star                              |00 22 22.9089002712 +45 38 57.514520400|117.6308233306279 -16.9231531717326|  -8.243 -7.616  |10.75    |~                 |    ~     ~    |    1|  596.019   pc  | -12.4333    +12.4333  |paral   |2020yCat.1350....0G
65  |TYC 3247-271-1                                                                                           |Spectroscopic Binary              |00 20 34.3445019144 +45 42 38.669462820|117.3107818756578 -16.8238594247280|  15.800 -4.658  |10.29    |~                 |    ~     ~    |    1|  360.620   pc  |  -2.3408     +2.3408  |paral   |2020yCat.1350....0G
66  |TYC 3247-275-1                                                                                           |Star                              |00 20 40.8684966360 +45 37 46.970520852|117.3199221064647 -16.9066227271141|  -1.415 14.522  |10.79    |~                 |    ~     ~    |    1|  576.402   pc  |  -4.6846     +4.6846  |paral   |2020yCat.1350....0G
67  |TYC 3247-377-1                                                                                           |Star                              |00 21 57.3539933184 +46 22 10.318260216|117.6430687377751 -16.1992383715024|  -2.601 -4.873  |10.02    |~                 |    ~     ~    |    1| 1165.637   pc  | -26.0872    +26.0872  |paral   |2020yCat.1350....0G
68  |TYC 3247-507-1                                                                                           |Star                              |00 22 04.7865261936 +46 19 59.033116164|117.6606667302211 -16.2379851977703|-15.108 -12.650  |10.36    |~                 |    ~     ~    |    1|  202.963   pc  |  -0.6344     +0.6344  |paral   |2020yCat.1350....0G
69  |TYC 3247-555-1                                                                                           |Star                              |00 19 55.4599048512 +46 14 56.411160936|117.2649937095982 -16.2757034540622|  -6.384 -5.195  |10.21    |~                 |    ~     ~    |    1|  557.787   pc  |  -7.8715     +7.8715  |paral   |2020yCat.1350....0G
70  |TYC 3247-604-1                                                                                           |Star                              |00 19 05.2237168416 +46 43 34.291607880|117.1801405705852 -15.7839436681138|    8.874 3.545  |10.68    |~                 |    ~     ~    |    1|  188.661   pc  |  -0.4698     +0.4698  |paral   |2020yCat.1350....0G
71  |TYC 3247-711-1                                                                                           |Star                              |00 19 45.7369459440 +46 11 02.618912400|117.2274027157633 -16.3365442341152|   1.186 -8.257  |10.86    |~                 |    ~     ~    |    1|  741.125   pc  |  -7.9094     +7.9094  |paral   |2020yCat.1350....0G
72  |TYC 3247-762-1                                                                                           |Star                              |00 15 33.6320754888 +46 32 07.099155204|116.5295713217643 -15.8899619627568|    1.057 1.354  |10.44    |~                 |    ~     ~    |    1|  853.461   pc  | -13.2568    +13.2568  |paral   |2020yCat.1350....0G
73  |TYC 3247-802-1                                                                                           |Star                              |00 20 45.9521447544 +46 36 54.286046568|117.4624649458814 -15.9306791019881|   0.065 -2.544  |9.98     |~                 |    ~     ~    |    1|  749.400   pc  |  -7.6378     +7.6378  |paral   |2020yCat.1350....0G
74  |TYC 3247-810-1                                                                                           |High Proper Motion Star           |00 18 26.3590728120 +46 37 00.636673404|117.0507050568848 -15.8777379787396| 48.403 -23.012  |10.51    |~                 |    ~     ~    |    1|  160.082   pc  |  -1.4940     +1.4940  |paral   |2020yCat.1350....0G
75  |TYC 3247-916-1                                                                                           |Star                              |00 17 35.3872406280 +46 31 31.652762016|116.8874833479871 -15.9486565045801|  17.110 -2.935  |10.34    |~                 |    ~     ~    |    1|  199.601   pc  |  -0.7211     +0.7211  |paral   |2020yCat.1350....0G
76  |TYC 3247-930-1                                                                                           |Star                              |00 19 42.6490815480 +46 30 34.436765736|117.2615355461228 -16.0125724521463|  -7.291 -7.127  |9.79     |~                 |    ~     ~    |    1|  628.180   pc  | -19.4148    +19.4148  |paral   |2020yCat.1350....0G
77  |TYC 3247-936-1                                                                                           |Star                              |00 21 21.0558701256 +46 42 43.280373780|117.5783751435597 -15.8467404395338|  -0.584 -8.098  |10.39    |~                 |    ~     ~    |    1|  479.157   pc  | -28.1249    +28.1249  |paral   |2020yCat.1350....0G
