C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:15:54

dec >=0&rah >=0.25&rah< 0.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4911

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1451|TYC 4015-1884-1                                                                                          |Star                              |00 27 26.9870863368 +60 57 33.233021892|120.0234406847837 -01.7769781455979|   1.654 -3.099  |10.43    |~                 |    ~     ~    |    1| 1103.266   pc  | -13.8760    +13.8760  |paral   |2020yCat.1350....0G
1452|TYC 4015-1994-1                                                                                          |Star                              |00 24 54.9925442472 +60 52 49.008973368|119.7092244637728 -01.8254076452933|   0.756 -1.152  |10.42    |~                 |    ~     ~    |    1|  835.282   pc  | -11.3725    +11.3725  |paral   |2020yCat.1350....0G
1453|TYC 4015-2015-1                                                                                          |Star                              |00 21 55.6989003672 +60 50 50.098347564|119.3438728237693 -01.8187498582523|  17.544 -6.727  |10.63    |~                 |    ~     ~    |    1|  470.987   pc  |  -4.3478     +4.3478  |paral   |2020yCat.1350....0G
1454|TYC 4015-2188-1                                                                                          |Star                              |00 29 31.2637603704 +60 51 59.834292732|120.2660517273842 -01.8916315762166|  -2.841 18.071  |9.83     |~                 |    ~     ~    |    1|  604.339   pc  |  -4.6749     +4.6749  |paral   |2020yCat.1350....0G
1455|TYC 4015-2198-1                                                                                          |Star                              |00 21 59.3118948576 +60 57 01.493254512|119.3629388256876 -01.7170959897354|   2.205 -3.121  |10.36    |~                 |    ~     ~    |    1|  607.755   pc  |  -4.6909     +4.6909  |paral   |2020yCat.1350....0G
1456|TYC 4015-2201-1                                                                                          |Star                              |00 25 47.1301399560 +61 10 21.150541884|119.8435314769420 -01.5452868251292|  -8.464 -0.584  |10.26    |~                 |    ~     ~    |    1|  627.943   pc  |  -8.7537     +8.7537  |paral   |2020yCat.1350....0G
1457|TYC 4015-2246-1                                                                                          |Star                              |00 27 40.2435886872 +61 07 10.993417392|120.0649502354619 -01.6196552279364|    8.647 1.851  |10.74    |~                 |    ~     ~    |    1|  744.214   pc  |  -8.1970     +8.1970  |paral   |2020yCat.1350....0G
1458|TYC 4015-2263-1                                                                                          |Star                              |00 25 05.0801888280 +60 33 18.714260196|119.6963463190101 -02.1508845323945|   4.821 -4.507  |10.41    |~                 |    ~     ~    |    1|  587.544   pc  |  -4.1770     +4.1770  |paral   |2020yCat.1350....0G
1459|GSC 04015-02295                                                                                          |Double or Multiple Star           |00 20 56.4995538048 +60 32 54.756023712|119.1891564551046 -02.1013971000338| 14.054 -15.636  |10.421   |~                 |    ~     ~    |    1|  331.994   pc  |  -1.4770     +1.4770  |paral   |2020yCat.1350....0G
1460|TYC 4015-2341-1                                                                                          |Star                              |00 24 24.4699236576 +60 36 59.043345264|119.6199721131173 -02.0814105883528|  -9.126 -6.062  |9.58     |~                 |    ~     ~    |    1|  524.191   pc  |  -3.4347     +3.4347  |paral   |2020yCat.1350....0G
1461|TYC 4015-2564-1                                                                                          |Star                              |00 21 58.1243439840 +60 29 54.377723544|119.3089104937380 -02.1658419631730|   0.042 -1.780  |10.84    |~                 |    ~     ~    |    1|  853.534   pc  | -28.3394    +28.3394  |paral   |2020yCat.1350....0G
1462|NGC 103 48                         NGC 103 48                                                            |Star                              |00 24 22.4551770984 +61 23 03.716602692|119.6964681622202 -01.3172508717780|  -9.897 -2.331  |10.89    |~                 |    ~     ~    |    1|  542.800   pc  |  -3.2115     +3.2115  |paral   |2020yCat.1350....0G
1463|TYC 4015-2758-1                                                                                          |Star                              |00 26 30.0788137320 +60 20 39.907979520|119.8493032861323 -02.3779900411742|  19.974 -0.439  |10.43    |~                 |    ~     ~    |    1|  171.488   pc  |  -0.3941     +0.3941  |paral   |2020yCat.1350....0G
1464|TYC 4015-2828-1                                                                                          |High Proper Motion Star           |00 21 53.1555559608 +60 07 17.561509752|119.2555696633419 -02.5390889855773|   50.103 5.327  |9.59     |~                 |    ~     ~    |    1|  423.424   pc  |  -3.1555     +3.1555  |paral   |2020yCat.1350....0G
1465|TYC 4015-2856-1                                                                                          |Star                              |00 20 45.7991768880 +60 09 08.605575000|119.1202502305184 -02.4921439992943|  -0.986 -1.139  |10.59    |~                 |    ~     ~    |    1| 1310.101   pc  | -24.3724    +24.3724  |paral   |2020yCat.1350....0G
1466|TYC 4015-2986-1                                                                                          |Star                              |00 23 22.7865395808 +60 05 06.411397992|119.4366660026454 -02.5960798480212|  -4.402 -1.802  |9.85     |~                 |    ~     ~    |    1|  607.201   pc  |  -5.1248     +5.1248  |paral   |2020yCat.1350....0G
1467|TYC 4015-3038-1                                                                                          |Star                              |00 23 41.4289201248 +60 13 47.453542572|119.4908041300276 -02.4563775412736|   1.619 -1.319  |10.62    |~                 |    ~     ~    |    1|  923.361   pc  | -11.0837    +11.0837  |paral   |2020yCat.1350....0G
1468|TYC 4015-3138-1                                                                                          |Star                              |00 22 33.0412046448 +60 11 29.366532384|119.3457482349704 -02.4789609760174|   -7.899 2.520  |10.90    |~                 |    ~     ~    |    1|  452.243   pc  |  -3.4155     +3.4155  |paral   |2020yCat.1350....0G
1469|TYC 4015-3260-1                                                                                          |Star                              |00 23 00.8514156000 +60 25 29.237436912|119.4287766173211 -02.2534833188004|   4.696 -4.687  |10.69    |~                 |    ~     ~    |    1|  731.475   pc  |  -5.8856     +5.8856  |paral   |2020yCat.1350....0G
1470|NGC 103 16                         V* V546 Cas                                                           |Eclipsing Binary                  |00 25 01.1351012448 +61 18 39.983762412|119.7657570701594 -01.3981244095382|  -2.800 -1.113  |13.93    |~                 |    ~     ~    |    1| 3152.585   pc  |-152.0635   +152.0635  |paral   |2020yCat.1350....0G
1471|IC 10                                                                                                    |Galaxy                            |00 20 23.16 +59 17 34.7                |118.97001 -03.33970                |            ~ ~  |9.5      |~                 | 8.0   7.0     |    1|    0.66    Mpc |                       |T-F     |2011ApJS..192....6L
1472|HD 1098                                                                                                  |Star                              |00 15 34.8001349280 +62 06 37.943713620|118.7518764384641 -00.4698337288399|   9.753 -4.855  |8.25     |G5                |    ~     ~    |    1|  276.419   pc  |  -1.4059     +1.4059  |paral   |2020yCat.1350....0G
1473|HD 1166                                                                                                  |Star                              |00 16 13.2801671040 +61 53 33.233995896|118.7964703059683 -00.6960855281657|   1.187 -8.156  |8.40     |G8III             |    ~     ~    |    1|  887.548   pc  | -26.0742    +26.0742  |paral   |2020yCat.1350....0G
1474|BD+61 37                                                                                                 |Star                              |00 19 40.8435046968 +61 48 48.014457192|119.1907749437470 -00.8275125442486|  -1.017 -0.823  |10.04    |B3V               |    ~     ~    |    1| 1408.451   pc  | -34.7153    +34.7153  |paral   |2020yCat.1350....0G
1475|HD 1544                                                                                                  |Star                              |00 20 05.5412076504 +62 03 58.699956096|119.2697249506518 -00.5823514037502|  -2.348 -1.219  |8.12     |B0.5III(n)        |    ~     ~    |    1| 2332.634   pc  |-128.9559   +128.9559  |paral   |2020yCat.1350....0G
1476|HD 1613                                                                                                  |Red Supergiant                    |00 20 43.5630912360 +61 52 46.543163376|119.3212008895723 -00.7766522951450|  -1.455 -0.385  |6.95     |M1Iab             |    ~     ~    |    1| 1156.203   pc  | -30.8802    +30.8802  |paral   |2020yCat.1350....0G
1477|BD+63 30                                                                                                 |Star                              |00 19 51.6216118920 +64 17 16.821896748|119.5143882404825 +01.6259939844091|   4.696 -1.636  |8.83     |G5                |    ~     ~    |    1|  492.150   pc  | -11.4324    +11.4324  |paral   |2020yCat.1350....0G
1478|BD+63 20                                                                                                 |Star                              |00 16 31.6967980776 +64 24 49.616793972|119.1728443949367 +01.7971280306992| -10.124 -1.442  |10.79    |~                 |    ~     ~    |    1|  522.384   pc  |  -3.7112     +3.7112  |paral   |2020yCat.1350....0G
1479|LS I +63 56                                                                                              |Star                              |00 15 03.7396503240 +63 32 44.843332200|118.8938339326250 +00.9596005432067|  -3.231 -1.189  |10.44    |OB-               |    ~     ~    |    1| 2155.637   pc  | -67.3782    +67.3782  |paral   |2020yCat.1350....0G
1480|BD+63 18                                                                                                 |Star                              |00 15 30.9559621512 +64 08 55.381423596|119.0276656801737 +01.5496150382637|  -2.504 -0.335  |10.3     |B0.2IIIe          |    ~     ~    |    1| 3144.654   pc  |-120.6440   +120.6440  |paral   |2020yCat.1350....0G
1481|Case 31                                                                                                  |Carbon Star                       |00 17 17.6671737840 +63 49 22.517254380|119.1767578374671 +01.2003941046492|   -2.797 0.264  |10.0     |C6,3              |    ~     ~    |    1| 2686.728   pc  |-148.7012   +148.7012  |paral   |2020yCat.1350....0G
1482|BD+63 22                                                                                                 |Star                              |00 17 28.9375908696 +63 49 59.019526956|119.1986306880914 +01.2077159618311|   -2.362 0.167  |10.24    |B8                |    ~     ~    |    1|  987.947   pc  | -12.4933    +12.4933  |paral   |2020yCat.1350....0G
1483|BD+63 26                                                                                                 |Star                              |00 18 59.2602431280 +63 53 04.806364812|119.3697379856478 +01.2375859154914|  -6.365 -3.075  |9.99     |A0                |    ~     ~    |    1|  571.755   pc  |  -9.4148     +9.4148  |paral   |2020yCat.1350....0G
1484|BD+63 27                                                                                                 |Spectroscopic Binary              |00 19 04.0542729216 +63 55 32.245477068|119.3835967871686 +01.2771151604119| 27.860 -19.624  |8.98     |G5                |    ~     ~    |    1|  372.550   pc  |  -5.7322     +5.7322  |paral   |2020yCat.1350....0G
1485|BD+63 28                                                                                                 |Star                              |00 19 26.0250278760 +63 49 36.342985512|119.4112779817459 +01.1740010874617|  -3.051 -0.511  |9.68     |B2                |    ~     ~    |    1| 2846.570   pc  |-143.4224   +143.4224  |paral   |2020yCat.1350....0G
1486|BD+63 31                                                                                                 |Star                              |00 21 04.4633180640 +63 52 06.960743148|119.5958277090127 +01.1937039044132|  -0.819 -0.959  |10.21    |K                 |    ~     ~    |    1| 1717.033   pc  | -40.0956    +40.0956  |paral   |2020yCat.1350....0G
1487|BD+63 35                                                                                                 |Star                              |00 22 11.7942722352 +64 03 09.103467312|119.7394283571837 +01.3621859143800|   11.882 2.492  |9.93     |A2                |    ~     ~    |    1|  598.587   pc  |  -5.4463     +5.4463  |paral   |2020yCat.1350....0G
1488|BD+62 31                                                                                                 |Spectroscopic Binary              |00 15 11.8748328432 +63 44 37.088957940|118.9365233525217 +01.1533728688034|  -2.936 -2.909  |9.87     |B2                |    ~     ~    |    0|                |                       |        |                   
1489|BD+62 35                                                                                                 |Star                              |00 16 10.1836058376 +63 13 04.581864840|118.9712598810436 +00.6177267193810|   7.751 -1.494  |10.38    |B9V               |    ~     ~    |    1|  392.172   pc  |  -2.3377     +2.3377  |paral   |2020yCat.1350....0G
1490|BD+62 37                                                                                                 |Double or Multiple Star           |00 16 31.249152 +63 07 47.00316        |118.998529874 +00.524949880        |       -5.8 0.7  |10.172   |B8V               |    ~     ~    |    0|                |                       |        |                   
1491|LS I +62 83                                                                                              |Star                              |00 16 50.5991091696 +62 53 56.086903140|119.0037493260785 +00.2913166558078|  -3.269 -1.345  |10.8     |OB-               |    ~     ~    |    1| 2002.804   pc  | -55.3549    +55.3549  |paral   |2020yCat.1350....0G
1492|HD 1238                                                                                                  |Star                              |00 16 57.3590724648 +63 33 10.739734488|119.1037294263595 +00.9378257990324|   0.443 -0.240  |7.88     |A0                |    ~     ~    |    1|  350.385   pc  |  -2.5413     +2.5413  |paral   |2020yCat.1350....0G
1493|BD+62 39                                                                                                 |Star                              |00 17 19.6087257144 +63 03 38.304621576|119.0796716746986 +00.4443106463058| 39.529 -11.213  |10.34    |F3V               |    ~     ~    |    1|  249.271   pc  |  -0.7643     +0.7643  |paral   |2020yCat.1350....0G
1494|HD 1287                                                                                                  |Star                              |00 17 18.7347329952 +62 49 33.137985504|119.0470383952461 +00.2118152643632| -32.200 29.411  |8.6      |A0V               |    ~     ~    |    1|  251.250   pc  |  -1.1300     +1.1300  |paral   |2020yCat.1350....0G
1495|BD+62 41                                                                                                 |Star                              |00 17 54.8302831464 +63 01 43.539260628|119.1414539445949 +00.4040007291309|  -7.278 -1.709  |9.62     |B8                |    ~     ~    |    1|  612.332   pc  |  -7.7615     +7.7615  |paral   |2020yCat.1350....0G
1496|BD+62 44                                                                                                 |Star                              |00 18 13.0480265232 +63 20 37.572305820|119.2160932771013 +00.7119499317187|  -3.163 -1.207  |10.42    |OB-               |    ~     ~    |    1| 2052.545   pc  | -62.3515    +62.3515  |paral   |2020yCat.1350....0G
1497|HD 1447                                                                                                  |Star                              |00 18 56.9039440392 +63 17 17.652042996|119.2904306248029 +00.6464327961471|  47.724 -6.948  |7.69     |F0                |    ~     ~    |    1|  182.655   pc  |  -1.7616     +1.7616  |paral   |2020yCat.1350....0G
1498|BD+62 49                                                                                                 |Star                              |00 18 57.8870773080 +63 34 19.171253352|119.3279270786182 +00.9277062076620|  -3.730 -0.903  |8.99     |B0.5III           |    ~     ~    |    1| 2138.580   pc  | -64.4867    +64.4867  |paral   |2020yCat.1350....0G
1499|BD+62 50                                                                                                 |Star                              |00 18 59.8085724888 +63 39 52.222845096|119.3430819721265 +01.0190405014755|  -3.434 -0.656  |10.49    |OB-e              |    ~     ~    |    1| 2562.788   pc  | -97.2047    +97.2047  |paral   |2020yCat.1350....0G
1500|BD+62 51                                                                                                 |Star                              |00 19 06.8343536496 +63 35 20.965876116|119.3465387691745 +00.9426555972682|  -3.085 -1.090  |9.97     |B2                |    ~     ~    |    1| 2115.954   pc  | -82.8294    +82.8294  |paral   |2020yCat.1350....0G
1501|LS I +62 86                                                                                              |Star                              |00 19 50.3793621168 +62 23 35.009462724|119.2803196437462 -00.2544468108725|  -3.461 -1.093  |10.9     |OB-               |    ~     ~    |    1| 2303.617   pc  | -80.1304    +80.1304  |paral   |2020yCat.1350....0G
1502|HD 1625                                                                                                  |Star                              |00 20 56.0352885360 +63 40 03.016754688|119.5567061617865 +00.9958392790027|  3.100 -12.176  |8.78     |G0                |    ~     ~    |    1|   82.106   pc  |  -0.0917     +0.0917  |paral   |2020yCat.1350....0G
1503|BD+62 61                                                                                                 |Star                              |00 21 48.0564384024 +63 45 39.751805556|119.6629528549939 +01.0775615606112|   8.568 -1.176  |10.25    |A0                |    ~     ~    |    1|  386.787   pc  |  -2.1693     +2.1693  |paral   |2020yCat.1350....0G
1504|BD+62 62                                                                                                 |Star                              |00 21 56.7034895232 +63 30 39.713340240|119.6502174038411 +00.8273632819936|  -2.954 -1.715  |10.17    |B2                |    ~     ~    |    0|                |                       |        |                   
1505|BD+61 19                                                                                                 |Star                              |00 15 21.9509806800 +62 41 46.419739404|118.8087812858451 +00.1136104541973|  -4.877 -7.457  |9.2      |F2III             |    ~     ~    |    1|  369.604   pc  |  -1.6666     +1.6666  |paral   |2020yCat.1350....0G
1506|HD 1201                                                                                                  |Star                              |00 16 40.8271505928 +62 33 06.616839168|118.9387008353502 -00.0501184367678|  -3.346 -0.981  |8.7      |A0II              |    ~     ~    |    1| 3034.901   pc  |-136.3173   +136.3173  |paral   |2020yCat.1350....0G
1507|BD+61 36                                                                                                 |Star                              |00 19 23.3969349120 +62 43 06.944731140|119.2689990955797 +00.0749941378273|   3.520 -6.492  |9.91     |~                 |    ~     ~    |    0|                |                       |        |                   
1508|BD+61 39                                                                                                 |Be Star                           |00 20 17.4259421640 +62 27 49.955557104|119.3406960321852 -00.1904877448599|   -3.302 0.533  |8.85     |B0.5IV            |    ~     ~    |    1| 2433.090   pc  | -94.1268    +94.1268  |paral   |2020yCat.1350....0G
1509|BD+61 40                                                                                                 |Emission-line Star                |00 20 25.6355635680 +62 23 46.755597804|119.3482846573374 -00.2594574106181|  -2.661 -0.910  |9.55     |OB                |    ~     ~    |    1| 3657.644   pc  |-169.9052   +169.9052  |paral   |2020yCat.1350....0G
1510|BD+61 41                                                                                                 |Red Giant Branch star             |00 20 28.4877923856 +62 38 51.903947868|119.3838916580613 -00.0105009636272|    5.156 4.208  |10.17    |~                 |    ~     ~    |    1|  574.812   pc  |  -3.7997     +3.7997  |paral   |2020yCat.1350....0G
1511|BD+61 46                                                                                                 |Star                              |00 21 02.9662383504 +62 27 02.437763256|119.4262422465044 -00.2140453710308|  -4.272 -2.359  |10.36    |B9                |    ~     ~    |    1|  809.782   pc  |  -9.1149     +9.1149  |paral   |2020yCat.1350....0G
1512|BD+61 47                                                                                                 |Star                              |00 21 22.7890367064 +62 23 51.277087032|119.4580007337752 -00.2712552351410|  -0.595 -1.848  |9.95     |A0                |    ~     ~    |    1|  849.185   pc  | -10.3841    +10.3841  |paral   |2020yCat.1350....0G
1513|V* V642 Cas                                                                                              |Spectroscopic Binary              |00 15 04.7161776816 +63 50 38.101701552|118.9375620400176 +01.2545102303754|   -0.988 0.235  |9.29     |G8                |    ~     ~    |    1|  757.060   pc  | -36.1651    +36.1651  |paral   |2020yCat.1350....0G
1514|BD+61 45                                                                                                 |Star                              |00 21 01.2198828960 +62 46 14.364562152|119.4605856688894 +00.1041035332373|  -3.642 -1.701  |10.26    |~                 |    ~     ~    |    0|                |                       |        |                   
1515|BD+61 24                                                                                                 |Pulsating Variable                |00 16 49.7284616832 +62 09 22.540352688|118.9026781981539 -00.4444273968803|  -3.146 -1.120  |10.42    |B3                |    ~     ~    |    1| 2810.568   pc  |-119.2793   +119.2793  |paral   |2020yCat.1350....0G
1516|BD+61 25                                                                                                 |Star                              |00 16 50.8905319272 +62 14 13.762159908|118.9157447574851 -00.3645627200356|  2.042 -33.014  |9.59     |F5                |    ~     ~    |    1|  155.123   pc  |  -0.3393     +0.3393  |paral   |2020yCat.1350....0G
1517|HD 1400                                                                                                  |Star                              |00 18 28.7792015688 +62 12 10.025337816|119.0997258880946 -00.4234819157304| -6.027 -15.244  |6.973    |K5                |    ~     ~    |    1|  315.637   pc  |  -1.8032     +1.8032  |paral   |2020yCat.1350....0G
1518|BD+61 42                                                                                                 |Star                              |00 20 29.9912133168 +62 10 21.669484944|119.3298456643490 -00.4824907876823|  -2.154 -4.071  |9.20     |G8III             |    ~     ~    |    1|  919.118   pc  | -25.9347    +25.9347  |paral   |2020yCat.1350....0G
1519|V* CU Cas                                                                                                |Long-Period Variable              |00 20 14.0243224296 +62 07 35.745587004|119.2934457902434 -00.5245073471245|    1.120 5.000  |10.64    |M6                |    ~     ~    |    1|  838.434   pc  | -32.2664    +32.2664  |paral   |2020yCat.1350....0G
1520|TYC 4023-312-1                                                                                           |Star                              |00 19 59.4333113760 +63 46 49.345272408|119.4665761017012 +01.1204160494817|   -2.529 1.222  |10.43    |M2                |    ~     ~    |    1| 1556.178   pc  | -46.2543    +46.2543  |paral   |2020yCat.1350....0G
1521|IRAS 00177+6235                                                                                          |Star                              |00 20 31.5863576112 +62 52 07.572241668|119.4162314672878 +00.2082190669942|  -2.049 -1.211  |9.98     |~                 |    ~     ~    |    1| 2678.811   pc  |-111.2284   +111.2284  |paral   |2020yCat.1350....0G
1522|TYC 4019-1957-1                                                                                          |Star                              |00 21 53.2473244680 +62 51 39.873186072|119.5694510581536 +00.1824122405157|   3.114 -3.119  |10.52    |M1                |    ~     ~    |    1| 1504.212   pc  | -42.7641    +42.7641  |paral   |2020yCat.1350....0G
1523|IRAS 00196+6345                                                                                          |Star                              |00 22 26.9880979776 +64 02 00.628855368|119.7648227750672 +01.3401612397666|  -2.704 -1.054  |10.72    |~                 |    ~     ~    |    1| 2693.240   pc  |-127.6623   +127.6623  |paral   |2020yCat.1350....0G
1524|BD+63 24                                                                                                 |Double or Multiple Star           |00 18 34.6522619256 +63 50 48.001583076|119.3201216855107 +01.2055985983210|  -7.605 -6.079  |10.197   |B8                |    ~     ~    |    0|                |                       |        |                   
1525|BD+63 25                                                                                                 |Star                              |00 18 49.2413388864 +64 36 30.858477732|119.4429592576172 +01.9580079472201|   3.385 -8.484  |10.54    |B9V               |    ~     ~    |    1|  539.462   pc  |  -5.9950     +5.9950  |paral   |2020yCat.1350....0G
1526|BD+63 29                                                                                                 |Star                              |00 19 34.6261204584 +63 51 21.566986200|119.4305738784780 +01.2010524747671|   2.468 -3.007  |10.90    |B9V               |    ~     ~    |    1|  640.369   pc  |  -5.5770     +5.5770  |paral   |2020yCat.1350....0G
1527|BD+62 36                                                                                                 |Star                              |00 16 30.5810317848 +63 29 21.174373752|119.0458624861394 +00.8813149072167|   2.084 -0.495  |9.82     |B                 |    ~     ~    |    1|  758.438   pc  |  -7.0178     +7.0178  |paral   |2020yCat.1350....0G
1528|BD+62 56                                                                                                 |Star                              |00 20 34.7147456592 +63 35 00.656867976|119.5075363425040 +00.9171339144806|  -3.528 -0.082  |10.74    |B9V               |    ~     ~    |    1|  601.504   pc  |  -3.9437     +3.9437  |paral   |2020yCat.1350....0G
1529|BD+61 28                                                                                                 |Pulsating Variable                |00 17 24.4162627056 +62 06 34.081513272|118.9634264103410 -00.4997776058485|   -4.466 0.107  |10.43    |B8V               |    ~     ~    |    1| 1117.693   pc  | -30.9811    +30.9811  |paral   |2020yCat.1350....0G
1530|TYC 4015-147-1                                                                                           |Star                              |00 17 21.7674239760 +61 52 29.209345320|118.9273643438262 -00.7317353474535|   5.800 12.889  |10.61    |~                 |    ~     ~    |    1|  716.384   pc  |  -5.5939     +5.5939  |paral   |2020yCat.1350....0G
1531|TYC 4018-691-1                                                                                           |Star                              |00 16 01.9723912104 +63 42 46.908556920|119.0238019689642 +01.1102593738400|   6.410 -1.423  |10.48    |~                 |    ~     ~    |    1|  412.984   pc  |  -2.0296     +2.0296  |paral   |2020yCat.1350....0G
1532|TYC 4018-980-1                                                                                           |Star                              |00 16 01.3648677024 +63 05 39.870325644|118.9379342209181 +00.4976237710422|  -6.255 -2.564  |10.45    |~                 |    ~     ~    |    1|  505.485   pc  |  -3.5261     +3.5261  |paral   |2020yCat.1350....0G
1533|TYC 4018-1241-1                                                                                          |Star                              |00 15 42.0310737624 +63 10 29.133661440|118.9129325181401 +00.5822196519138|   5.969 -1.945  |10.65    |B7V               |    ~     ~    |    1| 1057.418   pc  | -44.8371    +44.8371  |paral   |2020yCat.1350....0G
1534|TYC 4018-1587-1                                                                                          |Star                              |00 15 47.5793093352 +62 24 28.214392104|118.8175326607332 -00.1788192465236|  -1.749 -1.934  |10.71    |B9V               |    ~     ~    |    1| 1231.527   pc  | -28.8165    +28.8165  |paral   |2020yCat.1350....0G
1535|TYC 4018-1606-1                                                                                          |Star                              |00 16 52.3199853456 +63 34 13.122825924|119.0967787566183 +00.9562478646717|   1.177 -0.547  |10.34    |~                 |    ~     ~    |    1|  837.030   pc  |  -8.8278     +8.8278  |paral   |2020yCat.1350....0G
1536|TYC 4018-1824-1                                                                                          |Star                              |00 16 42.8230391232 +62 17 13.050538260|118.9069178708278 -00.3131124376058|  -8.150 -0.507  |10.54    |~                 |    ~     ~    |    1|  585.412   pc  |  -8.1221     +8.1221  |paral   |2020yCat.1350....0G
1537|TYC 4018-2263-1                                                                                          |Star                              |00 15 55.6635933744 +63 36 21.036468168|118.9975416651919 +01.0056856859280|  31.175 -0.592  |10.06    |F2III             |    ~     ~    |    1|  203.314   pc  |  -0.4588     +0.4588  |paral   |2020yCat.1350....0G
1538|TYC 4018-2672-1                                                                                          |Star                              |00 15 46.5722314704 +62 45 01.951617600|118.8628760934130 +00.1608780935876|   2.752 -4.873  |10.80    |~                 |    ~     ~    |    1|  690.036   pc  |  -8.6183     +8.6183  |paral   |2020yCat.1350....0G
1539|TYC 4018-2930-1                                                                                          |Star                              |00 15 15.5010319968 +63 07 49.508126832|118.8573259846245 +00.5452529608826|    8.460 0.345  |9.57     |~                 |    ~     ~    |    1|  711.288   pc  |  -5.8688     +5.8688  |paral   |2020yCat.1350....0G
1540|TYC 4018-3425-1                                                                                          |Star                              |00 16 13.2830996664 +62 32 17.940217164|118.8844443649395 -00.0563541208836|  -3.182 -2.899  |10.53    |B9V               |    ~     ~    |    1|  653.040   pc  |  -9.8939     +9.8939  |paral   |2020yCat.1350....0G
1541|BD+61 26                                                                                                 |Star                              |00 17 15.2249213856 +62 06 30.614072796|118.9455401881491 -00.4983681600879|  -5.133 -0.433  |10.18    |B3                |    ~     ~    |    1| 1061.233   pc  | -22.2991    +22.2991  |paral   |2020yCat.1350....0G
1542|TYC 4019-783-1                                                                                           |Star                              |00 17 10.9868268072 +63 44 36.758940000|119.1540599631387 +01.1233423045126| 33.888 -11.562  |10.74    |~                 |    ~     ~    |    1|  226.147   pc  |  -1.3041     +1.3041  |paral   |2020yCat.1350....0G
1543|TYC 4019-932-1                                                                                           |Star                              |00 20 58.6375918512 +63 07 10.078417416|119.4968365574326 +00.4510586570961| -10.227 -8.262  |10.94    |G6V               |    ~     ~    |    1|  198.271   pc  |  -2.7204     +2.7204  |paral   |2020yCat.1350....0G
1544|TYC 4019-1051-1                                                                                          |Star                              |00 20 55.7179762368 +62 01 43.736926656|119.3625349620727 -00.6313060563944| 27.509 -24.056  |10.42    |~                 |    ~     ~    |    1|   56.686   pc  |  -0.0389     +0.0389  |paral   |2020yCat.1350....0G
1545|TYC 4019-1251-1                                                                                          |Star                              |00 18 52.2378395880 +63 16 49.012746672|119.2807574937128 +00.6396411825758|  -2.351 -3.606  |10.9     |~                 |    ~     ~    |    1| 1038.422   pc  | -16.7140    +16.7140  |paral   |2020yCat.1350....0G
1546|TYC 4019-1397-1                                                                                          |High Proper Motion Star           |00 17 57.1539373728 +62 32 13.277778792|119.0820917829380 -00.0841624906780| 70.808 -28.051  |10.08    |G0V               |    ~     ~    |    1|  157.003   pc  |  -0.3180     +0.3180  |paral   |2020yCat.1350....0G
1547|TYC 4019-1615-1                                                                                          |Star                              |00 18 35.0513267592 +62 58 25.436365104|119.2098376186078 +00.3396565930620|   -6.480 6.965  |10.35    |~                 |    ~     ~    |    1|  485.319   pc  |  -3.5801     +3.5801  |paral   |2020yCat.1350....0G
1548|TYC 4019-1772-1                                                                                          |Star                              |00 19 53.5297826064 +63 26 49.490153772|119.4150757644384 +00.7909433728184|   29.211 2.270  |10.08    |~                 |    ~     ~    |    1|  263.657   pc  |  -0.8828     +0.8828  |paral   |2020yCat.1350....0G
1549|GSC 04019-02099                                                                                          |Double or Multiple Star           |00 21 12.9725860032 +62 38 34.497833172|119.4678886985257 -00.0253900162104|  -2.954 -1.599  |10.807   |~                 |    ~     ~    |    1| 2151.926   pc  |-107.8973   +107.8973  |paral   |2020yCat.1350....0G
1550|TYC 4019-2162-1                                                                                          |Star                              |00 17 11.2105775784 +63 31 08.010511428|119.1246902038992 +00.9006170628218|  -1.695 -2.910  |10.97    |B8V               |    ~     ~    |    1|  670.331   pc  |  -7.0547     +7.0547  |paral   |2020yCat.1350....0G
1551|TYC 4019-2168-1                                                                                          |High Proper Motion Star           |00 18 13.7618399640 +63 12 55.352084724|119.2009147967895 +00.5844486341896| 61.890 -11.257  |10.00    |~                 |    ~     ~    |    1|  186.324   pc  |  -0.4444     +0.4444  |paral   |2020yCat.1350....0G
1552|TYC 4019-2390-1                                                                                          |Star                              |00 18 12.3574574472 +62 36 40.730038272|119.1206157851609 -00.0142582208320|  -1.457 -2.502  |10.28    |~                 |    ~     ~    |    1|  537.663   pc  |  -3.8737     +3.8737  |paral   |2020yCat.1350....0G
1553|TYC 4019-2475-1                                                                                          |Star                              |00 22 05.1793850064 +63 06 29.799464724|119.6200817496814 +00.4254251758056|  16.166 -1.227  |9.71     |~                 |    ~     ~    |    1|  427.881   pc  |  -2.0871     +2.0871  |paral   |2020yCat.1350....0G
