C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
159 |CD-39 15082                                                           |Star                              |23 35 35.7361013328 -38 25 05.525316480|352.7281694819167 -70.5298115148894|  34.106 -2.030   |10.12    |K1                   |    ~     ~    |    1|  841.822   pc  | -10.8426    +10.8426  |paral   |2020yCat.1350....0G
160 |CD-39 15089                                                           |Star                              |23 36 30.4383677904 -38 49 20.703640548|351.4137990194678 -70.4779836763417|   7.815 -9.772   |10.16    |A0                   |    ~     ~    |    1|  403.616   pc  |  -4.1378     +4.1378  |paral   |2020yCat.1350....0G
161 |CD-37 15279                                                           |Star                              |23 30 27.9547563456 -36 30 13.057063704|359.2239670849651 -70.4680572092393| 41.904 -13.075   |10.719   |~                    |    ~     ~    |    1|  382.951   pc  | -10.1300    +10.1300  |ST-L    |2020AJ....160...83S
162 |CD-37 15281                                                           |Star                              |23 31 13.9915114968 -37 08 32.393852844|357.2967458549501 -70.3498324874062|   24.074 5.607   |10.50    |~                    |    ~     ~    |    1|  218.141   pc  |  -0.7518     +0.7518  |paral   |2020yCat.1350....0G
163 |CD-39 15062                                                           |Star                              |23 32 04.7999325552 -38 49 07.881437136|352.6996610092404 -69.7348398336962|-21.820 -11.374   |10.05    |~                    |    ~     ~    |    1|  373.413   pc  |  -2.6493     +2.6493  |paral   |2020yCat.1350....0G
164 |CD-37 15291                                                           |High Proper Motion Star           |23 33 08.1460683107 -36 54 06.002161839|357.4720819635197 -70.7956268817887| 53.682 -18.998   |9.89     |~                    |    ~     ~    |    1|  215.0445  pc  |  -4.2961     +4.2961  |paral   |2018yCat.1345....0G
165 |CD-38 15539                                                           |Star                              |23 34 10.1292437832 -38 17 46.177960308|353.4555164900070 -70.3459077954213|  15.835 12.236   |10.50    |~                    |    ~     ~    |    1|  377.102   pc  |  -3.7400     +3.7400  |paral   |2020yCat.1350....0G
166 |CD-39 15076                                                           |Star                              |23 34 21.8905637040 -38 24 25.982168400|353.1115997020197 -70.3254892623274|   28.142 0.116   |10.83    |~                    |    ~     ~    |    1|  317.662   pc  |  -2.1393     +2.1393  |paral   |2020yCat.1350....0G
167 |CD-38 15547                                                           |Star                              |23 34 52.9039934304 -37 57 34.611715332|354.1385125186359 -70.6303066353642|   29.998 7.614   |9.85     |~                    |    ~     ~    |    1|  205.918   pc  |  -0.7420     +0.7420  |paral   |2020yCat.1350....0G
168 |CD-39 15081                                                           |High Proper Motion Star           |23 35 31.6110792816 -38 51 17.316023724|351.6243065534118 -70.2976826930417| 15.961 -78.389   |10.10    |~                    |    ~     ~    |    1|   72.275   pc  |  -0.2607     +0.2607  |paral   |2020yCat.1350....0G
169 |CD-37 15310                                                           |Star                              |23 36 45.8412246600 -36 42 30.303697068|357.0460955279033 -71.5344746573740| -21.864 -4.512   |10.75    |~                    |    ~     ~    |    1|  225.230   pc  |  -0.9486     +0.9486  |paral   |2020yCat.1350....0G
170 |NGC 7713                           NGC 7713                           |Emission-line galaxy              |23 36 15.154 -37 56 22.18              |353.799017 -70.877113              |            ~ ~   |     ~   |~                    |1.793 0.968    |    1|    8.95    Mpc |  -1.37       +1.37    |T-F     |2020ApJ...902..145K
171 |CD-37 15285                                                           |Star                              |23 31 40.2111674904 -37 06 41.347155168|357.2708540731393 -70.4418277190855| 10.743 -20.157   |10.297   |~                    |    ~     ~    |    1|  816.914   pc  | -40.9600    +40.9600  |ST-L    |2020AJ....160...83S
172 |CD-38 15523                                                           |Star                              |23 31 50.9458577088 -37 41 54.257390088|355.6539982453791 -70.2191544991743| -3.504 -22.424   |10.633   |~                    |    ~     ~    |    1|  868.674   pc  | -46.1900    +46.1900  |ST-L    |2020AJ....160...83S
173 |CD-38 15532                                                           |High Proper Motion Star           |23 33 24.8613506856 -38 13 46.208389584|353.8397728696170 -70.2479639735302| 48.561 -30.321   |10.99    |~                    |    ~     ~    |    1|  390.778   pc  |  -2.2448     +2.2448  |paral   |2020yCat.1350....0G
174 |CD-37 15296                                                           |Star                              |23 33 28.8759018888 -37 07 21.211064292|356.7759597617745 -70.7634789086115|   -4.794 0.546   |10.05    |~                    |    ~     ~    |    1|  333.411   pc  |  -1.7564     +1.7564  |paral   |2020yCat.1350....0G
175 |CD-37 15297                                                           |Star                              |23 33 30.1240176864 -37 08 53.627472816|356.7003144361056 -70.7560744200670|  31.171 -9.879   |10.42    |~                    |    ~     ~    |    1|  229.917   pc  |  -0.9832     +0.9832  |paral   |2020yCat.1350....0G
176 |CD-37 15300                                                           |Star                              |23 33 35.2962926640 -37 05 49.526750688|356.8176139294831 -70.7937393047108|   6.536 -3.754   |10.50    |~                    |    ~     ~    |    1|  257.991   pc  |  -0.9851     +0.9851  |paral   |2020yCat.1350....0G
177 |CD-38 15543                                                           |High Proper Motion Star           |23 34 32.3675013480 -38 09 59.255394228|353.6896797763087 -70.4722225088014|-11.452 -163.144  |10.87    |~                    |    ~     ~    |    1|  151.488   pc  |  -0.2914     +0.2914  |paral   |2020yCat.1350....0G
178 |CD-38 15552                                                           |High Proper Motion Star           |23 35 16.7614968480 -38 15 27.191115972|353.2395132858850 -70.5551175877956|-64.982 -41.841   |10.93    |~                    |    ~     ~    |    1|  197.196   pc  |  -5.2535     +5.2535  |paral   |2020yCat.1350....0G
179 |CD-38 15563                                                           |Star                              |23 37 13.0597077576 -37 19 44.947474464|355.1779774979232 -71.3350119730346| 30.302 -24.568   |10.78    |~                    |    ~     ~    |    1|  297.575   pc  |  -1.1777     +1.1777  |paral   |2020yCat.1350....0G
180 |NGC 7713A                          ESO 347-30                         |Galaxy                            |23 37 08.3070979872 -37 42 50.716881576|354.1467640059892 -71.1390346974567|            ~ ~   |     ~   |~                    |0.697 0.557    |    0|                |                       |        |                   
181 |CD-39 15072                                                           |Long-Period Variable Candidate    |23 33 56.2800860352 -39 10 32.057406732|351.2813717439879 -69.8681589941742|  5.447 -16.550   |10.57    |~                    |    ~     ~    |    1|  701.41    pc  | -23.2213    +23.2213  |paral   |2020yCat.1350....0G
182 |TYC 7520-20-1                                                         |High Proper Motion Star           |23 35 31.6733669856 -36 52 21.496429740|356.9216916180047 -71.2401289640813|  58.617 -7.542   |10.84    |~                    |    ~     ~    |    1|  256.594   pc  |  -1.0074     +1.0074  |paral   |2020yCat.1350....0G
183 |TYC 8013-892-1                                                        |Star                              |23 30 02.5651499880 -38 56 25.912072788|352.9455616573716 -69.3291198016715| -30.112 -3.129   |10.96    |~                    |    ~     ~    |    1|  286.467   pc  |  -1.5100     +1.5100  |paral   |2020yCat.1350....0G
184 |TYC 8014-252-1                                                        |High Proper Motion Star           |23 36 23.8060238280 -38 51 59.087197836|351.3347023331859 -70.4367671226746| 71.338 -68.635   |10.77    |~                    |    ~     ~    |    1|  131.903   pc  |  -0.3775     +0.3775  |paral   |2020yCat.1350....0G
185 |HD 222163                                                             |Star                              |23 38 25.9604847648 -39 00 08.867495160|350.3588520160161 -70.7011058526448|   26.632 1.303   |9.09     |K2III                |    ~     ~    |    1|  383.907   pc  |  -3.1098     +3.1098  |paral   |2020yCat.1350....0G
186 |CD-39 15098                                                           |Star                              |23 38 25.9139056584 -39 10 01.095721680|349.9411486623949 -70.6121070888761| 47.980 -11.968   |10.31    |~                    |    ~     ~    |    1|  329.229   pc  |  -2.3196     +2.3196  |paral   |2020yCat.1350....0G
187 |CD-39 15109                                                           |Star                              |23 40 08.4878324640 -39 07 26.664661236|349.4986086961737 -70.9128515941196|  -7.772 -1.946   |10.95    |~                    |    ~     ~    |    1| 1076.774   pc  | -16.9279    +16.9279  |paral   |2020yCat.1350....0G
188 |HD 222481                                                             |Star                              |23 41 08.3141023656 -39 00 57.298672404|349.4452536560917 -71.1338755776936|  -1.882 -3.864   |10.21    |A0V                  |    ~     ~    |    1|  603.209   pc  | -12.0074    +12.0074  |paral   |2020yCat.1350....0G
189 |HD 222615                                                             |High Proper Motion Star           |23 42 22.1886061320 -39 13 12.930179772|348.5048986199996 -71.2158335476927|  52.296 -9.415   |8.41     |F6V                  |    ~     ~    |    1|  153.664   pc  |  -0.6139     +0.6139  |paral   |2020yCat.1350....0G
190 |CD-39 15134                                                           |Star                              |23 44 10.0831128600 -39 07 36.493097556|348.1147293544279 -71.5544878053272|    2.284 6.282   |10.08    |F5                   |    ~     ~    |    1|  324.139   pc  |  -3.5407     +3.5407  |paral   |2020yCat.1350....0G
191 |HD 222055                                                             |Star                              |23 37 30.7699450560 -36 39 35.545201848|356.9757215929111 -71.6906843788046|  22.365 11.894   |9.65     |F5V                  |    ~     ~    |    1|  239.045   pc  |  -3.5980     +3.5980  |ST-L    |2020AJ....160...83S
192 |HD 222196                                                             |Star                              |23 38 37.5526920888 -36 38 46.195597680|356.6983490924612 -71.8968730289330|   -3.204 0.480   |9.20     |K1IV                 |    ~     ~    |    1|  490.629   pc  |  -3.5867     +3.5867  |paral   |2020yCat.1350....0G
193 |CD-37 15333                                                           |Star                              |23 39 50.5090151544 -37 04 36.265017864|355.1071158558871 -71.9148847631631|   3.623 -7.734   |9.550    |K0                   |    ~     ~    |    1|  622.747   pc  | -23.7600    +23.7600  |ST-L    |2020AJ....160...83S
194 |HD 222071                                                             |Star                              |23 37 37.8169007952 -37 40 07.480802064|354.1247981326976 -71.2461458430473| 15.797 -19.986   |9.361    |F3V                  |    ~     ~    |    1|  224.683   pc  |  -3.2150     +3.2150  |ST-L    |2020AJ....160...83S
195 |CD-38 15581                                                           |Star                              |23 39 59.2859129160 -38 14 55.351738176|351.8325731560224 -71.3576023474348|   0.175 48.153   |10.12    |F5                   |    ~     ~    |    1|  197.495   pc  |  -2.9660     +2.9660  |ST-L    |2020AJ....160...83S
196 |HD 222162                                                             |Star                              |23 38 24.9453209928 -38 29 23.099046900|351.6904946813813 -70.9690447086977|   8.257 -2.579   |8.21     |K1III                |    ~     ~    |    1|  308.585   pc  |  -2.3235     +2.3235  |paral   |2020yCat.1350....0G
197 |CD-39 15101                                                           |Star                              |23 38 36.2958834576 -38 20 41.363866068|352.0132162170366 -71.0756402112559|   1.123 -7.069   |10.06    |~                    |    ~     ~    |    1|  435.502   pc  |  -7.9279     +7.9279  |paral   |2020yCat.1350....0G
198 |CD-39 15105                                                           |Star                              |23 39 20.2455639936 -38 52 46.199606988|350.3860925906529 -70.9155591547185|  14.932 -9.407   |10.26    |~                    |    ~     ~    |    1|  743.826   pc  | -15.7684    +15.7684  |paral   |2020yCat.1350....0G
199 |CD-39 15108                                                           |Star                              |23 40 07.4213341992 -38 46 20.908088904|350.4089343315831 -71.1022395294231|  19.076 -7.936   |10.931   |~                    |    ~     ~    |    1|  438.203   pc  | -10.7600    +10.7600  |ST-L    |2020AJ....160...83S
200 |CD-39 15094                                                           |Star                              |23 37 56.8243775136 -38 50 03.421202640|350.9418964034990 -70.7107600995537|  5.258 -11.580   |10.92    |~                    |    ~     ~    |    1| 2151.926   pc  | -71.7772    +71.7772  |paral   |2020yCat.1350....0G
201 |CD-37 15330                                                           |Star                              |23 39 13.6792496232 -37 11 57.921327492|354.9462328451826 -71.7490533796367| -1.248 -16.556   |10.492   |~                    |    ~     ~    |    1|  933.116   pc  | -70.2300    +70.2300  |ST-L    |2020AJ....160...83S
202 |HD 222466                                                             |Star                              |23 40 58.5592184424 -37 14 25.890312768|354.2921850702379 -72.0344734380162|-41.110 -20.582   |8.51     |K3(III)              |    ~     ~    |    1|  399.265   pc  |  -4.2723     +4.2723  |paral   |2020yCat.1350....0G
203 |CD-37 15342                                                           |High Proper Motion Star           |23 41 38.1008544144 -36 49 16.145389164|355.2877509207779 -72.3514736802470|-53.687 -60.625   |10.446   |F8                   |    ~     ~    |    1|  218.823   pc  |  -3.2240     +3.2240  |ST-L    |2020AJ....160...83S
204 |HD 222701                                                             |Pulsating Variable                |23 43 07.1705304600 -36 47 05.905515804|354.9204515744082 -72.6296839089145|   14.023 6.310   |7.45     |A5mA5-F0             |    ~     ~    |    1|  145.345   pc  |  -1.5104     +1.5104  |paral   |2020yCat.1350....0G
205 |HD 222836                                                             |Star                              |23 44 13.1090817816 -37 06 56.659955076|353.5928017064412 -72.6571674437931| -0.941 -15.899   |9.21     |K1III                |    ~     ~    |    1|  484.402   pc  |  -3.3554     +3.3554  |paral   |2020yCat.1350....0G
206 |HD 222536                                                             |Star                              |23 41 36.8126497032 -37 26 00.396685680|353.5451322109651 -72.0494902555197| 28.188 -10.251   |8.07     |G6III/IV             |    ~     ~    |    1|  304.590   pc  |  -2.3287     +2.3287  |paral   |2020yCat.1350....0G
207 |CD-38 15592                                                           |Star                              |23 41 57.2550410544 -37 39 09.064242504|352.8219930760902 -71.9970985350049|   4.157 -8.948   |10.00    |K1                   |    ~     ~    |    1|  608.980   pc  | -21.7900    +21.7900  |ST-L    |2020AJ....160...83S
208 |HD 222713                                                             |Star                              |23 43 09.6849427992 -37 24 22.749579612|353.1148213272585 -72.3285328227692|   46.684 4.514   |9.41     |F3IV/V               |    ~     ~    |    1|  144.563   pc  |  -1.6230     +1.6230  |ST-L    |2020AJ....160...83S
209 |HD 222467                                                             |Star                              |23 41 00.9886065120 -37 52 04.602421560|352.5321392902762 -71.7276161713007| 17.725 -43.770   |7.66     |K3/4III              |    ~     ~    |    1|  311.964   pc  |  -2.0340     +2.0340  |paral   |2020yCat.1350....0G
210 |HD 222714                                                             |Star                              |23 43 10.1858218416 -38 42 15.513877872|349.5647650822195 -71.6358651551704|  19.621 -6.716   |9.27     |F8/G0V               |    ~     ~    |    1|  156.350   pc  |  -0.3838     +0.3838  |paral   |2020yCat.1350....0G
211 |HD 222740                                                             |Star                              |23 43 23.6690172144 -38 18 59.282469504|350.5197618953030 -71.8869121711722| 40.400 -13.827   |9.57     |K1(III)              |    ~     ~    |    1|  330.972   pc  |  -1.7527     +1.7527  |paral   |2020yCat.1350....0G
212 |HD 222909                                                             |Double or Multiple Star           |23 44 52.80107 -38 19 57.3714          |349.95560392 -72.12094095          |     8.45 -1.75   |7.96     |F0V                  |0.0033  0.0    |    0|                |                       |        |                   
213 |CD-38 15585                                                           |Star                              |23 40 43.3235719728 -38 03 09.953834976|352.1238934082814 -71.5826443015637|   21.349 4.443   |10.389   |~                    |    ~     ~    |    1|  709.506   pc  | -23.0400    +23.0400  |ST-L    |2020AJ....160...83S
214 |CD-39 15121                                                           |Star                              |23 42 28.4270558544 -38 27 03.308769720|350.4743580569573 -71.6623469330984|  20.719 -4.105   |10.20    |~                    |    ~     ~    |    1|  731.850   pc  | -10.0694    +10.0694  |paral   |2020yCat.1350....0G
215 |CD-37 15356                                                           |Star                              |23 43 40.0703693736 -36 39 29.741408100|355.1155755418211 -72.7870548801539|  31.800 -5.888   |9.55     |~                    |    ~     ~    |    1|  464.641   pc  | -12.0251    +12.0251  |paral   |2020yCat.1350....0G
216 |CD-38 15604                                                           |Star                              |23 44 42.9532176144 -38 03 10.910422296|350.7758631926711 -72.2483070002178|   1.583 20.500   |10.71    |~                    |    ~     ~    |    1|  270.558   pc  |  -4.4690     +4.4690  |ST-L    |2020AJ....160...83S
217 |CD-39 15129                                                           |Star                              |23 43 31.3858505256 -38 41 06.798854580|349.4922750654949 -71.7036719491314|   41.012 8.707   |10.00    |~                    |    ~     ~    |    1|  243.505   pc  |  -0.8894     +0.8894  |paral   |2020yCat.1350....0G
218 |CD-37 15345                                                           |Star                              |23 41 46.6234520592 -37 12 06.425122356|354.1481133883086 -72.1925081054425| -7.773 -18.723   |10.618   |~                    |    ~     ~    |    1|  374.863   pc  |  -8.8210     +8.8210  |ST-L    |2020AJ....160...83S
219 |CD-38 15600                                                           |High Proper Motion Star           |23 43 57.1794080136 -37 18 58.623190020|353.1054346539241 -72.5097471418442|   66.074 6.025   |10.630   |~                    |    ~     ~    |    1|  319.030   pc  |  -6.4260     +6.4260  |ST-L    |2020AJ....160...83S
220 |TYC 8014-25-1                                                         |Star                              |23 40 22.4026331040 -37 41 48.805762740|353.2074753966787 -71.7048591776336|   6.312 -2.892   |10.58    |~                    |    ~     ~    |    1|  329.099   pc  |  -1.3647     +1.3647  |paral   |2020yCat.1350....0G
221 |TYC 8014-1385-1                                                       |Star                              |23 44 31.7042068920 -38 24 05.317663716|349.8947289512864 -72.0253239065288|   18.223 6.350   |10.800   |~                    |    ~     ~    |    1|  346.405   pc  |  -7.1470     +7.1470  |ST-L    |2020AJ....160...83S
222 |HD 221342                                                             |High Proper Motion Star           |23 31 35.4280431552 -36 17 28.464394128|359.5488680346006 -70.7590671372775|50.131 -101.759   |8.05     |G3V                  |    ~     ~    |    1| 1167.815   pc  | -27.2758    +27.2758  |paral   |2020yCat.1350....0G
223 |HD 221609                                                             |High Proper Motion Star           |23 33 46.2017771376 -36 15 50.246845524|359.0961437359424 -71.1736811779725| 165.071 14.942   |7.25     |F3V                  |    ~     ~    |    1|   59.561   pc  |  -0.0859     +0.0859  |paral   |2020yCat.1350....0G
224 |CD-36 15946                                                           |High Proper Motion Star           |23 34 09.2495113344 -36 08 32.485344072|359.3471162441398 -71.2931485092993|-51.964 -50.133   |10.09    |G5                   |    ~     ~    |    1|  141.818   pc  |  -0.3117     +0.3117  |paral   |2020yCat.1350....0G
225 |CD-37 15309                                                           |Star                              |23 36 34.1228406384 -36 21 10.877301468|358.1161437188738 -71.6514534050649|   23.197 0.271   |10.19    |K0                   |    ~     ~    |    1|  290.015   pc  |  -1.3289     +1.3289  |paral   |2020yCat.1350....0G
226 |IC 5332                                                               |Galaxy towards a Group of Galaxies|23 34 27.488 -36 06 03.89              |359.389488 -71.365866              |            ~ ~   |10.72    |~                    | 8.13  7.76    |    1|    9.50    Mpc |                       |T-F     |2011ApJS..192....6L
227 |CD-37 15289                                                           |Star                              |23 32 35.0658721200 -36 20 20.493010896|359.1761823195982 -70.9246439545524| -1.676 -39.979   |10.41    |~                    |    ~     ~    |    1|  346.644   pc  |  -7.1136     +7.1136  |paral   |2020yCat.1350....0G
228 |CD-37 15313                                                           |Star                              |23 37 09.0286451928 -36 23 25.877709708|357.8501170480096 -71.7416780825460| -7.310 -11.503   |10.96    |~                    |    ~     ~    |    1|  407.150   pc  |  -2.3705     +2.3705  |paral   |2020yCat.1350....0G
229 |CD-37 15315                                                           |Star                              |23 37 15.8351732712 -36 23 45.802238424|357.8030414225266 -71.7599670058020|  31.862 -0.338   |10.425   |~                    |    ~     ~    |    1|  301.917   pc  |  -5.1360     +5.1360  |ST-L    |2020AJ....160...83S
230 |HD 221431                                                             |gamma Dor Variable                |23 32 18.4917153144 -33 40 33.124496880|007.0879933789102 -71.7626860020084| 23.012 -10.870   |8.50     |Fm_dD                |    ~     ~    |    1|  258.445   pc  |  -2.0572     +2.0572  |paral   |2020yCat.1350....0G
231 |HD 221633                                                             |Spectroscopic Binary              |23 33 54.2797360464 -33 39 48.375405792|006.8318915186483 -72.0854452683661| -9.108 -54.286   |8.09     |K1/2III              |    ~     ~    |    1|  202.208   pc  |  -1.5129     +1.5129  |paral   |2020yCat.1350....0G
232 |CD-34 16104                                                           |Star                              |23 37 22.8604784352 -33 40 08.609164212|006.1220415660062 -72.7763368240018|  -0.160 -8.576   |9.39     |~                    |    ~     ~    |    1|  898.150   pc  | -25.2489    +25.2489  |paral   |2020yCat.1350....0G
233 |CD-34 16102                                                           |Star                              |23 37 20.8412578152 -33 59 02.225881104|005.1198527802204 -72.6732026266253|  -4.942 -5.286   |10.219   |~                    |    ~     ~    |    1|  721.854   pc  | -31.9900    +31.9900  |ST-L    |2020AJ....160...83S
234 |HD 221275                                                             |High Proper Motion Star           |23 30 54.0583372512 -35 06 23.428595268|003.0830701047586 -71.0542838814897|-202.823 -5.782   |8.11     |G9VCN+1              |    ~     ~    |    1|   36.179   pc  |  -0.0482     +0.0482  |paral   |2020yCat.1350....0G
235 |CD-35 15829                                                           |Star                              |23 33 08.9554756704 -34 29 51.515564712|004.4195198495936 -71.6879464069995|   19.484 9.688   |10.53    |~                    |    ~     ~    |    1|  938.615   pc  | -43.1689    +43.1689  |paral   |2020yCat.1350....0G
236 |CD-35 15842                                                           |High Proper Motion Star           |23 34 52.4789610803 -34 40 11.225931307|003.5278445935862 -71.9679840124224|451.285 -57.663   |10.28    |K5.5V                |    ~     ~    |    1|   38.4311  pc  |  -0.0321     +0.0321  |paral   |2020yCat.1350....0G
237 |HD 221750                                                             |High Proper Motion Star           |23 34 54.3496352472 -35 05 06.140314356|002.2654720595045 -71.8313582867778| 41.209 -55.635   |7.08     |K1III                |    ~     ~    |    1|  181.676   pc  |  -0.5974     +0.5974  |paral   |2020yCat.1350....0G
238 |CD-35 15849                                                           |Star                              |23 35 43.0953699984 -34 57 40.338936504|002.4498380574790 -72.0306825245753|  46.943 -1.311   |9.78     |F5                   |    ~     ~    |    1|  169.056   pc  |  -0.6888     +0.6888  |paral   |2020yCat.1350....0G
239 |CD-35 15857                                                           |Star                              |23 36 35.9238539616 -34 23 07.537454520|004.0195660905105 -72.3973071120828|   15.253 1.158   |9.37     |K0                   |    ~     ~    |    1|  410.576   pc  |  -2.5455     +2.5455  |paral   |2020yCat.1350....0G
240 |HD 221981                                                             |High Proper Motion Star           |23 36 55.9969666152 -34 21 06.266874600|004.0494351592980 -72.4735933016377| -4.180 -82.916   |8.32     |G8IV/V               |    ~     ~    |    1|  210.646   pc  |  -1.1270     +1.1270  |paral   |2020yCat.1350....0G
241 |HD 222041                                                             |High Proper Motion Star           |23 37 25.0397362440 -35 13 39.037323000|001.2284603572594 -72.2575407809032|   66.905 4.495   |9.653    |F3/5V                |    ~     ~    |    1|  172.940   pc  |  -1.7690     +1.7690  |ST-L    |2020AJ....160...83S
242 |CD-36 15930                                                           |Star                              |23 32 49.3751981616 -35 32 27.572990532|001.4000074947943 -71.2714896557244| 19.051 -32.296   |10.33    |~                    |    ~     ~    |    1|  435.350   pc  |  -3.2220     +3.2220  |paral   |2020yCat.1350....0G
243 |CD-36 15934                                                           |High Proper Motion Star           |23 33 10.6988007072 -35 27 49.256202312|001.5435471692382 -71.3668568202312|-109.836 -71.894  |10.22    |G8                   |    ~     ~    |    1|  115.375   pc  |  -5.2447     +5.2447  |paral   |2020yCat.1350....0G
244 |HD 221608                                                             |High Proper Motion Star           |23 33 46.7056010304 -35 30 44.380802304|001.2620978801855 -71.4629966269149| 60.578 -50.790   |8.55     |F5V                  |    ~     ~    |    1|  138.190   pc  |  -0.3800     +0.3800  |paral   |2020yCat.1350....0G
245 |HD 221953                                                             |Star                              |23 36 38.6452387224 -35 21 17.637895656|001.0366654949643 -72.0634485174375|-35.495 -31.142   |8.62     |F5/6V                |    ~     ~    |    1|   91.193   pc  |  -0.1572     +0.1572  |paral   |2020yCat.1350....0G
246 |HD 221566                                                             |High Proper Motion Star           |23 33 26.0865732240 -35 46 27.772988880|000.5809853487728 -71.3009374232861| 39.812 -35.064   |9.34     |G2V                  |    ~     ~    |    1|  178.968   pc  |  -0.5445     +0.5445  |paral   |2020yCat.1350....0G
247 |CD-36 15938                                                           |Star                              |23 33 29.5651783584 -35 46 42.363977520|000.5554707877082 -71.3103090591367|-10.559 -31.297   |10.19    |F5                   |    ~     ~    |    1|  244.942   pc  |  -1.2419     +1.2419  |paral   |2020yCat.1350....0G
248 |CD-36 15951                                                           |Star                              |23 35 08.9123119488 -35 55 21.627268320|359.7318558397921 -71.5645557311594|-22.486 -19.227   |9.92     |F8                   |    ~     ~    |    1|  224.957   pc  |  -1.1285     +1.1285  |paral   |2020yCat.1350....0G
249 |CD-35 15816                                                           |High Proper Motion Star           |23 30 02.5732225080 -34 44 30.292680552|004.3193633363781 -71.0045769249764|  124.115 7.345   |10.937   |~                    |    ~     ~    |    1|  236.678   pc  |  -4.3290     +4.3290  |ST-L    |2020AJ....160...83S
250 |CD-34 16059                                                           |Double or Multiple Star           |23 30 11.5297060032 -33 38 05.685236844|007.5815082383836 -71.3489237113772|  18.460 -4.389   |10.408   |~                    |    ~     ~    |    1|  525.488   pc  | -24.4500    +24.4500  |ST-L    |2020AJ....160...83S
251 |CD-36 15912                                                           |Star                              |23 30 14.9335750176 -35 38 06.659593404|001.7027344336650 -70.7489706291126|  9.680 -12.152   |10.30    |~                    |    ~     ~    |    1|  443.541   pc  | -17.1900    +17.1900  |ST-L    |2020AJ....160...83S
252 |CD-35 15822                                                           |Star                              |23 30 59.7729712488 -35 17 29.634784764|002.5266500857725 -71.0105064242428| -1.638 -14.414   |10.70    |~                    |    ~     ~    |    1|  433.313   pc  |  -7.7733     +7.7733  |paral   |2020yCat.1350....0G
253 |CD-34 16068                                                           |High Proper Motion Star           |23 31 39.2345589168 -34 16 26.956612632|005.3915196596161 -71.4626605887687| 73.043 -12.882   |10.940   |~                    |    ~     ~    |    1|  197.916   pc  |  -3.2120     +3.2120  |ST-L    |2020AJ....160...83S
254 |CD-34 16074                                                           |Star                              |23 32 54.1768895376 -33 41 36.711793860|006.9251645698752 -71.8768725709002| 22.832 -11.082   |10.74    |~                    |    ~     ~    |    1|  255.918   pc  |  -1.2771     +1.2771  |paral   |2020yCat.1350....0G
255 |CD-34 16083                                                           |Star                              |23 34 09.7272487992 -34 17 40.117097868|004.8278816202780 -71.9500508606573| 14.558 -23.722   |10.17    |~                    |    ~     ~    |    1|  402.107   pc  | -10.5260    +10.5260  |paral   |2020yCat.1350....0G
256 |CD-36 15956                                                           |Star                              |23 35 28.7353517544 -35 20 13.055497188|001.3760794285817 -71.8496188950953|  -7.872 -5.013   |10.23    |~                    |    ~     ~    |    1|  871.992   pc  | -11.7097    +11.7097  |paral   |2020yCat.1350....0G
257 |CD-35 15859                                                           |Star                              |23 36 39.8029236336 -35 16 32.903648760|001.2702130870164 -72.0967257578039|   39.375 6.219   |10.20    |~                    |    ~     ~    |    1|  189.627   pc  |  -0.5789     +0.5789  |paral   |2020yCat.1350....0G
258 |CD-34 16099                                                           |Star                              |23 37 02.7188589696 -34 11 38.057799480|004.5206638137136 -72.5470215256781|  -2.590 -6.124   |10.64    |~                    |    ~     ~    |    1| 2092.050   pc  | -68.7138    +68.7138  |paral   |2020yCat.1350....0G
259 |CD-36 15948                                                           |Star                              |23 34 26.4000288072 -35 44 32.855497476|000.4318486359118 -71.5017975504634| -2.833 -29.803   |10.66    |~                    |    ~     ~    |    1|  325.256   pc  | -19.5185    +19.5185  |paral   |2020yCat.1350....0G
260 |CD-34 16097                                                           |Star                              |23 36 42.1766213304 -34 14 49.667518032|004.4292554899647 -72.4628381365225|  -2.963 -8.382   |10.59    |~                    |    ~     ~    |    1| 1185.396   pc  | -25.4335    +25.4335  |paral   |2020yCat.1350....0G
261 |CD-35 15863                                                           |Star                              |23 37 21.7890573624 -35 18 05.140549080|001.0176687246312 -72.2194458927071|  39.195 -9.327   |10.68    |~                    |    ~     ~    |    1|  202.299   pc  |  -2.3800     +2.3800  |ST-L    |2020AJ....160...83S
262 |TYC 7517-780-1                                                        |Star                              |23 33 20.1412047696 -33 34 53.016154536|007.1935088083280 -71.9941911616617|  14.135 -7.822   |10.91    |~                    |    ~     ~    |    1| 1058.873   pc  | -16.3697    +16.3697  |paral   |2020yCat.1350....0G
263 |TYC 7517-1123-1                                                       |Star                              |23 34 21.4195276128 -34 33 33.644630808|003.9772839650801 -71.9038063468379|    1.065 0.011   |10.76    |~                    |    ~     ~    |    1|  328.052   pc  |  -1.5605     +1.5605  |paral   |2020yCat.1350....0G
