C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:56:55

dec< 0&rah >=23.5&rah< 23.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 2513

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|---------------|-----|----------------|-----------------------|--------|-------------------
23  |CD-44 15269                                                           |Star                              |23 31 56.9591423688 -44 12 43.351071444|340.8091386380452 -66.6196473456035|  10.468 -3.196   |10.320   |~                    |    ~     ~    |    1| 2345.420   pc  |-346.5000   +346.5000  |ST-L    |2020AJ....160...83S
24  |CD-44 15276                                                           |High Proper Motion Star           |23 32 52.1940160056 -43 49 56.737629120|341.2742029681353 -66.9910577794353|-17.035 -47.738   |9.81     |F5                   |    ~     ~    |    1|  224.674   pc  |  -1.6658     +1.6658  |paral   |2020yCat.1350....0G
25  |HD 221610                                                             |Star                              |23 33 46.9930683984 -43 58 17.577589044|340.7299825468672 -67.0262136913519|-25.252 -22.110   |8.22     |G8III                |    ~     ~    |    1|  365.858   pc  |  -2.9715     +2.9715  |paral   |2020yCat.1350....0G
26  |HD 221806                                                             |High Proper Motion Star           |23 35 24.4861967568 -44 14 50.877407616|339.7048547558331 -67.0630020993987|-82.453 -34.373   |10.00    |F7/8V                |    ~     ~    |    1|  126.118   pc  |  -0.6219     +0.6219  |paral   |2020yCat.1350....0G
27  |HD 222042                                                             |Star                              |23 37 22.2855004800 -44 07 21.680070996|339.3313436794505 -67.4073338777397| 26.364 -11.745   |9.113    |F5V                  |    ~     ~    |    1|  209.665   pc  |  -2.7170     +2.7170  |ST-L    |2020AJ....160...83S
28  |HD 221371                                                             |Star                              |23 31 55.1211694392 -44 26 15.817857900|340.3870587855148 -66.4688542693321|   24.286 7.485   |9.67     |G8/K0(IV)            |    ~     ~    |    1|  649.513   pc  | -33.6600    +33.6600  |ST-L    |2020AJ....160...83S
29  |CD-43 15393                                                           |Double or Multiple Star           |23 30 42.6542810904 -42 23 01.675859676|344.8531413769167 -67.5780967829366|  -0.342 -6.209   |10.731   |~                    |    ~     ~    |    1|  365.430   pc  |  -2.2835     +2.2835  |paral   |2020yCat.1350....0G
30  |CD-45 15050                                                           |Star                              |23 30 47.0175701232 -44 22 36.546028644|340.8313326011854 -66.3539742865118|   23.418 1.330   |10.37    |~                    |    ~     ~    |    1|  238.521   pc  |  -0.9558     +0.9558  |paral   |2020yCat.1350....0G
31  |CD-43 15395                                                           |Star                              |23 31 15.2906446704 -43 17 57.587725716|342.8076129932348 -67.1014390958799|   4.641 -6.869   |10.83    |~                    |    ~     ~    |    1|  902.075   pc  | -72.5900    +72.5900  |ST-L    |2020AJ....160...83S
32  |CD-44 15272                                                           |Star                              |23 32 20.0973329256 -43 42 04.620536856|341.6902078142620 -67.0008684083005|   -7.235 6.260   |10.820   |~                    |    ~     ~    |    1|  322.060   pc  |  -5.8130     +5.8130  |ST-L    |2020AJ....160...83S
