C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
2893|HD 315249                                                                                                                                                                      |Double or Multiple Star               |18 09 43.6296965568 -23 55 14.535469668|007.0437336603230 -02.1572129184510|   6.086 -0.554   |10.019   |G5                   |    ~     ~            
2894|CD-23 13997                                                                                                                                                                    |Star                                  |18 09 46.3516336800 -23 40 51.485570904|007.2588693485950 -02.0506291613511|   2.128 -1.417   |9.19     |B1V                  |    ~     ~            
2895|HD 166033                                                                                                                                                                      |Star                                  |18 09 46.7453465328 -23 38 44.797782696|007.2904375664347 -02.0349644983825|   1.775 -0.701   |8.60     |OB                   |    ~     ~            
2896|HD 166032                                                                                                                                                                      |Star                                  |18 09 49.2422728176 -23 26 27.564327348|007.4745175697268 -01.9444983564088| -3.217 -14.375   |8.11     |K1III                |    ~     ~            
2897|HD 314031                                                                                                                                                                      |Star                                  |18 09 51.6284604096 -23 36 51.348593160|007.3270572973182 -02.0360869691738|   2.157 -1.012   |9.86     |B0.5V                |    ~     ~            
2898|HD 166055                                                                                                                                                                      |Be Star                               |18 09 53.2767275400 -23 02 25.222736004|007.8330646178917 -01.7646703154847|  -0.619 -2.366   |10.09    |B8Ib/II              |    ~     ~            
2899|HD 166107                                                                                                                                                                      |Double or Multiple Star               |18 10 06.8381721480 -23 46 22.605346452|007.2159504867555 -02.1634434037849|    2.429 2.147   |7.96     |B2V                  |    ~     ~            
2900|CD-23 14006                                                                                                                                                                    |Star                                  |18 10 07.3598459736 -23 45 10.188863604|007.2345475825025 -02.1554911953695|  11.304 -7.158   |9.06     |~                    |    ~     ~            
2901|HD 166147                                                                                                                                                                      |Star                                  |18 10 16.8399877776 -23 24 32.499906732|007.5534475654068 -02.0215186181872|    2.078 0.043   |9.16     |A0III/IV             |    ~     ~            
2902|HD 166191                                                                                                                                                                      |Star                                  |18 10 30.3388577208 -23 34 00.266472840|007.4400126066765 -02.1426956982486| -4.931 -39.349   |8.38     |F3/5V                |    ~     ~            
2903|HD 166192                                                                                                                                                                      |Star                                  |18 10 32.7222694344 -23 55 08.419314396|007.1353939192272 -02.3202379369707|   3.643 -2.186   |8.60     |B2II                 |    ~     ~            
2904|HD 166324                                                                                                                                                                      |Star                                  |18 11 08.3025408312 -23 21 04.019502492|007.6990370846923 -02.1661709710786|  -1.270 -3.014   |8.00     |G6III                |    ~     ~            
2905|* 11 Sgr                                                                                                                                                                       |Orion Variable                        |18 09 17.6999100192 -23 59 18.231196056|006.9367106550016 -02.1034274473270|   2.766 -1.214   |7.31     |O7V(n)z+B0:V:        |    ~     ~            
2906|HD 314027                                                                                                                                                                      |Orion Variable                        |18 10 54.3333482376 -23 41 34.509538428|007.3734250386996 -02.2837037932498|   0.644 -2.343   |10.02    |F8                   |    ~     ~            
2907|HD 313845                                                                                                                                                                      |Star                                  |18 05 23.3168627088 -23 00 09.169588872|007.3629307263143 -00.8414923161818|   0.568 -1.915   |10.51    |B8                   |    ~     ~            
2908|HD 314035                                                                                                                                                                      |Star                                  |18 10 17.8845811632 -23 47 10.661623224|007.2245541382730 -02.2067828216222|   -0.033 0.822   |10.26    |K2                   |    ~     ~            
2909|HD 314030                                                                                                                                                                      |Star                                  |18 10 04.9998 -23 38 46.339            |007.3236886 -02.0962058            |  -1.046 -3.412   |9.65     |B8                   |    ~     ~            
2910|HD 314014                                                                                                                                                                      |Double or Multiple Star               |18 09 19.583664 -23 14 40.56432        |007.591744598 -01.750296138        |        4.0 3.7   |10.682   |F                    |    ~     ~            
2911|HD 314011                                                                                                                                                                      |Star                                  |18 10 16.2925160232 -23 14 36.027574080|007.6976982964239 -01.9398297162404|  -1.749 -0.384   |10.97    |B9                   |    ~     ~            
2912|HD 314010                                                                                                                                                                      |Star                                  |18 10 20.3661346512 -23 15 55.109299680|007.6859595484821 -01.9640806145205| -0.325 -28.947   |10.71    |G0                   |    ~     ~            
2913|HD 313997                                                                                                                                                                      |Star                                  |18 08 59.4329458800 -22 57 19.880562996|007.8074958573126 -01.5428815679240| -2.461 -17.522   |10.03    |K7                   |    ~     ~            
2914|HD 313996                                                                                                                                                                      |Star                                  |18 09 41.5227709368 -22 55 04.650626280|007.9185061117867 -01.6660984545671|  1.319 -11.462   |10.28    |G0                   |    ~     ~            
2915|HD 313991                                                                                                                                                                      |Star                                  |18 10 08.5267817688 -22 52 59.509469604|007.9990127008524 -01.7400967215327|   1.859 -2.848   |10.47    |A5                   |    ~     ~            
2916|HD 313989                                                                                                                                                                      |Star                                  |18 10 24.0998 -22 55 04.878            |007.9973220 -01.8092540            |  -0.067 -4.489   |10.19    |K7                   |    ~     ~            
2917|HD 313982                                                                                                                                                                      |Star                                  |18 10 03.9680967600 -22 35 04.125897420|008.2523201558361 -01.5806338987187|    0.355 1.505   |10.34    |A7                   |    ~     ~            
2918|HD 313978                                                                                                                                                                      |Star                                  |18 09 31.0117434528 -22 29 50.804853900|008.2672808854047 -01.4275441485147|   0.887 -0.140   |10.84    |A2                   |    ~     ~            
2919|HD 313974                                                                                                                                                                      |Star                                  |18 10 45.9402782016 -22 31 51.987448524|008.3769895440539 -01.6964027149617|   0.381 -0.872   |10.55    |F0                   |    ~     ~            
2920|NGC 6546 100                       HD 313866                                                                                                                                   |Star                                  |18 07 11.3149715664 -23 19 48.183654396|007.2788454236915 -01.3623996670738|  5.334 -11.583   |10.88    |A0                   |    ~     ~            
2921|HD 313859                                                                                                                                                                      |Star                                  |18 08 47.3639179032 -22 58 12.036637308|007.7723907192801 -01.5093801535593|    2.814 8.488   |10.56    |F2                   |    ~     ~            
2922|HD 313856                                                                                                                                                                      |Star                                  |18 08 22.9723089288 -22 46 24.410081532|007.8989953814422 -01.3322170550374|  15.090 22.831   |10.97    |F5                   |    ~     ~            
2923|HD 313852                                                                                                                                                                      |Star                                  |18 07 16.9037305344 -22 55 31.728077832|007.6428274880071 -01.1843017283487|   1.536 -2.757   |10.93    |A5                   |    ~     ~            
2924|HD 313851                                                                                                                                                                      |Star                                  |18 06 04.6323090096 -22 58 11.709493968|007.4688574241612 -00.9638134876443|   1.372 -6.842   |10.29    |K7                   |    ~     ~            
2925|HD 313844                                                                                                                                                                      |Star                                  |18 05 28.2495313104 -22 54 54.407704824|007.4484568104819 -00.8152312894329|   -1.875 0.759   |10.54    |G5                   |    ~     ~            
2926|HD 313842                                                                                                                                                                      |Star                                  |18 05 53.4438270768 -22 40 58.614659364|007.6983239371117 -00.7861737091890|  -0.845 -2.312   |10.72    |A0                   |    ~     ~            
2927|HD 313841                                                                                                                                                                      |Star                                  |18 06 23.0359576080 -22 43 43.776533892|007.7138107102828 -00.9078406862886|  -1.486 -0.678   |10.77    |B                    |    ~     ~            
2928|HD 313840                                                                                                                                                                      |Star                                  |18 06 36.9846842616 -22 42 57.514679604|007.7511761749818 -00.9483775067821|    6.988 1.393   |10.95    |A3                   |    ~     ~            
2929|HD 313837                                                                                                                                                                      |Star                                  |18 07 06.5186285760 -22 34 32.660433840|007.9289982351215 -00.9792487419692|   0.583 -1.649   |10.72    |B8                   |    ~     ~            
2930|HD 313836                                                                                                                                                                      |Star                                  |18 07 08.5251528936 -22 34 53.669661708|007.9276578759234 -00.9888328751406|   0.444 -3.313   |10.92    |A0                   |    ~     ~            
2931|HD 313727                                                                                                                                                                      |Star                                  |18 04 54.7796663376 -22 56 12.875892252|007.3665713894315 -00.7138983315654|    1.526 0.732   |10.43    |F0                   |    ~     ~            
2932|HD 313725                                                                                                                                                                      |Star                                  |18 04 58.3000353096 -22 45 26.353212408|007.5297700734668 -00.6377074211320|        2.1 3.7   |10.65    |G5                   |    ~     ~            
2933|HD 313723                                                                                                                                                                      |Star                                  |18 04 52.2951446328 -22 42 33.993352368|007.5602045958300 -00.5941338597519|   0.547 -1.446   |10.6     |A2                   |    ~     ~            
2934|HD 313721                                                                                                                                                                      |Star                                  |18 04 30.6119306472 -22 51 04.722663780|007.3957076822820 -00.5910821118059|    1.469 3.281   |10.4     |K0                   |    ~     ~            
2935|HD 313715                                                                                                                                                                      |Star                                  |18 03 07.3685858040 -22 55 39.940946076|007.1720680915362 -00.3503830449281|   0.175 -1.817   |10.65    |A2                   |    ~     ~            
2936|HD 313705                                                                                                                                                                      |Star                                  |18 04 10.3506240696 -22 35 49.399866024|007.5790320810987 -00.3984567541310|   0.195 -1.877   |10.18    |B8                   |    ~     ~            
2937|HD 315015                                                                                                                                                                      |Star                                  |18 05 55.7726130864 -23 54 35.992272888|006.6316973594805 -01.3931822417253|   1.039 -1.647   |10.65    |A2                   |    ~     ~            
2938|CD-23 13992                                                                                                                                                                    |Long-Period Variable Candidate        |18 09 35.3846860608 -23 07 20.350485912|007.7281105443625 -01.7441955024814|   0.734 -1.609   |10.07    |M5                   |    ~     ~            
2939|NGC 6530 73                        HD 315031                                                                                                                                   |Spectroscopic Binary                  |18 04 28.0254107904 -24 21 42.788444328|006.0741969228955 -01.3232373179364|   1.476 -2.150   |9.090    |B0.5IV/V+B1V         |    ~     ~            
2940|HD 315047                                                                                                                                                                      |Star                                  |18 03 08.6662847688 -24 37 59.938607244|005.6898749116147 -01.1944709683860|  -1.878 -9.796   |9.69     |K0                   |    ~     ~            
2941|HD 164705                                                                                                                                                                      |Star                                  |18 03 26.0999798904 -24 00 12.920209524|006.2707697686383 -00.9422463662580|  -3.628 -7.860   |9.99     |A3/5II               |    ~     ~            
2942|NGC 6530 177                       NAME Her 36SE                      NAME Herschel 36                   NAME Her 36                        NAME Her 36SE                      |Spectroscopic Binary                  |18 03 40.3201232304 -24 22 42.857540472|005.9707637937550 -01.1736772945055|   2.040 -2.243   |10.372   |O8V+                 |    ~     ~            
2943|NGC 6530 170                       CD-24 13810                                                                                                                                 |Young Stellar Object                  |18 03 45.0958464864 -24 22 05.325003732|005.9887542827913 -01.1843404962054|   1.595 -2.232   |10.054   |B2-B4V               |    ~     ~            
2944|HD 164793                                                                                                                                                                      |Star                                  |18 03 52.3177668408 -24 00 01.932412392|006.3224908114590 -01.0276515505907|  -0.964 -4.271   |10.09    |B9II/III             |    ~     ~            
2945|NGC 6530 9                         HD 164816                                                                                                                                   |Be Star                               |18 03 56.8425865728 -24 18 45.118050552|006.0591154274928 -01.1958686849959|   1.685 -1.717   |6.986    |O9.5V+B0V            |    ~     ~            
2946|HD 164834                                                                                                                                                                      |Star                                  |18 04 04.6567404000 -24 53 11.217791832|005.5734900046822 -01.5033682482810| -3.259 -19.122   |9.98     |A9/F0V               |    ~     ~            
2947|NGC 6530 19                        HD 315025                                                                                                                                   |Young Stellar Object                  |18 04 07.3430494776 -24 19 26.192892864|006.0687495280860 -01.2362049842050|  -0.032 -0.973   |10.756   |B8                   |    ~     ~            
2948|NGC 6530 43                        HD 315026                                                                                                                                   |Double or Multiple Star               |18 04 14.5189421200 -24 14 36.851688090|006.1521734056713 -01.2205146922977|-21.770 -16.472   |9.21     |B0V                  |    ~     ~            
2949|NGC 6530 42                        HD 315032                                                                                                                                   |Young Stellar Object                  |18 04 15.0268429224 -24 23 27.713497344|006.0245911667750 -01.2945367220630|   1.299 -2.195   |9.122    |B0IV                 |    ~     ~            
2950|HD 315012                                                                                                                                                                      |Star                                  |18 04 14.5324286328 -24 05 37.486631292|006.2827782049155 -01.1470518379781|   3.810 -5.875   |9.72     |K0                   |    ~     ~            
2951|NGC 6530 45                        HD 164865                                                                                                                                   |Blue Supergiant                       |18 04 15.2161048560 -24 11 00.078860400|006.2059550448617 -01.1932815454411|  -0.539 -1.841   |7.630    |B9Ia                 |    ~     ~            
2952|NGC 6530 55                        HD 315023                                                                                                                                   |Star                                  |18 04 20.5582786632 -24 13 54.787761984|006.1736159984312 -01.2347785405728|   3.444 -0.904   |10.028   |B3V+                 |    ~     ~            
2953|NGC 6530 56                        CD-24 13829                                                                                                                                 |Double or Multiple Star               |18 04 21.2734315416 -24 21 18.110381292|006.0676034184526 -01.2975394460623|   1.853 -1.883   |9.453    |B1.5Vne              |    ~     ~            
2954|NGC 6530 58                        CD-24 13830                                                                                                                                 |Herbig Ae/Be Star                     |18 04 22.7421765936 -24 22 09.724518840|006.0578396521836 -01.3094286891919|   1.367 -2.124   |10.016   |B2Ve                 |    ~     ~            
2955|NGC 6530 66                        CD-24 13831                                                                                                                                 |Star                                  |18 04 25.5554033664 -24 20 44.860145748|006.0836274456392 -01.3071766150543|   1.282 -2.111   |10.17    |B1V                  |    ~     ~            
2956|HD 164907                                                                                                                                                                      |Star                                  |18 04 28.8969595200 -24 42 36.689758128|005.7721300599227 -01.4968427854176|  26.388 -0.254   |9.75     |F6/8V                |    ~     ~            
2957|NGC 6530 76                        HD 315024                                                                                                                                   |Star                                  |18 04 29.2696805472 -24 19 25.110290784|006.1098552977013 -01.3086064937246|   1.423 -1.945   |9.68     |B0IV                 |    ~     ~            
2958|NGC 6530 85                        HD 164933                                                                                                                                   |Star                                  |18 04 33.0353661936 -24 09 38.273792904|006.2589878739272 -01.2411715239033|   0.538 -1.989   |9.300    |B0III                |    ~     ~            
2959|NGC 6530 88                        HD 164948                                                                                                                                   |Star                                  |18 04 36.0815494368 -24 26 44.564199252|006.0160942317545 -01.3909668226546|   6.900 45.120   |8.61     |F8                   |    ~     ~            
2960|HD 165016                                                                                                                                                                      |Star                                  |18 04 58.1895759840 -24 40 50.929858956|005.8520776665675 -01.5791384435811|   0.839 -3.340   |8.73     |B2Ib                 |    ~     ~            
2961|NGC 6530 118                       HD 165052                                                                                                                                   |Spectroscopic Binary                  |18 05 10.5506592816 -24 23 54.847798080|006.1212554053673 -01.4819148153243|   1.690 -2.113   |6.87     |O5.5:Vz+O8:V         |    ~     ~            
2962|HD 165133                                                                                                                                                                      |Emission-line Star                    |18 05 30.4146394584 -24 12 12.905700552|006.3282942840925 -01.4523872936708|   1.540 -1.187   |9.60     |B2III/IV             |    ~     ~            
2963|HD 165247                                                                                                                                                                      |Star                                  |18 06 04.9788623640 -24 19 03.745315488|006.2927908028950 -01.6226918105622|  -0.218 -0.215   |10.08    |A2                   |    ~     ~            
2964|HD 165246                                                                                                                                                                      |Double or Multiple Star               |18 06 04.6792554840 -24 11 43.890335448|006.3989356351852 -01.5620972756156|   2.243 -1.569   |7.60     |O8V(n)               |    ~     ~            
2965|HD 315147                                                                                                                                                                      |Star                                  |18 06 11.8381642320 -24 31 02.274303144|006.1311610399183 -01.7427431771157|  -1.588 -2.464   |10.93    |F8                   |    ~     ~            
2966|HD 165289                                                                                                                                                                      |Star                                  |18 06 19.2059877792 -24 45 42.370482204|005.9311910414922 -01.8862593616747| -4.532 -16.197   |9.37     |G6IV                 |    ~     ~            
2967|HD 165321                                                                                                                                                                      |Star                                  |18 06 29.7732154224 -24 09 32.985545580|006.4772174071417 -01.6276528363495|  -3.093 -5.856   |8.97     |A0V(pSi)             |    ~     ~            
2968|HD 165447                                                                                                                                                                      |Star                                  |18 07 02.7429556632 -24 19 30.742538736|006.3931066848094 -01.8178956303688|  2.541 -10.342   |9.23     |B9IV/V               |    ~     ~            
2969|HD 165483                                                                                                                                                                      |Star                                  |18 07 17.9702932272 -24 15 44.590864644|006.4761588576146 -01.8378924008931|   -2.152 3.835   |9.03     |G8IV                 |    ~     ~            
2970|HD 315151                                                                                                                                                                      |Star                                  |18 07 59.3931657192 -24 35 55.624991352|006.2581783478995 -02.1385567302067|    0.616 0.252   |9.90     |K5                   |    ~     ~            
2971|HD 165654                                                                                                                                                                      |Star                                  |18 08 08.8112875992 -24 53 27.840441048|006.0195907469468 -02.3113593267730|    1.959 4.724   |9.81     |F0V                  |    ~     ~            
2972|HD 165690                                                                                                                                                                      |Star                                  |18 08 15.3630158112 -24 24 50.375238696|006.4492941813333 -02.1019703061848|  0.816 -15.864   |9.16     |K0(III)              |    ~     ~            
2973|HD 165813                                                                                                                                                                      |Star                                  |18 08 54.0401084976 -24 21 28.720638468|006.5694319472729 -02.2033038864896|  -2.435 -0.820   |8.71     |M0(III)              |    ~     ~            
2974|HD 165895                                                                                                                                                                      |Emission-line Star                    |18 09 17.5103517672 -24 41 47.204409048|006.3158541916327 -02.4447161112560|  -0.339 -0.813   |10.00    |B5III/V              |    ~     ~            
2975|HD 165923                                                                                                                                                                      |Star                                  |18 09 21.5921878512 -24 49 09.137001180|006.2156984856707 -02.5174893842703|    3.509 1.202   |9.90     |B8/9II               |    ~     ~            
2976|HD 165922                                                                                                                                                                      |Star                                  |18 09 23.9678330640 -24 31 33.997832760|006.4769835136693 -02.3839224890145|   0.158 -2.863   |9.95     |A8/9V                |    ~     ~            
2977|HD 165972                                                                                                                                                                      |alpha2 CVn Variable                   |18 09 32.5988316144 -24 39 49.949541360|006.3719990325185 -02.4790349933416|   2.776 -0.497   |8.96     |B9II(pSi)            |    ~     ~            
2978|HD 166001                                                                                                                                                                      |Star                                  |18 09 41.3684680704 -24 42 56.194689456|006.3426584350491 -02.5330672516909|-21.208 -27.416   |8.57     |K3/4III              |    ~     ~            
2979|HD 166056                                                                                                                                                                      |Star                                  |18 09 56.7512289888 -24 06 22.231433160|006.9052366458207 -02.2904086617064|   1.696 -1.715   |10.05    |B2Ve                 |    ~     ~            
2980|CD-24 13985                                                                                                                                                                    |Star                                  |18 09 58.3810807752 -24 06 48.025667412|006.9019442268000 -02.2992933969854|   1.656 -1.732   |10.87    |B0.5Vn               |    ~     ~            
2981|CD-24 13992                                                                                                                                                                    |Star                                  |18 10 27.1538043384 -24 54 48.549101868|006.2524959987898 -02.7801036765587|   0.567 -0.283   |10.83    |OB                   |    ~     ~            
2982|HD 315260                                                                                                                                                                      |High Proper Motion Star               |18 10 26.5397713512 -24 26 12.555583548|006.6697401184636 -02.5488060314500|  0.808 -62.149   |9.91     |G0                   |    ~     ~            
2983|HD 315259                                                                                                                                                                      |Star                                  |18 10 29.8012432248 -24 27 14.550569352|006.6605853180838 -02.5679361490090|   9.096 -2.422   |10.26    |B9                   |    ~     ~            
2984|HD 164679                                                                                                                                                                      |Rotating Variable                     |18 03 26.4277428792 -25 15 59.423915700|005.1714234522229 -01.5643318897066|   5.079 -8.476   |8.833    |G9III                |    ~     ~            
2985|HD 164908                                                                                                                                                                      |Star                                  |18 04 30.4878989688 -25 04 05.107943748|005.4629750447423 -01.6774551026152|   3.474 -2.670   |9.81     |A1III                |    ~     ~            
2986|HD 164949                                                                                                                                                                      |Star                                  |18 04 40.7638140168 -25 11 58.059298752|005.3673752356913 -01.7755926968354|  -1.038 -2.715   |9.38     |B8II                 |    ~     ~            
2987|HD 165153                                                                                                                                                                      |Star                                  |18 05 45.1748218776 -25 14 18.041825472|005.4521659585498 -02.0064209741351|   1.006 -2.778   |10.14    |B8V                  |    ~     ~            
2988|HD 315177                                                                                                                                                                      |Emission-line Star                    |18 07 11.9292989472 -25 16 30.583592760|005.5792276503142 -02.3099195545238|  -0.963 -0.014   |10.5     |A0                   |    ~     ~            
2989|HD 165517                                                                                                                                                                      |Be Star                               |18 07 27.2509608168 -25 06 16.492632048|005.7565458398781 -02.2776129260094|   0.349 -0.658   |9.10     |B0Ia(n)              |    ~     ~            
2990|HD 166034                                                                                                                                                                      |Star                                  |18 09 56.6980218720 -25 17 08.976051456|005.8703266477360 -02.8584828255563|   4.370 -7.893   |8.57     |K4III                |    ~     ~            
2991|HD 315264                                                                                                                                                                      |Star                                  |18 10 01.5073564872 -24 29 56.174692128|006.5694953164233 -02.4955003287631|   0.384 -2.438   |10.95    |F                    |    ~     ~            
2992|HD 315169                                                                                                                                                                      |Star                                  |18 09 11.0472135816 -25 07 13.753124868|005.9323130908671 -02.6279974001634|   0.245 -2.493   |9.95     |A0                   |    ~     ~            
2993|NGC 6530 245                       HD 315028                                                                                                                                   |Star                                  |18 03 22.9225986576 -24 14 25.432195884|006.0586169659955 -01.0482144125104|   4.916 -1.539   |10.2     |F0                   |    ~     ~            
2994|NGC 6530 6                         HD 315027                                                                                                                                   |Star                                  |18 03 46.8797386248 -24 16 45.976453680|006.0693618632395 -01.1466565731045|   0.834 -2.167   |10.805   |F0                   |    ~     ~            
2995|NGC 6530 105                       HD 315022                                                                                                                                   |Star                                  |18 04 42.79 -24 18 33.9                |006.14742 -01.34639                |            ~ ~   |10.53    |A3                   |    ~     ~            
2996|HD 315017                                                                                                                                                                      |Star                                  |18 05 39.2759990232 -24 11 43.675841436|006.3518406938188 -01.4778046706721|   1.468 -1.752   |10.93    |A3                   |    ~     ~            
2997|NGC 6530 35                        CD-24 13822                                                                                                                                 |Star                                  |18 04 24.0 -24 20 00                   |006.0916 -01.2959                  |            ~ ~   |9.83     |~                    |    ~     ~            
2998|NGC 6546                           NGC 6546                                                                                                                                    |Open Cluster                          |18 07 22.0 -23 17 48                   |007.3279 -01.3819                  |     1.08 -2.50   |8.0      |~                    |14.00 14.00            
2999|NGC 6544                           NGC 6544                                                                                                                                    |Globular Cluster                      |18 07 20.58 -24 59 50.4                |005.83815 -02.20354                | -2.304 -18.604   |9.90     |~                    |12.00 12.00            
3000|C 1806-240                                                                                                                                                                     |Open Cluster                          |18 09 51.0 -23 49 42                   |007.1383 -02.1373                  |     0.56 -3.18   |6.4      |~                    |    ~     ~            
3001|IRAS 18058-2502                                                                                                                                                                |Long-Period Variable                  |18 08 57.7258090320 -25 01 58.069807176|005.9848845151894 -02.5416328225443|  -5.418 -3.436   |10.93    |~                    |    ~     ~            
3002|TYC 6842-652-1                                                                                                                                                                 |Star                                  |18 03 01.8814637256 -22 33 15.259184820|007.4867448179419 -00.1480359336080|    2.609 1.119   |10.96    |~                    |    ~     ~            
3003|CPD-22 6635                                                                                                                                                                    |Star                                  |18 04 18.6927570096 -22 38 56.486888844|007.5495065141424 -00.4519210774640|  -0.364 -2.712   |10.85    |~                    |    ~     ~            
3004|CPD-22 6636                                                                                                                                                                    |Variable Star                         |18 04 19.0561732080 -22 38 32.371964880|007.5560288833588 -00.4498509503361|   0.569 -1.344   |10.5     |~                    |    ~     ~            
3005|TYC 6842-1792-1                                                                                                                                                                |Star                                  |18 04 55.7096386680 -23 25 38.967112956|006.9405762452268 -00.9573101383649|  10.655 -8.310   |10.61    |~                    |    ~     ~            
3006|NGC 6530 59                        HD 315033                                                                                                                                   |Star                                  |18 04 23.2279355376 -24 26 16.720588140|005.9989320025331 -01.3446775493415|   1.610 -2.158   |8.90     |B1V                  |    ~     ~            
3007|NGC 6530 65                        HD 164906                                                                                                                                   |Be Star                               |18 04 25.8330927672 -24 23 08.363828580|006.0493928469175 -01.3276390779928|   2.084 -0.829   |7.381    |B0Ve                 |    ~     ~            
3008|HD 313846                                                                                                                                                                      |Wolf-Rayet                            |18 05 25.7344895280 -23 00 20.334949992|007.3647615038617 -00.8510967490822|  -0.750 -2.372   |9.89     |WN9h+OB              |    ~     ~            
3009|HD 165858                                                                                                                                                                      |Star                                  |18 09 00.5181193608 -23 19 02.274515688|007.4927793154996 -01.7215801183825|   1.625 -1.227   |10.26    |B2III                |    ~     ~            
3010|[SC96] GC 361                                                                                                                                                                  |Star                                  |18 03 42.0 -22 51 00                   |007.3052 -00.4278                  |            ~ ~   |6.78     |~                    |    ~     ~            
3011|[SC96] GC 362                                                                                                                                                                  |Star                                  |18 03 42.0 -23 21 00                   |006.8698 -00.6737                  |            ~ ~   |8.39     |~                    |    ~     ~            
3012|[SC96] GC 363                                                                                                                                                                  |Star                                  |18 03 42.0 -22 45 00                   |007.3923 -00.3787                  |            ~ ~   |9.54     |~                    |    ~     ~            
3013|[SC96] GC 415                                                                                                                                                                  |Star                                  |18 07 48.0 -22 54 00                   |007.7231 -01.2762                  |            ~ ~   |8.07     |~                    |    ~     ~            
