C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:25:33

Vmag< 11&dec< 0&rah >=18.0&rah< 18.25
-------------------------------------

Number of objects : 9145

 #  |                                                                                  identifier                                                                                   |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------
31  |CD-43 12186                                                                                                                                                                    |Star                                  |18 00 16.2218207304 -43 41 01.623346008|348.6520998239267 -09.9295291307550|  -0.375 -2.219   |9.93     |~                    |    ~     ~            
32  |CD-44 12263                                                                                                                                                                    |Star                                  |18 01 46.0952608104 -44 18 49.414642884|348.2160010403756 -10.4635405736659|  7.104 -21.845   |9.81     |~                    |    ~     ~            
33  |CD-42 12757                                                                                                                                                                    |Star                                  |18 01 57.8707128384 -42 22 13.391774796|349.9750844414702 -09.5819133797186|  -3.105 -9.905   |10.42    |~                    |    ~     ~            
34  |CD-43 12207                                                                                                                                                                    |Star                                  |18 02 26.8050305448 -43 20 58.138204272|349.1402243845521 -10.1202949320306|  0.380 -11.562   |10.07    |~                    |    ~     ~            
35  |CD-42 12772                                                                                                                                                                    |Star                                  |18 02 32.2861694952 -42 41 56.624920296|349.7313939822454 -09.8298968540511|    2.951 3.563   |10.30    |~                    |    ~     ~            
36  |CD-43 12209                                                                                                                                                                    |Star                                  |18 02 44.7835265088 -43 21 12.355348788|349.1625827448362 -10.1702785673027|  4.800 -17.878   |9.72     |~                    |    ~     ~            
37  |CD-42 12795                                                                                                                                                                    |Star                                  |18 03 31.8556290912 -42 48 36.881139996|349.7183561427363 -10.0429964603426|-10.200 -12.062   |10.10    |~                    |    ~     ~            
38  |HD 165086                                                                                                                                                                      |Star                                  |18 06 12.4030911912 -42 10 43.886061408|350.5190894929771 -10.1862816514529| -1.022 -18.181   |9.83     |F0/2V                |    ~     ~            
39  |HD 164545                                                                                                                                                                      |Double or Multiple Star               |18 03 38.90897 -42 52 34.2018          |349.66937027 -10.09283437          |   -6.03 -28.90   |9.862    |F6/8                 |    ~     ~            
40  |HD 164611                                                                                                                                                                      |Star                                  |18 03 58.2870936408 -42 24 31.114951956|350.1173534430072 -09.9270603299828|   0.647 -3.572   |9.55     |A0III/IV             |    ~     ~            
41  |HD 164625                                                                                                                                                                      |High Proper Motion Star               |18 04 05.5926764976 -42 50 34.015519608|349.7379708605624 -10.1493672391044|  3.376 -94.126   |9.22     |F7V                  |    ~     ~            
42  |V* V711 CrA                                                                                                                                                                    |Eclipsing Binary                      |18 04 32.8208770224 -42 13 24.280213980|350.3340784999566 -09.9347288024384| 12.624 -15.753   |8.37     |F3V                  |    ~     ~            
43  |HD 164914                                                                                                                                                                      |Star                                  |18 05 27.0474963144 -42 21 26.411370984|350.2925859634080 -10.1449732291304|    2.538 2.567   |9.09     |G8/K0II/III          |    ~     ~            
44  |HD 165087                                                                                                                                                                      |Star                                  |18 06 12.7707383352 -42 25 33.580478244|350.2968971803604 -10.3014776829267|-11.880 -26.104   |10.05    |B9                   |    ~     ~            
45  |HD 165161                                                                                                                                                                      |Star                                  |18 06 37.1143580088 -42 36 24.226756920|350.1688910650452 -10.4511465550286| -4.072 -10.052   |8.51     |G8/K0III             |    ~     ~            
46  |HD 165232                                                                                                                                                                      |Star                                  |18 06 57.5467633535 -42 43 21.832522099|350.0933943507099 -10.5600739387876|  -0.572 -8.181   |7.92     |B9III/IV(+G)         |    ~     ~            
47  |HD 165390                                                                                                                                                                      |Star                                  |18 07 48.5090339784 -42 58 38.368067592|349.9355982877988 -10.8150434397941|   1.624 -4.088   |10.46    |A0/1IV               |    ~     ~            
48  |HD 165452                                                                                                                                                                      |Spectroscopic Binary                  |18 08 06.7173772464 -42 57 28.651208904|349.9789294006158 -10.8556117199979|   0.635 -6.603   |9.82     |G8/K0III             |    ~     ~            
49  |HD 165617                                                                                                                                                                      |Star                                  |18 08 53.5462435344 -42 39 25.326339516|350.3180921799611 -10.8460481717968|   2.992 -4.765   |7.106    |B7V                  |    ~     ~            
