C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:48

dec< 0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2736

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 20815                                                                                                                                    |Star                                |03 21 11.1713721624 -00 31 30.493837920|182.7246458929612 -45.3016048082225|  -5.381 -2.568   |8.64     |F6V                  |    ~     ~            |    1|  262.964   pc  |  -1.6873     +1.6873  |paral   |2020yCat.1350....0G
23  |BD-01 478                                                                                                                                   |Star                                |03 21 36.4321113096 -01 04 40.095255324|183.4279876303404 -45.5716886494140|  27.823 -6.453   |10.32    |F8                   |    ~     ~            |    1|  163.962   pc  |  -1.6330     +1.6330  |ST-L    |2020AJ....160...83S
24  |HD 20571                                                                                                                                    |Star                                |03 18 31.9418540424 -01 37 03.013191192|183.3296578268199 -46.5082781595694|  -1.521 -5.603   |9.31     |F0V                  |    ~     ~            |    1|  208.065   pc  |  -0.7359     +0.7359  |paral   |2020yCat.1350....0G
25  |HD 20703                                                                                                                                    |Star                                |03 20 02.1804334512 -01 35 31.708496508|183.6450806338682 -46.2008534349935|  -31.378 2.238   |7.72     |F5V                  |    ~     ~            |    1|  107.842   pc  |  -0.2907     +0.2907  |paral   |2020yCat.1350....0G
26  |BD-02 605                                                                                                                                   |Star                                |03 20 05.1198598176 -01 33 23.757970896|183.6163669966304 -46.1689485714832|  3.534 -32.541   |9.842    |G0                   |    ~     ~            |    1|  206.995   pc  |  -2.8600     +2.8600  |ST-L    |2020AJ....160...83S
27  |HD 20718                                                                                                                                    |Star                                |03 20 09.8897595288 -01 32 18.275788824|183.6140625190584 -46.1420595323211|  10.705 -3.366   |9.45     |G8III                |    ~     ~            |    1|  651.254   pc  |  -6.7013     +6.7013  |paral   |2020yCat.1350....0G
28  |HD 20744                                                                                                                                    |Star                                |03 20 27.0901747944 -01 45 19.159741116|183.9227151932109 -46.2227771573069|   1.338 -7.056   |9.20     |A3IV                 |    ~     ~            |    1|  212.965   pc  |  -1.1611     +1.1611  |paral   |2020yCat.1350....0G
29  |V* X Cet                                                                                                                                    |Mira Variable                       |03 19 26.0683880208 -01 03 56.179068912|182.9202417197084 -45.9836241771265|  15.509 -5.000   |8.40     |M5.5e                |    ~     ~            |    0|                |                       |        |                   
30  |BD-02 586                                                                                                                                   |Star                                |03 16 01.9051073952 -01 50 57.375566340|183.0120707233709 -47.1383204308583|   -5.373 1.006   |10.06    |K0                   |    ~     ~            |    1|  711.541   pc  | -12.1004    +12.1004  |paral   |2020yCat.1350....0G
31  |BD-02 594                                                                                                                                   |Star                                |03 17 49.1036917392 -01 51 09.439739244|183.4305727935677 -46.7951797345742| 17.579 -10.544   |9.94     |K0                   |    ~     ~            |    1|  661.376   pc  |  -8.3984     +8.3984  |paral   |2020yCat.1350....0G
32  |NGC 1280                           NGC 1280                                                                                                 |LINER-type Active Galaxy Nucleus    |03 17 57.0688907928 -00 10 08.715434808|181.5927209043673 -45.6906101644381|            ~ ~   |     ~   |~                    |0.680 0.544            |    1|   91.92    Mpc |                       |redshift|2007ApJ...655..790C
33  |TYC 4708-412-1                                                                                                                              |Star                                |03 15 45.9500607240 -01 00 52.622709912|182.0120012557937 -46.6544905759833|   1.287 -3.225   |10.19    |~                    |    ~     ~            |    1| 2255.300   pc  |-101.7276   +101.7276  |paral   |2020yCat.1350....0G
34  |UCAC4 449-004267                                                                                                                            |Red Giant Branch star               |03 17 03.1252084632 -00 16 16.476713400|181.4944038118573 -45.9277977155187|   5.546 -8.012   |10.617   |~                    |    ~     ~            |    1|  393.511   pc  | -42.5000    +42.5000  |ST-L    |2020AJ....160...83S
35  |BD-02 597                                                                                                                                   |Star                                |03 18 20.4169560192 -01 32 47.972405724|183.2058400255185 -46.5005258099836|   5.051 -2.346   |10.368   |~                    |    ~     ~            |    1|  428.822   pc  | -10.9600    +10.9600  |ST-L    |2020AJ....160...83S
