C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:36:48

dec< 0&rah >=3.25&rah< 3.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2736

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |       ang. size       |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------------|-----|----------------|-----------------------|--------|-------------------
267 |BD-15 581                                                                                                                                   |High Proper Motion Star             |03 20 51.0086080872 -15 17 30.901899948|201.8233701411623 -53.3862151614175|  118.392 4.743   |10.73    |~                    |    ~     ~            |    1|  113.560   pc  |  -0.1999     +0.1999  |paral   |2020yCat.1350....0G
268 |BD-15 566                                                                                                                                   |High Proper Motion Star             |03 15 40.7277120552 -15 00 49.910080104|200.4860214960590 -54.3929228025408| 49.799 -10.424   |10.24    |~                    |    ~     ~            |    1|  128.776   pc  |  -0.2421     +0.2421  |paral   |2020yCat.1350....0G
269 |2MASS J03185160-1507104                                                                                                                     |Star                                |03 18 51.6107450952 -15 07 10.411964148|201.2154651212228 -53.7465477281780|  -0.404 -3.307   |10.2     |~                    |    ~     ~            |    1| 1798.238   pc  | -62.4096    +62.4096  |paral   |2020yCat.1350....0G
270 |BD-15 579                                                                                                                                   |Star                                |03 18 52.7305973304 -15 03 51.151312008|201.1343069537867 -53.7186366548642|   0.625 -5.851   |10.93    |~                    |    ~     ~            |    1| 1020.408   pc  | -16.6597    +16.6597  |paral   |2020yCat.1350....0G
271 |HD 20260                                                                                                                                    |Star                                |03 15 00.5708607384 -12 58 12.165670200|197.2658533431252 -53.6044144812180|  -14.477 4.578   |8.73     |G8IV                 |    ~     ~            |    1|  208.138   pc  |  -1.7329     +1.7329  |paral   |2020yCat.1350....0G
272 |HD 20279                                                                                                                                    |Star                                |03 15 15.6081650544 -12 59 14.323678080|197.3403661757050 -53.5589288551834|  13.799 10.448   |7.76     |K1III                |    ~     ~            |    1|  234.346   pc  |  -1.2302     +1.2302  |paral   |2020yCat.1350....0G
273 |HD 20446                                                                                                                                    |Star                                |03 17 03.6739897920 -13 22 12.239900220|198.2540371729014 -53.3522086992267|   5.609 -7.779   |9.16     |A9V                  |    ~     ~            |    1|  200.962   pc  |  -3.0770     +3.0770  |ST-L    |2020AJ....160...83S
274 |HD 20764                                                                                                                                    |Double or Multiple Star             |03 20 20.3441 -13 21 53.112            |198.8601389 -52.6432699            |-46.079 -39.638   |9.841    |F6/7V                |    ~     ~            |    1|  218.345   pc  |  -3.1640     +3.1640  |ST-L    |2020AJ....160...83S
275 |HD 20936                                                                                                                                    |Star                                |03 22 06.3259701672 -13 16 23.243226672|199.0515128008506 -52.2196718407972|  9.473 -14.460   |8.79     |K1IIICNII            |    ~     ~            |    1|  376.605   pc  |  -3.2479     +3.2479  |paral   |2020yCat.1350....0G
276 |HD 20285                                                                                                                                    |Star                                |03 15 17.7800818776 -13 29 24.774834552|198.0963493168711 -53.7879201146818|   6.944 15.989   |8.62     |G6/8IV               |    ~     ~            |    1|  248.318   pc  |  -3.8724     +3.8724  |paral   |2020yCat.1350....0G
277 |HD 20490                                                                                                                                    |Star                                |03 17 24.2058209160 -13 38 44.055216708|198.7279765976695 -53.4060191667099| -1.138 -28.259   |9.74     |F3/5V                |    ~     ~            |    1|  258.178   pc  |  -1.4198     +1.4198  |paral   |2020yCat.1350....0G
278 |HD 20491                                                                                                                                    |Star                                |03 17 23.9376489576 -13 42 04.869372492|198.8102665980004 -53.4326227841701|  11.334 -5.182   |9.56     |K0/1(III)            |    ~     ~            |    1|  629.604   pc  |  -5.9857     +5.9857  |paral   |2020yCat.1350....0G
279 |HD 20268                                                                                                                                    |Spectroscopic Binary                |03 15 04.8353651208 -13 49 40.722351276|198.5631244644339 -53.9907892931637| 48.773 -16.110   |7.35     |K0III                |    ~     ~            |    1|  272.398   pc  | -10.0764    +10.0764  |paral   |2020yCat.1350....0G
280 |HD 20338                                                                                                                                    |High Proper Motion Star             |03 15 53.3849399832 -14 08 50.054425440|199.1984703299327 -53.9618712978155|-116.642 -77.466  |9.22     |F5/6V                |    ~     ~            |    1|   93.158   pc  |  -0.1510     +0.1510  |paral   |2020yCat.1350....0G
281 |HD 20530                                                                                                                                    |Double or Multiple Star             |03 17 45.2423078704 -14 06 46.821217570|199.4922536180831 -53.5432111349109|  57.682 30.525   |9.56     |K0V                  |    ~     ~            |    1|  111.587   pc  | -10.9300    +10.9300  |ST-L    |2020AJ....160...83S
282 |HD 20573                                                                                                                                    |Star                                |03 18 13.9628860800 -13 49 45.364052496|199.1561244247126 -53.3110877109410|  -2.233 -3.646   |8.27     |A5/7V                |    ~     ~            |    1|  131.886   pc  |  -1.2993     +1.2993  |paral   |2018yCat.1345....0G
283 |HD 20593                                                                                                                                    |Star                                |03 18 24.5704188528 -13 52 07.177696572|199.2474991082810 -53.2908035461885|    4.474 5.284   |9.16     |K0III                |    ~     ~            |    1|  478.835   pc  |  -3.8290     +3.8290  |paral   |2020yCat.1350....0G
284 |HD 20622                                                                                                                                    |Star                                |03 18 41.2401721416 -14 15 14.307908832|199.8745297411929 -53.4043746468742|  27.123 13.228   |7.76     |K1III                |    ~     ~            |    1|  376.676   pc  |  -3.1215     +3.1215  |paral   |2020yCat.1350....0G
285 |HD 20746                                                                                                                                    |Star                                |03 20 06.6674238432 -14 08 14.716606992|199.9581593890932 -53.0436027590210|  -0.920 -7.133   |8.99     |K1III                |    ~     ~            |    1|  404.514   pc  |  -3.9435     +3.9435  |paral   |2020yCat.1350....0G
286 |HD 20851                                                                                                                                    |Spectroscopic Binary                |03 21 14.9232324672 -13 58 50.119929444|199.9306560375937 -52.7266944519128|-10.751 -15.942   |10.41    |F2/3V                |    ~     ~            |    1|  412.524   pc  |  -4.1353     +4.1353  |paral   |2020yCat.1350....0G
287 |BD-15 564                                                                                                                                   |Chemically Peculiar Star            |03 15 11.0256217968 -14 28 10.233802236|199.5579868777069 -54.2596808379417|   -3.656 0.516   |10.27    |K0IIIBa              |    ~     ~            |    1|  799.936   pc  | -10.4303    +10.4303  |paral   |2020yCat.1350....0G
288 |HD 20636                                                                                                                                    |Star                                |03 18 52.7934382920 -14 53 12.538850316|200.8645300353128 -53.6415892837404| -6.306 -19.189   |8.88     |F0V                  |    ~     ~            |    1|  140.361   pc  |  -0.3861     +0.3861  |paral   |2020yCat.1350....0G
289 |NGC 1290                           NGC 1295                           NGC 1290                                                              |Galaxy                              |03 20 03.2976155021 -13 59 53.339542302|199.7410950601824 -52.9932862408487|            ~ ~   |     ~   |~                    |0.513 0.277            |    0|                |                       |        |                   
290 |BD-15 569                                                                                                                                   |Star                                |03 15 55.4121525048 -14 42 57.131062992|200.0717059464708 -54.2089442844608|  7.756 -25.248   |10.09    |~                    |    ~     ~            |    1|  258.732   pc  |  -0.9974     +0.9974  |paral   |2020yCat.1350....0G
291 |BD-14 633                                                                                                                                   |Star                                |03 16 00.9427554000 -13 27 30.659593464|198.1866049285861 -53.6183967621324|   6.359 -6.682   |10.90    |~                    |    ~     ~            |    1|  869.641   pc  | -11.7979    +11.7979  |paral   |2020yCat.1350....0G
292 |BD-13 619                                                                                                                                   |High Proper Motion Star             |03 16 22.3117694832 -13 27 10.338480288|198.2460710873059 -53.5391264788694| 56.186 -10.347   |10.04    |~                    |    ~     ~            |    1|  179.150   pc  |  -1.0495     +1.0495  |paral   |2020yCat.1350....0G
293 |BD-15 570                                                                                                                                   |Star                                |03 16 38.8456413648 -14 39 56.001721392|200.1266701163009 -54.0296720492843|  11.805 -8.087   |10.18    |~                    |    ~     ~            |    1|  426.294   pc  |  -2.9621     +2.9621  |paral   |2020yCat.1350....0G
294 |BD-14 635                                                                                                                                   |Star                                |03 17 16.4407983552 -13 56 17.529542988|199.1411366601501 -53.5678441629612|   -3.500 2.535   |10.71    |~                    |    ~     ~            |    1|  527.454   pc  | -21.0047    +21.0047  |paral   |2020yCat.1350....0G
295 |BD-14 636                                                                                                                                   |Star                                |03 17 20.3766189096 -13 29 03.262955280|198.4760876047051 -53.3452922648277|  20.804 -1.873   |10.77    |~                    |    ~     ~            |    1| 1166.861   pc  | -29.5460    +29.5460  |paral   |2020yCat.1350....0G
296 |BD-15 572                                                                                                                                   |Star                                |03 17 31.0343594184 -14 40 03.943880796|200.2877231636718 -53.8418681951573|   44.109 2.731   |10.67    |~                    |    ~     ~            |    1|  253.575   pc  |  -1.0931     +1.0931  |paral   |2020yCat.1350....0G
297 |BD-14 642                                                                                                                                   |Spectroscopic Binary                |03 18 14.8611539280 -13 39 52.011829188|198.9137717320911 -53.2325146893297|  -2.388 -2.951   |9.76     |~                    |    ~     ~            |    1|  608.341   pc  | -28.7000    +28.7000  |ST-L    |2020AJ....160...83S
298 |BD-15 574                                                                                                                                   |Star                                |03 18 22.9988891256 -14 44 56.586752736|200.5669286747781 -53.6894551322522|  -2.578 -9.261   |10.47    |~                    |    ~     ~            |    1| 1650.982   pc  | -48.2456    +48.2456  |paral   |2020yCat.1350....0G
299 |BD-14 645                                                                                                                                   |High Proper Motion Star             |03 18 31.4796824352 -13 39 15.655796496|198.9502923815652 -53.1680885167238| 48.943 -27.826   |10.38    |~                    |    ~     ~            |    1|  164.495   pc  |  -0.5033     +0.5033  |paral   |2020yCat.1350....0G
300 |BD-13 625                                                                                                                                   |High Proper Motion Star             |03 18 47.2495132776 -13 15 49.835506248|198.4231744360218 -52.9310708683021|-27.788 -42.293   |10.72    |~                    |    ~     ~            |    1|  265.132   pc  |  -1.1318     +1.1318  |paral   |2020yCat.1350....0G
301 |BD-14 650                                                                                                                                   |Star                                |03 20 16.3977894408 -13 59 23.151078852|199.7682288455999 -52.9422131466815|  10.443 -2.095   |10.27    |~                    |    ~     ~            |    1|  295.438   pc  |  -1.6409     +1.6409  |paral   |2020yCat.1350....0G
302 |BD-14 649                                                                                                                                   |Star                                |03 20 16.5555819936 -13 31 39.770880492|199.0872389975368 -52.7318243092448|   30.850 5.638   |10.89    |~                    |    ~     ~            |    1|  217.946   pc  |  -1.0925     +1.0925  |paral   |2020yCat.1350....0G
303 |BD-14 651                                                                                                                                   |Star                                |03 20 25.4625706272 -14 15 09.235895976|200.1858585559450 -53.0270171628865|   -3.912 5.227   |10.26    |~                    |    ~     ~            |    1|  793.903   pc  |  -9.5173     +9.5173  |paral   |2020yCat.1350....0G
304 |BD-15 582                                                                                                                                   |Star                                |03 20 57.6601565568 -14 40 29.452426032|200.9119159159660 -53.0964273226717|   10.001 3.409   |10.66    |~                    |    ~     ~            |    1| 2003.205   pc  | -69.0207    +69.0207  |paral   |2020yCat.1350....0G
305 |NGC 1296                           NGC 1296                                                                                                 |Galaxy                              |03 18 49.7277269199 -13 03 44.594145374|198.1357669590426 -52.8281076575295|            ~ ~   |     ~   |~                    |0.520 0.343            |    0|                |                       |        |                   
306 |BD-13 616                                                                                                                                   |High Proper Motion Star             |03 15 09.2281071480 -12 51 59.079305520|197.1407265734940 -53.5240801373950| 41.495 -59.842   |10.85    |~                    |    ~     ~            |    1|  151.527   pc  |  -0.4133     +0.4133  |paral   |2020yCat.1350....0G
307 |BD-14 631                                                                                                                                   |Star                                |03 15 46.3662913008 -13 57 59.429068776|198.9031409275072 -53.9049687658433|   1.401 -0.729   |10.38    |~                    |    ~     ~            |    1|  448.612   pc  |  -4.1659     +4.1659  |paral   |2020yCat.1350....0G
308 |TYC 5301-576-1                                                                                                                              |Star                                |03 16 22.6309287168 -14 47 28.970008764|200.2701085269019 -54.1437885762680|    3.114 3.874   |10.96    |~                    |    ~     ~            |    1| 1142.727   pc  | -17.3675    +17.3675  |paral   |2020yCat.1350....0G
309 |BD-13 622                                                                                                                                   |Star                                |03 17 22.3855013520 -13 13 00.709783644|198.0866878206018 -53.2135804685038|   4.738 -2.609   |10.93    |~                    |    ~     ~            |    1|  440.684   pc  |  -4.1754     +4.1754  |paral   |2020yCat.1350....0G
310 |BD-14 640                                                                                                                                   |Star                                |03 18 09.0899238048 -13 51 34.632274500|199.1863393031885 -53.3424605735679|  14.457 12.224   |10.59    |~                    |    ~     ~            |    1|  400.112   pc  |  -2.9136     +2.9136  |paral   |2020yCat.1350....0G
311 |BD-15 576                                                                                                                                   |Star                                |03 18 48.3162010584 -14 54 49.533510852|200.8922574451204 -53.6695339835214|   3.773 -2.899   |10.88    |~                    |    ~     ~            |    1| 1581.278   pc  | -37.7566    +37.7566  |paral   |2020yCat.1350....0G
312 |BD-13 630                                                                                                                                   |Star                                |03 19 36.9649536768 -13 03 51.824415672|198.2869685607298 -52.6596285018662|   10.810 0.744   |10.857   |~                    |    ~     ~            |    1|  689.008   pc  | -41.0500    +41.0500  |ST-L    |2020AJ....160...83S
313 |BD-13 634                                                                                                                                   |Star                                |03 21 27.6020106648 -13 21 38.945955600|199.0607216564010 -52.3994252101008|    1.237 4.663   |10.91    |~                    |    ~     ~            |    1|  341.542   pc  |  -2.2980     +2.2980  |paral   |2020yCat.1350....0G
314 |TYC 5301-840-1                                                                                                                              |High Proper Motion Star             |03 17 09.4092102264 -13 43 20.711257572|198.7963520658063 -53.4945405564160| -9.694 -64.017   |10.61    |~                    |    ~     ~            |    1|  169.976   pc  |  -0.4247     +0.4247  |paral   |2020yCat.1350....0G
315 |HD 20694                                                                                                                                    |Star                                |03 19 22.0620133296 -17 25 27.310722276|204.8960083365297 -54.5734837471643|  -8.387 -4.175   |8.75     |G8III                |    ~     ~            |    1|  371.899   pc  |  -3.1673     +3.1673  |paral   |2020yCat.1350....0G
316 |HD 20747                                                                                                                                    |Star                                |03 19 55.6559742360 -17 33 43.133627196|205.2032516313752 -54.5026424819686| 11.340 -41.959   |9.09     |K2III                |    ~     ~            |    1|  302.572   pc  |  -1.4831     +1.4831  |paral   |2020yCat.1350....0G
317 |HD 20827                                                                                                                                    |Star                                |03 20 43.3941193479 -17 31 16.974607369|205.2625627471708 -54.3117830424853| -15.485 -8.753   |8.08     |A3III                |    ~     ~            |    1|  164.32    pc  |  -0.8370     +0.8370  |paral   |2020yCat.1350....0G
318 |BD-17 636                                                                                                                                   |Star                                |03 16 39.4071998616 -17 17 35.546166420|204.2524975934590 -55.1196804144749|  20.932 13.470   |10.76    |~                    |    ~     ~            |    1|  240.165   pc  |  -0.8652     +0.8652  |paral   |2020yCat.1350....0G
319 |HD 20924                                                                                                                                    |Star                                |03 21 58.8182710608 -15 27 31.392646632|202.2688870501420 -53.2097388228736|  43.343 -2.481   |7.26     |K1III                |    ~     ~            |    1|  124.872   pc  |  -0.3243     +0.3243  |paral   |2020yCat.1350....0G
320 |HD 20440                                                                                                                                    |High Proper Motion Star             |03 16 51.7078159752 -15 45 54.334016676|201.8628378184351 -54.4568565017575| 10.701 -58.685   |10.42    |G0(V)                |    ~     ~            |    1|  297.548   pc  |  -1.4343     +1.4343  |paral   |2020yCat.1350....0G
321 |HD 20561                                                                                                                                    |Star                                |03 17 56.2281448824 -15 30 31.397191668|201.6517204634659 -54.1139864031525|   6.521 18.469   |9.54     |F3V                  |    ~     ~            |    1|  248.652   pc  |  -5.0520     +5.0520  |ST-L    |2020AJ....160...83S
322 |HD 20637                                                                                                                                    |Star                                |03 18 49.5190386432 -15 33 04.900327632|201.8714939399880 -53.9381413795125|  32.861 -2.372   |7.63     |K2/3IIICNII          |    ~     ~            |    1|  197.546   pc  |  -0.8117     +0.8117  |paral   |2020yCat.1350....0G
323 |HD 20875                                                                                                                                    |Star                                |03 21 26.9056347912 -15 47 52.222282908|202.6955984303630 -53.4675882073637|-27.493 -16.820   |8.89     |F5V                  |    ~     ~            |    1|  206.607   pc  |  -5.1267     +5.1267  |paral   |2020yCat.1350....0G
324 |HD 20396                                                                                                                                    |High Proper Motion Star             |03 16 15.4344916728 -16 07 30.769468680|202.3234577943951 -54.7389958073203| 54.925 -71.555   |10.34    |G8IV                 |    ~     ~            |    1|  124.324   pc  |  -0.3076     +0.3076  |paral   |2020yCat.1350....0G
325 |HD 20480                                                                                                                                    |High Proper Motion Star             |03 17 13.5575555832 -16 19 00.702017724|202.7908251838097 -54.6057091914496| 44.249 -68.265   |9.36     |F8V                  |    ~     ~            |    1|  110.403   pc  |  -0.1853     +0.1853  |paral   |2020yCat.1350....0G
326 |HD 20479                                                                                                                                    |Star                                |03 17 14.8638348816 -16 03 47.163884760|202.3956274362605 -54.4966811766211|  20.734 27.656   |9.38     |F6V                  |    ~     ~            |    1|  187.643   pc  |  -2.0560     +2.0560  |ST-L    |2020AJ....160...83S
327 |HD 20667                                                                                                                                    |Star                                |03 19 03.2728050432 -16 23 56.200400196|203.2261924399385 -54.2383067713204|  22.249 16.043   |10.120   |G1/2V                |    ~     ~            |    1|  155.782   pc  |  -1.3370     +1.3370  |ST-L    |2020AJ....160...83S
328 |HD 20816                                                                                                                                    |Spectroscopic Binary                |03 20 41.3203298280 -16 14 46.620214152|203.2592050784654 -53.8180158815112|  21.253 -6.051   |9.82     |F8V                  |    ~     ~            |    1|  236.742   pc  |  -9.3374     +9.3374  |paral   |2020yCat.1350....0G
329 |HD 20925                                                                                                                                    |Star                                |03 21 53.7564650880 -16 22 54.814818792|203.6666045461323 -53.6078696859202|  29.766 14.917   |10.105   |F7V                  |    ~     ~            |    1|  156.620   pc  |  -1.3940     +1.3940  |ST-L    |2020AJ....160...83S
330 |HD 20308                                                                                                                                    |delta Sct Variable                  |03 15 31.6448336208 -16 33 17.598587472|202.8807483283223 -55.0745968422488| -11.358 -7.025   |8.88     |A7mA7-F0             |    ~     ~            |    1|  200.228   pc  |  -1.0985     +1.0985  |paral   |2020yCat.1350....0G
331 |HD 20340                                                                                                                                    |Be Star                             |03 15 45.8644215984 -16 49 43.503765132|203.3589238001780 -55.1327883573105|  5.765 -12.480   |7.96     |B3Ve                 |    ~     ~            |    1|  867.528   pc  | -34.1683    +34.1683  |paral   |2020yCat.1350....0G
332 |HD 20649                                                                                                                                    |Star                                |03 18 51.5838984912 -16 46 20.341755372|203.7807294428688 -54.4307877479817|    4.245 3.925   |10.13    |G8(III)              |    ~     ~            |    1|  728.491   pc  |  -8.5973     +8.5973  |paral   |2020yCat.1350....0G
333 |BD-17 648                                                                                                                                   |Star                                |03 20 59.3796584616 -16 46 26.161598892|204.1285936859542 -53.9633306416777|  10.921 17.825   |10.13    |K7                   |    ~     ~            |    1|  679.948   pc  |  -6.5188     +6.5188  |paral   |2020yCat.1350....0G
334 |NGC 1263                           NGC 1263                                                                                                 |Galaxy                              |03 15 39.5618207496 -15 05 54.058293132|200.6132010665198 -54.4339394157129|            ~ ~   |     ~   |~                    |0.457 0.393            |    0|                |                       |        |                   
335 |NGC 1262                           NGC 1262                                                                                                 |Galaxy                              |03 15 33.5852504760 -15 52 45.416387100|201.8149508152090 -54.7890476528921|            ~ ~   |     ~   |~                    |0.510 0.469            |    0|                |                       |        |                   
336 |BD-17 643                                                                                                                                   |High Proper Motion Star             |03 19 51.6962996664 -16 45 00.129715488|203.9089046953825 -54.2018256407261| -15.688 76.807   |10.22    |K5                   |    ~     ~            |    1|   35.864   pc  |  -0.0179     +0.0179  |paral   |2020yCat.1350....0G
337 |BD-17 633                                                                                                                                   |High Proper Motion Star             |03 16 16.6702859448 -16 28 42.380051772|202.8861036156852 -54.8791832780250|  82.747 82.060   |10.63    |~                    |    ~     ~            |    1|  164.428   pc  |  -0.5164     +0.5164  |paral   |2020yCat.1350....0G
338 |BD-17 634                                                                                                                                   |Star                                |03 16 17.6220290160 -16 37 52.812375276|203.1320230938341 -54.9375371162605| 15.268 -19.463   |10.05    |~                    |    ~     ~            |    1|  994.431   pc  | -21.0634    +21.0634  |paral   |2020yCat.1350....0G
339 |BD-15 571                                                                                                                                   |Star                                |03 16 50.0333534592 -15 11 28.320083412|200.9671754807992 -54.2186628055014|  21.923 -0.850   |10.14    |~                    |    ~     ~            |    1|  272.702   pc  |  -2.4318     +2.4318  |paral   |2020yCat.1350....0G
340 |BD-17 637                                                                                                                                   |High Proper Motion Star             |03 17 17.9550316248 -16 39 18.244079676|203.3378624344288 -54.7265422087929|-29.395 -97.903   |10.37    |~                    |    ~     ~            |    1|  120.749   pc  |  -1.3830     +1.3830  |ST-L    |2020AJ....160...83S
341 |BD-16 609                                                                                                                                   |Star                                |03 17 42.8650423560 -15 35 13.168236372|201.7340667331896 -54.1957072493069|  10.468 17.372   |10.804   |~                    |    ~     ~            |    1|  229.082   pc  |  -3.3880     +3.3880  |ST-L    |2020AJ....160...83S
342 |BD-17 639                                                                                                                                   |Star                                |03 17 44.9670141624 -16 59 41.149573296|203.9520636640737 -54.7627169253937|  -2.253 -2.878   |10.244   |~                    |    ~     ~            |    1|  803.925   pc  | -39.6300    +39.6300  |ST-L    |2020AJ....160...83S
343 |BD-16 611                                                                                                                                   |Star                                |03 17 58.4092194552 -16 23 45.965880960|203.0414131732235 -54.4741786036255|-14.837 -12.587   |10.792   |~                    |    ~     ~            |    1|  413.538   pc  | -13.4500    +13.4500  |ST-L    |2020AJ....160...83S
344 |BD-17 642                                                                                                                                   |High Proper Motion Star             |03 19 31.0530693456 -17 14 14.487286884|204.6225756640777 -54.4684947592819|-78.644 -102.716  |10.88    |~                    |    ~     ~            |    1|  105.536   pc  |  -0.5257     +0.5257  |paral   |2020yCat.1350....0G
345 |BD-17 646                                                                                                                                   |High Proper Motion Star             |03 20 05.8694891808 -17 13 07.240090728|204.6851005324919 -54.3335019975112|-22.084 -57.887   |10.747   |~                    |    ~     ~            |    1|  215.315   pc  |  -2.6560     +2.6560  |ST-L    |2020AJ....160...83S
346 |BD-17 651                                                                                                                                   |Star                                |03 21 46.3000716552 -16 30 40.380526548|203.8463138046984 -53.6870237957546|-22.541 -25.926   |10.45    |~                    |    ~     ~            |    1|  112.147   pc  |  -0.7335     +0.7335  |ST-L    |2020AJ....160...83S
347 |BD-17 652                                                                                                                                   |Star                                |03 21 57.5267901240 -16 35 17.718444924|203.9957906846363 -53.6766366108742|    2.363 2.243   |10.465   |~                    |    ~     ~            |    1|  792.180   pc  | -28.0200    +28.0200  |ST-L    |2020AJ....160...83S
348 |BD-16 624                                                                                                                                   |Star                                |03 22 15.6571667904 -15 44 39.464542500|202.7496437361324 -53.2674851241663| -7.496 -36.253   |10.504   |~                    |    ~     ~            |    1|  230.331   pc  |  -3.0540     +3.0540  |ST-L    |2020AJ....160...83S
349 |BD-15 567                                                                                                                                   |Star                                |03 15 41.5782807864 -15 12 20.521362456|200.7856427160319 -54.4731783348583| -2.821 -28.016   |10.932   |~                    |    ~     ~            |    1|  154.961   pc  |  -1.5650     +1.5650  |ST-L    |2020AJ....160...83S
350 |TYC 5872-200-1                                                                                                                              |High Proper Motion Star             |03 17 34.8236377632 -16 20 24.369829260|202.8872616450796 -54.5375481068260|  1.011 -68.465   |10.97    |~                    |    ~     ~            |    1|  149.372   pc  |  -0.4440     +0.4440  |paral   |2020yCat.1350....0G
351 |BD-16 622                                                                                                                                   |Star                                |03 22 07.5275895072 -15 53 22.949159784|202.9487736634722 -53.3572232750971| -2.130 -21.390   |10.932   |~                    |    ~     ~            |    1|  328.148   pc  |  -6.1520     +6.1520  |ST-L    |2020AJ....160...83S
352 |BD-16 623                                                                                                                                   |Star                                |03 22 13.0775615640 -15 55 09.765274908|203.0094100668355 -53.3491567940034|  28.033 -3.051   |10.716   |~                    |    ~     ~            |    1|  359.430   pc  |  -8.3500     +8.3500  |ST-L    |2020AJ....160...83S
353 |HD 20332                                                                                                                                    |Star                                |03 15 38.3874847440 -19 20 38.760341496|207.4745735412400 -56.0959932950418|   15.316 4.880   |9.62     |K1III/IVCNII         |    ~     ~            |    1|  552.608   pc  |  -4.2753     +4.2753  |paral   |2020yCat.1350....0G
354 |HD 20341                                                                                                                                    |Star                                |03 15 46.6695313392 -19 20 46.962965040|207.4984770916631 -56.0662034164959|   4.371 -2.799   |9.53     |K3(III)              |    ~     ~            |    1| 1063.603   pc  | -17.9869    +17.9869  |paral   |2020yCat.1350....0G
355 |HD 20375                                                                                                                                    |Star                                |03 16 04.5268816680 -19 21 16.647753384|207.5555244247200 -56.0031117738511|   1.549 22.048   |8.08     |G8/K0III             |    ~     ~            |    1|  355.063   pc  | -17.8515    +17.8515  |paral   |2020yCat.1350....0G
356 |HD 20793                                                                                                                                    |Chemically Peculiar Star            |03 20 27.2057447808 -19 43 02.917727724|208.7768151270827 -55.1551124099051| 20.047 -44.458   |9.51     |C-H                  |    ~     ~            |    1| 1756.235   pc  | -91.6055    +91.6055  |paral   |2020yCat.1350....0G
357 |HD 20941                                                                                                                                    |Star                                |03 21 59.9921806248 -20 02 46.814262072|209.5274870206682 -54.9199720879282|   -1.126 5.000   |8.83     |K2(III)              |    ~     ~            |    1|  931.185   pc  | -19.2498    +19.2498  |paral   |2020yCat.1350....0G
358 |V* ES Eri                                                                                                                                   |RS CVn Variable                     |03 18 03.8333177688 -19 44 14.272436616|208.4794566512100 -55.6918852430951|   -0.468 4.651   |10.63    |K5V                  |    ~     ~            |    1|  112.005   pc  |  -2.4011     +2.4011  |paral   |2018yCat.1345....0G
359 |BD-20 617                                                                                                                                   |Star                                |03 19 03.6580226064 -19 37 24.178836864|208.4285621767573 -55.4325853503736|   3.411 -3.035   |10.56    |~                    |    ~     ~            |    1| 1974.334   pc  | -65.0965    +65.0965  |paral   |2020yCat.1350....0G
360 |BD-20 618                                                                                                                                   |Star                                |03 19 29.2856800464 -19 42 10.114636464|208.6196389106078 -55.3644206269767|   11.558 6.092   |10.401   |~                    |    ~     ~            |    1|  613.041   pc  | -20.5700    +20.5700  |ST-L    |2020AJ....160...83S
361 |HD 20540                                                                                                                                    |Star                                |03 17 35.5647768024 -17 38 42.920976120|204.9702015866703 -55.0489249912890|  -13.623 1.528   |9.04     |G3V                  |    ~     ~            |    1|  171.216   pc  |  -1.7890     +1.7890  |ST-L    |2020AJ....160...83S
362 |HD 20574                                                                                                                                    |Star                                |03 18 03.3464407512 -17 30 18.618263424|204.8179333730067 -54.8934814212558| 14.848 -20.498   |10.02    |F5V                  |    ~     ~            |    1|  166.395   pc  |  -1.5130     +1.5130  |ST-L    |2020AJ....160...83S
363 |HD 20582                                                                                                                                    |High Proper Motion Star             |03 18 05.8738952136 -17 38 13.361438004|205.0366824854150 -54.9344842511879| 28.016 -84.034   |10.18    |F8                   |    ~     ~            |    1|  149.495   pc  |  -0.3464     +0.3464  |paral   |2020yCat.1350....0G
364 |HD 20603                                                                                                                                    |High Proper Motion Star             |03 18 18.4307077464 -17 37 26.830861788|205.0488390824575 -54.8834500249706|  92.477 22.031   |10.19    |F7V                  |    ~     ~            |    1|  181.482   pc  |  -2.7100     +2.7100  |ST-L    |2020AJ....160...83S
365 |BD-18 567                                                                                                                                   |Rotating Variable                   |03 15 18.7950445560 -17 56 36.426492600|205.0951343875613 -55.6639881738487|   -2.642 1.060   |9.76     |G0                   |    ~     ~            |    1|  116.298   pc  |  -0.5450     +0.5450  |paral   |2018yCat.1345....0G
366 |HD 20321                                                                                                                                    |Spectroscopic Binary                |03 15 29.3869419936 -18 10 29.671280940|205.5038621710487 -55.7114040301439|-13.579 -28.853   |7.27     |F3IV                 |    ~     ~            |    1|  100.900   pc  |  -0.4317     +0.4317  |paral   |2020yCat.1350....0G
367 |HD 20349                                                                                                                                    |Star                                |03 15 48.6187491460 -18 21 43.818516765|205.8626380672221 -55.7096124081827|   6.139 47.066   |8.30     |K0/1III              |    ~     ~            |    1|  221.833   pc  |  -1.0383     +1.0383  |paral   |2020yCat.1350....0G
