C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:51:32

dec >=0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5314

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+46 2390                                                                                                                                                                     |Star                              |17 55 39.9547 +46 25 31.845            |073.3165202 +28.5659027            |    0.523 1.552    |10.17    |A5                |    ~     ~    |    0|                |                       |        |                   
23  |BD+46 2391                                                                                                                                                                     |Star                              |17 55 55.3519909248 +46 57 15.710124024|073.9180698354142 +28.6172201195093|   9.014 -6.534    |8.66     |K0                |    ~     ~    |    1|  359.777   pc  |  -1.8251     +1.8251  |paral   |2020yCat.1350....0G
24  |BD+46 2397                                                                                                                                                                     |High Proper Motion Star           |17 58 29.2883716080 +46 11 00.415455288|073.1493783083577 +28.0419642112224|-14.162 -49.443    |10.36    |F5                |    ~     ~    |    1|  295.037   pc  |  -1.0968     +1.0968  |paral   |2020yCat.1350....0G
25  |BD+46 2398                                                                                                                                                                     |Star                              |17 58 29.9344595952 +46 44 38.765761692|073.7739059147906 +28.1458719530103| -14.912 -8.056    |9.91     |K2                |    ~     ~    |    1|  581.598   pc  |  -3.2473     +3.2473  |paral   |2020yCat.1350....0G
26  |HD 164631                                                                                                                                                                      |Star                              |17 59 44.5317080880 +46 49 16.931303832|073.9051198458673 +27.9512926581936|   1.291 -6.084    |7.96     |A3                |    ~     ~    |    1|  274.100   pc  |  -1.4200     +1.4200  |paral   |2020yCat.1350....0G
27  |BD+46 2401                                                                                                                                                                     |Star                              |17 59 47.9827058376 +46 31 10.484309172|073.5719492517021 +27.8841669954221|  1.379 -14.562    |8.66     |K0                |    ~     ~    |    1|  568.473   pc  |  -4.2334     +4.2334  |paral   |2020yCat.1350....0G
28  |BD+45 2608                                                                                                                                                                     |Star                              |17 50 46.3532867040 +45 11 34.518163812|071.7567714095228 +29.1830211255658| -28.859 -9.359    |9.51     |K0                |    ~     ~    |    1|  517.357   pc  |  -2.7034     +2.7034  |paral   |2020yCat.1350....0G
29  |BD+45 2609                                                                                                                                                                     |Star                              |17 50 48.0873511752 +45 16 50.278819080|071.8566671722853 +29.1936689895777|-12.215 -14.992    |9.80     |G0                |    ~     ~    |    1|  199.605   pc  |  -0.4901     +0.4901  |paral   |2020yCat.1350....0G
30  |BD+45 2610                                                                                                                                                                     |Star                              |17 51 24.7784374872 +44 58 59.791956276|071.5441494622822 +29.0339601489184|   -0.775 9.847    |9.58     |F2                |    ~     ~    |    1|  227.915   pc  | -16.7991    +16.7991  |paral   |2020yCat.1350....0G
31  |BD+45 2611                                                                                                                                                                     |Star                              |17 51 23.9370356136 +45 43 38.465246028|072.3814664519587 +29.1696148713416| 19.125 -29.008    |9.84     |F2                |    ~     ~    |    1|  273.823   pc  |  -0.8248     +0.8248  |paral   |2020yCat.1350....0G
32  |BD+45 2613                                                                                                                                                                     |Double or Multiple Star           |17 51 35.2251 +45 54 56.977            |072.6005549 +29.1703080            |      7.5 -17.9    |9.73     |F0                |    ~     ~    |    0|                |                       |        |                   
33  |BD+45 2617                                                                                                                                                                     |Star                              |17 54 12.1300592856 +45 39 49.972412196|072.4106397733876 +28.6766888499477| -10.020 21.583    |8.71     |F8                |    ~     ~    |    1|  152.751   pc  |  -0.3640     +0.3640  |paral   |2020yCat.1350....0G
34  |BD+45 2618                                                                                                                                                                     |Star                              |17 54 22.2909033984 +45 50 19.130362944|072.6126391948422 +28.6796878185239| -9.061 -29.633    |8.80     |K5                |    ~     ~    |    1|  519.886   pc  |  -4.7029     +4.7029  |paral   |2020yCat.1350....0G
35  |BD+45 2619                                                                                                                                                                     |Star                              |17 54 32.3233449408 +45 30 52.313147208|072.2558324049130 +28.5911879926192| 18.541 -16.140    |10.15    |F8                |    ~     ~    |    1|  149.372   pc  |  -0.2811     +0.2811  |paral   |2020yCat.1350....0G
36  |HD 163589                                                                                                                                                                      |Star                              |17 54 40.0602328536 +45 33 14.878253412|072.3049300387836 +28.5763752549796|  39.859 25.166    |7.69     |G5                |    ~     ~    |    1|   63.486   pc  |  -0.0693     +0.0693  |paral   |2020yCat.1350....0G
37  |HD 163608                                                                                                                                                                      |Star                              |17 54 44.2402032768 +45 13 01.225630992|071.9306220886316 +28.5010362027713|   -2.526 1.181    |8.070    |A0                |    ~     ~    |    1|  325.246   pc  |  -2.3907     +2.3907  |paral   |2020yCat.1350....0G
38  |BD+45 2624                                                                                                                                                                     |Star                              |17 56 09.8492984232 +45 20 34.193635404|072.1254694337933 +28.2786705166747|-15.281 -21.432    |10.22    |K0                |    ~     ~    |    1|  465.571   pc  |  -2.6444     +2.6444  |paral   |2020yCat.1350....0G
39  |BD+45 2625                                                                                                                                                                     |Star                              |17 56 20.2093683168 +45 03 27.587239776|071.8146070336678 +28.1935781060662| -1.533 -10.383    |9.97     |A2                |    ~     ~    |    1|  492.781   pc  |  -3.4482     +3.4482  |paral   |2020yCat.1350....0G
40  |HD 164331                                                                                                                                                                      |Star                              |17 58 15.5662373112 +45 44 22.694398476|072.6473926380506 +27.9954189965564|  2.328 -12.466    |8.88     |A0                |    ~     ~    |    1|  307.446   pc  |  -1.4084     +1.4084  |paral   |2020yCat.1350....0G
41  |BD+45 2634                                                                                                                                                                     |Star                              |17 58 40.7383421760 +45 29 09.255406344|072.3820605317906 +27.8737141295145|   10.948 2.317    |9.47     |F2                |    ~     ~    |    1|  223.484   pc  |  -1.6582     +1.6582  |paral   |2020yCat.1350....0G
42  |V* V771 Her                                                                                                                                                                    |alpha2 CVn Variable               |17 58 52.3058286816 +45 28 34.391604360|072.3788972639912 +27.8386715975122|  -0.180 26.938    |6.481    |B9pSiSr           |    ~     ~    |    1|  140.964   pc  |  -0.5286     +0.5286  |paral   |2020yCat.1350....0G
43  |HD 164646                                                                                                                                                                      |Variable Star                     |17 59 56.2056043896 +45 30 04.959040968|072.4488879331397 +27.6608072168781|  3.110 -34.321    |5.67     |M0III             |    ~     ~    |    1|  193.570   pc  |  -2.0121     +2.0121  |paral   |2020yCat.1350....0G
44  |V* OP Her                                                                                                                                                                      |S Star                            |17 56 48.5269765296 +45 21 03.060662328|072.1592179139565 +28.1690865896105| 15.615 -31.953    |6.32     |M6S               |    ~     ~    |    1|  289.143   pc  |  -5.5178     +5.5178  |paral   |2020yCat.1350....0G
45  |NGC 6524                           NGC 6524                                                                                                                                    |Galaxy                            |17 59 14.7243596232 +45 53 13.416675792|072.8489776224288 +27.8556819586668|    0.537 1.183    |     ~   |~                 |0.950 0.608    |    0|                |                       |        |                   
46  |StKM 1-1557                                                                                                                                                                    |Star                              |17 53 52.1240252112 +45 26 24.291487392|072.1476347242301 +28.6927745774184|   3.443 -6.805    |10.71    |K4                |    ~     ~    |    1|  648.677   pc  |  -4.9231     +4.9231  |paral   |2020yCat.1350....0G
47  |BD+47 2539                                                                                                                                                                     |Star                              |17 47 52.6237783560 +47 25 11.105419656|074.1890994828974 +30.0416965922415|  -8.000 14.720    |10.00    |K0                |    ~     ~    |    1|  449.701   pc  |  -2.0223     +2.0223  |paral   |2020yCat.1350....0G
48  |HD 162299                                                                                                                                                                      |Star                              |17 47 59.3686243536 +47 35 01.916024964|074.3798421353484 +30.0472912043570|  2.223 -35.472    |6.81     |K0                |    ~     ~    |    1|  149.140   pc  |  -0.4204     +0.4204  |paral   |2020yCat.1350....0G
49  |BD+46 2369                                                                                                                                                                     |Star                              |17 48 02.9273120760 +46 55 45.604875468|073.6345482712319 +29.9384040664199|   -2.960 9.072    |8.60     |K0                |    ~     ~    |    1|  539.986   pc  |  -5.3652     +5.3652  |paral   |2020yCat.1350....0G
50  |BD+46 2370                                                                                                                                                                     |Star                              |17 49 11.0498943456 +46 13 31.961080380|072.8698702180360 +29.6335244956195|  1.143 -18.285    |9.67     |G5                |    ~     ~    |    1|  407.448   pc  |  -2.0918     +2.0918  |paral   |2020yCat.1350....0G
51  |BD+46 2371                                                                                                                                                                     |delta Sct Variable                |17 49 19.6643989224 +46 41 00.023816760|073.3943027554194 +29.6835405536599|  -1.806 -1.966    |9.35     |~                 |    ~     ~    |    1|  249.763   pc  |  -0.7922     +0.7922  |paral   |2020yCat.1350....0G
52  |BD+45 2601                                                                                                                                                                     |Star                              |17 48 45.2973132888 +45 44 27.581939844|072.3059241147033 +29.6264684192144|   -7.579 5.132    |9.35     |G5                |    ~     ~    |    1|  461.915   pc  |  -2.8591     +2.8591  |paral   |2020yCat.1350....0G
53  |BD+45 2603                                                                                                                                                                     |Star                              |17 49 16.7334507528 +45 22 21.925634160|071.9068055019592 +29.4733006845703|   0.590 -3.921    |9.59     |K0                |    ~     ~    |    1|  506.201   pc  |  -5.4835     +5.4835  |paral   |2020yCat.1350....0G
54  |BD+45 2606                                                                                                                                                                     |Star                              |17 49 34.3276844544 +45 09 03.177787248|071.6663066989142 +29.3837775285422|  9.606 -15.699    |9.80     |G5                |    ~     ~    |    1|  742.776   pc  |  -6.1241     +6.1241  |paral   |2020yCat.1350....0G
55  |V* V337 Her                                                                                                                                                                    |Long-Period Variable              |17 48 47.2127373792 +45 41 59.389210464|072.2603252431046 +29.6140489282885| -5.081 -17.348    |8.25     |M8                |    ~     ~    |    1|  352.286   pc  |  -5.2248     +5.2248  |paral   |2020yCat.1350....0G
56  |StKM 1-1539                                                                                                                                                                    |Star                              |17 48 24.6102600216 +45 50 35.481446772|072.4103251076059 +29.7027974200980|  -7.745 -6.935    |10.88    |K5                |    ~     ~    |    1| 1497.454   pc  | -23.3206    +23.3206  |paral   |2020yCat.1350....0G
57  |TYC 3510-248-1                                                                                                                                                                 |Star                              |17 48 29.6128842648 +46 15 15.445231164|072.8800481780230 +29.7560315402140| -14.590 -8.857    |10.77    |~                 |    ~     ~    |    1|  297.044   pc  |  -1.0588     +1.0588  |paral   |2020yCat.1350....0G
58  |TYC 3511-26-1                                                                                                                                                                  |Star                              |17 58 32.6291054904 +45 01 53.616224388|071.8732192573212 +27.8063069328277|  -0.215 10.364    |9.78     |~                 |    ~     ~    |    1|  355.265   pc  |  -1.6786     +1.6786  |paral   |2020yCat.1350....0G
59  |TYC 3511-36-1                                                                                                                                                                  |Spectroscopic Binary              |17 56 07.9320197304 +45 09 55.540976832|071.9266055097010 +28.2499518344791|  -2.534 -7.224    |10.52    |~                 |    ~     ~    |    1|  468.713   pc  |  -5.0749     +5.0749  |paral   |2020yCat.1350....0G
60  |TYC 3511-47-1                                                                                                                                                                  |High Proper Motion Star           |17 55 36.7884708624 +45 09 25.882595712|071.8973620402197 +28.3381383873122|  82.251 21.533    |10.95    |~                 |    ~     ~    |    1|  204.855   pc  |  -0.3567     +0.3567  |paral   |2020yCat.1350....0G
61  |TYC 3511-127-1                                                                                                                                                                 |Star                              |17 57 26.0597310360 +45 14 22.714623384|072.0599262199600 +28.0394781238944|  25.276 -4.050    |10.49    |~                 |    ~     ~    |    1|  216.333   pc  |  -0.5242     +0.5242  |paral   |2020yCat.1350....0G
62  |TYC 3511-131-1                                                                                                                                                                 |Star                              |17 54 03.1347026136 +45 13 27.500082816|071.9128904567607 +28.6208900837989|   6.342 24.292    |10.75    |~                 |    ~     ~    |    1|  145.792   pc  |  -0.2168     +0.2168  |paral   |2020yCat.1350....0G
63  |TYC 3511-150-1                                                                                                                                                                 |Star                              |17 59 43.4455525752 +45 05 57.793707888|071.9959771784205 +27.6159840799930| -5.284 -19.401    |10.96    |~                 |    ~     ~    |    1|  481.649   pc  |  -2.7374     +2.7374  |paral   |2020yCat.1350....0G
64  |TYC 3511-181-1                                                                                                                                                                 |Star                              |17 57 05.0171273880 +45 21 27.198483948|072.1773148859296 +28.1230256721559|    3.620 0.563    |10.12    |~                 |    ~     ~    |    1| 1241.465   pc  | -19.2654    +19.2654  |paral   |2020yCat.1350....0G
65  |TYC 3511-183-1                                                                                                                                                                 |Star                              |17 54 12.1703351520 +45 20 46.334284476|072.0549489761983 +28.6176868295404|   0.681 -2.064    |10.77    |~                 |    ~     ~    |    1|  332.027   pc  |  -1.1796     +1.1796  |paral   |2020yCat.1350....0G
66  |TYC 3511-231-1                                                                                                                                                                 |Star                              |17 55 16.8698115120 +45 09 20.040015636|071.8827841579274 +28.3952639260384|  3.162 -13.355    |10.78    |~                 |    ~     ~    |    1| 1823.154   pc  | -33.2389    +33.2389  |paral   |2020yCat.1350....0G
67  |TYC 3511-240-1                                                                                                                                                                 |Star                              |17 58 01.5041064048 +45 08 41.217000684|071.9779513385446 +27.9186894143759|   -2.691 7.203    |10.63    |~                 |    ~     ~    |    1|  750.075   pc  |  -5.1760     +5.1760  |paral   |2020yCat.1350....0G
68  |TYC 3511-256-1                                                                                                                                                                 |Star                              |17 55 35.2739946768 +45 41 33.457119396|072.4939704807375 +28.4441878003478|  1.628 -16.121    |10.68    |~                 |    ~     ~    |    1|  368.053   pc  |  -1.2734     +1.2734  |paral   |2020yCat.1350....0G
69  |TYC 3511-346-1                                                                                                                                                                 |Star                              |17 56 13.5849630120 +45 44 58.382667816|072.5813530134445 +28.3454385404737|-22.202 -31.176    |10.99    |~                 |    ~     ~    |    1|  159.363   pc  |  -0.2743     +0.2743  |paral   |2020yCat.1350....0G
70  |TYC 3511-476-1                                                                                                                                                                 |Star                              |17 54 51.2180749680 +45 52 45.190513740|072.6756117324624 +28.6046033230971|  -7.351 -5.397    |10.65    |~                 |    ~     ~    |    1|  864.230   pc  |  -9.2615     +9.2615  |paral   |2020yCat.1350....0G
71  |TYC 3511-490-1                                                                                                                                                                 |High Proper Motion Star           |17 55 29.0449109952 +46 15 56.829305448|073.1311890012337 +28.5677783785858|-49.143 -11.629    |10.01    |~                 |    ~     ~    |    1|  194.981   pc  |  -0.4068     +0.4068  |paral   |2020yCat.1350....0G
72  |TYC 3511-502-1                                                                                                                                                                 |Star                              |17 54 39.4471648632 +45 53 31.348247820|072.6828378692083 +28.6405158784333|  3.487 -19.445    |10.78    |~                 |    ~     ~    |    0|                |                       |        |                   
73  |TYC 3511-512-1                                                                                                                                                                 |Star                              |17 55 27.6257154000 +46 05 31.574345928|072.9359326987541 +28.5400728217587|  -5.349 21.705    |10.63    |~                 |    ~     ~    |    1|  376.534   pc  |  -1.6730     +1.6730  |paral   |2020yCat.1350....0G
74  |TYC 3511-543-1                                                                                                                                                                 |High Proper Motion Star           |17 57 56.0805657480 +46 04 20.215628544|073.0049589752244 +28.1148852671551| 32.427 -85.872    |10.41    |~                 |    ~     ~    |    1|  168.640   pc  |  -0.6370     +0.6370  |paral   |2020yCat.1350....0G
75  |TYC 3511-569-1                                                                                                                                                                 |Star                              |17 57 41.5198372320 +45 55 28.386812892|072.8314133881889 +28.1280598513746|   3.318 -1.737    |10.78    |~                 |    ~     ~    |    1| 1001.101   pc  | -31.3690    +31.3690  |paral   |2020yCat.1350....0G
76  |TYC 3511-581-1                                                                                                                                                                 |Star                              |17 56 38.2305047376 +46 03 10.996283952|072.9352967364801 +28.3322805792417|   -0.446 1.657    |10.68    |~                 |    ~     ~    |    1|  990.099   pc  | -10.6852    +10.6852  |paral   |2020yCat.1350....0G
77  |TYC 3511-629-1                                                                                                                                                                 |Star                              |17 55 07.3988317968 +46 01 27.851501316|072.8479511951025 +28.5851555717109| -12.619 -0.795    |10.14    |~                 |    ~     ~    |    1|  225.571   pc  |  -0.5343     +0.5343  |paral   |2020yCat.1350....0G
78  |TYC 3511-632-1                                                                                                                                                                 |Star                              |17 54 43.7045812416 +46 10 49.259398476|073.0084785796431 +28.6808299739504|  -5.638 14.869    |9.94     |~                 |    ~     ~    |    1|  115.413   pc  |  -0.1359     +0.1359  |paral   |2020yCat.1350....0G
79  |TYC 3511-697-1                                                                                                                                                                 |Star                              |17 57 04.7710358544 +45 59 32.393322348|072.8839605810559 +28.2454466336845|    2.855 4.912    |10.17    |~                 |    ~     ~    |    1|  658.025   pc  |  -5.4991     +5.4991  |paral   |2020yCat.1350....0G
80  |TYC 3511-740-1                                                                                                                                                                 |Star                              |17 55 11.1921962976 +46 20 08.294783496|073.1988249066348 +28.6309758477741|   2.864 32.805    |10.28    |~                 |    ~     ~    |    1|  317.229   pc  |  -1.2177     +1.2177  |paral   |2020yCat.1350....0G
81  |TYC 3511-764-1                                                                                                                                                                 |Star                              |17 57 35.5419366504 +46 27 22.346378172|073.4200771531469 +28.2452941565080| -8.428 -22.234    |10.22    |~                 |    ~     ~    |    1|  192.075   pc  |  -0.4501     +0.4501  |paral   |2020yCat.1350....0G
82  |TYC 3511-785-1                                                                                                                                                                 |Star                              |17 56 31.5253107576 +46 16 29.557236144|073.1788946877770 +28.3925377360059|-12.449 -17.780    |10.70    |~                 |    ~     ~    |    1|  354.635   pc  | -29.5173    +29.5173  |paral   |2020yCat.1350....0G
83  |TYC 3511-863-1                                                                                                                                                                 |Star                              |17 53 46.8337947480 +46 26 27.485843424|073.2678343507691 +28.8883003620515| -3.683 -11.811    |9.95     |~                 |    ~     ~    |    1| 1432.870   pc  | -50.9173    +50.9173  |paral   |2020yCat.1350....0G
84  |TYC 3511-920-1                                                                                                                                                                 |Star                              |17 57 34.2907742184 +46 24 47.976266412|073.3714939328066 +28.2408361649437|    2.275 0.132    |9.92     |~                 |    ~     ~    |    1|  731.743   pc  |  -5.7828     +5.7828  |paral   |2020yCat.1350....0G
85  |TYC 3511-1033-1                                                                                                                                                                |Spectroscopic Binary              |17 57 40.2157857576 +46 43 50.638415664|073.7291952487730 +28.2829259070562|    1.609 4.849    |10.60    |~                 |    ~     ~    |    1|  334.627   pc  |  -5.3300     +5.3300  |paral   |2020yCat.1350....0G
86  |IRAS 17493+4612                                                                                                                                                                |Star                              |17 50 46.5666619008 +46 12 11.429558856|072.8973426227969 +29.3582627194755|  -3.056 14.870    |10.28    |~                 |    ~     ~    |    1| 1192.321   pc  | -19.3342    +19.3342  |paral   |2020yCat.1350....0G
87  |TYC 3511-1139-1                                                                                                                                                                |Star                              |17 49 15.6804888936 +45 50 57.897437964|072.4459068942611 +29.5576982173734|  3.045 -29.314    |10.62    |~                 |    ~     ~    |    1|  204.754   pc  |  -0.6498     +0.6498  |paral   |2020yCat.1350....0G
88  |TYC 3511-1144-1                                                                                                                                                                |Star                              |17 49 13.0198285296 +45 55 01.883337528|072.5212293546723 +29.5766928538443| -10.374 40.963    |9.83     |~                 |    ~     ~    |    1|  168.432   pc  |  -0.2922     +0.2922  |paral   |2020yCat.1350....0G
89  |TYC 3511-1174-1                                                                                                                                                                |Star                              |17 51 06.1364963304 +46 38 43.897172496|073.4085529661704 +29.3769999170341| -10.384 17.845    |10.82    |~                 |    ~     ~    |    1|  208.699   pc  |  -0.4660     +0.4660  |paral   |2020yCat.1350....0G
90  |TYC 3511-1234-1                                                                                                                                                                |Star                              |17 53 23.8643914056 +46 25 35.171681844|073.2382982922091 +28.9506982627413|  -0.910 -3.623    |10.26    |~                 |    ~     ~    |    1| 1450.116   pc  | -31.9631    +31.9631  |paral   |2020yCat.1350....0G
91  |BD+46 2376                                                                                                                                                                     |Star                              |17 51 30.1530643008 +46 14 27.917394576|072.9646944982808 +29.2408944243783|   -2.866 9.112    |10.50    |~                 |    ~     ~    |    1|  286.418   pc  |  -0.9434     +0.9434  |paral   |2020yCat.1350....0G
92  |TYC 3511-1316-1                                                                                                                                                                |Star                              |17 51 06.7104216240 +45 21 04.190704560|071.9472877141917 +29.1525449852080|  -7.616 -1.206    |10.63    |~                 |    ~     ~    |    1|  999.300   pc  | -12.0831    +12.0831  |paral   |2020yCat.1350....0G
93  |TYC 3511-1437-1                                                                                                                                                                |Star                              |17 50 04.0263455496 +46 13 13.955452644|072.8933144622342 +29.4820933813738|  -2.672 -6.866    |10.69    |~                 |    ~     ~    |    1| 1340.842   pc  | -22.6530    +22.6530  |paral   |2020yCat.1350....0G
94  |TYC 3511-1529-1                                                                                                                                                                |Star                              |17 50 11.8538449464 +46 15 23.400402804|072.9383662181218 +29.4658615183764|   -1.560 1.520    |10.41    |~                 |    ~     ~    |    1|  738.171   pc  | -27.5173    +27.5173  |paral   |2020yCat.1350....0G
95  |TYC 3511-1610-1                                                                                                                                                                |Star                              |17 52 37.2480920232 +45 53 55.673581380|072.6175459893237 +28.9902945320801|  -0.092 -1.000    |10.66    |~                 |    ~     ~    |    1| 1365.561   pc  | -22.0041    +22.0041  |paral   |2020yCat.1350....0G
96  |TYC 3511-1647-1                                                                                                                                                                |Star                              |17 52 54.2752005024 +46 21 45.381932424|073.1495114169822 +29.0233119460074|  -0.600 -1.498    |10.70    |~                 |    ~     ~    |    1|  392.788   pc  |  -2.7154     +2.7154  |paral   |2020yCat.1350....0G
97  |TYC 3511-1741-1                                                                                                                                                                |Star                              |17 53 21.8658869400 +45 17 21.088341528|071.9598546306198 +28.7519023008472|   -1.521 4.249    |10.92    |~                 |    ~     ~    |    1| 1680.672   pc  | -29.3765    +29.3765  |paral   |2020yCat.1350....0G
