C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:51:32

dec >=0&rah >=17.75&rah< 18.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5314

 #  |                                                                                  identifier                                                                                   |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
810 |TYC 4212-1334-1                                                                                                                                                                |Star                              |17 58 18.6882532032 +65 54 15.958069704|095.6270610028142 +29.9818908929979|-20.169 -24.403    |10.79    |~                 |    ~     ~    |    1|  218.283   pc  |  -0.3859     +0.3859  |paral   |2020yCat.1350....0G
811 |TYC 4212-1358-1                                                                                                                                                                |Star                              |17 59 42.6136562640 +65 51 28.787888124|095.5738942921160 +29.8388841767893| -2.600 -13.569    |10.74    |~                 |    ~     ~    |    1|  301.495   pc  |  -0.9999     +0.9999  |paral   |2020yCat.1350....0G
812 |TYC 4212-1386-1                                                                                                                                                                |Star                              |17 53 49.3513374384 +66 25 24.033390564|096.2338151527542 +30.4290553636840|   -5.936 0.414    |10.78    |~                 |    ~     ~    |    1|  284.382   pc  |  -1.1241     +1.1241  |paral   |2020yCat.1350....0G
813 |TYC 4212-1460-1                                                                                                                                                                |Star                              |17 50 10.1886513768 +65 38 02.660663256|095.3286421345333 +30.8212917778172|  -3.504 10.117    |10.68    |~                 |    ~     ~    |    1|  393.236   pc  |  -1.7938     +1.7938  |paral   |2020yCat.1350....0G
814 |TYC 4212-1074-1                                                                                                                                                                |Star                              |17 59 23.0188229688 +66 02 56.285914236|095.7939404604941 +29.8728903791467|  -7.982 17.598    |10.29    |K0III             |    ~     ~    |    1|  972.952   pc  | -22.6246    +22.6246  |paral   |2020yCat.1350....0G
815 |HD 163465                                                                                                                                                                      |Star                              |17 50 11.8946124984 +70 08 33.429255864|100.5647616362581 +30.5768594161066|  -1.386 13.350    |8.60     |K5                |    ~     ~    |    1|  452.509   pc  |  -3.1534     +3.1534  |paral   |2020yCat.1350....0G
816 |BD+70 961                                                                                                                                                                      |Star                              |17 51 27.7040305560 +70 14 45.475601676|100.6751103936192 +30.4624096154216| 25.059 -21.075    |9.07     |G0                |    ~     ~    |    1|   73.045   pc  |  -0.0720     +0.0720  |paral   |2020yCat.1350....0G
817 |BD+70 965                                                                                                                                                                      |Spectroscopic Binary              |17 56 14.2757227656 +70 06 14.208641784|100.4819430001632 +30.0670366343156|  -3.076 85.768    |10.12    |F8                |    ~     ~    |    1|  171.212   pc  |  -2.8991     +2.8991  |paral   |2020yCat.1350....0G
818 |BD+70 966                                                                                                                                                                      |Star                              |17 56 43.8366301608 +70 08 32.599913388|100.5238511350198 +30.0232699459106|  -3.784 16.663    |10.11    |F0                |    ~     ~    |    1|  365.417   pc  |  -1.6424     +1.6424  |paral   |2020yCat.1350....0G
819 |BD+70 967                                                                                                                                                                      |Star                              |17 56 49.0252691808 +70 04 52.676968980|100.4529632818055 +30.0189306776879| -1.468 -30.208    |8.990    |F2                |    ~     ~    |    1|  145.516   pc  |  -0.2837     +0.2837  |paral   |2020yCat.1350....0G
820 |BD+70 969                                                                                                                                                                      |Star                              |17 58 54.2051536848 +70 07 06.451874940|100.4866618997953 +29.8399134581835|   4.052 -1.910    |9.80     |K0                |    ~     ~    |    1|  707.164   pc  |  -4.3507     +4.3507  |paral   |2020yCat.1350....0G
821 |TYC 4432-1518-1                                                                                                                                                                |Star                              |17 53 27.7565956224 +70 08 34.692656028|100.5426501551130 +30.3003099057926|  2.068 -21.973    |10.06    |~                 |    ~     ~    |    1|  451.488   pc  |  -4.4641     +4.4641  |paral   |2020yCat.1350....0G
822 |HD 162863                                                                                                                                                                      |Spectroscopic Binary              |17 47 12.1493656248 +69 44 52.085700996|100.1312125411651 +30.8648227026756| -6.764 -29.832    |8.70     |F5                |    ~     ~    |    1|  232.304   pc  |  -2.2396     +2.2396  |paral   |2020yCat.1350....0G
823 |BD+69 948                                                                                                                                                                      |Star                              |17 48 32.1967953216 +69 06 38.434867704|099.3807561148466 +30.7984180046570|   -2.763 7.260    |9.50     |K0                |    ~     ~    |    1|  715.205   pc  |  -6.3428     +6.3428  |paral   |2020yCat.1350....0G
824 |BD+69 949                                                                                                                                                                      |Star                              |17 49 25.1039298816 +69 42 03.167979840|100.0588262667953 +30.6772408121198|  18.903 -7.392    |9.99     |G5                |    ~     ~    |    1|  227.671   pc  |  -1.2337     +1.2337  |paral   |2020yCat.1350....0G
825 |HD 163438                                                                                                                                                                      |Star                              |17 50 13.9680875112 +69 10 06.144384360|099.4354353007071 +30.6437557929175|  14.875 -8.929    |8.57     |A2                |    ~     ~    |    1|  239.498   pc  |  -0.9292     +0.9292  |paral   |2020yCat.1350....0G
826 |BD+69 952                                                                                                                                                                      |Red Giant Branch star Candidate   |17 50 58.3379522352 +69 14 28.151935548|099.5148201741093 +30.5734933233640| -12.385 -0.672    |9.53     |K2                |    ~     ~    |    1|  336.768   pc  |  -3.8560     +3.8560  |paral   |2020yCat.1350....0G
827 |BD+69 954                                                                                                                                                                      |Star                              |17 54 31.0202546688 +69 02 56.444606268|099.2718471902225 +30.2692833319672|  -0.379 -2.732    |9.14     |M1                |    ~     ~    |    1|  856.018   pc  | -11.3579    +11.3579  |paral   |2020yCat.1350....0G
828 |HD 164373                                                                                                                                                                      |Star                              |17 54 51.5222656392 +69 13 19.089489216|099.4701474034941 +30.2305992066332|  -7.375 -3.640    |8.40     |K5                |    ~     ~    |    1|  413.805   pc  |  -4.7603     +4.7603  |paral   |2020yCat.1350....0G
829 |BD+69 957                                                                                                                                                                      |Star                              |17 55 00.4035556584 +69 18 24.025691484|099.5673298907313 +30.2134250461754|   -7.584 6.417    |10.04    |G0                |    ~     ~    |    1|  302.773   pc  |  -2.9427     +2.9427  |paral   |2020yCat.1350....0G
830 |HD 164446                                                                                                                                                                      |Star                              |17 55 11.9637356928 +69 36 55.966733748|099.9232903016253 +30.1812427896738| 13.854 -22.571    |6.86     |K0                |    ~     ~    |    1|  192.393   pc  |  -5.6226     +5.6226  |paral   |2020yCat.1350....0G
831 |BD+69 961                                                                                                                                                                      |Star                              |17 58 24.5705512512 +69 34 27.498001584|099.8615098406355 +29.9035187402687| -4.416 -11.015    |9.80     |F5                |    ~     ~    |    1|  198.028   pc  |  -0.5569     +0.5569  |paral   |2020yCat.1350....0G
832 |BD+69 962                                                                                                                                                                      |Star                              |17 59 31.3807132416 +69 19 19.184325024|099.5669692127304 +29.8143025289879|   -4.206 5.837    |9.62     |G0                |    ~     ~    |    1|  168.489   pc  |  -0.3463     +0.3463  |paral   |2020yCat.1350....0G
833 |BD+68 958                                                                                                                                                                      |Star                              |17 45 25.6993426728 +68 04 36.084008604|098.2025968439742 +31.1578787777633|   1.367 -9.216    |9.55     |K0                |    ~     ~    |    1|  824.131   pc  |  -7.6749     +7.6749  |paral   |2020yCat.1350....0G
834 |HD 163148                                                                                                                                                                      |Star                              |17 49 02.0454856344 +68 20 30.584733612|098.4841439879803 +30.8057317401631|   7.766 -1.255    |7.67     |A2                |    ~     ~    |    1|  291.070   pc  |  -1.7114     +1.7114  |paral   |2020yCat.1350....0G
835 |BD+68 962                                                                                                                                                                      |Star                              |17 49 27.5493246240 +68 24 26.277650424|098.5573523402059 +30.7625517806029|  22.250 32.867    |9.86     |G0                |    ~     ~    |    1|  220.347   pc  |  -0.5681     +0.5681  |paral   |2020yCat.1350....0G
836 |HD 163214                                                                                                                                                                      |High Proper Motion Star           |17 49 28.0833820824 +68 41 20.502809304|098.8844615170291 +30.7438692177598|  -7.149 72.152    |6.90     |Am                |    ~     ~    |    1|   97.042   pc  |  -0.1582     +0.1582  |paral   |2020yCat.1350....0G
837 |BD+68 965                                                                                                                                                                      |Star                              |17 55 17.2143392160 +68 30 08.434559664|098.6361252914017 +30.2234070376001|  -11.379 4.729    |8.99     |K0                |    ~     ~    |    1|  346.789   pc  |  -2.0084     +2.0084  |paral   |2020yCat.1350....0G
838 |HD 164781                                                                                                                                                                      |High Proper Motion Star           |17 57 03.6418628160 +68 49 19.656165468|098.9987210141005 +30.0503130268094|  10.222 59.848    |9.01     |G8V               |    ~     ~    |    1|   56.146   pc  |  -0.0448     +0.0448  |paral   |2020yCat.1350....0G
839 |BD+68 968                                                                                                                                                                      |Star                              |17 57 29.1606271464 +68 01 15.122034408|098.0721634091274 +30.0353673968051|  2.388 -14.568    |9.11     |K0                |    ~     ~    |    1|  456.038   pc  |  -2.6828     +2.6828  |paral   |2020yCat.1350....0G
840 |BD+68 969                                                                                                                                                                      |Star                              |17 57 55.5674998632 +68 02 23.588762820|098.0929598152469 +29.9937518522796| -10.959 -2.452    |10.02    |K0                |    ~     ~    |    1|  805.218   pc  |  -7.5212     +7.5212  |paral   |2020yCat.1350....0G
841 |BD+68 970                                                                                                                                                                      |Star                              |17 59 29.1097339104 +68 50 38.709538404|099.0164264031637 +29.8308908648447|  15.232 -1.381    |9.02     |F0                |    ~     ~    |    1|  186.853   pc  |  -3.7463     +3.7463  |paral   |2020yCat.1350....0G
842 |HD 162522                                                                                                                                                                      |Star                              |17 46 08.8004229336 +67 37 42.038965272|097.6744644077642 +31.1223082062550|   -3.163 6.864    |8.40     |K5                |    ~     ~    |    1|  665.956   pc  |  -7.5395     +7.5395  |paral   |2020yCat.1350....0G
843 |BD+67 1038                                                                                                                                                                     |Star                              |17 49 45.7236047616 +67 38 46.083730308|097.6710450981409 +30.7779779417342| -0.346 -13.643    |9.58     |F5                |    ~     ~    |    1|  328.116   pc  |  -1.4211     +1.4211  |paral   |2020yCat.1350....0G
844 |BD+67 1040                                                                                                                                                                     |Star                              |17 54 26.5158344160 +67 44 50.111241684|097.7657388660614 +30.3299635574451|  20.087 23.438    |9.21     |F5                |    ~     ~    |    1|  237.338   pc  |  -0.7379     +0.7379  |paral   |2020yCat.1350....0G
845 |BD+67 1043                                                                                                                                                                     |Star                              |17 56 52.5345879672 +67 36 03.684477384|097.5887953975541 +30.1032050508808| -14.625 -0.226    |8.83     |K2                |    ~     ~    |    1|  401.188   pc  |  -1.9314     +1.9314  |paral   |2020yCat.1350....0G
846 |BD+67 1044                                                                                                                                                                     |Star                              |17 58 54.6853521888 +67 47 36.927838572|097.8065874535064 +29.9061846972265|  2.469 -10.390    |9.21     |K2III             |    ~     ~    |    1|  792.519   pc  | -12.8758    +12.8758  |paral   |2020yCat.1350....0G
847 |IRAS 17469+6834                                                                                                                                                                |Star                              |17 46 43.6450378848 +68 33 41.754494232|098.7566834423437 +31.0018764654949|  -1.456 -5.468    |10.07    |~                 |    ~     ~    |    1| 1983.733   pc  | -62.9632    +62.9632  |paral   |2020yCat.1350....0G
848 |IRAS 17548+6849                                                                                                                                                                |Long-Period Variable              |17 54 28.7786289864 +68 49 00.432260544|099.0034185762242 +30.2834765540786|   -4.834 3.502    |10.97    |M5/6              |    ~     ~    |    1| 2656.042   pc  |-146.0294   +146.0294  |paral   |2020yCat.1350....0G
849 |TYC 4428-52-1                                                                                                                                                                  |Star                              |17 46 56.2151756472 +68 00 10.283849244|098.1048038292929 +31.0224898146665| -24.355 -8.804    |10.61    |~                 |    ~     ~    |    1|  318.127   pc  |  -1.4067     +1.4067  |paral   |2020yCat.1350....0G
850 |TYC 4428-83-1                                                                                                                                                                  |Star                              |17 52 20.4611866128 +68 47 28.741128504|098.9850991253158 +30.4778145562049|  -1.522 -3.824    |10.07    |~                 |    ~     ~    |    1| 1109.755   pc  | -12.6850    +12.6850  |paral   |2020yCat.1350....0G
851 |TYC 4428-106-1                                                                                                                                                                 |Star                              |17 52 48.0059804136 +67 50 07.024712568|097.8746806207561 +30.4815926784905|  -7.870 -8.509    |10.62    |~                 |    ~     ~    |    1| 1833.853   pc  | -41.0288    +41.0288  |paral   |2020yCat.1350....0G
852 |TYC 4428-182-1                                                                                                                                                                 |Star                              |17 50 56.2131011256 +67 31 08.236782768|097.5167912041831 +30.6724469062299|  -7.725 -2.261    |10.44    |~                 |    ~     ~    |    1|  739.919   pc  |  -6.3508     +6.3508  |paral   |2020yCat.1350....0G
853 |TYC 4428-295-1                                                                                                                                                                 |Star                              |17 47 11.5194667392 +68 58 02.395042392|099.2247583959200 +30.9290983592996|   -8.373 7.187    |10.63    |~                 |    ~     ~    |    1|  995.619   pc  | -11.5977    +11.5977  |paral   |2020yCat.1350....0G
854 |TYC 4428-301-1                                                                                                                                                                 |Star                              |17 53 01.8160202424 +68 50 24.833245380|099.0379342159379 +30.4130446950036|  -0.260 31.078    |10.75    |~                 |    ~     ~    |    1|  308.242   pc  |  -1.1972     +1.1972  |paral   |2020yCat.1350....0G
855 |TYC 4428-369-1                                                                                                                                                                 |Star                              |17 46 06.6876251616 +68 32 44.131996356|098.7430532558012 +31.0592335423340|  -9.763 22.303    |10.79    |~                 |    ~     ~    |    1|  358.976   pc  |  -2.2938     +2.2938  |paral   |2020yCat.1350....0G
856 |TYC 4428-467-1                                                                                                                                                                 |Red Giant Branch star Candidate   |17 45 11.0225507856 +68 34 00.845322996|098.7757076596634 +31.1420721136297|   1.250 20.643    |9.93     |~                 |    ~     ~    |    1|  713.165   pc  |  -5.5946     +5.5946  |paral   |2020yCat.1350....0G
857 |TYC 4428-539-1                                                                                                                                                                 |Star                              |17 46 47.6075763672 +68 22 29.650264680|098.5389365203061 +31.0095977537055|   0.939 45.171    |10.87    |~                 |    ~     ~    |    1|  322.383   pc  |  -1.1121     +1.1121  |paral   |2020yCat.1350....0G
858 |TYC 4428-757-1                                                                                                                                                                 |Star                              |17 58 25.8962927544 +68 22 45.387260544|098.4832869063224 +29.9386083105967|  1.925 -10.762    |10.16    |~                 |    ~     ~    |    1|  715.871   pc  |  -7.7383     +7.7383  |paral   |2020yCat.1350....0G
859 |TYC 4428-791-1                                                                                                                                                                 |Spectroscopic Binary              |17 57 28.9578644112 +69 09 49.217582988|099.3913817541637 +30.0002638251750|  -2.890 -0.094    |10.17    |~                 |    ~     ~    |    1|  476.122   pc  |  -7.2768     +7.2768  |paral   |2020yCat.1350....0G
860 |TYC 4428-817-1                                                                                                                                                                 |High Proper Motion Star           |17 59 28.6762226856 +68 19 49.976118120|098.4245847189816 +29.8432477141101|-43.133 -89.618    |10.93    |~                 |    ~     ~    |    1|  149.136   pc  |  -0.2869     +0.2869  |paral   |2020yCat.1350....0G
861 |TYC 4428-839-1                                                                                                                                                                 |Star                              |17 57 38.4533711328 +68 49 16.093053372|098.9955301008026 +29.9979747161791|  -4.906 -2.707    |10.54    |~                 |    ~     ~    |    1|  487.021   pc  |  -2.8226     +2.8226  |paral   |2020yCat.1350....0G
862 |TYC 4428-851-1                                                                                                                                                                 |Star                              |17 59 54.7369764864 +68 56 30.993036828|099.1280658448310 +29.7900088656655| -6.437 -13.899    |10.66    |~                 |    ~     ~    |    1| 1139.731   pc  | -15.0682    +15.0682  |paral   |2020yCat.1350....0G
863 |TYC 4428-938-1                                                                                                                                                                 |Star                              |17 52 05.6579105064 +67 54 21.320152092|097.9600050351308 +30.5448724553536|  -9.035 -8.694    |10.78    |~                 |    ~     ~    |    1|  904.568   pc  |  -9.4916     +9.4916  |paral   |2020yCat.1350....0G
864 |TYC 4428-1117-1                                                                                                                                                                |Star                              |17 55 41.3257605408 +68 16 16.370925132|098.3672715757359 +30.1949962705179| -10.316 46.401    |10.33    |~                 |    ~     ~    |    1|  447.908   pc  |  -2.7686     +2.7686  |paral   |2020yCat.1350....0G
865 |TYC 4428-1227-1                                                                                                                                                                |High Proper Motion Star           |17 56 57.1207542672 +68 41 46.365609228|098.8537248132738 +30.0645109230371|-13.869 -56.861    |10.55    |~                 |    ~     ~    |    1|  262.584   pc  |  -0.9860     +0.9860  |paral   |2020yCat.1350....0G
866 |TYC 4428-1329-1                                                                                                                                                                |Star                              |17 45 49.5736094088 +68 14 33.416259648|098.3926445225099 +31.1085047876541|  21.279 25.496    |10.56    |~                 |    ~     ~    |    1|  225.545   pc  |  -0.6766     +0.6766  |paral   |2020yCat.1350....0G
867 |TYC 4428-1351-1                                                                                                                                                                |Star                              |17 52 49.4322088224 +68 13 29.019703080|098.3259752601217 +30.4620921514352|  -16.145 8.900    |10.43    |~                 |    ~     ~    |    1|  231.642   pc  |  -2.4736     +2.4736  |paral   |2020yCat.1350....0G
868 |TYC 4428-1462-1                                                                                                                                                                |Star                              |17 54 41.8618979736 +68 41 48.867066672|098.8637253969914 +30.2690808845503| -25.906 22.414    |10.59    |~                 |    ~     ~    |    1|  117.693   pc  |  -0.2313     +0.2313  |paral   |2020yCat.1350....0G
869 |TYC 4428-1473-1                                                                                                                                                                |Star                              |17 52 02.5293283776 +68 09 51.283553724|098.2598706910568 +30.5374825033937|   1.773 -4.303    |10.88    |~                 |    ~     ~    |    1|  710.480   pc  |  -6.1079     +6.1079  |paral   |2020yCat.1350....0G
870 |TYC 4428-1611-1                                                                                                                                                                |Star                              |17 46 17.7257310600 +69 19 47.392759020|099.6535986905697 +30.9792985699576|-13.105 -21.639    |10.72    |~                 |    ~     ~    |    1|  412.269   pc  |  -1.9886     +1.9886  |paral   |2020yCat.1350....0G
871 |TYC 4428-1683-1                                                                                                                                                                |High Proper Motion Star           |17 52 24.1182983520 +69 08 59.019726192|099.3999166898029 +30.4523522355801| -12.106 70.786    |9.80     |~                 |    ~     ~    |    1|  142.684   pc  |  -0.1934     +0.1934  |paral   |2020yCat.1350....0G
872 |TYC 4428-1784-1                                                                                                                                                                |Star                              |17 56 25.6319890176 +69 18 19.918721448|099.5594161943768 +30.0881166851986|  -0.982 -2.884    |10.26    |~                 |    ~     ~    |    1|  830.910   pc  |  -8.0778     +8.0778  |paral   |2020yCat.1350....0G
873 |TYC 4428-1822-1                                                                                                                                                                |Star                              |17 54 19.1880957000 +69 13 08.011999236|099.4693132144736 +30.2784898458839|  -10.831 2.401    |10.59    |~                 |    ~     ~    |    1|  303.794   pc  |  -1.2459     +1.2459  |paral   |2020yCat.1350....0G
874 |TYC 4432-76-1                                                                                                                                                                  |Star                              |17 55 11.1782786280 +69 25 57.877887108|099.7121384505823 +30.1914926428540|    4.413 2.050    |10.69    |~                 |    ~     ~    |    1|  901.144   pc  |  -8.6891     +8.6891  |paral   |2020yCat.1350....0G
875 |TYC 4432-202-1                                                                                                                                                                 |Star                              |17 56 10.0407683424 +69 36 51.361551648|099.9170652128498 +30.0971140981495|   0.047 -8.632    |9.79     |~                 |    ~     ~    |    1|  327.998   pc  |  -1.9580     +1.9580  |paral   |2020yCat.1350....0G
876 |TYC 4432-244-1                                                                                                                                                                 |Star                              |17 49 55.2457510200 +69 38 17.418286464|099.9823685509496 +30.6383760993464|   -8.735 8.021    |10.51    |~                 |    ~     ~    |    1|  231.648   pc  |  -0.7727     +0.7727  |paral   |2020yCat.1350....0G
877 |TYC 4432-334-1                                                                                                                                                                 |Star                              |17 55 12.2736129984 +69 40 32.071793232|099.9926150748921 +30.1777323423639|  45.290 13.535    |10.36    |~                 |    ~     ~    |    1|  173.175   pc  |  -0.4019     +0.4019  |paral   |2020yCat.1350....0G
878 |TYC 4432-361-1                                                                                                                                                                 |Star                              |17 51 32.5438445400 +69 28 23.020222584|099.7797704946729 +30.5084245720804|  -3.016 43.865    |9.92     |~                 |    ~     ~    |    1|  208.333   pc  |  -0.6944     +0.6944  |paral   |2020yCat.1350....0G
879 |TYC 4432-757-1                                                                                                                                                                 |Star                              |17 53 21.8197096680 +69 27 58.723243956|099.7607391276346 +30.3494463809500|   6.014 -3.308    |10.63    |~                 |    ~     ~    |    1|  416.493   pc  |  -5.8979     +5.8979  |paral   |2020yCat.1350....0G
880 |TYC 4432-1296-1                                                                                                                                                                |Star                              |17 47 42.6698175408 +70 01 56.291018556|100.4569594561651 +30.7969030035926| -11.214 15.788    |10.51    |~                 |    ~     ~    |    1|  228.185   pc  |  -0.6300     +0.6300  |paral   |2020yCat.1350....0G
881 |TYC 4432-1374-1                                                                                                                                                                |Star                              |17 52 02.5720860576 +69 49 46.624509804|100.1893126666631 +30.4417746971392| -10.450 24.773    |10.63    |~                 |    ~     ~    |    1|  868.056   pc  |  -9.9465     +9.9465  |paral   |2020yCat.1350....0G
882 |TYC 4432-1554-1                                                                                                                                                                |Star                              |17 58 07.7855134560 +69 57 29.765038680|100.3052195173333 +29.9124977927640|   1.316 11.968    |10.80    |~                 |    ~     ~    |    1|  356.633   pc  |  -3.3450     +3.3450  |paral   |2020yCat.1350....0G
883 |NGC 6503                           NGC 6503                                                                                                                                    |LINER-type Active Galaxy Nucleus  |17 49 26.4207792072 +70 08 39.604132176|100.5726107849405 +30.6408848060117|  -0.062 -0.914    |10.28    |~                 | 6.76  2.24    |    1|    6.40    Mpc |  -0.66       +0.66    |T-F     |2020ApJ...902..145K
884 |BD+72 820                                                                                                                                                                      |Star                              |17 59 40.3316479896 +72 23 48.821133012|103.1042059300330 +29.6638060824493|  -0.441 24.161    |9.09     |F0                |    ~     ~    |    1|  220.892   pc  |  -0.5904     +0.5904  |paral   |2020yCat.1350....0G
885 |HD 165500                                                                                                                                                                      |Star                              |17 59 36.8550942384 +71 38 03.188077296|102.2279742660257 +29.7111956068609|  -2.441 47.101    |7.19     |K2                |    ~     ~    |    1|  191.311   pc  |  -0.5966     +0.5966  |paral   |2020yCat.1350....0G
886 |BD+70 970                                                                                                                                                                      |Star                              |17 59 25.5202876800 +70 31 20.268986088|100.9495877407247 +29.7792898789893|    8.686 8.073    |9.75     |K0                |    ~     ~    |    1|  519.265   pc  |  -3.1547     +3.1547  |paral   |2020yCat.1350....0G
887 |BD+72 808                                                                                                                                                                      |Star                              |17 45 39.6802553352 +71 59 32.910290448|102.7465234335729 +30.7659651642258| -20.795 20.083    |8.76     |K5                |    ~     ~    |    1|  625.861   pc  |  -6.8939     +6.8939  |paral   |2020yCat.1350....0G
888 |BD+72 809                                                                                                                                                                      |Star                              |17 45 21.8285984832 +72 48 44.381706192|103.6965672853531 +30.6902271541728|  1.566 -15.119    |10.83    |F8                |    ~     ~    |    1|  350.668   pc  |  -1.9429     +1.9429  |paral   |2020yCat.1350....0G
889 |HD 163127                                                                                                                                                                      |Star                              |17 47 32.9693045280 +72 38 42.829806228|103.4813511079740 +30.5490277476286|  -11.531 2.881    |8.37     |K2                |    ~     ~    |    1|  415.662   pc  |  -3.2654     +3.2654  |paral   |2020yCat.1350....0G
890 |BD+72 811                                                                                                                                                                      |Star                              |17 49 00.2932952832 +72 03 22.089470544|102.7876732650649 +30.5026319616362|-12.930 -41.759    |9.55     |F8                |    ~     ~    |    1|  155.511   pc  |  -0.3773     +0.3773  |paral   |2020yCat.1350....0G
891 |BD+72 813                                                                                                                                                                      |Star                              |17 49 19.3222324248 +72 48 40.124602836|103.6557966488816 +30.3999175452468|   4.652 -5.651    |9.29     |K0                |    ~     ~    |    1| 1088.376   pc  | -17.5315    +17.5315  |paral   |2020yCat.1350....0G
892 |HD 163787                                                                                                                                                                      |Star                              |17 50 58.5018463944 +72 29 10.734830088|103.2667000232403 +30.3106361540286|  -2.072 -1.809    |8.44     |K5                |    ~     ~    |    1|  304.646   pc  |  -1.4571     +1.4571  |paral   |2020yCat.1350....0G
893 |BD+72 815                                                                                                                                                                      |Star                              |17 50 55.4411311512 +72 50 04.445221236|103.6684774684466 +30.2798415468334|   18.821 3.909    |9.77     |F5                |    ~     ~    |    1|  194.780   pc  |  -0.5463     +0.5463  |paral   |2020yCat.1350....0G
894 |BD+72 816                                                                                                                                                                      |Star                              |17 52 10.2862752048 +72 41 38.558772132|103.4961370796425 +30.2016258616567| -12.608 41.149    |8.84     |K0                |    ~     ~    |    1|  229.148   pc  |  -0.9084     +0.9084  |paral   |2020yCat.1350....0G
895 |* psi02 Dra                                                                                                                                                                    |Star                              |17 55 11.1521210328 +72 00 18.453898548|102.6802115211031 +30.0322723714742|   8.805 -2.580    |5.430    |F2III             |    ~     ~    |    1|  290.377   pc  |  -4.0220     +4.0220  |paral   |2020yCat.1350....0G
896 |BD+71 859                                                                                                                                                                      |Star                              |17 48 57.9853805928 +71 00 58.058167068|101.5859022942620 +30.6056443613935|  -5.674 23.622    |10.50    |F8                |    ~     ~    |    1|  208.429   pc  |  -0.6125     +0.6125  |paral   |2020yCat.1350....0G
897 |BD+71 860                                                                                                                                                                      |Star                              |17 53 53.1717164880 +71 49 47.932712796|102.4873273907000 +30.1462600069169|   -8.127 4.580    |9.93     |K0                |    ~     ~    |    1|  704.275   pc  |  -8.1841     +8.1841  |paral   |2020yCat.1350....0G
898 |BD+70 962                                                                                                                                                                      |Star                              |17 53 13.5240618984 +70 28 03.777723588|100.9194839786319 +30.2990154705404|  -8.703 20.954    |9.24     |K0                |    ~     ~    |    1|  468.713   pc  |  -2.8560     +2.8560  |paral   |2020yCat.1350....0G
899 |BD+70 964                                                                                                                                                                      |Star                              |17 54 47.5870304520 +70 51 20.852016156|101.3576636014255 +30.1438094427185|  -9.772 15.230    |9.47     |K2                |    ~     ~    |    1|  606.244   pc  |  -4.5206     +4.5206  |paral   |2020yCat.1350....0G
900 |TYC 4432-843-1                                                                                                                                                                 |Star                              |17 58 17.9964046344 +70 34 52.161930732|101.0222195794691 +29.8702252756727|   -1.379 1.913    |10.42    |G                 |    ~     ~    |    1| 1537.752   pc  | -28.1397    +28.1397  |paral   |2020yCat.1350....0G
901 |NGC 6508                           NGC 6508                                                                                                                                    |Galaxy                            |17 49 46.4099914272 +72 01 16.038035796|102.7404031550360 +30.4471571807738|            ~ ~    |     ~   |~                 |0.750 0.630    |    0|                |                       |        |                   
902 |RX J1747.0+7240                                                                                                                                                                |Rotating Variable                 |17 47 01.3287741840 +72 40 25.644554112|103.5195374197065 +30.5847846002345|   5.975 -0.269    |10.84    |~                 |    ~     ~    |    1|  381.359   pc  |  -2.0070     +2.0070  |paral   |2020yCat.1350....0G
903 |TYC 4432-267-1                                                                                                                                                                 |Star                              |17 56 22.2352229136 +71 12 04.399276968|101.7466135798069 +29.9939630206552|   -5.903 0.968    |10.39    |~                 |    ~     ~    |    1|  827.267   pc  |  -7.8703     +7.8703  |paral   |2020yCat.1350....0G
904 |TYC 4432-303-1                                                                                                                                                                 |Star                              |17 58 02.4567151464 +71 09 20.543855328|101.6851482904654 +29.8621133038257|   -0.510 2.236    |10.73    |~                 |    ~     ~    |    1| 1245.175   pc  | -21.7064    +21.7064  |paral   |2020yCat.1350....0G
905 |TYC 4432-315-1                                                                                                                                                                 |Star                              |17 48 17.4340595712 +71 06 25.857290016|101.6971770040203 +30.6517967245693|  -4.697 24.593    |10.73    |~                 |    ~     ~    |    1|  275.330   pc  |  -0.9021     +0.9021  |paral   |2020yCat.1350....0G
906 |TYC 4432-426-1                                                                                                                                                                 |High Proper Motion Star           |17 59 52.2901612296 +71 05 19.665728268|101.5995704699664 +29.7175952571884|  26.905 49.445    |10.33    |~                 |    ~     ~    |    1|  122.683   pc  |  -0.2047     +0.2047  |paral   |2020yCat.1350....0G
907 |TYC 4432-586-1                                                                                                                                                                 |Star                              |17 51 03.4113547848 +70 49 13.141897428|101.3424492804085 +30.4521691213889|   2.851 -6.074    |10.86    |~                 |    ~     ~    |    1|  520.996   pc  |  -3.1487     +3.1487  |paral   |2020yCat.1350....0G
908 |TYC 4432-1023-1                                                                                                                                                                |Star                              |17 47 54.8774585976 +70 18 33.553410876|100.7764119711174 +30.7556052544612|   1.733 34.204    |10.94    |~                 |    ~     ~    |    1|  180.258   pc  |  -1.8618     +1.8618  |paral   |2020yCat.1350....0G
