C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:52:37

dec >=0&rah >=10.75&rah< 11.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 2387

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
509 |HD 94397                                                                                                 |Star                              |10 54 43.8119830032 +53 34 42.968065980|154.0341907624806 +55.9220536022589| -15.073 -4.618   |8.42     |K0              |    ~     ~    |    1|  392.049   pc  |  -3.1663     +3.1663  |paral   |2020yCat.1350....0G
510 |HD 233788                                                                                                |Star                              |10 56 44.3594796072 +53 41 44.212292556|153.5331914558891 +56.0766107962015|  6.788 -17.545   |9.18     |K2              |    ~     ~    |    1|  290.318   pc  |  -1.3401     +1.3401  |paral   |2020yCat.1350....0G
511 |BD+53 1434                                                                                               |Star                              |10 48 04.2338049624 +52 46 58.505112624|156.2378624728528 +55.6186107978724|   -6.606 4.883   |10.52    |~               |    ~     ~    |    1|  166.459   pc  |  -0.4239     +0.4239  |paral   |2020yCat.1350....0G
512 |HD 93763                                                                                                 |Star                              |10 50 24.5083845504 +52 16 03.169484724|156.6055520364702 +56.2098763145189|  -7.789 -0.720   |8.500    |F0              |    ~     ~    |    1|  187.126   pc  |  -0.7178     +0.7178  |paral   |2020yCat.1350....0G
513 |HD 94083                                                                                                 |Spectroscopic Binary              |10 52 30.8847457776 +52 33 55.254285792|155.8300926368899 +56.2887260284559|-12.920 -26.039   |6.730    |G8III:          |    ~     ~    |    1|  179.569   pc  |  -1.3704     +1.3704  |paral   |2020yCat.1350....0G
514 |HD 94084                                                                                                 |High Proper Motion Star           |10 52 32.0584663248 +52 30 12.977362044|155.9153988629485 +56.3284984164937|-58.161 -52.028   |6.430    |K2III           |    ~     ~    |    1|  106.197   pc  |  -0.2210     +0.2210  |paral   |2020yCat.1350....0G
515 |HD 233784                                                                                                |Star                              |10 53 59.9187767808 +52 49 22.117800360|155.2151400170832 +56.3090301036999| -28.580 10.980   |9.09     |G5              |    ~     ~    |    1|  487.258   pc  |  -3.6563     +3.6563  |paral   |2020yCat.1350....0G
516 |HD 94398                                                                                                 |Star                              |10 54 40.5033453168 +52 22 36.676340040|155.7373394512074 +56.6644149795388| -13.363 -8.786   |9.150    |A               |    ~     ~    |    1|  272.896   pc  | -14.8870    +14.8870  |paral   |2020yCat.1350....0G
517 |HD 94688                                                                                                 |Star                              |10 56 39.8915077680 +53 08 44.680501716|154.3069247388623 +56.4196645830270|-13.426 -19.449   |8.39     |K0              |    ~     ~    |    1|  633.152   pc  |  -7.2560     +7.2560  |paral   |2020yCat.1350....0G
518 |HD 233789                                                                                                |Star                              |10 57 01.3462665816 +52 25 06.476098152|155.2728696858196 +56.9198438915592|-28.489 -12.589   |9.72     |G0              |    ~     ~    |    1|  245.008   pc  |  -1.2426     +1.2426  |paral   |2020yCat.1350....0G
519 |HD 233790                                                                                                |Star                              |10 57 05.9458264656 +52 58 00.081803532|154.4826503035826 +56.5837132013658| 29.666 -34.344   |9.38     |K0              |    ~     ~    |    1|  158.366   pc  |  -1.6252     +1.6252  |paral   |2020yCat.1350....0G
520 |HD 233791                                                                                                |Star                              |10 57 18.1861103280 +52 54 24.526351368|154.5313621543070 +56.6454509495813|-14.333 -10.302   |10.21    |B9              |    ~     ~    |    1|  886.761   pc  | -25.1630    +25.1630  |paral   |2020yCat.1350....0G
521 |HD 94881                                                                                                 |Star                              |10 58 05.9463809472 +52 26 05.039699676|155.0605930096768 +57.0374107939350| -9.938 -11.413   |8.69     |F0              |    ~     ~    |    1|  280.670   pc  |  -1.2053     +1.2053  |paral   |2020yCat.1350....0G
522 |NGC 3448                           NGC 3448                                                              |Interacting Galaxies              |10 54 39.240 +54 18 18.82              |153.054462 +55.449728              |            ~ ~   |     ~   |~               | 1.12  1.12    |    1|   32.06    Mpc |  -2.74       +2.74    |T-F     |2020ApJ...902..145K
523 |TYC 3449-580-1                                                                                           |Star                              |10 45 11.6299768824 +52 08 01.134780468|157.6249982131302 +55.6353526195481|    1.548 0.381   |9.91     |~               |    ~     ~    |    1|  127.608   pc  |  -0.3126     +0.3126  |paral   |2020yCat.1350....0G
524 |TYC 3449-890-1                                                                                           |Star                              |10 57 29.3788103544 +52 27 46.845273168|155.1274803499291 +56.9474365434998| -4.084 -20.664   |10.00    |~               |    ~     ~    |    1|  162.726   pc  |  -0.3760     +0.3760  |paral   |2020yCat.1350....0G
525 |TYC 3823-110-1                                                                                           |High Proper Motion Star           |10 50 46.6846597560 +54 21 01.842681636|153.6221451216085 +54.9844712223129|-70.102 -57.613   |10.27    |~               |    ~     ~    |    1|  244.337   pc  |  -1.8806     +1.8806  |paral   |2020yCat.1350....0G
526 |TYC 3823-140-1                                                                                           |Star                              |10 47 59.0302938504 +54 27 18.180339552|153.9180194240818 +54.6008451561027|   -7.121 0.273   |10.29    |~               |    ~     ~    |    1|  406.273   pc  |  -2.7069     +2.7069  |paral   |2020yCat.1350....0G
527 |TYC 3823-264-1                                                                                           |Star                              |10 50 26.3558462184 +54 52 19.913522124|152.9726343751582 +54.6178643124255|  1.544 -13.296   |9.67     |~               |    ~     ~    |    1|  813.868   pc  | -10.5319    +10.5319  |paral   |2020yCat.1350....0G
528 |TYC 3823-414-1                                                                                           |Star                              |10 48 41.2352360472 +52 47 25.072595952|156.1296862333705 +55.6894876764545|-10.410 -17.050   |10.28    |~               |    ~     ~    |    1|  516.823   pc  |  -3.7929     +3.7929  |paral   |2020yCat.1350....0G
529 |TYC 3823-474-1                                                                                           |Star                              |10 50 04.4469411048 +52 57 33.070149972|155.6673178046602 +55.7566047936161| -14.025 -8.238   |10.82    |~               |    ~     ~    |    1|  300.707   pc  |  -1.4920     +1.4920  |paral   |2020yCat.1350....0G
530 |TYC 3823-514-1                                                                                           |High Proper Motion Star           |10 48 36.4082226768 +54 04 29.410566528|154.3412995338730 +54.9060788995708|-47.202 -57.102   |9.84     |~               |    ~     ~    |    1|  171.271   pc  |  -0.5075     +0.5075  |paral   |2020yCat.1350....0G
531 |TYC 3823-535-1                                                                                           |Star                              |10 53 26.5386299208 +53 05 55.431961512|154.9185323841997 +56.0725713122775| 29.087 -31.797   |10.56    |~               |    ~     ~    |    1|  333.289   pc  |  -2.7104     +2.7104  |paral   |2020yCat.1350....0G
532 |TYC 3823-601-1                                                                                           |Star                              |10 47 03.2762914584 +52 52 34.395198168|156.2637994023905 +55.4396162332066|  -26.259 2.992   |10.59    |~               |    ~     ~    |    1|  428.578   pc  | -36.2765    +36.2765  |paral   |2020yCat.1350....0G
533 |TYC 3823-646-1                                                                                           |Star                              |10 54 21.7800967656 +53 48 18.109570644|153.7836478801673 +55.7365208145606| 24.745 -31.627   |10.52    |~               |    ~     ~    |    1|  279.775   pc  |  -1.1193     +1.1193  |paral   |2020yCat.1350....0G
534 |TYC 3823-666-1                                                                                           |High Proper Motion Star           |10 49 33.9316148616 +53 48 18.150521976|154.5626835790952 +55.1828556448971| -9.956 -50.583   |10.71    |~               |    ~     ~    |    1|  209.332   pc  |  -0.6573     +0.6573  |paral   |2020yCat.1350....0G
535 |TYC 3823-713-1                                                                                           |Star                              |10 54 09.4710267504 +53 49 47.813326140|153.7835443592250 +55.6973078105137|   -6.541 5.491   |10.63    |~               |    ~     ~    |    1|  312.783   pc  |  -5.3515     +5.3515  |paral   |2020yCat.1350....0G
536 |TYC 3823-811-1                                                                                           |Star                              |10 54 10.9211459760 +53 29 09.121450164|154.2543007993774 +55.9173450709643|    2.266 4.934   |10.27    |~               |    ~     ~    |    1|  372.856   pc  |  -6.0891     +6.0891  |paral   |2020yCat.1350....0G
537 |TYC 3823-818-1                                                                                           |Star                              |10 53 57.2151600528 +53 18 40.538343816|154.5354428975831 +56.0002810811562|   1.999 -0.852   |10.86    |~               |    ~     ~    |    1|  966.184   pc  | -15.9630    +15.9630  |paral   |2020yCat.1350....0G
538 |TYC 3823-826-1                                                                                           |Star                              |10 50 56.9554180344 +53 57 45.414176616|154.1248055314909 +55.2460923032920|   -0.145 1.684   |10.35    |~               |    ~     ~    |    1|  291.307   pc  |  -2.0366     +2.0366  |paral   |2020yCat.1350....0G
539 |TYC 3823-957-1                                                                                           |Spectroscopic Binary              |10 51 18.7004671536 +52 46 01.441873812|155.7399403375289 +56.0214433955386|-26.799 -14.789   |10.19    |~               |    ~     ~    |    1|  486.808   pc  | -11.5647    +11.5647  |paral   |2020yCat.1350....0G
540 |TYC 3823-958-1                                                                                           |Star                              |10 53 45.5648915496 +52 42 41.290248924|155.4135476867020 +56.3491046712587| -46.066 -4.942   |9.94     |~               |    ~     ~    |    1|  135.135   pc  |  -0.2630     +0.2630  |paral   |2020yCat.1350....0G
541 |TYC 3823-974-1                                                                                           |Star                              |10 48 01.1899248264 +52 43 58.189517112|156.3175888697714 +55.6418908992093|  -41.495 4.211   |10.95    |~               |    ~     ~    |    1|  265.604   pc  |  -8.4231     +8.4231  |paral   |2020yCat.1350....0G
542 |TYC 3823-1017-1                                                                                          |High Proper Motion Star           |10 52 10.6735907520 +52 32 32.601793200|155.9188327657159 +56.2618664355543| -6.506 -53.113   |9.90     |~               |    ~     ~    |    1|  181.084   pc  |  -0.4919     +0.4919  |paral   |2020yCat.1350....0G
543 |TYC 3823-1028-1                                                                                          |Spectroscopic Binary              |10 50 47.2657990704 +52 30 41.617791036|156.1914001780190 +56.1113742083262| -68.733 -2.792   |9.69     |~               |    ~     ~    |    1|  186.050   pc  |  -1.3430     +1.3430  |paral   |2020yCat.1350....0G
544 |TYC 3824-138-1                                                                                           |Star                              |10 58 29.2819593792 +52 37 55.404411888|154.7113574700563 +56.9583414400278|   -0.148 1.989   |10.60    |~               |    ~     ~    |    1|  445.137   pc  |  -5.5481     +5.5481  |paral   |2020yCat.1350....0G
545 |TYC 3826-17-1                                                                                            |Star                              |10 53 02.5917 +55 02 28.733            |152.3336993 +54.7968919            | -38.837 -2.091   |10.87    |~               |    ~     ~    |    0|                |                       |        |                   
546 |HD 233769                                                                                                |Star                              |10 46 45.7508737848 +51 47 02.755194468|157.8951070179345 +56.0323119285192|   1.775 23.222   |9.55     |G0              |    ~     ~    |    1|  103.446   pc  |  -0.1990     +0.1990  |paral   |2020yCat.1350....0G
547 |HD 233771                                                                                                |Star                              |10 47 55.7338892064 +51 48 12.540721932|157.6825632171756 +56.1696061342082|-34.805 -17.355   |9.96     |G0              |    ~     ~    |    1|  182.116   pc  |  -0.4643     +0.4643  |paral   |2020yCat.1350....0G
548 |BD+51 1626                                                                                               |Star                              |10 50 14.3201223130 +50 20 07.470828552|159.5195570955981 +57.2973561095622|  20.848 -8.551   |10.68    |F               |    ~     ~    |    0|                |                       |        |                   
549 |HD 93946                                                                                                 |Spectroscopic Binary              |10 51 34.3140779880 +50 15 16.946825580|159.4230170813752 +57.5190474537756|-49.393 -10.458   |8.64     |A0              |    ~     ~    |    1|  215.685   pc  |  -0.8234     +0.8234  |paral   |2020yCat.1350....0G
550 |HD 233779                                                                                                |High Proper Motion Star           |10 51 56.7629908296 +50 09 22.593596940|159.5123367979307 +57.6238265384066| -88.745 55.549   |9.46     |G0              |    ~     ~    |    1|  138.637   pc  |  -0.2768     +0.2768  |paral   |2020yCat.1350....0G
551 |BD+50 1773                                                                                               |Star                              |10 52 28.4418749040 +49 37 50.762944056|160.2424041294946 +57.9872728210347|-29.874 -16.668   |10.52    |K0              |    ~     ~    |    1|  480.054   pc  |  -3.0650     +3.0650  |paral   |2020yCat.1350....0G
552 |HD 94727                                                                                                 |Star                              |10 57 00.5643691992 +52 22 28.070203872|155.3381252043512 +56.9457743838181|-24.409 -33.230   |8.88     |K               |    ~     ~    |    1|  197.188   pc  |  -0.5794     +0.5794  |paral   |2020yCat.1350....0G
553 |HD 95124                                                                                                 |Star                              |10 59 49.1817976344 +52 15 16.450681176|155.0110892467278 +57.3548903419121| -4.955 -21.121   |8.760    |F5              |    ~     ~    |    1|  128.444   pc  |  -0.2689     +0.2689  |paral   |2020yCat.1350....0G
554 |HD 233777                                                                                                |High Proper Motion Star           |10 51 34.0333322448 +51 59 40.575444936|156.8127261908899 +56.5147527263731|-60.109 -26.596   |9.88     |G5              |    ~     ~    |    1|  110.234   pc  |  -0.1896     +0.1896  |paral   |2020yCat.1350....0G
555 |HD 233778                                                                                                |Star                              |10 51 44.4277978248 +52 05 23.012832984|156.6453832518122 +56.4797435557497|    9.950 6.192   |9.79     |F8              |    ~     ~    |    1|  190.454   pc  |  -0.6747     +0.6747  |paral   |2020yCat.1350....0G
556 |HD 94117                                                                                                 |Pulsating Variable                |10 52 39.3853523160 +52 04 16.309289460|156.5200521189379 +56.6037301327477|-34.030 -15.984   |7.003    |kA9hF3mF4(II)Eu |    ~     ~    |    1|  159.350   pc  |  -0.5155     +0.5155  |paral   |2020yCat.1350....0G
557 |AG+52 827                                                                                                |Star                              |10 55 04.4909354736 +52 07 12.573378012|156.0393923920551 +56.8699250508121|    6.570 1.462   |9.64     |F5              |    ~     ~    |    1|  615.271   pc  |  -6.0948     +6.0948  |paral   |2020yCat.1350....0G
558 |HD 94435                                                                                                 |Star                              |10 55 01.1382324504 +52 07 18.188492448|156.0467171396995 +56.8621808194624| -12.143 -5.219   |8.26     |K5              |    ~     ~    |    1|  824.878   pc  | -14.4930    +14.4930  |paral   |2020yCat.1350....0G
559 |HD 94699                                                                                                 |Star                              |10 56 47.7878247432 +52 11 00.965701392|155.6496294214367 +57.0390159190012|   13.910 7.331   |8.14     |A3              |    ~     ~    |    1|  138.426   pc  |  -0.4101     +0.4101  |paral   |2020yCat.1350....0G
560 |HD 95057                                                                                                 |Variable Star                     |10 59 17.8685559240 +51 52 56.548962084|155.6415889380057 +57.5276046348967| -14.255 -5.356   |6.197    |K0              |    ~     ~    |    1|  237.597   pc  |  -1.7670     +1.7670  |paral   |2020yCat.1350....0G
561 |HD 93727                                                                                                 |Star                              |10 50 11.2749321912 +51 15 29.767288248|158.1279513976654 +56.7697420390669|-21.889 -11.802   |8.63     |K0III           |    ~     ~    |    1|  357.679   pc  |  -2.8146     +2.8146  |paral   |2020yCat.1350....0G
562 |BD+52 1520                                                                                               |Star                              |10 54 09.0732521256 +51 39 43.266560976|156.8664612352117 +57.0335358436513|-41.378 -10.014   |10.07    |G5              |    ~     ~    |    1|  128.385   pc  |  -0.2621     +0.2621  |paral   |2020yCat.1350....0G
563 |HD 233786                                                                                                |Star                              |10 54 16.0133561376 +51 19 51.942796788|157.3363590814452 +57.2452619357240|  3.000 -18.500   |9.31     |K7              |    ~     ~    |    1|  516.796   pc  |  -4.2198     +4.2198  |paral   |2020yCat.1350....0G
564 |HD 233775                                                                                                |High Proper Motion Star           |10 51 25.8859456992 +50 57 30.829806216|158.3731058477172 +57.1014506364446| -91.905 -9.335   |9.82     |K2              |    ~     ~    |    1|   60.657   pc  |  -0.0548     +0.0548  |paral   |2020yCat.1350....0G
565 |BD+51 1630                                                                                               |High Proper Motion Star           |10 52 04.7241983496 +50 37 28.141535964|158.7714715402436 +57.3764130963302|-55.489 -34.804   |10.04    |G0              |    ~     ~    |    1|  148.095   pc  |  -0.3838     +0.3838  |paral   |2020yCat.1350....0G
566 |HD 233781                                                                                                |Star                              |10 52 12.3619396248 +51 08 01.516711020|157.9803439727267 +57.0998622869287| -3.392 -31.495   |10.09    |K0              |    ~     ~    |    1|  126.083   pc  |  -0.2591     +0.2591  |paral   |2020yCat.1350....0G
567 |HD 94040                                                                                                 |High Proper Motion Star           |10 52 10.1206082112 +50 15 55.647731232|159.3064330754638 +57.5918556340275|  5.775 -67.355   |6.611    |K2              |    ~     ~    |    1|  260.058   pc  |  -1.3729     +1.3729  |paral   |2020yCat.1350....0G
568 |HD 233782                                                                                                |High Proper Motion Star           |10 53 11.8871777664 +51 00 52.309949040|157.9921188110519 +57.2959703447538|-129.471 -56.160  |9.48     |K0              |    ~     ~    |    1|  102.086   pc  |  -0.6826     +0.6826  |paral   |2020yCat.1350....0G
569 |HD 94478                                                                                                 |Star                              |10 55 14.9130515448 +50 54 57.399608628|157.7883460740084 +57.6152281879357|-11.422 -14.243   |8.500    |G5              |    ~     ~    |    1|  367.417   pc  |  -2.5784     +2.5784  |paral   |2020yCat.1350....0G
570 |HD 233783                                                                                                |Star                              |10 53 48.2128440072 +49 56 07.654695144|159.5394271351705 +57.9946087701184|  -10.223 1.996   |9.32     |A5              |    ~     ~    |    1|  226.824   pc  |  -0.7872     +0.7872  |paral   |2020yCat.1350....0G
571 |BD+50 1779                                                                                               |Star                              |10 54 58.1798444376 +50 09 25.339771008|158.9943254624585 +58.0218831867925|-24.815 -12.148   |10.16    |F0              |    ~     ~    |    1|  303.269   pc  |  -1.4716     +1.4716  |paral   |2020yCat.1350....0G
572 |HD 94882                                                                                                 |Star                              |10 57 58.7527018992 +51 27 28.586619576|156.4991080956292 +57.6304481963851| -14.733 -7.625   |7.92     |K2              |    ~     ~    |    1|  544.544   pc  |  -5.5747     +5.5747  |paral   |2020yCat.1350....0G
573 |BD+51 1638                                                                                               |High Proper Motion Star           |10 56 57.2545319616 +50 31 23.695638420|158.0832873537845 +58.0651717935511| -8.601 -52.686   |10.44    |G5              |    ~     ~    |    1|  133.415   pc  |  -0.3453     +0.3453  |paral   |2020yCat.1350....0G
574 |HD 233792                                                                                                |Star                              |10 58 04.8051462144 +50 42 43.624642752|157.5951123911981 +58.0958760852296| 23.390 -14.547   |9.44     |G5              |    ~     ~    |    1|  156.806   pc  |  -0.4672     +0.4672  |paral   |2020yCat.1350....0G
575 |HD 233794                                                                                                |High Proper Motion Star           |10 59 09.9859151424 +50 59 00.841464384|156.9901511869657 +58.0678349682588|-48.341 -63.026   |9.26     |G5              |    ~     ~    |    1|  129.771   pc  |  -0.2408     +0.2408  |paral   |2020yCat.1350....0G
576 |HD 95125                                                                                                 |Star                              |10 59 47.5657220088 +50 54 36.330863112|156.9859321931383 +58.1908233101111|  -3.081 -5.494   |8.14     |G5              |    ~     ~    |    1|  281.714   pc  |  -1.6825     +1.6825  |paral   |2020yCat.1350....0G
577 |TYC 3449-62-1                                                                                            |Star                              |10 59 57.8060393208 +50 14 01.688805456|157.9804572953208 +58.6228656135399|  -6.429 -5.759   |10.77    |K               |    ~     ~    |    1| 1269.358   pc  | -24.3302    +24.3302  |paral   |2020yCat.1350....0G
578 |HIP 53755                                                                                                |Star                              |10 59 53.1769555536 +50 15 36.794362032|157.9541737606323 +58.5971238968241|  -8.610 -1.827   |10.96    |F               |    ~     ~    |    1|  348.105   pc  |  -2.2175     +2.2175  |paral   |2020yCat.1350....0G
579 |HD 233787                                                                                                |Star                              |10 56 04.5082799424 +49 38 14.446986252|159.6093679758448 +58.4657250540321|  6.857 -12.313   |10.34    |~               |    ~     ~    |    1|  832.085   pc  |  -9.2777     +9.2777  |paral   |2020yCat.1350....0G
580 |NGC 3410                           NGC 3410                                                              |Galaxy                            |10 51 53.7088497528 +51 00 23.469489576|158.2235512326350 +57.1336002510205|            ~ ~   |     ~   |~               |0.480 0.384    |    0|                |                       |        |                   
581 |BD+50 1781                                                                                               |Star                              |10 57 00.8803440240 +49 46 58.920029400|159.2142663684903 +58.5062634167666|   -0.286 4.306   |10.85    |F2:             |    ~     ~    |    1|  373.580   pc  |  -2.1493     +2.1493  |paral   |2020yCat.1350....0G
582 |NGC 3406                           NGC 3406                                                              |Pair of Galaxies                  |10 51 43.7 +51 01 19                   |158.2282 +57.1033                  |            ~ ~   |     ~   |~               | 1.02  0.71    |    0|                |                       |        |                   
583 |TYC 3446-34-1                                                                                            |Star                              |10 52 21.7585101696 +49 29 15.425302092|160.4866269734512 +58.0512019618613|  -0.643 10.504   |10.83    |~               |    ~     ~    |    1|  371.126   pc  | -12.2722    +12.2722  |paral   |2020yCat.1350....0G
584 |TYC 3446-507-1                                                                                           |Star                              |10 53 59.2406038104 +49 36 05.676846984|160.0299860326558 +58.2071232199501|    9.647 2.522   |10.87    |~               |    ~     ~    |    1| 1218.027   pc  | -20.3252    +20.3252  |paral   |2020yCat.1350....0G
585 |2MASS J10591715+4946172                                                                                  |Red Giant Branch star             |10 59 17.1463905720 +49 46 17.244260868|158.8206809816113 +58.8106556488801|  -0.382 -3.242   |10.83    |~               |    ~     ~    |    1|  962.186   pc  | -11.7577    +11.7577  |paral   |2020yCat.1350....0G
586 |TYC 3449-16-1                                                                                            |Star                              |10 58 57.1437424872 +51 00 55.746014760|156.9812467189165 +58.0216773221063|-23.486 -12.518   |10.46    |~               |    ~     ~    |    1|  440.102   pc  |  -4.3774     +4.3774  |paral   |2020yCat.1350....0G
587 |TYC 3449-111-1                                                                                           |Star                              |10 56 26.0734788528 +50 33 21.871004184|158.1254341050887 +57.9791644485722|  -14.530 1.854   |10.69    |~               |    ~     ~    |    1|  875.964   pc  | -18.7224    +18.7224  |paral   |2020yCat.1350....0G
588 |TYC 3449-237-1                                                                                           |Star                              |10 54 13.9093328184 +50 07 42.260789568|159.1664498656609 +57.9414664127895|-47.214 -13.729   |9.53     |~               |    ~     ~    |    1|  131.794   pc  |  -0.2640     +0.2640  |paral   |2020yCat.1350....0G
589 |TYC 3449-267-1                                                                                           |Star                              |10 49 03.9712210512 +51 23 00.870985356|158.1229933816807 +56.5543130599905| 38.303 -10.660   |10.60    |~               |    ~     ~    |    1|  338.261   pc  |  -1.8193     +1.8193  |paral   |2020yCat.1350....0G
590 |TYC 3449-289-1                                                                                           |Chemically Peculiar Star          |10 57 51.0860980800 +51 10 34.674704256|156.9394054358033 +57.7866330650476|  2.576 -16.276   |10.93    |~               |    ~     ~    |    1| 2689.618   pc  |-123.7022   +123.7022  |paral   |2020yCat.1350....0G
591 |TYC 3449-384-1                                                                                           |Star                              |10 53 12.5954581272 +50 23 11.600462184|158.9440417505365 +57.6599098846817| -14.141 -6.723   |9.81     |~               |    ~     ~    |    1|  461.318   pc  |  -2.9794     +2.9794  |paral   |2020yCat.1350....0G
592 |TYC 3449-442-1                                                                                           |High Proper Motion Star           |10 59 48.4402347720 +50 44 32.940374316|157.2353177722501 +58.2950814305318| -68.984 32.920   |10.84    |~               |    ~     ~    |    1|  162.022   pc  |  -0.3938     +0.3938  |paral   |2020yCat.1350....0G
593 |TYC 3449-553-1                                                                                           |Star                              |10 57 10.4557388232 +50 17 10.976127972|158.4063675161655 +58.2333010926251| -30.365 15.262   |9.76     |~               |    ~     ~    |    1|  200.164   pc  |  -0.6571     +0.6571  |paral   |2020yCat.1350....0G
594 |TYC 3449-554-1                                                                                           |High Proper Motion Star           |10 59 40.4462767680 +50 10 23.838697200|158.1267858200166 +58.6221414214822|-29.077 -56.231   |10.83    |~               |    ~     ~    |    1|  197.902   pc  |  -0.5522     +0.5522  |paral   |2020yCat.1350....0G
595 |TYC 3449-556-1                                                                                           |Star                              |10 54 07.4092938600 +50 19 22.302713820|158.8854126068358 +57.8158330864554|   5.178 -3.898   |10.04    |~               |    ~     ~    |    1|  844.309   pc  | -10.5503    +10.5503  |paral   |2020yCat.1350....0G
596 |TYC 3449-586-1                                                                                           |Star                              |10 52 10.4445484392 +52 09 24.730708428|156.4758827271194 +56.4931381671219|   6.074 -0.003   |10.89    |~               |    ~     ~    |    1|  534.302   pc  | -13.6744    +13.6744  |paral   |2020yCat.1350....0G
597 |TYC 3449-647-1                                                                                           |Star                              |10 55 52.3061403552 +51 57 16.010755452|156.1425073622901 +57.0682205482839|   0.830 -3.483   |10.61    |~               |    ~     ~    |    1|  383.259   pc  |  -2.3502     +2.3502  |paral   |2020yCat.1350....0G
598 |TYC 3449-703-1                                                                                           |Star                              |10 52 22.6361743440 +52 12 05.453569044|156.3773251057602 +56.4913582753137|  -9.053 -3.479   |10.86    |~               |    ~     ~    |    1| 1045.369   pc  | -16.3919    +16.3919  |paral   |2020yCat.1350....0G
599 |TYC 3449-767-1                                                                                           |High Proper Motion Star           |10 49 09.8831336952 +51 52 34.536325656|157.3779202831823 +56.2838665910347|-79.611 -21.941   |10.95    |~               |    ~     ~    |    1|   90.178   pc  |  -0.1122     +0.1122  |paral   |2020yCat.1350....0G
600 |TYC 3449-879-1                                                                                           |Star                              |10 56 12.4534962360 +51 45 21.188586096|156.3738875381444 +57.2305842054096|   3.012 10.369   |10.33    |~               |    ~     ~    |    1|  187.920   pc  |  -0.7345     +0.7345  |paral   |2020yCat.1350....0G
601 |TYC 3449-920-1                                                                                           |Star                              |10 59 04.6743148344 +51 38 10.761943344|156.0398620510454 +57.6546307897179| -1.843 -12.718   |10.91    |~               |    ~     ~    |    1| 1326.964   pc  | -35.0406    +35.0406  |paral   |2020yCat.1350....0G
602 |TYC 3449-923-1                                                                                           |Star                              |10 51 00.3990611016 +51 39 01.861406532|157.4105603878918 +56.6469886324895|-14.963 -15.084   |10.12    |~               |    ~     ~    |    1| 1209.336   pc  | -22.2299    +22.2299  |paral   |2020yCat.1350....0G
603 |TYC 3449-931-1                                                                                           |Star                              |10 55 18.0140181696 +51 36 48.068324640|156.7407332926816 +57.2052701785239|-32.802 -16.799   |10.71    |~               |    ~     ~    |    1|  253.768   pc  |  -2.1058     +2.1058  |paral   |2020yCat.1350....0G
604 |TYC 3449-942-1                                                                                           |Star                              |10 57 06.7422840120 +51 35 22.583908176|156.4590625038436 +57.4432203722821| -33.695 -4.865   |10.12    |~               |    ~     ~    |    1|   94.050   pc  |  -0.1265     +0.1265  |paral   |2020yCat.1350....0G
605 |TYC 3449-1023-1                                                                                          |High Proper Motion Star           |10 59 05.3138241400 +50 00 06.197788248|158.4990405327971 +58.6489242037196|-43.981 -31.225   |10.82    |~               |    ~     ~    |    1|  246.8222  pc  | -22.5347    +22.5347  |paral   |2018yCat.1345....0G
606 |HD 233770                                                                                                |Star                              |10 47 07.8562255128 +50 37 15.795811128|159.5826042591951 +56.7273917825834|  -36.888 0.175   |9.66     |G5              |    ~     ~    |    1|   72.699   pc  |  -0.0951     +0.0951  |paral   |2020yCat.1350....0G
607 |HD 93541                                                                                                 |High Proper Motion Star           |10 48 49.6382238288 +50 36 27.566529120|159.3321636730755 +56.9594124893278|-91.005 -59.566   |8.870    |F2              |    ~     ~    |    1|   99.376   pc  |  -0.1945     +0.1945  |paral   |2020yCat.1350....0G
608 |BD+50 1766                                                                                               |Star                              |10 46 20.5126335840 +49 19 34.855327056|161.7200777357449 +57.3093269000228|  -7.821 -6.475   |10.42    |A3V             |    ~     ~    |    1|  669.792   pc  | -14.2662    +14.2662  |paral   |2020yCat.1350....0G
609 |HD 93900                                                                                                 |Star                              |10 51 15.6620374152 +49 25 18.150964824|160.7754564779179 +57.9373585745356| -36.503 -4.686   |9.62     |G5              |    ~     ~    |    1|   89.429   pc  |  -3.3678     +3.3678  |paral   |2020yCat.1350....0G
610 |TYC 3446-415-1                                                                                           |Star                              |10 46 18.9552390192 +49 09 49.747220244|161.9821388314932 +57.3896022991515| -22.770 -8.063   |10.20    |~               |    ~     ~    |    1|  763.068   pc  |  -8.7923     +8.7923  |paral   |2020yCat.1350....0G
611 |TYC 3446-431-1                                                                                           |Star                              |10 47 51.1631928048 +49 41 12.565000320|160.9134044198592 +57.3287718249677| 22.980 -14.986   |10.53    |~               |    ~     ~    |    1|  325.945   pc  |  -1.6042     +1.6042  |paral   |2020yCat.1350....0G
612 |TYC 3446-520-1                                                                                           |Star                              |10 46 41.2774277088 +49 38 22.174752876|161.1720459875026 +57.1938625723808|-16.435 -15.000   |10.54    |~               |    ~     ~    |    1|  610.836   pc  | -11.1936    +11.1936  |paral   |2020yCat.1350....0G
