C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
33   |HD 56632                                                                                                 |Star                          |07 17 45.8276698872 -01 32 59.681386068|217.3264931644674 +05.1426733943990|   -1.839 0.974   |8.46     |ApSi(Cr)        |    ~     ~    
34   |HD 56652                                                                                                 |Star                          |07 17 51.4078057776 -01 58 45.742300896|217.7198993287587 +04.9654447554708|   -1.852 0.345   |8.29     |F3/5III         |    ~     ~    
35   |HD 293622                                                                                                |Star                          |07 15 16.5966842160 -00 06 58.885130196|215.7611012947147 +05.2487508375821|   -5.236 3.715   |9.98     |A               |    ~     ~    
36   |HD 293641                                                                                                |Star                          |07 15 01.8789004896 -00 09 34.675088760|215.7715192403340 +05.1744157203745|    -2.50 -9.00   |10.7     |A0              |    ~     ~    
37   |HD 293642                                                                                                |Star                          |07 15 12.0237141840 -00 14 38.246958420|215.8662258290443 +05.1733523049904|   2.895 -1.746   |10.6     |F0              |    ~     ~    
38   |HD 293645                                                                                                |Star                          |07 16 05.2356135864 -00 18 38.178296928|216.0277642099717 +05.3398552681680|  3.279 -10.321   |10.6     |F0              |    ~     ~    
39   |HD 293648                                                                                                |Star                          |07 15 16.5414639432 -00 33 21.625411644|216.1533230341918 +05.0470256536565|  -4.339 -5.460   |9.717    |~               |    ~     ~    
40   |HD 293650                                                                                                |Star                          |07 15 43.2157977552 -00 32 46.287794688|216.1957445002852 +05.1502856325738|  -2.346 -4.567   |10.8     |A3              |    ~     ~    
41   |HD 293651                                                                                                |Star                          |07 15 48.6426766248 -00 35 23.720468964|216.2451749292808 +05.1503152359638|  -1.074 -1.157   |10.8     |A0              |    ~     ~    
42   |HD 293652                                                                                                |Star                          |07 15 57.7643643000 -00 39 18.806700708|216.3209409928529 +05.1541201209051|  -4.153 -0.621   |10.4     |K               |    ~     ~    
43   |HD 293654                                                                                                |Star                          |07 15 52.5913013832 -00 45 41.410934568|216.4058125780684 +05.0861942509842|   -1.988 0.036   |9.62     |A0              |    ~     ~    
44   |HD 293657                                                                                                |Star                          |07 15 36.9179322672 -00 49 35.890075452|216.4338129231577 +04.9982830876975|  -0.995 -3.214   |10.8     |A               |    ~     ~    
45   |HD 293679                                                                                                |Star                          |07 15 48.4147402416 -01 02 35.398018248|216.6489678077661 +04.9414046955698|   -2.203 0.865   |10.22    |K0              |    ~     ~    
46   |HD 293681                                                                                                |Star                          |07 15 57.7302143712 -01 09 26.627308416|216.7687016385411 +04.9233943057624|   -3.061 0.825   |10.67    |A2              |    ~     ~    
47   |HD 293682                                                                                                |Star                          |07 15 47.4858275160 -01 11 08.116751076|216.7741508031780 +04.8725363925881| -19.510 -2.457   |10.31    |F2              |    ~     ~    
48   |HD 293688                                                                                                |Star                          |07 15 18.7318559280 -01 19 42.522971232|216.8462708099031 +04.7004906273032|   -7.111 1.977   |10.30    |G5              |    ~     ~    
49   |HD 293714                                                                                                |Star                          |07 16 00.8468035800 -01 31 11.368777980|217.0977044479956 +04.7683060184438|  -1.418 -3.069   |10.36    |A2              |    ~     ~    
50   |HD 293717                                                                                                |Star                          |07 15 49.9491962232 -01 39 36.325169928|217.2017222749291 +04.6634820474083|  -3.510 -2.215   |10.95    |A2              |    ~     ~    
51   |HD 293719                                                                                                |Star                          |07 15 51.5048232480 -01 43 59.885683284|217.2699295854026 +04.6355500585383|  -1.317 -4.322   |10.43    |K0              |    ~     ~    
52   |HD 293720                                                                                                |Star                          |07 15 45.6931199184 -01 44 59.761065480|217.2735707892736 +04.6064073368413|  -0.492 -2.333   |10.05    |G5              |    ~     ~    
53   |HD 293721                                                                                                |Star                          |07 15 38.7917306520 -01 48 09.028699308|217.3071300505002 +04.5566969323300|   -2.844 0.293   |10.37    |B9              |    ~     ~    
54   |HD 293723                                                                                                |Star                          |07 15 13.6817638200 -01 52 16.053763548|217.3199736419928 +04.4322798541625|  -5.026 -2.792   |10.86    |A2              |    ~     ~    
55   |HD 293725                                                                                                |Star                          |07 15 24.7812072264 -01 52 32.195127828|217.3453005819697 +04.4712551888998|   -6.635 2.810   |10.83    |A2              |    ~     ~    
