C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:55:07

Vmag< 11&dec< 0&rah >=7.25&rah< 7.5
-----------------------------------

Number of objects : 10274

  #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
-----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1032 |NGC 2362 20                        CD-24 5175                                                            |Young Stellar Object          |07 18 41.0744988552 -25 00 11.414819052|238.2219942492925 -05.5701471377651|   -2.798 3.072   |8.77     |B2V             |    ~     ~    
1033 |NGC 2362 39                        2MASS J07184199-2458122                                               |Young Stellar Object          |07 18 41.9869631568 -24 58 12.242647272|238.1940563474894 -05.5518574481497|   -2.956 2.958   |9.78     |B2              |    ~     ~    
1034 |NGC 2362 25                        2MASS J07184315-2453549                                               |Young Stellar Object          |07 18 43.1436865944 -24 53 54.936870216|238.1323230738008 -05.5150872528856|   -3.208 3.441   |10.77    |~               |    ~     ~    
1035 |NGC 2362 24                        CPD-24 2217                                                           |Young Stellar Object          |07 18 42.8585052672 -24 55 49.096386228|238.1601095130044 -05.5306375849742|   -2.960 3.143   |10.98    |B7nn            |    ~     ~    
1036 |CD-24 5177                                                                                               |High Proper Motion Star       |07 18 43.4085429696 -24 39 23.806765440|237.9169978811851 -05.4027916833224|-137.148 -199.647 |8.92     |~               |    ~     ~    
1037 |HD 56185                                                                                                 |Star                          |07 15 02.2893236160 -25 43 12.171528336|238.4848939777492 -06.6303923403438|   -9.309 6.328   |9.457    |A4III/IV        |    ~     ~    
1038 |CD-25 4275                                                                                               |Star                          |07 15 13.4228676984 -25 42 43.730265240|238.4968952414902 -06.5895619107678|   0.354 -3.015   |9.81     |~               |    ~     ~    
1039 |HD 56235                                                                                                 |Star                          |07 15 16.6931215992 -25 40 35.595884712|238.4705804044926 -06.5624652084741|   -4.820 3.839   |9.66     |A0V             |    ~     ~    
1040 |CD-25 4278                                                                                               |Star                          |07 15 22.6416276360 -25 21 26.834484096|238.1947092546952 -06.3975717288020| -11.760 10.277   |9.41     |~               |    ~     ~    
1041 |HD 56281                                                                                                 |Star                          |07 15 23.8829013912 -25 55 31.985928372|238.7062609705843 -06.6514430851317|   -1.579 5.469   |8.06     |B8IV            |    ~     ~    
1042 |CD-25 4288                                                                                               |Star                          |07 15 47.2456126800 -25 45 23.129682156|238.5946421855526 -06.4965752052601|  -4.043 14.677   |8.88     |~               |    ~     ~    
1043 |CD-25 4298                                                                                               |Star                          |07 16 17.4619452624 -25 16 34.608720792|238.2165949819828 -06.1767779188373|   -4.532 0.795   |9.55     |~               |    ~     ~    
1044 |CD-25 4310                                                                                               |Star                          |07 17 11.2819416864 -25 51 56.702886300|238.8370742895483 -06.2657778600610|-13.721 -26.650   |9.52     |~               |    ~     ~    
1045 |HD 56750                                                                                                 |Star                          |07 17 18.6357898728 -25 46 24.898685988|238.7672659345682 -06.1991451993588|  -3.458 -1.291   |8.26     |K1III           |    ~     ~    
1046 |CD-25 4314                                                                                               |Star                          |07 17 18.7738286880 -26 02 51.666852156|239.0128166241326 -06.3238626636918| -11.547 19.833   |9.78     |~               |    ~     ~    
1047 |CD-25 4318                                                                                               |Double or Multiple Star       |07 17 41.310 -25 25 57.85              |238.501645 -05.967470              |      -8.1 19.0   |9.5      |F5              |    ~     ~    
1048 |HD 56875                                                                                                 |Star                          |07 17 46.9821290328 -25 59 08.424912192|239.0058720184088 -06.2015748946822| -19.999 27.871   |7.83     |F3V             |    ~     ~    
1049 |CD-26 4104                                                                                               |Star                          |07 16 14.5626946992 -26 36 41.137332660|239.4081971355101 -06.7939884816021|  -0.989 14.886   |9.30     |~               |    ~     ~    
1050 |CD-26 4128                                                                                               |Star                          |07 17 14.8753592760 -26 24 23.955990516|239.3275872601995 -06.5005729799476| 26.350 -18.249   |9.967    |~               |    ~     ~    
1051 |CD-26 4133                                                                                               |Star                          |07 17 25.3250332944 -26 29 08.393034768|239.4162518300936 -06.5018959422363|   -3.809 1.632   |9.75     |~               |    ~     ~    
1052 |CD-26 4139                                                                                               |Star                          |07 17 40.9035842640 -26 40 29.283936168|239.6123173686589 -06.5364822401710|    2.435 0.455   |8.73     |~               |    ~     ~    
1053 |CD-26 4152                                                                                               |Spectroscopic Binary          |07 18 16.8655286736 -26 33 39.055506228|239.5718523065612 -06.3652695613599|    0.065 6.125   |9.34     |~               |    ~     ~    
1054 |* 29 CMa                                                                                                 |Spectroscopic Binary          |07 18 40.3789353696 -24 33 31.318248528|237.8243933461025 -05.3678817000097|   -2.865 3.678   |4.95     |O7Iafpvar       |    ~     ~    
1055 |NGC 2362 23                        * tau CMa                                                             |Spectroscopic Binary          |07 18 42.4864191 -24 57 15.741299      |238.1809282329 -05.5429608174      |     -2.31 5.02   |4.40     |O9II            |    ~     ~    
1056 |NGC 2362 23c                       2MASS J07184354-2457128                                               |Young Stellar Object          |07 18 43.5329347872 -24 57 12.877009272|238.1820462361931 -05.5390847018549|   -2.602 2.867   |10.42    |~               |    ~     ~    
1057 |CD-24 5077                                                                                               |Star                          |07 15 05.8910111208 -24 38 47.200063164|237.5287931245823 -06.1304175691895|   -5.645 8.452   |9.23     |~               |    ~     ~    
1058 |CD-25 4283                                                                                               |Star                          |07 15 28.1860918488 -25 41 37.885588584|238.5058231580557 -06.5318730049939|   6.240 -2.642   |10.008   |~               |    ~     ~    
1059 |CD-24 5088                                                                                               |Star                          |07 15 41.7797041512 -25 02 59.161541424|237.9521039842545 -06.1932988924250|  -2.334 16.655   |9.807    |~               |    ~     ~    
1060 |CD-25 4296                                                                                               |Star                          |07 16 12.0322318584 -25 13 33.913143912|238.1622786596743 -06.1720960849161|  19.147 18.653   |9.97     |~               |    ~     ~    
1061 |CD-24 5130                                                                                               |Star                          |07 17 14.6361641856 -24 34 18.303841200|237.6860220039070 -05.6624610738975|   -9.509 5.582   |9.22     |~               |    ~     ~    
1062 |CD-24 5155                                                                                               |Star                          |07 18 06.6741349536 -24 24 00.569081124|237.6239279854057 -05.4083721436986|  -0.163 -0.489   |10.44    |~               |    ~     ~    
1063 |CD-24 5157                                                                                               |Star                          |07 18 06.8866222752 -24 25 59.710816128|237.6538182102626 -05.4228792721009|   -9.260 7.671   |10.01    |~               |    ~     ~    
1064 |CD-24 5169                                                                                               |Double or Multiple Star       |07 18 33.1894602384 -24 20 47.402310480|237.6226156827352 -05.2943343357055|   3.141 -5.258   |10.164   |~               |    ~     ~    
1065 |CD-23 5150                                                                                               |Star                          |07 15 03.2574073440 -24 12 10.348286364|237.1271542183541 -05.9372262969731|   -3.594 1.629   |10.30    |~               |    ~     ~    
1066 |CD-23 5179                                                                                               |Star                          |07 16 03.4950114624 -24 08 31.040986560|237.1777809827533 -05.7056936278075|   -5.025 1.841   |10.25    |~               |    ~     ~    
1067 |CD-23 5202                                                                                               |Star                          |07 16 48.8767226688 -24 05 38.668530984|237.2144299341747 -05.5303438240833|   -9.233 3.476   |9.511    |M3              |    ~     ~    
1068 |CD-25 4282                                                                                               |Star                          |07 15 24.0428370360 -26 07 15.269459592|238.8818330680713 -06.7395226882401|  -2.678 -0.332   |10.06    |M2/3            |    ~     ~    
1069 |CD-25 4285                                                                                               |Star                          |07 15 31.1784669168 -26 06 34.291219500|238.8838098123398 -06.7105672401096|  -1.391 -5.373   |9.96     |~               |    ~     ~    
1070 |2MASS J07181540-2455413                                                                                  |Young Stellar Object          |07 18 15.4084012584 -24 55 41.299980636|238.1102558730474 -05.6217441038291|   -2.852 2.981   |9.28     |~               |    ~     ~    
1071 |CD-24 5099                                                                                               |Star                          |07 16 07.641 -25 06 19.67              |238.046713 -06.131820              |       -8.7 1.3   |10.97    |~               |    ~     ~    
1072 |NGC 2362 67                        NGC 2362 67                                                           |Star                          |07 18 15.00 -24 56 00.0                |238.11418 -05.62550                |            ~ ~   |9.32     |~               |    ~     ~    
1073 |NGC 2362 69                        CD-24 5166                                                            |Eclipsing Binary              |07 18 26.6559093168 -24 52 06.399827256|238.0766232082207 -05.5565520160607|   -2.998 3.377   |10.06    |~               |    ~     ~    
1074 |TYC 6528-1872-1                                                                                          |Star                          |07 15 14.0358768504 -25 28 40.422098676|238.2878670381736 -06.4811522291509|   -4.857 1.769   |10.91    |~               |    ~     ~    
1075 |TYC 6532-195-1                                                                                           |Star                          |07 15 03.5478772272 -26 29 26.387793024|239.1789549503332 -06.9752265068135|  6.461 -28.545   |10.57    |~               |    ~     ~    
1076 |TYC 6532-690-1                                                                                           |Star                          |07 15 00.9311758296 -26 39 04.047634476|239.3187162198064 -07.0564733708261|   -2.749 3.606   |10.99    |~               |    ~     ~    
1077 |TYC 6532-2061-1                                                                                          |Star                          |07 15 00.3594059088 -26 18 10.659772548|239.0049025543328 -06.9009193434008|   -3.959 0.582   |10.93    |~               |    ~     ~    
1078 |TYC 6537-87-1                                                                                            |Star                          |07 18 19.2649110624 -24 21 06.410834784|237.6028745249366 -05.3436851371693|   -2.282 3.954   |10.32    |~               |    ~     ~    
1079 |TYC 6537-165-1                                                                                           |Star                          |07 18 31.3751821392 -24 15 07.849362852|237.5353592739538 -05.2569917407302|   -2.245 1.225   |10.85    |~               |    ~     ~    
1080 |IRAS 07150-2358                                                                                          |Long-Period Variable          |07 17 09.8515261680 -24 04 10.633509264|237.2293773294503 -05.4482291225941|   -2.183 1.609   |10.66    |M4              |    ~     ~    
1081 |TYC 6537-981-1                                                                                           |Star                          |07 18 23.0846126184 -24 09 13.206484584|237.4329805757968 -05.2395668931930| -4.259 -10.041   |10.26    |~               |    ~     ~    
1082 |TYC 6537-1038-1                                                                                          |Star                          |07 18 44.1441874824 -24 04 23.890472184|237.3984460353852 -05.1314451052352|    3.073 3.270   |10.50    |~               |    ~     ~    
1083 |TYC 6537-1206-1                                                                                          |Star                          |07 18 22.5341212056 -24 02 49.713184680|237.3370747541665 -05.1923414130388| -2.001 -31.132   |10.80    |~               |    ~     ~    
1084 |TYC 6537-1473-1                                                                                          |Spectroscopic Binary          |07 17 54.7086761064 -24 14 40.883082036|237.4642782470297 -05.3772038048280|   -6.513 8.657   |10.52    |~               |    ~     ~    
1085 |TYC 6537-1941-1                                                                                          |Star                          |07 18 17.4928050456 -24 07 07.639849956|237.3920564549763 -05.2423710216413|  -4.814 -3.236   |10.92    |~               |    ~     ~    
1086 |TYC 6541-145-1                                                                                           |Star                          |07 18 36.3505310664 -25 33 05.658656292|238.7032446802612 -05.8380031707907| 19.224 -37.285   |10.68    |~               |    ~     ~    
1087 |TYC 6541-330-1                                                                                           |Star                          |07 16 20.4548373936 -24 42 20.995839648|237.7114259986115 -05.9062776302265|   -1.118 2.615   |10.99    |~               |    ~     ~    
1088 |TYC 6541-357-1                                                                                           |Star                          |07 17 12.2682791760 -24 38 18.077003376|237.7413740581123 -05.7009668419795|    0.798 3.051   |10.88    |~               |    ~     ~    
1089 |TYC 6541-438-1                                                                                           |Spectroscopic Binary          |07 18 05.9921181600 -24 39 14.048900316|237.8490915034644 -05.5273454087823|  -13.897 2.712   |10.6     |~               |    ~     ~    
1090 |TYC 6541-452-1                                                                                           |Star                          |07 17 57.8398291152 -26 10 38.332781832|239.1960054825594 -06.2530726778618| -23.501 -6.588   |9.99     |~               |    ~     ~    
1091 |TYC 6541-469-1                                                                                           |Star                          |07 17 09.9310070904 -25 40 37.750771308|238.6659687737897 -06.1841569954731|    1.808 5.887   |10.506   |~               |    ~     ~    
1092 |TYC 6541-614-1                                                                                           |Star                          |07 15 28.2395727024 -25 56 23.575202628|238.7265756159345 -06.6433989199431|  -2.475 -5.885   |10.90    |~               |    ~     ~    
1093 |TYC 6541-625-1                                                                                           |Star                          |07 18 01.1151239808 -25 28 06.724798428|238.5679614556090 -05.9176406719577|   -2.835 2.965   |10.65    |~               |    ~     ~    
1094 |TYC 6541-714-1                                                                                           |High Proper Motion Star       |07 16 44.6186159184 -24 39 37.787766840|237.7129559275755 -05.8041886296059|   2.098 74.383   |10.26    |~               |    ~     ~    
1095 |TYC 6541-1162-1                                                                                          |Star                          |07 16 16.6146859080 -25 40 37.589104056|238.5740521903652 -06.3623081241002|   -3.184 3.284   |10.32    |~               |    ~     ~    
1096 |TYC 6541-1213-1                                                                                          |Star                          |07 17 55.7858144064 -25 12 53.392206996|238.3320605410469 -05.8191483681646|   2.032 -0.971   |10.61    |~               |    ~     ~    
1097 |TYC 6541-1292-1                                                                                          |Star                          |07 17 22.0524463320 -26 09 07.191796608|239.1118347554837 -06.3605593870904|   -4.284 3.211   |10.84    |~               |    ~     ~    
1098 |TYC 6541-1390-1                                                                                          |Star                          |07 18 11.4090192624 -25 25 12.171850068|238.5424992855695 -05.8609875989277| -2.043 -12.537   |10.81    |~               |    ~     ~    
1099 |GSC 06541-01479                                                                                          |Double or Multiple Star       |07 16 52.3532857032 -24 26 36.668958072|237.5325809490322 -05.6787732856370|    0.247 0.921   |10.747   |~               |    ~     ~    
1100 |TYC 6541-1721-1                                                                                          |Star                          |07 18 23.5466229408 -25 48 17.649701208|238.9073626925628 -05.9969591024888|   3.978 -5.569   |10.49    |~               |    ~     ~    
1101 |IRAS 07140-2427                                                                                          |Star                          |07 16 08.7849794616 -24 32 50.148002076|237.5493278292236 -05.8731306390999|  -0.200 -1.683   |9.95     |M3              |    ~     ~    
1102 |TYC 6541-1974-1                                                                                          |Star                          |07 18 03.3239153160 -24 42 31.214103912|237.8932973374201 -05.5614874649001|  -3.134 13.681   |10.09    |~               |    ~     ~    
1103 |TYC 6541-2016-1                                                                                          |Star                          |07 17 51.3392975832 -24 28 41.578552488|237.6666960355700 -05.4959179005915|   -3.854 3.363   |10.70    |~               |    ~     ~    
1104 |TYC 6541-2081-1                                                                                          |Star                          |07 15 22.5438872640 -25 53 38.670958248|238.6757292877235 -06.6416322975638|  1.892 -22.751   |10.197   |~               |    ~     ~    
1105 |TYC 6541-2100-1                                                                                          |Star                          |07 16 18.8487028680 -24 39 38.876971932|237.6683641261232 -05.8911050153988| -10.836 -0.099   |10.87    |~               |    ~     ~    
1106 |TYC 6541-2304-1                                                                                          |Star                          |07 17 50.6171377080 -24 29 35.670397380|237.6788389238673 -05.5052543804251|   -1.893 2.459   |10.86    |~               |    ~     ~    
1107 |TYC 6541-2411-1                                                                                          |Star                          |07 18 13.5869929464 -25 48 56.565636804|238.8998054202293 -06.0351171292893|   -5.072 7.156   |9.93     |~               |    ~     ~    
1108 |TYC 6541-2455-1                                                                                          |Star                          |07 17 10.5283574304 -25 45 14.616916056|238.7358175030891 -06.2172905156873|   0.173 -0.638   |10.91    |~               |    ~     ~    
1109 |TYC 6541-2636-1                                                                                          |Star                          |07 16 40.6330013160 -25 15 54.792912996|238.2467736434757 -06.0940468598487|  -11.366 5.601   |9.68     |~               |    ~     ~    
1110 |TYC 6541-2648-1                                                                                          |Star                          |07 18 28.3782909504 -25 07 30.333868788|238.3086467653859 -05.6687603852003|   -4.408 3.966   |10.82    |~               |    ~     ~    
1111 |TYC 6541-3279-1                                                                                          |Star                          |07 15 56.1295042488 -25 01 39.567133812|237.9571424835765 -06.1350037470765|   -2.274 4.752   |10.46    |~               |    ~     ~    
1112 |TYC 6541-3392-1                                                                                          |Star                          |07 18 22.0369397904 -25 14 25.135690992|238.4004609504878 -05.7429324494439|   -3.796 3.650   |10.69    |~               |    ~     ~    
1113 |TYC 6541-3536-1                                                                                          |Star                          |07 16 25.9834136016 -25 30 36.252103500|238.4406036828489 -06.2548478516952|   -4.482 3.418   |10.87    |~               |    ~     ~    
1114 |TYC 6541-3839-1                                                                                          |Star                          |07 17 49.1583246840 -24 51 51.671251872|238.0075338659823 -05.6805828615027| -12.321 -2.962   |10.6     |~               |    ~     ~    
1115 |TYC 6541-4060-1                                                                                          |Star                          |07 17 59.5948849008 -25 31 05.700735804|238.6097503891199 -05.9455092927113|   -3.414 2.647   |10.52    |~               |    ~     ~    
1116 |TYC 6545-2668-1                                                                                          |Star                          |07 15 56.8603082832 -26 42 45.673873704|239.4689722338122 -06.8986667348985|   -2.137 0.083   |10.661   |~               |    ~     ~    
1117 |TYC 6545-2669-1                                                                                          |Star                          |07 17 04.6784887296 -26 45 24.827161464|239.6240614523824 -06.6939029514866|   -3.797 4.380   |10.93    |~               |    ~     ~    
1118 |TYC 6545-2730-1                                                                                          |Star                          |07 15 53.4377206944 -26 35 47.561116236|239.3588805920281 -06.8573731735136|    3.855 7.646   |10.19    |~               |    ~     ~    
1119 |TYC 6545-3070-1                                                                                          |Star                          |07 16 45.6278996064 -26 34 31.347559596|239.4288128607612 -06.6745002889706|   -8.378 8.565   |10.623   |~               |    ~     ~    
1120 |TYC 6545-3211-1                                                                                          |Star                          |07 17 15.5716668960 -26 43 13.847861208|239.6100206939322 -06.6412501717634|   -4.909 6.860   |10.06    |~               |    ~     ~    
1121 |TYC 6545-3395-1                                                                                          |Star                          |07 16 28.0067850456 -26 45 30.718696356|239.5630833486275 -06.8161764115127|   -5.855 1.233   |10.82    |~               |    ~     ~    
1122 |NGC 2362 21                        CPD-24 2212                                                           |Young Stellar Object          |07 18 40.8351287544 -24 58 27.447960828|238.1958130224281 -05.5576635372420|   -2.995 3.524   |10.43    |B3Vn            |    ~     ~    
1123 |NGC 2362 48                        CPD-24 2205                                                           |Young Stellar Object          |07 18 37.4907711120 -24 57 42.131985408|238.1787445867637 -05.5630890686089|   -2.760 2.972   |9.54     |B3V             |    ~     ~    
1124 |NGC 2362 12                        CD-24 5172                                                            |Young Stellar Object          |07 18 36.8860831008 -24 56 05.727848064|238.1537991557179 -05.5527986746755|   -2.015 2.700   |10.05    |B5V             |    ~     ~    
1125 |NGC 2362 50                        CPD-24 2220                                                           |Young Stellar Object          |07 18 43.1171850744 -24 58 18.844075272|238.1976656280291 -05.5489108794607|   -2.709 3.035   |10.20    |B5V             |    ~     ~    
1126 |CD-26 4122                                                                                               |Pulsating Variable            |07 16 53.5812986448 -27 09 24.700650444|239.9639856905690 -06.9124060221800|   -3.013 1.736   |9.86     |~               |    ~     ~    
1127 |V* MQ CMa                                                                                                |Long-Period Variable Candidate|07 15 34.6962955296 -27 25 21.537586848|240.0695232159231 -07.2931947685589|  -19.663 8.616   |8.14     |~               |    ~     ~    
1128 |HD 56451                                                                                                 |Spectroscopic Binary          |07 15 55.6067454888 -27 26 54.410574552|240.1279404104657 -07.2358614609890|218.512 -54.285   |7.87     |G1V             |    ~     ~    
1129 |CD-27 3844                                                                                               |Star                          |07 16 06.9348633744 -27 50 05.385643728|240.4945035314450 -07.3731313104240|   -4.549 7.492   |9.27     |~               |    ~     ~    
1130 |HD 56580                                                                                                 |Double or Multiple Star       |07 16 22.9437 -27 45 44.441            |240.4561936 -07.2877387            |       5.4 -8.2   |8.79     |A3V             |    ~     ~    
1131 |CD-27 3851                                                                                               |Star                          |07 16 32.8265758392 -27 19 34.545443088|240.0809456725301 -07.0577710199268| -10.891 -8.677   |9.59     |~               |    ~     ~    
1132 |HD 56618                                                                                                 |Star                          |07 16 34.9928126880 -27 52 52.244563692|240.5832902903038 -07.3018785154962| -13.193 38.623   |4.64     |M2III           |    ~     ~    
1133 |CD-27 3856                                                                                               |Star                          |07 16 42.7896381744 -27 14 11.790072528|240.0172881992751 -06.9842359331174|  -5.234 23.333   |9.34     |~               |    ~     ~    
1134 |CD-27 3857                                                                                               |Star                          |07 16 41.9726922096 -27 17 51.194926248|240.0706298837093 -07.0145750404279|   6.401 -5.541   |9.09     |~               |    ~     ~    
1135 |HD 56656                                                                                                 |Star                          |07 16 45.2267648736 -27 48 51.426114660|240.5403514249972 -07.2379870254792|  -5.803 11.742   |8.60     |A5V             |    ~     ~    
1136 |CD-27 3869                                                                                               |Star                          |07 17 12.2039463768 -27 56 03.560753868|240.6935908129500 -07.2037714602608|  -8.368 14.127   |8.98     |~               |    ~     ~    
1137 |HD 56899                                                                                                 |Star                          |07 17 49.2651622584 -27 35 50.345866140|240.4535302036359 -06.9290247726303|   -7.111 6.006   |9.43     |B8/9V           |    ~     ~    
1138 |CD-27 3901                                                                                               |Spectroscopic Binary          |07 18 36.8082224568 -27 44 27.964114404|240.6629341594264 -06.8382865480904|   -0.744 6.543   |8.58     |~               |    ~     ~    
1139 |HD 56619                                                                                                 |Star                          |07 16 35.9854679904 -28 12 28.420449300|240.8788184773596 -07.4463021992657|   3.090 -8.591   |9.45     |A0/1V           |    ~     ~    
1140 |CD-28 4059                                                                                               |Star                          |07 15 00.7357919952 -28 17 58.793203320|240.8026452626846 -07.7997629445154|   -3.373 6.332   |9.56     |~               |    ~     ~    
1141 |CD-28 4066                                                                                               |Star                          |07 15 17.4612937368 -28 41 32.946162000|241.1847580257860 -07.9213349984738|   -3.080 8.888   |9.35     |~               |    ~     ~    
1142 |HD 56282                                                                                                 |Star                          |07 15 19.0523425224 -28 21 52.811787096|240.8917178270554 -07.7689405420408|   -5.096 0.366   |7.64     |G7IV            |    ~     ~    
1143 |HD 56311                                                                                                 |Star                          |07 15 25.2093154464 -28 30 10.393702092|241.0265792783790 -07.8108862200143|   -0.730 0.450   |9.15     |A1V             |    ~     ~    
1144 |CD-28 4073                                                                                               |Star                          |07 15 29.0186631432 -29 12 43.441610796|241.6728627815328 -08.1166078125801|   2.896 -2.320   |9.889    |~               |    ~     ~    
1145 |CD-28 4088                                                                                               |Star                          |07 16 02.2814152752 -28 54 12.211667604|241.4492024427020 -07.8698266990204|   -0.710 0.030   |9.789    |~               |    ~     ~    
1146 |CD-28 4091                                                                                               |Star                          |07 16 17.6894228232 -28 17 07.940617008|240.9181227913136 -07.5412757224843| -13.864 23.398   |9.54     |~               |    ~     ~    
1147 |CD-28 4100                                                                                               |Star                          |07 16 34.7272143768 -28 43 58.165420260|241.3492860074586 -07.6872805766630|  -0.198 -2.354   |9.52     |~               |    ~     ~    
1148 |CD-28 4101                                                                                               |Star                          |07 16 36.0226221024 -28 30 15.468418692|241.1456475915129 -07.5799950764966|   -7.694 2.206   |9.63     |~               |    ~     ~    
1149 |CD-28 4106                                                                                               |Star                          |07 16 45.3533337096 -28 40 19.829428788|241.3123360057934 -07.6252693814674|  -5.837 11.481   |8.78     |~               |    ~     ~    
1150 |CD-28 4112                                                                                               |Star                          |07 17 04.4470300848 -29 10 55.558551432|241.8033115505348 -07.7930570007830|  -12.302 2.018   |9.88     |~               |    ~     ~    
1151 |HD 56751                                                                                                 |Star                          |07 17 07.2024378000 -28 36 01.303305228|241.2840895814452 -07.5215513447952| -14.803 -4.956   |7.11     |A0V             |    ~     ~    
1152 |HD 56777                                                                                                 |Star                          |07 17 16.7105156328 -29 02 39.050935296|241.6994036957861 -07.6910098971092|  16.461 -4.895   |7.36     |K1III           |    ~     ~    
1153 |HD 56809                                                                                                 |Star                          |07 17 22.3931780952 -29 07 52.013602776|241.7871101080467 -07.7117800895467|   1.182 -8.585   |7.11     |ApCrEuSr        |    ~     ~    
1154 |CD-28 4125                                                                                               |Star                          |07 17 35.7915050064 -28 47 48.401008044|241.5084545823171 -07.5171487349050| -10.846 10.516   |10.25    |~               |    ~     ~    
1155 |HD 56900                                                                                                 |Star                          |07 17 48.3323344848 -28 17 10.497258312|241.0704596027765 -07.2449839783026|   -5.548 5.087   |8.32     |B9II/III        |    ~     ~    
1156 |CD-28 4137                                                                                               |Star                          |07 18 00.2929221456 -28 43 24.844479240|241.4834809954223 -07.4042061425786|   -4.728 3.291   |9.33     |~               |    ~     ~    
1157 |CD-28 4140                                                                                               |Spectroscopic Binary          |07 18 06.8370484992 -28 30 10.748156724|241.2961927089221 -07.2828565640699|  -2.298 -7.255   |9.94     |~               |    ~     ~    
1158 |HD 56996                                                                                                 |Star                          |07 18 07.7276867712 -28 56 31.042154040|241.6922256394221 -07.4789489720550|  1.558 -10.116   |8.64     |A0V             |    ~     ~    
1159 |HD 57147                                                                                                 |Star                          |07 18 44.6899528776 -29 00 16.876826244|241.8102186524968 -07.3873012190971|   -3.432 7.483   |9.38     |ApSiCr          |    ~     ~    
1160 |HD 56504                                                                                                 |Star                          |07 16 00.2640225216 -29 29 33.853459668|241.9776872365110 -08.1409404580739|   -3.751 4.416   |8.80     |B9IV            |    ~     ~    
1161 |CD-29 4143                                                                                               |Star                          |07 16 02.2105055328 -29 29 15.833593284|241.9763645980024 -08.1323860228183|   0.606 -0.956   |9.92     |G7:             |    ~     ~    
1162 |HD 56581                                                                                                 |Star                          |07 16 21.0192658248 -29 21 02.400404472|241.8835912368692 -08.0098727869656|   -2.845 5.961   |9.53     |B8IV/V          |    ~     ~    
1163 |CD-29 4161                                                                                               |Star                          |07 16 42.6358783992 -29 22 28.587087732|241.9408122856215 -07.9505094008996|   -2.050 2.999   |9.89     |~               |    ~     ~    
1164 |V* MW CMa                                                                                                |alpha2 CVn Variable           |07 18 38.5154367120 -29 17 45.086974764|242.0616648662236 -07.5393738264942|  -4.361 11.433   |8.73     |ApSi            |0.0033  0.0    
1165 |CD-27 3831                                                                                               |Star                          |07 15 32.0935966608 -27 44 53.278897416|240.3580454984466 -07.4486202813323|   6.835 -9.143   |10.360   |~               |    ~     ~    
1166 |CD-28 4084                                                                                               |Star                          |07 15 55.5867689520 -28 35 38.078211084|241.1590908358492 -07.7524946410795|   -1.601 2.115   |10.425   |~               |    ~     ~    
1167 |CD-29 4137                                                                                               |Star                          |07 15 56.2267131384 -29 17 43.964587536|241.7930177694684 -08.0656143061826|   4.871 -4.173   |10.154   |~               |    ~     ~    
1168 |CD-29 4165                                                                                               |Star                          |07 16 47.7016020216 -29 20 21.892454664|241.9174324933679 -07.9182482609355|   0.543 -3.520   |10.35    |~               |    ~     ~    
1169 |CD-27 3867                                                                                               |Star                          |07 17 07.5772322568 -28 03 10.156763376|240.7923063526508 -07.2726313858930|    2.220 2.710   |9.61     |~               |    ~     ~    
1170 |CD-26 4131                                                                                               |Star                          |07 17 19.3333688496 -27 05 54.670486128|239.9553506548710 -06.8008272328721|    0.753 1.379   |9.83     |~               |    ~     ~    
1171 |CD-27 3887                                                                                               |Star                          |07 18 13.9762283040 -27 15 56.876015592|240.1981939873015 -06.6966943655994|   -1.997 2.406   |10.40    |~               |    ~     ~    
1172 |HD 56373                                                                                                 |Star                          |07 15 38.3181645072 -26 51 24.350545008|239.5669057699868 -07.0254139970577|   -7.013 4.558   |9.03     |B9V             |    ~     ~    
1173 |HD 56472                                                                                                 |Star                          |07 16 06.0478634160 -26 49 22.960893072|239.5836657804605 -06.9182296305961|   1.539 -2.797   |7.68     |B8/9IV          |    ~     ~    
1174 |HD 56876                                                                                                 |Star                          |07 17 48.0117200664 -26 47 51.208266984|239.7344253077101 -06.5689274250572|   -1.521 0.907   |6.434    |B5Vn            |    ~     ~    
1175 |CD-26 4147                                                                                               |Star                          |07 18 06.5265561432 -26 53 31.023661344|239.8505855902267 -06.5507414990510|  -8.418 19.258   |9.41     |~               |    ~     ~    
1176 |CD-26 4155                                                                                               |Star                          |07 18 35.0744478144 -26 52 19.997112036|239.8816974282099 -06.4473489691391|    4.849 2.768   |9.75     |M3              |    ~     ~    
1177 |CD-26 4125                                                                                               |Star                          |07 17 05.3408846232 -26 52 49.714713120|239.7360042340948 -06.7479261330614| -3.660 -14.616   |9.93     |~               |    ~     ~    
1178 |TYC 6532-2268-1                                                                                          |Star                          |07 15 18.7840417632 -27 23 19.873308660|240.0123358387398 -07.3304670719725|   -0.412 3.547   |10.34    |~               |    ~     ~    
1179 |TYC 6532-2602-1                                                                                          |Star                          |07 15 08.0676654024 -27 09 59.116994460|239.7941574240408 -07.2655252844425|  -1.780 -3.866   |10.42    |~               |    ~     ~    
