C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
34  |CD-41 514                                                             |Star                           |01 51 58.3308245400 -40 41 16.498843548|264.1584556920616 -71.5721185269114|   11.641 6.394   |10.109   |~               |    ~     ~    
35  |CD-42 620                                                             |Star                           |01 45 44.1721594704 -41 43 47.412105852|269.1265946958234 -71.6494720685512|-32.115 -23.663   |10.62    |~               |    ~     ~    
36  |TYC 7543-1046-1                                                       |Spectroscopic Binary           |01 48 16.9741701624 -39 47 40.745865552|263.5757163979354 -72.6953364142586|   2.197 -8.069   |10.929   |~               |    ~     ~    
37  |TYC 7546-39-1                                                         |High Proper Motion Star        |01 48 15.9928005288 -40 16 39.131790852|264.7536697555934 -72.3664575094178|-34.800 -41.572   |10.882   |~               |    ~     ~    
38  |TYC 7546-77-1                                                         |Star                           |01 51 22.5487114944 -41 14 19.635427788|265.6568969031689 -71.2749837802632|   14.400 5.344   |10.33    |~               |    ~     ~    
39  |TYC 7546-212-1                                                        |Star                           |01 49 01.6410342120 -40 23 10.479341940|264.6821360111394 -72.1865527274241|-17.662 -14.450   |10.82    |~               |    ~     ~    
40  |TYC 7546-681-1                                                        |Star                           |01 50 29.8651711728 -41 21 13.899762468|266.2733788025438 -71.3117071005286|-17.570 -27.314   |10.84    |~               |    ~     ~    
41  |HD 11643                                                              |High Proper Motion Star        |01 53 23.1726086160 -38 35 40.673979852|258.3455352196297 -72.7046504959237| 128.539 29.485   |6.086    |K1/2III         |    ~     ~    
42  |HD 11644                                                              |Spectroscopic Binary           |01 53 24.1380611880 -39 11 37.695480972|259.9179521218631 -72.3358916079172| 15.215 -19.456   |9.46     |K1/2III         |    ~     ~    
43  |CD-40 477                                                             |Star                           |01 53 32.7955403016 -39 51 24.591467160|261.5341829299256 -71.8953507852194|   0.345 -1.045   |10.20    |~               |    ~     ~    
44  |CD-40 481                                                             |Spectroscopic Binary           |01 54 23.1559398744 -40 10 09.972536376|261.9671201328010 -71.5711018379511|   2.178 -6.063   |10.85    |~               |    ~     ~    
45  |CD-40 480                                                             |Star                           |01 54 12.6399124992 -39 36 47.631963420|260.6666014698545 -71.9516877728281|  -7.670 -4.272   |10.76    |~               |    ~     ~    
