C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:50:25

Vmag< 11&dec< 0&rah >=1.75&rah< 2.0
-----------------------------------

Number of objects : 2401

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
199 |CD-34 746                                                             |Star                           |01 56 39.8636931288 -34 20 05.173976760|244.1639536267650 -74.2672632969862|  5.589 -20.298   |9.93     |~               |    ~     ~    
200 |HD 12002                                                              |Star                           |01 57 03.3370091712 -33 56 23.343650232|242.6987236703483 -74.3409101469105| -14.945 -0.657   |7.74     |F0IV            |    ~     ~    
201 |HD 12093                                                              |Star                           |01 57 58.5965984160 -34 06 24.699208212|243.0136569112110 -74.1021904384360| 10.769 -22.293   |8.38     |K0III           |    ~     ~    
202 |HD 11935                                                              |Star                           |01 56 22.4559224880 -34 49 45.130584360|245.9143702120796 -74.1231625356884|  22.932 16.160   |10.192   |G0/1V           |    ~     ~    
203 |HD 12094                                                              |Spectroscopic Binary           |01 57 56.2136141064 -35 06 35.804860308|246.3531325905357 -73.7150833684983|  61.015 12.465   |9.688    |F7V             |    ~     ~    
204 |HD 12128                                                              |Star                           |01 58 14.5228147104 -35 06 22.891139388|246.2487101677401 -73.6598790101103|  26.454 -1.200   |9.92     |F3V             |    ~     ~    
205 |HD 12127                                                              |Star                           |01 58 15.6725594808 -34 31 06.281424408|244.3159126863906 -73.8925445052936|  32.941 19.640   |9.73     |G2V             |    ~     ~    
206 |CD-35 688                                                             |Star                           |01 58 34.4280270024 -35 18 36.591904944|246.8023005770469 -73.5127065367964|   0.079 -6.210   |9.60     |K5              |    ~     ~    
207 |HD 12275                                                              |Star                           |01 59 39.3862974696 -34 26 24.554256576|243.6655691823753 -73.6563675434711|   6.181 14.090   |8.88     |A1V             |    ~     ~    
208 |HD 12276                                                              |Star                           |01 59 40.8925697448 -34 45 33.146265312|244.7026728713345 -73.5298254891124| 13.677 -12.951   |9.623    |K4III           |    ~     ~    
209 |HD 11817                                                              |Star                           |01 55 11.2326497544 -35 27 26.604673056|248.3637101800296 -74.0678791494430| 24.268 -12.058   |8.79     |G3/5III         |    ~     ~    
210 |CD-34 739                                                             |Star                           |01 55 47.8901863560 -34 11 33.833826096|243.9351493322250 -74.4872863906992|  -2.010 -2.894   |10.203   |~               |    ~     ~    
211 |CD-34 742                                                             |High Proper Motion Star        |01 56 04.1322812832 -33 43 26.928206436|242.2246020273265 -74.6099867094881|   80.862 4.795   |10.443   |~               |    ~     ~    
212 |CD-33 671                                                             |Star                           |01 57 04.1813701866 -33 10 20.037119262|240.0018219808717 -74.6017015460077| -25.693 28.007   |9.89     |~               |    ~     ~    
213 |CPD-33 194                                                            |High Proper Motion Star        |01 58 01.6974149904 -33 19 07.561097580|240.2782516616650 -74.3646896348295|  60.251 39.442   |10.46    |~               |    ~     ~    
214 |CD-35 684                                                             |Star                           |01 58 02.2910756256 -34 25 06.934413108|244.0470132112112 -73.9734043369322|   7.827 -5.524   |9.62     |~               |    ~     ~    
215 |CD-33 687                                                             |Star                           |01 59 11.3197350936 -32 57 23.816768688|238.7268254830876 -74.2461795481518|  32.979 -0.605   |10.61    |~               |    ~     ~    
216 |CD-35 681                                                             |Star                           |01 57 11.1398105448 -35 01 30.200848464|246.3079756483157 -73.8902296132932|  15.042 -1.343   |10.414   |~               |    ~     ~    
217 |CD-34 758                                                             |Star                           |01 58 41.5905035832 -33 26 38.270319504|240.5484223552343 -74.1926993207354| 13.817 -20.444   |9.63     |~               |    ~     ~    
218 |TYC 7006-2241-1                                                       |Star                           |01 59 26.3374566384 -33 36 45.762982632|240.9431264175159 -73.9903927187953|   17.941 2.883   |10.746   |~               |    ~     ~    
219 |TYC 7008-608-1                                                        |Star                           |01 53 26.8157221152 -34 46 29.307785772|246.6810736463808 -74.6902724268970|  -0.042 -6.215   |10.443   |~               |    ~     ~    
220 |TYC 7008-1140-1                                                       |Spectroscopic Binary           |01 56 09.4259126832 -33 57 28.873627632|243.0171259860408 -74.5074756543106|-21.761 -59.372   |10.91    |~               |    ~     ~    
221 |TYC 7008-1248-1                                                       |Star                           |01 56 57.0352484640 -35 25 10.920996048|247.6610619088625 -73.7636867897944|  -0.671 15.250   |10.885   |~               |    ~     ~    
222 |TYC 7008-1965-1                                                       |Star                           |01 55 51.1634825688 -34 21 38.326136616|244.4952276313171 -74.4112801353786|  23.664 22.009   |10.84    |~               |    ~     ~    
223 |TYC 7008-2022-1                                                       |Star                           |01 55 53.8880860968 -35 20 32.756744400|247.7536421959397 -73.9902451174971|  40.111 -0.451   |10.808   |~               |    ~     ~    
224 |TYC 7008-2092-1                                                       |Star                           |01 54 02.5663049112 -35 38 40.728316308|249.3652383117572 -74.1871427960458|  8.608 -14.119   |10.544   |~               |    ~     ~    
225 |HD 11355                                                              |Double or Multiple Star        |01 50 57.0499 -33 16 43.668            |242.1223563 -75.7658426            |       12.8 5.5   |9.68     |F3V             |    ~     ~    
226 |CD-34 689                                                             |Star                           |01 46 00.1975616328 -33 29 37.050883296|244.6577683641334 -76.6303121024195|   4.539 -0.431   |9.67     |~               |    ~     ~    
227 |HD 10959                                                              |Star                           |01 47 03.5706065208 -31 22 16.897322964|235.5287884706167 -77.1588215617958| -6.292 -16.502   |9.39     |K1III           |    ~     ~    
228 |HD 11183                                                              |High Proper Motion Star        |01 49 19.4209051512 -31 04 20.861586768|233.7015124549511 -76.7666586125980| 85.633 -15.258   |6.348    |K2/3III         |    ~     ~    
229 |CD-31 757                                                             |Spectroscopic Binary           |01 49 30.2763364176 -31 17 35.016632268|234.5918093238799 -76.6753124445258|  16.348 -7.442   |10.25    |G0              |    ~     ~    
230 |CD-31 765                                                             |High Proper Motion Star        |01 50 27.0137603040 -31 13 30.935825436|234.0942787640134 -76.4961081195027| 118.433 21.656   |10.16    |~               |    ~     ~    
231 |HD 11379                                                              |High Proper Motion Star        |01 51 14.6423239848 -30 54 10.000290420|232.5888495724470 -76.4039433467674| 203.190 69.947   |7.21     |F5V             |    ~     ~    
232 |CD-31 768                                                             |Star                           |01 51 22.1492261400 -30 37 20.370153432|231.3962510136193 -76.4348966478855| 12.235 -11.372   |10.590   |~               |    ~     ~    
233 |CD-31 772                                                             |Star                           |01 51 29.9371030200 -30 57 21.867531192|232.7597727585651 -76.3390825049614|   0.153 -3.355   |10.452   |~               |    ~     ~    
234 |V* WX For                                                             |Long-Period Variable           |01 51 54.1199300040 -31 20 00.724039008|234.2236406270594 -76.1689918059169|   4.232 -3.888   |8.84     |K5              |0.0033  0.0    
235 |CD-31 777                                                             |Star                           |01 51 54.7582504896 -31 08 22.534904436|233.4313100532082 -76.2120132511806|-12.873 -33.051   |10.21    |G0              |    ~     ~    
236 |HD 10798                                                              |Star                           |01 45 01.8266625336 -31 23 09.248208324|236.1451503661512 -77.5706384532820|  36.338 -9.926   |7.65     |A8IV(+F)        |    ~     ~    
237 |HD 10811                                                              |Spectroscopic Binary           |01 45 17.1169452264 -31 53 30.352437096|238.2907562018986 -77.3653880300740|-37.728 -88.633   |8.95     |G0V             |    ~     ~    
238 |HD 11340                                                              |Star                           |01 50 51.9791597904 -32 14 41.914581144|238.1383357454133 -76.1318988881537|-19.731 -14.317   |9.268    |F0V             |    ~     ~    
239 |CD-33 613                                                             |Star                           |01 46 17.8042929024 -33 01 19.959251304|242.6757355512550 -76.7646122431431|   16.005 3.325   |10.24    |F5              |    ~     ~    
240 |HD 10989                                                              |Star                           |01 47 16.7461038528 -32 41 40.471943136|241.0157521127636 -76.6958127476854|  -9.173 -6.424   |8.61     |K3III           |    ~     ~    
241 |HD 11110                                                              |Star                           |01 48 33.6945138528 -32 35 53.679989220|240.2173631117976 -76.4770400896848|   30.210 6.462   |9.58     |K1III           |    ~     ~    
242 |HD 11109                                                              |Double or Multiple Star        |01 48 37.8180632856 -32 28 38.786260332|239.7099737864806 -76.5045135538003|146.473 -66.931   |10.124   |G3V             |0.0083  0.0    
243 |HD 11135                                                              |High Proper Motion Star        |01 48 51.5201118936 -32 53 44.248825932|241.3067805287381 -76.3137129476917|   65.953 8.408   |8.56     |G8IIICNV        |    ~     ~    
244 |HD 11230                                                              |Star                           |01 49 39.6058922568 -33 08 15.703898748|241.9935852843416 -76.0688597034839| 34.492 -11.396   |9.00     |K1III           |    ~     ~    
245 |HD 11354                                                              |Star                           |01 50 58.0101730152 -32 37 21.255553308|239.5969208492044 -75.9918954322916| 16.733 -22.020   |9.66     |F7V             |    ~     ~    
246 |HD 11481                                                              |Star                           |01 52 11.5247853312 -32 32 23.519518044|238.9347556758459 -75.7742319604674|   -7.856 1.900   |7.96     |A2/3V           |    ~     ~    
247 |CD-32 708                                                             |High Proper Motion Star        |01 48 49.9205579640 -31 53 26.139784992|237.2532999288042 -76.6495635064875| 131.739 70.870   |10.846   |~               |    ~     ~    
248 |CD-34 686                                                             |High Proper Motion Star        |01 45 39.7789179696 -33 24 12.451278420|244.4310880173830 -76.7325000343313|  48.074 27.855   |10.503   |~               |    ~     ~    
249 |CPD-33 166                                                            |Star                           |01 46 15.9551166600 -32 37 23.404730016|241.0615791716955 -76.9204566908314|-15.938 -19.702   |10.731   |~               |    ~     ~    
250 |CD-33 620                                                             |Star                           |01 47 38.4746238336 -32 29 30.061825476|240.0738179047914 -76.6958186460745|   21.862 7.521   |10.58    |~               |    ~     ~    
251 |CD-33 621                                                             |Star                           |01 47 44.1276154536 -32 56 42.355738428|241.8706286376394 -76.5148766790601|   38.993 0.469   |10.19    |~               |    ~     ~    
252 |CPD-32 206                                                            |High Proper Motion Star        |01 47 57.5811031104 -31 53 46.626012528|237.5183979478179 -76.8245407213373|-38.524 -64.440   |10.51    |~               |    ~     ~    
253 |CD-32 704                                                             |High Proper Motion Star        |01 48 14.9364737472 -31 38 45.343525776|236.3885583939753 -76.8390528808763| 67.527 -10.803   |10.56    |~               |    ~     ~    
254 |CPD-31 205                                                            |High Proper Motion Star        |01 49 41.3900800680 -31 21 43.988106744|234.8382190569350 -76.6195515048481|   55.740 1.662   |10.741   |~               |    ~     ~    
255 |CD-31 764                                                             |Spectroscopic Binary           |01 50 11.5563099312 -30 47 39.455412288|232.3405658864534 -76.6475609729959|  11.056 -3.657   |10.659   |~               |    ~     ~    
256 |CD-33 642                                                             |Star                           |01 51 45.8940368809 -32 57 38.637638799|240.6688644061151 -75.7200877197851| 24.534 -10.713   |10.61    |~               |    ~     ~    
257 |CD-32 725                                                             |Star                           |01 51 47.5019180880 -31 59 35.074265028|236.8980249384990 -76.0189274804393|   16.262 7.052   |10.96    |~               |    ~     ~    
258 |CD-33 643                                                             |Spectroscopic Binary           |01 51 48.8639317992 -32 53 48.817740984|240.4111626030908 -75.7321784780606|  25.679 -8.729   |10.243   |~               |    ~     ~    
259 |CPD-33 179                                                            |Star                           |01 52 02.8471397880 -32 58 47.421169644|240.6589769146293 -75.6578698886963|   -1.499 4.316   |9.53     |~               |    ~     ~    
260 |CD-32 693                                                             |Star                           |01 46 52.8911277744 -32 05 27.044061504|238.6493129670980 -76.9808772224977|  12.468 -1.132   |10.18    |~               |    ~     ~    
261 |CD-33 614                                                             |Star                           |01 46 17.5684294056 -32 35 11.327299476|240.9013280963081 -76.9284379370307|    1.659 4.714   |10.634   |~               |    ~     ~    
262 |CD-32 692                                                             |High Proper Motion Star        |01 46 46.8131108640 -31 22 36.155920296|235.6253544318375 -77.2147125079025|-111.788 -101.480 |10.550   |~               |    ~     ~    
263 |TYC 7003-50-1                                                         |Star                           |01 47 20.1440315208 -30 50 12.378375816|233.1266558937034 -77.2362171418644|  1.847 -13.093   |10.73    |~               |    ~     ~    
264 |TYC 7003-304-1                                                        |Star                           |01 47 45.6396527328 -31 59 06.615229740|237.9465439800267 -76.8375458096933|  31.013 15.800   |10.81    |~               |    ~     ~    
265 |TYC 7006-70-1                                                         |Star                           |01 49 28.6420019832 -31 45 41.791218984|236.5491267130830 -76.5557093332657|   8.518 -8.408   |10.613   |~               |    ~     ~    
266 |TYC 7006-127-1                                                        |Star                           |01 49 40.3340966304 -32 01 05.078802540|237.5485138129337 -76.4414798034687| 17.529 -14.119   |10.95    |~               |    ~     ~    
267 |TYC 7006-216-1                                                        |Star                           |01 48 09.8409271080 -31 56 40.892788896|237.6628003585576 -76.7685466859276| -5.166 -34.960   |10.563   |~               |    ~     ~    
268 |TYC 7006-1685-1                                                       |Spectroscopic Binary           |01 49 11.0223341184 -33 11 04.718788404|242.3299259847607 -76.1438398761934|  7.534 -18.082   |10.623   |~               |    ~     ~    
269 |TYC 7006-1795-1                                                       |Spectroscopic Binary           |01 49 46.3364066664 -32 53 16.983683016|240.9891853833269 -76.1372991378627|   7.502 -8.159   |10.88    |~               |    ~     ~    
270 |HD 12106                                                              |Star                           |01 58 06.9159159816 -32 44 03.438891024|238.1830257382831 -74.5269590520230|  7.888 -10.708   |10.30    |M2/3III         |    ~     ~    
271 |CD-31 784                                                             |Star                           |01 53 23.8767544824 -30 50 33.334001124|231.9425984599287 -75.9641465507977|   1.708 -3.346   |9.68     |G2              |    ~     ~    
272 |HD 11713                                                              |Spectroscopic Binary           |01 54 15.8487166368 -31 22 40.859738796|233.9150700039191 -75.6683399589429|   7.446 69.679   |9.29     |F7V             |    ~     ~    
273 |HD 11573                                                              |Spectroscopic Binary           |01 52 59.6418448224 -32 46 37.044174360|239.6230777598908 -75.5383800734065| 70.155 -15.183   |8.02     |A5III/IV        |    ~     ~    
274 |HD 11597                                                              |High Proper Motion Star        |01 53 11.5958797584 -32 48 22.335350508|239.6792117409351 -75.4892734915012|  96.149 51.670   |8.15     |F5V             |    ~     ~    
275 |HD 11692                                                              |Star                           |01 53 59.2207325352 -32 46 44.806022148|239.3640510642162 -75.3400686943880|-10.861 -43.277   |9.75     |F5V             |    ~     ~    
276 |CD-33 658                                                             |High Proper Motion Star        |01 54 02.8268450880 -32 32 44.021540688|238.4697126744057 -75.4007700655867|-92.415 -129.783  |10.458   |~               |    ~     ~    
277 |CD-33 649                                                             |Star                           |01 52 38.4712468608 -32 43 21.763256844|239.5136900816763 -75.6261562781018| -1.857 -22.871   |10.250   |~               |    ~     ~    
278 |CD-31 785                                                             |Star                           |01 53 32.4445235160 -31 12 44.303489244|233.4007611444479 -75.8563354812107|  29.887 -1.791   |10.800   |~               |    ~     ~    
279 |CD-32 728                                                             |Star                           |01 52 39.0880123080 -31 58 52.640256828|236.6409444891503 -75.8472578210150|    8.110 1.064   |10.664   |~               |    ~     ~    
280 |CD-32 732                                                             |Star                           |01 53 37.8182020224 -32 10 30.239339340|237.1589544905326 -75.5938421012572|  7.305 -32.471   |10.68    |~               |    ~     ~    
281 |HD 12104                                                              |Star                           |01 58 12.2335792632 -30 13 06.554892324|228.7918128294458 -75.0479448987166|  18.048 -9.103   |10.021   |F3V             |    ~     ~    
282 |HD 11786                                                              |Star                           |01 54 58.3595065800 -31 13 21.025074504|233.1693925391269 -75.5553927079208|   38.177 4.476   |9.19     |G0              |    ~     ~    
283 |HD 11787                                                              |Spectroscopic Binary           |01 54 58.6634312496 -31 19 47.900282088|233.5884490166710 -75.5307947826613|-17.557 -21.457   |9.654    |F8              |0.0083  0.0    
284 |HD 11873                                                              |High Proper Motion Star        |01 56 00.9455236872 -30 56 48.861082356|231.9119653941898 -75.3929979715218|  57.870 17.755   |9.753    |F7/8V           |    ~     ~    
285 |HD 11933                                                              |High Proper Motion Star        |01 56 33.8648098464 -31 08 08.045553012|232.5502305152376 -75.2405787314752| 93.759 -29.508   |9.42     |G3V             |    ~     ~    
286 |HD 11993                                                              |Star                           |01 57 08.2391938392 -31 05 03.913525428|232.2588284566814 -75.1305689963225| 23.384 -39.856   |7.29     |K2III           |    ~     ~    
287 |CD-31 804                                                             |Double or Multiple Star        |01 57 17.386320 -30 44 00.44124        |230.889615752 -75.163105900        |       -3.1 6.9   |10.040   |G0              |    ~     ~    
288 |CD-31 815                                                             |Star                           |01 59 47.8309929480 -30 59 47.045589000|231.5204368096615 -74.5872725801469|  16.814 -5.655   |10.195   |~               |    ~     ~    
289 |CD-32 766                                                             |High Proper Motion Star        |01 59 02.8607276280 -31 43 59.966164812|234.3586355475910 -74.5951428241900|  64.603 11.606   |10.250   |G0              |    ~     ~    
290 |HD 12295                                                              |Star                           |01 59 59.8701959064 -31 44 59.909840664|234.2499421349740 -74.3945407214105|   -7.256 3.265   |8.39     |G1/2V           |    ~     ~    
291 |HD 11943                                                              |Star                           |01 56 34.6357587288 -32 08 17.990560356|236.3463042740509 -75.0040440701314|   21.910 7.447   |6.52     |K0III           |    ~     ~    
292 |CD-32 752                                                             |High Proper Motion Star        |01 57 10.6002673176 -31 54 47.314179504|235.3814725906618 -74.9387681521642|-24.447 -122.465  |10.14    |G0              |    ~     ~    
293 |HD 12117                                                              |Star                           |01 58 15.7490436504 -31 59 29.385048660|235.4547089391983 -74.6962379239430|-19.590 -45.553   |9.12     |F6V             |    ~     ~    
294 |HD 12170                                                              |Star                           |01 58 44.7089678904 -32 16 14.214126000|236.3750745603252 -74.5268163163417|  10.580 11.296   |8.57     |A8V             |    ~     ~    
295 |HD 12169                                                              |Star                           |01 58 46.8373049928 -32 13 20.012879856|236.1925577303966 -74.5320634795831|   7.702 -5.677   |8.99     |K1/2(III)       |    ~     ~    
296 |HD 12283                                                              |High Proper Motion Star        |01 59 47.2610268216 -32 01 59.703881844|235.3120613769208 -74.3724625145427|  -54.634 5.020   |9.40     |G2V             |    ~     ~    
297 |HD 11911                                                              |Star                           |01 56 18.3708518760 -32 29 07.451269656|237.6949914702073 -74.9635368142440|   6.986 -6.005   |10.60    |M2III           |    ~     ~    
298 |HD 12092                                                              |High Proper Motion Star        |01 58 04.2939277344 -32 31 02.076647916|237.4110920737874 -74.5974641794362|  60.015 -3.665   |9.19     |G8IV            |    ~     ~    
299 |HD 12105                                                              |High Proper Motion Star        |01 58 06.9552131352 -32 24 02.293540776|236.9789351436770 -74.6204713480551|121.585 -22.263   |9.79     |G5V             |    ~     ~    
300 |CD-33 663                                                             |Star                           |01 55 26.2939730280 -32 36 21.128006880|238.3483922567307 -75.1031603619459|    6.963 2.156   |10.21    |~               |    ~     ~    
301 |CPD-33 192                                                            |Star                           |01 57 16.2179984055 -32 31 45.696689747|237.6345154333922 -74.7561731331356|       15.4 6.2   |10.71    |~               |    ~     ~    
302 |CD-32 768                                                             |Star                           |01 59 30.5545584048 -31 45 41.456237256|234.3785623591180 -74.4931858634485|  7.400 -20.752   |10.605   |~               |    ~     ~    
303 |CD-30 691                                                             |Star                           |01 59 50.0744308584 -30 21 06.034512348|229.1128278258739 -74.6810080552225| 34.935 -15.475   |10.876   |~               |    ~     ~    
304 |TYC 7006-358-1                                                        |High Proper Motion Star        |01 54 51.9988622064 -32 17 50.833417812|237.3306521913730 -75.3084118373185|  94.214 21.833   |10.97    |~               |    ~     ~    
305 |TYC 7006-365-1                                                        |Star                           |01 57 10.2244781040 -30 43 44.707272132|230.8901229401287 -75.1891257962328|   25.278 1.337   |10.951   |~               |    ~     ~    
306 |TYC 7006-440-1                                                        |High Proper Motion Star        |01 58 19.4800748232 -31 55 33.312608220|235.2015423036696 -74.6994243967249| 19.787 -59.518   |10.952   |~               |    ~     ~    
307 |TYC 7006-527-1                                                        |Star                           |01 53 49.8431029824 -32 38 03.364611540|238.8604101872195 -75.4168655317214| -7.999 -15.553   |10.77    |~               |    ~     ~    
308 |TYC 7006-560-1                                                        |Star                           |01 58 54.4080796032 -32 16 36.777418680|236.3645466502325 -74.4921908017387|-15.834 -11.819   |10.55    |~               |    ~     ~    
309 |TYC 7006-848-1                                                        |Star                           |01 59 09.7186534800 -31 49 13.269306216|234.6562958852062 -74.5516135532444|  -14.705 6.999   |10.90    |~               |    ~     ~    
310 |TYC 7006-1641-1                                                       |Star                           |01 57 39.0053331504 -31 01 31.030321872|231.9512280587200 -75.0342010446038| 12.421 -14.156   |10.929   |~               |    ~     ~    
311 |TYC 7006-2148-1                                                       |Star                           |01 56 18.9479589144 -32 55 35.497463340|239.3079380836353 -74.8294564130377|  -1.239 -7.501   |10.81    |~               |    ~     ~    
312 |CD-31 748                                                             |Star                           |01 48 49.2815625168 -30 40 19.359223968|232.0905961222593 -76.9614352156243|   5.295 -2.196   |10.13    |~               |    ~     ~    
313 |CD-31 750                                                             |Star                           |01 48 57.7665646752 -30 36 17.593026984|231.7715466862065 -76.9456815366456|    8.214 1.134   |10.429   |~               |    ~     ~    
314 |CD-31 758                                                             |Star                           |01 49 30.6041898912 -30 35 36.883691736|231.6169636553060 -76.8326847732668| 28.473 -15.774   |10.787   |F0              |    ~     ~    
315 |CD-28 555                                                             |Star                           |01 46 32.7328022712 -28 12 05.498302284|221.1450897400853 -77.7576442126169|   8.285 -1.790   |9.80     |~               |    ~     ~    
316 |CD-28 556                                                             |Star                           |01 46 36.0158717016 -28 11 04.865948916|221.0640016706433 -77.7461073877159|   7.739 -1.496   |10.320   |~               |    ~     ~    
317 |CD-28 581                                                             |Star                           |01 51 40.7376135768 -28 01 09.817209732|220.2305695977180 -76.6291488878041|  -0.198 -2.575   |9.08     |~               |    ~     ~    
318 |HD 10786                                                              |Star                           |01 45 04.3008353976 -28 32 30.775373160|222.8417078159665 -78.0654364835894|   1.813 -7.053   |8.10     |G8/K0III        |    ~     ~    
319 |CD-29 571                                                             |Spectroscopic Binary           |01 46 12.5545952496 -29 08 37.374077580|225.6043287641314 -77.7656593591865| -7.706 -39.808   |10.273   |~               |    ~     ~    
320 |HD 10988                                                              |High Proper Motion Star        |01 47 22.8959548344 -28 47 42.757825812|223.8710243294794 -77.5423282245530| -9.998 -57.715   |9.41     |F6V             |    ~     ~    
321 |HD 10987                                                              |Star                           |01 47 26.6383719336 -28 41 03.828410772|223.3542263843422 -77.5366118024023|  0.465 -12.427   |8.39     |K1IIICNII       |    ~     ~    
322 |HD 11000                                                              |Spectroscopic Binary           |01 47 31.8262260672 -28 54 47.714091084|224.4034549685624 -77.5003636191979|  23.431 39.372   |9.909    |F5V             |    ~     ~    
323 |HD 11108                                                              |Star                           |01 48 41.7855401472 -29 16 09.825042396|225.9110362459539 -77.2125282635781|   10.926 4.244   |9.37     |K3III           |    ~     ~    
324 |HD 11208                                                              |Star                           |01 49 35.8534956648 -29 16 55.012905912|225.8731688159735 -77.0157996634348|  33.344 -0.586   |10.195   |A8V             |    ~     ~    
325 |CD-29 601                                                             |Star                           |01 49 53.4844523304 -29 06 29.222407224|225.0766180236818 -76.9690417124075|   12.857 2.229   |9.80     |~               |    ~     ~    
326 |HD 11249                                                              |Star                           |01 49 57.5478619824 -29 02 27.198057264|224.7739183166686 -76.9602502696129| 19.382 -16.841   |7.20     |K5III           |    ~     ~    
327 |HD 11304                                                              |Star                           |01 50 33.0550224048 -28 39 10.673169984|223.0250927850084 -76.8582806215328|   22.793 3.364   |8.82     |K0III           |    ~     ~    
328 |CD-29 611                                                             |Star                           |01 50 59.4618023280 -29 13 47.741868336|225.5107188666966 -76.7186470006865|  22.554 -3.932   |10.43    |~               |    ~     ~    
329 |HD 11370                                                              |Pulsating Variable             |01 51 14.4870881712 -28 34 49.363193820|222.6740384549382 -76.7106531450713|  19.869 -6.656   |9.59     |A2/3IV          |    ~     ~    
330 |CD-29 617                                                             |Star                           |01 51 35.1157561944 -28 36 09.684246888|222.7550427738242 -76.6342004294253| -12.157 -8.669   |9.55     |~               |    ~     ~    
331 |HD 11411                                                              |Star                           |01 51 40.6252077168 -28 48 52.145570268|223.6638949654521 -76.6022766749206|   23.347 7.339   |9.80     |G6/8V           |    ~     ~    
332 |CD-29 620                                                             |Star                           |01 52 04.7961357936 -29 01 36.431586516|224.5477229119609 -76.4993783925361|   -8.289 4.052   |9.850    |~               |    ~     ~    
333 |CD-29 623                                                             |Spectroscopic Binary           |01 52 15.0547937592 -28 34 13.564931196|222.5874171118132 -76.4897158340562|   15.431 4.735   |9.63     |~               |    ~     ~    
334 |CD-30 607                                                             |High Proper Motion Star        |01 46 32.3146804944 -29 35 43.704529296|227.6666635861490 -77.6380038185822|-93.784 -238.083  |10.14    |G2              |    ~     ~    
335 |HD 11021                                                              |High Proper Motion Star        |01 47 40.5628066272 -29 43 23.367020700|228.0858319398237 -77.3750493516033| 42.895 -60.771   |8.82     |B8V             |    ~     ~    
336 |CD-30 633                                                             |Star                           |01 51 06.9024774360 -29 42 29.661504984|227.5599965943695 -76.6376243306501|  6.788 -26.010   |10.05    |G2              |    ~     ~    
337 |HD 10932                                                              |Star                           |01 46 47.6783107296 -30 11 37.513592988|230.3643220211482 -77.4848232907841|  30.282 15.274   |9.64     |G1V             |    ~     ~    
338 |HD 10978                                                              |High Proper Motion Star        |01 47 18.6802579824 -30 02 05.523666468|229.5530590860010 -77.4034118836497| 82.839 -11.143   |10.10    |G1V             |    ~     ~    
339 |CD-30 617                                                             |Star                           |01 47 51.7634419008 -30 02 15.699236748|229.4727131392075 -77.2853484803015|  14.377 -9.259   |10.160   |~               |    ~     ~    
340 |CD-30 637                                                             |Star                           |01 51 46.2231351720 -30 19 33.081615408|230.0876140518846 -76.4040922370100|  1.924 -13.471   |9.76     |K               |    ~     ~    
341 |CD-31 730                                                             |Star                           |01 46 05.8861684560 -30 38 02.006180088|232.4993303728412 -77.5413920440977|  24.490 -8.142   |10.59    |~               |    ~     ~    
342 |CD-31 751                                                             |Star                           |01 49 04.9259296272 -30 30 46.995261876|231.3504950882413 -76.9390720182977|-14.087 -40.579   |9.93     |F8              |    ~     ~    
343 |CD-29 565                                                             |High Proper Motion Star        |01 45 00.8304688368 -29 01 21.335657772|225.1608891073775 -78.0381362777366|-28.806 -51.554   |10.900   |~               |    ~     ~    
344 |CD-30 623                                                             |Star                           |01 48 46.7084018928 -29 39 42.962897772|227.6569641254218 -77.1467368647794| 10.607 -23.082   |10.816   |~               |    ~     ~    
345 |CD-29 593                                                             |Spectroscopic Binary           |01 49 07.3854939120 -28 35 05.062437780|222.7978880374290 -77.1748791205424|-28.219 -22.886   |10.90    |~               |    ~     ~    
346 |CD-29 596                                                             |High Proper Motion Star        |01 49 16.8655014720 -29 12 34.464498948|225.5836068002770 -77.0919254291570|  58.519 28.958   |10.644   |~               |    ~     ~    
347 |CD-29 597                                                             |Star                           |01 49 24.6311751552 -28 25 33.746181132|222.0717627979616 -77.1193565649262|  23.413 15.382   |10.618   |~               |    ~     ~    
348 |CD-29 612                                                             |Star                           |01 51 12.7804137912 -29 00 32.247134856|224.5350987589556 -76.6897180691276| -9.213 -11.149   |10.67    |~               |    ~     ~    
349 |CD-28 583                                                             |Eclipsing Binary               |01 52 00.0399803496 -28 00 31.744794096|220.1836005501433 -76.5581933056708|  56.035 58.449   |9.831    |~               |    ~     ~    
350 |CD-28 570                                                             |Rotating Variable              |01 49 07.3911255720 -28 21 08.977912380|221.7522536643796 -77.1853506707817|  -41.602 3.756   |10.99    |K4Ve            |    ~     ~    
351 |CD-29 575                                                             |High Proper Motion Star        |01 46 35.1299806176 -28 41 28.746478752|223.4468474838853 -77.7239647917049|  96.399 67.910   |10.832   |~               |    ~     ~    
352 |CD-30 625                                                             |Star                           |01 49 17.8070159952 -29 44 28.736383236|227.9387533016118 -77.0242484473485|   14.909 5.683   |10.826   |~               |    ~     ~    
353 |CD-28 578                                                             |Star                           |01 50 44.2783264584 -28 12 54.957800016|221.0961045436215 -76.8339805047941|  21.046 15.705   |10.08    |~               |    ~     ~    
354 |CD-28 579                                                             |Star                           |01 50 56.5824828264 -28 06 08.458345440|220.5977980271973 -76.7907464792478|   21.299 9.699   |10.27    |~               |    ~     ~    
