C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
263 |TYC 4169-160-1                                                                                           |Star                           |13 13 34.4252299152 +65 22 26.186429856|119.2231114107899 +51.5946128695841| 13.936 -15.113  |9.89     |~                 |    ~     ~    
264 |TYC 4169-171-1                                                                                           |Star                           |13 04 38.4028011600 +65 03 05.676661080|120.6703825613332 +52.0186646613823|   -9.694 1.267  |10.84    |~                 |    ~     ~    
265 |TYC 4169-216-1                                                                                           |Spectroscopic Binary           |13 11 58.5620446752 +65 56 43.853200404|119.6053411843179 +51.0498754720459|  10.263 12.177  |10.70    |~                 |    ~     ~    
266 |TYC 4169-237-1                                                                                           |Star                           |13 04 34.6006873152 +65 08 15.984689676|120.6927875804501 +51.9333189000647|-42.865 -13.592  |10.63    |~                 |    ~     ~    
267 |TYC 4169-238-1                                                                                           |Star                           |13 08 52.6730544504 +65 31 00.391916568|120.0300722268074 +51.5131015669652| -17.326 -6.009  |10.79    |~                 |    ~     ~    
268 |TYC 4169-274-1                                                                                           |High Proper Motion Star        |13 12 11.837376 +66 09 02.77812        |119.611394535 +50.843429090        |    -28.9 -79.8  |9.800    |~                 |    ~     ~    
269 |TYC 4169-281-1                                                                                           |Star                           |13 13 18.1875741096 +65 46 32.774644488|119.3555912223711 +51.2003817551585|-11.753 -11.443  |9.80     |~                 |    ~     ~    
270 |TYC 4169-295-1                                                                                           |Star                           |13 02 39.5333118168 +65 37 58.522364220|121.0749631224578 +51.4548525060675| -35.268 -1.421  |10.84    |~                 |    ~     ~    
271 |TYC 4169-335-1                                                                                           |High Proper Motion Star        |13 07 32.8929349728 +66 16 33.237174828|120.3708612249791 +50.7721664624210| 51.388 -10.129  |10.97    |~                 |    ~     ~    
272 |TYC 4169-354-1                                                                                           |Red Giant Branch star Candidate|13 02 18.1627242024 +65 38 05.518198680|121.1339931232820 +51.4554410128419| 10.042 -15.637  |9.83     |~                 |    ~     ~    
273 |TYC 4169-361-1                                                                                           |Star                           |13 08 55.8161096448 +65 40 18.433218720|120.0484717824558 +51.3584203643797|   5.144 -4.011  |10.38    |~                 |    ~     ~    
274 |TYC 4169-376-1                                                                                           |High Proper Motion Star        |13 00 35.3681109120 +65 48 07.413595956|121.4322964422150 +51.2995377212706| 56.117 -36.363  |10.42    |~                 |    ~     ~    
275 |TYC 4169-383-1                                                                                           |Star                           |13 05 05.3282461200 +65 42 41.325155964|120.6847307695811 +51.3571695276269|   -4.252 1.199  |10.65    |~                 |    ~     ~    
276 |TYC 4169-498-1                                                                                           |High Proper Motion Star        |13 05 27.4303370712 +65 23 39.835415688|120.5797560533020 +51.6697790680304|  10.918 50.344  |10.78    |~                 |    ~     ~    
277 |HD 114216                                                                                                |Star                           |13 07 53.3644092216 +62 58 59.282516568|119.7511903448046 +54.0433999009805| -36.850 11.149  |8.50     |G0                |    ~     ~    
278 |HD 114253                                                                                                |Star                           |13 08 07.4161610160 +62 41 24.711624744|119.6507831066146 +54.3316262518208| 24.631 -27.354  |7.56     |K0                |    ~     ~    
279 |HD 114324                                                                                                |Star                           |13 08 38.1802139448 +63 09 52.358515308|119.6425817494248 +53.8537303313375|    5.318 1.900  |9.30     |G5                |    ~     ~    
280 |HD 113662                                                                                                |High Proper Motion Star        |13 04 08.1131725584 +61 45 27.613195056|120.2933845703548 +55.3054850466965| -55.143 -5.694  |8.13     |F2                |    ~     ~    
281 |HD 113861                                                                                                |Star                           |13 05 26.8669263720 +62 04 27.367029840|120.0744427820868 +54.9761863151521| -3.487 -14.439  |8.62     |A2                |    ~     ~    
282 |HD 113994                                                                                                |Star                           |13 06 22.8825383256 +62 02 30.725373948|119.8792193768980 +54.9977224630318| 16.436 -43.605  |6.154    |G7III             |    ~     ~    
283 |HD 114504                                                                                                |Star                           |13 09 50.1748588728 +62 13 44.839853544|119.2185160909139 +54.7662788769147| -28.615 -8.193  |6.520    |A1V               |    ~     ~    
284 |HD 114776                                                                                                |Star                           |13 11 23.1135863064 +63 08 46.228679232|119.1167214850430 +53.8340662316659|-17.823 -11.625  |7.50     |F5                |    ~     ~    
285 |BD+62 1280                                                                                               |High Proper Motion Star        |13 09 58.5032212800 +61 46 42.606328800|119.0922721389018 +55.2113384994103|-50.783 -46.001  |9.57     |K0                |    ~     ~    
286 |BD+62 1281                                                                                               |Star                           |13 10 55.4849013264 +61 44 41.203022172|118.8893465974830 +55.2302555386085|   4.571 16.393  |9.72     |F8                |    ~     ~    
287 |BD+62 1278                                                                                               |High Proper Motion Star        |13 08 53.0189875368 +61 16 32.340857448|119.2107954536320 +55.7263778511414|-52.045 -75.562  |9.58     |K0                |    ~     ~    
288 |BD+62 1279                                                                                               |High Proper Motion Star        |13 09 11.5176967920 +61 15 19.079117028|119.1410840304239 +55.7420844446643|-52.266 -10.841  |9.87     |F2                |    ~     ~    
289 |BD+61 1342                                                                                               |Star                           |13 13 07.1421937272 +61 00 45.896762844|118.2462612979835 +55.9178181952261|  -30.913 0.709  |10.07    |G5                |    ~     ~    
290 |HD 115228                                                                                                |Star                           |13 14 33.7708532712 +60 44 54.771959472|117.8621596735082 +56.1514947459970|  -20.454 8.809  |8.82     |G5                |    ~     ~    
291 |TOI-1268                                                                                                 |High Proper Motion Star        |13 13 33.4088467200 +62 18 19.605632688|118.4944046389071 +54.6318209632783|-66.970 -15.352  |10.92    |~                 |    ~     ~    
292 |TYC 4163-64-1                                                                                            |Star                           |13 12 51.3039 +62 14 08.480            |118.6164519 +54.7127460            |     -5.4 -25.6  |10.69    |~                 |    ~     ~    
293 |TYC 4163-397-1                                                                                           |Star                           |13 07 12.3344615064 +61 27 18.180346716|119.6010647884635 +55.5711114043101| -30.632 -7.293  |10.85    |~                 |    ~     ~    
294 |TYC 4163-434-1                                                                                           |Star                           |13 09 33.1209334368 +61 13 13.775613240|119.0570560500035 +55.7712688370111|    4.133 1.983  |10.99    |~                 |    ~     ~    
295 |TYC 4163-465-1                                                                                           |High Proper Motion Star        |13 05 34.8654975456 +61 34 34.834324800|119.9633646912339 +55.4703156069100| 56.983 -38.856  |10.95    |~                 |    ~     ~    
296 |TYC 4163-663-1                                                                                           |Red Giant Branch star Candidate|13 14 07.1101338168 +61 26 26.688553656|118.1512297805021 +55.4764811359570|  -10.800 4.904  |10.70    |~                 |    ~     ~    
297 |TYC 4163-681-1                                                                                           |Star                           |13 11 49.0663868040 +61 22 11.358080004|118.6138429309392 +55.5872370883308|-21.597 -19.256  |10.85    |~                 |    ~     ~    
298 |TYC 4163-746-1                                                                                           |Star                           |13 12 04.5656953368 +60 41 21.716099628|118.3861781712114 +56.2563612582766|    6.360 6.335  |10.88    |~                 |    ~     ~    
299 |TYC 4163-931-1                                                                                           |Star                           |13 07 47.3095172376 +61 51 02.129791500|119.5563537190414 +55.1703681201863|-23.323 -14.076  |10.59    |~                 |    ~     ~    
300 |TYC 4163-953-1                                                                                           |Star                           |13 12 09.0395483880 +61 24 52.611305796|118.5552435032208 +55.5372768940492|   1.921 -8.701  |10.40    |~                 |    ~     ~    
301 |TYC 4166-299-1                                                                                           |Star                           |13 09 50.7633875064 +62 31 01.451540928|119.2778962310690 +54.4803884603655|   3.254 -6.744  |10.48    |~                 |    ~     ~    
302 |TYC 4166-395-1                                                                                           |Star                           |13 07 17.6413430496 +62 42 08.311119696|119.8152229034492 +54.3298864798216|  2.724 -20.635  |10.54    |~                 |    ~     ~    
303 |BD+64 928                                                                                                |High Proper Motion Star        |13 04 52.8851091096 +63 45 13.646778012|120.4450431627672 +53.3094998283774|-65.168 -123.031 |10.73    |G                 |    ~     ~    
304 |HD 114426                                                                                                |High Proper Motion Star        |13 09 09.8732532240 +63 29 51.443240748|119.6074921362084 +53.5160578503246| -68.369 -5.780  |8.77     |F5                |    ~     ~    
305 |BD+64 930                                                                                                |Star                           |13 07 41.0800896912 +63 18 00.125241372|119.8480715855000 +53.7308291093671|  3.352 -15.259  |8.95     |K0                |    ~     ~    
306 |BD+63 1044                                                                                               |Star                           |13 03 49.2777330096 +62 38 55.605283080|120.4877280433171 +54.4206656541650| -35.171 11.769  |9.87     |G5                |    ~     ~    
307 |BD+63 1046                                                                                               |High Proper Motion Star        |13 04 26.4931322976 +62 43 35.509061784|120.3772962657904 +54.3371748144063| -57.153 -1.509  |9.74     |F8                |    ~     ~    
308 |BD+63 1047                                                                                               |Star                           |13 04 40.8103738608 +62 25 44.444599176|120.2852813726408 +54.6311380875180| -13.466 -5.414  |9.78     |F8                |    ~     ~    
309 |HD 113809                                                                                                |Star                           |13 05 03.9656655646 +62 46 23.807147159|120.2623331766473 +54.2842761059133|-10.409 -19.241  |8.68     |G0                |    ~     ~    
310 |BD+63 1050                                                                                               |Star                           |13 05 23.0610842208 +63 04 02.732913552|120.2466226089661 +53.9880514832002| -14.312 -7.975  |10.02    |F0                |    ~     ~    
311 |BD+62 1272                                                                                               |Star                           |13 01 44.9649697296 +61 24 50.453285508|120.7449708119744 +55.6704305264983|  15.415 -4.370  |10.17    |K0                |    ~     ~    
312 |TYC 4163-215-1                                                                                           |High Proper Motion Star        |13 00 30.2951410296 +61 35 08.636625024|121.0273174073196 +55.5089769448725|-69.293 -59.433  |10.52    |~                 |    ~     ~    
313 |TYC 4163-258-1                                                                                           |Star                           |13 00 02.9138302416 +61 07 56.204936004|121.0751825091467 +55.9649198965225| 27.381 -28.977  |10.84    |~                 |    ~     ~    
314 |TYC 4163-314-1                                                                                           |Star                           |13 01 27.5145231696 +61 05 53.785037616|120.7675732398232 +55.9878481031099| -44.532 -9.056  |10.69    |~                 |    ~     ~    
315 |TYC 4163-1162-1                                                                                          |High Proper Motion Star        |13 02 36.6810157200 +61 50 19.944274920|120.6199631586951 +55.2391931302561|-48.633 -30.641  |10.74    |~                 |    ~     ~    
316 |TYC 4166-161-1                                                                                           |Red Giant Branch star Candidate|13 04 16.5030895632 +63 11 43.460577204|120.4778562556773 +53.8716362769092|  9.764 -14.846  |9.77     |~                 |    ~     ~    
317 |TYC 4166-237-1                                                                                           |Star                           |13 05 16.1014292784 +62 44 09.836183148|120.2170036681625 +54.3192209455743| -1.223 -43.846  |10.55    |~                 |    ~     ~    
318 |TYC 4166-273-1                                                                                           |Star                           |13 06 40.3842933696 +63 14 35.155062060|120.0295176953790 +53.7992135396894|   -0.268 4.518  |10.22    |~                 |    ~     ~    
319 |TYC 4166-367-1                                                                                           |Star                           |13 01 14.0921787168 +62 33 47.857659264|120.9874237680070 +54.5279544436246| -26.389 19.882  |10.54    |~                 |    ~     ~    
320 |AG+60 846                                                                                                |Long-Period Variable Candidate |13 02 08.9455308096 +60 26 13.122800268|120.5294365365549 +56.6412807671701|    0.819 1.170  |8.86     |M0                |    ~     ~    
321 |HD 113810                                                                                                |Star                           |13 05 15.1109110728 +60 51 37.866876624|119.9105004104529 +56.1866208499960| -18.481 24.329  |8.29     |K0/1              |    ~     ~    
322 |BD+61 1336                                                                                               |High Proper Motion Star        |13 05 15.8096749056 +60 50 02.660361180|119.9033793648741 +56.2128071632890|  -65.409 6.255  |9.92     |~                 |    ~     ~    
323 |BD+61 1340                                                                                               |High Proper Motion Star        |13 11 12.4449747888 +60 40 52.034216556|118.5736421391533 +56.2795269042395|  -50.496 7.841  |10.19    |G5                |    ~     ~    
324 |BD+61 1337                                                                                               |Star                           |13 06 04.2960364344 +60 33 49.385923992|119.6772630213644 +56.4719630251275|   14.630 9.302  |10.00    |K0                |    ~     ~    
325 |BD+61 1341                                                                                               |Spectroscopic Binary           |13 13 00.9164634168 +60 18 37.623963888|118.0778851736380 +56.6139801618280| 12.866 -49.075  |10.32    |F8                |    ~     ~    
326 |BD+60 1441                                                                                               |Star                           |13 05 30.5904774000 +59 51 05.516426592|119.6716314904388 +57.1875521506933| -24.720 -4.658  |10.58    |G0                |    ~     ~    
327 |HD 114057                                                                                                |Star                           |13 06 51.5818977624 +60 09 17.534038392|119.4219406497839 +56.8681577084735| -3.498 -17.431  |8.25     |G5                |    ~     ~    
328 |BD+60 1446                                                                                               |Star                           |13 07 24.4851764112 +59 56 14.840924172|119.2525596606433 +57.0765611627981| -2.935 -19.718  |10.25    |K0                |    ~     ~    
329 |BD+60 1452                                                                                               |Star                           |13 11 51.0626786112 +60 01 44.145389316|118.2628186013995 +56.9138836353192| 15.287 -17.910  |9.70     |K0                |    ~     ~    
330 |BD+60 1453                                                                                               |High Proper Motion Star        |13 13 13.3259788920 +59 57 47.613707604|117.9341660769975 +56.9531406839545|-83.348 -50.564  |9.34     |K0                |    ~     ~    
331 |HD 113392                                                                                                |Star                           |13 02 24.1005926904 +59 14 45.734355492|120.2998654372971 +57.8261496750345| -12.596 31.296  |7.81     |F6Vw              |    ~     ~    
332 |HD 113436                                                                                                |Star                           |13 02 40.4211990864 +59 42 58.701718980|120.3061768314208 +57.3546269366469| -28.939 -9.508  |6.507    |A3Vn              |    ~     ~    
333 |BD+60 1442                                                                                               |Star                           |13 06 29.2194381744 +59 14 57.136991784|119.3248111954728 +57.7735250533978|   8.809 -2.638  |9.40     |K0                |    ~     ~    
334 |BD+60 1444                                                                                               |Star                           |13 06 31.1107971288 +59 24 57.533535288|119.3514635644031 +57.6073091398045|   5.587 16.361  |10.10    |F8                |    ~     ~    
335 |BD+60 1448                                                                                               |Star                           |13 09 42.3337557816 +59 30 08.103327516|118.6219658068808 +57.4728718331743|-28.483 -16.225  |10.32    |F5                |    ~     ~    
336 |HD 115215                                                                                                |Star                           |13 14 29.1660500616 +59 37 10.645726440|117.5438620296059 +57.2668621280865|    5.642 7.752  |8.32     |F5                |    ~     ~    
337 |BD+59 1478                                                                                               |Star                           |13 01 05.9192729568 +58 59 53.946469320|120.5788433368411 +58.0857738340468|  13.253 -7.918  |9.67     |G5                |    ~     ~    
338 |HD 238187                                                                                                |Star                           |13 03 47.0926455192 +58 42 17.373509136|119.8762743315166 +58.3501126223327|  -12.891 3.631  |10.77    |F5                |    ~     ~    
339 |HD 113710                                                                                                |High Proper Motion Star        |13 04 32.9471571768 +58 52 52.327634916|119.7204203046570 +58.1652200507010| -31.950 53.653  |9.41     |G0                |    ~     ~    
340 |BD+59 1483                                                                                               |Star                           |13 05 28.0751495184 +58 29 00.028371948|119.4178374561809 +58.5490815635068|  30.641 17.950  |10.41    |F8                |    ~     ~    
341 |HD 113890                                                                                                |Star                           |13 05 44.0103872256 +58 48 02.320402752|119.4157609427185 +58.2299044528137| -27.175 -5.285  |8.88     |G5                |    ~     ~    
342 |HD 238190                                                                                                |Star                           |13 06 22.4183086032 +59 09 28.856983248|119.3331867117182 +57.8657531393453|  18.520 31.364  |9.67     |G5                |    ~     ~    
343 |HD 114107                                                                                                |High Proper Motion Star        |13 07 29.9881332456 +59 08 55.563715320|119.0615903739320 +57.8586214765642| -59.994 31.369  |8.70     |G8III-IV          |    ~     ~    
344 |HD 238198                                                                                                |High Proper Motion Star        |13 09 31.3533594240 +58 33 59.486134968|118.4317473000636 +58.4034335646617|  -93.908 6.548  |9.81     |K0                |    ~     ~    
345 |HD 238200                                                                                                |High Proper Motion Star        |13 10 24.3898841640 +58 47 03.215473116|118.2718572253814 +58.1720689358363|-106.860 14.257  |9.70     |F8                |    ~     ~    
346 |HD 114913                                                                                                |High Proper Motion Star        |13 12 37.5065924304 +58 26 56.889613896|117.6333909840288 +58.4606204079398| -59.566 29.661  |8.660    |F7V               |    ~     ~    
347 |HIP 64454                                                                                                |High Proper Motion Star        |13 12 40.1360600664 +58 26 41.127339552|117.6212502273460 +58.4640428859197| -63.120 29.722  |10.33    |~                 |    ~     ~    
348 |BD+59 1495                                                                                               |Star                           |13 14 13.5172901555 +59 02 49.612339649|117.4282854600652 +57.8369741203312| -4.108 -11.585  |10.58    |G5                |    ~     ~    
349 |HD 114535                                                                                                |Star                           |13 10 06.7877957856 +58 02 41.966361276|118.1465788113189 +58.9094093497184|   4.538 -1.746  |7.63     |K1II-III          |    ~     ~    
350 |HD 238205                                                                                                |Star                           |13 12 52.0128695640 +57 50 40.006590468|117.3869309980457 +59.0525048877353| -2.409 -19.357  |10.50    |K0                |    ~     ~    
351 |V* IO UMa                                                                                                |Eclipsing Binary               |13 14 54.4492777536 +59 17 44.417444820|117.3450866660497 +57.5772744777804| -47.541 25.280  |8.21     |A3                |    ~     ~    
352 |TYC 3848-914-1                                                                                           |High Proper Motion Star        |13 00 45.6114595272 +58 25 31.700415108|120.5856812594741 +58.6602917234263|-12.022 -49.620  |10.85    |~                 |    ~     ~    
353 |TYC 3848-987-1                                                                                           |Spectroscopic Binary           |13 01 05.4970693584 +59 23 35.197813536|120.6329181269800 +57.6920285242746|-53.956 -28.149  |10.20    |~                 |    ~     ~    
354 |TYC 3848-1049-1                                                                                          |Star                           |13 00 13.6724787744 +59 19 31.926105804|120.8300897198488 +57.7668310632440|  -26.899 0.876  |10.31    |~                 |    ~     ~    
355 |TYC 3849-63-1                                                                                            |Star                           |13 10 45.6454418352 +59 30 15.719099544|118.3758879264863 +57.4526290061509|  21.089 -9.820  |10.53    |~                 |    ~     ~    
356 |TYC 3849-83-1                                                                                            |Star                           |13 07 25.5300691512 +59 44 18.627577584|119.2065721101337 +57.2739534777981|   4.145 -3.609  |10.32    |~                 |    ~     ~    
357 |TYC 3849-145-1                                                                                           |Spectroscopic Binary           |13 11 54.1267672920 +59 25 49.225267848|118.0892791997399 +57.5050839817359| -36.680 16.280  |10.69    |~                 |    ~     ~    
358 |TYC 3849-329-1                                                                                           |Star                           |13 12 15.8677084296 +58 54 25.337489508|117.8559927651538 +58.0154893785933|  -27.186 4.263  |9.72     |~                 |    ~     ~    
359 |TYC 3849-355-1                                                                                           |Star                           |13 06 26.4677903040 +59 52 16.757649768|119.4609706998052 +57.1557054925335| -15.192 30.929  |10.24    |~                 |    ~     ~    
360 |TYC 3849-357-1                                                                                           |Star                           |13 06 51.2401674336 +58 55 40.717468344|119.1692290859896 +58.0875079120373|  4.071 -10.078  |10.97    |~                 |    ~     ~    
361 |TYC 3849-374-1                                                                                           |Star                           |13 13 21.8409449928 +59 41 15.257904252|117.8226226853986 +57.2226405251924|-37.207 -27.910  |10.91    |~                 |    ~     ~    
362 |TYC 3849-472-1                                                                                           |Star                           |13 05 25.8844495008 +59 40 31.673855424|119.6569943155918 +57.3637185774844|  -11.621 2.655  |10.63    |~                 |    ~     ~    
363 |TYC 3849-499-1                                                                                           |Star                           |13 13 36.9083544912 +58 41 10.806438840|117.4630544274902 +58.2058134484024| -12.719 15.255  |10.28    |~                 |    ~     ~    
364 |TYC 3849-524-1                                                                                           |High Proper Motion Star        |13 11 49.1078288904 +58 14 11.613529572|117.7709205230779 +58.6870021205425| -50.298 69.881  |10.18    |~                 |    ~     ~    
365 |TYC 3849-629-1                                                                                           |High Proper Motion Star        |13 08 18.3338645496 +58 25 14.824351056|118.6971972603038 +58.5685637848492| -63.483 47.305  |10.24    |~                 |    ~     ~    
366 |TYC 3849-695-1                                                                                           |High Proper Motion Star        |13 11 14.0540611536 +58 30 49.908918672|117.9954765206794 +58.4242467251618| -71.302 40.112  |10.94    |~                 |    ~     ~    
367 |TYC 4163-412-1                                                                                           |Star                           |13 12 00.2504812200 +60 25 19.471701900|118.3322823373378 +56.5221282080567| 28.712 -15.188  |10.51    |~                 |    ~     ~    
368 |TYC 4163-587-1                                                                                           |High Proper Motion Star        |13 04 25.6711769328 +60 21 50.188236444|120.0080432832896 +56.6905051184328| -54.510 36.421  |10.81    |~                 |    ~     ~    
369 |TYC 4163-775-1                                                                                           |Star                           |13 02 09.9873930024 +60 29 17.298313260|120.5325896666942 +56.5901055621487| -15.216 23.867  |10.63    |~                 |    ~     ~    
370 |GSC 04163-01003                                                                                          |Double or Multiple Star        |13 12 12.1092905400 +60 29 22.488900540|118.3063671675019 +56.4518018403940|  2.970 -13.992  |10.872   |~                 |    ~     ~    
371 |TYC 4163-1029-1                                                                                          |Star                           |13 10 45.5002967616 +60 02 36.869975412|118.5140528600770 +56.9186438260307| 24.252 -19.007  |10.86    |~                 |    ~     ~    
372 |TYC 4163-1066-1                                                                                          |Spectroscopic Binary           |13 12 36.0491600256 +60 03 25.032192120|118.1009025940066 +56.8723518279192| -33.987 -4.175  |10.60    |~                 |    ~     ~    
373 |TYC 4163-1079-1                                                                                          |Star                           |13 04 29.8688930712 +60 30 41.910213996|120.0170885005779 +56.5426364434740| -16.422 -2.033  |10.49    |~                 |    ~     ~    
374 |BD+61 1331                                                                                               |Star                           |13 00 25.4636437080 +60 54 17.585136324|120.9688192885939 +56.1891011591032| 29.008 -19.194  |9.96     |F8                |    ~     ~    
375 |HD 238203                                                                                                |Star                           |13 11 09.1012861800 +56 37 01.458363612|117.4568685754138 +60.3011243240666| -45.055 17.754  |9.48     |F2                |    ~     ~    
376 |HD 114574                                                                                                |High Proper Motion Star        |13 10 25.3512629592 +55 57 39.344684904|117.4560010728146 +60.9650204655462|-45.684 -20.372  |9.24     |G5                |    ~     ~    
377 |BD+56 1643                                                                                               |Star                           |13 08 46.1934276888 +55 36 41.800145832|117.8266773945584 +61.3445079783235| -37.506 13.308  |10.55    |G5                |    ~     ~    
378 |HD 115019                                                                                                |Star                           |13 13 28.4074108320 +56 40 51.191985720|116.8434902497572 +60.1861189650761|  7.507 -13.223  |7.98     |K2II              |    ~     ~    
379 |HD 238206                                                                                                |Variable Star                  |13 14 00.7661471616 +56 49 47.266855248|116.7492766539598 +60.0266426719909|  -19.144 2.157  |8.42     |M0                |    ~     ~    
380 |HD 238207                                                                                                |Star                           |13 14 17.0210384184 +56 52 52.624726536|116.6945078607289 +59.9694383835170|    0.472 6.021  |9.98     |F5                |    ~     ~    
381 |HD 238208                                                                                                |High Proper Motion Star        |13 14 46.7459002968 +57 01 04.204927884|116.6105927061246 +59.8230245846427| 80.983 -37.545  |9.68     |K2V               |    ~     ~    
382 |HD 114777                                                                                                |Star                           |13 11 40.1373170760 +55 55 35.690496348|117.0897697993729 +60.9715977200020| 25.973 -28.904  |9.11     |K2                |    ~     ~    
383 |HD 115044                                                                                                |Star                           |13 13 38.0404603392 +54 51 15.433537032|116.1269701096511 +61.9797305345075| 32.800 -15.271  |9.37     |G5                |    ~     ~    
384 |HD 115043                                                                                                |High Proper Motion Star        |13 13 37.0081725552 +56 42 29.759356008|116.8140070685813 +60.1557577739636|111.550 -18.528  |6.813    |G1Va              |    ~     ~    
385 |TYC 3846-101-1                                                                                           |Star                           |13 07 37.6254956136 +55 25 20.385196500|118.1080893721323 +61.5540361273593| -10.454 -2.298  |10.24    |~                 |    ~     ~    
386 |TYC 3846-359-1                                                                                           |Spectroscopic Binary           |13 08 18.8196565200 +55 39 12.268857456|117.9716307358762 +61.3120177366825|-95.450 -31.794  |10.09    |~                 |    ~     ~    
387 |TYC 3846-951-1                                                                                           |Star                           |13 13 01.9450744872 +57 04 09.655558860|117.0937041229790 +59.8134505356430|   6.221 -0.925  |10.95    |~                 |    ~     ~    
388 |TYC 3846-1140-1                                                                                          |Star                           |13 11 41.0451915912 +56 47 05.933413824|117.3642973909519 +60.1238719690498|   8.443 -7.714  |10.66    |~                 |    ~     ~    
389 |TYC 3849-832-1                                                                                           |Spectroscopic Binary           |13 13 36.0574391832 +57 40 39.616531392|117.1452235507770 +59.2008780000383|  12.483 -5.460  |10.43    |~                 |    ~     ~    
390 |HD 238196                                                                                                |Star                           |13 09 19.3229686824 +57 42 52.702853256|118.2605496929392 +59.2511100185844| -28.442 30.888  |9.99     |F5                |    ~     ~    
391 |HD 113264                                                                                                |Star                           |13 01 40.9643712624 +57 37 42.791499012|120.2343051951040 +59.4460067002435|  -10.310 7.988  |8.45     |A3                |    ~     ~    
392 |HD 113491                                                                                                |Star                           |13 03 16.7042606352 +57 18 54.870150060|119.7595829256117 +59.7400194872458| -17.177 -8.243  |9.10     |G                 |    ~     ~    
393 |HD 238189                                                                                                |Star                           |13 05 41.8016108448 +57 14 59.812628316|119.1010752691013 +59.7721209475567|   8.634 -3.358  |10.39    |G5                |    ~     ~    
394 |HD 238191                                                                                                |Star                           |13 06 30.5029715016 +57 43 41.105273412|118.9931603134733 +59.2847665165847| 41.167 -26.483  |10.21    |F8                |    ~     ~    
395 |HD 238193                                                                                                |Star                           |13 07 44.4987781008 +57 39 26.569409904|118.6560884547859 +59.3353132731454|-13.501 -14.702  |10.39    |F5                |    ~     ~    
396 |HD 238194                                                                                                |Star                           |13 08 13.5614803512 +57 37 57.550640736|118.5238972427852 +59.3516846548620|   0.501 -7.666  |9.21     |K5                |    ~     ~    
397 |HD 238199                                                                                                |Star                           |13 09 53.4750742896 +57 38 00.908197404|118.0910938072832 +59.3208880632139|  13.990 19.607  |10.38    |F8                |    ~     ~    
398 |HD 114505                                                                                                |High Proper Motion Star        |13 09 55.3552171512 +57 34 03.988789896|118.0647954545379 +59.3854558127121|-38.612 -39.252  |9.17     |G                 |    ~     ~    
399 |HD 114573                                                                                                |Spectroscopic Binary           |13 10 21.7165151640 +57 25 33.611335068|117.9100447473823 +59.5173500427571|    7.033 3.933  |8.83     |F5                |    ~     ~    
400 |HD 114633                                                                                                |Star                           |13 10 51.7563605544 +57 33 37.591010100|117.8178405828542 +59.3745170832329| -19.707 28.888  |8.17     |G9III             |    ~     ~    
401 |HD 238204                                                                                                |High Proper Motion Star        |13 11 08.9390641824 +57 30 42.416534988|117.7289508198617 +59.4169039183734|-92.489 -16.838  |10.12    |G5                |    ~     ~    
402 |* 78 UMa                                                                                                 |Double or Multiple Star        |13 00 43.69949 +56 21 58.8102          |120.30182819 +60.71444767          |    107.94 2.05  |4.93     |F2V               |    ~     ~    
403 |* 78 UMa A                                                                                               |High Proper Motion Star        |13 00 43.6778024832 +56 21 58.874452020|120.3019329461963 +60.7144335580330| 140.082 -0.059  |5.02     |~                 |    ~     ~    
404 |* 78 UMa B                                                                                               |Star                           |13 00 43.755864 +56 21 59.33988        |120.301585150 +60.714291341        |            ~ ~  |7.88     |~                 |    ~     ~    
405 |HD 238182                                                                                                |Red Giant Branch star          |13 01 20.5558355016 +57 02 55.230326196|120.2358021152701 +60.0276972686940| 23.790 -24.472  |9.57     |K5                |    ~     ~    
406 |HD 113253                                                                                                |Spectroscopic Binary           |13 01 38.1385763040 +56 56 58.378713828|120.1405179000447 +60.1233979160014|   7.049 -9.545  |7.73     |G9III-IV          |    ~     ~    
407 |HD 113265                                                                                                |Star                           |13 01 43.0034747736 +56 55 55.392983760|120.1155812281294 +60.1399556554857|   0.480 -0.160  |9.15     |A0                |    ~     ~    
408 |HD 238183                                                                                                |High Proper Motion Star        |13 02 02.1572308032 +56 53 43.692715032|120.0223376898700 +60.1728699611985| 43.949 -59.606  |9.95     |F8                |    ~     ~    
409 |HD 238185                                                                                                |Double or Multiple Star        |13 02 38.0223383880 +56 25 11.205923844|119.7741008660870 +60.6397749914489|  22.613 12.635  |9.22     |G5                |    ~     ~    
410 |HD 113405                                                                                                |High Proper Motion Star        |13 02 39.7578759864 +56 21 26.113040568|119.7546207940504 +60.7016979470817|-52.214 -15.119  |8.44     |F8                |    ~     ~    
411 |HD 238188                                                                                                |Star                           |13 04 09.2853 +56 14 38.715            |119.3109596 +60.7946686            |     -0.6 -37.5  |10.01    |G0                |    ~     ~    
412 |AG+57 890                                                                                                |Spectroscopic Binary           |13 06 25.8657983304 +56 59 34.742265828|118.8456735756375 +60.0161550266304| -45.515 20.356  |10.35    |~                 |    ~     ~    
