C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:42:20

Vmag< 11&dec >=0&rah >=13.0&rah< 13.25
--------------------------------------

Number of objects : 2057

 #  |                                               identifier                                                |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|------------------|---------------
34  |BD+82 381                                                                                                |Star                           |13 01 13.2583273824 +81 46 48.087602328|122.5033807934681 +35.3400861771982|  -49.553 9.814  |10.69    |G0                |    ~     ~    
35  |HD 115926                                                                                                |High Proper Motion Star        |13 14 56.2307432160 +82 05 51.871772580|121.9477688894180 +34.9855562232683|-70.245 -41.080  |8.89     |K2:V:             |    ~     ~    
36  |BD+82 382                                                                                                |Spectroscopic Binary           |13 04 29.0299691208 +81 21 56.724701580|122.3289471382771 +35.7472164163489| -7.873 -15.628  |10.04    |F2                |    ~     ~    
37  |BD+82 383                                                                                                |Star                           |13 04 53.4393887856 +81 14 43.414812888|122.3006172583621 +35.8663631738879|   4.570 -9.293  |10.80    |G5                |    ~     ~    
38  |BD+82 384                                                                                                |Star                           |13 05 34.9225286256 +81 27 39.696794856|122.2861992279864 +35.6494847347223|   34.683 6.958  |10.35    |F8                |    ~     ~    
39  |BD+82 385                                                                                                |Star                           |13 08 14.1629782944 +81 26 44.808616860|122.1637932470581 +35.6574043276451|  -19.638 1.679  |10.25    |F8                |    ~     ~    
40  |BD+82 386                                                                                                |High Proper Motion Star        |13 14 15.2312137632 +81 32 36.637896516|121.9027265271665 +35.5390994985674| 20.525 -57.307  |10.33    |K0                |    ~     ~    
41  |TYC 4557-76-1                                                                                            |Star                           |13 09 04.8405780744 +82 23 46.931974080|122.2226686755009 +34.7075710838710| -11.321 11.898  |10.89    |~                 |    ~     ~    
42  |BD+81 415                                                                                                |Star                           |13 11 40.5677420976 +80 45 34.599941424|121.9247183058202 +36.3290287558301|  0.091 -12.465  |10.52    |G5                |    ~     ~    
43  |BD+79 410                                                                                                |Star                           |13 00 28.1152825704 +78 54 27.365759568|122.3792588773860 +38.2109583718626|  -34.052 2.436  |9.32     |F5                |    ~     ~    
44  |BD+81 414                                                                                                |Star                           |13 11 05.3100812208 +80 22 06.293363160|121.9076927919503 +36.7207265527361|  -5.770 -0.979  |9.39     |K2                |    ~     ~    
45  |HD 115337                                                                                                |Star                           |13 12 25.4326921804 +80 28 16.708953797|121.8513620669074 +36.6128733898587|  -6.288 10.446  |6.33     |G8III             |    ~     ~    
46  |BD+81 417                                                                                                |Spectroscopic Binary           |13 13 37.6987713648 +80 37 00.661932696|121.8089998732282 +36.4629695885279| 27.941 -49.080  |10.28    |G5                |    ~     ~    
47  |BD+80 402                                                                                                |Star                           |13 08 05.9447504952 +79 46 32.953267524|122.0029933845791 +37.3223629874829|    4.750 0.015  |9.72     |G5                |    ~     ~    
48  |HD 114974                                                                                                |Double or Multiple Star        |13 10 10.8603107138 +80 01 25.477377903|121.9156636399066 +37.0674965973104|   -7.672 9.741  |8.78     |F5                |    ~     ~    
49  |BD+80 405                                                                                                |Star                           |13 12 20.3097074952 +80 11 06.089344188|121.8195941086905 +36.8980454825358| -36.788 11.046  |10.07    |F0                |    ~     ~    
50  |HD 115299                                                                                                |Star                           |13 12 28.4818207776 +79 39 08.449569972|121.7439496580135 +37.4273347228959|   25.102 4.544  |7.52     |K0                |    ~     ~    
51  |BD+79 411                                                                                                |Star                           |13 00 49.5241649712 +78 27 34.478095392|122.3308291610245 +38.6577166693322|  -13.183 8.957  |10.29    |F8                |    ~     ~    
52  |BD+79 413                                                                                                |High Proper Motion Star        |13 03 05.1481960368 +78 46 32.349371880|122.2095877318169 +38.3362583825589| 64.936 -85.634  |9.53     |G5                |    ~     ~    
53  |TYC 4554-601-1                                                                                           |Star                           |13 09 08.5803360984 +78 40 04.928423124|121.8228342968753 +38.4220626909490|   4.805 -5.362  |10.53    |M2/3              |    ~     ~    
54  |TYC 4554-604-1                                                                                           |Star                           |13 12 52.6679728200 +78 23 05.994346956|121.5513247893159 +38.6857216960577| -34.624 18.768  |10.36    |~                 |    ~     ~    
55  |TYC 4554-647-1                                                                                           |High Proper Motion Star        |13 04 40.6738702728 +78 41 23.012363328|122.1038216547292 +38.4172300011606|   55.749 2.940  |10.73    |~                 |    ~     ~    
56  |TYC 4554-664-1                                                                                           |Star                           |13 02 15.7035616224 +78 42 18.868259592|122.2558213076207 +38.4087984614989| -16.162 -1.238  |10.28    |~                 |    ~     ~    
57  |TYC 4554-683-1                                                                                           |Spectroscopic Binary           |13 11 43.5727324488 +78 36 06.125338692|121.6530885306008 +38.4761275489802|-13.292 -14.512  |10.31    |~                 |    ~     ~    
58  |TYC 4554-809-1                                                                                           |Star                           |13 06 51.5574507936 +78 35 02.227296840|121.9573421185194 +38.5151029509135|   18.748 7.101  |10.43    |~                 |    ~     ~    
59  |TYC 4554-1187-1                                                                                          |Star                           |13 05 11.5857421104 +79 05 49.386126048|122.1068760616352 +38.0091563017666|   -7.758 1.447  |10.52    |~                 |    ~     ~    
60  |TYC 4554-1188-1                                                                                          |Star                           |13 06 15.5257250808 +79 05 01.980352320|122.0418602840606 +38.0187432525006|   3.502 -2.010  |10.25    |~                 |    ~     ~    
61  |TYC 4554-1250-1                                                                                          |Star                           |13 13 47.4046238784 +79 53 17.549575224|121.7022969516015 +37.1866210089386| -5.347 -16.339  |10.60    |~                 |    ~     ~    
62  |TYC 4554-1748-1                                                                                          |Star                           |13 08 39.1057840824 +79 36 20.940533496|121.9542663609611 +37.4897380495947|  -0.454 -5.934  |10.58    |~                 |    ~     ~    
63  |TYC 4557-683-1                                                                                           |Star                           |13 14 41.0337315048 +81 00 11.106334836|121.8093681172152 +36.0744433962617|  -5.168 -4.139  |10.97    |~                 |    ~     ~    
64  |TYC 4557-1286-1                                                                                          |Star                           |13 07 59.8272977688 +80 27 18.618820920|122.0770698774797 +36.6455791543240|  -39.213 9.375  |10.98    |~                 |    ~     ~    
65  |BD+81 413                                                                                                |Star                           |13 05 32.4847660944 +81 11 40.553212056|122.2658927215104 +35.9154081462708|   1.688 -6.848  |10.57    |K                 |    ~     ~    
66  |HD 113435                                                                                                |High Proper Motion Star        |13 00 02.2941983472 +80 52 27.903829404|122.5091937085088 +36.2467744729028|-64.285 -18.996  |7.26     |G0                |    ~     ~    
67  |TYC 4554-1580-1                                                                                          |Star                           |13 02 03.1757490096 +79 41 06.686638692|122.3337417826817 +37.4307297187965| -13.668 12.243  |10.00    |~                 |    ~     ~    
68  |BD+78 451                                                                                                |Star                           |13 09 59.7411919056 +78 01 39.531507240|121.6938186352676 +39.0559573443192| -31.466 -2.252  |9.01     |A2                |    ~     ~    
69  |BD+78 450                                                                                                |Star                           |13 10 01.3240073184 +77 56 28.127762232|121.6817106256923 +39.1419574632842|-13.843 -15.062  |9.26     |K0                |    ~     ~    
70  |HD 115242                                                                                                |Star                           |13 12 33.0630919248 +77 50 20.727666816|121.4983567924016 +39.2303330067506|-30.013 -12.323  |9.12     |G                 |    ~     ~    
71  |HD 113937                                                                                                |Star                           |13 04 17.3856600576 +77 26 32.479075392|122.0249068448143 +39.6632548367595| -10.886 -5.283  |8.62     |K0                |    ~     ~    
72  |HD 114145                                                                                                |High Proper Motion Star        |13 05 44.4433594824 +77 41 38.844201516|121.9461931868310 +39.4067412528069| -79.478 19.395  |8.30     |K0                |    ~     ~    
73  |BD+78 449                                                                                                |Star                           |13 07 48.8776170408 +77 39 24.512044644|121.7996379228887 +39.4354168593911|  -7.757 -0.214  |9.56     |G5                |    ~     ~    
