C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:22:32

dec< 0&rah >=14.5&rah< 14.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5942

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1   |BD+00 3201                                                                                               |Star                                  |14 33 14.0742143472 -00 01 35.090812344|349.1269661058275 +53.4578891400893|  -7.658 -9.789    |10.3     |M0             |    ~     ~    |    1|  999.900   pc  | -19.0962    +19.0962    |paral   |2020yCat.1350....0G
2   |BD+00 3209                                                                                               |Star                                  |14 36 58.7783366736 -00 08 37.139667576|350.1883941503936 +52.7618941313516|   8.095 15.778    |9.98     |G0             |    ~     ~    |    1|  171.506   pc  | -15.0454    +15.0454    |paral   |2020yCat.1350....0G
3   |BD+00 3202                                                                                               |Star                                  |14 33 24.2696817744 -00 13 09.802963380|348.9741070389113 +53.2825995550963| -0.190 -13.156    |9.52     |K2III          |    ~     ~    |    1| 1114.330   pc  | -25.3313    +25.3313    |paral   |2020yCat.1350....0G
4   |NGC 5680                           NGC 5680                                                              |Galaxy                                |14 35 44.5274859048 -00 00 48.093036588|349.9404684888039 +53.0624569770712|            ~ ~    |     ~   |~              |0.627 0.401    |    0|                |                         |        |                   
5   |HD 127305                                                                                                |High Proper Motion Star               |14 30 36.2845355328 -00 31 21.114529680|347.7442775363574 +53.4919301749685|-208.504 58.694    |9.203    |G0V            |    ~     ~    |    1|  115.590   pc  |  -0.3474     +0.3474    |paral   |2020yCat.1350....0G
6   |HD 127405                                                                                                |Star                                  |14 31 11.5735707792 -00 14 14.861288148|348.2388272124119 +53.6206892943972| -4.402 -23.240    |9.35     |G1V            |    ~     ~    |    1|   99.207   pc  |  -0.1968     +0.1968    |paral   |2020yCat.1350....0G
7   |BD+00 3203                                                                                               |Star                                  |14 33 46.1195970624 -00 32 28.824691308|348.7476454555480 +52.9768583708949|  -0.862 16.182    |9.45     |G0             |    ~     ~    |    1|  184.734   pc  |  -0.5255     +0.5255    |paral   |2020yCat.1350....0G
8   |BD+00 3204                                                                                               |High Proper Motion Star               |14 34 21.3256493904 -00 17 34.196536896|349.1996126625454 +53.0736885090711|-132.971 11.088    |9.86     |K0             |    ~     ~    |    1|  100.038   pc  |  -0.1761     +0.1761    |paral   |2020yCat.1350....0G
9   |BD+00 3205                                                                                               |Star                                  |14 35 29.0209372416 -00 36 46.022440248|349.2164697835901 +52.6472846798346|-37.720 -28.317    |10.624   |G0             |    ~     ~    |    1|  151.196   pc  |  -1.3760     +1.3760    |ST-L    |2020AJ....160...83S
10  |HD 128528                                                                                                |Star                                  |14 37 24.4607805600 -00 29 14.627468220|349.9527256952646 +52.4315595008217|  -23.690 2.347    |9.35     |F3V            |    ~     ~    |    1|  153.362   pc  |  -0.4210     +0.4210    |paral   |2020yCat.1350....0G
11  |BD-00 2833                                                                                               |Star                                  |14 30 55.6643368992 -01 24 44.927096076|346.9259658816017 +52.7453692228527| -20.757 -7.707    |9.63     |G0             |    ~     ~    |    1|  205.812   pc  | -10.2042    +10.2042    |paral   |2020yCat.1350....0G
12  |CSI-00-14289                                                                                             |Star                                  |14 31 24.0 -00 39 00                   |347.8695 +53.2679                  |            ~ ~    |9.4      |K5V            |    ~     ~    |    0|                |                         |        |                   
13  |BD-00 2836                                                                                               |Star                                  |14 32 34.3202421120 -00 53 53.865254832|347.9883410205655 +52.8905474485294|-24.363 -10.878    |10.6     |K0             |    ~     ~    |    1|  109.801   pc  |  -0.1628     +0.1628    |paral   |2020yCat.1350....0G
14  |BD-00 2837                                                                                               |Star                                  |14 32 37.7161632576 -00 47 35.251620648|348.1165871762754 +52.9632385514030|   -5.374 2.204    |10.33    |G0             |    ~     ~    |    1|  191.961   pc  |  -0.7738     +0.7738    |paral   |2020yCat.1350....0G
15  |BD-00 2838                                                                                               |Star                                  |14 32 42.9311585688 -00 44 37.464629424|348.1963740371367 +52.9877892245084| -23.865 -8.877    |9.68     |F2             |    ~     ~    |    1|  202.972   pc  |  -0.7086     +0.7086    |paral   |2020yCat.1350....0G
16  |BD-00 2840                                                                                               |Star                                  |14 33 45.8394064704 -00 56 50.394995916|348.3189132596038 +52.6642802969657|-27.627 -18.957    |10.322   |F8             |    ~     ~    |    1|  132.281   pc  |  -1.2300     +1.2300    |ST-L    |2020AJ....160...83S
17  |BD-00 2841                                                                                               |Star                                  |14 33 57.7955900280 -00 48 10.645464528|348.5336861189095 +52.7442155166642|  -17.284 2.204    |10.419   |A2             |    ~     ~    |    1|  322.285   pc  |  -6.7510     +6.7510    |ST-L    |2020AJ....160...83S
18  |HD 127934                                                                                                |Star                                  |14 34 08.6841962664 -01 28 56.962042824|347.8858684168736 +52.1891752611887| 11.518 -37.604    |9.14     |K3III          |    ~     ~    |    1|  366.113   pc  |  -2.7344     +2.7344    |paral   |2020yCat.1350....0G
19  |HD 128044                                                                                                |Star                                  |14 34 48.0928482528 -01 24 44.592255540|348.1656370173910 +52.1400809072693| -17.077 -2.030    |8.78     |F2/3III        |    ~     ~    |    1|  260.641   pc  |  -1.3383     +1.3383    |paral   |2020yCat.1350....0G
20  |HD 128350                                                                                                |Star                                  |14 36 26.4107089392 -00 55 07.248082116|349.1940314923795 +52.2592700457859| 24.044 -15.902    |9.38     |F7V            |    ~     ~    |    1|  204.169   pc  |  -3.1639     +3.1639    |paral   |2020yCat.1350....0G
21  |BD-01 2962                                                                                               |Star                                  |14 30 19.7470381008 -01 59 27.875064048|346.1472574973491 +52.3805678119404|  -29.053 9.214    |9.28     |F0             |    ~     ~    |    1|  256.878   pc  |  -2.7252     +2.7252    |paral   |2020yCat.1350....0G
22  |HD 127541                                                                                                |Star                                  |14 32 03.1853643744 -01 47 20.375757312|346.9066217799623 +52.2755685947953|  -0.548 16.527    |8.37     |G8IV           |    ~     ~    |    1|  137.688   pc  |  -0.5953     +0.5953    |paral   |2020yCat.1350....0G
23  |BD-01 2966                                                                                               |High Proper Motion Star               |14 34 37.5043251312 -01 58 24.165439716|347.5379481586795 +51.7315532366232|57.819 -123.423    |9.91     |K0V            |    ~     ~    |    1|   46.882   pc  |  -0.0435     +0.0435    |paral   |2020yCat.1350....0G
