C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:31:36

dec >=0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3892

 #  |                                               identifier                                                |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |     spec. type      |    ang. size    |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------------|-----------------|-----|----------------|-----------------------|--------|-------------------
23  |TYC 4631-1898-1                                                                                          |Star                               |08 31 46.2009172344 +83 41 35.693436552|129.5055243881511 +29.6480222961888|   -4.644 2.406   |10.93    |~                    |    ~     ~      |    1|  270.790   pc  |  -1.4152     +1.4152  |paral   |2020yCat.1350....0G
24  |TYC 4631-2199-1                                                                                          |Star                               |08 42 01.7455801344 +84 01 22.168787016|129.0320318538812 +29.7693695354018|  -7.863 -2.546   |10.74    |~                    |    ~     ~      |    1|  434.613   pc  |  -2.2100     +2.2100  |paral   |2020yCat.1350....0G
25  |TYC 4635-1508-1                                                                                          |Star                               |08 38 26.9329832160 +85 13 34.883247576|127.8150263986853 +29.1922456564748|  12.177 12.879   |10.99    |~                    |    ~     ~      |    1|  480.654   pc  |  -3.1651     +3.1651  |paral   |2020yCat.1350....0G
26  |HD 71533                                                                                                 |Star                               |08 41 50.0026219440 +82 36 39.597580512|130.5209258133659 +30.3461423119253|  -1.624 -1.598   |8.58     |K0                   |    ~     ~      |    1|  512.059   pc  |  -5.0605     +5.0605  |paral   |2020yCat.1350....0G
27  |BD+82 242                                                                                                |Spectroscopic Binary               |08 33 49.0322686056 +82 27 18.454497012|130.8043761302836 +30.1668040147489|  26.199 22.072   |9.89     |G5                   |    ~     ~      |    1|  278.660   pc  |  -0.9085     +0.9085  |paral   |2020yCat.1350....0G
28  |BD+82 243                                                                                                |Star                               |08 32 52.6364943696 +81 59 38.395140468|131.3142675984362 +30.3067672090145|  23.449 24.369   |10.68    |G5                   |    ~     ~      |    1|  621.543   pc  |  -5.1380     +5.1380  |paral   |2020yCat.1350....0G
29  |HD 70686                                                                                                 |Star                               |08 36 30.4047178968 +82 09 00.952592616|131.0922796825789 +30.3648336171487|    6.003 0.851   |8.65     |G5                   |    ~     ~      |    1|  649.730   pc  |  -8.0208     +8.0208  |paral   |2020yCat.1350....0G
30  |BD+82 246                                                                                                |Star                               |08 35 47.9667926160 +81 50 58.007981328|131.4260761444053 +30.4555282732084|   2.167 -4.694   |10.23    |K0                   |    ~     ~      |    1|  832.501   pc  |  -8.0395     +8.0395  |paral   |2020yCat.1350....0G
31  |BD+82 247                                                                                                |Star                               |08 38 49.4060865672 +82 26 34.785749868|130.7446525787736 +30.3234328797661|-12.804 -18.899   |10.63    |A5                   |    ~     ~      |    1|  331.620   pc  |  -2.4304     +2.4304  |paral   |2020yCat.1350....0G
32  |BD+82 250                                                                                                |Star                               |08 41 59.7347275056 +82 00 27.810746244|131.1587892048413 +30.5945870764839|   -5.559 2.216   |9.80     |K2                   |    ~     ~      |    1|  984.931   pc  | -11.5440    +11.5440  |paral   |2020yCat.1350....0G
