C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
35  |TYC 4618-522-1                                                        |Star                           |06 19 12.5704220904 +83 33 04.084246260|130.0421272345106 +26.0457155727823|  -8.198 -2.689   |10.78    |~              |    ~     ~    
36  |TYC 4618-530-1                                                        |Star                           |06 16 31.7792518512 +83 57 12.993701220|129.5869592169142 +26.0543366363655|  -13.934 1.189   |10.92    |~              |    ~     ~    
37  |TYC 4618-859-1                                                        |Star                           |06 19 58.0616632584 +82 54 35.448042312|130.7466216665655 +25.9419332555191|    8.987 9.366   |10.54    |~              |    ~     ~    
38  |TYC 4618-1097-1                                                       |Star                           |06 20 10.4730403176 +82 52 32.275965468|130.7853261406922 +25.9414754804920|  -4.152 -2.204   |10.67    |~              |    ~     ~    
39  |BD+81 209                                                             |Star                           |06 17 04.3057657920 +81 01 26.548975308|132.7687149392656 +25.4457433344376|    0.984 1.298   |10.57    |A5             |    ~     ~    
40  |BD+81 211                                                             |Star                           |06 17 27.5039374608 +81 02 17.702403324|132.7571033469809 +25.4636053850617|    1.315 4.268   |10.45    |K0             |    ~     ~    
41  |BD+81 213                                                             |Star                           |06 22 18.2537187744 +81 13 11.837920152|132.6040971980079 +25.6846571227858|  15.461 -6.657   |10.72    |G5             |    ~     ~    
42  |BD+81 215                                                             |High Proper Motion Star        |06 23 08.3006711136 +81 06 13.050010764|132.7376856192536 +25.6928199887580|  47.247 24.039   |9.14     |K2             |    ~     ~    
43  |BD+80 192                                                             |Star                           |06 16 03.7380042168 +80 09 47.347924824|133.6852088651033 +25.2078757826630|   6.442 28.819   |9.07     |F0             |    ~     ~    
44  |BD+80 194                                                             |Spectroscopic Binary           |06 17 41.1059156160 +80 35 35.554643988|133.2395857185420 +25.3728225786562|   0.517 13.155   |8.68     |K2             |    ~     ~    
45  |HD 41302                                                              |Star                           |06 17 43.8651768744 +80 33 51.923935116|133.2710958281069 +25.3681764104939|   9.346 24.784   |8.56     |K              |    ~     ~    
46  |HD 41804                                                              |High Proper Motion Star        |06 20 24.4520569704 +80 21 22.906839816|133.5228088007418 +25.4304794016156|-10.391 -100.377  |7.53     |F5             |    ~     ~    
47  |BD+80 203                                                             |Star                           |06 21 59.2251109800 +80 14 31.010685324|133.6623051890706 +25.4711328797767|   -2.524 8.044   |8.93     |K0             |    ~     ~    
48  |HD 42249                                                              |Star                           |06 22 30.3481278500 +80 07 37.854400876|133.7917344811114 +25.4687068725900|  -2.398 -0.352   |8.30     |G5             |    ~     ~    
49  |HD 43014                                                              |Star                           |06 27 51.7657864632 +80 52 02.773083612|133.0341189391911 +25.8297552243643|  -2.534 -7.500   |8.01     |G5             |    ~     ~    
50  |HD 43555                                                              |Star                           |06 29 53.5112466192 +80 18 06.132743640|133.6689472734728 +25.8102924646625|   7.069 -4.489   |8.03     |K2             |    ~     ~    
51  |HD 41373                                                              |Star                           |06 17 28.5893061360 +79 59 02.906270772|133.8933238896101 +25.2254520686045| -4.426 -42.094   |8.94     |A3             |    ~     ~    
52  |HD 41496                                                              |Star                           |06 17 34.0751737776 +79 19 47.765909388|134.5972082886472 +25.0769770613951|  -9.510 -2.278   |7.93     |A0             |    ~     ~    
53  |BD+79 197                                                             |Star                           |06 19 36.6785342064 +79 43 06.672111960|134.2029267334893 +25.2566380406830|    5.989 2.995   |9.25     |F5             |    ~     ~    
54  |TYC 4533-1534-1                                                       |Star                           |06 20 56.5140664704 +79 49 55.879086504|134.0947286535263 +25.3393302500854| -3.551 -10.633   |9.95     |M              |    ~     ~    
55  |HD 42172                                                              |Star                           |06 21 43.5819121464 +79 46 53.954759460|134.1576295055333 +25.3622871577962|  -8.388 -7.138   |7.90     |G5             |    ~     ~    
56  |HD 43680                                                              |High Proper Motion Star        |06 29 44.4383627640 +79 39 24.017670288|134.3721121510578 +25.6878762338519|46.072 -134.471   |8.30     |K2             |    ~     ~    
57  |BD+78 213                                                             |Star                           |06 15 20.1326763600 +78 57 52.078005864|134.9604975081670 +24.8867983899418| -4.579 -13.128   |9.78     |F8             |    ~     ~    
58  |BD+78 214                                                             |High Proper Motion Star        |06 15 41.0488540368 +78 53 47.968173888|135.0374868734747 +24.8862762003063| 32.053 -54.247   |8.66     |G0             |    ~     ~    
59  |BD+78 216                                                             |Spectroscopic Binary           |06 17 57.6199830408 +78 46 49.487151360|135.1912730123620 +24.9649939597550|  -6.541 -6.074   |9.21     |G5             |    ~     ~    
60  |HD 43202                                                              |Star                           |06 26 13.1294221896 +78 47 43.307206512|135.2732374657664 +25.3597903118760|-18.852 -20.001   |8.11     |G5             |    ~     ~    
61  |BD+78 221                                                             |Spectroscopic Binary           |06 26 31.0468248792 +78 48 56.683259784|135.2544152725710 +25.3781276638539|    4.289 8.167   |9.30     |K2             |    ~     ~    
62  |TYC 4533-1550-1                                                       |Star                           |06 28 33.0655210320 +78 50 34.021312080|135.2467175357147 +25.4800303870671| -0.991 -31.428   |10.22    |K0             |    ~     ~    
63  |TYC 4533-45-1                                                         |Star                           |06 18 47.1810951504 +80 36 54.415800252|133.2270270966232 +25.4215186045268|  -5.159 -4.451   |10.80    |~              |    ~     ~    
64  |TYC 4533-98-1                                                         |Star                           |06 29 17.2984378728 +79 07 47.232444576|134.9420313393680 +25.5695496690657|   1.478 -3.503   |10.27    |~              |    ~     ~    
65  |TYC 4533-132-1                                                        |Star                           |06 15 06.9259272888 +79 04 23.806568928|134.8414058587342 +24.9035530771973|-15.168 -20.515   |10.27    |~              |    ~     ~    
66  |TYC 4533-171-1                                                        |Star                           |06 20 10.3543539576 +80 17 19.697034120|133.5934675076246 +25.4062145383245|  20.695 -4.136   |10.58    |~              |    ~     ~    
67  |TYC 4533-269-1                                                        |Star                           |06 20 08.0696846832 +80 35 10.517573724|133.2714913845352 +25.4689581528357|    9.288 8.781   |9.59     |~              |    ~     ~    
68  |TYC 4533-325-1                                                        |Star                           |06 26 05.7194379600 +80 14 05.532021780|133.7089080096357 +25.6402638283118|   -1.945 1.052   |10.49    |~              |    ~     ~    
69  |TYC 4533-445-1                                                        |Star                           |06 17 25.5751819656 +80 19 22.096428132|133.5282922880387 +25.3010803839473|  -3.086 -5.377   |9.86     |~              |    ~     ~    
