C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST04:40:02

Vmag< 11&dec >=0&rah >=6.25&rah< 6.5
------------------------------------

Number of objects : 7649

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
1219|HD 45248                                                              |Star                           |06 28 42.5137101024 +46 21 09.434950092|168.4227500601159 +15.6123970703520|-20.601 -12.091   |8.29     |F0             |    ~     ~    
1220|BD+45 1302                                                            |Star                           |06 28 04.4109734904 +45 30 17.965717956|169.1849240234615 +15.1757051744262|    4.875 0.344   |9.17     |K2             |    ~     ~    
1221|BD+45 1304                                                            |High Proper Motion Star        |06 29 10.3974442824 +45 53 28.781645352|168.8958715914210 +15.5049903931521|  6.477 -79.265   |10.44    |F8             |    ~     ~    
1222|HD 45370                                                              |Star                           |06 29 19.0001113752 +45 46 02.947021428|169.0242073106321 +15.4791854426400|   3.077 -1.646   |8.92     |A0             |    ~     ~    
1223|HD 45390                                                              |Star                           |06 29 25.6272743904 +45 24 50.200669908|169.3691241129743 +15.3575056885368|  6.436 -18.882   |9.48     |A2             |    ~     ~    
1224|HD 45349                                                              |Star                           |06 29 11.2552191216 +44 53 38.767519176|169.8464352846176 +15.1127071704277|  -3.211 -4.385   |8.81     |B9             |    ~     ~    
1225|HD 44924                                                              |Star                           |06 26 45.4587175512 +44 48 45.511131528|169.7450094255031 +14.6855170722708|   3.785 -2.221   |8.84     |K5             |    ~     ~    
1226|TYC 2939-836-1                                                        |Star                           |06 28 20.3995663824 +44 54 18.442230660|169.7739994053880 +14.9794508336809| -9.578 -23.928   |10.61    |~              |    ~     ~    
1227|TYC 2939-881-1                                                        |Star                           |06 24 11.0640944664 +44 55 12.806544216|169.4517779477630 +14.3128680967365|  7.249 -15.664   |9.60     |~              |    ~     ~    
1228|TYC 2939-972-1                                                        |High Proper Motion Star        |06 27 25.5028542120 +44 51 57.981933900|169.7437392565823 +14.8153419351436|  74.524 36.710   |9.94     |~              |    ~     ~    
1229|TYC 2939-985-1                                                        |Star                           |06 28 14.9847765072 +44 52 02.955276984|169.8030868506793 +14.9497477582806|-45.130 -15.120   |10.87    |~              |    ~     ~    
1230|TYC 2939-1000-1                                                       |Star                           |06 27 35.3186774856 +44 51 39.667437648|169.7606134407067 +14.8398398729550|  13.020 -9.307   |10.22    |~              |    ~     ~    
1231|TYC 3376-39-1                                                         |Star                           |06 25 19.1117005176 +45 04 58.014314400|169.3831122952285 +14.5622593471038|  -3.143 -2.694   |10.67    |~              |    ~     ~    
1232|TYC 3376-196-1                                                        |Star                           |06 26 29.5185500304 +45 47 50.341935300|168.7929768431817 +15.0391217785275|  -15.055 9.000   |10.84    |~              |    ~     ~    
1233|TYC 3376-243-1                                                        |Star                           |06 25 51.5513591760 +46 33 21.217478292|168.0273974009052 +15.2423735830096|  -2.063 -3.900   |10.76    |~              |    ~     ~    
1234|TYC 3376-258-1                                                        |Star                           |06 26 21.0528114480 +46 17 41.621574048|168.3104545750708 +15.2157908571577|   6.044 -4.114   |10.38    |~              |    ~     ~    
1235|TYC 3376-271-1                                                        |Star                           |06 25 20.6890153320 +46 48 10.742572620|167.7560854318315 +15.2602808900858|  -3.383 -6.907   |10.49    |~              |    ~     ~    
1236|TYC 3376-359-1                                                        |Star                           |06 27 56.6758170216 +45 27 29.749303512|169.2200030288852 +15.1363653923012|   4.811 42.652   |10.62    |~              |    ~     ~    
1237|TYC 3376-501-1                                                        |Star                           |06 29 28.1696475768 +46 04 56.732517228|168.7344376721597 +15.6273888257708|   1.154 -4.305   |9.87     |~              |    ~     ~    
1238|TYC 3376-522-1                                                        |Star                           |06 25 31.9728996312 +45 41 14.191387296|168.8275498853060 +14.8416522125516|   -4.634 0.091   |10.16    |~              |    ~     ~    
1239|TYC 3376-531-1                                                        |Star                           |06 28 33.1821925608 +46 05 56.069358792|168.6538392545360 +15.4877802922524|   0.953 -0.888   |10.30    |~              |    ~     ~    
1240|TYC 3376-556-1                                                        |Star                           |06 27 50.7895940264 +45 34 23.239548614|169.1037688000953 +15.1663713324789|       2.9 -5.8   |10.93    |~              |    ~     ~    
1241|TYC 3376-638-1                                                        |Star                           |06 25 13.7929684896 +46 14 44.524087332|168.2766906587688 +15.0185939132396|  -3.626 -7.810   |9.81     |~              |    ~     ~    
1242|TYC 3376-657-1                                                        |Star                           |06 28 31.3143517944 +46 10 14.146479084|168.5832669695364 +15.5110929634271|  -1.316 -1.709   |10.25    |~              |    ~     ~    
1243|TYC 3376-681-1                                                        |High Proper Motion Star        |06 29 55.8196167408 +45 34 25.467145788|169.2528078959434 +15.5015182990925|-29.973 -72.851   |10.07    |~              |    ~     ~    
1244|TYC 3376-837-1                                                        |Star                           |06 24 36.9420367536 +45 51 34.739828604|168.5975654322132 +14.7651571441107| -8.609 -19.189   |10.09    |~              |    ~     ~    
1245|TYC 3376-844-1                                                        |Star                           |06 24 20.8545873240 +46 08 14.141497200|168.3155508258876 +14.8351144241264|  -5.218 -1.534   |10.00    |~              |    ~     ~    
1246|TYC 3376-874-1                                                        |Star                           |06 25 41.7317551632 +45 21 52.385652540|169.1447529949250 +14.7372452017917|       3.1 -6.6   |10.55    |~              |    ~     ~    
1247|TYC 3376-893-1                                                        |Star                           |06 25 07.3680646392 +45 47 50.204479128|168.6935501421914 +14.8206664577058|  5.782 -12.169   |10.68    |~              |    ~     ~    
1248|TYC 3376-1030-1                                                       |Star                           |06 25 37.0668966480 +45 26 50.994854196|169.0606052278674 +14.7583269196547|  -4.422 -1.712   |9.56     |~              |    ~     ~    
1249|TYC 3376-1111-1                                                       |Star                           |06 28 12.3498768960 +45 11 14.278635456|169.4963468403375 +15.0704194212265|-39.361 -25.550   |9.97     |~              |    ~     ~    
1250|TYC 3376-1249-1                                                       |Star                           |06 29 17.5127200488 +45 07 19.088974164|169.6373395502887 +15.2201071613293|  -2.993 -3.157   |10.30    |~              |    ~     ~    
1251|TYC 3376-1319-1                                                       |Star                           |06 25 16.7910294456 +45 20 31.640106084|169.1353568167432 +14.6613932118243| -8.421 -11.367   |10.26    |~              |    ~     ~    
1252|TYC 3376-1324-1                                                       |Star                           |06 23 48.3180833736 +45 22 45.561167508|168.9911834716409 +14.4400315045529|  -4.065 -7.139   |10.69    |~              |    ~     ~    
1253|TYC 3376-1325-1                                                       |Star                           |06 29 07.9890978648 +46 25 54.175631880|168.3770163954029 +15.7107677481348|    8.001 3.802   |10.51    |~              |    ~     ~    
1254|TYC 3376-1463-1                                                       |Star                           |06 25 56.0648156832 +45 29 13.342411500|169.0463968960266 +14.8250851831936| -4.839 -14.083   |10.92    |~              |    ~     ~    
1255|TYC 3376-1505-1                                                       |Star                           |06 24 19.6389684888 +45 52 42.849677532|168.5586172188132 +14.7269556572952|   8.148 -1.211   |10.92    |~              |    ~     ~    
1256|TYC 3376-1529-1                                                       |Star                           |06 26 26.7168486888 +45 11 31.455923928|169.3630238019644 +14.7882022652618|   -1.336 3.548   |10.56    |~              |    ~     ~    
1257|TYC 3380-708-1                                                        |Star                           |06 27 09.0085219128 +47 06 52.540528716|167.5861997497906 +15.6667067164306|  -12.155 0.696   |10.53    |~              |    ~     ~    
1258|GSC 03380-00902                                                       |Double or Multiple Star        |06 28 15.575160 +47 08 33.30312        |167.636389815 +15.851258471        |    -10.8 -16.8   |10.540   |~              |    ~     ~    
1259|TYC 3380-925-1                                                        |Star                           |06 25 11.5100197752 +47 14 03.220387260|167.3353158861639 +15.4085578797316| -0.068 -24.526   |10.23    |~              |    ~     ~    
1260|BD+47 1302                                                            |Double or Multiple Star        |06 29 32.267880 +47 07 24.51432        |167.742698374 +16.044068630        |      -1.2 -2.0   |9.703    |~              |    ~     ~    
1261|TYC 3380-1172-1                                                       |Spectroscopic Binary           |06 29 32.6404306896 +46 54 30.086185788|167.9493816469379 +15.9615703751326| -9.128 -22.688   |10.58    |~              |    ~     ~    
1262|TYC 3380-1212-1                                                       |Star                           |06 27 08.2844794128 +47 08 27.786942204|167.5601027165498 +15.6752412876853|   -1.019 1.185   |9.97     |~              |    ~     ~    
1263|TYC 3380-1240-1                                                       |Star                           |06 25 13.1484754416 +47 36 51.386960232|166.9754034751752 +15.5639758551544|  -2.583 -7.236   |10.37    |~              |    ~     ~    
1264|TYC 3380-1320-1                                                       |Star                           |06 27 54.9408601728 +47 01 14.209216284|167.7292004538906 +15.7496254792673|  -2.897 -8.436   |10.35    |~              |    ~     ~    
1265|BD+44 1402B                                                           |Star                           |06 15 07.1524860456 +44 09 50.246303220|169.4541942897503 +12.5294111070739| 10.146 -14.725   |9.5      |M              |    ~     ~    
1266|BD+44 1402A                                                           |Star                           |06 15 06.9967120248 +44 09 35.792494740|169.4576893596844 +12.5272441073588|  2.023 -10.738   |9.4      |M              |    ~     ~    
1267|BD+44 1410                                                            |Double or Multiple Star        |06 17 37.5884312688 +44 51 33.183587088|169.0083302711844 +13.2324489830521|  -1.934 -8.133   |9.150    |K0             |    ~     ~    
1268|BD+44 1415                                                            |Star                           |06 19 16.2297794544 +44 36 48.613700556|169.3644334153645 +13.3922260343382| -7.461 -13.666   |9.42     |F2             |    ~     ~    
1269|BD+44 1418                                                            |Star                           |06 19 42.9369534984 +44 38 41.564783832|169.3696402752043 +13.4772584223762| 14.304 -42.793   |9.76     |K0             |    ~     ~    
1270|HD 43854                                                              |Star                           |06 20 44.1292959600 +44 44 33.660776976|169.3568517169023 +13.6828378936607| -2.529 -13.167   |9.56     |A2             |    ~     ~    
1271|HD 44091                                                              |Star                           |06 22 01.3015023600 +44 03 30.651409800|170.0951562609777 +13.6047293508946|  5.680 -21.968   |6.874    |G5             |    ~     ~    
1272|BD+44 1427                                                            |Star                           |06 22 09.9234649464 +44 25 37.902042084|169.7614680810970 +13.7821554725080| -5.559 -20.747   |10.35    |F8             |    ~     ~    
1273|HD 44125                                                              |Star                           |06 22 18.2617200480 +44 24 43.739048664|169.7862007095243 +13.7984394478826|   -5.915 2.401   |7.80     |A5             |    ~     ~    
1274|BD+44 1431                                                            |Star                           |06 22 26.3878740864 +44 30 03.309247728|169.7134468117670 +13.8573745675390|  -2.390 -3.105   |9.30     |B8IVSi         |    ~     ~    
1275|BD+43 1498                                                            |Star                           |06 16 20.0522661552 +43 58 11.523261432|169.7304269147352 +12.6417636763099|  -2.690 -2.642   |9.52     |K0             |    ~     ~    
1276|HD 43058                                                              |Star                           |06 16 20.6034550032 +43 39 56.547409320|170.0120090258521 +12.5114299971832|   3.728 -9.614   |9.14     |A3             |    ~     ~    
1277|BD+43 1504                                                            |Star                           |06 16 58.3846742328 +43 00 32.301245664|170.6687019635363 +12.3294553257239|  0.032 -16.249   |9.89     |K0             |    ~     ~    
1278|TYC 2934-953-1                                                        |Star                           |06 16 51.3763209024 +43 00 05.972292504|170.6659456128324 +12.3070441079117|  1.971 -11.708   |10.45    |F5             |    ~     ~    
1279|BD+43 1506                                                            |Star                           |06 17 21.6506354208 +43 00 49.691379168|170.6957360011158 +12.3954154061000|  -3.677 -3.582   |10.11    |F2             |    ~     ~    
1280|BD+43 1507                                                            |Star                           |06 17 38.9099057088 +43 33 53.926592292|170.2097436853242 +12.6808599891938|   13.759 5.215   |9.65     |K0             |    ~     ~    
1281|BD+43 1509                                                            |Star                           |06 18 51.8143572768 +43 11 41.238445524|170.6496697990432 +12.7209432893479| -8.614 -10.487   |10.06    |F0             |    ~     ~    
1282|BD+43 1513a                                                           |Star                           |06 20 29.1036601368 +43 52 09.380765244|170.1520051476147 +13.2742576428688| -0.389 -13.744   |10.90    |B8             |    ~     ~    
1283|HD 44167                                                              |High Proper Motion Star        |06 22 27.7455433440 +43 31 15.817866708|170.6313543691695 +13.4517343709204|-11.000 -57.428   |9.25     |G5             |    ~     ~    
1284|HD 42893                                                              |High Proper Motion Star        |06 15 17.6224030056 +42 08 33.775518192|171.3266138077731 +11.6723034298956|  6.903 -56.619   |8.89     |F9V            |    ~     ~    
1285|BD+42 1513                                                            |High Proper Motion Star        |06 15 46.3891524696 +42 27 27.035562348|171.0776876624420 +11.8904178641304| 33.487 -66.379   |8.91     |K0             |    ~     ~    
1286|HD 42975                                                              |Star                           |06 15 54.6863809920 +42 27 53.198016768|171.0824504728812 +11.9165251679772|  1.175 -15.568   |9.24     |F0             |    ~     ~    
1287|HD 43127                                                              |Star                           |06 16 41.7954403992 +42 41 53.327116680|170.9324890012580 +12.1485571589702|  -0.204 -1.713   |9.60     |A              |    ~     ~    
1288|BD+42 1522                                                            |Star                           |06 17 58.5031860408 +42 42 08.905286520|171.0329365534320 +12.3619966637938|  -1.786 -3.261   |9.73     |A0             |    ~     ~    
1289|HD 43457                                                              |Star                           |06 18 22.1300038776 +42 20 46.606618428|171.3937252820165 +12.2731508940191|  -2.015 20.200   |8.72     |G0             |    ~     ~    
1290|HD 43557                                                              |Star                           |06 18 57.0600122568 +42 26 23.948090952|171.3547914824465 +12.4105839275369|  0.836 -19.976   |9.34     |A3             |    ~     ~    
1291|HD 43795                                                              |Star                           |06 20 16.0432400112 +42 47 59.629949088|171.1282418662723 +12.7838111024221| 24.583 -18.372   |7.65     |G6III          |    ~     ~    
1292|HD 44004                                                              |Star                           |06 21 17.8901260488 +42 20 25.057222188|171.6374828056066 +12.7593566812152| -2.900 -31.229   |6.78     |A0             |    ~     ~    
1293|BD+42 1539                                                            |Spectroscopic Binary           |06 22 01.9227464832 +42 50 36.549953916|171.2288478820469 +13.0952450523827|  10.061 -7.696   |9.18     |A5             |    ~     ~    
1294|BD+42 1532                                                            |Pulsating Variable             |06 19 42.7731117624 +42 25 56.219464632|171.4238973397605 +12.5341450534949|   0.825 -6.389   |9.79     |B              |    ~     ~    
1295|IRAS 06135+4235                                                       |Star                           |06 17 11.0377476984 +42 34 45.827358024|171.0817763003355 +12.1775081278905|   0.281 -1.840   |10.98    |~              |    ~     ~    
1296|GSC 02934-00151                                                       |Double or Multiple Star        |06 15 13.4680725576 +42 42 10.895228820|170.8069407526051 +11.9075195726972|   2.752 -6.194   |10.426   |~              |    ~     ~    
1297|IRAS 06124+4307                                                       |Star                           |06 16 06.6411721248 +43 06 42.931999404|170.5036702770631 +12.2324522510912|   0.403 -3.663   |9.71     |~              |    ~     ~    
1298|TYC 2934-609-1                                                        |Star                           |06 16 10.7276297664 +43 01 12.173586456|170.5938131049813 +12.2035664723196|  15.179 -1.733   |9.84     |~              |    ~     ~    
1299|GSC 02934-00899                                                       |Double or Multiple Star        |06 18 24.9240915864 +42 24 44.365841820|171.3366061467455 +12.3094973000240|   2.620 -2.477   |10.488   |~              |    ~     ~    
1300|TYC 2934-901-1                                                        |Star                           |06 15 20.6542640136 +43 07 20.430076476|170.4315473284285 +12.1112033763454|  -1.044 -7.291   |10.67    |~              |    ~     ~    
1301|TYC 2934-1109-1                                                       |Star                           |06 17 54.6362431512 +42 31 55.142286888|171.1849542638559 +12.2774389078396|  2.288 -27.414   |9.58     |~              |    ~     ~    
1302|TYC 2934-1291-1                                                       |Star                           |06 17 36.9481439904 +42 25 40.169539092|171.2568185277447 +12.1832535172854|-42.100 -18.449   |9.97     |F9V            |    ~     ~    
1303|TYC 2934-1369-1                                                       |Star                           |06 18 15.1335297312 +42 23 56.142922668|171.3356145454337 +12.2765455158996|  -1.951 -2.674   |10.36    |~              |    ~     ~    
1304|TYC 2934-1541-1                                                       |Star                           |06 17 15.6507766272 +42 08 20.348230164|171.4934844842292 +11.9983619206720|  -2.951 -9.677   |9.61     |~              |    ~     ~    
1305|TYC 2934-1665-1                                                       |Star                           |06 15 46.2941243616 +42 24 45.432000432|171.1187720408339 +11.8704479140940|  -3.677 -0.519   |10.52    |~              |    ~     ~    
1306|TYC 2934-1884-1                                                       |Star                           |06 18 17.1907354632 +42 09 02.774601576|171.5672374109909 +12.1746671216466|  -1.626 -5.206   |9.77     |~              |    ~     ~    
1307|TYC 2934-2147-1                                                       |Star                           |06 16 04.4010338232 +42 07 32.499044760|171.4071961150578 +11.7946018396798|  -6.599 -2.296   |9.43     |~              |    ~     ~    
1308|TYC 2934-2174-1                                                       |Star                           |06 15 41.0042863440 +42 11 51.267050484|171.3087968399111 +11.7612917663966|  -0.006 -6.196   |10.63    |~              |    ~     ~    
1309|TYC 2934-2183-1                                                       |Star                           |06 18 16.3984849128 +42 17 34.523607552|171.4351038542754 +12.2341169933744|  5.125 -27.276   |9.86     |~              |    ~     ~    
1310|TYC 2935-2430-1                                                       |Star                           |06 20 41.7035473872 +42 47 29.394894012|171.1703595768013 +12.8511833741650|  -2.255 -2.136   |10.24    |~              |    ~     ~    
1311|TYC 2935-2442-1                                                       |Star                           |06 22 06.8245702416 +42 36 42.151605444|171.4509484949116 +13.0107856979245|   0.876 -9.713   |10.23    |~              |    ~     ~    
1312|TYC 2935-2530-1                                                       |Star                           |06 21 28.438032 +42 54 42.11208        |171.120976855 +13.031492198        |       3.2 -4.9   |10.760   |~              |    ~     ~    
1313|TYC 2935-2818-1                                                       |Star                           |06 21 38.8975733688 +42 41 10.668544800|171.3443937909896 +12.9648723743989| -4.215 -12.870   |9.76     |~              |    ~     ~    
1314|TYC 2935-2844-1                                                       |High Proper Motion Star        |06 21 19.045992 +42 39 42.04908        |171.340764331 +12.899360656        |     29.4 -52.9   |10.265   |~              |    ~     ~    
1315|TYC 2935-2900-1                                                       |Star                           |06 20 20.8479239448 +43 05 07.639740528|170.8697459342702 +12.9188810596321|   0.776 -9.494   |10.09    |~              |    ~     ~    
1316|TYC 2935-2902-1                                                       |Star                           |06 20 53.3882800416 +42 40 52.488159060|171.2882896433756 +12.8365564711896|  -1.518 -1.052   |9.87     |~              |    ~     ~    
1317|TYC 2935-2920-1                                                       |Star                           |06 21 45.6039441000 +43 00 07.615879524|171.0596356201145 +13.1171970522855| -5.990 -12.717   |10.89    |~              |    ~     ~    
1318|TYC 2935-2923-1                                                       |Star                           |06 20 40.9315544832 +42 14 33.857148408|171.6780366899373 +12.6146907994058|  -3.557 -8.345   |10.93    |~              |    ~     ~    
1319|TYC 2935-2925-1                                                       |Star                           |06 21 22.2390501840 +42 14 10.482851436|171.7398405564199 +12.7271318043660|  -2.766 -0.228   |10.37    |~              |    ~     ~    
1320|TYC 2935-2995-1                                                       |High Proper Motion Star        |06 21 18.9002449080 +43 03 34.213199184|170.9709058603252 +13.0678051515277| 29.325 -45.748   |10.86    |~              |    ~     ~    
1321|TYC 2938-161-1                                                        |Star                           |06 19 43.5941223888 +44 33 52.363665576|169.4453567206140 +13.4450872806866|  -7.105 -5.934   |10.33    |~              |    ~     ~    
1322|TYC 2938-449-1                                                        |Star                           |06 15 44.9032544496 +44 40 25.916113128|169.0331877364515 +12.8518024668593|   1.550 -8.361   |9.66     |~              |    ~     ~    
1323|TYC 2938-541-1                                                        |Star                           |06 18 42.3309982056 +44 27 08.304859368|169.4704880546036 +13.2326300497363|  -5.927 -3.157   |10.37    |~              |    ~     ~    
1324|TYC 2938-615-1                                                        |Star                           |06 18 40.1078809680 +44 46 16.402464084|169.1709771650255 +13.3622059303060|    8.427 9.474   |10.60    |~              |    ~     ~    
1325|TYC 2938-661-1                                                        |Star                           |06 16 32.8080132096 +44 31 37.472308824|169.2319291306635 +12.9166986057110|  -3.463 -2.534   |10.96    |~              |    ~     ~    
1326|TYC 2938-687-1                                                        |Star                           |06 17 07.0049082504 +44 35 05.736774012|169.2231094537012 +13.0332382955095|   1.028 -6.238   |10.01    |~              |    ~     ~    
1327|TYC 2938-1156-1                                                       |Star                           |06 16 26.7808135416 +43 14 39.091445052|170.4090954145285 +12.3451458915462|  -8.311 -1.349   |10.44    |~              |    ~     ~    
1328|TYC 2938-1204-1                                                       |Star                           |06 18 09.9073576560 +43 48 26.652873420|170.0265005966268 +12.8694234950048|    0.468 0.149   |10.14    |~              |    ~     ~    
1329|TYC 2938-1361-1                                                       |Star                           |06 15 59.0178275928 +44 05 38.665657536|169.5877250111732 +12.6387740590138|  7.466 -13.325   |10.93    |~              |    ~     ~    
1330|TYC 2938-1397-1                                                       |Star                           |06 16 24.6185956464 +44 37 52.650766308|169.1246859447713 +12.9396405966150|  1.889 -13.155   |10.02    |~              |    ~     ~    
1331|TYC 2938-1511-1                                                       |Star                           |06 15 34.7011911816 +44 16 15.467652984|169.3920797673633 +12.6500064162653| 10.517 -15.218   |10.56    |~              |    ~     ~    
1332|TYC 2938-1534-1                                                       |Star                           |06 15 03.1055828880 +43 15 20.979843480|170.2849317560041 +12.1217660783674| -26.728 11.012   |9.84     |~              |    ~     ~    
1333|TYC 2938-1537-1                                                       |Star                           |06 19 41.4453972672 +44 30 43.973539776|169.4913418595750 +13.4171825989931|   -3.123 3.412   |10.79    |~              |    ~     ~    
1334|TYC 2938-1552-1                                                       |Star                           |06 19 46.2048750096 +43 31 36.972616980|170.4139603684855 +13.0119189667846|    1.609 0.070   |10.18    |~              |    ~     ~    
1335|TYC 2938-1636-1                                                       |Star                           |06 16 56.5925806248 +43 18 45.642062736|170.3861370662729 +12.4563470125133|  -3.509 -9.950   |10.30    |~              |    ~     ~    
1336|TYC 2938-1749-1                                                       |Star                           |06 18 28.4595611136 +44 29 34.100990556|169.4148078461915 +13.2125522659696|    3.930 1.618   |10.39    |~              |    ~     ~    
1337|TYC 2938-1898-1                                                       |Star                           |06 16 47.7899112960 +43 08 17.678454144|170.5351705608825 +12.3565679839851|  -2.412 -2.901   |10.22    |~              |    ~     ~    
1338|TYC 2938-1940-1                                                       |Star                           |06 15 58.3709631792 +43 09 07.775292852|170.4554002336790 +12.2273770334611|  -5.454 -8.204   |10.66    |~              |    ~     ~    
1339|TYC 2939-993-1                                                        |Star                           |06 22 17.3535028512 +44 33 25.919161596|169.6492347392166 +13.8563935724743|   2.422 -1.181   |10.31    |~              |    ~     ~    
1340|TYC 2939-1405-1                                                       |Star                           |06 22 24.1270183296 +44 03 50.788041552|170.1193359005985 +13.6691490674717|  -1.793 -2.623   |10.07    |~              |    ~     ~    
1341|TYC 2939-2013-1                                                       |Spectroscopic Binary           |06 21 51.8446056192 +44 24 49.542824592|169.7509159442582 +13.7276579191880|   1.860 -3.142   |10.52    |~              |    ~     ~    
1342|TYC 2939-2028-1                                                       |Star                           |06 21 33.5300166768 +43 16 37.226338176|170.7878540462537 +13.2001176814941|  -3.676 -5.979   |10.95    |~              |    ~     ~    
1343|TYC 2939-2064-1                                                       |Star                           |06 20 06.3869871360 +43 34 39.028233252|170.3936003865475 +13.0885895985243|  3.334 -10.316   |10.98    |~              |    ~     ~    
1344|TYC 2939-2143-1                                                       |Star                           |06 22 17.4030472200 +44 04 59.977595208|170.0927112870951 +13.6588913556690|  4.898 -28.330   |10.96    |~              |    ~     ~    
1345|TYC 2939-2152-1                                                       |Star                           |06 22 28.4347765920 +43 10 57.272830896|170.9480127395658 +13.3114679951521|  -0.331 -3.370   |10.54    |~              |    ~     ~    
1346|TYC 2939-2214-1                                                       |Star                           |06 22 06.8246906880 +43 42 52.471508724|170.4235049759579 +13.4756323236724|  -2.252 -8.130   |10.39    |~              |    ~     ~    
1347|TYC 2939-2272-1                                                       |Star                           |06 22 24.8713894344 +43 35 53.093494572|170.5557148504133 +13.4761551122421| -1.803 -15.338   |10.93    |~              |    ~     ~    
1348|TYC 2939-2339-1                                                       |Star                           |06 21 48.5458465056 +43 59 59.204378256|170.1335475010064 +13.5454217822117|  3.112 -20.592   |10.60    |~              |    ~     ~    
1349|HD 42976                                                              |Star                           |06 15 51.7866953208 +42 02 06.454487688|171.4727707921990 +11.7197497372410|    5.274 6.748   |7.50     |K0             |    ~     ~    
1350|BD+42 1531                                                            |Star                           |06 19 15.5110993104 +42 00 43.683366420|171.7750057481053 +12.2772134671709|  1.859 -14.980   |10.06    |A5             |    ~     ~    
1351|BD+41 1399                                                            |Star                           |06 15 22.8818275272 +41 18 46.297389888|172.0935853637434 +11.3200962471803|   0.648 -1.596   |9.69     |B8             |    ~     ~    
1352|BD+41 1402                                                            |Star                           |06 16 04.2032350776 +41 31 08.780880000|171.9630831656245 +11.5270878550368|  -6.947 -9.894   |9.43     |A2             |    ~     ~    
1353|BD+41 1405                                                            |Star                           |06 16 34.6801223160 +41 48 34.603025256|171.7393475400515 +11.7400931451294|  3.391 -10.446   |9.90     |A2             |    ~     ~    
1354|HD 43331                                                              |Star                           |06 17 38.9114410656 +41 28 35.834803068|172.1345970320535 +11.7739555973484|   3.159 -6.256   |8.30     |K5             |    ~     ~    
1355|HD 43691                                                              |High Proper Motion Star        |06 19 34.6758728328 +41 05 32.302039092|172.6494254727332 +11.9327254542315| 22.684 -53.140   |8.02     |G0IV           |    ~     ~    
1356|BD+41 1416                                                            |Double or Multiple Star        |06 20 25.8585916752 +41 40 38.985222432|172.1804000106381 +12.3299409262068|   0.604 -3.385   |10.66    |F0             |0.0033  0.0    
1357|BD+41 1417                                                            |Double or Multiple Star        |06 20 27.9477318192 +41 18 11.346939000|172.5289640838745 +12.1745356873717|-11.558 -22.492   |10.785   |F2             |    ~     ~    
1358|BD+40 1530                                                            |Star                           |06 15 31.9471703352 +40 24 17.262029736|172.9356544959692 +10.9422742228069|  -1.547 -2.292   |10.10    |A2             |    ~     ~    
1359|BD+40 1533                                                            |Star                           |06 16 17.8918131504 +40 55 26.900544936|172.5270023018445 +11.3028608570419| -9.098 -42.011   |9.42     |G0             |    ~     ~    
1360|BD+40 1537                                                            |Star                           |06 16 51.9001608600 +40 05 39.845940936|173.3339928518355 +11.0321820400275|   1.903 -3.773   |10.26    |A5             |    ~     ~    
1361|HD 43281                                                              |Star                           |06 17 19.0537213704 +40 53 15.782403732|172.6469935916955 +11.4596605141229|   -2.647 0.464   |7.93     |A0             |    ~     ~    
1362|BD+40 1541                                                            |Star                           |06 17 23.6417725032 +40 56 37.990424148|172.6019992510620 +11.4973343254334|   5.700 -7.691   |9.39     |K2             |    ~     ~    
1363|HD 43332                                                              |Star                           |06 17 39.1156150320 +40 18 35.820197352|173.2046058391159 +11.2622322729908|  3.716 -18.855   |7.56     |G0             |    ~     ~    
1364|BD+40 1544                                                            |Pulsating Variable             |06 17 45.5894590416 +40 22 28.485623424|173.1546788316585 +11.3091620509342|   -5.934 0.512   |8.86     |M0             |    ~     ~    
1365|HD 43353                                                              |Star                           |06 17 46.7450692320 +40 11 19.047796404|173.3265451766507 +11.2305309767303|  -1.529 -2.470   |7.46     |B9             |    ~     ~    
1366|HD 43400                                                              |Star                           |06 17 56.9669804208 +40 43 35.907056616|172.8482518194241 +11.4962917907911|   1.170 -3.002   |9.53     |A0             |    ~     ~    
1367|BD+40 1547                                                            |Star                           |06 18 03.6076207704 +40 51 22.382976996|172.7387806235710 +11.5719497045741|  1.808 -15.550   |9.57     |K0             |    ~     ~    
1368|BD+40 1549                                                            |Star                           |06 18 12.5032508160 +40 27 45.988175628|173.1121740003410 +11.4246216939286|   0.929 -1.134   |9.99     |A0             |    ~     ~    
1369|BD+40 1552                                                            |Star                           |06 18 40.1256895488 +40 11 19.444119252|173.4026527777415 +11.3831748374316|  2.251 -12.056   |8.65     |M0             |    ~     ~    
1370|BD+40 1553                                                            |Star                           |06 18 54.2226309120 +40 31 19.691202792|173.1168363192721 +11.5694628208757|  -2.432 -6.213   |8.96     |K              |    ~     ~    
1371|BD+40 1555                                                            |Star                           |06 19 00.1061373696 +40 51 54.502926228|172.8100635065260 +11.7359755491621|  -6.921 -6.491   |9.38     |K0             |    ~     ~    
1372|HD 43622                                                              |Star                           |06 19 08.5234204296 +40 44 05.708515992|172.9415675626413 +11.7030747494073|  -3.692 -0.745   |9.58     |A0             |    ~     ~    
