C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:17:23

dec< 0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5506

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
1509|TYC 6303-2648-1                                                                                          |Star                              |19 42 13.1304131400 -18 38 09.849811740|021.3501632735822 -19.3322374971518|   3.838 -1.118   |10.30    |~              |    ~     ~          |    1| 1909.126   pc  | -76.5400    +76.5400    |paral   |2020yCat.1350....0G
1510|BD-20 5673                                                                                               |Star                              |19 43 09.1044191184 -19 48 21.112567020|020.2961527938639 -19.9893176506388|    4.599 7.762   |10.42    |~              |    ~     ~          |    1|  959.509   pc  | -13.9940    +13.9940    |paral   |2020yCat.1350....0G
1511|BD-19 5563                                                                                               |Star                              |19 43 14.7140621952 -18 50 04.352499960|021.2570927986559 -19.6334731048830|   1.966 -4.185   |10.33    |~              |    ~     ~          |    1|  531.632   pc  |  -4.5786     +4.5786    |paral   |2020yCat.1350....0G
1512|BD-19 5564                                                                                               |Star                              |19 43 26.7545411424 -18 47 14.035869924|021.3230115448385 -19.6587586567067| -1.799 -11.069   |10.70    |~              |    ~     ~          |    1|  847.099   pc  | -11.5530    +11.5530    |paral   |2020yCat.1350....0G
1513|BD-20 5676                                                                                               |Star                              |19 43 28.0060576776 -19 53 48.648467076|020.2370507313746 -20.0926728708561|  -8.223 -7.038   |10.85    |~              |    ~     ~          |    1|  929.368   pc  | -14.5106    +14.5106    |paral   |2020yCat.1350....0G
1514|BD-19 5566                                                                                               |Star                              |19 43 34.4602281432 -18 48 26.339127408|021.3159527326646 -19.6945780627190|   5.901 -4.202   |10.28    |~              |    ~     ~          |    1|  704.622   pc  |  -9.2348     +9.2348    |paral   |2020yCat.1350....0G
1515|BD-19 5567                                                                                               |Star                              |19 43 39.4983929760 -19 28 34.548962844|020.6686835982710 -19.9723484834259|   -1.356 0.216   |10.67    |~              |    ~     ~          |    1|  904.568   pc  | -14.0738    +14.0738    |paral   |2020yCat.1350....0G
1516|BD-19 5571                                                                                               |Star                              |19 43 57.2400847872 -19 12 51.727574628|020.9543257327878 -19.9354060886764|-16.015 -22.408   |10.60    |~              |    ~     ~          |    1|  625.469   pc  |  -6.2203     +6.2203    |paral   |2020yCat.1350....0G
1517|BD-18 5464                                                                                               |Star                              |19 43 59.1902129904 -18 38 03.237015804|021.5256737553429 -19.7169315630083|  -5.668 -6.879   |10.59    |~              |    ~     ~          |    1|  372.412   pc  |  -2.3023     +2.3023    |paral   |2020yCat.1350....0G
1518|BD-19 5573                                                                                               |Star                              |19 44 05.4070062912 -18 56 52.480631760|021.2287786845011 -19.8616827142212|   42.454 0.613   |10.90    |~              |    ~     ~          |    1|  116.980   pc  |  -0.2162     +0.2162    |paral   |2020yCat.1350....0G
1519|BD-20 5666                                                                                               |Star                              |19 42 23.5114854600 -20 26 12.793679052|019.6030411242649 -20.0664591307507|  0.111 -10.443   |9.85     |~              |    ~     ~          |    1|  704.821   pc  |  -9.1406     +9.1406    |paral   |2020yCat.1350....0G
1520|BD-20 5672                                                                                               |Star                              |19 43 01.9838 -20 22 54.046            |019.7184778 -20.1842363            |   -11.60 -1.00   |10.81    |~              |    ~     ~          |    0|                |                         |        |                   
1521|BD-20 5678                                                                                               |Star                              |19 43 55.7392043184 -20 09 10.131645024|020.0294376578849 -20.2910126629372| -3.642 -10.297   |10.98    |~              |    ~     ~          |    1|  840.972   pc  | -12.7302    +12.7302    |paral   |2020yCat.1350....0G
1522|HD 186400                                                                                                |Star                              |19 44 46.7928074016 -18 31 32.183901372|021.7099410348959 -19.8476256336867|   0.339 -9.970   |9.12     |G8IV           |    ~     ~          |    1|  361.988   pc  |  -7.2970     +7.2970    |ST-L    |2020AJ....160...83S
1523|BD-20 5679                                                                                               |Star                              |19 44 14.4004097352 -20 14 24.699038280|019.9730197876671 -20.3918199311414|   1.439 -1.962   |9.61     |K5             |    ~     ~          |    1| 1027.432   pc  | -17.6288    +17.6288    |paral   |2020yCat.1350....0G
1524|BD-19 5575                                                                                               |Star                              |19 44 23.9835783576 -19 39 03.036085272|020.5688040987344 -20.2007845242458|   -1.335 4.217   |10.38    |~              |    ~     ~          |    1|  499.351   pc  |  -4.4883     +4.4883    |paral   |2020yCat.1350....0G
1525|BD-20 5690                                                                                               |Star                              |19 44 59.1066718704 -19 55 38.232026796|020.3528800950778 -20.4339820378585|   3.759 10.643   |10.15    |~              |    ~     ~          |    1|  215.601   pc  |  -0.6554     +0.6554    |paral   |2020yCat.1350....0G
1526|BD-20 5680                                                                                               |Star                              |19 44 15.0985541616 -19 44 18.676422996|020.4682805279695 -20.2023057404861|    4.372 1.646   |10.14    |~              |    ~     ~          |    1|  716.897   pc  | -13.8250    +13.8250    |paral   |2020yCat.1350....0G
1527|BD-18 5466                                                                                               |Star                              |19 44 29.1577020360 -17 49 07.595242788|022.3713458621586 -19.5061198564869|  4.969 -16.471   |10.42    |~              |    ~     ~          |    1|  344.163   pc  |  -2.2150     +2.2150    |paral   |2020yCat.1350....0G
1528|BD-18 5468                                                                                               |Star                              |19 44 45.3269630376 -18 13 44.610931596|021.9975824685641 -19.7263062274742|  0.037 -10.119   |10.96    |~              |    ~     ~          |    1| 1460.707   pc  | -41.1797    +41.1797    |paral   |2020yCat.1350....0G
1529|BD-19 5579                                                                                               |Star                              |19 44 58.1550187896 -19 08 21.685767864|021.1267081717469 -20.1274141611557|   1.574 -1.120   |10.77    |~              |    ~     ~          |    1|  652.529   pc  |  -6.9830     +6.9830    |paral   |2020yCat.1350....0G
1530|BD-20 5689                                                                                               |Star                              |19 44 59.3135203056 -20 13 48.686649096|020.0543237000967 -20.5503425132480| -21.389 -4.902   |10.64    |~              |    ~     ~          |    1|  262.137   pc  |  -1.0101     +1.0101    |paral   |2020yCat.1350....0G
1531|BD-19 5577                                                                                               |Star                              |19 44 29.5221875280 -19 39 11.441226528|020.5754118605031 -20.2217449091976| -3.218 -10.133   |10.55    |~              |    ~     ~          |    1|  940.380   pc  | -14.5912    +14.5912    |paral   |2020yCat.1350....0G
1532|TYC 6303-2505-1                                                                                          |Star                              |19 42 53.2391323296 -18 10 38.016964848|021.8633021690937 -19.2979360496880|-12.448 -15.865   |10.23    |~              |    ~     ~          |    1|  948.047   pc  | -16.3580    +16.3580    |paral   |2020yCat.1350....0G
1533|TYC 6303-2584-1                                                                                          |Star                              |19 41 37.7579792016 -18 41 55.450254336|021.2311320899589 -19.2283125365891| -11.787 -8.085   |10.84    |~              |    ~     ~          |    1|  106.291   pc  |  -0.2384     +0.2384    |paral   |2020yCat.1350....0G
1534|TYC 6307-403-1                                                                                           |Star                              |19 41 43.0915387824 -19 39 56.056552812|020.2954415250719 -19.6239728245381|  4.095 -18.650   |10.84    |~              |    ~     ~          |    1|  399.202   pc  |  -2.2948     +2.2948    |paral   |2020yCat.1350....0G
1535|TYC 6307-1279-1                                                                                          |Star                              |19 42 09.8264402736 -19 50 39.590384172|020.1632629678515 -19.7896885191445|   3.393 -4.211   |10.79    |~              |    ~     ~          |    1|  447.808   pc  |  -7.9611     +7.9611    |paral   |2020yCat.1350....0G
1536|TYC 6307-2044-1                                                                                          |Star                              |19 42 59.6493138984 -20 09 29.961953136|019.9345892011965 -20.0904128519022|  15.588 -0.094   |10.81    |~              |    ~     ~          |    1|  382.321   pc  |  -2.4118     +2.4118    |paral   |2020yCat.1350....0G
1537|TYC 6307-2565-1                                                                                          |Star                              |19 41 53.4918637824 -20 18 14.126498136|019.6860356297946 -19.9072561266721| 14.280 -14.324   |10.63    |~              |    ~     ~          |    1|  401.978   pc  |  -3.0217     +3.0217    |paral   |2020yCat.1350....0G
1538|TYC 6316-2403-1                                                                                          |Star                              |19 44 18.4892155728 -18 21 20.602610928|021.8296161492632 -19.6782383405627|-24.439 -37.145   |10.98    |~              |    ~     ~          |    1|  233.574   pc  |  -1.2002     +1.2002    |paral   |2020yCat.1350....0G
1539|HD 183921                                                                                                |Star                              |19 32 26.0272676064 -15 45 05.545779948|023.1362658041125 -16.0329242028260|  12.897 -6.095   |7.88     |A2IV           |    ~     ~          |    1|  300.291   pc  |  -2.6241     +2.6241    |paral   |2020yCat.1350....0G
1540|HD 183430                                                                                                |Star                              |19 30 02.1558227664 -15 58 32.243722140|022.6770319516695 -15.5999215982882|  9.349 -10.985   |7.69     |B9V            |    ~     ~          |    1|  189.329   pc  |  -1.1757     +1.1757    |paral   |2020yCat.1350....0G
1541|HD 183464                                                                                                |Star                              |19 30 16.7343180744 -16 09 10.020798360|022.5343676694774 -15.7261097921143|  9.257 -27.637   |9.53     |K2III          |    ~     ~          |    1|  447.107   pc  |  -2.6787     +2.6787    |paral   |2020yCat.1350....0G
1542|HD 183498                                                                                                |Star                              |19 30 30.2273553504 -16 34 03.507520368|022.1642202945281 -15.9456780703748| -31.530 -8.184   |9.72     |G0V            |    ~     ~          |    1|  166.464   pc  |  -0.4101     +0.4101    |paral   |2020yCat.1350....0G
1543|HD 183522                                                                                                |Star                              |19 30 36.7971184776 -16 49 07.587145812|021.9369936083953 -16.0723688976829|   9.079 -1.035   |10.79    |B9V            |    ~     ~          |    1|  522.794   pc  | -16.7814    +16.7814    |paral   |2020yCat.1350....0G
1544|HD 183570                                                                                                |Star                              |19 30 46.7387382624 -16 10 00.529357872|022.5724195306820 -15.8413268005692|  -1.555 -9.099   |7.44     |B5III          |    ~     ~          |    1|  614.779   pc  | -16.3276    +16.3276    |paral   |2020yCat.1350....0G
1545|HD 183691                                                                                                |Star                              |19 31 15.7817024256 -16 23 50.710275276|022.4033427157550 -16.0419296022360|   3.350 -3.272   |8.41     |B9IV           |    ~     ~          |    1|  675.721   pc  | -12.0999    +12.0999    |paral   |2020yCat.1350....0G
1546|HD 183689                                                                                                |Star                              |19 31 15.7011414792 -15 54 56.508741900|022.8599360923938 -15.8436651939375| -3.316 -18.896   |10.17    |K2III          |    ~     ~          |    1|  514.112   pc  |  -5.2862     +5.2862    |paral   |2020yCat.1350....0G
1547|HD 183690                                                                                                |Star                              |19 31 19.2941963136 -16 08 28.741791228|022.6522804034046 -15.9496167897076|  -0.818 -9.142   |10.45    |A2/3(IV)       |    ~     ~          |    1|  357.820   pc  |  -2.7272     +2.7272    |paral   |2020yCat.1350....0G
1548|HD 183739                                                                                                |Star                              |19 31 32.1658207344 -15 59 25.377621144|022.8174063130672 -15.9345254217022|  6.509 -10.360   |9.93     |K0/1           |    ~     ~          |    1|  840.054   pc  | -12.9847    +12.9847    |paral   |2020yCat.1350....0G
1549|HD 183945                                                                                                |Star                              |19 32 30.7057011792 -16 16 21.103470084|022.6497635664733 -16.2640184719332| -0.160 -11.499   |9.65     |B9/9.5V        |    ~     ~          |    1|  470.455   pc  |  -5.0906     +5.0906    |paral   |2020yCat.1350....0G
1550|HD 183962                                                                                                |Star                              |19 32 38.9588680344 -16 19 11.930106324|022.6187444204422 -16.3135625896328|   16.571 3.360   |9.47     |F8V            |    ~     ~          |    1|  139.383   pc  |  -1.3172     +1.3172    |paral   |2020yCat.1350....0G
1551|HD 183407                                                                                                |Star                              |19 30 03.2021173368 -17 33 40.358114964|021.1743170038980 -16.2526222266315| -5.500 -19.202   |8.58     |K1III          |    ~     ~          |    1|  419.956   pc  |  -3.6684     +3.6684    |paral   |2020yCat.1350....0G
1552|HD 183543                                                                                                |Star                              |19 30 47.2060716744 -17 12 02.314809936|021.5915651813786 -16.2659567255245|  -1.730 13.359   |8.60     |G8III/IV       |    ~     ~          |    1|  343.702   pc  |  -3.0478     +3.0478    |paral   |2020yCat.1350....0G
1553|HD 183599                                                                                                |Star                              |19 30 53.8619264112 -16 45 12.405579552|022.0280028261969 -16.1077993592480|   7.236 -3.402   |8.77     |K0III          |    ~     ~          |    1|  316.937   pc  |  -2.4208     +2.4208    |paral   |2020yCat.1350....0G
1554|HD 183600                                                                                                |High Proper Motion Star           |19 30 56.0653591944 -17 14 10.318890372|021.5726675917191 -16.3126308760793| 47.827 -59.683   |8.79     |G1V            |    ~     ~          |    1|  103.909   pc  |  -0.2159     +0.2159    |paral   |2020yCat.1350....0G
1555|HD 183633                                                                                                |Star                              |19 31 07.1003014824 -16 42 08.871921612|022.0989120388350 -16.1351715716212|   2.874 -0.287   |9.55     |K2/3(III)      |    ~     ~          |    1|  972.668   pc  | -13.0559    +13.0559    |paral   |2020yCat.1350....0G
1556|HD 183664                                                                                                |Star                              |19 31 14.0115612912 -16 56 47.431049748|021.8786377799800 -16.2599601807781| -5.092 -20.738   |10.37    |F3/5V          |    ~     ~          |    1|  342.618   pc  |  -2.5590     +2.5590    |paral   |2020yCat.1350....0G
1557|HD 183692                                                                                                |Star                              |19 31 25.4080658304 -17 40 24.190233960|021.2052962762120 -16.5965357799122|-14.990 -19.149   |8.84     |F3V            |    ~     ~          |    1|  182.695   pc  |  -0.5908     +0.5908    |paral   |2020yCat.1350....0G
1558|HD 183740                                                                                                |Star                              |19 31 36.0195434208 -17 16 36.005313324|021.6014593376078 -16.4743407358087|    3.027 5.611   |9.93     |F3/5V          |    ~     ~          |    1|  366.690   pc  |  -2.4741     +2.4741    |paral   |2020yCat.1350....0G
1559|HD 183762                                                                                                |Star                              |19 31 38.5593367704 -17 19 50.444421456|021.5542561800860 -16.5054957558250|  11.004 -0.414   |9.62     |G8/K0III       |    ~     ~          |    1|  488.735   pc  |  -3.7501     +3.7501    |paral   |2020yCat.1350....0G
1560|HD 183761                                                                                                |Star                              |19 31 41.6825794968 -17 13 49.004477040|021.6552089395783 -16.4760966809745|    4.867 9.001   |8.90     |B2III          |    ~     ~          |    1| 1919.754   pc  |-148.1553   +148.1553    |paral   |2020yCat.1350....0G
1561|HD 183820                                                                                                |Double or Multiple Star           |19 31 59.043672 -16 48 52.90812        |022.080319433 -16.370172112        |      0.4 -89.7   |8.87     |G6IV           |    ~     ~          |    0|                |                         |        |                   
1562|HD 183896                                                                                                |Star                              |19 32 25.6753673856 -17 50 35.101887972|021.1439734667145 -16.8838349856491|   18.191 1.632   |10.62    |F0V            |    ~     ~          |    1|  374.546   pc  |  -2.8899     +2.8899    |paral   |2020yCat.1350....0G
1563|HD 183408                                                                                                |Star                              |19 30 08.5475788968 -18 14 35.430327060|020.5330941507701 -16.5478121654211| -5.218 -13.418   |7.70     |Fm_dD          |    ~     ~          |    1|  136.799   pc  | -10.3788    +10.3788    |paral   |2020yCat.1350....0G
1564|HD 183482                                                                                                |Star                              |19 30 27.9186386280 -18 09 45.811262988|020.6421469257117 -16.5855659072991|-25.908 -31.190   |9.30     |K0III          |    ~     ~          |    1|  439.734   pc  |  -4.0027     +4.0027    |paral   |2020yCat.1350....0G
1565|HD 183483                                                                                                |Star                              |19 30 33.6710013336 -18 13 31.584751824|020.5918189455497 -16.6316707223034|  -2.522 -8.108   |8.79     |K0III          |    ~     ~          |    1|  380.967   pc  |  -3.0624     +3.0624    |paral   |2020yCat.1350....0G
1566|HD 183523                                                                                                |Star                              |19 30 40.1772857808 -18 01 26.678030484|020.7949543924197 -16.5740871843882|   0.200 -5.816   |10.61    |A2III          |    ~     ~          |    1| 1353.180   pc  | -30.5793    +30.5793    |paral   |2020yCat.1350....0G
1567|HD 183621                                                                                                |Star                              |19 31 07.0988156400 -17 54 22.489963092|020.9523844681060 -16.6241675730205|   8.101 -3.423   |10.32    |K0             |    ~     ~          |    1|  732.815   pc  |  -9.3978     +9.3978    |paral   |2020yCat.1350....0G
1568|HD 183634                                                                                                |Star                              |19 31 16.0292331192 -18 05 31.894582740|020.7896417256610 -16.7315194031384|  19.586 -2.084   |10.44    |G/K(+)A/F      |    ~     ~          |    1|  324.644   pc  | -17.4321    +17.4321    |paral   |2020yCat.1350....0G
1569|TYC 6298-1063-1                                                                                          |Star                              |19 30 13.4428366224 -16 13 34.639332780|022.4591352865378 -15.7443531861042|   0.505 -1.086   |10.38    |~              |    ~     ~          |    1|  919.540   pc  | -13.6134    +13.6134    |paral   |2020yCat.1350....0G
1570|BD-17 5648                                                                                               |Star                              |19 30 44.6715932352 -17 01 29.452665504|021.7544966689263 -16.1851375958090|  -1.629 -6.279   |10.88    |~              |    ~     ~          |    1| 1625.223   pc  | -58.9021    +58.9021    |paral   |2020yCat.1350....0G
1571|TYC 6298-51-1                                                                                            |Star                              |19 31 29.6036692104 -16 29 37.570578540|022.3354187788733 -16.1317898821395|  -6.418 -5.082   |10.84    |~              |    ~     ~          |    1| 1444.500   pc  |-128.5000   +128.5000    |ST-L    |2020AJ....160...83S
1572|BD-18 5405                                                                                               |Star                              |19 32 06.0052777800 -18 08 46.184331120|020.8211919188342 -16.9344187680436| 12.627 -11.566   |10.59    |~              |    ~     ~          |    1|  394.337   pc  |  -2.1148     +2.1148    |paral   |2020yCat.1350....0G
1573|BD-17 5661                                                                                               |Spectroscopic Binary              |19 32 17.0386149672 -17 16 54.450715404|021.6656516290086 -16.6255821002418|   2.545 -0.441   |10.31    |~              |    ~     ~          |    1| 1224.290   pc  | -26.6802    +26.6802    |paral   |2020yCat.1350....0G
1574|BD-17 5662                                                                                               |Star                              |19 32 17.0362610208 -16 57 09.774137304|021.9793646056955 -16.4919051603554|   -3.062 3.963   |10.61    |~              |    ~     ~          |    1|  793.777   pc  | -15.5000    +15.5000    |paral   |2020yCat.1350....0G
1575|TYC 6298-1137-1                                                                                          |Star                              |19 32 21.4905516264 -16 31 30.389723076|022.3939425643080 -16.3337568261104|   9.758 -0.638   |10.57    |~              |    ~     ~          |    1| 1876.877   pc  | -73.6237    +73.6237    |paral   |2020yCat.1350....0G
1576|TYC 6298-361-1                                                                                           |Star                              |19 32 28.7922464904 -16 45 10.403366436|022.1895879043923 -16.4533387446692|   0.764 -8.578   |10.5     |~              |    ~     ~          |    1| 1083.776   pc  | -20.5550    +20.5550    |paral   |2020yCat.1350....0G
1577|TYC 6298-589-1                                                                                           |Star                              |19 32 34.7783393784 -16 34 15.493421964|022.3729102672679 -16.4009342477107|   -2.622 1.489   |10.52    |~              |    ~     ~          |    1|  770.001   pc  |  -8.8342     +8.8342    |paral   |2020yCat.1350....0G
1578|HD 184616                                                                                                |Star                              |19 35 49.4478345552 -15 33 34.550803476|023.6684328223411 -16.6979149632168|  -5.694 -7.737   |9.707    |G8IV           |    ~     ~          |    1|  388.649   pc  |  -8.5950     +8.5950    |ST-L    |2020AJ....160...83S
1579|HD 185128                                                                                                |Star                              |19 38 07.4530492536 -15 31 16.679576352|023.9424216582779 -17.1874945012339|-31.914 -24.742   |9.96     |F6/7V          |    ~     ~          |    1|  232.937   pc  |  -0.7379     +0.7379    |paral   |2020yCat.1350....0G
1580|HD 185178                                                                                                |Star                              |19 38 20.8640685336 -15 27 30.879203184|024.0254071175283 -17.2109340280290|  -6.048 -8.335   |9.69     |G8/K0IV        |    ~     ~          |    1|  453.968   pc  |  -3.8744     +3.8744    |paral   |2020yCat.1350....0G
1581|HD 185317                                                                                                |Star                              |19 39 04.7572895736 -15 29 57.259373100|024.0621116768158 -17.3883910699532| -19.004 23.081   |10.01    |K0IV           |    ~     ~          |    1|   60.078   pc  |  -0.0509     +0.0509    |paral   |2020yCat.1350....0G
1582|HD 185629                                                                                                |Star                              |19 40 35.0669756544 -15 32 53.571446628|024.1705594121741 -17.7393337310508| -2.568 -15.370   |9.00     |K1III          |    ~     ~          |    1|  555.340   pc  |  -4.5335     +4.5335    |paral   |2020yCat.1350....0G
1583|HD 185643                                                                                                |Star                              |19 40 38.3676220920 -15 28 00.573139920|024.2542443826243 -17.7182173413538|    5.687 1.059   |10.14    |G8/K0(III)     |    ~     ~          |    1|  714.745   pc  |  -7.5097     +7.5097    |paral   |2020yCat.1350....0G
1584|HD 185707                                                                                                |High Proper Motion Star           |19 41 00.2539128216 -15 24 16.403213916|024.3516117575536 -17.7730335459766| 90.247 -22.668   |8.24     |G5V            |    ~     ~          |    1|   49.151   pc  |  -0.0517     +0.0517    |paral   |2020yCat.1350....0G
1585|HD 184208                                                                                                |Star                              |19 33 50.4620119848 -15 49 27.370864524|023.2122325256958 -16.3714162529978|   -0.230 7.142   |8.18     |K1IIICNII      |    ~     ~          |    1|  366.099   pc  |  -3.9136     +3.9136    |paral   |2020yCat.1350....0G
1586|HD 184282                                                                                                |Star                              |19 34 19.4633370984 -15 49 49.032723648|023.2562723209801 -16.4798949341628|  23.119 -2.564   |9.87     |F3V            |    ~     ~          |    1|  156.216   pc  |  -0.3905     +0.3905    |paral   |2020yCat.1350....0G
1587|HD 184617                                                                                                |High Proper Motion Star           |19 35 53.2408455384 -15 42 38.609009172|023.5310363741300 -16.7738008504896|  0.456 -55.206   |9.44     |K1(III)        |    ~     ~          |    1|  294.213   pc  |  -1.1859     +1.1859    |paral   |2020yCat.1350....0G
1588|HD 184747                                                                                                |Star                              |19 36 28.3660643376 -15 45 42.883766316|023.5425429923112 -16.9232770767762|   -3.219 3.373   |9.58     |M1/2(III)      |    ~     ~          |    1| 1197.605   pc  | -41.5935    +41.5935    |paral   |2020yCat.1350....0G
1589|HD 184861                                                                                                |Star                              |19 36 59.8624168488 -15 43 56.451642132|023.6247965004487 -17.0264233895117|   1.287 -5.362   |10.01    |G8IV/V         |    ~     ~          |    1| 1028.489   pc  | -40.3018    +40.3018    |paral   |2020yCat.1350....0G
1590|HD 185129                                                                                                |Star                              |19 38 11.8711631856 -15 48 25.159990572|023.6769958480024 -17.3204590576078|   7.021 -4.134   |9.84     |B9IV/V         |    ~     ~          |    1|  649.688   pc  |  -9.6238     +9.6238    |paral   |2020yCat.1350....0G
1591|HD 185402                                                                                                |Star                              |19 39 26.9486903064 -15 52 35.933456496|023.7389041319818 -17.6236605746687| -21.689 -0.085   |9.74     |F7V            |    ~     ~          |    1|  206.765   pc  |  -1.0389     +1.0389    |paral   |2020yCat.1350....0G
1592|HD 185590                                                                                                |Star                              |19 40 21.1049541432 -15 48 34.455399804|023.8959588879122 -17.7946544549366|  -2.751 -4.043   |8.64     |G8IV           |    ~     ~          |    1|  686.766   pc  | -12.7816    +12.7816    |paral   |2020yCat.1350....0G
1593|HD 183996                                                                                                |Star                              |19 32 48.8221813128 -15 55 11.368573140|023.0157454015336 -16.1854427128442|  -1.254 -2.496   |10.44    |A0III          |    ~     ~          |    1| 1454.969   pc  | -50.3830    +50.3830    |paral   |2020yCat.1350....0G
1594|HD 184017                                                                                                |Star                              |19 32 56.2101887352 -16 18 46.708995240|022.6548294175749 -16.3736380417868| -1.771 -12.866   |9.62     |K0III/IV       |    ~     ~          |    1|  497.043   pc  |  -4.9410     +4.9410    |paral   |2020yCat.1350....0G
1595|V* V3790 Sgr                                                                                             |Long-Period Variable Candidate    |19 33 20.3436287328 -16 36 36.532878120|022.4130282898239 -16.5830373100659|  1.241 -25.393   |7.68     |M2III          |    ~     ~          |    1|  459.369   pc  |  -6.9003     +6.9003    |paral   |2020yCat.1350....0G
1596|HD 184076                                                                                                |Star                              |19 33 18.0693360456 -15 57 13.389091452|023.0336864994864 -16.3062034526426|  0.993 -14.114   |10.59    |A9/F0V         |    ~     ~          |    1|  440.995   pc  |  -7.7791     +7.7791    |paral   |2020yCat.1350....0G
1597|HD 184223A                                                                                               |Star                              |19 33 57.7485503655 -16 16 26.016932323|022.7969792004557 -16.5822465592597|   2.443 -7.114   |8.83     |K1III          |    ~     ~          |    1|  505.74    pc  |  -4.9364     +4.9364    |paral   |2020yCat.1350....0G
1598|HD 184266                                                                                                |Horizontal Branch Star            |19 34 15.3865887336 -16 19 00.228534420|022.7862477432745 -16.6641309689122|130.058 -198.548  |7.57     |F2V            |    ~     ~          |    1|  224.090   pc  |  -1.2052     +1.2052    |paral   |2020yCat.1350....0G
1599|HD 184390                                                                                                |Star                              |19 34 46.7058441888 -16 31 28.481732724|022.6413326947912 -16.8631687628158|    3.714 1.555   |10.88    |A2IV           |    ~     ~          |    0|                |                         |        |                   
1600|HD 184413                                                                                                |Star                              |19 34 51.8949482472 -16 07 16.771455336|023.0347448563292 -16.7176156010944| -15.411 -9.612   |10.03    |K1(III)        |    ~     ~          |    1|  826.173   pc  | -12.0131    +12.0131    |paral   |2020yCat.1350....0G
1601|HD 184433                                                                                                |Star                              |19 35 01.6038426168 -16 46 25.186026036|022.4286934307864 -17.0187442285887|  10.256 -1.838   |10.84    |F6/G0          |    ~     ~          |    1|  245.447   pc  |  -0.7350     +0.7350    |paral   |2020yCat.1350....0G
1602|HD 184493                                                                                                |Star                              |19 35 17.0580078480 -16 28 47.502418764|022.7356059399619 -16.9557295275444|   0.257 -1.594   |10.30    |G8/K0          |    ~     ~          |    1|  810.110   pc  | -13.0599    +13.0599    |paral   |2020yCat.1350....0G
1603|HD 184665                                                                                                |Red Giant Branch star Candidate   |19 36 04.6198385592 -16 34 30.061365456|022.7254402225407 -17.1679909597261| 12.463 -26.897   |9.85     |K0III          |    ~     ~          |    1|  333.078   pc  |  -1.7196     +1.7196    |paral   |2020yCat.1350....0G
1604|HD 184771                                                                                                |Star                              |19 36 34.9353385680 -16 01 09.230257956|023.3082410914601 -17.0524850778677|   9.433 -6.545   |10.24    |M0/1           |    ~     ~          |    1| 1493.429   pc  | -50.8515    +50.8515    |paral   |2020yCat.1350....0G
1605|HD 184862                                                                                                |Star                              |19 37 03.7801296096 -16 26 55.908687192|022.9466209431899 -17.3327649758134|  3.429 -22.566   |9.48     |A9IV(m)        |    ~     ~          |    1|  236.843   pc  |  -0.7405     +0.7405    |paral   |2020yCat.1350....0G
1606|HD 184892                                                                                                |High Proper Motion Star           |19 37 10.8956854920 -16 34 11.478378396|022.8428245446524 -17.4078220029785| -86.943 -7.223   |10.13    |G1V            |    ~     ~          |    1|  171.999   pc  |  -0.9260     +0.9260    |paral   |2020yCat.1350....0G
1607|HD 184919                                                                                                |Star                              |19 37 12.3269002632 -16 22 07.331959524|023.0378907190210 -17.3314338688393|   -1.108 3.696   |9.62     |Fm_dD          |    ~     ~          |    1|  313.322   pc  |  -1.5904     +1.5904    |paral   |2020yCat.1350....0G
1608|HD 185006                                                                                                |Eclipsing Binary                  |19 37 40.0630549920 -16 27 09.117078300|023.0047518222506 -17.4667746367591|  -6.489 -4.614   |9.12     |K1III          |    ~     ~          |    1|  404.384   pc  |  -2.6982     +2.6982    |paral   |2020yCat.1350....0G
1609|HD 185249                                                                                                |High Proper Motion Star           |19 38 50.0988044736 -16 07 31.704846168|023.4374397563122 -17.5900141882752|-13.333 -52.374   |10.40    |G8/K1(III)     |    ~     ~          |    1|  605.877   pc  |  -6.9747     +6.9747    |paral   |2020yCat.1350....0G
1610|HD 185300                                                                                                |Star                              |19 39 02.3863433616 -16 19 07.214196396|023.2730713706448 -17.7133388634703| -1.240 -18.651   |10.22    |K2/3(III)      |    ~     ~          |    1|  812.480   pc  | -10.3639    +10.3639    |paral   |2020yCat.1350....0G
1611|HD 185424                                                                                                |Star                              |19 39 39.9048714240 -16 25 11.367436476|023.2396994628074 -17.8914389372981|  1.062 -22.568   |9.76     |F6V            |    ~     ~          |    1|  136.364   pc  |  -0.2957     +0.2957    |paral   |2020yCat.1350....0G
1612|HD 185444                                                                                                |Star                              |19 39 42.8598737616 -16 01 47.297334432|023.6192467262373 -17.7441737753027|   3.944 -2.331   |10.22    |F3V            |    ~     ~          |    1|  424.412   pc  |  -3.8547     +3.8547    |paral   |2020yCat.1350....0G
