C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:17:23

dec< 0&rah >=19.5&rah< 19.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5506

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |      ang. size      |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------------|-----|----------------|-------------------------|--------|-------------------
23  |CD-42 14290                                                                                              |Star                              |19 33 16.3626428592 -42 15 19.249394832|356.5027998331401 -25.2264454668784| -4.343 -30.032   |10.38    |~              |    ~     ~          |    1|  740.905   pc  |  -9.1124     +9.1124    |paral   |2020yCat.1350....0G
24  |HD 185201                                                                                                |Star                              |19 39 37.6477347024 -39 29 29.345991864|359.8023279053923 -25.6798866396909|-19.452 -21.197   |8.73     |G3V            |    ~     ~          |    1|   68.006   pc  |  -0.0731     +0.0731    |paral   |2020yCat.1350....0G
25  |HD 184019                                                                                                |Spectroscopic Binary              |19 34 01.8142701696 -39 47 10.753135116|359.1729694751871 -24.7187439749527|  0.979 -16.750   |8.04     |K2III          |    ~     ~          |    1|  492.078   pc  |  -6.1504     +6.1504    |paral   |2020yCat.1350....0G
26  |HD 184970                                                                                                |Star                              |19 38 35.9058374040 -39 37 18.672836268|359.6055484165993 -25.5222660468136|   6.995 -9.125   |9.16     |M0/1(III)      |    ~     ~          |    1| 1290.323   pc  | -39.9584    +39.9584    |paral   |2020yCat.1350....0G
27  |HD 184190                                                                                                |Star                              |19 34 55.2809531856 -39 47 26.248329312|359.2191025885061 -24.8847835207008| -3.216 -11.068   |9.74     |A7/9s(w)       |    ~     ~          |    1|  236.911   pc  |  -0.9205     +0.9205    |paral   |2020yCat.1350....0G
28  |HD 184286                                                                                                |Star                              |19 35 25.3998679392 -39 51 28.725591420|359.1758967286656 -24.9956498136367|  -3.759 -8.852   |8.56     |G6/8III        |    ~     ~          |    1|  319.928   pc  |  -2.4156     +2.4156    |paral   |2020yCat.1350....0G
29  |HD 184711                                                                                                |High Proper Motion Star           |19 37 11.9255166816 -39 44 37.003574832|359.3973943500037 -25.2942466874437|  2.830 -51.671   |8.05     |G5wA/F         |    ~     ~          |    1| 1002.305   pc  | -26.2205    +26.2205    |paral   |2020yCat.1350....0G
30  |HD 184868                                                                                                |Star                              |19 38 09.6656549112 -39 44 44.545566480|359.4487712183416 -25.4733260558114|   5.860 -9.958   |9.54     |K0             |    ~     ~          |    1|  770.297   pc  | -10.0277    +10.0277    |paral   |2020yCat.1350....0G
31  |V* V4089 Sgr                                                                                             |Eclipsing Binary                  |19 34 08.4856054632 -40 02 04.702519428|358.9158855523734 -24.8060377559026|   4.196 -2.713   |5.91     |A2V            |    ~     ~          |    1|  152.386   pc  |  -1.6928     +1.6928    |paral   |2020yCat.1350....0G
32  |HD 184346                                                                                                |High Proper Motion Star           |19 35 50.0982122472 -40 29 51.772322148|358.5171298828169 -25.2399162175337|-11.284 -49.603   |8.93     |F2/5+G2/8(III) |    ~     ~          |    1|  130.489   pc  |  -1.5563     +1.5563    |paral   |2020yCat.1350....0G
