C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
2337|NGC 2244 211                       NGC 2244 211                                                                                             |Star                              |06 32 15.8969190168 +04 42 11.417096088|206.5576841036328 -02.1049165772620|   3.859 -0.696  |14.24    |~                  |    ~     ~    |    1| 2333.178   pc  |-122.4837   +122.4837  |paral   |2020yCat.1350....0G
2338|NGC 2244 286                       NGC 2244 286                                                                                             |Star                              |06 32 23.5061535888 +04 40 25.505486040|206.5983829080217 -02.0904301424750|  -9.194 -8.792  |12.37    |~                  |    ~     ~    |    1|  613.949   pc  |  -7.1994     +7.1994  |paral   |2020yCat.1350....0G
2339|NGC 2244 288                       HD 259270                                                                                                |Young Stellar Object              |06 32 21.9999140064 +04 39 45.980438688|206.6052492298094 -02.1010408126281|  -1.661 -3.717  |10.60    |B9V                |    ~     ~    |    1|  850.774   pc  | -18.0230    +18.0230  |paral   |2020yCat.1350....0G
2340|NGC 2244 287                       NGC 2244 287                                                                                             |Star                              |06 32 21.3195435048 +04 40 08.358801888|206.5984257487017 -02.1006839965716|    1.935 2.840  |13.94    |~                  |    ~     ~    |    1|  416.684   pc  |  -3.1600     +3.1600  |paral   |2020yCat.1350....0G
2341|NGC 2244 146                       NGC 2244 146                                                                                             |Star                              |06 31 46.6398044256 +04 39 35.084262780|206.5402058132844 -02.2327543556596| 12.639 -18.818  |13.16    |~                  |    ~     ~    |    1|  471.542   pc  |  -3.5799     +3.5799  |paral   |2020yCat.1350....0G
2342|NGC 2244 216                       NGC 2244 216                                                                                             |Star                              |06 32 09.1935078282 +04 38 39.939602467|206.5970151581229 -02.1566948455569|   -1.062 0.767  |13.77    |~                  |    ~     ~    |    1| 1501.5     pc  | -45.9919    +45.9919  |paral   |2020yCat.1350....0G
2343|NGC 2244 147                       NGC 2244 147                                                                                             |Star                              |06 31 55.2427292712 +04 37 59.628627048|206.5802359450131 -02.2132726118553|   0.490 -1.453  |13.12    |~                  |    ~     ~    |    1| 1393.728   pc  | -26.6120    +26.6120  |paral   |2020yCat.1350....0G
2344|NGC 2244 214                       NGC 2244 214                                                                                             |Star                              |06 31 59.5431415632 +04 39 19.238996952|206.5688352072731 -02.1872302050628|  -0.493 -1.854  |13.74    |~                  |    ~     ~    |    1|  924.898   pc  | -41.4031    +41.4031  |paral   |2020yCat.1350....0G
2345|2MASS J06325401+0438283                                                                                                                     |Young Stellar Object              |06 32 54.0162454488 +04 38 28.240803276|206.6857213114591 -01.9929774256693|  -0.532 -1.623  |10.16    |G5                 |    ~     ~    |    1| 1667.779   pc  | -59.8019    +59.8019  |paral   |2020yCat.1350....0G
2346|NGC 2244 277                       NGC 2244 277                                                                                             |Orion Variable                    |06 32 32.6942940888 +04 44 55.912794108|206.5492684020220 -02.0219566033940|  -1.699 -3.492  |12.80    |~                  |    ~     ~    |    1| 1338.509   pc  | -38.6987    +38.6987  |paral   |2020yCat.1350....0G
2347|NGC 2244 341                       NGC 2244 341                                                                                             |Star                              |06 32 40.5740451048 +04 40 41.211982884|206.6271863441845 -02.0255119371400|   0.627 -6.557  |13.73    |~                  |    ~     ~    |    1| 1045.478   pc  | -23.1721    +23.1721  |paral   |2020yCat.1350....0G
2348|NGC 2244 281                       2MASS J06323294+0444142                                                                                  |Young Stellar Object              |06 32 32.9382026064 +04 44 14.246397276|206.5600139338320 -02.0263906568719|   1.800 -4.015  |13.10    |~                  |    ~     ~    |    1| 1043.623   pc  | -21.2384    +21.2384  |paral   |2020yCat.1350....0G
2349|NGC 2244 278                       NGC 2244 278                                                                                             |Star                              |06 32 33.2041388832 +04 44 53.320251264|206.5508840348279 -02.0204094946582|  1.783 -24.875  |10.39    |K5                 |    ~     ~    |    1|  361.272   pc  |  -2.6234     +2.6234  |paral   |2020yCat.1350....0G
2350|NGC 2244 313                       NGC 2244 313                                                                                             |Star                              |06 32 50.9889805368 +04 57 09.126296892|206.4034193434055 -01.8607013747244|   2.043 -2.478  |14.24    |~                  |    ~     ~    |    1|  975.610   pc  | -17.9893    +17.9893  |paral   |2020yCat.1350....0G
2351|NGC 2244 307                       NGC 2244 307                                                                                             |Star                              |06 32 50.7225608208 +04 58 55.571237076|206.3766533501560 -01.8480592324276|  -0.545 -4.594  |14.06    |~                  |    ~     ~    |    1| 1045.478   pc  | -21.5326    +21.5326  |paral   |2020yCat.1350....0G
2352|NGC 2244 129                       NGC 2244 129                                                                                             |Star                              |06 31 41.8593246240 +04 55 31.088702964|206.2952355394987 -02.1279171824180|   1.154 -3.961  |11.808   |K4III              |    ~     ~    |    1| 1026.273   pc  | -17.9050    +17.9050  |paral   |2020yCat.1350....0G
2353|NGC 2244 133                       NGC 2244 133                                                                                             |Young Stellar Object              |06 31 41.9260002023 +04 52 32.957139096|206.3392987457796 -02.1504911525338|   -1.741 0.335  |11.72    |A2V                |    ~     ~    |    1| 1445.5     pc  | -36.1481    +36.1481  |paral   |2020yCat.1350....0G
2354|NGC 2244 316                       NGC 2244 316                                                                                             |Star                              |06 32 49.5246320136 +04 55 58.548000072|206.4180264209108 -01.8751294930165|  -0.495 -1.452  |14.37    |~                  |    ~     ~    |    0|                |                       |        |                   
2355|NGC 2244 318                       NGC 2244 318                                                                                             |Star                              |06 32 49.50 +04 54 03.9                |206.44626 -01.88989                |            ~ ~  |14.33    |~                  |    ~     ~    |    0|                |                       |        |                   
2356|NGC 2244 317                       NGC 2244 317                                                                                             |Star                              |06 32 46.6773073920 +04 55 39.533033172|206.4172677261160 -01.8880537032806|   4.767 20.541  |11.86    |~                  |    ~     ~    |    1|  609.496   pc  |  -4.5321     +4.5321  |paral   |2020yCat.1350....0G
2357|NGC 2244 119                       NGC 2244 119                                                                                             |Young Stellar Object              |06 31 55.1127938870 +04 57 19.399962618|206.2939100105479 -02.0652244391815|   -1.759 0.445  |12.353   |B6V                |    ~     ~    |    1| 1430.82    pc  | -34.8032    +34.8032  |paral   |2020yCat.1350....0G
2358|NGC 2244 338                       NGC 2244 338                                                                                             |Star                              |06 32 49.8441472128 +04 43 30.963773820|206.6030534804146 -01.9696223721256|  -0.231 -2.683  |13.69    |~                  |    ~     ~    |    1| 1624.168   pc  |-135.0615   +135.0615  |paral   |2020yCat.1350....0G
2359|NGC 2244 194                       2MASS J06321548+0455203                                                                                  |Young Stellar Object              |06 32 15.4828528224 +04 55 20.392268772|206.3622736613545 -02.0054286978381|   -1.731 0.193  |12.006   |B6Vne              |    ~     ~    |    1| 1664.447   pc  | -62.6107    +62.6107  |paral   |2020yCat.1350....0G
2360|NGC 2244 209                       NGC 2244 209                                                                                             |Star                              |06 32 05.6443787280 +04 45 34.840744704|206.4878677499969 -02.1166541691337|  -1.174 -2.172  |14.30    |~                  |    ~     ~    |    1| 1329.434   pc  | -34.8177    +34.8177  |paral   |2020yCat.1350....0G
2361|NGC 2244 183                       NGC 2244 183                                                                                             |Young Stellar Object Candidate    |06 32 03.6135645120 +04 57 32.370622884|206.3069919854012 -02.0322507838015|   3.509 -2.904  |10.69    |A2V                |    ~     ~    |    1| 1067.806   pc  | -22.5761    +22.5761  |paral   |2020yCat.1350....0G
2362|NGC 2244 198                       NGC 2244 198                                                                                             |Star                              |06 32 07.3906603568 +04 54 55.892896056|206.3528206320942 -02.0383767430380|   -1.852 0.191  |12.660   |B8                 |    ~     ~    |    1| 1539.88    pc  | -40.5482    +40.5482  |paral   |2020yCat.1350....0G
2363|NGC 2244 339                       2MASS J06325190+0442545                                                                                  |Young Stellar Object              |06 32 51.9067529760 +04 42 54.585596556|206.6159756261177 -01.9666749862219|  -0.139 -1.801  |13.73    |~                  |    ~     ~    |    1| 1919.386   pc  | -58.5763    +58.5763  |paral   |2020yCat.1350....0G
2364|NGC 2244 212                       NGC 2244 212                                                                                             |Star                              |06 31 59.5338782472 +04 41 29.094434988|206.5367839223370 -02.1706375738910|   1.960 -2.082  |12.11    |~                  |    ~     ~    |    1| 1994.813   pc  |-127.7349   +127.7349  |paral   |2020yCat.1350....0G
2365|NGC 2244 285                       NGC 2244 285                                                                                             |Star                              |06 32 19.3809654648 +04 41 02.272686072|206.5814133011797 -02.1009275941347|   0.675 -4.294  |13.98    |~                  |    ~     ~    |    1| 1053.963   pc  | -20.2172    +20.2172  |paral   |2020yCat.1350....0G
2366|NGC 2244 71                        NGC 2244 71                                                                                              |Star                              |06 31 16.1162419080 +04 56 20.696668620|206.2336698551061 -02.2163777439827|  -2.720 -0.616  |14.10    |~                  |    ~     ~    |    1|  868.659   pc  | -14.7141    +14.7141  |paral   |2020yCat.1350....0G
2367|NGC 2244 77                        NGC 2244 77                                                                                              |Star                              |06 31 16.5376462752 +04 51 09.318249288|206.3112752608909 -02.2547292604278|    0.836 2.800  |14.00    |~                  |    ~     ~    |    1|  981.451   pc  | -16.2788    +16.2788  |paral   |2020yCat.1350....0G
2368|NGC 2244 364                       NGC 2244 364                                                                                             |Star                              |06 33 04.1905404168 +04 46 02.578173672|206.5931061522438 -01.8973477045864|   -6.216 0.528  |12.22    |~                  |    ~     ~    |    1| 1688.334   pc  | -47.3178    +47.3178  |paral   |2020yCat.1350....0G
2369|NGC 2244 34                        NGC 2244 34                                                                                              |Star                              |06 31 14.2574265720 +04 58 46.756061184|206.1940848285249 -02.2045039914830|   -7.013 3.196  |14.21    |~                  |    ~     ~    |    1|  742.005   pc  | -26.2622    +26.2622  |paral   |2020yCat.1350....0G
2370|NGC 2244 357                       NGC 2244 357                                                                                             |Star                              |06 33 05.1364015512 +04 54 42.037304256|206.4667723336484 -01.8273986969846|  -2.880 -3.858  |13.68    |~                  |    ~     ~    |    1|  586.854   pc  |  -5.7170     +5.7170  |paral   |2020yCat.1350....0G
2371|NGC 2244 355                       NGC 2244 355                                                                                             |Star                              |06 33 05.6900805000 +04 56 20.280892308|206.4435973157818 -01.8127877012413|  -0.490 -4.521  |13.40    |~                  |    ~     ~    |    1|  490.798   pc  |  -3.5891     +3.5891  |paral   |2020yCat.1350....0G
2372|NGC 2244 37                        NGC 2244 37                                                                                              |Star                              |06 31 13.7557460040 +04 54 45.761941008|206.2525594317807 -02.2372382639632|   4.861 -4.414  |14.95    |~                  |    ~     ~    |    1|  968.148   pc  | -26.7133    +26.7133  |paral   |2020yCat.1350....0G
2373|NGC 2244 90                        NGC 2244 90                                                                                              |Star                              |06 31 22.5408537720 +04 41 06.531879984|206.4714645486460 -02.3098455543799| -3.120 -16.969  |12.90    |~                  |    ~     ~    |    1|  647.920   pc  |  -5.2475     +5.2475  |paral   |2020yCat.1350....0G
2374|NGC 2244 78                        NGC 2244 78                                                                                              |Star                              |06 31 18.4964138952 +04 51 01.524643416|206.3169519557794 -02.2485126872436|  -1.115 -3.001  |12.29    |A0V                |    ~     ~    |    1|  895.415   pc  | -12.5878    +12.5878  |paral   |2020yCat.1350....0G
2375|NGC 2244 73                        NGC 2244 73                                                                                              |Star                              |06 31 18.9556622361 +04 55 05.757912927|206.2575943826306 -02.2155237066214|   0.019 -0.334  |14.04    |~                  |    ~     ~    |    1| 2649.01    pc  |-126.31     +126.31    |paral   |2020yCat.1350....0G
2376|NGC 2244 360                       NGC 2244 360                                                                                             |Star                              |06 33 03.0248215272 +04 49 07.647506040|206.5452204193316 -01.8779655063019|  -8.705 -8.272  |14.20    |~                  |    ~     ~    |    1|  748.055   pc  | -11.9751    +11.9751  |paral   |2020yCat.1350....0G
2377|NGC 2244 86                        NGC 2244 86                                                                                              |Star                              |06 31 18.9905280336 +04 43 50.013349032|206.4243335186575 -02.3019825074898|  -2.663 -5.908  |13.52    |~                  |    ~     ~    |    1|  676.590   pc  |  -6.7751     +6.7751  |paral   |2020yCat.1350....0G
2378|NGC 2244 46                        NGC 2244 46                                                                                              |Young Stellar Object              |06 31 10.8285452400 +04 47 26.981404836|206.3551705716776 -02.3042514136477|   -2.098 0.141  |12.26    |A1V                |    ~     ~    |    1| 1526.252   pc  | -44.9583    +44.9583  |paral   |2020yCat.1350....0G
2379|NGC 2244 42                        NGC 2244 42                                                                                              |Star                              |06 30 57.9135500136 +04 49 48.311829912|206.2955510389511 -02.3337128358566|   -8.256 3.411  |13.10    |~                  |    ~     ~    |    1| 1018.226   pc  | -16.5886    +16.5886  |paral   |2020yCat.1350....0G
2380|NGC 2244 358                       HD 259511                                                                                                |Emission-line Star                |06 33 09.9618323136 +04 52 43.477048200|206.5052508963823 -01.8247874143507|  -1.310 -2.118  |10.47    |B9V                |    ~     ~    |    1| 1254.863   pc  | -47.0829    +47.0829  |paral   |2020yCat.1350....0G
2381|NGC 2244 40                        NGC 2244 40                                                                                              |Star                              |06 30 56.3070055944 +04 52 29.758345896|206.2526517621528 -02.3189358633116|   1.847 -3.993  |12.98    |~                  |    ~     ~    |    1|  807.494   pc  | -10.8892    +10.8892  |paral   |2020yCat.1350....0G
2382|NGC 2244 9                         NGC 2244 9                                                                                               |Star                              |06 30 54.4674668904 +04 58 27.372907452|206.1609275822587 -02.2798660752364|   -2.484 3.718  |13.27    |~                  |    ~     ~    |    1|  623.830   pc  | -20.3144    +20.3144  |paral   |2020yCat.1350....0G
2383|NGC 2244 45                        HD 258859                                                                                                |Star                              |06 31 08.8985670672 +04 47 27.130255008|206.3514339850588 -02.3113421212039|  -0.105 -2.715  |10.41    |A1V                |    ~     ~    |    1|  850.051   pc  | -14.3795    +14.3795  |paral   |2020yCat.1350....0G
2384|NGC 2244 49                        NGC 2244 49                                                                                              |Star                              |06 31 09.3813358104 +04 43 10.635983760|206.4156258026947 -02.3424316258907|   0.995 -5.273  |13.65    |~                  |    ~     ~    |    1| 1221.001   pc  | -21.0209    +21.0209  |paral   |2020yCat.1350....0G
2385|NGC 2244 38                        NGC 2244 38                                                                                              |Star                              |06 31 04.8300742080 +04 55 28.999695036|206.2247858163779 -02.2645698939543|   -3.594 8.276  |15.00    |~                  |    ~     ~    |    0|                |                       |        |                   
2386|NGC 2244 48                        NGC 2244 48                                                                                              |Star                              |06 31 05.9143529832 +04 46 34.744203408|206.3586339811776 -02.3290489332611|   1.349 -3.982  |12.44    |F0:                |    ~     ~    |    1|  854.117   pc  | -11.4534    +11.4534  |paral   |2020yCat.1350....0G
2387|NGC 2244 76                        2MASS J06311881+0452089                                                                                  |Young Stellar Object              |06 31 18.8178390192 +04 52 09.030868104|206.3009180094586 -02.2386783245329|  -1.819 -4.733  |12.90    |~                  |    ~     ~    |    1|  647.836   pc  |  -6.2534     +6.2534  |paral   |2020yCat.1350....0G
2388|NGC 2244 87                        NGC 2244 87                                                                                              |Star                              |06 31 25.0931986752 +04 43 51.446419824|206.4356771975815 -02.2793140317628|   0.329 -3.393  |11.34    |F9V                |    ~     ~    |    1|  667.646   pc  |  -6.6863     +6.6863  |paral   |2020yCat.1350....0G
2389|NGC 2244 309                       NGC 2244 309                                                                                             |Star                              |06 32 55.3275740587 +04 58 20.374774720|206.3941468719989 -01.8355985111769|   -1.780 0.229  |13.27    |~                  |    ~     ~    |    1| 1224.44    pc  | -53.2235    +53.2235  |paral   |2020yCat.1350....0G
2390|NGC 2244 142                       HD 259013                                                                                                |Star                              |06 31 36.0860760144 +04 47 45.610662084|206.3989844737190 -02.2088147529412| -5.437 -10.805  |9.81     |F6IV               |    ~     ~    |    1|  384.054   pc  | -28.3785    +28.3785  |paral   |2020yCat.1350....0G
2391|NGC 2244 89                        NGC 2244 89                                                                                              |Star                              |06 31 33.2806603848 +04 43 22.295698654|206.4585590754027 -02.2528811490027|  -1.838 -0.066  |13.23    |~                  |    ~     ~    |    1| 1508.75    pc  | -32.5515    +32.5515  |paral   |2020yCat.1350....0G
2392|NGC 2244 144                       NGC 2244 144                                                                                             |Young Stellar Object              |06 31 46.0874052632 +04 42 28.898035107|206.4962709577229 -02.2125304252484|  -1.766 -0.113  |14.27    |~                  |    ~     ~    |    1| 1486.1     pc  | -35.557     +35.557   |paral   |2020yCat.1350....0G
2393|NGC 2244 352                       NGC 2244 352                                                                                             |Star                              |06 32 56.4609336528 +04 59 45.617159616|206.3752892141876 -01.8205137094896|  4.296 -15.739  |12.98    |~                  |    ~     ~    |    1|  415.731   pc  |  -3.1283     +3.1283  |paral   |2020yCat.1350....0G
2394|NGC 2244 104                       NGC 2244 104                                                                                             |White Dwarf Candidate             |06 31 36.2315501040 +05 07 50.168263044|206.1021772809072 -02.0539455406205|    0.232 0.113  |14.42    |DA:/sd             |    ~     ~    |    1| 2263.468   pc  |-116.8109   +116.8109  |paral   |2020yCat.1350....0G
2395|NGC 2244 350                       NGC 2244 350                                                                                             |Star                              |06 33 01.3476704664 +05 01 45.762829932|206.3550035636855 -01.7871350936744|  -3.107 -4.028  |13.80    |~                  |    ~     ~    |    1| 1081.432   pc  | -18.8289    +18.8289  |paral   |2020yCat.1350....0G
2396|NGC 2244 108                       NGC 2244 108                                                                                             |Young Stellar Object              |06 31 48.3755197300 +05 05 32.698820691|206.1593421313259 -02.0268436367415|   -1.642 0.411  |11.413   |B8V                |    ~     ~    |    1| 1331.56    pc  | -40.6028    +40.6028  |paral   |2020yCat.1350....0G
2397|NGC 2244 101                       NGC 2244 101                                                                                             |Star                              |06 31 49.8651327048 +05 10 04.496286900|206.0951656189052 -01.9865350212676|   2.973 -9.521  |13.98    |~                  |    ~     ~    |    1|  377.074   pc  |  -2.3460     +2.3460  |paral   |2020yCat.1350....0G
2398|NGC 2244 109                       NGC 2244 109                                                                                             |Star                              |06 31 41.5462566181 +05 05 30.148709307|206.1468894443224 -02.0523181770140|   -1.799 0.796  |13.715   |A0:                |    ~     ~    |    1| 1561.28    pc  | -45.0955    +45.0955  |paral   |2020yCat.1350....0G
2399|NGC 2244 103                       NGC 2244 103                                                                                             |Star                              |06 31 42.0430286184 +05 09 06.079995252|206.0945893532627 -02.0228204056469|   0.454 -1.319  |14.05    |~                  |    ~     ~    |    1| 3377.237   pc  |-236.0987   +236.0987  |paral   |2020yCat.1350....0G
2400|NGC 2244 99                        NGC 2244 99                                                                                              |Star                              |06 31 42.4061491272 +05 14 21.111865872|206.0175967886848 -01.9811137012284|  -0.649 -5.743  |14.39    |~                  |    ~     ~    |    1|  438.616   pc  |  -3.5591     +3.5591  |paral   |2020yCat.1350....0G
2401|NGC 2244 351                       NGC 2244 351                                                                                             |Star                              |06 33 01.5728481568 +05 01 18.463419493|206.3621680889943 -01.7897992211615|  -1.734 -0.091  |13.30    |B5                 |    ~     ~    |    1| 1598.72    pc  | -40.8945    +40.8945  |paral   |2020yCat.1350....0G
2402|NGC 2244 347                       NGC 2244 347                                                                                             |Star                              |06 33 10.1069695176 +05 02 13.729401636|206.3648621630454 -01.7512877242750|   0.066 -0.711  |13.51    |~                  |    ~     ~    |    0|                |                       |        |                   
2403|NGC 2244 346                       NGC 2244 346                                                                                             |Star                              |06 33 06.6306040896 +05 02 19.493619216|206.3567902209179 -01.7633567696152|  -7.028 -5.298  |14.31    |~                  |    ~     ~    |    1|  568.828   pc  |  -6.2125     +6.2125  |paral   |2020yCat.1350....0G
2404|NGC 2244 302                       NGC 2244 302                                                                                             |Star                              |06 32 51.4493778120 +05 01 03.140011380|206.3465780043185 -01.8290539684361|    0.853 1.093  |13.37    |~                  |    ~     ~    |    1| 1548.227   pc  | -39.3109    +39.3109  |paral   |2020yCat.1350....0G
2405|Cl* NGC 2244 HG 1607                                                                                                                        |Star                              |06 33 09.3853079272 +05 07 53.428913435|206.2796920189562 -01.7104756033065|   -1.547 0.088  |10.51    |B5V                |    ~     ~    |    1| 1379.5     pc  | -65.464     +65.464   |paral   |2020yCat.1350....0G
2406|BD+05 1294                                                                                                                                  |Star                              |06 33 04.5607438992 +05 09 49.688464392|206.2417881974870 -01.7133664465660|   0.940 -4.238  |10.44    |~                  |    ~     ~    |    1| 1248.751   pc  | -31.6554    +31.6554  |paral   |2020yCat.1350....0G
2407|Cl* NGC 2244 CDZ 55                                                                                                                         |Star                              |06 33 13.6343498040 +05 14 07.712272104|206.1955026723925 -01.6469273205856|  -2.884 -0.215  |10.78    |~                  |    ~     ~    |    1|  215.503   pc  |  -0.6455     +0.6455  |paral   |2020yCat.1350....0G
2408|NGC 2244 292                       HD 259375                                                                                                |Star                              |06 32 44.8636321440 +05 12 13.588584804|206.1686136318705 -01.7674859093841|   -2.879 3.290  |12.07    |A2V                |    ~     ~    |    1| 1060.895   pc  | -16.9950    +16.9950  |paral   |2020yCat.1350....0G
2409|NGC 2244 294                       NGC 2244 294                                                                                             |Star                              |06 32 41.8387618656 +05 07 11.580660804|206.2373115915201 -01.8172904094177|   3.466 -1.379  |14.19    |~                  |    ~     ~    |    1| 1048.218   pc  | -21.4258    +21.4258  |paral   |2020yCat.1350....0G
2410|NGC 2244 295                       NGC 2244 295                                                                                             |Star                              |06 32 49.6770614520 +05 06 59.563718352|206.2552742866545 -01.7899597859322|  6.107 -15.919  |13.77    |~                  |    ~     ~    |    1|  493.364   pc  |  -4.6004     +4.6004  |paral   |2020yCat.1350....0G
2411|NGC 2244 31                        NGC 2244 31                                                                                              |Star                              |06 31 12.9784612920 +05 02 00.140589528|206.1439410192557 -02.1844270718665|  21.026 -9.226  |13.59    |~                  |    ~     ~    |    1|  445.276   pc  |  -3.1922     +3.1922  |paral   |2020yCat.1350....0G
2412|NGC 2244 64                        NGC 2244 64                                                                                              |Star                              |06 31 18.1296421464 +05 01 11.027636400|206.1659257621163 -02.1717534205226|   2.488 -3.913  |14.28    |~                  |    ~     ~    |    1| 1345.895   pc  | -34.2361    +34.2361  |paral   |2020yCat.1350....0G
2413|NGC 2244 5                         NGC 2244 5                                                                                               |Star                              |06 30 51.9933591216 +05 02 33.497966616|206.0954864646915 -02.2574200273501|   10.204 0.580  |13.99    |~                  |    ~     ~    |    1|  476.826   pc  |  -4.0243     +4.0243  |paral   |2020yCat.1350....0G
2414|NGC 2244 7                         NGC 2244 7                                                                                               |Star                              |06 30 53.6625846770 +05 01 29.559121409|206.1144547294383 -02.2594719600855|  -1.754 -0.022  |13.90    |~                  |    ~     ~    |    1| 1557.15    pc  | -44.8571    +44.8571  |paral   |2020yCat.1350....0G
2415|NGC 2244 33                        NGC 2244 33                                                                                              |Star                              |06 31 01.4358797264 +05 00 05.504008639|206.1500866681735 -02.2416253602999|  -1.928 -0.106  |13.89    |~                  |    ~     ~    |    1| 1584.79    pc  | -41.1894    +41.1894  |paral   |2020yCat.1350....0G
2416|NGC 2244 66                        NGC 2244 66                                                                                              |Star                              |06 31 19.1499009464 +05 00 06.391009355|206.1838218375109 -02.1762803950213|   -1.925 0.434  |13.75    |~                  |    ~     ~    |    1| 1466.71    pc  | -34.4196    +34.4196  |paral   |2020yCat.1350....0G
2417|NGC 2244 32                        NGC 2244 32                                                                                              |Star                              |06 31 03.7018883736 +05 00 26.675435520|206.1492094662808 -02.2305671206930|  -5.580 -8.737  |12.71    |~                  |    ~     ~    |    1|  738.443   pc  |  -7.3070     +7.3070  |paral   |2020yCat.1350....0G
2418|NGC 2244 393                       HD 259635                                                                                                |Star                              |06 33 30.0956920128 +05 02 03.217501284|206.4056854094526 -01.6789921317522|    0.485 2.809  |9.74     |G8V                |    ~     ~    |    1|  304.433   pc  |  -1.8350     +1.8350  |paral   |2020yCat.1350....0G
2419|NGC 2244 161                       NGC 2244 161                                                                                             |Star                              |06 32 06.9750375984 +05 09 40.377737268|206.1338785898830 -01.9266250906187|    0.790 4.370  |14.23    |~                  |    ~     ~    |    1| 1182.732   pc  | -28.3968    +28.3968  |paral   |2020yCat.1350....0G
2420|NGC 2244 157                       NGC 2244 157                                                                                             |Star                              |06 32 07.4299473168 +05 12 25.008296004|206.0941489440889 -01.9038615304588|  -0.804 -7.884  |14.10    |~                  |    ~     ~    |    1| 1274.210   pc  | -31.9851    +31.9851  |paral   |2020yCat.1350....0G
2421|NGC 2244 105                       NGC 2244 105                                                                                             |Star                              |06 31 54.0291356544 +05 06 57.483698400|206.1492608078102 -01.9951626365219|  -1.061 -3.229  |13.97    |~                  |    ~     ~    |    1| 1084.952   pc  | -21.6590    +21.6590  |paral   |2020yCat.1350....0G
2422|NGC 2244 102                       NGC 2244 102                                                                                             |Star                              |06 31 51.8025799399 +05 09 22.603447564|206.1092075503653 -01.9847688959840|   -1.729 0.590  |13.49    |F7                 |    ~     ~    |    1| 1502.18    pc  | -37.0072    +37.0072  |paral   |2020yCat.1350....0G
2423|NGC 2244 152                       NGC 2244 152                                                                                             |Young Stellar Object              |06 31 55.3398553032 +05 13 46.132655088|206.0509929610188 -01.9379811386716|   -1.898 0.650  |13.29    |~                  |    ~     ~    |    1| 1405.481   pc  | -37.3346    +37.3346  |paral   |2020yCat.1350....0G
2424|NGC 2244 151                       NGC 2244 151                                                                                             |Star                              |06 31 55.5891027696 +05 14 03.213713976|206.0472579861265 -01.9348750134640|   1.854 -2.664  |13.97    |~                  |    ~     ~    |    1| 1184.975   pc  | -23.7304    +23.7304  |paral   |2020yCat.1350....0G
2425|NGC 2244 149                       NGC 2244 149                                                                                             |Star                              |06 31 55.5148382688 +05 14 18.301927668|206.0433949541833 -01.9332152411401|   1.160 -2.563  |13.33    |~                  |    ~     ~    |    1| 1298.196   pc  | -56.1209    +56.1209  |paral   |2020yCat.1350....0G
2426|NGC 2244 150                       NGC 2244 150                                                                                             |Star                              |06 31 55.8008871480 +05 14 13.174442988|206.0452071804599 -01.9328191054219|   1.008 -2.814  |14.15    |~                  |    ~     ~    |    1| 1307.190   pc  | -43.0604    +43.0604  |paral   |2020yCat.1350....0G
2427|NGC 2244 224                       NGC 2244 224                                                                                             |High Proper Motion Star           |06 32 29.8275327504 +05 12 48.782253384|206.1311602068081 -01.8183475875034|-47.247 -69.120  |13.47    |~                  |    ~     ~    |    1|   92.187   pc  |  -0.1666     +0.1666  |paral   |2020yCat.1350....0G
2428|NGC 2244 230                       NGC 2244 230                                                                                             |Star                              |06 32 34.8849010776 +05 08 28.554660384|206.2050189926571 -01.8330455665200|  -12.250 4.405  |13.65    |~                  |    ~     ~    |    1|  240.639   pc  | -16.4804    +16.4804  |paral   |2020yCat.1350....0G
2429|NGC 2244 243                       NGC 2244 243                                                                                             |Star                              |06 32 19.927 +05 01 06.56              |206.285400 -01.944732              |        3.5 5.4  |14.47    |~                  |    ~     ~    |    0|                |                       |        |                   
2430|NGC 2244 226                       NGC 2244 226                                                                                             |Star                              |06 32 17.5283599704 +05 11 47.254849800|206.1227925185791 -01.8715147782846|  15.756 -1.116  |13.66    |~                  |    ~     ~    |    1|  699.350   pc  |  -8.2656     +8.2656  |paral   |2020yCat.1350....0G
2431|NGC 2244 166                       NGC 2244 166                                                                                             |Star                              |06 32 14.5198002888 +05 06 39.907712088|206.1928322734130 -01.9219571889487|  -0.395 -4.956  |14.28    |~                  |    ~     ~    |    1|  727.484   pc  | -12.3311    +12.3311  |paral   |2020yCat.1350....0G
2432|NGC 2244 232                       NGC 2244 232                                                                                             |Star                              |06 32 22.3147522200 +05 07 50.732957028|206.1902872489420 -01.8841807062526|   1.544 -5.230  |13.60    |~                  |    ~     ~    |    1|  803.471   pc  | -28.9859    +28.9859  |paral   |2020yCat.1350....0G
2433|NGC 2244 106                       NGC 2244 106                                                                                             |Orion Variable                    |06 31 40.005048 +05 05 56.21712        |206.137508101 -02.054653071        |      -1.1 -1.6  |11.909   |G2                 |    ~     ~    |    0|                |                       |        |                   
