C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:05:06

dec >=0&rah >=6.5&rah< 6.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 8634

 #  |                                                                 identifier                                                                 |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |    spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+83 166                                                                                                                                   |Star                              |06 42 34.9465923936 +83 54 15.453004536|129.7550264609755 +26.7279562262187|   8.107 15.839  |9.80     |K0                 |    ~     ~    |    1|  593.965   pc  |  -3.8807     +3.8807  |paral   |2020yCat.1350....0G
23  |BD+82 162                                                                                                                                   |Star                              |06 30 48.1651914264 +82 49 27.658989012|130.9057214350467 +26.2581663752552|  9.547 -11.551  |9.96     |K2                 |    ~     ~    |    1|  607.792   pc  |  -4.8023     +4.8023  |paral   |2020yCat.1350....0G
24  |BD+82 165                                                                                                                                   |Star                              |06 30 30.0948159696 +82 19 35.178641544|131.4523515044729 +26.1714911768010|  10.950 13.284  |10.74    |G0                 |    ~     ~    |    1|  295.229   pc  | -26.3137    +26.3137  |paral   |2020yCat.1350....0G
25  |BD+82 166                                                                                                                                   |Spectroscopic Binary              |06 31 52.0901906880 +82 24 14.574775464|131.3746954908237 +26.2283118707646|-51.969 -83.398  |10.31    |K0                 |    ~     ~    |    1|  163.098   pc  |  -1.2343     +1.2343  |paral   |2020yCat.1350....0G
26  |BD+82 167                                                                                                                                   |Star                              |06 34 50.3608464528 +82 48 17.188217352|130.9475503343877 +26.3802724448141|  -4.993 14.184  |10.50    |G5                 |    ~     ~    |    1|  863.931   pc  |  -8.8072     +8.8072  |paral   |2020yCat.1350....0G
27  |HD 43883                                                                                                                                    |Double or Multiple Star           |06 35 42.029 +82 32 24.75              |131.244299 +26.371932              |    -21.3 -27.9  |9.33     |G0                 |    ~     ~    |    0|                |                       |        |                   
28  |BD+82 169                                                                                                                                   |Star                              |06 36 52.4128242504 +82 50 49.283738484|130.9100395439472 +26.4487548138674|  12.247 23.896  |8.95     |K5                 |    ~     ~    |    1|  506.637   pc  | -12.6287    +12.6287  |paral   |2020yCat.1350....0G
29  |BD+82 171                                                                                                                                   |Star                              |06 39 07.1355742752 +82 53 04.084317816|130.8779455014655 +26.5224921386147|   -2.135 1.570  |10.62    |K0                 |    ~     ~    |    1|  831.1170  pc  | -70.9406    +70.9406  |paral   |2018yCat.1345....0G
30  |BD+82 172                                                                                                                                   |Star                              |06 39 19.8618820632 +82 31 24.360424680|131.2794815302609 +26.4868478831573|  -3.651 -6.383  |10.95    |A5                 |    ~     ~    |    1|  665.513   pc  |  -5.8464     +5.8464  |paral   |2020yCat.1350....0G
31  |BD+82 173                                                                                                                                   |Star                              |06 37 49.4320860168 +81 58 51.907138320|131.8734289324362 +26.3692602818804| -4.759 -36.595  |9.74     |F0                 |    ~     ~    |    1|  269.107   pc  |  -0.9342     +0.9342  |paral   |2020yCat.1350....0G
