C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
34  |HD 173399                                                             |Star                           |18 42 55.4144540544 +44 55 30.904478940|073.9986657324967 +20.2070114493203| -9.926 -15.259   |7.19     |G5IV            |    ~     ~    
35  |BD+44 2974                                                            |Star                           |18 42 55.7652619728 +44 55 56.363374452|074.0061593672516 +20.2082876076582|-12.106 -20.141   |8.87     |F2V             |    ~     ~    
36  |HD 173666                                                             |Star                           |18 44 23.3665043736 +44 53 24.015312564|074.0518699981465 +19.9498915090426|  23.505 22.172   |8.13     |F3III           |    ~     ~    
37  |BD+44 2985                                                            |Star                           |18 44 47.6709403512 +44 57 37.827790200|074.1475008493051 +19.9048486465741|    4.311 3.796   |9.52     |A5              |    ~     ~    
38  |BD+44 2985B                                                           |Star                           |18 44 48.4807277640 +44 57 45.149905404|074.1503695828537 +19.9032483299292|    4.229 3.620   |10.24    |~               |    ~     ~    
39  |BD+46 2521                                                            |Star                           |18 38 32.4243793536 +47 01 34.291834860|075.8884386048045 +21.5769617650503| -24.920 -9.516   |9.68     |~               |    ~     ~    
40  |BD+45 2767                                                            |Star                           |18 44 40.1350095144 +45 50 09.400076052|075.0225633003221 +20.2068407153234|  15.262 26.689   |10.26    |~               |    ~     ~    
41  |BD+46 2515                                                            |Star                           |18 37 19.2850102056 +47 06 05.223264048|075.9004270349042 +21.7974902556874|  -3.709 -4.458   |9.04     |G5              |    ~     ~    
42  |BD+45 2743                                                            |High Proper Motion Star        |18 35 18.3903206545 +45 44 38.539577234|074.3933987676413 +21.7322314984159|452.362 363.466   |9.830    |M0.5V           |    ~     ~    
43  |BD+45 2745                                                            |High Proper Motion Star        |18 35 46.1138907528 +45 27 20.193535404|074.1226889816840 +21.5697023840137|   78.428 4.898   |9.38     |F0              |    ~     ~    
44  |BD+44 2944                                                            |Star                           |18 36 54.8984465160 +44 38 55.029674616|073.3620176979417 +21.1334544561158|    3.711 3.784   |9.33     |K0              |    ~     ~    
45  |TYC 3117-48-1                                                         |Star                           |18 37 58.4577773088 +44 46 35.453852040|073.5542568428801 +20.9934745953044| -6.470 -12.155   |10.82    |~               |    ~     ~    
46  |TYC 3117-134-1                                                        |Star                           |18 34 35.6770925328 +44 44 39.394442148|073.3262004084365 +21.5554388288120|  -5.049 -9.252   |10.61    |~               |    ~     ~    
47  |TYC 3117-482-1                                                        |Star                           |18 36 45.4466347896 +44 56 50.300139120|073.6580673735329 +21.2509390165449|  -1.830 -7.142   |10.46    |~               |    ~     ~    
48  |TYC 3117-500-1                                                        |Star                           |18 37 29.7305176536 +44 57 38.415640176|073.7142983815840 +21.1306048894517| -7.346 -13.282   |10.60    |~               |    ~     ~    
49  |TYC 3117-1327-1                                                       |Star                           |18 38 41.6101030776 +44 38 22.428244068|073.4570222440616 +20.8296618675435|  1.209 -12.948   |10.66    |~               |    ~     ~    
50  |TYC 3117-1567-1                                                       |Star                           |18 39 57.3990120144 +44 55 11.678998692|073.8164977662573 +20.7037212077430|   7.232 -8.742   |10.57    |~               |    ~     ~    
