C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:30:19

Vmag< 11&dec >=0&rah >=18.5&rah< 18.75
--------------------------------------

Number of objects : 6698

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------
1427|BD+02 3604                                                            |Star                           |18 30 42.4348172304 +02 32 38.428773000|032.8371732534822 +05.7710825964694|   3.855 -1.666   |10.20    |A0              |    ~     ~    
1428|BD+02 3605                                                            |Star                           |18 30 51.6349531176 +02 10 13.917234036|032.5203653995919 +05.5672120606459|    2.996 2.293   |10.18    |A0              |    ~     ~    
1429|HD 171091                                                             |Star                           |18 32 46.4755387656 +02 03 20.868249492|032.6361757298216 +05.0891731427730|  -0.852 -4.214   |9.75     |B9V             |    ~     ~    
1430|HD 170634                                                             |Young Stellar Object           |18 30 24.8757877680 +01 13 23.641855860|031.6222618684371 +05.2350162722906|   3.443 -8.582   |9.85     |B8-9IV          |    ~     ~    
1431|BD+01 3696                                                            |Star                           |18 30 33.3244140000 +02 01 32.889748080|032.3560190300665 +05.5692752656183|  -2.543 -6.054   |10.26    |A2              |    ~     ~    
1432|HD 170784                                                             |Young Stellar Object Candidate |18 31 08.9929865808 +01 26 58.696197612|031.9087291654987 +05.1746624624338|   3.255 -7.870   |8.50     |B2IV            |    ~     ~    
1433|BD+01 3702                                                            |Star                           |18 31 25.8825368928 +01 36 41.301901692|032.0855649909276 +05.1857707596709|   7.338 -6.862   |10.18    |F2              |    ~     ~    
1434|HD 170882                                                             |Star                           |18 31 39.2603867040 +01 53 49.320303360|032.3663446280015 +05.2661816277515| -31.049 36.042   |9.27     |K2              |    ~     ~    
1435|BD+01 3704                                                            |Star                           |18 31 57.3226445976 +01 17 46.710578220|031.8638314792413 +04.9255887410611|  4.237 -13.951   |10.06    |F8              |    ~     ~    
1436|BD+01 3705                                                            |Star                           |18 32 17.9621778192 +01 52 29.509965408|032.4201762940662 +05.1125809975512|   12.786 1.631   |10.7     |~               |    ~     ~    
1437|BD+01 3709                                                            |Star                           |18 32 53.2957710168 +01 35 51.216468900|032.2395935014494 +04.8553103831401|  -20.743 2.041   |9.85     |F5              |    ~     ~    
1438|BD+01 3710                                                            |Star                           |18 33 02.9463366000 +01 40 48.817487784|032.3318263924137 +04.8571707526213|   16.410 0.971   |10.70    |F8              |    ~     ~    
1439|HD 171183                                                             |Star                           |18 33 14.8350543960 +01 50 48.237257364|032.5032378530398 +04.8888841015767| -5.147 -18.555   |8.43     |G8/K0III        |    ~     ~    
1440|HD 171234                                                             |delta Sct Variable             |18 33 31.7411728464 +01 54 12.842590752|032.5861860955893 +04.8520579137798|    2.753 3.367   |7.92     |A5IV            |    ~     ~    
1441|BD+00 3950                                                            |High Proper Motion Star        |18 30 07.3843318440 +00 48 25.246631520|031.2169992039223 +05.1099286078783|  1.618 -79.644   |9.99     |F8              |    ~     ~    
1442|HD 170635                                                             |High Proper Motion Star        |18 30 26.5091341704 +00 42 41.131981224|031.1681536737304 +04.9953929241440|-100.492 -34.856  |9.83     |F5V             |    ~     ~    
1443|HD 170652                                                             |Star                           |18 30 36.9996182496 +00 22 47.797399308|030.8922477869781 +04.8050719061529|  -1.132 -9.684   |8.37     |F2/3V           |    ~     ~    
1444|HD 170713                                                             |Star                           |18 30 55.3435696944 +00 25 46.452090756|030.9715939101922 +04.7597678643441|   17.186 7.213   |8.71     |F5V             |    ~     ~    
1445|HD 170794                                                             |Star                           |18 31 18.3538838208 +00 21 16.382827476|030.9485999221496 +04.6402080562140|       1.3 -1.2   |9.98     |B8V             |    ~     ~    
1446|BD+00 3956                                                            |Star                           |18 31 54.4516074696 +00 51 17.564169924|031.4641162565736 +04.7348957059000|-16.770 -39.758   |10.22    |K0              |    ~     ~    
1447|HD 171051                                                             |Double or Multiple Star        |18 32 32.4948 +00 36 06.739            |031.3108625 +04.4783811            |        0.6 0.5   |9.63     |F8/G2           |    ~     ~    
1448|HD 171070                                                             |Star                           |18 32 41.1585259080 +00 34 39.098895492|031.3056695469258 +04.4351510451349|   21.946 0.170   |8.74     |F3V             |    ~     ~    
1449|HD 171107                                                             |Star                           |18 32 54.7490993400 +00 35 43.509938640|031.3475652738187 +04.3929421302012|   -4.213 1.001   |9.55     |K5              |    ~     ~    
1450|HD 171146                                                             |Star                           |18 33 05.8643899728 +00 25 00.032884968|031.2092984248556 +04.2701194300015|   5.711 -5.579   |10.43    |A1V             |    ~     ~    
1451|BD+00 3963                                                            |Star                           |18 33 32.9976277800 +00 44 03.078539304|031.5443418583663 +04.3144948099878|  -2.707 15.800   |10.37    |F8              |    ~     ~    
1452|BD+01 3692                                                            |Star                           |18 30 00.0627529872 +01 40 56.807456556|031.9855075650380 +05.5363028849618|    3.940 2.524   |10.11    |F8V             |    ~     ~    
1453|BD+01 3693                                                            |Star                           |18 30 10.3704890184 +01 19 35.392650240|031.6868880471054 +05.3358795852864|   0.190 -6.574   |10.55    |F0III           |    ~     ~    
1454|BD+01 3695                                                            |Star                           |18 30 28.4746859712 +01 54 18.765327024|032.2388992544570 +05.5323817934137|  -4.631 -6.050   |10.46    |G9.5III         |    ~     ~    
1455|TYC 446-28-1                                                          |Star                           |18 31 20.0484103776 +01 40 56.199647496|032.1377491951048 +05.2396507913635|    2.433 3.215   |10.38    |F2V             |    ~     ~    
1456|BD+01 3706                                                            |Star                           |18 32 31.6083056496 +02 05 37.302562464|032.6417900269852 +05.1615430146991|    0.993 2.626   |9.87     |K0III           |    ~     ~    
1457|TYC 446-116-1                                                         |Star                           |18 33 11.0897887224 +01 35 10.666919940|032.2634036470092 +04.7841998573286| -1.271 -12.031   |10.63    |~               |    ~     ~    
1458|TYC 450-118-1                                                         |Star                           |18 30 13.9413017232 +02 38 13.619988528|032.8664062270443 +05.9190348501284|   -5.313 6.037   |10.65    |~               |    ~     ~    
1459|TYC 450-125-1                                                         |Star                           |18 31 24.8990280024 +02 38 52.770289560|033.0109569103589 +05.6608422535217|-12.057 -18.229   |10.88    |~               |    ~     ~    
1460|TYC 450-136-1                                                         |Star                           |18 30 13.8345956496 +02 26 19.400565336|032.6885291243423 +05.8293039051550|   2.054 -3.152   |10.62    |~               |    ~     ~    
1461|TYC 450-325-1                                                         |Star                           |18 33 24.4096008000 +02 29 20.785544340|033.0957510075949 +05.1454930413143|   -8.914 0.821   |10.57    |~               |    ~     ~    
1462|BD+02 3615                                                            |Star                           |18 34 22.1782167096 +02 31 20.043449724|033.2350561550357 +04.9463232216429|  27.868 -0.907   |10.35    |F8              |    ~     ~    
1463|BD+02 3619                                                            |Star                           |18 35 16.4480327856 +02 24 16.165710540|033.2328174721022 +04.6915756543952|   12.102 3.720   |10.44    |F8              |    ~     ~    
1464|BD+02 3620                                                            |Star                           |18 35 20.7431670264 +02 26 58.764236928|033.2813387796682 +04.6961740905629|  -4.531 -3.122   |10.23    |F8              |    ~     ~    
1465|BD+02 3621                                                            |Double or Multiple Star        |18 35 43.7350101864 +02 39 08.635075560|033.5061854799393 +04.7030250122616|  -2.025 -0.056   |10.218   |B8              |    ~     ~    
1466|HD 171659                                                             |Star                           |18 35 58.2236159424 +02 33 53.180865252|033.4553488661297 +04.6094947782482|  7.620 -11.834   |9.48     |F5V             |    ~     ~    
1467|HD 171410                                                             |High Proper Motion Star        |18 34 34.6634388048 +02 04 40.781058240|032.8616771190892 +04.6980810396417| 34.302 -74.941   |8.44     |G3V             |    ~     ~    
1468|HD 171288                                                             |Star                           |18 33 59.5157058936 +01 17 26.623740660|032.0916281713371 +04.4699822235183| -29.776 35.820   |8.75     |G2V             |    ~     ~    
1469|BD+01 3716                                                            |Star                           |18 34 10.4989068096 +01 48 09.438385932|032.5697006012267 +04.6623949554064| -4.876 -13.201   |10.55    |~               |    ~     ~    
1470|BD+01 3717                                                            |Star                           |18 34 19.8119300376 +01 35 19.593257172|032.3964042330297 +04.5305020039693|  18.161 -9.584   |10.48    |F5              |    ~     ~    
1471|BD+01 3719                                                            |Star                           |18 34 56.6352718632 +01 28 21.384805116|032.3627362807503 +04.3410484982269|  1.092 -23.053   |9.96     |G0              |    ~     ~    
1472|BD+01 3720                                                            |High Proper Motion Star        |18 35 04.2676128624 +01 17 39.438735936|032.2180781522355 +04.2315080906846|-58.461 -25.922   |10.48    |G0              |    ~     ~    
1473|HD 171609                                                             |Star                           |18 35 45.0164839248 +01 15 56.015615304|032.2699899995359 +04.0673196777325|   1.499 13.382   |9.85     |G6(V)           |    ~     ~    
1474|BD+00 3964                                                            |High Proper Motion Star        |18 33 52.8881976096 +00 11 55.039855452|031.1045497993741 +03.9962206713446|-57.162 -64.015   |10.55    |G0              |    ~     ~    
1475|HD 171289                                                             |Star                           |18 34 03.9321978456 +00 11 55.188392244|031.1256596898991 +03.9553058238579|    4.159 1.612   |10.22    |G5              |    ~     ~    
1476|HD 171462                                                             |High Proper Motion Star        |18 35 01.3408033416 +00 40 34.370945328|031.6610166635180 +03.9605266387606|-20.055 -47.281   |9.62     |F3V             |    ~     ~    
1477|V* V413 Ser                                                           |Eclipsing Binary               |18 35 08.2194599328 +00 02 34.755359100|031.1095166026490 +03.6459095488084|   2.694 -8.160   |7.99     |B3IV            |0.0050  0.0    
1478|BD-00 3514                                                            |Star                           |18 35 24.8644714608 +00 02 38.826237948|031.1422718200104 +03.5847323881798|   5.088 -6.110   |10.15    |~               |    ~     ~    
1479|BD+01 3721                                                            |Star                           |18 35 25.2815809968 +02 00 05.300994780|032.8894969822397 +04.4755661517416|   -0.244 3.062   |10.16    |M2              |    ~     ~    
1480|BD+01 3722                                                            |Star                           |18 35 40.6140813624 +01 40 04.645131420|032.6207986593440 +04.2669265870483|   4.195 -2.615   |10.96    |~               |    ~     ~    
1481|BD+01 3713                                                            |Star                           |18 33 46.6074336432 +01 06 23.146557444|031.9025079372446 +04.4338333426653| 20.404 -11.447   |10.54    |F7V             |    ~     ~    
1482|BD+01 3715                                                            |Star                           |18 34 10.1882864376 +01 27 54.931940280|032.2677856216263 +04.5099299779472|  4.830 -15.476   |10.70    |F8V             |    ~     ~    
1483|BD+00 3967                                                            |Star                           |18 34 10.2630826056 +00 56 47.648494644|031.8048942965268 +04.2732286483330|  0.382 -14.979   |10.36    |F7V             |    ~     ~    
1484|BD-00 3515                                                            |Star                           |18 35 25.1821651632 +00 01 15.179140884|031.1221683976244 +03.5729400687723|  2.671 -10.045   |10.04    |~               |    ~     ~    
1485|BD+02 3624                                                            |Star                           |18 36 21.0243010248 +02 29 21.927760656|033.4312748364811 +04.4907117108823| -9.165 -17.856   |10.20    |F8              |    ~     ~    
1486|HD 171932                                                             |Star                           |18 37 19.7635523568 +02 15 17.702057988|033.3332666799209 +04.1663029025907|   6.291 36.096   |8.71     |G8(IV)          |    ~     ~    
1487|HD 171953                                                             |Star                           |18 37 25.2231354816 +02 37 45.774310080|033.6780958074707 +04.3162479942547|-18.778 -10.280   |7.82     |F3V             |    ~     ~    
1488|BD+02 3633                                                            |Star                           |18 38 38.1980821920 +02 24 12.665919672|033.6147811077978 +03.9430163419754|  17.021 -1.540   |9.57     |F9IV-V          |    ~     ~    
1489|HD 172172                                                             |Star                           |18 38 36.6956525880 +02 35 55.399158168|033.7862333084198 +04.0373035484907|  -3.192 -8.575   |8.96     |F0/2V           |    ~     ~    
1490|HD 172231                                                             |Star                           |18 38 56.8066149048 +02 26 13.716824388|033.6800976340183 +03.8893008938128|   0.798 -4.318   |8.93     |A0/1V           |    ~     ~    
1491|HD 172249                                                             |Star                           |18 39 04.1847909408 +02 31 59.589112080|033.7798664467110 +03.9056109216012|  -0.461 -9.460   |9.52     |B8II            |    ~     ~    
1492|BD+02 3639                                                            |Star                           |18 39 32.5566031776 +02 44 25.590696324|034.0186732012915 +03.8945746047345|   3.749 -3.537   |9.05     |K2              |    ~     ~    
1493|HD 172506                                                             |Star                           |18 40 31.3024428576 +02 41 04.001727804|034.0800148580203 +03.6513268984762|-35.303 -15.733   |7.94     |F0V             |    ~     ~    
1494|BD+02 3648                                                            |Carbon Star                    |18 40 34.8391743720 +02 42 08.673820236|034.1027525603582 +03.6463777113812|  1.764 -10.106   |10.02    |C3,0            |    ~     ~    
1495|HD 172764                                                             |Star                           |18 41 53.6759003208 +02 11 52.769901408|033.8021745381813 +03.1247349087312|  13.360 -6.395   |8.54     |B9V             |    ~     ~    
1496|BD+02 3656                                                            |Star                           |18 41 59.2199762544 +02 14 13.024263156|033.8474373416880 +03.1219007652796|   13.910 1.385   |10.20    |A2              |    ~     ~    
1497|BD+02 3657                                                            |Star                           |18 42 06.3945564696 +02 43 47.285362920|034.3006894891264 +03.3193964016124|   7.845 -5.717   |10.28    |F8              |    ~     ~    
1498|BD+02 3660                                                            |Star                           |18 42 25.4193151104 +02 17 40.237963008|033.9484604149293 +03.0509420491707|    9.254 4.539   |9.71     |A2              |    ~     ~    
1499|BD+02 3661                                                            |Star                           |18 42 40.3482394104 +02 22 59.705922612|034.0559115890477 +03.0359537713853|   26.704 5.637   |10.52    |F8              |    ~     ~    
1500|BD+02 3667                                                            |Star                           |18 43 43.2501096912 +02 39 18.925582716|034.4177256259307 +02.9264520823534|   8.676 -1.463   |10.01    |F5              |    ~     ~    
1501|HD 173293                                                             |Star                           |18 44 25.4065478112 +02 19 51.379304700|034.2084685562952 +02.6226565625315|  0.159 -10.589   |9.03     |G8IV            |    ~     ~    
1502|HD 172173                                                             |Star                           |18 38 35.9332843248 +02 04 41.179704312|033.3199973184371 +03.8034402202277|  5.360 -13.952   |8.78     |A8/9V           |    ~     ~    
1503|BD+01 3745                                                            |Star                           |18 40 36.0071738448 +02 06 04.115598516|033.5684377578013 +03.3686701357061|    6.409 0.762   |10.31    |K0              |    ~     ~    
1504|HD 172573                                                             |Star                           |18 40 54.7322079648 +02 05 31.353597672|033.5958501751719 +03.2950967491382|   -0.924 1.696   |9.65     |A1V             |    ~     ~    
1505|HD 173328                                                             |Star                           |18 44 37.6932683904 +02 07 15.443118552|034.0446022065208 +02.4815517555940| -1.303 -12.289   |7.88     |G8/K0III+F/G    |    ~     ~    
1506|* 4 Aql                                                               |Be Star                        |18 44 49.9381980 +02 03 36.136039      |034.0135371705 +02.4084256230      |    8.88 -15.27   |5.005    |B9IIIe          |    ~     ~    
1507|BD+01 3726                                                            |Star                           |18 36 55.6470407712 +01 33 00.721346976|032.6583468535090 +03.9350697449547| -3.767 -12.263   |9.74     |K2              |    ~     ~    
1508|BD+01 3728                                                            |Star                           |18 37 21.0169359864 +01 12 15.227102952|032.3979184960905 +03.6833956203254|  -5.634 -7.264   |10.37    |F8              |    ~     ~    
1509|HD 171997                                                             |Star                           |18 37 37.0999947528 +01 43 52.633392636|032.8987373790288 +03.8637957735501|   2.637 -7.608   |8.81     |K1/2IV          |    ~     ~    
1510|HD 172026                                                             |Star                           |18 37 49.7821698240 +01 21 40.643151156|032.5927217476538 +03.6482854937437|  5.614 -22.614   |9.84     |A3/5II          |    ~     ~    
1511|HD 172153                                                             |Star                           |18 38 33.0298570680 +01 12 36.437597820|032.5401270585203 +03.4190446996550|  4.423 -13.565   |9.19     |F2V             |    ~     ~    
1512|HD 172174                                                             |High Proper Motion Star        |18 38 38.5406862072 +01 20 40.238501316|032.6704526550565 +03.4598343296071| -1.723 -56.855   |9.14     |K2III           |    ~     ~    
1513|HD 172214                                                             |Star                           |18 38 56.6300740176 +01 28 58.752963084|032.8283381224514 +03.4558249765987|    8.968 8.691   |8.74     |G8IV            |    ~     ~    
1514|HD 172232                                                             |Star                           |18 39 02.3414103048 +01 31 12.595643220|032.8723510950794 +03.4515764110957|-26.140 -25.660   |8.90     |G8/K0(III)      |    ~     ~    
1515|HD 172272                                                             |Star                           |18 39 12.0046575312 +01 24 15.590184192|032.7874067159196 +03.3629888864868|    9.216 0.916   |10.03    |F3V             |    ~     ~    
1516|HD 172315                                                             |Star                           |18 39 26.8342506456 +02 00 35.071038792|033.3556127653369 +03.5835898138174|    7.272 7.672   |9.82     |F2/3(V)         |    ~     ~    
1517|HD 172344                                                             |Star                           |18 39 39.4158836856 +01 26 21.710937444|032.8707382274466 +03.2772965321641|  10.051 -0.199   |8.72     |F5V             |    ~     ~    
1518|HD 172345                                                             |Star                           |18 39 41.4748521768 +01 18 03.239908056|032.7511870045401 +03.2065922020455| -2.428 -16.307   |8.71     |K1III           |    ~     ~    
1519|BD+01 3742                                                            |High Proper Motion Star        |18 39 58.0028302512 +01 53 43.355943924|033.3127506021847 +03.4159726958648| 14.054 -62.601   |10.95    |K0              |    ~     ~    
1520|HD 172426                                                             |Star                           |18 40 04.0343488680 +01 17 27.859637760|032.7852995188341 +03.1184584916433|-44.696 -13.159   |7.98     |F3V/IV          |    ~     ~    
1521|BD+01 3747                                                            |Star                           |18 41 06.1949163816 +01 46 48.444322188|033.3394206583021 +03.1106479163345|  -3.308 -6.052   |10.66    |F0              |    ~     ~    
1522|BD+01 3748                                                            |Star                           |18 41 12.7748017368 +02 01 46.759467936|033.5744409972278 +03.1998096487580|  -4.774 10.029   |9.64     |F5              |    ~     ~    
1523|HD 172676                                                             |Star                           |18 41 29.5255675104 +01 22 43.286116728|033.0258413845814 +02.8413444445913|   2.433 -8.582   |9.77     |A0/1V           |    ~     ~    
1524|BD+01 3752                                                            |High Proper Motion Star        |18 41 40.4213815128 +01 51 30.546775188|033.4742661292041 +03.0193985515698| 26.105 -61.471   |10.12    |K0              |    ~     ~    
1525|BD+01 3753                                                            |Star                           |18 41 44.8986987168 +01 41 33.954592092|033.3350119645361 +02.9273589553748|  -1.325 -5.401   |10.62    |F0              |    ~     ~    
1526|HD 172828                                                             |Star                           |18 42 14.8349655936 +01 14 21.635095164|032.9877252054972 +02.6098473605377|    2.820 1.050   |8.75     |K5              |    ~     ~    
1527|HD 172888                                                             |Star                           |18 42 33.9334669200 +01 41 11.450725260|033.4225321117170 +02.7426836828565|   9.030 -6.165   |9.58     |G0V             |    ~     ~    
1528|BD+01 3759                                                            |Star                           |18 43 05.9093689344 +01 23 58.919965116|033.2276319393061 +02.4934976636172|    3.204 4.544   |9.95     |K5              |    ~     ~    
1529|TYC 447-159-1                                                         |Star                           |18 43 55.4046793944 +01 36 55.061285904|033.5137229225675 +02.4081497286164|   2.858 -2.719   |10.98    |F8              |    ~     ~    
1530|HD 173329                                                             |Star                           |18 44 37.9646329776 +01 52 28.516909512|033.8255556844163 +02.3684005466406| -3.231 -11.445   |7.79     |M3III           |    ~     ~    
1531|BD+00 3973                                                            |Star                           |18 36 26.4181087296 +00 08 23.640372924|031.3449964586667 +03.4003201573683|  -3.979 -5.023   |10.08    |G5              |    ~     ~    
1532|HD 171888                                                             |Star                           |18 37 09.4333215960 +00 57 04.102977816|032.1501496802107 +03.6109919459466|  13.590 22.728   |6.88     |F7V             |    ~     ~    
1533|HD 171933                                                             |Star                           |18 37 24.2599623264 +00 10 13.219591692|031.4823455537885 +03.1997994184931|  -1.582 -9.679   |9.50     |A3II            |    ~     ~    
1534|HD 171977                                                             |Star                           |18 37 35.6211345360 +00 50 26.333752596|032.1014630925827 +03.4635119005664|   5.634 -9.166   |8.96     |A9V             |    ~     ~    
1535|HD 172047                                                             |Star                           |18 37 56.1332747208 +00 53 31.715056752|032.1864108770688 +03.4109333036317| 11.321 -37.953   |9.28     |F7V             |    ~     ~    
1536|HD 172071                                                             |Star                           |18 38 05.0253011544 +01 05 30.031547820|032.3812447817426 +03.4689150142610| -9.700 -16.761   |9.75     |F6/7V           |    ~     ~    
1537|HD 172087                                                             |Star                           |18 38 11.4861143448 +00 23 45.280056804|031.7733059027400 +03.1276711603258|  -3.070 -5.096   |8.04     |G8III           |    ~     ~    
1538|HD 172154                                                             |High Proper Motion Star        |18 38 37.4330574264 +01 03 08.381220444|032.4077993199325 +03.3308103735344| 21.109 -87.207   |9.09     |G5V             |    ~     ~    
1539|G 21-22                                                               |High Proper Motion Star        |18 39 09.7158608590 +00 07 14.320687061|031.6389194589306 +02.7861669804902|-163.733 -445.509 |10.775   |G4              |    ~     ~    
1540|HD 172273                                                             |Star                           |18 39 20.5034968704 +00 20 17.301925428|031.8532177609327 +02.8454239052261|  29.930 -5.611   |9.14     |G8IV            |    ~     ~    
1541|HD 172327                                                             |Star                           |18 39 40.3906505232 +00 08 51.787419180|031.7214356611793 +02.6847997549717|  0.294 -19.986   |8.20     |K0III           |    ~     ~    
1542|HD 172544                                                             |Star                           |18 40 45.2087413488 +01 02 17.432273580|032.6381327466517 +02.8505444320818|    3.516 2.108   |8.53     |B8V             |    ~     ~    
1543|HD 172652                                                             |Star                           |18 41 28.4472434016 +00 15 22.995390780|032.0238525543506 +02.3337467184234|   1.683 -7.175   |10.025   |A5II            |    ~     ~    
1544|HD 172651                                                             |Star                           |18 41 26.6805355320 +00 33 51.883851060|032.2948547995650 +02.4807865537713| -3.269 -28.424   |7.462    |K3III           |    ~     ~    
1545|BD+00 3994                                                            |Star                           |18 41 50.1093495432 +00 23 11.166006048|032.1808817981742 +02.3127455768618| -2.775 -13.384   |10.11    |K2              |    ~     ~    
1546|TYC 447-160-1                                                         |Star                           |18 42 02.7664326984 +00 42 41.352183540|032.4944856738326 +02.4140348249358|  4.030 -19.752   |10.76    |K0              |    ~     ~    
1547|HD 172848                                                             |Star                           |18 42 25.1309888088 +00 40 13.743146820|032.5004783561430 +02.3124097451070|   0.533 -8.527   |9.65     |A2IV            |    ~     ~    
1548|HD 172926                                                             |Star                           |18 42 49.6928811888 +00 39 31.472981100|032.5367117005762 +02.2159764638568|  -8.054 -0.324   |9.96     |A2III           |    ~     ~    
1549|HD 172962                                                             |Star                           |18 42 58.3557342648 +00 34 54.611148864|032.4846822033912 +02.1487893208196|   1.849 -9.825   |9.79     |A2IV            |    ~     ~    
1550|HIP 91920                                                             |Star                           |18 44 21.0270400056 +00 32 14.653388760|032.6022550972443 +01.8219690708538|-21.756 -22.718   |10.47    |F5              |    ~     ~    
1551|HD 173315                                                             |Star                           |18 44 34.4367114168 +00 09 49.617307800|032.2950833956912 +01.6018682836856|   9.912 23.061   |8.24     |G8IV            |    ~     ~    
1552|HD 173330                                                             |Star                           |18 44 40.4929645680 +00 43 31.234111356|032.8066057952097 +01.8354644672430|-11.837 -12.464   |9.79     |G5              |    ~     ~    
1553|HD 172155                                                             |Star                           |18 38 34.6815719376 +00 06 54.380385108|031.5672722559913 +02.9135208646938| -11.572 29.877   |8.02     |F5V             |    ~     ~    
1554|HD 172233                                                             |High Proper Motion Star        |18 39 10.3393386552 +00 06 22.167269712|031.6272013413381 +02.7772432642818|   80.059 3.819   |8.03     |G3V             |    ~     ~    
1555|HD 172250                                                             |Star                           |18 39 14.2548242304 +00 05 31.749650664|031.6221810016392 +02.7563350159807|    4.008 1.972   |9.59     |A0V             |    ~     ~    
1556|TYC 451-1088-1                                                        |Star                           |18 38 21.1656690936 +02 11 21.713866800|033.3912776199494 +03.9088047193593|   9.114 -4.630   |10.31    |~               |    ~     ~    
1557|V* HK Aql                                                             |Long-Period Variable Candidate |18 42 17.6938517976 +00 09 18.311958180|032.0273160590522 +02.1049367276958|   4.706 -7.868   |8.447    |K4III           |    ~     ~    
1558|TYC 447-308-1                                                         |Star                           |18 42 00.5604734520 +00 03 18.427085460|031.9057058393954 +02.1228549634833|    2.092 1.404   |10.9     |~               |    ~     ~    
1559|TYC 446-384-1                                                         |Star                           |18 36 57.4992942456 +00 20 35.713780476|031.5854649849628 +03.3779387380875|   4.058 -9.540   |10.74    |B5              |    ~     ~    
1560|BD+00 4000                                                            |Star                           |18 42 52.3913413104 +00 59 53.564742672|032.8442346699701 +02.3607061199474| -2.741 -42.410   |9.82     |~               |    ~     ~    
1561|TYC 446-208-1                                                         |Star                           |18 34 23.8371844344 +00 07 30.315692028|031.0980368896822 +03.8479164919089|-13.969 -15.335   |10.87    |~               |    ~     ~    
1562|TYC 447-10-1                                                          |Star                           |18 42 08.1491731728 +00 37 55.971466500|032.4341040687162 +02.3579327072032| 37.645 -10.966   |10.51    |~               |    ~     ~    
1563|BD+01 3744                                                            |Emission-line Star             |18 40 12.9274663104 +01 48 57.768137640|033.2703251876907 +03.3245255182941|  -3.133 -6.383   |10.84    |A0p             |    ~     ~    
1564|TYC 447-53-1                                                          |Star                           |18 42 14.2968898920 +01 30 25.235669052|033.2252502008955 +02.7337628393146|   -8.969 1.312   |10.30    |~               |    ~     ~    
1565|TYC 447-62-1                                                          |Star                           |18 37 33.1162601064 +00 15 12.787294320|031.5733698096704 +03.2049538979494| 16.231 -24.674   |10.36    |~               |    ~     ~    
1566|TYC 447-89-1                                                          |Star                           |18 44 47.8087223952 +01 50 20.732324352|033.8126056760146 +02.3157397979926|   8.075 -8.245   |10.56    |~               |    ~     ~    
1567|TYC 447-116-1                                                         |Star                           |18 42 50.8520261880 +00 47 30.394614084|032.6574118205026 +02.2723247738652|  -3.806 -6.878   |10.86    |~               |    ~     ~    
1568|TYC 447-126-1                                                         |Star                           |18 39 24.9383654760 +00 40 11.812375596|032.1573177436509 +02.9803325486447|-14.584 -24.489   |10.74    |~               |    ~     ~    
1569|TYC 447-133-1                                                         |Star                           |18 44 08.0225305656 +01 35 41.774753580|033.5195365078934 +02.3520910119785| 12.422 -16.288   |10.66    |~               |    ~     ~    
1570|TYC 447-134-1                                                         |High Proper Motion Star        |18 42 02.2212253944 +01 05 28.757543892|032.8318587558836 +02.5891804328170| 33.888 -48.196   |10.93    |~               |    ~     ~    
1571|TYC 447-252-1                                                         |Star                           |18 42 52.2815114088 +00 00 59.471965152|031.9697211544695 +01.9134771333910|-34.938 -12.252   |10.73    |~               |    ~     ~    
1572|TYC 447-299-1                                                         |Star                           |18 41 28.2554221776 +01 27 42.642751680|033.0975503984054 +02.8839275978092|   1.477 -8.294   |10.88    |~               |    ~     ~    
1573|TYC 447-314-1                                                         |Star                           |18 43 30.0066894480 +00 36 19.153080072|032.5657623389325 +02.0421286749884| -7.280 -12.341   |10.24    |~               |    ~     ~    
1574|TYC 447-321-1                                                         |Star                           |18 42 16.5934695192 +01 19 38.437603464|033.0694872417433 +02.6434150714419|   3.321 -8.586   |10.71    |~               |    ~     ~    
1575|TYC 447-383-1                                                         |Star                           |18 44 21.9542527584 +00 53 34.226194956|032.9205493647930 +01.9805586262710|  9.951 -37.661   |10.62    |F3V             |    ~     ~    
1576|TYC 447-394-1                                                         |Double or Multiple Star        |18 38 32.145744 +00 44 27.17520        |032.120090244 +03.208431071        |       2.0 -5.9   |10.893   |~               |    ~     ~    
1577|TYC 447-406-1                                                         |Star                           |18 42 23.0795163312 +01 10 00.743742840|032.9388116874030 +02.5462569272508|   5.018 10.065   |10.23    |~               |    ~     ~    
1578|TYC 447-418-1                                                         |Star                           |18 39 24.8618030352 +00 17 49.351443720|031.8248988190736 +02.8105133968148|  11.469 -6.451   |10.63    |~               |    ~     ~    
1579|TYC 447-427-1                                                         |Star                           |18 39 23.4907939896 +00 39 14.193687132|032.1403003081056 +02.9784012032576|    7.740 6.398   |10.41    |~               |    ~     ~    
1580|TYC 447-444-1                                                         |High Proper Motion Star        |18 42 30.9115154856 +01 11 55.529486592|032.9821024583058 +02.5317408659439| 27.665 -58.501   |10.52    |~               |    ~     ~    
1581|TYC 447-502-1                                                         |Star                           |18 44 12.9098841024 +01 01 06.870308592|033.0153541831374 +02.0714002120891|    7.173 2.827   |10.90    |A9V             |    ~     ~    
1582|TYC 447-503-1                                                         |Star                           |18 40 08.9437522224 +01 05 13.485297624|032.6127823498491 +03.0073092269028|   4.418 -7.556   |10.75    |~               |    ~     ~    
