C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:00:10

dec< 0&rah >=6.0&rah< 6.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 5768

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
758 |TYC 5353-154-1                                                        |Star                              |06 03 05.9823662880 -09 58 16.795142760|216.5019771631436 -15.2163730649852| -23.311 11.878   |10.77    |~                |    ~     ~    |    1|  226.850   pc  |  -0.8131     +0.8131  |paral   |2020yCat.1350....0G
759 |TYC 5353-202-1                                                        |Star                              |06 04 20.5918453008 -09 58 59.308436208|216.6500217459965 -14.9453621763446|   1.198 -4.100   |10.20    |~                |    ~     ~    |    1|  699.986   pc  |  -7.6927     +7.6927  |paral   |2020yCat.1350....0G
760 |TYC 5353-358-1                                                        |Star                              |06 05 41.2317769704 -10 00 18.260516808|216.8184470871992 -14.6564664516412| -13.795 41.299   |10.80    |~                |    ~     ~    |    1|  328.095   pc  |  -1.8515     +1.8515  |paral   |2020yCat.1350....0G
761 |TYC 5353-448-1                                                        |Star                              |06 06 38.1234640560 -10 10 57.046907280|217.0880259208752 -14.5227143241601|  -4.822 -0.888   |10.58    |~                |    ~     ~    |    1|  194.806   pc  |  -0.5313     +0.5313  |paral   |2020yCat.1350....0G
762 |TYC 5353-532-1                                                        |Star                              |06 04 06.0553478112 -09 50 17.874152304|216.4881485188673 -14.9365195398775|    1.196 3.951   |10.54    |~                |    ~     ~    |    1|  926.355   pc  | -12.8720    +12.8720  |paral   |2020yCat.1350....0G
763 |TYC 5353-600-1                                                        |Star                              |06 03 59.5704692520 -09 31 31.627923924|216.1844688662090 -14.8249717014167|   -5.241 4.657   |10.98    |~                |    ~     ~    |    1|  459.538   pc  |  -3.8011     +3.8011  |paral   |2020yCat.1350....0G
764 |TYC 5353-1064-1                                                       |Star                              |06 04 41.8636869672 -09 40 59.082933396|216.4092897704378 -14.7367610157408|   -1.347 2.110   |10.80    |~                |    ~     ~    |    1|  781.250   pc  | -11.1084    +11.1084  |paral   |2020yCat.1350....0G
765 |TYC 5353-1095-1                                                       |Star                              |06 03 57.9551796552 -10 01 04.054263096|216.6408209958012 -15.0441023780189|  -0.181 12.433   |10.14    |~                |    ~     ~    |    1|  299.625   pc  |  -1.8584     +1.8584  |paral   |2020yCat.1350....0G
766 |HD 40879A                                                             |Star                              |06 01 22.9157466120 -10 08 00.712451652|216.4645022458560 -15.6678230922039|    4.014 7.058   |9.44     |~                |    ~     ~    |    1|  384.364   pc  |  -5.6287     +5.6287  |paral   |2020yCat.1350....0G
767 |HD 40879B                                                             |Star                              |06 01 22.6728991104 -10 07 57.067486968|216.4631075099061 -15.6682855905094|    3.130 6.747   |10.70    |~                |    ~     ~    |    1|  378.558   pc  |  -2.5795     +2.5795  |paral   |2020yCat.1350....0G
768 |TYC 5353-1136-1                                                       |High Proper Motion Star           |06 03 33.7786985424 -09 47 35.662447140|216.3867324196084 -15.0364879153102| 23.027 -55.967   |10.87    |~                |    ~     ~    |    1|  239.923   pc  |  -0.8462     +0.8462  |paral   |2020yCat.1350....0G
769 |TYC 5353-1228-1                                                       |Spectroscopic Binary              |06 04 38.4356596320 -10 13 06.521150784|216.9024539191773 -14.9809616468557|   1.453 -0.021   |10.43    |~                |    ~     ~    |    1|  695.024   pc  |  -9.7095     +9.7095  |paral   |2020yCat.1350....0G
770 |TYC 5353-1307-1                                                       |Star                              |06 04 41.0214488232 -09 48 09.807229800|216.5192585462903 -14.7917091177870|   7.232 -7.122   |10.99    |~                |    ~     ~    |    1|  620.270   pc  |  -5.9249     +5.9249  |paral   |2020yCat.1350....0G
771 |TYC 5362-242-1                                                        |Star                              |06 10 43.8556380408 -09 13 20.042292396|216.6484875613551 -13.1966020223017|  3.526 -30.094   |10.95    |~                |    ~     ~    |    1|  341.355   pc  |  -1.6663     +1.6663  |paral   |2020yCat.1350....0G
772 |TYC 5366-18-1                                                         |Spectroscopic Binary              |06 11 00.4652051544 -10 22 18.152845140|217.7432870244789 -13.6346503232248|   -7.981 4.633   |10.82    |~                |    ~     ~    |    0|                |                       |        |                   
773 |TYC 5366-1190-1                                                       |Star                              |06 11 14.9610571464 -10 20 55.631268168|217.7484742838056 -13.5711670109218|   3.901 23.330   |10.56    |~                |    ~     ~    |    1|  183.793   pc  |  -4.4218     +4.4218  |paral   |2020yCat.1350....0G
774 |TYC 5366-2015-1                                                       |Star                              |06 08 17.5975237776 -10 36 10.957337532|217.6613913916196 -14.3364061000599|  -3.143 -2.117   |10.40    |~                |    ~     ~    |    1| 1174.122   pc  | -22.0570    +22.0570  |paral   |2020yCat.1350....0G
775 |TYC 5366-2135-1                                                       |Star                              |06 09 23.5852156152 -10 32 45.740964912|217.7285681944479 -14.0679674488011|  1.723 -29.817   |10.84    |~                |    ~     ~    |    1|  259.134   pc  |  -1.2423     +1.2423  |paral   |2020yCat.1350....0G
776 |TYC 5366-2272-1                                                       |Star                              |06 08 59.6660754960 -09 29 46.816013076|216.7102428072646 -13.7015810281660|  -9.479 20.579   |10.52    |~                |    ~     ~    |    1|  604.193   pc  |  -5.5853     +5.5853  |paral   |2020yCat.1350....0G
777 |BD-10 1353                                                            |Spectroscopic Binary              |06 02 19.0460874048 -10 00 57.974627664|216.4576199928423 -15.4094252138705| -6.539 -26.081   |10.76    |~                |    ~     ~    |    1|  301.495   pc  |  -6.6175     +6.6175  |paral   |2020yCat.1350....0G
778 |HD 40881                                                              |Star                              |06 01 12.3131425704 -11 42 14.221064988|217.9220916359392 -16.3787690946078| -14.842 -2.574   |8.70     |F8/G0V           |    ~     ~    |    1|  132.081   pc  |  -1.1148     +1.1148  |paral   |2020yCat.1350....0G
779 |HD 40713                                                              |Star                              |06 00 06.6731550384 -12 39 46.089857232|218.7117130319236 -17.0259737142837| -1.030 -14.354   |9.82     |A9V              |    ~     ~    |    1|  289.931   pc  |  -1.3197     +1.3197  |paral   |2020yCat.1350....0G
780 |V* AC Lep                                                             |gamma Dor Variable                |06 00 17.6604502536 -12 54 00.121230396|218.9565588525803 -17.0849599136332| -5.412 -49.970   |6.195    |F2IV             |    ~     ~    |    1|   61.233   pc  |  -0.1192     +0.1192  |paral   |2020yCat.1350....0G
781 |BD-12 1338                                                            |Star                              |06 00 24.3350069328 -12 52 37.841247696|218.9467352218545 -17.0507672721050| -4.016 -22.427   |10.15    |F5               |    ~     ~    |    1|  237.564   pc  |  -0.9368     +0.9368  |paral   |2020yCat.1350....0G
782 |HD 40779                                                              |Star                              |06 00 30.6540845808 -12 10 09.550652844|218.2869180049681 -16.7296488329109| -9.165 -35.001   |7.71     |F3V              |    ~     ~    |    1|   70.857   pc  |  -0.1155     +0.1155  |paral   |2020yCat.1350....0G
783 |HD 40796                                                              |Star                              |06 00 34.5153022680 -12 56 20.286432384|219.0235379455000 -17.0391185966611|   -3.296 8.243   |10.30    |A0IV             |    ~     ~    |    1|  565.291   pc  |  -6.8065     +6.8065  |paral   |2020yCat.1350....0G
784 |HD 40968                                                              |Star                              |06 01 44.5925935872 -12 01 42.985298388|218.2867465030800 -16.3971706278846|  -1.882 -7.635   |8.35     |A7V              |    ~     ~    |    1|  359.092   pc  |  -2.8110     +2.8110  |paral   |2020yCat.1350....0G
785 |HD 41015                                                              |Star                              |06 01 57.3939045792 -12 30 46.753637112|218.7675696019247 -16.5544787369408|  -1.124 10.617   |8.88     |F6V              |    ~     ~    |    1|  236.619   pc  |  -1.0974     +1.0974  |paral   |2020yCat.1350....0G
786 |HD 41033                                                              |Star                              |06 02 03.8686733520 -12 39 04.100758920|218.9098765235941 -16.5887624348921|    3.212 5.756   |9.63     |F6V              |    ~     ~    |    1|  275.126   pc  |  -1.5442     +1.5442  |paral   |2020yCat.1350....0G
787 |HD 40714                                                              |Star                              |06 00 02.9275979112 -13 57 44.375836212|219.9421879649698 -17.5817550466573|   -2.189 0.124   |9.03     |A2IV             |    ~     ~    |    1|  330.568   pc  |  -2.0434     +2.0434  |paral   |2020yCat.1350....0G
788 |HD 40820                                                              |High Proper Motion Star           |06 00 42.5488624584 -13 16 39.175710888|219.3595682636295 -17.1511028425511| -44.527 84.318   |9.18     |F7V              |    ~     ~    |    1|  114.081   pc  |  -0.1991     +0.1991  |paral   |2020yCat.1350....0G
789 |HD 40840                                                              |Star                              |06 00 52.5156699912 -13 12 22.979144880|219.3095771506235 -17.0846493032393|   3.580 -1.608   |9.29     |K1/2III          |    ~     ~    |    1|  835.352   pc  | -11.7930    +11.7930  |paral   |2020yCat.1350....0G
790 |HD 40905                                                              |Star                              |06 01 20.3371157088 -13 01 35.853555756|219.1882399910491 -16.9069026945096|  -1.397 10.882   |7.72     |K0III            |    ~     ~    |    1|  371.996   pc  |  -2.7123     +2.7123  |paral   |2020yCat.1350....0G
791 |HD 40988                                                              |Star                              |06 01 47.2858149000 -13 02 55.413186648|219.2570908323906 -16.8168284601200|    3.558 0.268   |9.20     |A0V              |    ~     ~    |    1|  445.871   pc  |  -4.5525     +4.5525  |paral   |2020yCat.1350....0G
792 |HD 40780                                                              |Star                              |06 00 22.0356222336 -14 00 57.289735080|220.0269003915890 -17.5336213833526|  -3.755 -2.360   |9.45     |A1IV             |    ~     ~    |    1|  486.855   pc  |  -4.5035     +4.5035  |paral   |2020yCat.1350....0G
793 |HD 41065                                                              |Star                              |06 02 14.3456519904 -13 01 58.852560648|219.2902655649438 -16.7105129912561|  -10.739 7.607   |7.92     |K0III            |    ~     ~    |    1|  257.579   pc  |  -1.7648     +1.7648  |paral   |2020yCat.1350....0G
794 |BD-13 1317                                                            |Star                              |06 00 03.6809358336 -13 53 24.070108560|219.8744827974496 -17.5490270128226|   3.478 -9.376   |9.84     |~                |    ~     ~    |    1|  611.434   pc  |  -5.4582     +5.4582  |paral   |2020yCat.1350....0G
795 |BD-12 1342                                                            |Star                              |06 00 39.1361568312 -12 23 32.795058768|218.5134095794946 -16.7924529157736|   -8.902 2.693   |9.55     |~                |    ~     ~    |    1|  536.251   pc  |  -5.3487     +5.3487  |paral   |2020yCat.1350....0G
796 |BD-13 1323                                                            |High Proper Motion Star           |06 01 29.6205695568 -13 34 39.552340620|219.7282344480035 -17.1028476256283| 18.320 -46.920   |10.12    |~                |    ~     ~    |    1|  222.578   pc  |  -0.7728     +0.7728  |paral   |2020yCat.1350....0G
797 |BD-12 1352                                                            |Star                              |06 02 08.0643792096 -12 53 32.010927432|219.1456693396100 -16.6746090927167|    5.979 9.465   |9.83     |~                |    ~     ~    |    1|  612.295   pc  | -29.0176    +29.0176  |paral   |2020yCat.1350....0G
798 |BD-11 1353                                                            |Star                              |06 00 11.7011220024 -11 52 21.519447024|217.9721303322616 -16.6741939610149|   1.643 13.768   |9.97     |~                |    ~     ~    |    1|  580.316   pc  |  -4.5463     +4.5463  |paral   |2020yCat.1350....0G
799 |BD-11 1355                                                            |Star                              |06 00 13.8120548208 -11 58 34.683395088|218.0739800954109 -16.7102661815877|  -5.100 -7.645   |9.96     |~                |    ~     ~    |    1|  563.222   pc  |  -4.4411     +4.4411  |paral   |2020yCat.1350....0G
800 |BD-11 1354                                                            |Star                              |06 00 15.0899449368 -11 19 36.454736208|217.4626905542802 -16.4298989229008|-15.073 -24.362   |10.64    |~                |    ~     ~    |    1|  198.004   pc  |  -0.5646     +0.5646  |paral   |2020yCat.1350....0G
801 |BD-11 1356                                                            |Star                              |06 01 07.4699469144 -11 47 11.622549372|217.9913348103856 -16.4317110705341|  -0.773 -3.829   |10.26    |~                |    ~     ~    |    1|  313.765   pc  |  -1.8804     +1.8804  |paral   |2020yCat.1350....0G
802 |BD-13 1322                                                            |Star                              |06 01 19.9660279392 -13 42 11.235131208|219.8306009608800 -17.1906099490669|  -2.211 -5.784   |10.02    |~                |    ~     ~    |    1|  387.792   pc  |  -2.2858     +2.2858  |paral   |2020yCat.1350....0G
803 |BD-13 1325                                                            |Star                              |06 01 47.5900071192 -13 48 20.978337636|219.9770077471266 -17.1316280000796|  -1.532 27.122   |10.45    |~                |    ~     ~    |    1|  273.179   pc  |  -1.2910     +1.2910  |paral   |2020yCat.1350....0G
804 |BD-12 1349                                                            |Star                              |06 01 58.6241592720 -12 23 06.990634464|218.6489732589284 -16.4960985553379|-25.354 -16.026   |10.35    |~                |    ~     ~    |    1|  306.551   pc  |  -1.5694     +1.5694  |paral   |2020yCat.1350....0G
805 |BD-12 1350                                                            |Star                              |06 02 02.6845838736 -12 22 16.676346936|218.6430294831114 -16.4752196009714|  -5.048 -0.021   |10.18    |~                |    ~     ~    |    1|  307.295   pc  |  -4.2116     +4.2116  |paral   |2020yCat.1350....0G
806 |HD 41169                                                              |Star                              |06 02 53.6705869608 -11 20 55.083697620|217.7706554196181 -15.8531092746676|   -6.290 1.730   |7.89     |B9IV/V           |    ~     ~    |    1|  320.184   pc  |  -4.3160     +4.3160  |paral   |2020yCat.1350....0G
807 |HD 41194                                                              |Star                              |06 03 04.9933430016 -11 53 28.909446612|218.3019351905162 -16.0421627353924|   -1.367 0.933   |8.19     |A0IV/V           |    ~     ~    |    1|  527.037   pc  | -26.7491    +26.7491  |paral   |2020yCat.1350....0G
808 |HD 41435                                                              |Star                              |06 04 41.3489286744 -11 28 49.674213660|218.0893216502475 -15.5115505445932|   -5.018 4.631   |8.88     |A0/1V            |    ~     ~    |    1|  342.747   pc  |  -2.7842     +2.7842  |paral   |2020yCat.1350....0G
809 |HD 41681                                                              |Star                              |06 06 09.4185727488 -11 31 55.427388996|218.2968171688202 -15.2083539991557| -10.055 -0.081   |8.85     |A9V              |    ~     ~    |    1|  161.752   pc  |  -0.4108     +0.4108  |paral   |2020yCat.1350....0G
810 |HD 41796                                                              |Star                              |06 06 42.4213431864 -11 57 47.034102240|218.7604046590026 -15.2701866084083|  -9.970 -2.103   |8.14     |A0V              |    ~     ~    |    1|  336.961   pc  |  -3.3836     +3.3836  |paral   |2020yCat.1350....0G
811 |HD 41838                                                              |Star                              |06 06 59.6198828280 -11 39 15.306104196|218.5018770862864 -15.0751792850249|  5.176 -51.292   |9.72     |G8V              |    ~     ~    |    1|   91.936   pc  |  -0.8038     +0.8038  |paral   |2020yCat.1350....0G
812 |HD 41860                                                              |Star                              |06 07 05.8250027592 -11 33 35.722594332|218.4247379893033 -15.0120148305413|  -8.935 -2.171   |10.02    |A5/7II           |    ~     ~    |    1|  403.437   pc  | -25.0490    +25.0490  |paral   |2020yCat.1350....0G
813 |HD 42095                                                              |High Proper Motion Star           |06 08 25.0500403608 -11 29 13.453527228|218.4996135363279 -14.6884572154837| 66.715 -62.844   |9.00     |G3V              |    ~     ~    |    1|   77.519   pc  |  -0.1622     +0.1622  |paral   |2020yCat.1350....0G
814 |HD 42242                                                              |Star                              |06 09 07.6282991808 -11 32 57.133531716|218.6345061001332 -14.5579065107434|  3.222 -15.697   |8.40     |K4III            |    ~     ~    |    1|  267.867   pc  |  -1.9301     +1.9301  |paral   |2020yCat.1350....0G
815 |HD 42280                                                              |Double or Multiple Star           |06 09 19.3425 -11 41 04.722            |218.7821289 -14.5725970            |     -20.3 19.5   |9.03     |F6/7V            |    ~     ~    |    0|                |                       |        |                   
816 |HD 42281                                                              |Star                              |06 09 21.5773769256 -11 57 05.857359984|219.0356721279196 -14.6783174928956|  -3.930 -9.908   |9.13     |K5               |    ~     ~    |    1|  758.380   pc  | -11.9054    +11.9054  |paral   |2020yCat.1350....0G
817 |HD 42320                                                              |Star                              |06 09 32.0106509088 -11 38 39.738676380|218.7673440573300 -14.5086487629584|   -0.539 1.127   |10.49    |A9/F0V           |    ~     ~    |    1|  515.411   pc  |  -6.7209     +6.7209  |paral   |2020yCat.1350....0G
818 |HD 42358                                                              |Star                              |06 09 46.0202190768 -11 26 47.503695084|218.6079779629607 -14.3722864760829|  -0.136 -4.574   |9.79     |G8III/IV         |    ~     ~    |    1|  546.179   pc  |  -3.6394     +3.6394  |paral   |2020yCat.1350....0G
819 |HD 42484                                                              |Star                              |06 10 28.2395036376 -11 51 50.448190860|219.0736329888112 -14.3951369892139|-11.623 -13.965   |8.06     |K0III            |    ~     ~    |    1|  285.869   pc  |  -1.7325     +1.7325  |paral   |2020yCat.1350....0G
820 |HD 42578                                                              |Spectroscopic Binary              |06 11 05.2649229072 -11 46 53.830962804|219.0633606172740 -14.2234087639053|    2.666 5.842   |9.77     |G3V              |    ~     ~    |    1|  323.196   pc  | -13.6732    +13.6732  |paral   |2020yCat.1350....0G
821 |HD 41083                                                              |Star                              |06 02 22.3620954456 -12 43 59.791107540|219.0206133427420 -16.5551133578414| 26.560 -26.356   |9.66     |G2/3V            |    ~     ~    |    1|  113.742   pc  |  -0.2109     +0.2109  |paral   |2020yCat.1350....0G
822 |HD 41082                                                              |Star                              |06 02 23.3903983464 -12 32 44.096455968|218.8448688948792 -16.4723155922166| -0.322 -20.442   |10.30    |F3/5(V)          |    ~     ~    |    1|  194.292   pc  |  -0.6455     +0.6455  |paral   |2020yCat.1350....0G
823 |HD 41081                                                              |Star                              |06 02 24.9801227904 -12 22 10.669820412|218.6813775820859 -16.3922504459406|   0.174 -1.749   |9.55     |K1/2III          |    ~     ~    |    1| 1016.570   pc  | -17.0513    +17.0513  |paral   |2020yCat.1350....0G
824 |HD 41124                                                              |Star                              |06 02 34.4171135952 -12 57 12.181762548|219.2504872403147 -16.6031381880896| -25.828 -8.191   |8.24     |A2mF0-F2         |    ~     ~    |    1|  157.364   pc  |  -0.7602     +0.7602  |paral   |2020yCat.1350....0G
825 |HD 41123                                                              |Star                              |06 02 37.6766789664 -12 10 06.845484144|218.5142505083630 -16.2604396930844|   -6.524 4.274   |9.35     |A4/5V            |    ~     ~    |    1|  268.861   pc  |  -1.5180     +1.5180  |paral   |2020yCat.1350....0G
826 |HD 41208                                                              |Spectroscopic Binary              |06 03 08.1843356064 -12 06 56.797585920|218.5192094400914 -16.1255040631466|  0.474 -10.677   |9.11     |G5V              |    ~     ~    |    1|  233.220   pc  |  -2.1539     +2.1539  |paral   |2020yCat.1350....0G
827 |HD 41240                                                              |Star                              |06 03 15.5767970880 -12 40 18.581792520|219.0574030092077 -16.3330393433512| -0.887 -16.955   |9.25     |K1III            |    ~     ~    |    1|  225.185   pc  |  -0.7505     +0.7505  |paral   |2020yCat.1350....0G
828 |HD 41486                                                              |Star                              |06 05 00.1057025736 -12 19 11.534505780|218.9122099096645 -15.7989802172886|  -5.178 -1.918   |8.51     |A7/8V            |    ~     ~    |    1|  327.482   pc  |  -2.1020     +2.1020  |paral   |2020yCat.1350....0G
829 |HD 41549                                                              |Star                              |06 05 20.0039408904 -12 56 31.375534812|219.5341800504689 -15.9882315608050|   5.573 -0.357   |9.56     |G8(III)          |    ~     ~    |    1|  734.700   pc  | -12.3611    +12.3611  |paral   |2020yCat.1350....0G
830 |HD 41646                                                              |Star                              |06 05 57.9123451512 -12 14 04.203221316|218.9354411809342 -15.5496239777388|   -5.713 4.838   |10.19    |A9V              |    ~     ~    |    1|  301.723   pc  |  -1.6478     +1.6478  |paral   |2020yCat.1350....0G
831 |HD 41694                                                              |Star                              |06 06 09.5702935056 -12 33 07.707730536|219.2550620844977 -15.6411233793334|   0.717 11.585   |9.62     |G8(IV)           |    ~     ~    |    1|  486.926   pc  |  -3.2245     +3.2245  |paral   |2020yCat.1350....0G
832 |HD 41718                                                              |Star                              |06 06 16.2851674848 -12 47 31.463983464|219.4929276133500 -15.7177073596905|   2.835 11.172   |9.70     |F5V              |    ~     ~    |    1|  140.835   pc  |  -0.3015     +0.3015  |paral   |2020yCat.1350....0G
833 |HD 41717                                                              |Star                              |06 06 20.5918385496 -12 31 12.703547784|219.2446873761749 -15.5869915252688|   4.242 -5.999   |8.58     |F3V              |    ~     ~    |    1|  345.817   pc  |  -2.3200     +2.3200  |paral   |2020yCat.1350....0G
834 |HD 41774                                                              |Star                              |06 06 36.7442433960 -12 50 38.065664004|219.5781632505505 -15.6642073645470|  -2.144 -3.225   |9.38     |A2III/IV         |    ~     ~    |    1|  464.922   pc  |  -4.1501     +4.1501  |paral   |2020yCat.1350....0G
835 |HD 41815                                                              |Star                              |06 06 51.1494595632 -12 34 56.353698336|219.3576799583570 -15.5006508748675|  -3.316 -6.259   |10.11    |A8/9V            |    ~     ~    |    1|  395.116   pc  |  -4.7303     +4.7303  |paral   |2020yCat.1350....0G
836 |HD 41839                                                              |Star                              |06 06 55.8524726304 -12 03 54.380115396|218.8802655685551 -15.2640267271296|   3.961 -4.001   |6.97     |K2III            |    ~     ~    |    1|  372.926   pc  |  -2.7397     +2.7397  |paral   |2020yCat.1350....0G
837 |HD 41861                                                              |Star                              |06 06 59.1903098304 -12 42 26.361648000|219.4895887325533 -15.5238647142728|   -5.196 5.769   |9.49     |A2V              |    ~     ~    |    1|  313.372   pc  |  -3.2112     +3.2112  |paral   |2020yCat.1350....0G
838 |HD 41914                                                              |Star                              |06 07 17.4976199736 -12 12 53.502428556|219.0596129080492 -15.2478193391352|   -2.075 8.588   |8.43     |K1III            |    ~     ~    |    1|  291.792   pc  |  -1.5751     +1.5751  |paral   |2020yCat.1350....0G
839 |HD 41971                                                              |Star                              |06 07 41.2037879424 -12 02 14.597836836|218.9356880633909 -15.0849797025964|  -0.314 -7.330   |8.34     |M1III            |    ~     ~    |    1|  580.653   pc  |  -6.4734     +6.4734  |paral   |2020yCat.1350....0G
840 |HD 42207                                                              |Double or Multiple Star           |06 08 55.2198817128 -12 37 59.758441644|219.6268929025854 -15.0651391778142|   1.373 -2.496   |9.20     |B8/9III          |0.0083  0.0    |    1|  539.462   pc  | -31.3136    +31.3136  |paral   |2020yCat.1350....0G
841 |HD 42243                                                              |Star                              |06 09 04.6589930472 -12 57 48.132715356|219.9535379875255 -15.1700190684457|   -7.366 1.171   |9.60     |A5III/IV         |    ~     ~    |    1|  358.461   pc  |  -2.5956     +2.5956  |paral   |2020yCat.1350....0G
842 |HD 42262                                                              |Star                              |06 09 13.1691195168 -12 09 11.342674404|219.2091100471293 -14.7951569756192|  -2.661 -1.522   |10.44    |F0               |    ~     ~    |    1|  672.676   pc  | -16.8327    +16.8327  |paral   |2020yCat.1350....0G
843 |HD 42384                                                              |High Proper Motion Star           |06 09 55.5733390320 -12 32 31.804715688|219.6492000519142 -14.8042381913974| -31.438 33.098   |8.38     |K1III            |    ~     ~    |    1|  344.649   pc  | -11.1062    +11.1062  |paral   |2020yCat.1350....0G
844 |HD 42605                                                              |Star                              |06 11 07.3554983328 -12 44 35.686331232|219.9654726754147 -14.6252724220704|  -1.803 13.277   |8.94     |ApSrEuCr         |    ~     ~    |    1|  283.158   pc  |  -1.6837     +1.6837  |paral   |2020yCat.1350....0G
845 |HD 41084                                                              |Spectroscopic Binary              |06 02 23.2733597160 -13 11 12.042538368|219.4518091420164 -16.7419826660439|  15.791 -6.691   |9.46     |A1mA8-F0/2       |    ~     ~    |    1|  268.140   pc  |  -6.5284     +6.5284  |paral   |2020yCat.1350....0G
846 |HD 41170                                                              |Star                              |06 02 46.9742663280 -13 41 24.103202496|219.9714713250936 -16.8648935530261|  -1.415 38.747   |9.63     |F3V              |    ~     ~    |    1|  157.456   pc  |  -0.3843     +0.3843  |paral   |2020yCat.1350....0G
847 |HD 41320                                                              |Star                              |06 03 53.4801586848 -13 31 02.523079128|219.9249526193139 -16.5480854611002| 10.313 -30.406   |8.80     |F3V              |    ~     ~    |    1|  197.243   pc  |  -0.6264     +0.6264  |paral   |2020yCat.1350....0G
848 |HD 41337                                                              |High Proper Motion Star           |06 03 56.1815523312 -13 57 01.126324116|220.3404249534537 -16.7186372166599|  20.395 98.556   |8.48     |K1III            |    ~     ~    |    1|   83.130   pc  |  -0.1686     +0.1686  |paral   |2020yCat.1350....0G
849 |HD 41383                                                              |Star                              |06 04 11.1813940656 -13 41 22.208503272|220.1193515060305 -16.5548138714677|   -1.223 0.297   |7.06     |B9.5III          |    ~     ~    |    1|  353.282   pc  |  -6.8145     +6.8145  |paral   |2020yCat.1350....0G
850 |HD 41384                                                              |Star                              |06 04 16.9561404744 -13 55 41.922324120|220.3560321231721 -16.6330890595401|   0.226 -2.579   |9.59     |A0V              |    ~     ~    |    1| 1022.181   pc  | -21.5240    +21.5240  |paral   |2020yCat.1350....0G
851 |HD 41509                                                              |Star                              |06 05 03.6798325776 -13 45 14.905189764|220.2730724012095 -16.3886690031998|  -10.514 8.630   |8.01     |K3III            |    ~     ~    |    1|  439.445   pc  |  -3.9395     +3.9395  |paral   |2020yCat.1350....0G
852 |HD 41508                                                              |Star                              |06 05 05.8999368120 -13 10 01.751997396|219.7216888799205 -16.1347961026457| -8.443 -13.390   |9.74     |F7V              |    ~     ~    |    1|  153.882   pc  |  -0.4570     +0.4570  |paral   |2020yCat.1350....0G
853 |HD 41570                                                              |Star                              |06 05 20.5262884872 -13 24 59.906542824|219.9833919397528 -16.1855760850131|   1.835 -7.938   |8.62     |G8/K0III         |    ~     ~    |    1|  432.657   pc  |  -3.7438     +3.7438  |paral   |2020yCat.1350....0G
854 |HD 41666                                                              |Star                              |06 05 55.6830751656 -13 14 52.034201700|219.8860703430655 -15.9853652613511|    1.612 0.144   |7.19     |F0IV(m)          |    ~     ~    |    1|  152.321   pc  |  -0.6682     +0.6682  |paral   |2020yCat.1350....0G
855 |HD 41735                                                              |Star                              |06 06 26.0271202128 -13 21 13.183894692|220.0397300861489 -15.9181276374393|   -8.175 2.676   |10.38    |A9/F0V           |    ~     ~    |    1|  409.165   pc  |  -2.9800     +2.9800  |paral   |2020yCat.1350....0G
856 |HD 41798                                                              |Star                              |06 06 35.8369086744 -13 45 20.740289544|220.4368553204232 -16.0504656345632|   -7.077 5.208   |9.27     |A2V              |    ~     ~    |    1|  255.226   pc  |  -1.1790     +1.1790  |paral   |2020yCat.1350....0G
857 |HD 41797                                                              |Star                              |06 06 39.7300751808 -13 25 32.426635080|220.1319318954783 -15.8979210838243|   -0.709 6.783   |9.00     |A1IV             |    ~     ~    |    1|  337.576   pc  |  -2.4615     +2.4615  |paral   |2020yCat.1350....0G
858 |HD 41862                                                              |Star                              |06 06 58.2619592856 -13 41 25.666816740|220.4146521683767 -15.9407042079425|  -7.315 11.099   |9.65     |A0(m)A8-A9       |    ~     ~    |    1|  258.900   pc  |  -1.3674     +1.3674  |paral   |2020yCat.1350....0G
859 |HD 41876                                                              |Star                              |06 07 06.3444744864 -13 13 37.103741004|219.9916121666849 -15.7165446777087| 14.419 -26.432   |9.33     |F5V              |    ~     ~    |    1|  346.320   pc  |  -8.9833     +8.9833  |paral   |2020yCat.1350....0G
860 |HD 41915                                                              |Star                              |06 07 17.4136939008 -13 21 23.211775872|220.1332623219730 -15.7302248319613|    2.306 6.716   |10.03    |F2V              |    ~     ~    |    1|  242.807   pc  |  -1.0258     +1.0258  |paral   |2020yCat.1350....0G
861 |HD 41932                                                              |Star                              |06 07 24.6929928552 -13 23 52.449108504|220.1852211162724 -15.7208551753210|  -1.215 -2.104   |9.66     |B9V              |    ~     ~    |    1|  555.278   pc  | -12.0250    +12.0250  |paral   |2020yCat.1350....0G
862 |HD 41989                                                              |Star                              |06 07 43.2100040424 -13 12 58.651729524|220.0468668448681 -15.5763886864623|    2.456 3.696   |10.10    |A1V              |    ~     ~    |    1|  495.688   pc  |  -8.3294     +8.3294  |paral   |2020yCat.1350....0G
