C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 207823                                                                                                |Star                                  |21 52 49.4229257376 -38 10 30.814606524|004.8264891254977 -51.2178040773166|  18.420 -6.433   |10.06    |A5III/IV         |    ~     ~    |    1|  424.076   pc  | -14.3100    +14.3100  |ST-L    |2020AJ....160...83S
23  |HD 207998                                                                                                |Star                                  |21 54 09.3549 -38 02 19.679            |005.0224330 -51.4867173            |  12.668 10.767   |9.760    |F6V              |    ~     ~    |    1|  189.302   pc  |  -2.3150     +2.3150  |ST-L    |2020AJ....160...83S
24  |CD-38 14792                                                                                              |Star                                  |21 55 18.5541591240 -37 54 36.608717664|005.2096138538100 -51.7205743355043|  28.006 -0.205   |10.17    |F8               |    ~     ~    |    1|  295.683   pc  |  -1.6262     +1.6262  |paral   |2020yCat.1350....0G
25  |HD 207156                                                                                                |Double or Multiple Star               |21 48 05.8811370360 -38 38 31.232976108|004.1637113639239 -50.2696336055837| 14.691 -11.661   |9.37     |F7V              |0.0033  0.0    |    1|  234.847   pc  | -22.2707    +22.2707  |paral   |2020yCat.1350....0G
26  |HD 207277                                                                                                |Chemically Peculiar Star              |21 48 48.5807264088 -39 04 45.906706740|003.4677906535544 -50.3842481349811|    5.064 1.596   |8.12     |K0Ib/II          |    ~     ~    |    1|  474.068   pc  |  -8.6750     +8.6750  |paral   |2020yCat.1350....0G
27  |HD 207410                                                                                                |High Proper Motion Star               |21 49 43.3650955968 -38 34 09.378160500|004.2527361022543 -50.5903002368094|63.892 -128.039   |9.68     |G0V              |    ~     ~    |    1|  115.568   pc  |  -0.2137     +0.2137  |paral   |2020yCat.1350....0G
28  |HD 207450                                                                                                |Spectroscopic Binary                  |21 50 04.9909249872 -38 36 52.990517808|004.1753331204018 -50.6582300178196|138.973 -176.737  |7.45     |G0V              |    ~     ~    |    1|   53.042   pc  |  -0.0743     +0.0743  |paral   |2020yCat.1350....0G
29  |HD 207589                                                                                                |Star                                  |21 51 01.3921366992 -38 50 09.581606628|003.8095506495808 -50.8285249061851|   16.970 0.198   |9.89     |A1V              |    ~     ~    |    1|  322.406   pc  | -11.3100    +11.3100  |ST-L    |2020AJ....160...83S
30  |HD 207879                                                                                                |Star                                  |21 53 12.5738887896 -38 35 00.651556860|004.1684166175800 -51.2698497390763|  15.870 -9.471   |9.96     |F2V              |    ~     ~    |    1|  268.236   pc  |  -5.4630     +5.4630  |ST-L    |2020AJ....160...83S
31  |HD 207906                                                                                                |Star                                  |21 53 26.5640634744 -39 08 58.708558860|003.2606436381676 -51.2761176497917|  -7.943 -3.379   |9.799    |G0/2V            |    ~     ~    |    1|  186.920   pc  |  -1.9820     +1.9820  |ST-L    |2020AJ....160...83S
32  |HD 207940                                                                                                |Star                                  |21 53 46.0416526776 -38 44 50.366655276|003.8955393302976 -51.3678484561101| 34.097 -23.213   |9.57     |G8IV             |    ~     ~    |    1|  552.425   pc  |  -4.1809     +4.1809  |paral   |2020yCat.1350....0G
33  |HD 208015                                                                                                |High Proper Motion Star               |21 54 20.8460853048 -38 28 00.496605504|004.3326421060182 -51.4992938743867| 144.100 29.166   |8.62     |F6V              |    ~     ~    |    1|  109.812   pc  |  -4.8078     +4.8078  |paral   |2020yCat.1350....0G
34  |HD 208059                                                                                                |Star                                  |21 54 34.7573620224 -38 29 26.350089072|004.2897344986227 -51.5430539431182|  45.723 17.540   |9.653    |F3V              |    ~     ~    |    1|  170.896   pc  |  -2.0670     +2.0670  |ST-L    |2020AJ....160...83S
35  |HD 208258                                                                                                |High Proper Motion Star               |21 56 03.0500095752 -39 18 32.730623208|002.9393482428113 -51.7665815563328| 32.067 -60.907   |7.74     |F6/7V            |    ~     ~    |    1|   72.801   pc  |  -0.1071     +0.1071  |paral   |2020yCat.1350....0G
36  |HD 207278                                                                                                |High Proper Motion Star               |21 48 48.5085945312 -39 29 09.510292536|002.8317013074893 -50.3579405339036| 40.643 -66.863   |9.651    |G7V              |    ~     ~    |    1|   83.097   pc  |  -0.1567     +0.1567  |paral   |2020yCat.1350....0G
