C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:42:58

dec< 0&rah >=21.75&rah< 22.0&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 3324

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
317 |CD-33 15793                                                                                              |Star                                  |21 52 07.6651855920 -32 26 22.224130620|013.9665127263618 -51.0146592591901|  21.987 -8.308   |10.86    |~                |    ~     ~    |    1|  192.614   pc  |  -2.3390     +2.3390  |ST-L    |2020AJ....160...83S
318 |CD-33 15803                                                                                              |Star                                  |21 53 09.8972276280 -33 09 20.200797216|012.8498715892431 -51.2785223652685|  5.620 -45.093   |10.664   |~                |    ~     ~    |    1|  291.823   pc  |  -5.6090     +5.6090  |ST-L    |2020AJ....160...83S
319 |CD-34 15323                                                                                              |Star                                  |21 55 02.8840705032 -34 20 22.403615352|010.9753069957700 -51.7180657464352|   4.313 -4.661   |10.20    |~                |    ~     ~    |    1|  456.621   pc  | -13.5944    +13.5944  |paral   |2020yCat.1350....0G
320 |CD-33 15814                                                                                              |Spectroscopic Binary                  |21 55 30.4119240024 -32 48 13.465490040|013.4595663100695 -51.7486962460664|   -9.177 6.120   |10.698   |~                |    ~     ~    |    1|  271.315   pc  |  -7.3120     +7.3120  |ST-L    |2020AJ....160...83S
321 |TYC 7490-644-1                                                                                           |Star                                  |21 46 49.8022883952 -33 05 36.375420408|012.8154968128600 -49.9509087733978|-10.948 -15.469   |10.80    |~                |    ~     ~    |    1|  239.332   pc  |  -1.0826     +1.0826  |paral   |2020yCat.1350....0G
322 |TYC 7491-331-1                                                                                           |Star                                  |21 50 54.2714950632 -33 27 32.009517108|012.3267821406598 -50.8236569182933| 29.091 -12.336   |10.90    |~                |    ~     ~    |    1|  244.702   pc  |  -1.0060     +1.0060  |paral   |2020yCat.1350....0G
323 |TYC 7491-434-1                                                                                           |Star                                  |21 48 50.8267727832 -33 19 03.625536216|012.5097131113887 -50.3867325334888|  -3.925 -7.141   |10.58    |~                |    ~     ~    |    1|  951.837   pc  | -18.7541    +18.7541  |paral   |2020yCat.1350....0G
324 |TYC 7491-459-1                                                                                           |Star                                  |21 52 33.9007485696 -32 57 48.133322892|013.1444450838413 -51.1417636863471| 38.883 -15.225   |10.91    |~                |    ~     ~    |    1|  139.199   pc  |  -1.4900     +1.4900  |ST-L    |2020AJ....160...83S
325 |TYC 7491-470-1                                                                                           |Star                                  |21 52 47.4880815432 -33 50 33.127295748|011.7474825479794 -51.2343231177825| -11.821 -1.208   |10.79    |~                |    ~     ~    |    1|  968.335   pc  | -15.9404    +15.9404  |paral   |2020yCat.1350....0G
326 |TYC 7491-536-1                                                                                           |Star                                  |21 48 55.5847659360 -34 10 36.620338116|011.1645434343470 -50.4483056820638|-10.880 -30.309   |10.88    |~                |    ~     ~    |    1|  136.630   pc  |  -1.3400     +1.3400  |ST-L    |2020AJ....160...83S
327 |TYC 7491-626-1                                                                                           |High Proper Motion Star               |21 49 51.8212674792 -33 20 47.003998056|012.4847643764448 -50.6004139878712| 49.673 -67.121   |10.831   |~                |    ~     ~    |    1|  193.261   pc  |  -2.5300     +2.5300  |ST-L    |2020AJ....160...83S
328 |TYC 7491-681-1                                                                                           |Star                                  |21 49 27.4728457824 -33 31 01.610616036|012.2087860441572 -50.5257032710065|  -0.900 -4.564   |10.95    |~                |    ~     ~    |    1| 1208.880   pc  | -99.7000    +99.7000  |ST-L    |2020AJ....160...83S
329 |TYC 7491-788-1                                                                                           |Star                                  |21 52 16.0708454424 -33 44 30.146122248|011.9006157057017 -51.1212496859778|  -7.639 -0.714   |10.84    |~                |    ~     ~    |    1|  989.903   pc  | -15.0906    +15.0906  |paral   |2020yCat.1350....0G
330 |TYC 7491-790-1                                                                                           |Spectroscopic Binary                  |21 49 47.8563224328 -33 37 56.797351500|012.0335707399575 -50.6026490487816|    5.448 6.121   |10.89    |~                |    ~     ~    |    1|  445.704   pc  | -14.2700    +14.2700  |ST-L    |2020AJ....160...83S
331 |TYC 7491-863-1                                                                                           |Star                                  |21 48 18.1091190864 -33 00 59.988679992|012.9684589429216 -50.2531895984145| -7.155 -25.192   |10.924   |~                |    ~     ~    |    1|  336.963   pc  | -37.4800    +37.4800  |ST-L    |2020AJ....160...83S
332 |CD-35 15049                                                                                              |Star                                  |21 56 18.7965442536 -34 43 50.740543884|010.3505037704793 -51.9863740953928| 22.984 -33.524   |9.49     |K1               |    ~     ~    |    1|  340.530   pc  |  -1.8670     +1.8670  |paral   |2020yCat.1350....0G
333 |HD 208508                                                                                                |Star                                  |21 57 25.8282778152 -34 52 01.169685660|010.1329133276742 -52.2172324264418|   -6.699 0.367   |9.29     |F3V              |    ~     ~    |    1|  238.486   pc  |  -5.3030     +5.3030  |ST-L    |2020AJ....160...83S
334 |HD 208590                                                                                                |Star                                  |21 58 02.2826522208 -35 03 27.922047228|009.8222070331888 -52.3427395711118|  21.160 -9.152   |8.58     |F3V              |    ~     ~    |    1|  129.234   pc  |  -6.0008     +6.0008  |paral   |2020yCat.1350....0G
335 |HD 208663                                                                                                |Eruptive Variable                     |21 58 35.2506873216 -35 10 57.717017184|009.6175056795243 -52.4551456716611| -0.763 -39.807   |9.27     |F2V              |    ~     ~    |    1|  175.147   pc  |  -0.7025     +0.7025  |paral   |2020yCat.1350....0G
336 |CD-35 15048                                                                                              |Star                                  |21 56 15.5397953856 -35 07 01.038938556|009.7233137466990 -51.9790431490982|   6.375 -9.784   |9.991    |~                |    ~     ~    |    1|  616.320   pc  | -34.4300    +34.4300  |ST-L    |2020AJ....160...83S
337 |HD 208853                                                                                                |Star                                  |21 59 52.8853121616 -35 05 58.988739120|009.7530360856800 -52.7198644204219|  22.182 14.185   |8.65     |F3V              |    ~     ~    |    1|  147.269   pc  |  -4.2465     +4.2465  |paral   |2020yCat.1350....0G
338 |CD-35 15080                                                                                              |Star                                  |21 59 58.0527660312 -34 59 25.682382312|009.9333848172802 -52.7377053009272|   0.235 -6.368   |9.49     |K0               |    ~     ~    |    1|  553.495   pc  |  -4.8098     +4.8098  |paral   |2020yCat.1350....0G
339 |CD-35 15077                                                                                              |Star                                  |21 59 51.5306641560 -35 15 32.633090172|009.4900212452354 -52.7144709166765| 21.932 -34.672   |10.60    |~                |    ~     ~    |    1|  278.087   pc  |  -1.7709     +1.7709  |paral   |2020yCat.1350....0G
340 |HD 208385                                                                                                |Star                                  |21 56 42.8566330152 -33 15 14.700661452|012.7524170482299 -52.0250229217045| -34.115 -0.818   |9.983    |F5V              |    ~     ~    |    1|  215.220   pc  |  -3.2680     +3.2680  |ST-L    |2020AJ....160...83S
341 |HD 208542                                                                                                |Star                                  |21 57 41.4828518256 -32 34 37.495786008|013.8708099502133 -52.1941651706800|  30.670 -0.513   |8.00     |K1III            |    ~     ~    |    1|  282.869   pc  |  -1.8644     +1.8644  |paral   |2020yCat.1350....0G
342 |HD 208432                                                                                                |Star                                  |21 56 54.9804969792 -33 40 46.859019492|012.0636832343415 -52.0846366248512| -15.133 24.978   |10.01    |G3V              |    ~     ~    |    1|  229.300   pc  |  -0.9306     +0.9306  |paral   |2020yCat.1350....0G
343 |CD-34 15333                                                                                              |Star                                  |21 56 35.5890691560 -34 22 43.140729108|010.9241475041966 -52.0377698142641|  20.032 -0.353   |10.11    |F2               |    ~     ~    |    1|  272.177   pc  |  -7.8540     +7.8540  |ST-L    |2020AJ....160...83S
344 |CD-34 15340                                                                                              |Double or Multiple Star               |21 57 17.20376 -34 18 21.5238          |011.04740209 -52.17936112          |   17.63 -45.18   |10.4     |K5V              |    ~     ~    |    1|   57.727   pc  |  -3.5510     +3.5510  |ST-L    |2020AJ....160...83S
345 |CD-35 15052                                                                                              |Star                                  |21 56 33.0689989800 -34 31 54.205437936|010.6750923736786 -52.0321143350199|-15.189 -32.527   |9.92     |G5               |    ~     ~    |    1|  757.863   pc  |  -9.9364     +9.9364  |paral   |2020yCat.1350....0G
346 |CD-33 15829                                                                                              |Star                                  |21 56 48.5674537632 -33 11 14.568140004|012.8622366907157 -52.0417885712525|-20.418 -15.193   |10.78    |~                |    ~     ~    |    1|  294.447   pc  |  -1.7340     +1.7340  |paral   |2020yCat.1350....0G
347 |CD-34 15338                                                                                              |Star                                  |21 57 09.4359963120 -34 14 06.428219676|011.1619276949014 -52.1510476116764|  8.392 -14.589   |10.78    |~                |    ~     ~    |    1| 1849.112   pc  | -68.7263    +68.7263  |paral   |2020yCat.1350....0G
348 |CD-35 15074                                                                                              |Star                                  |21 58 55.6319627712 -34 47 54.752110332|010.2486554447785 -52.5238668489906|    4.641 1.036   |10.456   |~                |    ~     ~    |    1| 1024.980   pc  | -91.9300    +91.9300  |ST-L    |2020AJ....160...83S
349 |HD 208852                                                                                                |Star                                  |21 59 45.4559390760 -33 10 37.390379700|012.9238671700202 -52.6575742248377| 14.273 -23.241   |10.02    |F3/5V            |    ~     ~    |    1|  236.877   pc  |  -1.3803     +1.3803  |paral   |2020yCat.1350....0G
350 |HD 208828                                                                                                |Spectroscopic Binary                  |21 59 37.8483805416 -33 46 37.347775104|011.9338719635366 -52.6518513888673|   18.751 7.090   |10.314   |F3V              |    ~     ~    |    1|  284.016   pc  |  -6.0520     +6.0520  |ST-L    |2020AJ....160...83S
351 |HD 208871                                                                                                |Star                                  |21 59 53.2021672992 -34 33 02.147701140|010.6596089682366 -52.7191962154252|  12.984 -7.037   |8.14     |M1/2III          |    ~     ~    |    1|  512.400   pc  |  -6.6164     +6.6164  |paral   |2020yCat.1350....0G
352 |HD 208887                                                                                                |High Proper Motion Star               |21 59 59.3999824488 -34 39 45.447558336|010.4749019905591 -52.7413545678548| 74.097 -98.701   |9.04     |G2V              |    ~     ~    |    1|   75.413   pc  |  -0.1098     +0.1098  |paral   |2020yCat.1350....0G
353 |TYC 7491-1003-1                                                                                          |Star                                  |21 56 50.3143775520 -33 01 43.937075208|013.1201090455236 -52.0400900915189|   -2.929 8.658   |10.82    |~                |    ~     ~    |    1|  185.974   pc  |  -0.6641     +0.6641  |paral   |2020yCat.1350....0G
354 |TYC 7491-1450-1                                                                                          |Star                                  |21 57 50.6085837480 -33 11 59.342424864|012.8582538250496 -52.2584553012924|  20.811 -2.948   |10.735   |~                |    ~     ~    |    1|  292.883   pc  |  -5.9440     +5.9440  |ST-L    |2020AJ....160...83S
355 |HD 206785                                                                                                |High Proper Motion Star               |21 45 13.4528989344 -31 39 10.739233908|014.9895794829689 -49.4879754844293|-33.486 -45.634   |9.21     |G1/2V            |    ~     ~    |    1|  163.292   pc  |  -0.4266     +0.4266  |paral   |2020yCat.1350....0G
356 |CD-32 16726                                                                                              |Star                                  |21 45 09.2069751744 -31 26 59.382280176|015.2980216587836 -49.4516069414051|  -8.655 -3.425   |10.38    |~                |    ~     ~    |    1|  362.621   pc  |  -2.6693     +2.6693  |paral   |2020yCat.1350....0G
357 |CD-32 16737                                                                                              |High Proper Motion Star               |21 47 30.1088375208 -31 41 32.861864256|015.0042392107941 -49.9740820335339| 10.966 -50.575   |10.78    |~                |    ~     ~    |    1|  199.418   pc  | -11.9064    +11.9064  |paral   |2020yCat.1350....0G
358 |CD-32 16740                                                                                              |Star                                  |21 47 51.2416918152 -31 32 50.525793312|015.2404507623110 -50.0342885964693|  -4.152 -3.360   |10.87    |~                |    ~     ~    |    1| 1099.384   pc  | -19.3383    +19.3383  |paral   |2020yCat.1350....0G
359 |CD-32 16789                                                                                              |High Proper Motion Star               |21 53 33.8336004864 -31 57 42.123915324|014.7633138800690 -51.2806617441829| 81.816 -38.923   |10.10    |G0               |    ~     ~    |    1|  162.367   pc  |  -0.4007     +0.4007  |paral   |2020yCat.1350....0G
360 |HD 208070                                                                                                |Star                                  |21 54 29.7550363752 -32 16 54.097528800|014.2762308982287 -51.5019292121121|-10.344 -27.233   |9.993    |G1V              |    ~     ~    |    1|  198.803   pc  |  -2.6510     +2.6510  |ST-L    |2020AJ....160...83S
361 |CD-32 16772                                                                                              |Spectroscopic Binary                  |21 51 39.5234824176 -32 07 43.585807224|014.4461367606583 -50.8918064649674| 15.465 -27.654   |10.68    |~                |    ~     ~    |    1|  325.554   pc  |  -6.8430     +6.8430  |ST-L    |2020AJ....160...83S
362 |CD-32 16774                                                                                              |Star                                  |21 51 44.9467096728 -31 43 36.661846476|015.0834844422850 -50.8766400557203|   14.457 2.107   |10.022   |~                |    ~     ~    |    1|  736.586   pc  | -23.5600    +23.5600  |ST-L    |2020AJ....160...83S
363 |CD-32 16757                                                                                              |High Proper Motion Star               |21 49 37.8248286168 -31 36 16.563025260|015.2095130445716 -50.4164267459506| 98.111 -22.745   |10.79    |~                |    ~     ~    |    1|   68.549   pc  |  -0.2890     +0.2890  |ST-L    |2020AJ....160...83S
364 |CD-32 16761                                                                                              |Star                                  |21 50 07.5136604808 -31 41 34.575543528|015.0869923916598 -50.5296185343268|   24.622 4.092   |10.813   |~                |    ~     ~    |    1|  626.630   pc  | -24.7900    +24.7900  |ST-L    |2020AJ....160...83S
365 |CD-32 16784                                                                                              |Star                                  |21 52 44.5854481200 -32 04 46.323023988|014.5535282330045 -51.1167309965531|  -3.182 -6.715   |10.327   |~                |    ~     ~    |    1|  779.197   pc  | -39.7500    +39.7500  |ST-L    |2020AJ....160...83S
366 |TYC 7488-1590-1                                                                                          |Star                                  |21 53 25.9417994496 -31 53 37.590046404|014.8678541458588 -51.2472885413673|-40.296 -19.315   |10.93    |~                |    ~     ~    |    1|  134.801   pc  |  -1.0740     +1.0740  |ST-L    |2020AJ....160...83S
367 |CD-32 16806                                                                                              |Star                                  |21 54 45.3750841176 -31 58 05.802429900|014.7851359970462 -51.5332714134224|   15.699 7.380   |10.74    |~                |    ~     ~    |    1|  711.389   pc  |  -7.9454     +7.9454  |paral   |2020yCat.1350....0G
368 |CD-29 17983                                                                                              |Star                                  |21 45 22.7073646944 -29 04 58.233311472|018.9082408073664 -49.1900286474825|   2.613 -3.338   |10.47    |~                |    ~     ~    |    1|  441.287   pc  |  -4.0699     +4.0699  |paral   |2020yCat.1350....0G
369 |HD 206971                                                                                                |Star                                  |21 46 27.1570805976 -29 38 51.284947992|018.1040017877681 -49.5049814511815| -7.388 -25.344   |9.51     |G8IV             |    ~     ~    |    1|  583.192   pc  |  -5.6119     +5.6119  |paral   |2020yCat.1350....0G
370 |CD-30 18813                                                                                              |Star                                  |21 45 43.8159869136 -30 21 39.760671852|016.9835426705651 -49.4462194747972|   8.265 -4.096   |10.43    |~                |    ~     ~    |    1|  202.733   pc  |  -0.9535     +0.9535  |paral   |2020yCat.1350....0G
371 |CD-30 18821                                                                                              |High Proper Motion Star               |21 46 29.7267181224 -30 02 53.028778452|017.4946944453181 -49.5691929080923| 76.178 -12.998   |10.855   |~                |    ~     ~    |    1|  161.277   pc  | -10.0842    +10.0842  |paral   |2020yCat.1350....0G
372 |CD-30 18836                                                                                              |High Proper Motion Star               |21 47 47.9420049768 -30 15 57.884774976|017.2170172339716 -49.8769427705243| -1.683 -70.913   |10.39    |~                |    ~     ~    |    1|  247.525   pc  |  -1.0416     +1.0416  |paral   |2020yCat.1350....0G
373 |CD-31 18447                                                                                              |Star                                  |21 45 58.2356460696 -30 34 22.842744312|016.6698950355602 -49.5242845214055|   10.004 0.893   |9.85     |~                |    ~     ~    |    1|  643.998   pc  |  -7.6311     +7.6311  |paral   |2020yCat.1350....0G
374 |CD-31 18452                                                                                              |Star                                  |21 46 49.4584040064 -30 51 50.626724508|016.2577406476677 -49.7413482418337|  8.761 -35.390   |10.504   |~                |    ~     ~    |    1|  375.064   pc  | -57.6000    +57.6000  |ST-L    |2020AJ....160...83S
375 |CD-31 18460                                                                                              |Star                                  |21 47 13.6338715152 -30 41 56.538895128|016.5272629641352 -49.8078818435177|-11.775 -15.516   |10.753   |~                |    ~     ~    |    1|  299.748   pc  |  -5.2050     +5.2050  |ST-L    |2020AJ....160...83S
376 |* tet PsA                                                                                                |Double or Multiple Star               |21 47 44.1499307 -30 53 53.902653      |016.2399106260 -49.9395655697      |   -34.40 -0.08   |5.017    |A1V              |0.0033  0.0    |    0|                |                       |        |                   
377 |CPD-30 6567                                                                                              |Star                                  |21 45 50.3869698528 -29 43 58.733632020|017.9450925625854 -49.3852608676029|  21.408 -5.964   |10.45    |~                |    ~     ~    |    1|  380.055   pc  | -13.7653    +13.7653  |paral   |2020yCat.1350....0G
378 |CD-31 18440                                                                                              |Star                                  |21 45 14.6339747928 -30 31 25.991214348|016.7148563403104 -49.3629229011267|  -7.058 16.735   |10.83    |~                |    ~     ~    |    1|  163.217   pc  |  -0.6314     +0.6314  |paral   |2020yCat.1350....0G
379 |CD-31 18446                                                                                              |Star                                  |21 45 58.2362331936 -30 55 28.037706456|016.1321678480968 -49.5664771953579|  -21.479 2.523   |10.81    |~                |    ~     ~    |    1|  179.433   pc  |  -0.6149     +0.6149  |paral   |2020yCat.1350....0G
380 |CD-30 18823                                                                                              |Star                                  |21 46 32.0655875352 -30 20 33.663111468|017.0457544290727 -49.6159364432719|   13.121 4.268   |10.947   |~                |    ~     ~    |    1| 1226.540   pc  | -82.8700    +82.8700  |ST-L    |2020AJ....160...83S
381 |CD-31 18450                                                                                              |Star                                  |21 46 34.1607381576 -30 41 55.760352612|016.5014475592083 -49.6674466209663|-10.330 -17.876   |10.905   |~                |    ~     ~    |    1|  330.579   pc  |  -6.4230     +6.4230  |ST-L    |2020AJ....160...83S
382 |CD-31 18456                                                                                              |Star                                  |21 47 02.6938979616 -31 20 39.135290964|015.5267335595525 -49.8416563720607|   12.696 2.663   |10.23    |~                |    ~     ~    |    1|  835.884   pc  | -31.1700    +31.1700  |ST-L    |2020AJ....160...83S
383 |CD-31 18461                                                                                              |High Proper Motion Star               |21 47 21.7063398576 -30 57 22.483176120|016.1363739263682 -49.8664562762849| 50.209 -19.244   |10.512   |~                |    ~     ~    |    1|  327.610   pc  |  -5.9360     +5.9360  |ST-L    |2020AJ....160...83S
384 |HD 207346                                                                                                |Star                                  |21 48 51.9044867064 -29 21 56.583670176|018.6514508449621 -49.9843686897813| -10.887 -2.529   |8.28     |K1III            |    ~     ~    |    1|  482.185   pc  | -16.3600    +16.3600  |ST-L    |2020AJ....160...83S
385 |HD 207227                                                                                                |Star                                  |21 48 05.1232433064 -29 37 56.323875540|018.2043058979368 -49.8541087009653|   26.424 8.510   |10.06    |F8V              |    ~     ~    |    1|  262.165   pc  |  -6.1460     +6.1460  |ST-L    |2020AJ....160...83S
386 |CD-30 18845                                                                                              |Star                                  |21 48 46.7709185712 -29 29 54.133995876|018.4431222813295 -49.9847939549182|   5.011 -3.643   |10.495   |~                |    ~     ~    |    1|  442.499   pc  | -11.9100    +11.9100  |ST-L    |2020AJ....160...83S
387 |HD 207571                                                                                                |Star                                  |21 50 37.8858010128 -29 44 49.573998348|018.1443172887401 -50.4175368652224|   4.131 -9.005   |9.29     |M1/2III          |    ~     ~    |    1| 1004.016   pc  | -21.8746    +21.8746  |paral   |2020yCat.1350....0G
388 |CD-30 18844                                                                                              |Star                                  |21 48 41.0948121744 -30 24 51.898117140|017.0251612043668 -50.0850702333281|   11.737 7.913   |10.16    |G5               |    ~     ~    |    1|  788.318   pc  | -31.6400    +31.6400  |ST-L    |2020AJ....160...83S
389 |HD 207426                                                                                                |High Proper Motion Star               |21 49 28.6244733312 -29 54 06.258666744|017.8524849839629 -50.1898289952716|  3.043 -52.169   |9.986    |G5V              |    ~     ~    |    1|  139.393   pc  | +31.656      +5       |ST-L    |2017AJ....153...75K
390 |CD-30 18854                                                                                              |Star                                  |21 49 34.7785701984 -30 24 32.082026580|017.0703385315579 -50.2758739585525|   6.253 -5.434   |10.76    |~                |    ~     ~    |    1|  274.253   pc  |  -4.0460     +4.0460  |ST-L    |2020AJ....160...83S
391 |HD 207449                                                                                                |High Proper Motion Star               |21 49 45.2691357504 -30 07 21.753129360|017.5220438461945 -50.2779084414629|45.301 -121.221   |9.41     |G3V              |    ~     ~    |    1|  109.112   pc  |  -0.1822     +0.1822  |paral   |2020yCat.1350....0G
392 |HD 207558                                                                                                |Star                                  |21 50 32.5411996872 -29 58 52.879359288|017.7758304030339 -50.4289931905545|   16.757 5.102   |9.38     |F2/3V            |    ~     ~    |    1|  311.323   pc  |  -1.6089     +1.6089  |paral   |2020yCat.1350....0G
393 |HD 207588                                                                                                |Star                                  |21 50 45.1364106888 -30 19 23.809332360|017.2516509342333 -50.5166068536948| 17.290 -21.600   |9.69     |F2V              |    ~     ~    |    1|  230.595   pc  |  -8.4068     +8.4068  |paral   |2020yCat.1350....0G
394 |HD 207711                                                                                                |Star                                  |21 51 38.1257213568 -29 58 25.421483748|017.8352270702964 -50.6628003143892|  14.541 -9.277   |9.853    |F5V              |    ~     ~    |    1|  180.450   pc  |  -1.8840     +1.8840  |ST-L    |2020AJ....160...83S
395 |HD 207763                                                                                                |Star                                  |21 51 58.4805219456 -30 18 59.727802572|017.3120010574759 -50.7777025528007| -25.050 27.377   |7.88     |F0V              |    ~     ~    |    1|   99.736   pc  |  -0.4088     +0.4088  |paral   |2020yCat.1350....0G
396 |CD-30 18892                                                                                              |Star                                  |21 53 39.6978563016 -29 51 46.766227140|018.0971674459435 -51.0843483268879|   34.561 0.380   |10.54    |G2               |    ~     ~    |    1|  165.590   pc  |  -0.4332     +0.4332  |paral   |2020yCat.1350....0G
397 |HD 208069                                                                                                |High Proper Motion Star               |21 54 26.0066953368 -30 15 25.248217968|017.5053353613833 -51.2978106165789|130.645 -198.358  |9.25     |G(5/8)wF0        |    ~     ~    |    1|  341.927   pc  |  -2.0109     +2.0109  |paral   |2020yCat.1350....0G
398 |HD 208164                                                                                                |High Proper Motion Star               |21 55 02.0925472488 -29 56 01.266628524|018.0440779777746 -51.3884381651295| 47.748 -33.420   |9.70     |G0/1V            |    ~     ~    |    1|  127.083   pc  |  -0.2439     +0.2439  |paral   |2020yCat.1350....0G
399 |HD 208213                                                                                                |Variable Star                         |21 55 22.1880921864 -30 02 05.946967428|017.8968420222074 -51.4726703591763|   8.283 -8.774   |8.54     |B3IV             |    ~     ~    |    0|                |                       |        |                   
400 |HD 208165                                                                                                |Star                                  |21 55 03.8514327744 -30 42 35.235469584|016.8083342455471 -51.4830230726751| 12.152 -22.377   |9.83     |G8/K0III         |    ~     ~    |    1|  586.425   pc  | -17.2800    +17.2800  |ST-L    |2020AJ....160...83S
401 |CD-31 18532                                                                                              |Star                                  |21 55 05.6960686488 -31 22 40.566299304|015.7407848825073 -51.5551006151434|-25.477 -12.922   |10.232   |G0               |    ~     ~    |    1|  247.003   pc  |  -3.7710     +3.7710  |ST-L    |2020AJ....160...83S
402 |CD-31 18536                                                                                              |High Proper Motion Star               |21 55 20.1358848312 -31 12 44.752991544|016.0135767503136 -51.5910078081786| 57.504 -89.091   |10.33    |~                |    ~     ~    |    1|  187.991   pc  |  -0.5442     +0.5442  |paral   |2020yCat.1350....0G
403 |HD 208285                                                                                                |High Proper Motion Star               |21 55 55.6387797624 -30 36 21.313935648|017.0060828347728 -51.6566198215720| 51.937 -20.027   |6.414    |G8III            |    ~     ~    |    1|  129.192   pc  |  -0.3588     +0.3588  |paral   |2020yCat.1350....0G
404 |HD 208293                                                                                                |Star                                  |21 55 59.8576627104 -30 55 24.261897936|016.4992492036943 -51.7042205689698|  -3.429 29.253   |8.00     |F3IV             |    ~     ~    |    1|  135.389   pc  |  -0.5004     +0.5004  |paral   |2020yCat.1350....0G
405 |HD 208166                                                                                                |Double or Multiple Star               |21 55 05.57793 -31 47 47.6704          |015.06965485 -51.59077082          |     1.70 15.34   |9.355    |G3/5V            |0.0033  0.0    |    1| 3864       pc  |  +8.675      +9       |ST-L    |2017AJ....153...75K
406 |CD-31 18535                                                                                              |Star                                  |21 55 17.0231676744 -30 44 37.191959304|016.7621483036642 -51.5334910102004|  -1.932 -6.640   |10.5     |~                |    ~     ~    |    1|  281.547   pc  |  -1.5378     +1.5378  |paral   |2020yCat.1350....0G
407 |CD-32 16750                                                                                              |Star                                  |21 49 05.8547889456 -31 29 01.382549244|015.3806738107845 -50.2916290054887|  15.582 14.933   |10.614   |~                |    ~     ~    |    1|  205.874   pc  |  -2.9240     +2.9240  |ST-L    |2020AJ....160...83S
408 |CD-31 18545                                                                                              |Spectroscopic Binary                  |21 56 01.8880037064 -30 32 04.681479804|017.1242144049262 -51.6712958176103| 11.979 -14.671   |10.082   |~                |    ~     ~    |    1|  212.747   pc  |  -2.8970     +2.8970  |ST-L    |2020AJ....160...83S
409 |CD-31 18469                                                                                              |Star                                  |21 48 18.4585257960 -30 36 07.329991212|016.7197938581538 -50.0270527390838|   10.380 0.773   |10.066   |~                |    ~     ~    |    1|  730.794   pc  | -33.7400    +33.7400  |ST-L    |2020AJ....160...83S
410 |CD-31 18470                                                                                              |High Proper Motion Star               |21 48 25.7426614272 -30 40 30.998134596|016.6113540684921 -50.0616437163294| 31.753 -39.213   |10.743   |~                |    ~     ~    |    1|  208.357   pc  |  -2.8360     +2.8360  |ST-L    |2020AJ....160...83S
411 |CD-31 18477                                                                                              |Star                                  |21 49 27.7363796928 -31 16 47.286364116|015.7107464259428 -50.3484104269850| 16.011 -10.103   |10.688   |~                |    ~     ~    |    1|  541.973   pc  | -17.2800    +17.2800  |ST-L    |2020AJ....160...83S
412 |CD-31 18499                                                                                              |Star                                  |21 51 34.1472133824 -31 08 56.128720776|015.9884446919550 -50.7830724447204|    6.146 0.437   |10.963   |~                |    ~     ~    |    1|  596.478   pc  | -21.6900    +21.6900  |ST-L    |2020AJ....160...83S
413 |CD-31 18512                                                                                              |Star                                  |21 53 01.8015210096 -31 06 27.977981004|016.1036211461978 -51.0899402094615|   24.751 5.173   |10.338   |~                |    ~     ~    |    1|  218.410   pc  |  -3.9590     +3.9590  |ST-L    |2020AJ....160...83S
414 |CD-31 18531                                                                                              |Star                                  |21 55 06.3795707520 -30 58 50.220685092|016.3770370080835 -51.5197464567870|   21.095 0.631   |10.53    |~                |    ~     ~    |    1|  206.130   pc  |  -0.7011     +0.7011  |paral   |2020yCat.1350....0G
415 |CD-31 18542                                                                                              |Star                                  |21 56 00.5471004360 -31 19 35.959609524|015.8515579495792 -51.7448342378854| -8.241 -16.550   |10.931   |~                |    ~     ~    |    1|  486.069   pc  | -14.4500    +14.4500  |ST-L    |2020AJ....160...83S
416 |CD-31 18546                                                                                              |Star                                  |21 56 09.0070175736 -31 04 08.066149752|016.2705942882420 -51.7509075750704| -42.118 13.176   |10.773   |~                |    ~     ~    |    1|  156.705   pc  |  -1.5180     +1.5180  |ST-L    |2020AJ....160...83S
417 |CD-30 18896                                                                                              |Star                                  |21 54 03.5181137208 -29 47 39.269949108|018.2231462259381 -51.1610798990041|  2.803 -14.273   |10.62    |~                |    ~     ~    |    1| 1072.271   pc  | -18.6262    +18.6262  |paral   |2020yCat.1350....0G
418 |TYC 7488-684-1                                                                                           |High Proper Motion Star               |21 49 21.1099099848 -30 27 57.097733796|016.9726589259135 -50.2339946113694| 62.131 -46.154   |10.955   |~                |    ~     ~    |    1|  184.774   pc  |  -2.0770     +2.0770  |ST-L    |2020AJ....160...83S
419 |TYC 7488-1096-1                                                                                          |Star                                  |21 50 00.0708552264 -30 16 40.055738844|017.2915016866573 -50.3501492194276|   -7.512 3.783   |10.964   |~                |    ~     ~    |    1|  518.273   pc  | -12.6500    +12.6500  |ST-L    |2020AJ....160...83S
