C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
34  |TYC 4576-294-1                                                        |Star                           |17 00 47.1247013424 +80 10 41.655998712|112.7454299487161 +31.3178429294040| -9.113 -19.158    |10.75    |~                    |    ~     ~    
35  |TYC 4576-343-1                                                        |Star                           |17 05 40.6498817232 +78 53 14.759266992|111.2432019369408 +31.5882880168164|  -7.324 15.092    |10.28    |~                    |    ~     ~    
36  |TYC 4576-403-1                                                        |Spectroscopic Binary           |17 09 28.7871874152 +78 59 46.597686504|111.2890057662465 +31.3795729485057|   1.981 21.525    |10.11    |~                    |    ~     ~    
37  |TYC 4576-533-1                                                        |Star                           |17 09 19.9557523440 +78 56 19.614477984|111.2284182991373 +31.4056591905204|  -3.297 -3.985    |10.57    |~                    |    ~     ~    
38  |TYC 4576-717-1                                                        |Spectroscopic Binary           |17 05 31.6491225288 +78 52 39.857108772|111.2355569235145 +31.5984802374622|   10.592 2.635    |10.49    |~                    |    ~     ~    
39  |TYC 4576-846-1                                                        |Star                           |17 04 26.5824862536 +79 23 48.558549696|111.8255461760740 +31.4600661929176|   44.489 4.545    |10.62    |~                    |    ~     ~    
40  |TYC 4576-899-1                                                        |Star                           |17 02 27.7561100256 +79 17 43.599286788|111.7543064903963 +31.5824087097378|  -12.398 8.249    |10.07    |~                    |    ~     ~    
41  |TYC 4576-921-1                                                        |Star                           |17 02 15.0301701192 +79 48 41.804278524|112.3200672078016 +31.3986284749700|  -7.857 23.637    |10.31    |~                    |    ~     ~    
42  |TYC 4576-1088-1                                                       |Spectroscopic Binary           |17 07 59.8798978248 +79 15 34.846197876|111.6068539902767 +31.3549266835551|  -22.403 9.952    |10.58    |~                    |    ~     ~    
43  |TYC 4576-1166-1                                                       |Star                           |17 03 07.0119284880 +79 33 29.886947532|112.0276910893956 +31.4571774300825| -0.261 -24.389    |10.99    |~                    |    ~     ~    
44  |TYC 4580-191-1                                                        |High Proper Motion Star        |17 03 02.9632491168 +80 40 23.996897004|113.2378107290693 +31.0412216270474|-13.121 -51.566    |10.26    |~                    |    ~     ~    
45  |BD+84 380                                                             |Star                           |17 07 23.5979291040 +83 57 44.208991548|116.6882357397888 +29.6372785111549| -18.543 43.081    |10.47    |G5                   |    ~     ~    
46  |BD+84 382                                                             |Star                           |17 09 33.9017822880 +83 58 29.659857960|116.6762330621209 +29.5797899526174| -10.838 42.084    |10.15    |K0                   |    ~     ~    
47  |HD 156962                                                             |Star                           |17 02 07.6969370712 +83 12 27.603815868|115.9580920446001 +30.0731690385565|  -9.554 15.278    |8.42     |K2                   |    ~     ~    
48  |BD+83 502                                                             |Star                           |17 03 25.2285807384 +82 59 28.191567408|115.7109839597908 +30.1248849058233|  -2.353 -0.756    |10.57    |K0                   |    ~     ~    
49  |BD+83 503                                                             |Star                           |17 06 01.1405201784 +83 26 26.276211636|116.1524639733420 +29.8764334458714| -3.800 -14.940    |10.26    |F5                   |    ~     ~    
50  |BD+83 504                                                             |Star                           |17 07 35.6931421728 +83 23 51.526941972|116.0865414744456 +29.8515715021557|   -1.194 3.296    |10.36    |K2                   |    ~     ~    
51  |HD 158995                                                             |Star                           |17 13 26.3784966024 +83 19 08.162187744|115.9296978467682 +29.7241901656470|  -4.474 -2.843    |8.77     |G5                   |    ~     ~    
52  |BD+83 507                                                             |Star                           |17 14 22.0800729480 +83 15 41.480010612|115.8567871733865 +29.7194803407326|   2.235 13.734    |9.03     |K5                   |    ~     ~    
53  |AG+83 447                                                             |Long-Period Variable Candidate |17 13 02.3897397744 +83 36 06.487340472|116.2378165460247 +29.6320990916247|   -0.560 1.093    |10.36    |M3                   |    ~     ~    
54  |BD+83 509                                                             |Star                           |17 11 59.9386864872 +83 51 14.516934732|116.5195486619270 +29.5656232021556| -46.134 -0.023    |10.24    |G5                   |    ~     ~    
55  |BD+82 506                                                             |Star                           |17 01 51.0619198032 +82 10 05.606130072|114.8603450642340 +30.4997633046000| -1.413 -14.950    |10.03    |F2                   |    ~     ~    
56  |BD+82 507                                                             |Star                           |17 01 51.1756709088 +82 18 26.501642172|115.0083197273560 +30.4441408950737|    7.888 9.192    |9.48     |F5                   |    ~     ~    
57  |BD+82 508                                                             |Star                           |17 03 02.6457323784 +82 29 52.401231780|115.1927318747968 +30.3321360776586|  -1.364 10.778    |9.29     |K2                   |    ~     ~    
58  |BD+82 509                                                             |Star                           |17 07 34.8853489344 +82 17 08.697379020|114.8988929556795 +30.2756108510231|  -5.052 15.379    |10.52    |F8                   |    ~     ~    
59  |BD+82 511                                                             |Star                           |17 09 47.8798075176 +82 10 27.392074788|114.7468596804006 +30.2474181255040|  -5.490 19.015    |10.44    |K0                   |    ~     ~    
60  |BD+82 513                                                             |Star                           |17 11 59.6340288624 +82 08 08.213260632|114.6738065090318 +30.1915200787962|  -6.426 -9.135    |10.55    |F5                   |    ~     ~    
61  |BD+82 514                                                             |Star                           |17 13 49.0867712664 +82 00 30.112143084|114.5103989295781 +30.1774768415617| -2.234 -16.826    |10.42    |F0                   |    ~     ~    
62  |BD+82 517                                                             |Star                           |17 13 52.8864857856 +82 25 40.080821808|114.9637587961394 +30.0288137846606|  -13.469 6.580    |9.93     |K0                   |    ~     ~    
63  |HD 158770                                                             |Star                           |17 14 42.0895758672 +82 19 50.809624212|114.8477817291298 +30.0372211661962|    0.706 4.891    |8.27     |K0                   |    ~     ~    
64  |HD 156073                                                             |Star                           |17 00 13.0639162056 +81 53 42.533344860|114.5961201517062 +30.6610968077315|  -10.909 7.763    |9.00     |F8                   |    ~     ~    
65  |BD+82 512                                                             |Star                           |17 11 33.6039435264 +81 56 33.966456072|114.4714831577323 +30.2743375249667|  -5.088 18.564    |10.24    |A2                   |    ~     ~    
66  |HD 156648                                                             |High Proper Motion Star        |17 04 24.9041702568 +81 22 29.065294308|113.9698195070590 +30.7247629321496| -28.970 60.369    |8.91     |K0                   |    ~     ~    
67  |BD+81 575                                                             |Star                           |17 04 25.3880150952 +81 45 33.100263684|114.3825122052316 +30.5772648370483|    3.361 7.829    |10.97    |G5                   |    ~     ~    
68  |BD+81 576                                                             |Star                           |17 05 19.6816289520 +81 40 12.015191712|114.2723080348815 +30.5812457318393|  -2.493 -4.413    |10.64    |K                    |    ~     ~    
69  |BD+81 579                                                             |Star                           |17 12 10.3506972840 +81 38 40.089254568|114.1393549391654 +30.3595328566776|  -3.800 -8.873    |9.37     |K0                   |    ~     ~    
70  |BD+81 580                                                             |Spectroscopic Binary           |17 13 15.6085618968 +81 37 18.826111848|114.0988374165018 +30.3303388520633|   1.611 -2.709    |10.40    |A0                   |    ~     ~    
71  |GSC 04580-00569                                                       |Double or Multiple Star        |17 08 13.1421177024 +81 26 28.472464140|113.9798014902032 +30.5681311622275|  3.069 -13.850    |10.606   |~                    |    ~     ~    
72  |TYC 4580-758-1                                                        |Star                           |17 00 21.4371965712 +81 29 32.309356380|114.1644154785318 +30.8180290284920|  -15.772 1.459    |10.91    |~                    |    ~     ~    
73  |TYC 4647-150-1                                                        |Star                           |17 11 31.6497753720 +84 10 39.983698524|116.8698487113202 +29.4559707056252|   3.095 38.370    |10.91    |~                    |    ~     ~    
74  |TYC 4647-976-1                                                        |Star                           |17 04 49.0556448696 +84 07 08.430790620|116.8842678220608 +29.6363643877445| -15.093 15.098    |10.81    |~                    |    ~     ~    
75  |TYC 4647-2106-1                                                       |Star                           |17 13 36.2292316320 +83 25 12.291397716|116.0363184624005 +29.6832456446025|   0.599 31.600    |10.90    |~                    |    ~     ~    
76  |TYC 4647-2237-1                                                       |Star                           |17 12 15.7223272224 +82 37 16.504771548|115.1942072174861 +30.0092533400465|    3.295 0.672    |10.74    |~                    |    ~     ~    
