C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST06:12:37

Vmag< 11&dec >=0&rah >=17.0&rah< 17.25
--------------------------------------

Number of objects : 3887

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type      |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------------|---------------
767 |TYC 3890-852-1                                                        |High Proper Motion Star        |17 06 21.8685850488 +55 26 11.335703424|083.4897882992567 +36.7955680947081| 24.863 -90.826    |10.13    |~                    |    ~     ~    
768 |TYC 3890-1001-1                                                       |High Proper Motion Star        |17 05 09.5525170248 +55 12 31.282655832|083.2236941994797 +36.9852730683780| 49.664 -32.350    |9.91     |~                    |    ~     ~    
769 |TYC 3890-1086-1                                                       |Spectroscopic Binary           |17 04 48.4790760216 +55 03 04.705829748|083.0324985978992 +37.0483893898765|-11.217 -26.212    |10.14    |~                    |    ~     ~    
770 |TYC 3890-1125-1                                                       |Spectroscopic Binary           |17 04 46.7002846512 +55 03 49.260504204|083.0483933024238 +37.0515933783636|   7.395 14.256    |10.75    |~                    |    ~     ~    
771 |TYC 3890-1142-1                                                       |Star                           |17 00 54.1138542816 +55 11 29.686914636|083.2720611074821 +37.5917127385473|  -5.155 44.226    |10.60    |~                    |    ~     ~    
772 |TYC 3891-21-1                                                         |Star                           |17 11 34.8465649800 +54 25 41.080668744|082.1774324578274 +36.1144071221861|   -3.662 7.051    |10.57    |~                    |    ~     ~    
773 |TYC 3891-377-1                                                        |Star                           |17 07 45.8802444648 +55 25 39.202216716|083.4590359570202 +36.5982909685249|   10.776 2.588    |10.94    |~                    |    ~     ~    
774 |TYC 3891-909-1                                                        |Star                           |17 08 26.0876073120 +55 11 58.170282360|083.1671043556683 +36.5200824829603|   -9.846 5.725    |10.31    |~                    |    ~     ~    
775 |TYC 3891-1065-1                                                       |Star                           |17 11 32.5741789296 +54 39 08.881219764|082.4551682721929 +36.1083722470593|    7.289 2.293    |9.55     |~                    |    ~     ~    
776 |TYC 3891-1072-1                                                       |Star                           |17 07 11.3635335480 +54 35 49.267103136|082.4337276865100 +36.7406590493325| -3.513 -40.785    |10.83    |~                    |    ~     ~    
777 |TYC 3891-1086-1                                                       |Star                           |17 10 44.2674038664 +55 00 37.320621552|082.9058504216842 +36.2038682816125| -1.617 -39.405    |9.89     |~                    |    ~     ~    
778 |BD+58 1695                                                            |High Proper Motion Star        |17 02 48.9132229272 +57 54 23.814959544|086.6259740802295 +37.0215809453626|-34.208 -40.821    |10.54    |F8                   |    ~     ~    
779 |HD 154255                                                             |High Proper Motion Star        |17 01 06.0131001744 +57 06 50.664272688|085.6754165035482 +37.3497167711673|  0.248 132.614    |8.35     |G5                   |    ~     ~    
780 |HD 238642                                                             |High Proper Motion Star        |17 01 20.7127518384 +56 59 18.502799388|085.5134915400521 +37.3320540345948| -2.818 -66.499    |9.37     |G0                   |    ~     ~    
781 |HD 154689                                                             |Star                           |17 03 34.0320268632 +57 29 59.214544332|086.1049523469927 +36.9721419730490|  -9.146 27.658    |8.18     |B9                   |    ~     ~    
782 |HD 154840                                                             |Star                           |17 04 33.2799237720 +56 50 33.490650624|085.2690595954666 +36.9135852078642| 10.799 -20.284    |9.17     |G5                   |    ~     ~    
783 |HD 238654                                                             |High Proper Motion Star        |17 04 59.7256165248 +56 56 33.577294200|085.3853441891962 +36.8430511873040| -17.269 60.944    |9.29     |K0                   |    ~     ~    
784 |HD 238647                                                             |Star                           |17 02 55.5456275520 +56 14 07.161397152|084.5422447885188 +37.2013696650613|    2.733 0.865    |9.08     |K2                   |    ~     ~    
785 |HD 238648                                                             |Star                           |17 03 37.0216849272 +56 02 05.481343428|084.2796046643567 +37.1261792791431|  3.332 -29.255    |9.57     |K5                   |    ~     ~    
786 |HD 238649                                                             |Spectroscopic Binary           |17 03 45.6215033712 +56 02 47.753862972|084.2917477245384 +37.1050897355260| -2.968 -27.884    |10.16    |G0                   |    ~     ~    
787 |HD 238652                                                             |Star                           |17 04 06.7235773464 +55 58 33.175419420|084.1974589261865 +37.0631505412589| -12.860 11.533    |9.34     |K0                   |    ~     ~    
788 |HD 154904                                                             |Star                           |17 05 03.8232694272 +56 32 14.464140144|084.8803038290752 +36.8758677824873|   7.626 -6.085    |7.88     |K0                   |    ~     ~    
789 |HD 154986                                                             |High Proper Motion Star        |17 05 40.7075337240 +56 08 07.040370660|084.3698549308247 +36.8302518885382| -72.660 63.338    |7.10     |K0                   |    ~     ~    
790 |HD 238657                                                             |Star                           |17 07 33.2525198184 +56 13 40.637910900|084.4554215997473 +36.5619298388070| 11.329 -13.511    |9.61     |K0                   |    ~     ~    
791 |HD 155356                                                             |High Proper Motion Star        |17 07 51.0837992304 +56 10 15.671785584|084.3803542277068 +36.5256986960203| -53.894 81.947    |7.88     |F5                   |    ~     ~    
792 |HD 238640                                                             |Star                           |17 00 13.1267696472 +55 33 39.034070352|083.7484014911960 +37.6502006842868| -10.970 12.702    |10.03    |K5                   |    ~     ~    
793 |HD 154141                                                             |Star                           |17 00 39.0654150168 +55 32 29.306733504|083.7159199386688 +37.5914564333510|  39.411 -3.945    |9.07     |F5                   |    ~     ~    
794 |HD 155343                                                             |Star                           |17 07 48.4345148280 +55 46 05.242054800|083.8812422806060 +36.5654615806854|   1.901 39.281    |6.850    |K0                   |    ~     ~    
795 |TYC 3890-377-1                                                        |Star                           |17 01 39.4181218368 +55 52 13.430907084|084.1094666525191 +37.4159758934640|  5.084 -21.423    |10.05    |~                    |    ~     ~    
796 |TYC 3890-476-1                                                        |Star                           |17 01 40.1268971208 +56 01 10.069039668|084.2958416723166 +37.3984771084763|  15.480 28.847    |10.93    |~                    |    ~     ~    
797 |TYC 3890-499-1                                                        |Star                           |17 04 46.5775476792 +55 51 20.951545572|084.0366404379983 +36.9819757309042|   5.054 -7.904    |10.78    |~                    |    ~     ~    
798 |TYC 3890-665-1                                                        |Star                           |17 02 24.1453435896 +55 55 55.721975628|084.1730063686618 +37.3056216363392|    3.404 1.470    |10.30    |~                    |    ~     ~    
799 |TYC 3890-816-1                                                        |Star                           |17 04 51.4899699480 +55 46 51.111680376|083.9418801081571 +36.9774801600026|  -4.624 -1.608    |10.49    |~                    |    ~     ~    
800 |TYC 3890-888-1                                                        |Star                           |17 06 14.9013154920 +55 33 06.022011492|083.6348512807367 +36.8023982604734|  6.405 -17.280    |10.85    |~                    |    ~     ~    
801 |TYC 3890-891-1                                                        |Star                           |17 01 44.7808072440 +55 40 02.184470796|083.8534468842457 +37.4245761633189| -2.239 -26.250    |9.75     |~                    |    ~     ~    
802 |TYC 3890-939-1                                                        |High Proper Motion Star        |17 06 17.8945042272 +55 57 05.568545628|084.1314918085936 +36.7608403725481| 27.942 -69.469    |10.83    |~                    |    ~     ~    
803 |TYC 3890-1274-1                                                       |Star                           |17 05 21.7039149936 +55 38 22.143638616|083.7576838121343 +36.9196076034669|   1.047 -3.682    |10.58    |~                    |    ~     ~    
804 |TYC 3894-89-1                                                         |Star                           |17 05 55.3219714392 +56 24 41.305951944|084.7092027303337 +36.7703634766067| -13.498 -9.863    |10.29    |~                    |    ~     ~    
805 |TYC 3894-254-1                                                        |Star                           |17 02 58.6145237880 +56 44 46.562956692|085.1786990327490 +37.1388491896018|  -8.198 -4.257    |10.25    |~                    |    ~     ~    
806 |TYC 3894-351-1                                                        |Star                           |17 06 17.2237768536 +56 48 11.460886272|085.1894135743670 +36.6819391396351| -1.786 -10.809    |10.09    |~                    |    ~     ~    
807 |TYC 3894-370-1                                                        |Star                           |17 00 10.7360992272 +56 55 57.085138056|085.4682405075383 +37.4967037564077|   -5.271 4.626    |10.83    |~                    |    ~     ~    
808 |TYC 3894-515-1                                                        |High Proper Motion Star        |17 05 23.9317228968 +57 34 33.662666388|086.1638328316658 +36.7191592595580| -19.925 61.021    |10.73    |~                    |    ~     ~    
809 |TYC 3894-569-1                                                        |Star                           |17 00 10.8306751296 +57 25 53.790090240|086.0917914810320 +37.4324387768443|   -2.222 2.675    |10.89    |~                    |    ~     ~    
810 |TYC 3894-662-1                                                        |Star                           |17 01 52.7895093480 +57 22 48.846227484|085.9908894157049 +37.2120484819452|   -4.248 6.722    |10.68    |~                    |    ~     ~    
811 |TYC 3894-782-1                                                        |Star                           |17 04 37.4257022160 +57 49 05.423590992|086.4790661536975 +36.7938297022305|   6.155 12.164    |10.93    |~                    |    ~     ~    
812 |TYC 3894-824-1                                                        |Star                           |17 01 15.5744668656 +57 20 35.667250152|085.9579450820368 +37.2996557773277|  -8.671 41.777    |10.67    |~                    |    ~     ~    
813 |TYC 3894-852-1                                                        |Star                           |17 04 37.1266018320 +57 16 18.895338300|085.8013325482283 +36.8578112471058|  5.567 -19.931    |10.12    |~                    |    ~     ~    
814 |[DCO2008] T-Dra0-00240                                                |Spectroscopic Binary           |17 03 52.9212834000 +57 21 55.489357368|085.9317169519273 +36.9459158035890|    3.962 5.598    |10.89    |~                    |    ~     ~    
815 |TYC 3894-964-1                                                        |Spectroscopic Binary           |17 04 41.9462296104 +57 18 57.200406156|085.8544103716288 +36.8420811917826| -7.185 -14.911    |10.19    |~                    |    ~     ~    
816 |TYC 3894-1169-1                                                       |Star                           |17 03 51.0280468200 +57 19 09.035468976|085.8748701281028 +36.9555166642984|  46.871 -4.493    |10.76    |~                    |    ~     ~    
817 |TYC 3894-1286-1                                                       |Star                           |17 00 24.8402497632 +57 58 08.231766636|086.7565749717442 +37.3291587911053| -1.837 -19.830    |10.27    |~                    |    ~     ~    
818 |TYC 3894-1370-1                                                       |Star                           |17 01 43.8173309880 +57 56 24.194405328|086.6909964477751 +37.1600555323214|   5.822 23.782    |10.75    |~                    |    ~     ~    
819 |TYC 3894-1395-1                                                       |Chemically Peculiar Star       |17 04 28.8995878920 +57 56 37.435052292|086.6375620785841 +36.7974499637044|   -5.801 0.782    |10.70    |~                    |    ~     ~    
820 |TYC 3895-333-1                                                        |Star                           |17 07 20.7636303264 +56 39 50.696800344|084.9993680144556 +36.5509022972545|   26.232 5.224    |10.66    |~                    |    ~     ~    
821 |TYC 3898-696-1                                                        |Star                           |17 04 26.7011388384 +58 16 53.852037276|087.0569288691606 +36.7604104971385| -10.825 22.438    |10.11    |~                    |    ~     ~    
822 |TYC 3898-948-1                                                        |Star                           |17 02 36.3698918448 +58 07 46.410312684|086.9073446110857 +37.0201743827913|  4.067 -12.414    |10.82    |~                    |    ~     ~    
823 |HD 238643                                                             |Star                           |17 01 14.3649536088 +59 13 32.501622900|088.2980765515799 +37.0414271801198|    9.247 1.871    |10.47    |F5                   |    ~     ~    
824 |HD 154209                                                             |Star                           |17 00 37.9052769624 +58 40 10.765415352|087.6230319369368 +37.2014402949462|  -2.193 37.118    |8.96     |G5                   |    ~     ~    
825 |HD 154321                                                             |Star                           |17 01 18.3091212168 +58 34 04.509096888|087.4808512720305 +37.1293427109962|  -2.475 -0.895    |9.39     |F5                   |    ~     ~    
826 |HD 154355                                                             |High Proper Motion Star        |17 01 31.0922829744 +58 33 22.736088432|087.4615147784617 +37.1034842454665|-64.575 -34.876    |7.29     |F5                   |    ~     ~    
827 |TYC 3898-158-1                                                        |Star                           |17 00 21.3161483184 +59 56 24.274534956|089.2039706862770 +37.0396861498680|-11.337 -16.266    |10.67    |~                    |    ~     ~    
828 |TYC 3898-343-1                                                        |Star                           |17 01 33.4693595496 +58 46 59.948541228|087.7422502148541 +37.0660509157718| -14.901 21.918    |10.31    |~                    |    ~     ~    
829 |TYC 3898-371-1                                                        |Star                           |17 00 17.3517355176 +59 02 21.119067060|088.0900527377752 +37.1901484726235|  4.754 -28.314    |10.47    |~                    |    ~     ~    
830 |TYC 3898-710-1                                                        |Star                           |17 00 42.5353028544 +59 00 40.297974408|088.0450703704743 +37.1409973530205| -3.929 -15.299    |10.21    |~                    |    ~     ~    
831 |HD 154759                                                             |Star                           |17 05 05.4880796784 +46 58 01.674275160|072.8886779946907 +37.2377470754598|-18.923 -12.133    |8.71     |K3III                |    ~     ~    
832 |BD+47 2429                                                            |Star                           |17 07 02.6263223280 +46 50 47.721223104|072.7497820214761 +36.9009467433993|  1.077 -16.788    |9.14     |K0                   |    ~     ~    
833 |BD+47 2436                                                            |Star                           |17 09 59.6901109536 +46 53 28.838512644|072.8288542588377 +36.3985688864292| -1.256 -11.638    |9.39     |F8                   |    ~     ~    
834 |BD+47 2437                                                            |High Proper Motion Star        |17 10 20.6972608680 +46 54 02.481326748|072.8435602036729 +36.3392013972355|-40.398 -29.733    |9.630    |F8                   |    ~     ~    
835 |HD 154082                                                             |Star                           |17 01 00.5294124936 +46 16 26.771120940|071.9937381233728 +37.9223466897358|  -7.801 -3.607    |8.03     |K5                   |    ~     ~    
836 |BD+46 2255                                                            |Star                           |17 02 45.7873580496 +45 56 20.391200232|071.5802531651288 +37.6094367708285|   -0.245 6.939    |10.11    |A2                   |    ~     ~    
837 |BD+46 2256                                                            |Star                           |17 02 54.2459721864 +46 42 39.249317340|072.5551008245551 +37.6057084889256| -8.728 -24.591    |10.36    |K2                   |    ~     ~    
838 |HD 154507                                                             |Star                           |17 03 36.9132821496 +46 01 25.919079816|071.6932714173998 +37.4642344754971| 11.318 -48.255    |8.00     |K0                   |    ~     ~    
839 |BD+46 2259                                                            |Star                           |17 05 21.2752640400 +45 57 07.713696168|071.6169259482533 +37.1597010175249| -3.520 -20.612    |9.26     |K0                   |    ~     ~    
840 |HD 154815                                                             |Star                           |17 05 25.7584326960 +46 21 20.916946476|072.1236997781496 +37.1616399459161| -24.774 12.631    |7.35     |K0                   |    ~     ~    
841 |HD 155370                                                             |Star                           |17 08 54.8207329896 +46 30 19.507276620|072.3395635389884 +36.5674890001702|  -11.881 0.947    |8.81     |G5                   |    ~     ~    
842 |HD 155393                                                             |Star                           |17 08 59.0229105552 +46 47 33.780663456|072.6975879403630 +36.5673410838393|   8.701 -7.891    |8.37     |K5                   |    ~     ~    
843 |BD+46 2269                                                            |Star                           |17 09 24.7908958056 +46 44 28.604774256|072.6373369482425 +36.4917741032752|    1.258 5.687    |9.31     |K0                   |    ~     ~    
844 |BD+46 2270                                                            |Star                           |17 09 40.8847644864 +46 15 24.194401884|072.0380699456077 +36.4238280140303|    0.979 3.262    |9.67     |K2                   |    ~     ~    
845 |BD+46 2272                                                            |Double or Multiple Star        |17 10 29.0173 +46 45 01.058            |072.6583497 +36.3089572            | 22.580 -53.991    |9.58     |G5                   |    ~     ~    
846 |HD 155656                                                             |High Proper Motion Star        |17 10 40.3403883240 +46 33 21.727919088|072.4194645690127 +36.2676248577677| 30.166 -81.959    |7.58     |K0                   |    ~     ~    
847 |HD 155744                                                             |High Proper Motion Star        |17 11 19.2957335784 +46 00 39.639417192|071.7522636349629 +36.1271370212061|-17.137 -51.848    |8.66     |G5                   |    ~     ~    
848 |BD+45 2484                                                            |Star                           |17 03 20.6251403904 +45 40 59.565787680|071.2621691651693 +37.4995552164763| -22.303 29.402    |9.94     |F8                   |    ~     ~    
849 |BD+45 2485                                                            |Star                           |17 03 34.6259266560 +45 25 21.418719996|070.9360623209432 +37.4485862579438|   0.589 -8.368    |10.09    |K2                   |    ~     ~    
850 |BD+45 2486                                                            |Star                           |17 03 43.0706214336 +45 24 15.860767536|070.9144347745532 +37.4231537625255|  -0.248 -8.245    |10.09    |K2                   |    ~     ~    
851 |HD 154542                                                             |Star                           |17 03 55.1743746264 +45 26 57.189372108|070.9726597940646 +37.3896594158686|   10.464 1.548    |7.75     |K0                   |    ~     ~    
852 |HD 154690                                                             |Star                           |17 04 50.9722759032 +45 13 27.439301280|070.6993309929629 +37.2163621355902| -18.577 37.523    |8.89     |G5                   |    ~     ~    
853 |BD+45 2490                                                            |Star                           |17 06 01.5160578312 +44 54 27.047203164|070.3160205353303 +36.9927762058327|   -3.297 9.593    |9.96     |K2                   |    ~     ~    
854 |HD 154887                                                             |High Proper Motion Star        |17 06 05.1968492136 +45 00 24.516701136|070.4408940481079 +36.9873597795882| -56.069 29.467    |8.04     |F8                   |    ~     ~    
855 |BD+45 2493                                                            |Star                           |17 07 14.8135864584 +45 08 34.984245948|070.6250288176686 +36.7902991334190|  0.928 -40.561    |9.71     |G5                   |    ~     ~    
856 |BD+45 2494                                                            |Star                           |17 07 50.7781366560 +45 16 19.765557552|070.7932317970043 +36.6920809309518|  -2.106 15.189    |9.50     |K0                   |    ~     ~    
857 |BD+45 2495                                                            |Star                           |17 07 54.7912163760 +45 35 45.715571556|071.1973551025520 +36.6977812549661|   1.513 -5.900    |9.64     |A2                   |    ~     ~    
858 |BD+45 2496                                                            |Star                           |17 07 57.3740106936 +45 16 29.575413012|070.7979730192241 +36.6729232964918| -13.019 17.644    |9.56     |F5                   |    ~     ~    
859 |BD+45 2498                                                            |Star                           |17 08 45.6216961728 +45 15 08.606811060|070.7801210586619 +36.5303700247713|-21.659 -29.130    |9.47     |F8                   |    ~     ~    
860 |BD+45 2501                                                            |Spectroscopic Binary           |17 09 37.2841810080 +45 21 49.386331548|070.9294566829640 +36.3858468712504| -38.505 -1.006    |9.19     |G0                   |    ~     ~    
861 |HD 155542                                                             |Star                           |17 10 11.5694166816 +45 01 35.605808004|070.5196530066226 +36.2641822103502|  29.790 -5.044    |8.85     |F8                   |    ~     ~    
862 |HD 155816                                                             |Star                           |17 11 39.8527741920 +45 19 27.993011232|070.9089631495292 +36.0251379171009|   3.758 -7.634    |6.57     |K2                   |    ~     ~    
863 |HD 155876                                                             |Spectroscopic Binary           |17 12 07.91174 +45 39 57.2157          |071.33668160 +35.96553159          |348.59 -1624.84    |9.523    |M3V                  |0.0183  0.0    
864 |BD+44 2650                                                            |Double or Multiple Star        |17 04 16.6018 +44 44 42.849            |070.0918749 +37.2936675            |     -8.8 -16.5    |9.75     |F8                   |    ~     ~    
865 |BD+44 2651                                                            |Star                           |17 04 42.6012159360 +44 45 56.439073368|070.1226089224203 +37.2179223731822|  -15.809 4.358    |8.77     |K0                   |    ~     ~    
866 |BD+44 2654                                                            |Star                           |17 06 26.5608176640 +44 46 37.068471552|070.1581612815913 +36.9115122323979|  9.541 -18.251    |10.11    |F5                   |    ~     ~    
867 |HD 155059                                                             |High Proper Motion Star        |17 07 08.0894175768 +44 15 19.598985756|069.5174763350422 +36.7557810198452|-60.147 -32.223    |8.08     |G5                   |    ~     ~    
868 |BD+44 2661                                                            |Star                           |17 08 25.0540918464 +44 19 58.286862912|069.6332529034706 +36.5320625457478| -18.365 13.619    |10.58    |K0                   |    ~     ~    
869 |BD+44 2663                                                            |High Proper Motion Star        |17 09 00.9033435768 +44 40 58.019265624|070.0765329924539 +36.4496488110629| -32.981 61.479    |9.46     |G0                   |    ~     ~    
870 |HD 155697                                                             |Star                           |17 11 09.2978149944 +44 29 21.029366580|069.8706723942492 +36.0558309567409|  -0.208 -6.352    |10.00    |K0                   |    ~     ~    
871 |HD 155903                                                             |Star                           |17 12 15.6174061536 +44 35 41.793693576|070.0195524733441 +35.8675354257156|  4.779 -10.094    |9.85     |K0                   |    ~     ~    
872 |HD 155988                                                             |High Proper Motion Star        |17 12 52.8476052096 +44 36 30.543566724|070.0468419795957 +35.7584807398934| 68.349 -23.037    |9.71     |G5                   |    ~     ~    
873 |IRAS 17071+4548                                                       |Long-Period Variable Candidate |17 08 36.2830839600 +45 44 26.134749204|071.3850865733896 +36.5846309162631|    4.251 1.559    |10.79    |~                    |    ~     ~    
874 |BD+46 2265                                                            |Double or Multiple Star        |17 07 17.16 +46 04 20.0                |071.78458 +36.82963                |            ~ ~    |9.5      |~                    |    ~     ~    
875 |HD 156110                                                             |Star                           |17 13 27.7212520752 +45 22 20.058676248|070.9946021054979 +35.7132989375470|  -3.579 -7.123    |7.58     |B3Vn                 |    ~     ~    
876 |BD+45 2483                                                            |Star                           |17 02 27.2786139336 +45 02 03.611318820|070.4363637304757 +37.6297534697762|  10.580 15.285    |9.43     |A2                   |    ~     ~    
877 |BD+44 2645                                                            |Star                           |17 02 32.7857300760 +44 45 25.658254260|070.0876807031769 +37.6010756448512| 34.455 -35.028    |9.84     |G0                   |    ~     ~    
878 |BD+46 2271                                                            |High Proper Motion Star        |17 10 30.2219166312 +45 53 57.670785420|071.6042292881798 +36.2627963108462| -22.972 45.142    |10.08    |~                    |    ~     ~    
879 |BD+45 2507                                                            |Star                           |17 12 41.2946621160 +45 49 04.329966756|071.5315652678253 +35.8782800232757| -23.255 28.154    |10.12    |~                    |    ~     ~    
880 |TYC 3084-84-1                                                         |Star                           |17 04 12.4393263360 +44 14 08.081491128|069.4514204255610 +37.2777815248937|   3.619 10.116    |10.21    |~                    |    ~     ~    
881 |TYC 3084-120-1                                                        |High Proper Motion Star        |17 05 45.2033795016 +44 54 03.206487348|070.3044356505047 +37.0404830475672| 21.508 -68.417    |10.65    |~                    |    ~     ~    
882 |TYC 3084-193-1                                                        |Star                           |17 03 17.9706877224 +44 26 55.101377904|069.7076477039910 +37.4517593940428|-35.346 -11.591    |10.83    |~                    |    ~     ~    
883 |TYC 3084-326-1                                                        |Star                           |17 03 49.0231082808 +44 33 48.414584736|069.8581606918047 +37.3657237088027|  -6.157 -7.788    |10.69    |~                    |    ~     ~    
884 |TYC 3084-353-1                                                        |Star                           |17 03 40.4872553664 +44 17 15.455571180|069.5098637947506 +37.3759646197899|  -6.355 10.410    |10.74    |~                    |    ~     ~    
885 |TYC 3084-372-1                                                        |Star                           |17 07 34.8769241136 +44 43 56.512370136|070.1177154414807 +36.7070610616331|  -34.682 1.332    |10.97    |~                    |    ~     ~    
886 |TYC 3084-458-1                                                        |High Proper Motion Star        |17 07 06.7648818456 +44 24 55.243211328|069.7163168629159 +36.7702438476998|-42.683 -68.249    |10.81    |~                    |    ~     ~    
887 |TYC 3084-626-1                                                        |Spectroscopic Binary           |17 06 10.7250407088 +44 16 54.924810708|069.5365203424682 +36.9283000957778|-14.700 -21.241    |10.94    |~                    |    ~     ~    
888 |TYC 3084-678-1                                                        |Star                           |17 07 05.6361457752 +44 26 31.268020668|069.7492764617113 +36.7753170470119|  5.964 -18.104    |10.32    |~                    |    ~     ~    
889 |TYC 3085-271-1                                                        |Star                           |17 12 48.6456106680 +44 28 15.606394428|069.8767332568093 +35.7599631993856|  -33.999 6.899    |10.79    |~                    |    ~     ~    
890 |TYC 3085-703-1                                                        |Star                           |17 12 52.0594951656 +44 44 57.874714008|070.2197652390693 +35.7718065707811|  -4.583 -2.506    |10.80    |~                    |    ~     ~    
891 |TYC 3501-38-1                                                         |Star                           |17 10 53.0083238280 +45 01 25.548745980|070.5263142411420 +36.1422317372714|  -2.005 -4.492    |10.97    |~                    |    ~     ~    
892 |TYC 3501-62-1                                                         |Spectroscopic Binary           |17 02 22.8440240112 +45 10 50.331663444|070.6202808467953 +37.6488963549219|  -2.133 -0.445    |10.27    |~                    |    ~     ~    
893 |TYC 3501-115-1                                                        |Star                           |17 07 27.3839797176 +46 53 23.102010708|072.8066266867434 +36.8318915512831|  19.519 -3.711    |10.73    |~                    |    ~     ~    
894 |TYC 3501-212-1                                                        |Star                           |17 11 23.3676693216 +45 07 36.073842384|070.6609220035259 +36.0601081359063|   2.195 -6.391    |9.89     |~                    |    ~     ~    
895 |TYC 3501-277-1                                                        |Star                           |17 07 31.2856000848 +46 59 20.109967188|072.9309099354034 +36.8240700863553| -14.435 19.686    |10.60    |~                    |    ~     ~    
896 |TYC 3501-278-1                                                        |Star                           |17 10 46.3620425184 +45 06 49.431350988|070.6358604083671 +36.1677899769575|    1.506 0.568    |10.67    |~                    |    ~     ~    
897 |TYC 3501-286-1                                                        |Star                           |17 06 23.3109340536 +45 07 59.644321284|070.6024707315973 +36.9409144933616| -3.867 -13.952    |10.45    |~                    |    ~     ~    
898 |TYC 3501-375-1                                                        |Star                           |17 07 18.3665213376 +46 55 30.409344840|072.8497312389873 +36.8587161323752|  -8.404 -3.257    |10.54    |~                    |    ~     ~    
899 |TYC 3501-587-1                                                        |Star                           |17 01 30.5758361208 +46 38 17.753364168|072.4572267965351 +37.8434116630896|  -13.033 4.926    |10.39    |~                    |    ~     ~    
900 |TYC 3501-989-1                                                        |Star                           |17 05 36.7096445568 +46 01 43.176505764|071.7150391186573 +37.1180596307539| -1.343 -19.862    |10.09    |~                    |    ~     ~    
901 |TYC 3501-1109-1                                                       |Star                           |17 06 13.0858467168 +46 23 04.516254528|072.1657785173780 +37.0266753702169|    4.822 9.483    |10.70    |~                    |    ~     ~    
902 |TYC 3501-1124-1                                                       |Star                           |17 05 43.5896773968 +45 59 07.415974284|071.6618184312567 +37.0964498007632| -10.678 15.748    |9.87     |~                    |    ~     ~    
903 |GSC 03501-01141                                                       |Double or Multiple Star        |17 05 57.938760 +46 15 53.30808        |072.013801760 +37.065830039        |     -10.6 -0.8    |10.432   |~                    |    ~     ~    
904 |TYC 3501-1192-1                                                       |Star                           |17 03 29.1791746440 +46 48 50.846204592|072.6880360683349 +37.5082884711560|  -1.580 -4.744    |10.64    |~                    |    ~     ~    
905 |TYC 3501-1260-1                                                       |Star                           |17 08 01.2128136264 +45 56 22.305496380|071.6263868375440 +36.6962146430898|  -3.415 -1.609    |10.83    |~                    |    ~     ~    
906 |TYC 3501-1296-1                                                       |Star                           |17 02 32.0397858696 +45 55 18.041941056|071.5568149549709 +37.6487140615177|  -2.008 -5.808    |10.76    |~                    |    ~     ~    
907 |TYC 3501-1348-1                                                       |Star                           |17 08 23.4620968992 +45 54 18.768238704|071.5875506499919 +36.6301397404718|  -4.529 -5.553    |10.25    |~                    |    ~     ~    
908 |TYC 3501-1410-1                                                       |Star                           |17 04 36.7527719016 +45 46 31.613446776|071.3888104564885 +37.2818165922267|  8.303 -14.058    |10.84    |~                    |    ~     ~    
909 |TYC 3501-1645-1                                                       |Star                           |17 08 30.2854887216 +45 38 58.244599428|071.2706650843531 +36.5972876211481|  0.890 -45.124    |10.39    |~                    |    ~     ~    
910 |TYC 3501-1769-1                                                       |Star                           |17 12 07.2771870504 +45 57 41.970244068|071.7013202564017 +35.9855880359236|  -8.571 -1.162    |10.70    |~                    |    ~     ~    
911 |TYC 3501-1965-1                                                       |Star                           |17 12 49.4739226680 +45 36 33.815848536|071.2767716270877 +35.8410386033629|   3.497 20.165    |10.76    |~                    |    ~     ~    
912 |TYC 3501-1992-1                                                       |High Proper Motion Star        |17 08 59.0846143536 +45 41 58.600521132|071.3385039112733 +36.5162290458020|-71.646 110.710    |10.23    |~                    |    ~     ~    
913 |TYC 3501-2079-1                                                       |Star                           |17 11 51.6940724976 +46 14 04.310431728|072.0349112607935 +36.0462532692370| -2.885 -16.002    |10.53    |~                    |    ~     ~    
914 |V* V1045 Her                                                          |Spectroscopic Binary           |17 10 59.9404610472 +46 17 20.251983768|072.0922606030497 +36.1980527085358|  -7.632 25.392    |10.55    |~                    |    ~     ~    
915 |IRAS 16596+4545                                                       |Star                           |17 01 05.8965981024 +45 41 34.898106588|071.2580261678071 +37.8918154453175|   0.435 -7.662    |10.87    |~                    |    ~     ~    
916 |TYC 3501-2204-1                                                       |Star                           |17 07 54.0855180456 +45 28 07.791346488|071.0387995026854 +36.6931494400380|   4.853 -9.557    |10.17    |~                    |    ~     ~    
917 |TYC 3501-2207-1                                                       |Star                           |17 07 11.7047622408 +46 14 00.216777840|071.9849507717887 +36.8522158318514| -8.786 -16.433    |10.14    |~                    |    ~     ~    
918 |TYC 3501-2211-1                                                       |Star                           |17 11 19.1847321696 +46 09 46.967879520|071.9401900529004 +36.1359279087430|    2.595 1.760    |10.79    |~                    |    ~     ~    
919 |TYC 3501-2215-1                                                       |Star                           |17 08 05.8148907888 +47 03 41.000493924|073.0253624196084 +36.7284311871161|  -9.884 -8.247    |10.92    |~                    |    ~     ~    
