C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:38:12

dec< 0&rah >=9.0&rah< 9.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 7147

 #  |                              identifier                              |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
2165|BD-07 2762                                                            |Double or Multiple Star           |09 14 18.3895394673 -08 17 34.284675565|238.9275713703826 +26.6385428593469|   -9.869 0.545   |10.096   |~              |    ~     ~    |    1|  566.604   pc  | -53.2600    +53.2600    |ST-L    |2020AJ....160...83S
2166|TYC 4891-684-1                                                        |Star                              |09 13 40.7028178632 -06 38 42.808724304|237.3228713551681 +27.4732489487856| -5.799 -26.235   |10.672   |~              |    ~     ~    |    1|  500.386   pc  | -18.1000    +18.1000    |ST-L    |2020AJ....160...83S
2167|TYC 5458-391-1                                                        |Star                              |09 12 21.5815232232 -07 37 01.304766372|237.9988789642430 +26.6431886875965|   4.187 -6.891   |10.485   |~              |    ~     ~    |    1|  436.010   pc  |  -8.3140     +8.3140    |ST-L    |2020AJ....160...83S
2168|HD 79033                                                              |Star                              |09 11 15.1430963208 -08 53 56.771086632|238.9793298547242 +25.6714234903468|-41.044 -17.157   |9.06     |K2III          |    ~     ~    |    1|  525.707   pc  |  -4.9470     +4.9470    |paral   |2020yCat.1350....0G
2169|HD 79236                                                              |High Proper Motion Star           |09 12 43.9943279904 -08 55 56.374953060|239.2482845341651 +25.9475487898995|-76.798 -48.259   |9.21     |F7/8V          |    ~     ~    |    1|   91.524   pc  |  -0.1633     +0.1633    |paral   |2020yCat.1350....0G
2170|HD 79286                                                              |Star                              |09 13 00.0753759024 -08 41 44.160637308|239.0788590413320 +26.1405568903591|  2.402 -14.109   |9.241    |K1IV           |    ~     ~    |    1|  401.932   pc  | -19.4200    +19.4200    |ST-L    |2020AJ....160...83S
2171|BD-08 2612                                                            |Star                              |09 13 21.1471213872 -09 06 49.155422904|239.5114541398089 +25.9637756372029| -18.731 -7.089   |10.143   |~              |    ~     ~    |    1|  387.918   pc  | -18.3800    +18.3800    |ST-L    |2020AJ....160...83S
2172|BD-09 2763                                                            |Star                              |09 11 28.1003535432 -09 52 39.011922084|239.8885290077948 +25.1369993543897|  -20.815 6.158   |10.29    |~              |    ~     ~    |    1|  714.541   pc  | -10.5688    +10.5688    |paral   |2020yCat.1350....0G
2173|BD-09 2764                                                            |Star                              |09 12 08.2763086392 -09 47 11.475051252|239.9157328104236 +25.3237553553221|  -46.350 0.040   |9.95     |~              |    ~     ~    |    1|  196.171   pc  |  -0.6465     +0.6465    |paral   |2020yCat.1350....0G
2174|BD-09 2766                                                            |High Proper Motion Star           |09 12 30.4366655184 -10 01 25.419882180|240.1864991603632 +25.2558888964704|-48.051 -32.022   |10.136   |K0             |    ~     ~    |    1|  219.093   pc  |  -4.5340     +4.5340    |ST-L    |2020AJ....160...83S
2175|BD-09 2767                                                            |Star                              |09 12 33.8018341200 -09 35 30.516323064|239.8110699512741 +25.5236757860271| -18.743 -9.729   |10.28    |~              |    ~     ~    |    1|  240.747   pc  |  -3.8020     +3.8020    |ST-L    |2020AJ....160...83S
2176|BD-08 2602                                                            |Star                              |09 11 18.6679087440 -08 45 26.942466852|238.8615257027240 +25.7663034211670| 17.451 -18.582   |10.04    |~              |    ~     ~    |    1|  314.901   pc  |  -1.4279     +1.4279    |paral   |2020yCat.1350....0G
2177|BD-07 2752                                                            |Star                              |09 11 37.4191777776 -08 32 59.959542012|238.7250621873415 +25.9505331501362|   -9.840 1.818   |10.29    |~              |    ~     ~    |    1|  645.245   pc  |  -6.1618     +6.1618    |paral   |2020yCat.1350....0G
2178|BD-09 2765                                                            |Star                              |09 12 28.8934735296 -10 21 41.209842312|240.4818524804976 +25.0494428971375|  -3.974 -2.186   |10.37    |~              |    ~     ~    |    1| 1356.116   pc  | -25.9306    +25.9306    |paral   |2020yCat.1350....0G
2179|BD-09 2768                                                            |High Proper Motion Star           |09 13 16.8431219976 -10 23 26.212718508|240.6374362969519 +25.1895423893716| 59.246 -50.862   |10.091   |~              |    ~     ~    |    1|   90.162   pc  |  -0.5576     +0.5576    |ST-L    |2020AJ....160...83S
2180|BD-09 2770                                                            |High Proper Motion Star           |09 13 29.0065240608 -10 15 38.539297044|240.5553419896579 +25.3072247950595| -60.062 13.496   |10.13    |~              |    ~     ~    |    1|  245.170   pc  |  -1.0519     +1.0519    |paral   |2020yCat.1350....0G
2181|BD-09 2769                                                            |Star                              |09 13 17.1894570552 -09 57 29.863912752|240.2548384974881 +25.4489522160510| -12.114 -7.361   |10.465   |~              |    ~     ~    |    1|  943.455   pc  | -76.9000    +76.9000    |ST-L    |2020AJ....160...83S
2182|BD-08 2613                                                            |Star                              |09 14 28.8 -09 05 42                   |239.6784 +26.1990                  |            ~ ~   |9.2      |~              |    ~     ~    |    0|                |                         |        |                   
2183|BD-08 2614                                                            |Star                              |09 14 32.5744053624 -09 08 09.504356748|239.7253868833742 +26.1872033640263| -18.342 -3.631   |9.907    |~              |    ~     ~    |    1|  339.644   pc  | -10.8300    +10.8300    |ST-L    |2020AJ....160...83S
2184|HD 79597                                                              |Star                              |09 14 53.0584328112 -08 45 28.602597744|239.4415261298942 +26.4792521604038|  -1.952 -6.511   |7.27     |A1V            |    ~     ~    |    1|  259.397   pc  |  -1.9782     +1.9782    |paral   |2020yCat.1350....0G
2185|HIP 45381                                                             |Star                              |09 14 53.5256332680 -08 45 03.030209100|239.4364038859857 +26.4850089271674|   1.011 -0.213   |10.601   |~              |    ~     ~    |    1|  267.416   pc  |  -4.0070     +4.0070    |ST-L    |2020AJ....160...83S
2186|BD-09 2775                                                            |Star                              |09 14 39.8347569264 -09 40 20.657557812|240.2248681984311 +25.8918270230826|  -1.254 -9.324   |10.53    |~              |    ~     ~    |    1|  440.852   pc  | -11.4100    +11.4100    |ST-L    |2020AJ....160...83S
2187|BD-08 2616                                                            |Star                              |09 14 52.3910551608 -09 22 19.125158160|239.9907522716210 +26.1123765678838|-20.305 -21.370   |10.694   |~              |    ~     ~    |    1|  193.367   pc  |  -2.6500     +2.6500    |ST-L    |2020AJ....160...83S
2188|BD-09 2774                                                            |Star                              |09 14 16.4854552872 -10 14 39.976075572|240.6699462421836 +25.4728800865671|-10.755 -12.295   |10.208   |~              |    ~     ~    |    1|  519.109   pc  | -15.4700    +15.4700    |ST-L    |2020AJ....160...83S
2189|BD-09 2776                                                            |Star                              |09 14 41.9098574448 -10 03 41.561548740|240.5768949354122 +25.6659544805934|      -0.6 -9.8   |10.49    |~              |    ~     ~    |    0|                |                         |        |                   
2190|BD-09 2773                                                            |Star                              |09 14 08.0163237192 -09 37 38.023673016|240.0979584247304 +25.8138521084285|  -2.184 -0.966   |10.815   |~              |    ~     ~    |    1| 1182.810   pc  | -77.2000    +77.2000    |ST-L    |2020AJ....160...83S
2191|TYC 5445-1463-1                                                       |Star                              |09 11 23.6657480232 -08 56 05.999186508|239.0344296492183 +25.6787199459478|  -42.585 1.600   |10.74    |~              |    ~     ~    |    1|  219.361   pc  |  -0.7795     +0.7795    |paral   |2020yCat.1350....0G
2192|TYC 5458-177-1                                                        |Star                              |09 11 30.9514306200 -08 54 23.094579816|239.0283277310110 +25.7197837628563| -44.500 -5.117   |10.44    |~              |    ~     ~    |    1|  179.147   pc  |  -1.5790     +1.5790    |paral   |2020yCat.1350....0G
2193|TYC 5458-212-1                                                        |Star                              |09 13 15.0372330432 -08 42 17.070780744|239.1275371672404 +26.1849659995237|   -7.659 0.775   |10.635   |~              |    ~     ~    |    1|  960.778   pc  | -44.1900    +44.1900    |ST-L    |2020AJ....160...83S
2194|TYC 5462-170-1                                                        |Star                              |09 14 00.7834304664 -10 11 41.581419864|240.5832795061823 +25.4510072921686|-25.949 -15.777   |10.889   |~              |    ~     ~    |    1|  290.405   pc  |  -4.7020     +4.7020    |ST-L    |2020AJ....160...83S
2195|TYC 5462-520-1                                                        |Star                              |09 14 51.8114553312 -10 02 40.104531276|240.5887366626606 +25.7087072543677|   0.230 -7.696   |10.74    |~              |    ~     ~    |    1|  996.413   pc  | -13.4033    +13.4033    |paral   |2020yCat.1350....0G
2196|BD-10 2775                                                            |Star                              |09 13 04.3784320824 -10 40 35.006359728|240.8562910170628 +24.9774430139439|  -3.037 -6.412   |9.57     |~              |    ~     ~    |    1|  813.339   pc  | -12.7673    +12.7673    |paral   |2020yCat.1350....0G
2197|HD 79082                                                              |Star                              |09 11 35.3792634912 -11 28 47.694187056|241.3224835114524 +24.2038856322371|  -9.874 -6.504   |8.23     |K1III          |    ~     ~    |    1|  450.897   pc  |  -4.7777     +4.7777    |paral   |2020yCat.1350....0G
2198|V* V432 Hya                                                           |Spectroscopic Binary              |09 12 18.6235254864 -11 04 44.126002272|241.0871804101710 +24.5861106876966|   -2.263 1.408   |7.92     |A1/2III/IV     |    ~     ~    |    1|  163.722   pc  |  -0.7237     +0.7237    |paral   |2020yCat.1350....0G
2199|HD 79219                                                              |Star                              |09 12 28.5649235688 -10 43 39.530184168|240.8046339851666 +24.8293499756352|   -6.166 0.149   |8.49     |K0III          |    ~     ~    |    1|  768.699   pc  | -14.2997    +14.2997    |paral   |2020yCat.1350....0G
2200|HD 79220                                                              |Star                              |09 12 30.5905635456 -11 33 45.360824580|241.5438279342107 +24.3340040688522| 15.884 -41.325   |9.07     |F3V            |    ~     ~    |    1|  156.392   pc  |  -0.4623     +0.4623    |paral   |2020yCat.1350....0G
2201|HD 79237                                                              |Star                              |09 12 34.6001295696 -11 29 40.797763044|241.4951888509708 +24.3880389827421| -17.705 -0.527   |8.29     |A1IV           |    ~     ~    |    1|  396.354   pc  |  -5.0585     +5.0585    |paral   |2020yCat.1350....0G
2202|HD 79342                                                              |Star                              |09 13 15.3853170504 -10 47 51.287132112|240.9930409465146 +24.9407498040364| -15.472 -7.532   |9.410    |G8III/IV       |    ~     ~    |    1|  337.427   pc  |  -7.9360     +7.9360    |ST-L    |2020AJ....160...83S
2203|HD 79378                                                              |Star                              |09 13 24.8240535528 -11 05 32.804724516|241.2782676914421 +24.7942260578313|   1.885 14.518   |8.93     |F0V            |    ~     ~    |    1|  187.758   pc  |  -0.6874     +0.6874    |paral   |2020yCat.1350....0G
2204|HD 79379                                                              |Star                              |09 13 26.3088290616 -11 13 44.107258008|241.4022085945811 +24.7168054182469|-22.633 -26.434   |7.89     |K1/2(III)      |    ~     ~    |    1|  250.426   pc  |  -1.6431     +1.6431    |paral   |2020yCat.1350....0G
2205|HD 79146                                                              |Star                              |09 11 49.0075451544 -12 10 57.087563160|241.9726018605493 +23.8242853933878|  2.864 -11.791   |8.30     |F7V            |    ~     ~    |    1|  123.496   pc  |  -0.4591     +0.4591    |paral   |2020yCat.1350....0G
2206|HD 79162                                                              |Star                              |09 12 02.0746994352 -11 49 52.409605656|241.7016418957495 +24.0790959508184|  -12.376 1.125   |7.84     |K5/M0III       |    ~     ~    |    1|  631.832   pc  |  -7.9044     +7.9044    |paral   |2020yCat.1350....0G
2207|HD 79238                                                              |Star                              |09 12 31.9614560952 -11 40 29.207067060|241.6456661111337 +24.2707496067155| -12.532 -0.145   |9.38     |A1/3(II)       |    ~     ~    |    1|  303.426   pc  |  -1.9610     +1.9610    |paral   |2020yCat.1350....0G
2208|BD-11 2580                                                            |Long-Period Variable Candidate    |09 13 12.0923610456 -12 33 13.014271440|242.5194665467467 +23.8675647857816|  2.559 -10.874   |9.36     |M0             |    ~     ~    |    1|  946.074   pc  | -26.0461    +26.0461    |paral   |2020yCat.1350....0G
2209|HD 79430                                                              |Star                              |09 13 38.3777182872 -12 22 41.731426596|242.4386086734043 +24.0592065917625| -20.139 -8.587   |8.59     |K0/1III        |    ~     ~    |    1|  386.157   pc  |  -9.8360     +9.8360    |ST-L    |2020AJ....160...83S
2210|TYC 5462-791-1                                                        |Star                              |09 12 16.4471966232 -10 46 02.201357136|240.8068637044250 +24.7658901346785|  -13.624 1.510   |10.98    |~              |    ~     ~    |    1|  518.457   pc  |  -7.7951     +7.7951    |paral   |2020yCat.1350....0G
2211|BD-11 2573                                                            |High Proper Motion Star           |09 11 28.4629125480 -12 26 43.721489004|242.1458190478429 +23.5984823256406| -64.855 13.843   |10.42    |~              |    ~     ~    |    1|  149.138   pc  |  -0.4471     +0.4471    |paral   |2020yCat.1350....0G
2212|BD-10 2770                                                            |Star                              |09 12 37.0611306768 -11 23 26.279177316|241.4106844820994 +24.4587759500136|  3.509 -14.435   |10.525   |~              |    ~     ~    |    1|  900.323   pc  | -35.8800    +35.8800    |ST-L    |2020AJ....160...83S
2213|HD 79639                                                              |Star                              |09 14 55.1453364480 -12 07 33.471168024|242.4282889265838 +24.4607907302644|  -17.260 4.233   |9.97     |A5/7III        |    ~     ~    |    1|  397.393   pc  |  -3.0005     +3.0005    |paral   |2020yCat.1350....0G
2214|HD 79503                                                              |Star                              |09 14 09.5072533608 -12 28 41.605155372|242.6099969148662 +24.0986163384521|  -14.538 2.349   |10.10    |A0III/IV       |    ~     ~    |    1|  671.592   pc  | -19.9358    +19.9358    |paral   |2020yCat.1350....0G
2215|BD-10 2783                                                            |Star                              |09 13 56.5222564224 -11 00 10.029281112|241.2855024314620 +24.9517039476017| -21.679 14.124   |9.86     |~              |    ~     ~    |    1|  639.632   pc  |  -6.9143     +6.9143    |paral   |2020yCat.1350....0G
2216|BD-12 2833                                                            |High Proper Motion Star           |09 14 07.0001954040 -12 44 25.429457328|242.8303444168637 +23.9303091246172|-122.678 19.130   |9.97     |~              |    ~     ~    |    1|  103.229   pc  |  -0.1769     +0.1769    |paral   |2020yCat.1350....0G
2217|BD-10 2784                                                            |Star                              |09 14 08.8831442376 -11 23 59.508283092|241.6678942134720 +24.7521358743121| -27.454 16.861   |10.15    |~              |    ~     ~    |    1|  281.460   pc  |  -1.3784     +1.3784    |paral   |2020yCat.1350....0G
2218|TYC 5466-305-1                                                        |Star                              |09 14 20.7499356408 -12 13 00.383848608|242.4134993808380 +24.2943852891918|   -9.066 3.230   |10.41    |~              |    ~     ~    |    1| 1603.592   pc  | -52.7159    +52.7159    |paral   |2020yCat.1350....0G
2219|BD-11 2586                                                            |Star                              |09 14 42.8561210352 -12 19 18.106072608|242.5649622574531 +24.3016713284637|  -2.548 -4.691   |9.81     |~              |    ~     ~    |    1|  790.764   pc  | -11.1930    +11.1930    |paral   |2020yCat.1350....0G
2220|TYC 5466-1900-1                                                       |Star                              |09 14 45.6084074352 -12 13 32.186815896|242.4889497255775 +24.3692126930791|  0.596 -19.176   |10.593   |~              |    ~     ~    |    1|  901.065   pc  | -49.7200    +49.7200    |ST-L    |2020AJ....160...83S
2221|V* V431 Hya                                                           |Long-Period Variable              |09 11 39.3638445912 -12 09 35.304410952|241.9268525016792 +23.8067589810657|  -10.569 2.876   |10.05    |M4             |    ~     ~    |    1| 1451.589   pc  | -70.1668    +70.1668    |paral   |2020yCat.1350....0G
2222|TYC 5453-206-1                                                        |Star                              |09 11 20.1924537936 -11 49 54.156488268|241.5892538033014 +23.9425901172763| 18.861 -22.620   |10.81    |~              |    ~     ~    |    1|  353.045   pc  |  -2.2809     +2.2809    |paral   |2020yCat.1350....0G
2223|TYC 5462-175-1                                                        |High Proper Motion Star           |09 13 03.8641966080 -10 39 06.120316764|240.8330991181886 +24.9905634006485| -57.725 -3.052   |10.33    |~              |    ~     ~    |    1|  152.003   pc  |  -1.6358     +1.6358    |paral   |2020yCat.1350....0G
2224|TYC 5462-604-1                                                        |Star                              |09 13 21.8058796800 -11 13 50.836351044|241.3916324530407 +24.7009985742378|-19.120 -11.326   |10.60    |~              |    ~     ~    |    1|  231.793   pc  |  -0.7576     +0.7576    |paral   |2020yCat.1350....0G
2225|TYC 5462-667-1                                                        |Star                              |09 13 24.5295726384 -10 52 11.625484656|241.0815838258569 +24.9272025650680|  8.319 -34.585   |10.08    |~              |    ~     ~    |    1|  287.497   pc  |  -1.2233     +1.2233    |paral   |2020yCat.1350....0G
2226|TYC 5462-725-1                                                        |Star                              |09 13 54.4594070568 -10 47 52.750879872|241.0994839854125 +25.0683065514559|  -18.754 6.238   |10.99    |~              |    ~     ~    |    1|  435.825   pc  |  -3.7419     +3.7419    |paral   |2020yCat.1350....0G
2227|TYC 5462-783-1                                                        |Star                              |09 12 55.094208 -10 44 32.08128        |240.889264506 +24.907531148        |      -9.3 -1.4   |10.989   |~              |    ~     ~    |    1|  525.281   pc  | +83.238      +5         |ST-L    |2017AJ....153...75K
2228|TYC 5462-795-1                                                        |Star                              |09 12 53.4775642632 -10 56 46.312653408|241.0646373375951 +24.7798046474491| -10.878 -7.670   |10.50    |~              |    ~     ~    |    1|  375.206   pc  |  -2.6326     +2.6326    |paral   |2020yCat.1350....0G
2229|TYC 5462-807-1                                                        |Star                              |09 14 42.4609422336 -11 03 57.831739344|241.4663021246729 +25.0632985593789|  9.644 -18.350   |10.698   |~              |    ~     ~    |    1|  954.200   pc  | -47.9700    +47.9700    |ST-L    |2020AJ....160...83S
2230|TYC 5466-27-1                                                         |Star                              |09 12 52.9194428952 -11 17 24.558714420|241.3654625157221 +24.5710262341642|   -0.723 7.846   |10.43    |~              |    ~     ~    |    1|  323.091   pc  |  -2.0042     +2.0042    |paral   |2020yCat.1350....0G
2231|TYC 5466-134-1                                                        |Star                              |09 14 44.4204159240 -11 41 03.910708824|242.0138489295564 +24.6949436577454|    -15.50 1.20   |10.7     |~              |    ~     ~    |    0|                |                         |        |                   
2232|TYC 5466-168-1                                                        |Star                              |09 13 22.0939581408 -12 14 19.849397964|242.2732644309854 +24.0914664908415|   3.649 -5.946   |10.705   |~              |    ~     ~    |    1|  387.810   pc  |  -9.5310     +9.5310    |ST-L    |2020AJ....160...83S
2233|TYC 5466-191-1                                                        |Star                              |09 11 53.3995003272 -12 16 48.942639912|242.0694480554681 +23.7793309919888|  -21.135 3.437   |10.97    |~              |    ~     ~    |    1|  438.712   pc  |  -3.7916     +3.7916    |paral   |2020yCat.1350....0G
2234|TYC 5466-218-1                                                        |Star                              |09 12 32.2653732192 -11 44 22.248451932|241.7030678723438 +24.2326322913343| 23.916 -13.842   |10.48    |~              |    ~     ~    |    1|  285.869   pc  |  -3.5222     +3.5222    |paral   |2020yCat.1350....0G
2235|TYC 5466-274-1                                                        |Star                              |09 14 16.7708326056 -11 50 24.876163896|242.0745923344604 +24.5106834780112| -13.145 -9.926   |10.842   |~              |    ~     ~    |    1|  596.343   pc  | -38.3500    +38.3500    |ST-L    |2020AJ....160...83S
2236|TYC 5466-307-1                                                        |Star                              |09 13 26.8632560040 -11 53 27.684898440|241.9832340388363 +24.3181413584703|  -3.453 -7.189   |10.33    |~              |    ~     ~    |    1|  364.551   pc  | -23.4431    +23.4431    |paral   |2020yCat.1350....0G
2237|TYC 5466-399-1                                                        |Star                              |09 14 51.4097340120 -12 28 37.633472976|242.7232337545939 +24.2342174088478|    6.431 6.091   |10.788   |~              |    ~     ~    |    1|  983.187   pc  | -40.3200    +40.3200    |ST-L    |2020AJ....160...83S
2238|TYC 5466-440-1                                                        |High Proper Motion Star           |09 13 16.8557518440 -12 40 18.952792680|242.6349044177000 +23.8107773369948| 103.248 21.579   |10.42    |~              |    ~     ~    |    1|   61.049   pc  |  -0.2680     +0.2680    |ST-L    |2020AJ....160...83S
2239|TYC 5466-451-1                                                        |Star                              |09 14 07.5732227352 -12 24 15.221787732|242.5405160327235 +24.1375484228920|  -0.579 -7.115   |10.63    |~              |    ~     ~    |    1|  984.349   pc  | -16.9565    +16.9565    |paral   |2020yCat.1350....0G
2240|TYC 5466-455-1                                                        |Spectroscopic Binary              |09 14 24.8330363688 -12 47 14.152203492|242.9194327922453 +23.9589212844893| -47.528 18.329   |10.69    |~              |    ~     ~    |    1|  303.205   pc  |  -1.4250     +1.4250    |paral   |2020yCat.1350....0G
2241|TYC 5466-538-1                                                        |Star                              |09 12 32.5835855616 -12 27 49.719402648|242.3346414540592 +23.7946977672149|  -22.636 4.172   |10.29    |~              |    ~     ~    |    1|  198.405   pc  |  -0.6731     +0.6731    |paral   |2020yCat.1350....0G
2242|BD-12 2822                                                            |Star                              |09 11 33.3723823992 -12 45 20.937239964|242.4280384792373 +23.4260385438410| -16.180 -0.264   |10.35    |~              |    ~     ~    |    1|  756.888   pc  |  -9.0515     +9.0515    |paral   |2020yCat.1350....0G
2243|HD 79163                                                              |Star                              |09 12 06.0181938192 -13 24 29.562102648|243.0789602247788 +23.1333633935410|   -9.098 4.538   |9.34     |K1(III)        |    ~     ~    |    1|  419.551   pc  |  -3.1156     +3.1156    |paral   |2020yCat.1350....0G
2244|HD 79180                                                              |Star                              |09 12 11.1132508560 -13 22 09.744226500|243.0592768943301 +23.1734557882337|   4.489 -3.517   |9.14     |K0III/IV       |    ~     ~    |    1|  475.489   pc  |  -3.5722     +3.5722    |paral   |2020yCat.1350....0G
2245|HD 79164                                                              |Star                              |09 12 03.5532646800 -14 04 37.707898944|243.6460929339427 +22.7153578231094| -13.836 13.464   |9.15     |K5/M0          |    ~     ~    |    1|  670.781   pc  |  -9.2689     +9.2689    |paral   |2020yCat.1350....0G
2246|HD 79195                                                              |Star                              |09 12 19.9412310888 -13 51 28.583477316|243.5026229592163 +22.9023064526769|  -19.777 2.487   |8.92     |F3/5III        |    ~     ~    |    1|  370.741   pc  |  -2.3916     +2.3916    |paral   |2020yCat.1350....0G
2247|HD 79221                                                              |Star                              |09 12 26.8795893768 -14 15 42.903192780|243.8668233526898 +22.6759363791499|    0.872 1.864   |10.57    |A0             |    ~     ~    |    1|  516.716   pc  | -20.0246    +20.0246    |paral   |2020yCat.1350....0G
2248|HD 79287                                                              |Star                              |09 12 55.5050432688 -14 13 45.172781724|243.9161690227807 +22.7871236178049|  -3.545 -0.602   |9.99     |A5/7II         |    ~     ~    |    1|  274.755   pc  |  -1.4192     +1.4192    |paral   |2020yCat.1350....0G
2249|HD 79397                                                              |Star                              |09 13 31.0817161176 -14 17 47.381473716|244.0698276449614 +22.8585951019411|  -6.339 -0.045   |8.62     |K2III          |    ~     ~    |    1|  298.051   pc  |  -5.6480     +5.6480    |ST-L    |2020AJ....160...83S
2250|HD 79380                                                              |Star                              |09 13 23.5912941144 -14 41 48.286694112|244.3903987296998 +22.5871504846557| -18.917 -4.864   |9.20     |F0V            |    ~     ~    |    1|  249.881   pc  |  -1.1676     +1.1676    |paral   |2020yCat.1350....0G
2251|NGC 2781                           NGC 2781                           |Galaxy towards a Group of Galaxies|09 11 27.5157906744 -14 49 00.191638668|244.1796701443216 +22.1453856241218|            ~ ~   |     ~   |~              |1.453 0.756    |    1|   29.58    Mpc |                         |redshift|2007ApJ...655..790C
2252|LP 727-67                                                             |Spectroscopic Binary              |09 11 25.9467713184 -14 09 55.678493952|243.6204732994970 +22.5411925008886|-32.936 -167.318  |10.97    |~              |    ~     ~    |    1|  177.768   pc  |  -1.3525     +1.3525    |paral   |2020yCat.1350....0G
2253|BD-13 2780                                                            |Star                              |09 11 48.0120366864 -14 25 51.013579404|243.9062793355357 +22.4482894182171|  -12.333 9.228   |10.21    |~              |    ~     ~    |    1|  687.380   pc  |  -7.7489     +7.7489    |paral   |2020yCat.1350....0G
2254|BD-14 2774                                                            |Star                              |09 12 04.6203965976 -14 40 15.425543820|244.1554251376483 +22.3529878493939| -27.756 22.470   |10.65    |~              |    ~     ~    |    1|  387.087   pc  |  -3.3413     +3.3413    |paral   |2020yCat.1350....0G
2255|BD-12 2828                                                            |Star                              |09 12 40.3879466592 -12 56 35.792787336|242.7708989653135 +23.5278144929291|  -14.355 3.180   |10.48    |~              |    ~     ~    |    1|  534.302   pc  | -14.5309    +14.5309    |paral   |2020yCat.1350....0G
2256|BD-12 2831                                                            |Pulsating Variable                |09 13 34.7318113440 -13 13 12.272928240|243.1568826010392 +23.5329422301521|  -15.309 5.274   |10.06    |~              |    ~     ~    |    1|  548.667   pc  |  -5.5390     +5.5390    |paral   |2020yCat.1350....0G
2257|BD-12 2823                                                            |Star                              |09 11 39.7056089952 -12 58 11.129844360|242.6300858908414 +23.3163390215459|-22.235 -22.292   |10.05    |~              |    ~     ~    |    1|  172.132   pc  |  -4.4829     +4.4829    |paral   |2020yCat.1350....0G
2258|HD 79454                                                              |Star                              |09 13 51.9491038752 -13 15 39.387839580|243.2388198833929 +23.5630141297747|  -30.961 7.634   |9.17     |A9V            |    ~     ~    |    1|  202.630   pc  |  -0.7308     +0.7308    |paral   |2020yCat.1350....0G
2259|HD 79442                                                              |Star                              |09 13 47.7996786744 -14 50 38.779725300|244.5810999332072 +22.5722339740873|  -1.417 -6.050   |9.58     |G6/8(III)      |    ~     ~    |    1|  532.368   pc  |  -4.0812     +4.0812    |paral   |2020yCat.1350....0G
2260|HD 79481                                                              |Star                              |09 14 03.0905478360 -14 41 41.431686216|244.4957725263198 +22.7132066233033| -6.062 -16.402   |6.46     |G6/8III/IV     |    ~     ~    |    1|  165.057   pc  |  -0.5531     +0.5531    |paral   |2020yCat.1350....0G
2261|HD 79580                                                              |Star                              |09 14 40.4471707296 -14 56 47.719566564|244.8108904458120 +22.6744776280376|    6.558 3.677   |7.70     |K4/5III        |    ~     ~    |    1|  480.492   pc  |  -4.5482     +4.5482    |paral   |2020yCat.1350....0G
2262|HD 79612                                                              |Spectroscopic Binary              |09 14 52.7942780856 -14 51 39.085579476|244.7717659216204 +22.7667770530787| -24.928 25.242   |9.26     |G8IV           |    ~     ~    |    1|  588.062   pc  | -13.8673    +13.8673    |paral   |2020yCat.1350....0G
2263|BD-13 2789                                                            |High Proper Motion Star           |09 13 37.4953400832 -14 31 27.038864316|244.2812315594960 +22.7380628306080| -88.850 -2.816   |10.36    |~              |    ~     ~    |    1|  139.088   pc  |  -0.2941     +0.2941    |paral   |2020yCat.1350....0G
2264|BD-12 2836                                                            |Star                              |09 14 49.5691680816 -12 55 59.716622928|243.1130448826396 +23.9487686369767|  -18.130 3.012   |9.82     |~              |    ~     ~    |    1|  183.328   pc  |  -2.1140     +2.1140    |paral   |2020yCat.1350....0G
2265|BD-14 2784                                                            |Star                              |09 13 42.6375704376 -14 37 29.416085832|244.3808136665417 +22.6919697067539|   -6.550 4.321   |9.68     |~              |    ~     ~    |    1| 1582.278   pc  | -48.0692    +48.0692    |paral   |2020yCat.1350....0G
2266|TYC 5457-216-1                                                        |Star                              |09 11 16.1479340520 -13 18 29.097406512|242.8585638999923 +23.0344112908582| 26.316 -12.279   |10.56    |~              |    ~     ~    |    1| 1050.751   pc  | -68.3424    +68.3424    |paral   |2020yCat.1350....0G
2267|TYC 5466-360-1                                                        |Star                              |09 12 17.0818677840 -13 04 52.424900544|242.8270637180300 +23.3686662961794|   -8.851 1.187   |10.83    |~              |    ~     ~    |    1| 1015.435   pc  | -15.8791    +15.8791    |paral   |2020yCat.1350....0G
2268|TYC 5466-370-1                                                        |Star                              |09 14 32.0414667456 -13 03 45.325553472|243.1769072360444 +23.8131897014241|  -8.903 -2.955   |10.763   |~              |    ~     ~    |    1|  940.391   pc  | -35.5200    +35.5200    |ST-L    |2020AJ....160...83S
2269|TYC 5466-623-1                                                        |Star                              |09 11 56.1202402344 -12 49 10.302888288|242.5444319215254 +23.4606764597361| -2.487 -13.161   |10.64    |~              |    ~     ~    |    1| 1127.904   pc  | -20.9908    +20.9908    |paral   |2020yCat.1350....0G
