C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:15:01

dec< 0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5671

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-------------------------|--------|-------------------
686 |HD 118919                                                                                                                                   |Star                               |13 40 21.3894418104 -23 02 02.410520748|317.3484768281323 +38.4644488874236| -25.181 -3.859   |9.82     |F5/8V+A8/F0       |    ~     ~    |    1|  501.655   pc  |  -8.9339     +8.9339    |paral   |2020yCat.1350....0G
687 |IRAS 13302-2200                                                                                                                             |Long-Period Variable               |13 33 01.1759922168 -22 15 25.362475020|315.4495622547100 +39.6018657484409| -10.434 -1.478   |10.01    |~                 |    ~     ~    |    1| 2523.341   pc  |-191.0175   +191.0175    |paral   |2020yCat.1350....0G
688 |BD-22 3624                                                                                                                                  |Star                               |13 35 12.1152944976 -23 17 03.767587296|315.8019744533935 +38.4912030015907|   -6.251 8.941   |10.877   |~                 |    ~     ~    |    1|  419.966   pc  | -11.8300    +11.8300    |ST-L    |2020AJ....160...83S
689 |BD-20 3849                                                                                                                                  |Star                               |13 35 19.2706126632 -21 30 17.379191736|316.3403524666320 +40.2216119955076|  18.589 -4.351   |10.187   |~                 |    ~     ~    |    1|  396.168   pc  |  -9.2530     +9.2530    |ST-L    |2020AJ....160...83S
690 |BD-20 3855                                                                                                                                  |Star                               |13 37 37.8991695360 -21 34 23.606876928|317.0043210098767 +40.0328981190670|   19.686 0.548   |10.360   |~                 |    ~     ~    |    1|  165.421   pc  |  -3.0780     +3.0780    |ST-L    |2020AJ....160...83S
691 |BD-21 3745                                                                                                                                  |Star                               |13 38 21.0105139272 -22 10 47.426497212|317.0309721586328 +39.4041292220213| -7.400 -13.834   |10.451   |~                 |    ~     ~    |    1|  325.294   pc  |  -7.3130     +7.3130    |ST-L    |2020AJ....160...83S
692 |BD-20 3865                                                                                                                                  |Double or Multiple Star            |13 41 02.043600 -21 42 21.69216        |317.962656616 +39.713784379        |     -20.2 16.8   |10.417   |~                 |    ~     ~    |    0|                |                         |        |                   
693 |BD-21 3734                                                                                                                                  |Star                               |13 33 36.6379708680 -22 17 54.225486744|315.6117306430226 +39.5327513642459|   7.963 -9.624   |10.581   |~                 |    ~     ~    |    1|  509.640   pc  | -19.9500    +19.9500    |ST-L    |2020AJ....160...83S
694 |BD-22 3622                                                                                                                                  |Star                               |13 33 42.9819555072 -22 56 17.021514732|315.4687568017139 +38.9022769705714|  -4.147 13.876   |10.61    |~                 |    ~     ~    |    1|  367.938   pc  |  -8.6420     +8.6420    |ST-L    |2020AJ....160...83S
695 |BD-22 3625                                                                                                                                  |Star                               |13 35 18.0986716728 -23 07 14.935694340|315.8758354504508 +38.6459396266571|-22.329 -14.084   |10.91    |~                 |    ~     ~    |    1|  730.724   pc  | -43.2100    +43.2100    |ST-L    |2020AJ....160...83S
696 |BD-22 3626                                                                                                                                  |Double or Multiple Star            |13 35 39.186864 -23 04 54.58728        |315.987717159 +38.666399461        |     -9.7 -26.2   |10.771   |~                 |    ~     ~    |    0|                |                         |        |                   
697 |BD-22 3628                                                                                                                                  |Star                               |13 36 24.8364456528 -23 00 04.030259796|316.2292295591495 +38.7065358619863|  -7.500 -3.293   |10.34    |~                 |    ~     ~    |    1| 1361.285   pc  | -40.7681    +40.7681    |paral   |2020yCat.1350....0G
698 |BD-20 3850                                                                                                                                  |Star                               |13 36 37.3217852568 -21 26 03.763155516|316.7473178894690 +40.2221364105273| -18.822 -1.410   |10.38    |~                 |    ~     ~    |    1|  813.405   pc  | -11.1153    +11.1153    |paral   |2020yCat.1350....0G
699 |BD-20 3853                                                                                                                                  |High Proper Motion Star            |13 37 10.5660473952 -21 26 37.836750876|316.9087738320342 +40.1833174094596|-42.612 -58.734   |10.580   |~                 |    ~     ~    |    1|  254.872   pc  |  -4.3320     +4.3320    |ST-L    |2020AJ....160...83S
700 |TYC 6133-24-1                                                                                                                               |Star                               |13 33 10.9535513088 -21 24 15.820761204|315.7317434815632 +40.4275406822447|  -17.826 0.694   |10.75    |~                 |    ~     ~    |    1|  435.939   pc  |  -4.8461     +4.8461    |paral   |2020yCat.1350....0G
701 |TYC 6133-688-1                                                                                                                              |Star                               |13 32 40.7965855944 -21 55 31.298807748|315.4392371818033 +39.9426620257556| -6.920 -16.318   |10.98    |~                 |    ~     ~    |    1|  869.490   pc  | -15.1202    +15.1202    |paral   |2020yCat.1350....0G
702 |TYC 6134-275-1                                                                                                                              |Star                               |13 40 52.9995718440 -20 48 39.216463272|318.2105389326028 +40.5893410279903|-10.947 -10.030   |10.652   |~                 |    ~     ~    |    1|  286.931   pc  |  -5.3080     +5.3080    |ST-L    |2020AJ....160...83S
703 |TYC 6134-582-1                                                                                                                              |Star                               |13 41 03.4795307496 -21 32 31.611765732|318.0227353089804 +39.8711592486043| -25.918 11.230   |10.920   |~                 |    ~     ~    |    1|  305.170   pc  |  -7.7680     +7.7680    |ST-L    |2020AJ....160...83S
704 |TYC 6134-693-1                                                                                                                              |Star                               |13 41 04.7012976744 -21 17 36.865078872|318.1096953064711 +40.1106508193433|-17.186 -11.769   |10.977   |~                 |    ~     ~    |    1| 1012.060   pc  | -45.6800    +45.6800    |ST-L    |2020AJ....160...83S
705 |TYC 6714-4-1                                                                                                                                |Star                               |13 37 58.8405932688 -23 03 57.373801272|316.6599894559404 +38.5619412554256| -22.154 -6.745   |10.288   |~                 |    ~     ~    |    1|  877.266   pc  | -56.7900    +56.7900    |ST-L    |2020AJ....160...83S
706 |TYC 6714-151-1                                                                                                                              |High Proper Motion Star            |13 33 25.3661643216 -23 11 09.328598448|315.3176535281024 +38.6739685804677|-81.050 -21.615   |10.86    |~                 |    ~     ~    |    1|  171.058   pc  |  -1.5140     +1.5140    |ST-L    |2020AJ....160...83S
707 |TYC 6714-308-1                                                                                                                              |Star                               |13 33 25.5127345608 -23 18 17.510161932|315.2867689002682 +38.5575016741951| -23.022 -7.027   |10.963   |~                 |    ~     ~    |    1|  615.135   pc  | -21.0700    +21.0700    |ST-L    |2020AJ....160...83S
708 |TYC 6715-740-1                                                                                                                              |Star                               |13 40 46.1264250504 -23 00 19.948645368|317.4748295179095 +38.4691297026907|  -0.900 -3.315   |10.921   |~                 |    ~     ~    |    1|  625.086   pc  | -40.8300    +40.8300    |ST-L    |2020AJ....160...83S
709 |HD 117678                                                                                                                                   |Star                               |13 32 13.6913237088 -23 50 44.907252036|314.8040107863584 +38.0837935038131| -17.621 -7.266   |9.51     |K1III             |    ~     ~    |    1|  478.813   pc  |  -5.7086     +5.7086    |paral   |2020yCat.1350....0G
710 |V* SS Hya                                                                                                                                   |Eclipsing Binary                   |13 30 29.5038642072 -23 38 58.159188600|314.3571426525329 +38.3543029537004| -11.620 -5.357   |7.86     |A0V               |    ~     ~    |    1|  262.103   pc  |  -2.6449     +2.6449    |paral   |2020yCat.1350....0G
711 |BD-22 3614                                                                                                                                  |Star                               |13 31 54.8678457048 -23 35 36.699048132|314.7786093826682 +38.3453330812955|  -7.553 -1.353   |10.874   |~                 |    ~     ~    |    1| 2379.260   pc  |-404.5000   +404.5000    |ST-L    |2020AJ....160...83S
712 |HD 117547                                                                                                                                   |Star                               |13 31 24.6761978832 -23 58 34.885163028|314.5388231241651 +37.9928122155225|-40.233 -16.650   |10.273   |F5/6V             |    ~     ~    |    1|  493.283   pc  | -15.1600    +15.1600    |ST-L    |2020AJ....160...83S
713 |HD 117393                                                                                                                                   |Star                               |13 30 20.5732857096 -24 26 04.481854152|314.1245064039348 +37.5901757862804|   19.763 7.956   |8.93     |K1III             |    ~     ~    |    1|  364.556   pc  |  -8.5840     +8.5840    |ST-L    |2020AJ....160...83S
714 |HD 117480                                                                                                                                   |Star                               |13 30 59.7193619352 -25 09 53.712557100|314.1324434082634 +36.8450029653838|   -6.141 4.293   |9.97     |F5V               |    ~     ~    |    1|  255.317   pc  |  -1.1864     +1.1864    |paral   |2020yCat.1350....0G
715 |HD 117751                                                                                                                                   |Star                               |13 32 40.3292408112 -24 48 25.890494364|314.6864450891789 +37.1216017882596| -20.385 -8.249   |9.30     |K2III             |    ~     ~    |    1|  374.083   pc  |  -2.2810     +2.2810    |paral   |2020yCat.1350....0G
716 |HD 117467                                                                                                                                   |Star                               |13 30 55.5270301680 -25 57 28.832722632|313.9259688207514 +36.0693348716817|  -16.899 0.831   |10.11    |F0V               |    ~     ~    |    1|  463.499   pc  |  -5.7360     +5.7360    |paral   |2020yCat.1350....0G
717 |HD 117505                                                                                                                                   |Star                               |13 31 07.4362295112 -25 39 25.073926092|314.0510724575294 +36.3564497453641| 17.908 -25.178   |7.42     |A4IV              |    ~     ~    |    1|  102.965   pc  |  -1.4164     +1.4164    |paral   |2020yCat.1350....0G
718 |HD 117594                                                                                                                                   |Double or Multiple Star            |13 31 48.6356416344 -26 11 25.071941040|314.1122950939852 +35.8034290306272|  1.266 -14.797   |9.831    |F0V               |    ~     ~    |    1|  273.493   pc  |  -1.9223     +1.9223    |paral   |2020yCat.1350....0G
719 |HD 117612                                                                                                                                   |High Proper Motion Star            |13 31 51.5447804688 -26 06 52.193370636|314.1434664695221 +35.8757161216485| -99.315 16.098   |7.52     |F5V               |    ~     ~    |    1|   77.342   pc  |  -0.2225     +0.2225    |paral   |2020yCat.1350....0G
720 |HD 117662                                                                                                                                   |High Proper Motion Star            |13 32 08.9255272776 -26 00 15.602875380|314.2486110300296 +35.9712080918204|-115.148 90.695   |8.42     |K0V               |    ~     ~    |    1|  101.860   pc  |  -0.2947     +0.2947    |paral   |2020yCat.1350....0G
721 |CD-24 10957                                                                                                                                 |Star                               |13 32 08.550 -24 49 34.49              |314.533965 +37.126779              |       -9.5 9.6   |10.540   |~                 |    ~     ~    |    1|  239.104   pc  | +42.257      +5         |ST-L    |2017AJ....153...75K
722 |CD-24 10942                                                                                                                                 |Star                               |13 30 32.9960310960 -24 59 06.954870552|314.0513089971233 +37.0405593093308|  -1.261 -8.759   |10.94    |~                 |    ~     ~    |    1|  990.001   pc  | -15.2896    +15.2896    |paral   |2020yCat.1350....0G
723 |CD-24 10949                                                                                                                                 |Star                               |13 31 01.9487472720 -24 41 11.975141112|314.2577142842666 +37.3127804118438|   2.596 -1.854   |10.542   |~                 |    ~     ~    |    1|  348.258   pc  |  -7.1290     +7.1290    |ST-L    |2020AJ....160...83S
724 |CD-23 11107                                                                                                                                 |Star                               |13 31 06.5739439776 -24 23 16.093388436|314.3520174873467 +37.6026399888221|  -14.437 6.666   |10.693   |~                 |    ~     ~    |    1|  535.694   pc  | -17.5100    +17.5100    |ST-L    |2020AJ....160...83S
725 |CD-25 9850                                                                                                                                  |Star                               |13 31 16.2864249336 -26 10 01.059091212|313.9713548291707 +35.8494511869523|   4.218 -9.162   |10.627   |~                 |    ~     ~    |    1|  175.190   pc  |  -2.9810     +2.9810    |ST-L    |2020AJ....160...83S
726 |CD-24 10955                                                                                                                                 |High Proper Motion Star            |13 32 00.3347840568 -25 25 59.928343896|314.3472416383037 +36.5375814896394|-55.240 -10.244   |10.85    |~                 |    ~     ~    |    1|  111.341   pc  |  -0.1971     +0.1971    |paral   |2020yCat.1350....0G
727 |CD-25 9856                                                                                                                                  |Star                               |13 32 02.8479536952 -26 06 31.135360608|314.1960681502355 +35.8732868517953| 12.298 -27.721   |10.463   |~                 |    ~     ~    |    1|  303.882   pc  |  -6.2380     +6.2380    |ST-L    |2020AJ....160...83S
728 |HD 118282                                                                                                                                   |High Proper Motion Star            |13 36 10.9462481520 -23 39 15.104869632|315.9790604016628 +38.0813241468761|-195.055 -140.394 |9.76     |K0V               |    ~     ~    |    1|   61.717   pc  |  -0.1002     +0.1002    |paral   |2020yCat.1350....0G
729 |BD-22 3633                                                                                                                                  |Double or Multiple Star            |13 37 43.024608 -23 36 31.83732        |316.427098752 +38.047150257        |   -123.6 -13.8   |10.151   |G5                |    ~     ~    |    0|                |                         |        |                   
730 |HD 117836                                                                                                                                   |Star                               |13 33 14.7118661808 -23 41 07.518809796|315.1350698425616 +38.1936547457391|  -17.410 9.667   |10.057   |G8IV              |    ~     ~    |    1|  741.116   pc  | -33.8000    +33.8000    |ST-L    |2020AJ....160...83S
731 |TYC 6714-53-1                                                                                                                               |Star                               |13 40 04.2370487448 -23 20 27.638223396|317.1734077633046 +38.1821267834731|  -6.499 -6.098   |10.95    |~                 |    ~     ~    |    1| 2874.389   pc  |-247.8634   +247.8634    |paral   |2020yCat.1350....0G
732 |CD-23 11122                                                                                                                                 |Star                               |13 32 57.6994669056 -24 00 31.551086340|314.9705992378162 +37.8903799444714| -17.100 -9.772   |10.36    |~                 |    ~     ~    |    1|  715.820   pc  | -11.0166    +11.0166    |paral   |2020yCat.1350....0G
733 |HD 117802                                                                                                                                   |Star                               |13 33 08.5836763008 -24 11 09.422269224|314.9762872345252 +37.7084769949042|  -27.335 7.629   |10.55    |A3II/III          |    ~     ~    |    1|  483.362   pc  | -27.6800    +27.6800    |ST-L    |2020AJ....160...83S
734 |HD 118413                                                                                                                                   |Star                               |13 37 12.7053380520 -23 52 55.527063816|316.2062935141158 +37.8069408567951| -31.976 -0.053   |9.92     |F7/8              |    ~     ~    |    1|  311.594   pc  |  -2.5729     +2.5729    |paral   |2020yCat.1350....0G
735 |CD-23 11161                                                                                                                                 |Star                               |13 37 14.2236988224 -23 54 59.778471132|316.2036664373444 +37.7720069092384|  -6.946 -5.794   |10.11    |~                 |    ~     ~    |    1|  300.436   pc  |  -2.1753     +2.1753    |paral   |2020yCat.1350....0G
736 |HD 118528                                                                                                                                   |Eclipsing Binary                   |13 37 50.3938649400 -24 07 41.567201940|316.3130644475564 +37.5348882857737|-113.318 46.437   |9.299    |G5V               |    ~     ~    |    1|  107.927   pc  |  -3.1555     +3.1555    |paral   |2020yCat.1350....0G
737 |HD 118598                                                                                                                                   |High Proper Motion Star            |13 38 13.6440116424 -23 41 20.420584368|316.5483328176765 +37.9424803656605|-179.564 97.864   |8.22     |G3/5V             |    ~     ~    |    1|   46.645   pc  |  -0.5896     +0.5896    |paral   |2020yCat.1350....0G
738 |CD-23 11182                                                                                                                                 |Star                               |13 39 14.8604289384 -23 57 35.623364616|316.7565069459062 +37.6250580924538|  12.944 -7.064   |10.72    |~                 |    ~     ~    |    1|  425.604   pc  | -12.7600    +12.7600    |ST-L    |2020AJ....160...83S
739 |HD 117837                                                                                                                                   |Star                               |13 33 18.5519379720 -24 17 54.900313764|314.9941205645512 +37.5904894894071| 19.557 -27.680   |8.87     |K1/2V             |    ~     ~    |    1| 1186.240   pc  | -41.5114    +41.5114    |paral   |2020yCat.1350....0G
740 |CD-23 11128                                                                                                                                 |Star                               |13 33 24.2246389392 -24 37 37.689957084|314.9363073771673 +37.2644496985777|  -10.934 0.737   |10.49    |~                 |    ~     ~    |    1|  453.016   pc  | -13.5100    +13.5100    |ST-L    |2020AJ....160...83S
741 |HD 117863                                                                                                                                   |Star                               |13 33 30.5757468144 -24 24 34.858464876|315.0218260499180 +37.4724069780067|  -20.036 7.274   |9.28     |K0III             |    ~     ~    |    1|  494.267   pc  |  -5.9365     +5.9365    |paral   |2020yCat.1350....0G
742 |HD 118070                                                                                                                                   |Star                               |13 34 55.2169530960 -24 26 20.266119636|315.4096623003467 +37.3769887790637|  -5.681 -8.303   |10.11    |F6V               |    ~     ~    |    1|  209.033   pc  |  -4.0690     +4.0690    |ST-L    |2020AJ....160...83S
743 |CD-23 11168                                                                                                                                 |Star                               |13 37 41.8968377568 -24 36 33.379341192|316.1376889827095 +37.0733711050003| -6.306 -17.791   |10.10    |~                 |    ~     ~    |    1|  649.192   pc  | -31.0600    +31.0600    |ST-L    |2020AJ....160...83S
744 |CD-23 11185                                                                                                                                 |Star                               |13 39 39.6016524312 -24 15 45.844191036|316.7828077732222 +37.3086256767326|  -37.356 5.444   |10.892   |~                 |    ~     ~    |    1|  535.620   pc  | -16.2800    +16.2800    |ST-L    |2020AJ....160...83S
745 |CD-23 11192                                                                                                                                 |Star                               |13 40 09.9538391040 -24 29 22.459135920|316.8565908928913 +37.0610990389850|  0.053 -15.705   |9.71     |~                 |    ~     ~    |    1| 1130.327   pc  | -39.4790    +39.4790    |paral   |2020yCat.1350....0G
746 |HD 118893                                                                                                                                   |Star                               |13 40 11.8250721384 -24 15 50.257379088|316.9320021320016 +37.2786767960428|  -5.701 30.661   |8.62     |G8/K0IV           |    ~     ~    |    1|  183.449   pc  |  -0.8514     +0.8514    |paral   |2020yCat.1350....0G
747 |HD 117766                                                                                                                                   |Star                               |13 32 49.0180194600 -25 13 59.222250372|314.6203626157606 +36.6976951102456|    3.558 2.573   |10.241   |F6V               |    ~     ~    |    1|  247.437   pc  |  -3.9700     +3.9700    |ST-L    |2020AJ....160...83S
748 |HD 117803                                                                                                                                   |Star                               |13 33 07.0539176448 -25 32 16.110702312|314.6274577612649 +36.3855833416166| -2.501 -20.728   |8.99     |F3/5V             |    ~     ~    |    1|  126.894   pc  |  -0.7310     +0.7310    |paral   |2020yCat.1350....0G
749 |HD 118102                                                                                                                                   |Star                               |13 35 05.1361611360 -25 18 15.229935432|315.2276961923726 +36.5232040803603|  7.353 -12.157   |9.03     |F7V               |    ~     ~    |    1|  250.150   pc  |  -2.9723     +2.9723    |paral   |2020yCat.1350....0G
750 |HD 118364                                                                                                                                   |Star                               |13 36 53.7878751144 -24 47 58.429034304|315.8625482953179 +36.9281447682765|      -9.9 -7.1   |10.12    |G3/5V             |    ~     ~    |    0|                |                         |        |                   
751 |CD-24 11001                                                                                                                                 |Star                               |13 37 30.3859945632 -25 10 31.462546188|315.9274790547860 +36.5310881879571| -19.168 -9.713   |10.256   |~                 |    ~     ~    |    1|  256.196   pc  |  -5.4290     +5.4290    |ST-L    |2020AJ....160...83S
752 |CD-24 11010                                                                                                                                 |Star                               |13 38 54.2669453232 -25 25 32.385185508|316.2403277586844 +36.2164137187440|-14.470 -42.683   |9.83     |~                 |    ~     ~    |    1| 1577.785   pc  | -46.5519    +46.5519    |paral   |2020yCat.1350....0G
753 |HD 118709                                                                                                                                   |Star                               |13 39 01.5604044432 -24 51 45.614605896|316.4332468694926 +36.7583174034864|-39.189 -26.708   |7.52     |K0III             |    ~     ~    |    1|  202.700   pc  |  -1.1340     +1.1340    |paral   |2020yCat.1350....0G
754 |HD 118852                                                                                                                                   |Star                               |13 39 56.5192447056 -24 41 01.392886932|316.7376583304055 +36.8843048006784| -21.237 -7.064   |10.245   |F3/5V             |    ~     ~    |    1|  204.507   pc  |  -2.6350     +2.6350    |ST-L    |2020AJ....160...83S
755 |HD 119011                                                                                                                                   |Spectroscopic Binary               |13 41 06.6971218560 -25 20 38.996018412|316.8646598919121 +36.1800404546117|-71.281 -31.691   |9.69     |G6IV/V            |    ~     ~    |    1|  127.097   pc  |  -0.3279     +0.3279    |paral   |2020yCat.1350....0G
756 |HD 117971                                                                                                                                   |Star                               |13 34 19.3141630368 -25 40 02.171951112|314.9248204161809 +36.2038056291296| -35.440 16.312   |9.811    |F6/7V             |    ~     ~    |    1|  199.527   pc  |  -2.4990     +2.4990    |ST-L    |2020AJ....160...83S
757 |HD 118414                                                                                                                                   |Star                               |13 37 16.8023924568 -25 45 48.604984848|315.7053671479760 +35.9686087936846| 17.896 -27.129   |10.05    |F8                |    ~     ~    |    1|  252.029   pc  |  -1.7595     +1.7595    |paral   |2020yCat.1350....0G
758 |HD 118599                                                                                                                                   |Star                               |13 38 20.4924059712 -25 50 32.273200716|315.9715646915193 +35.8390029695834|  -3.391 27.732   |9.25     |F6V               |    ~     ~    |    1|  165.620   pc  |  -0.5815     +0.5815    |paral   |2020yCat.1350....0G
759 |NGC 5260                           NGC 5260                                                                                                 |Seyfert 2 Galaxy                   |13 40 19.8939137400 -23 51 29.015344584|317.0908449326981 +37.6657237999681|   0.066 -0.586   |     ~   |~                 |0.963 0.771    |    0|                |                         |        |                   
760 |CD-24 10968                                                                                                                                 |High Proper Motion Star            |13 33 02.2385593368 -25 24 39.519088164|314.6369162947064 +36.5134751328318| -70.181 13.070   |10.07    |~                 |    ~     ~    |    1|  185.931   pc  |  -1.9880     +1.9880    |ST-L    |2020AJ....160...83S
761 |CD-24 10969                                                                                                                                 |Star                               |13 33 04.3219127112 -25 11 56.040341460|314.6994045556955 +36.7196857458760| 13.731 -15.156   |10.73    |~                 |    ~     ~    |    1|  490.292   pc  |  -4.7356     +4.7356    |paral   |2020yCat.1350....0G
762 |CD-25 9867                                                                                                                                  |Star                               |13 33 12.4527780216 -25 57 59.580387540|314.5460305388702 +35.9614260985889|   2.549 -1.955   |10.44    |~                 |    ~     ~    |    1|  860.215   pc  | -10.8776    +10.8776    |paral   |2020yCat.1350....0G
763 |CD-24 10974                                                                                                                                 |Spectroscopic Binary               |13 33 20.7287966520 -25 30 07.447665708|314.6989456348530 +36.4102866949930|-12.213 -38.994   |10.909   |~                 |    ~     ~    |    1|  231.898   pc  |  -4.5640     +4.5640    |ST-L    |2020AJ....160...83S
764 |CD-25 9880                                                                                                                                  |Star                               |13 34 21.2813432496 -26 00 43.971012396|314.8463845700633 +35.8646629120104|  -17.429 5.893   |10.71    |~                 |    ~     ~    |    1|  379.522   pc  | -14.6000    +14.6000    |ST-L    |2020AJ....160...83S
765 |CD-24 10988                                                                                                                                 |Star                               |13 35 25.8440241864 -24 53 57.711765192|315.4295275320843 +36.9024713234093|-28.140 -12.515   |10.904   |~                 |    ~     ~    |    1|  239.919   pc  |  -3.6070     +3.6070    |ST-L    |2020AJ....160...83S
766 |CD-25 9895                                                                                                                                  |Star                               |13 36 03.4127598912 -25 59 22.382479320|315.3136409843496 +35.8071285170970|  -18.870 8.580   |10.02    |~                 |    ~     ~    |    1| 1106.807   pc  | -27.4405    +27.4405    |paral   |2020yCat.1350....0G
767 |CD-25 9899                                                                                                                                  |High Proper Motion Star            |13 36 47.2208717928 -25 49 44.598667656|315.5539660738711 +35.9287332370271| -71.571 -3.424   |10.28    |~                 |    ~     ~    |    1|  202.130   pc  |  -9.6708     +9.6708    |paral   |2020yCat.1350....0G
768 |CD-25 9903                                                                                                                                  |High Proper Motion Star            |13 37 02.7413126328 -25 58 39.323617176|315.5843662659453 +35.7711283746654|-117.860 -20.426  |10.332   |~                 |    ~     ~    |    1|  204.640   pc  |  -2.9090     +2.9090    |ST-L    |2020AJ....160...83S
769 |CD-24 11009                                                                                                                                 |Star                               |13 38 27.2643170904 -25 17 41.582267412|316.1541224865385 +36.3667855257406|-25.559 -11.002   |10.81    |~                 |    ~     ~    |    1|  403.978   pc  | -11.2100    +11.2100    |ST-L    |2020AJ....160...83S
770 |CD-23 11191                                                                                                                                 |Star                               |13 40 03.1394109984 -23 44 41.379014328|317.0464115268126 +37.7908887504858| -22.396 -7.507   |10.24    |~                 |    ~     ~    |    1|  634.328   pc  | -34.5800    +34.5800    |ST-L    |2020AJ....160...83S
771 |V* RW Hya                                                                                                                                   |Symbiotic Star                     |13 34 18.1289607744 -25 22 48.881433972|314.9926356811852 +36.4856205470590| -17.834 13.214   |10.00    |M1/2IIIe          |    ~     ~    |    1| 1543.448   pc  | -83.1399    +83.1399    |paral   |2020yCat.1350....0G
772 |CD-24 10965                                                                                                                                 |Star                               |13 32 48.1343376912 -25 23 24.487110528|314.5773493287155 +36.5444830219031| -16.730 -9.539   |10.96    |~                 |    ~     ~    |    1|  724.323   pc  | -15.4770    +15.4770    |paral   |2020yCat.1350....0G
773 |CD-24 10967                                                                                                                                 |Spectroscopic Binary               |13 33 02.0239237128 -25 20 23.771486040|314.6536146672297 +36.5832427629111|   -5.685 6.198   |10.88    |~                 |    ~     ~    |    1|  461.063   pc  |  -6.5049     +6.5049    |paral   |2020yCat.1350....0G
774 |CD-24 10971                                                                                                                                 |Star                               |13 33 10.6643601528 -25 35 45.500833104|314.6295225295610 +36.3258804522107| 28.135 -24.026   |10.603   |~                 |    ~     ~    |    1|  349.962   pc  |  -7.4110     +7.4110    |ST-L    |2020AJ....160...83S
775 |CD-24 10978                                                                                                                                 |Star                               |13 34 21.7946450616 -25 02 35.616751224|315.0961934436755 +36.8125287733674|  -5.048 -4.392   |10.803   |~                 |    ~     ~    |    1|  933.262   pc  | -76.9600    +76.9600    |ST-L    |2020AJ....160...83S
776 |CPD-24 5103                                                                                                                                 |Star                               |13 34 36.5369817672 -25 27 46.556314668|315.0556717048584 +36.3904140374157|-12.327 -12.820   |10.618   |~                 |    ~     ~    |    1|  229.114   pc  |  -4.0820     +4.0820    |ST-L    |2020AJ....160...83S
777 |CD-23 11148                                                                                                                                 |Star                               |13 34 59.7375107904 -23 54 37.069093080|315.5724763171274 +37.8899782644431|  2.933 -12.776   |10.579   |~                 |    ~     ~    |    1|  593.437   pc  | -29.8600    +29.8600    |ST-L    |2020AJ....160...83S
778 |CD-24 10987                                                                                                                                 |Star                               |13 35 20.4456203736 -25 24 23.897316528|315.2710215862906 +36.4109711749876|-44.632 -18.633   |10.29    |~                 |    ~     ~    |    1|  299.125   pc  |  -8.1830     +8.1830    |ST-L    |2020AJ....160...83S
779 |CD-23 11159                                                                                                                                 |Star                               |13 37 00.2634761112 -24 37 54.483358080|315.9386809092331 +37.0864130965184|  -19.697 9.594   |10.46    |~                 |    ~     ~    |    1|  482.230   pc  |  -4.6742     +4.6742    |paral   |2020yCat.1350....0G
780 |CD-24 10998                                                                                                                                 |Star                               |13 37 16.1769741216 -25 36 13.718340252|315.7457244086441 +36.1249478773782| -11.280 -8.676   |10.86    |~                 |    ~     ~    |    1|  855.725   pc  | -10.9107    +10.9107    |paral   |2020yCat.1350....0G
781 |CD-23 11183                                                                                                                                 |Star                               |13 39 32.8276840896 -24 11 23.032033872|316.7727731970865 +37.3856215306402| -18.925 -3.224   |10.673   |~                 |    ~     ~    |    1|  807.941   pc  | -30.6200    +30.6200    |ST-L    |2020AJ....160...83S
782 |TYC 6713-1244-1                                                                                                                             |High Proper Motion Star            |13 30 23.9508358056 -24 01 11.995266288|314.2403415213310 +37.9947274134533|-88.557 -123.984  |10.90    |~                 |    ~     ~    |    1|  132.669   pc  |  -0.9640     +0.9640    |ST-L    |2020AJ....160...83S
783 |TYC 6714-800-1                                                                                                                              |High Proper Motion Star            |13 32 12.5175063960 -24 05 01.284684072|314.7381614933914 +37.8516013695452|-56.167 -143.059  |10.999   |~                 |    ~     ~    |    1|  139.251   pc  |  -1.1980     +1.1980    |ST-L    |2020AJ....160...83S
784 |TYC 6718-296-1                                                                                                                              |Star                               |13 40 10.8725677536 -25 23 29.877958320|316.5977415646070 +36.1832788201583|   5.814 -8.684   |10.809   |~                 |    ~     ~    |    1|  164.663   pc  |  -2.3600     +2.3600    |ST-L    |2020AJ....160...83S
785 |TYC 6718-386-1                                                                                                                              |Star                               |13 36 55.1668098888 -25 23 08.074331016|315.7092052281587 +36.3551706668075| -47.144 11.984   |10.968   |~                 |    ~     ~    |    1|  479.737   pc  | -13.9100    +13.9100    |ST-L    |2020AJ....160...83S
786 |TYC 6718-1078-1                                                                                                                             |Star                               |13 34 35.4493568496 -25 26 59.276485140|315.0540758688244 +36.4041098753607|-21.519 -40.323   |10.861   |~                 |    ~     ~    |    1|  195.299   pc  |  -2.8340     +2.8340    |ST-L    |2020AJ....160...83S
