C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:05

dec >=0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5410

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
409 |TYC 3647-1199-1                                                                                          |Star                                  |23 51 58.7710540392 +49 00 43.154924256|112.9993915893153 -12.7096848551769|  -6.508 -7.262  |10.52    |~                |    ~     ~    |    1|  638.896   pc  |  -7.7556     +7.7556  |paral   |2020yCat.1350....0G
410 |TYC 3647-1236-1                                                                                          |Star                                  |23 49 43.0299966864 +50 11 30.640029576|112.9222522413550 -11.4765139830881|   3.104 -5.555  |10.96    |~                |    ~     ~    |    1| 1485.001   pc  | -29.1090    +29.1090  |paral   |2020yCat.1350....0G
411 |TYC 3647-1257-1                                                                                          |Star                                  |23 57 50.4197439576 +48 51 17.926538508|113.9260704511928 -13.0772934745871|  -4.303 -1.803  |10.70    |~                |    ~     ~    |    0|                |                       |        |                   
412 |TYC 3647-1294-1                                                                                          |Star                                  |23 58 03.4619981040 +50 10 15.824672400|114.2454759650315 -11.7982172937313|   5.169 -2.522  |10.92    |~                |    ~     ~    |    1|  512.243   pc  |  -4.7231     +4.7231  |paral   |2020yCat.1350....0G
413 |TYC 3647-1295-1                                                                                          |Star                                  |23 56 10.9248103704 +49 12 29.059674984|113.7315519504665 -12.6740657642926|  -1.882 -0.742  |10.81    |~                |    ~     ~    |    1|  657.462   pc  |  -8.8613     +8.8613  |paral   |2020yCat.1350....0G
414 |TYC 3647-1338-1                                                                                          |Star                                  |23 55 16.5774223872 +49 41 37.306520412|113.6935526750297 -12.1679780550871|   -7.136 1.558  |10.78    |~                |    ~     ~    |    1|  747.887   pc  | -13.9834    +13.9834  |paral   |2020yCat.1350....0G
415 |TYC 3647-1429-1                                                                                          |Star                                  |23 59 59.1571745208 +49 18 09.393614640|114.3739276359496 -12.7122810851585|   5.435 -3.239  |10.17    |~                |    ~     ~    |    1| 1295.337   pc  | -21.4771    +21.4771  |paral   |2020yCat.1350....0G
416 |TYC 3647-1434-1                                                                                          |Star                                  |23 54 11.5803315120 +50 05 02.127662196|113.6085497178485 -11.7486854351744|  -1.495 -2.870  |10.74    |~                |    ~     ~    |    1| 1131.478   pc  | -41.8639    +41.8639  |paral   |2020yCat.1350....0G
417 |TYC 3647-1444-1                                                                                          |Star                                  |23 54 06.8248191072 +50 27 12.537512676|113.6807170459469 -11.3857322194410|  9.274 -23.717  |10.63    |~                |    ~     ~    |    1|  236.368   pc  |  -0.8325     +0.8325  |paral   |2020yCat.1350....0G
418 |TYC 3647-1507-1                                                                                          |Star                                  |23 53 56.6972326320 +49 51 10.202988528|113.5156481442787 -11.9648504820521|  -1.612 -2.863  |10.21    |~                |    ~     ~    |    1| 1012.761   pc  | -25.3344    +25.3344  |paral   |2020yCat.1350....0G
419 |TYC 3647-1545-1                                                                                          |Star                                  |23 51 05.5870827432 +50 10 46.422017760|113.1375158286015 -11.5410868840860| 40.948 -19.290  |9.90     |~                |    ~     ~    |    1| 1088.139   pc  | -14.5638    +14.5638  |paral   |2020yCat.1350....0G
420 |TYC 3647-1565-1                                                                                          |Star                                  |23 51 12.6688016256 +49 47 35.414408364|113.0630699953180 -11.9210143618859|  -1.621 -5.318  |10.14    |~                |    ~     ~    |    1|  746.826   pc  |  -9.9837     +9.9837  |paral   |2020yCat.1350....0G
421 |TYC 3647-1582-1                                                                                          |Star                                  |23 59 37.5055587600 +50 25 11.654245920|114.5481313108257 -11.6065101608306|   -4.100 1.283  |10.66    |~                |    ~     ~    |    1| 1389.275   pc  | -83.9587    +83.9587  |paral   |2020yCat.1350....0G
422 |TYC 3647-1600-1                                                                                          |Star                                  |23 54 45.8318581008 +50 31 40.383385896|113.8004759006129 -11.3363168006441|   4.999 -3.384  |10.81    |~                |    ~     ~    |    1|  936.593   pc  | -10.2633    +10.2633  |paral   |2020yCat.1350....0G
423 |TYC 3647-1656-1                                                                                          |Star                                  |23 56 48.7008383592 +50 04 20.640721548|114.0246739834380 -11.8522330188580|   3.978 -0.740  |10.49    |~                |    ~     ~    |    1| 1660.027   pc  | -42.9887    +42.9887  |paral   |2020yCat.1350....0G
424 |TYC 3647-1687-1                                                                                          |Star                                  |23 59 20.9432941440 +50 13 17.100464988|114.4626799769526 -11.7918123438876|    2.942 1.821  |10.79    |~                |    ~     ~    |    1|  935.979   pc  | -12.5276    +12.5276  |paral   |2020yCat.1350....0G
425 |TYC 3647-1760-1                                                                                          |Star                                  |23 50 58.9081693224 +50 02 04.344742176|113.0847706563045 -11.6777631236770|  20.520 -2.681  |9.72     |~                |    ~     ~    |    1|  693.049   pc  |  -7.8292     +7.8292  |paral   |2020yCat.1350....0G
426 |TYC 3647-1796-1                                                                                          |Star                                  |23 58 57.6950096616 +49 43 12.117123768|114.2948414704991 -12.2696428830224|  15.149 -8.311  |10.93    |~                |    ~     ~    |    1|  799.552   pc  |  -8.3107     +8.3107  |paral   |2020yCat.1350....0G
427 |TYC 3647-1803-1                                                                                          |Eclipsing Binary                      |23 56 30.8593986528 +49 51 52.923204720|113.9312266370839 -12.0447615131068|  -1.631 -2.795  |10.61    |~                |    ~     ~    |    1|  998.602   pc  | -22.7363    +22.7363  |paral   |2020yCat.1350....0G
428 |GSC 03647-01829                                                                                          |Double or Multiple Star               |23 52 10.5619084560 +49 53 19.985385156|113.2405480394024 -11.8644349200053|  -1.917 -0.609  |10.788   |~                |    ~     ~    |    1| 1155.802   pc  | -32.7290    +32.7290  |paral   |2020yCat.1350....0G
429 |TYC 3647-1854-1                                                                                          |Star                                  |23 57 12.3479559048 +49 38 16.445967972|113.9929900765195 -12.2902561371668|  -4.353 -7.285  |10.17    |~                |    ~     ~    |    1|  359.015   pc  |  -2.8227     +2.8227  |paral   |2020yCat.1350....0G
430 |TYC 3647-1898-1                                                                                          |Star                                  |23 53 25.7275181544 +49 41 06.215847144|113.3937315474950 -12.1093395654260|  -1.465 -7.132  |10.72    |~                |    ~     ~    |    1| 1176.471   pc  | -26.4360    +26.4360  |paral   |2020yCat.1350....0G
431 |TYC 3647-1938-1                                                                                          |Star                                  |23 59 35.3036616864 +49 27 30.795667956|114.3415810544522 -12.5464215354521| -10.298 -1.886  |10.95    |~                |    ~     ~    |    1|  351.704   pc  |  -2.3255     +2.3255  |paral   |2020yCat.1350....0G
432 |TYC 3647-1949-1                                                                                          |Star                                  |23 49 10.0010180160 +49 27 33.683454288|112.6524282047220 -12.1654779840975| -11.343 -5.368  |10.86    |~                |    ~     ~    |    1|  652.401   pc  |  -5.9162     +5.9162  |paral   |2020yCat.1350....0G
433 |TYC 3647-1959-1                                                                                          |Star                                  |23 57 29.3171522928 +49 52 55.846487352|114.0918471919652 -12.0613022561379|  -0.635 -1.695  |10.34    |~                |    ~     ~    |    1| 1236.858   pc  | -26.9248    +26.9248  |paral   |2020yCat.1350....0G
434 |TYC 3647-1960-1                                                                                          |Star                                  |23 59 14.1377961096 +49 31 59.257366500|114.2998287899209 -12.4616831453584|   6.556 -9.474  |10.77    |~                |    ~     ~    |    1|  855.798   pc  |  -9.2281     +9.2281  |paral   |2020yCat.1350....0G
435 |TYC 3647-1967-1                                                                                          |Star                                  |23 52 36.8868999720 +49 27 19.884564432|113.2083935695444 -12.3024443286586|   4.043 -5.751  |10.68    |~                |    ~     ~    |    1|  836.260   pc  |  -8.2521     +8.2521  |paral   |2020yCat.1350....0G
436 |TYC 3647-1991-1                                                                                          |Star                                  |23 48 48.6971558736 +49 39 16.578851436|112.6442410947897 -11.9620729439091|  -2.487 -3.548  |10.63    |~                |    ~     ~    |    1|  677.048   pc  |  -7.0593     +7.0593  |paral   |2020yCat.1350....0G
437 |TYC 3647-2009-1                                                                                          |Spectroscopic Binary                  |23 49 58.5142017648 +49 35 50.215058592|112.8168487841824 -12.0635270691680|   8.652 -0.938  |10.24    |~                |    ~     ~    |    1|  378.401   pc  |  -3.2647     +3.2647  |paral   |2020yCat.1350....0G
438 |TYC 3647-2025-1                                                                                          |Star                                  |23 50 14.8527364968 +49 49 54.931562328|112.9182133862236 -11.8463606171553|-13.497 -15.984  |10.31    |~                |    ~     ~    |    1|  253.839   pc  |  -0.9279     +0.9279  |paral   |2020yCat.1350....0G
439 |TYC 3647-2027-1                                                                                          |Star                                  |23 52 23.4300611304 +50 00 04.484303100|113.3014781825052 -11.7631501894042|  1.320 -11.593  |10.15    |~                |    ~     ~    |    1|  243.891   pc  |  -0.9696     +0.9696  |paral   |2020yCat.1350....0G
440 |TYC 3647-2034-1                                                                                          |Star                                  |23 50 19.6766106576 +49 25 40.007482212|112.8319831732626 -12.2418239818534|  -1.388 -2.062  |10.97    |~                |    ~     ~    |    1|  824.810   pc  | -11.1571    +11.1571  |paral   |2020yCat.1350....0G
441 |TYC 3647-2044-1                                                                                          |Star                                  |23 58 55.9420924440 +49 28 19.043109876|114.2375534127943 -12.5113728151027|  15.222 -3.528  |9.92     |~                |    ~     ~    |    1|  678.564   pc  |  -7.2291     +7.2291  |paral   |2020yCat.1350....0G
442 |TYC 3647-2140-1                                                                                          |Star                                  |23 50 12.5830190952 +49 44 40.337857176|112.8907212959830 -11.9297275796592|   5.951 -5.131  |10.55    |~                |    ~     ~    |    1| 1278.609   pc  | -23.8687    +23.8687  |paral   |2020yCat.1350....0G
443 |TYC 3647-2147-1                                                                                          |Star                                  |23 49 35.5040404512 +49 22 58.943131068|112.7020027484077 -12.2563325822025|   -4.548 5.513  |9.64     |~                |    ~     ~    |    1| 1217.137   pc  | -21.4806    +21.4806  |paral   |2020yCat.1350....0G
444 |TYC 3647-2160-1                                                                                          |Star                                  |23 53 31.4653289328 +49 42 26.598573504|113.4143325200279 -12.0911198356288|  -0.159 -6.892  |10.79    |~                |    ~     ~    |    1|  860.511   pc  |  -9.9224     +9.9224  |paral   |2020yCat.1350....0G
445 |TYC 3647-2184-1                                                                                          |Star                                  |23 59 07.8863150448 +50 10 38.601744672|114.4186255141538 -11.8277524843655|  -0.307 -3.761  |10.80    |~                |    ~     ~    |    1|  920.387   pc  | -18.8906    +18.8906  |paral   |2020yCat.1350....0G
446 |TYC 3647-2187-1                                                                                          |Star                                  |23 50 56.9861915160 +50 22 14.005861644|113.1609201283347 -11.3500956160246|   -2.990 2.857  |10.50    |~                |    ~     ~    |    1| 1127.396   pc  | -16.3962    +16.3962  |paral   |2020yCat.1350....0G
447 |TYC 3647-2197-1                                                                                          |Star                                  |23 54 46.6839644592 +49 41 55.344109236|113.6143269758359 -12.1452201368308|  14.408 -1.077  |10.01    |~                |    ~     ~    |    1|  355.543   pc  |  -1.5801     +1.5801  |paral   |2020yCat.1350....0G
448 |TYC 3647-2202-1                                                                                          |Star                                  |23 50 41.7813514200 +50 21 17.951108508|113.1171075997561 -11.3556314521960|  -8.156 -5.749  |10.09    |~                |    ~     ~    |    1|  607.570   pc  |  -7.3459     +7.3459  |paral   |2020yCat.1350....0G
449 |HD 236208                                                                                                |Star                                  |23 45 05.2454150592 +50 46 25.668906384|112.3439090823471 -10.7288683705139|  34.258 -8.633  |9.34     |K5               |    ~     ~    |    1|  486.310   pc  |  -3.2400     +3.2400  |paral   |2020yCat.1350....0G
450 |HD 223046                                                                                                |Double or Multiple Star               |23 46 04.1183820168 +50 39 47.334085884|112.4677912244718 -10.8756894725267|  39.276 10.332  |7.34     |K0               |    ~     ~    |    1|  186.043   pc  |  -1.3291     +1.3291  |paral   |2020yCat.1350....0G
451 |BD+49 4216                                                                                               |Star                                  |23 46 07.2939298152 +50 39 06.286036320|112.4730910834237 -10.8888532356276|  -1.398 -2.242  |9.67     |~                |    ~     ~    |    1| 1537.279   pc  | -30.0130    +30.0130  |paral   |2020yCat.1350....0G
452 |HD 236210                                                                                                |Star                                  |23 46 12.4327490592 +50 36 47.725335900|112.4764840402141 -10.9295319944738|  10.185 -7.220  |10.18    |F2               |    ~     ~    |    1|  289.746   pc  |  -1.2257     +1.2257  |paral   |2020yCat.1350....0G
453 |LS III +52 45                                                                                            |Emission-line Star                    |23 45 12.6278059512 +52 40 26.177493900|112.8594153464194 -08.8977766815047|  -0.176 -2.370  |10.83    |B                |    ~     ~    |    1| 1604.364   pc  | -81.5953    +81.5953  |paral   |2020yCat.1350....0G
454 |BD+51 3702                                                                                               |High Proper Motion Star               |23 45 05.1589832016 +52 35 13.953026400|112.8183763383361 -08.9767395924036|-56.403 -13.343  |10.67    |G                |    ~     ~    |    1|  244.320   pc  |  -0.7282     +0.7282  |paral   |2020yCat.1350....0G
455 |HD 222976                                                                                                |Pulsating Variable                    |23 45 16.4912434824 +50 51 36.429976152|112.3956979439864 -10.6531172739086|  -0.221 -2.152  |9.32     |B9               |    ~     ~    |    1|  601.576   pc  |  -7.0569     +7.0569  |paral   |2020yCat.1350....0G
456 |TYC 3646-661-1                                                                                           |Star                                  |23 45 24.0832811232 +50 35 11.725951776|112.3436402000697 -10.9225686317027|  -5.673 -0.471  |10.16    |~                |    ~     ~    |    1| 1097.574   pc  | -19.6361    +19.6361  |paral   |2020yCat.1350....0G
457 |TYC 3646-1445-1                                                                                          |Star                                  |23 45 48.4301180184 +50 37 17.355046908|112.4161386012507 -10.9053756435675|   15.068 2.833  |10.92    |~                |    ~     ~    |    1|  877.501   pc  |  -8.6241     +8.6241  |paral   |2020yCat.1350....0G
458 |GSC 03650-00341                                                                                          |Double or Multiple Star               |23 45 25.6471135872 +51 49 18.800373324|112.6703878599083 -09.7298199282065|   1.819 -1.747  |10.763   |~                |    ~     ~    |    1|  881.990   pc  | -71.8785    +71.8785  |paral   |2020yCat.1350....0G
459 |HD 236225                                                                                                |Spectroscopic Binary                  |23 50 02.2243348680 +50 49 03.519387804|113.1261623720034 -10.8813698419599|   -9.492 1.390  |10.81    |K7               |    ~     ~    |    1|  971.251   pc  | -51.2227    +51.2227  |paral   |2020yCat.1350....0G
460 |HD 236246                                                                                                |Star                                  |23 55 21.6952296720 +50 52 37.624949940|113.9732048369392 -11.0166187966633|  -10.282 9.033  |9.37     |F5               |    ~     ~    |    1|  283.374   pc  |  -1.4936     +1.4936  |paral   |2020yCat.1350....0G
461 |HD 224456                                                                                                |Star                                  |23 58 04.3877524008 +50 50 12.418159092|114.3902926014725 -11.1477960484831|   4.244 -3.961  |9.09     |B9               |    ~     ~    |    1|  640.943   pc  |  -7.5589     +7.5589  |paral   |2020yCat.1350....0G
462 |HD 224648                                                                                                |Star                                  |23 59 32.8901784840 +50 49 57.264514608|114.6216845574544 -11.2000050758446|   8.585 -1.549  |7.189    |B9               |    ~     ~    |    1|  389.317   pc  |  -9.2305     +9.2305  |paral   |2020yCat.1350....0G
463 |HD 236228                                                                                                |Star                                  |23 50 28.7659459536 +50 40 41.429204976|113.1613977816599 -11.0335257337758|    1.616 4.899  |10.00    |A7               |    ~     ~    |    1|  367.013   pc  | -21.1881    +21.1881  |paral   |2020yCat.1350....0G
464 |HD 236240                                                                                                |Star                                  |23 53 11.3703027912 +50 48 08.358631020|113.6156646975771 -11.0127707790951|   2.306 -1.677  |9.52     |M0               |    ~     ~    |    1| 1324.503   pc  | -30.1741    +30.1741  |paral   |2020yCat.1350....0G
465 |BD+49 4268                                                                                               |Star                                  |23 55 18.8810270736 +50 38 00.103926156|113.9112184093335 -11.2527817105965| -10.363 -6.352  |9.72     |~                |    ~     ~    |    1|  383.039   pc  |  -4.9444     +4.9444  |paral   |2020yCat.1350....0G
466 |HD 236259                                                                                                |Star                                  |23 58 36.1682800176 +50 41 53.028638772|114.4443373912076 -11.3009204305454|   3.338 -2.389  |9.49     |B8               |    ~     ~    |    1|  728.279   pc  |  -9.3349     +9.3349  |paral   |2020yCat.1350....0G
467 |HD 223266                                                                                                |Star                                  |23 47 56.1190626384 +53 18 07.795637388|113.4206338240938 -08.3928268249679|   7.026 -5.846  |9.03     |A2               |    ~     ~    |    1|  293.143   pc  |  -1.5124     +1.5124  |paral   |2020yCat.1350....0G
468 |HD 236216                                                                                                |Star                                  |23 48 22.4018249880 +52 56 29.424701796|113.3955645825438 -08.7585850757460| -1.341 -13.587  |9.29     |K7               |    ~     ~    |    1|  414.044   pc  |  -2.5029     +2.5029  |paral   |2020yCat.1350....0G
469 |HD 223308                                                                                                |Star                                  |23 48 21.9689044200 +53 16 22.878660468|113.4765070330680 -08.4368738355089| -26.117 14.862  |8.61     |F2               |    ~     ~    |    1|  162.655   pc  |  -0.4498     +0.4498  |paral   |2020yCat.1350....0G
470 |HD 236218                                                                                                |Star                                  |23 48 28.0913548584 +53 21 20.943782784|113.5118902249292 -08.3603090693516|  24.564 -6.399  |8.96     |K5               |    ~     ~    |    1|  370.137   pc  |  -1.9454     +1.9454  |paral   |2020yCat.1350....0G
471 |HD 236219                                                                                                |Star                                  |23 48 47.2731674040 +53 07 41.868887556|113.5027723883171 -08.5926278801635|  -2.168 -3.943  |9.39     |A0               |    ~     ~    |    1|  680.689   pc  |  -7.7377     +7.7377  |paral   |2020yCat.1350....0G
472 |HD 223389                                                                                                |Star                                  |23 48 58.6466179272 +53 12 08.014685400|113.5487831153481 -08.5278002690688|  -2.573 -1.168  |9.10     |A5               |    ~     ~    |    1| 1901.141   pc  | -99.3942    +99.3942  |paral   |2020yCat.1350....0G
473 |HD 223435                                                                                                |Star                                  |23 49 20.1368443608 +53 10 21.966447180|113.5942364598345 -08.5693470669483|   4.871 -2.719  |9.50     |A0               |    ~     ~    |    1|  448.109   pc  |  -4.1164     +4.1164  |paral   |2020yCat.1350....0G
474 |HD 223474                                                                                                |Pulsating Variable                    |23 49 38.6752631400 +53 18 50.961967164|113.6739564532737 -08.4432087873230|   7.941 -3.613  |9.11     |A0               |    ~     ~    |    1|  552.883   pc  |  -6.9695     +6.9695  |paral   |2020yCat.1350....0G
475 |HD 236227                                                                                                |Star                                  |23 50 10.5975450408 +52 53 02.433558660|113.6485027688943 -08.8799822016539|  -9.358 -4.171  |9.40     |K5               |    ~     ~    |    1|  449.539   pc  |  -2.6069     +2.6069  |paral   |2020yCat.1350....0G
476 |HD 223538                                                                                                |Star                                  |23 50 13.9503256776 +52 54 18.068178420|113.6618447711103 -08.8615795839782|  13.798 -0.631  |8.92     |A0               |    ~     ~    |    1|  315.119   pc  |  -1.8172     +1.8172  |paral   |2020yCat.1350....0G
477 |HD 236234                                                                                                |Star                                  |23 51 44.9701576944 +53 05 43.277475768|113.9315612763473 -08.7301508431772|  -5.334 -2.249  |8.64     |M0               |    ~     ~    |    1|  888.652   pc  | -15.6361    +15.6361  |paral   |2020yCat.1350....0G
478 |HD 236235                                                                                                |Star                                  |23 51 55.3973230512 +53 12 24.224641848|113.9832842743941 -08.6278339982130|   6.778 -2.608  |9.71     |A0               |    ~     ~    |    1|  413.565   pc  |  -3.2326     +3.2326  |paral   |2020yCat.1350....0G
479 |HD 236236                                                                                                |Star                                  |23 52 02.6362715040 +53 10 24.823978320|113.9933230079035 -08.6642776684023| -30.913 11.089  |8.60     |K7               |    ~     ~    |    1|  779.059   pc  | -12.0173    +12.0173  |paral   |2020yCat.1350....0G
480 |HD 236237                                                                                                |Star                                  |23 52 49.9692911904 +52 50 44.148899364|114.0341024669585 -09.0107144811448|  -9.731 -0.640  |9.88     |K0               |    ~     ~    |    1|  831.463   pc  |  -8.0886     +8.0886  |paral   |2020yCat.1350....0G
481 |HD 223878                                                                                                |Star                                  |23 53 14.2716433632 +53 05 24.994374936|114.1504569087804 -08.7862758900061|   1.780 -0.236  |9.18     |A0               |    ~     ~    |    1|  691.754   pc  | -10.6232    +10.6232  |paral   |2020yCat.1350....0G
482 |HD 223900                                                                                                |Star                                  |23 53 24.5680560840 +53 07 27.038381916|114.1835920061906 -08.7590693537475|  -8.224 -1.311  |8.22     |K0               |    ~     ~    |    1|  278.048   pc  |  -1.6158     +1.6158  |paral   |2020yCat.1350....0G
483 |HD 236248                                                                                                |Star                                  |23 56 15.6919306392 +53 11 12.594272748|114.6195540317070 -08.7920807981932|    8.848 3.715  |8.75     |K5               |    ~     ~    |    1|  492.514   pc  |  -4.7301     +4.7301  |paral   |2020yCat.1350....0G
484 |HD 236256                                                                                                |Star                                  |23 58 02.3030762376 +53 10 46.726451832|114.8813177242686 -08.8553653467145|   2.699 -2.554  |9.02     |B9               |    ~     ~    |    1|  643.376   pc  |  -8.9410     +8.9410  |paral   |2020yCat.1350....0G
485 |HD 224541                                                                                                |Star                                  |23 58 42.1369400352 +53 23 13.548595344|115.0229288644897 -08.6728990267418|  41.353 -5.955  |7.63     |K0               |    ~     ~    |    1|  221.990   pc  |  -0.7934     +0.7934  |paral   |2020yCat.1350....0G
486 |BD+52 3572                                                                                               |Spectroscopic Binary                  |23 58 50.3336848128 +53 20 38.147434764|115.0341511954643 -08.7193279853735| 15.501 -25.205  |9.51     |K0               |    ~     ~    |    1|  488.998   pc  |  -8.4170     +8.4170  |paral   |2020yCat.1350....0G
487 |HD 224587                                                                                                |Double or Multiple Star               |23 59 01.8282 +53 15 09.797            |115.0436289 -08.8144624            |    -8.70 -6.00  |8.26     |A3               |    ~     ~    |    0|                |                       |        |                   
488 |BD+52 3573C                                                                                              |Star                                  |23 59 00.3369754920 +53 15 21.488702760|115.0406175771775 -08.8105240540701|   7.381 -6.019  |10.5     |~                |    ~     ~    |    1|  680.782   pc  |  -5.7469     +5.7469  |paral   |2020yCat.1350....0G
489 |HD 223458                                                                                                |Spectroscopic Binary                  |23 49 33.3894025896 +52 39 09.032501520|113.5002382553086 -09.0823295611152|  70.612 -6.411  |8.95     |K0               |    ~     ~    |    1|  144.860   pc  |  -1.4500     +1.4500  |paral   |2020yCat.1350....0G
490 |HD 236222                                                                                                |Star                                  |23 49 45.7914752688 +52 46 51.219869196|113.5622028470063 -08.9652078094960|   9.507 -4.278  |9.70     |A5               |    ~     ~    |    1|  323.321   pc  |  -1.6517     +1.6517  |paral   |2020yCat.1350....0G
491 |BD+51 3733                                                                                               |Star                                  |23 53 27.0367567272 +52 26 55.945567320|114.0353748554682 -09.4183520628095|-33.069 -14.173  |9.89     |G5               |    ~     ~    |    1|  259.027   pc  |  -1.0668     +1.0668  |paral   |2020yCat.1350....0G
492 |HD 236243                                                                                                |Spectroscopic Binary                  |23 54 06.8965812264 +52 46 11.458946100|114.2079600181578 -09.1282062487576|    4.617 3.009  |9.50     |K0               |    ~     ~    |    1|  767.342   pc  | -11.3052    +11.3052  |paral   |2020yCat.1350....0G
493 |HD 224152                                                                                                |High Proper Motion Star               |23 55 32.6224504032 +52 44 08.092602852|114.4139130579939 -09.2092839186226|  63.923 19.453  |6.60     |K0               |    ~     ~    |    1|  131.612   pc  |  -0.9232     +0.9232  |paral   |2020yCat.1350....0G
494 |HD 223370                                                                                                |Star                                  |23 48 54.4460376168 +51 49 30.791662068|113.1995933889461 -09.8610089794271|   5.916 -4.182  |9.22     |A2               |    ~     ~    |    1|  363.121   pc  |  -2.0042     +2.0042  |paral   |2020yCat.1350....0G
495 |HD 236223                                                                                                |High Proper Motion Star               |23 49 52.2722210016 +52 07 06.094625016|113.4175653786568 -09.6123928275210| -38.085 33.635  |8.84     |G5               |    ~     ~    |    1|   85.669   pc  |  -0.1101     +0.1101  |paral   |2020yCat.1350....0G
496 |HD 236230                                                                                                |Star                                  |23 50 39.5178943152 +51 54 38.611213668|113.4867804360878 -09.8429078501452|  -5.016 -7.334  |9.35     |K2               |    ~     ~    |    1|  640.985   pc  |  -5.0536     +5.0536  |paral   |2020yCat.1350....0G
497 |HD 236232                                                                                                |High Proper Motion Star               |23 50 57.1489265808 +52 13 28.496926092|113.6064717649175 -09.5485848322300| -62.122 -3.786  |8.89     |F8               |    ~     ~    |    1|  127.992   pc  |  -0.2375     +0.2375  |paral   |2020yCat.1350....0G
498 |HD 223625                                                                                                |Star                                  |23 51 08.7935832936 +52 05 31.981218180|113.6042520188854 -09.6842381561148|  15.522 -2.755  |8.56     |A0               |    ~     ~    |    1|  334.605   pc  |  -2.8326     +2.8326  |paral   |2020yCat.1350....0G
499 |HD 223915                                                                                                |Star                                  |23 53 33.3934512816 +51 56 16.176061428|113.9343635573380 -09.9198671082814|   2.827 -2.648  |8.13     |B8               |    ~     ~    |    1|  713.572   pc  | -11.6603    +11.6603  |paral   |2020yCat.1350....0G
500 |HD 224325                                                                                                |Star                                  |23 56 58.0531124640 +52 09 46.810405800|114.5038028868358 -09.8151298866481|   6.116 -9.719  |8.22     |A0               |    ~     ~    |    1|  306.119   pc  |  -2.2865     +2.2865  |paral   |2020yCat.1350....0G
501 |HD 236253                                                                                                |Double or Multiple Star               |23 57 07.4468607912 +51 53 40.357714164|114.4697925685219 -10.0825771445463|  -1.288 -2.137  |9.807    |K7               |    ~     ~    |    1| 1359.434   pc  | -25.5033    +25.5033  |paral   |2020yCat.1350....0G
502 |HD 224573                                                                                                |Star                                  |23 58 53.5147213344 +51 49 30.949485096|114.7262525262526 -10.2073395193345|   1.380 -1.320  |8.91     |F5               |    ~     ~    |    1|  735.186   pc  | -11.5126    +11.5126  |paral   |2020yCat.1350....0G
503 |HD 223422                                                                                                |Double or Multiple Star               |23 49 15.7884766186 +51 00 27.872347544|113.0523444907427 -10.6674528111631|  -6.293 -3.471  |9.33     |A0               |0.0033  0.0    |    0|                |                       |        |                   
504 |BD+50 4162                                                                                               |Spectroscopic Binary                  |23 49 55.2196821888 +51 31 20.953189128|113.2800570004450 -10.1927139779330|  33.961 -1.984  |10.21    |G                |    ~     ~    |    1|  332.712   pc  |  -9.0883     +9.0883  |paral   |2020yCat.1350....0G
505 |HD 223552                                                                                                |High Proper Motion Star               |23 50 22.2333872232 +51 37 17.979960252|113.3731418249742 -10.1131274365313|120.984 -18.810  |6.472    |F3V              |    ~     ~    |    1|   40.935   pc  |  -0.0276     +0.0276  |paral   |2020yCat.1350....0G
506 |BD+50 4168                                                                                               |Star                                  |23 51 02.1006392616 +51 31 01.826216364|113.4499173679052 -10.2390945913082|  -0.831 -0.610  |10.15    |~                |    ~     ~    |    1|  683.620   pc  |  -5.6080     +5.6080  |paral   |2020yCat.1350....0G
507 |HD 223615                                                                                                |Star                                  |23 50 59.3571478608 +51 23 53.664731952|113.4143859868290 -10.3529972739321|   24.896 1.569  |7.85     |K0               |    ~     ~    |    1|  418.831   pc  |  -3.0172     +3.0172  |paral   |2020yCat.1350....0G
508 |TYC 3651-241-1                                                                                           |Star                                  |23 50 57.4995194640 +51 24 28.844014428|113.4119597043134 -10.3423619261785|  -2.868 -5.065  |10.32    |A                |    ~     ~    |    1|  717.515   pc  | -10.2451    +10.2451  |paral   |2020yCat.1350....0G
509 |HD 223626                                                                                                |Star                                  |23 51 08.7617393664 +51 20 30.018512364|113.4250075203097 -10.4137367385932|   2.886 -3.238  |8.31     |K2               |    ~     ~    |    1|  678.656   pc  |  -8.8430     +8.8430  |paral   |2020yCat.1350....0G
510 |HD 223671                                                                                                |Star                                  |23 51 31.6345137600 +51 31 12.820061640|113.5262874408350 -10.2540961254314|  -1.501 -2.004  |8.65     |A0               |    ~     ~    |    1|  638.162   pc  |  -9.3260     +9.3260  |paral   |2020yCat.1350....0G
511 |BD+50 4176                                                                                               |Spectroscopic Binary                  |23 52 44.3719644240 +51 09 56.529625644|113.6300796361889 -10.6428243656824|-16.726 -10.358  |9.44     |~                |    ~     ~    |    1|  255.676   pc  |  -2.2357     +2.2357  |paral   |2020yCat.1350....0G
