C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST08:58:05

dec >=0&rah >=23.75&rah< 24.0&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 5410

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |       pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|-----------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |TYC 3638-192-1                                                                                           |Star                                  |23 48 04.7248281552 +45 52 01.672852548|111.5510754743878 -15.5998401427217|  -4.057 -7.958  |10.60    |~                |    ~     ~    |    1|  544.188   pc  |  -4.1460     +4.1460  |paral   |2020yCat.1350....0G
23  |TYC 3638-205-1                                                                                           |Star                                  |23 46 08.6749840416 +46 52 03.394023564|111.4815178707187 -14.5473378097633|   -3.348 5.234  |10.05    |~                |    ~     ~    |    1|  262.909   pc  |  -0.9884     +0.9884  |paral   |2020yCat.1350....0G
24  |TYC 3638-242-1                                                                                           |Star                                  |23 45 05.5450330584 +46 24 16.761838500|111.1764138776161 -14.9471999199689|   0.020 -3.816  |10.83    |~                |    ~     ~    |    1|  762.195   pc  | -18.1254    +18.1254  |paral   |2020yCat.1350....0G
25  |TYC 3638-404-1                                                                                           |Star                                  |23 46 02.0944505280 +45 59 57.920769888|111.2297498258355 -15.3809721492633|    5.956 1.468  |10.32    |~                |    ~     ~    |    1| 1614.726   pc  | -50.3217    +50.3217  |paral   |2020yCat.1350....0G
26  |TYC 3638-694-1                                                                                           |Star                                  |23 45 46.3643022888 +46 28 10.573848912|111.3110810200347 -14.9151794435455|  -0.538 -3.838  |10.37    |~                |    ~     ~    |    1|  607.533   pc  |  -8.8214     +8.8214  |paral   |2020yCat.1350....0G
27  |TYC 3638-768-1                                                                                           |Star                                  |23 46 51.2523286896 +46 32 39.117029388|111.5170442101777 -14.8911593639399|  7.414 -10.727  |10.56    |~                |    ~     ~    |    1|  607.829   pc  | -57.5982    +57.5982  |paral   |2020yCat.1350....0G
28  |TYC 3638-913-1                                                                                           |Star                                  |23 46 16.6918253448 +46 33 13.217940756|111.4205429874335 -14.8565352957195|   0.961 -3.881  |10.9     |~                |    ~     ~    |    1|  604.997   pc  |  -8.4917     +8.4917  |paral   |2020yCat.1350....0G
29  |TYC 3638-1071-1                                                                                          |Star                                  |23 45 30.8223123816 +45 59 26.583359820|111.1367635244788 -15.3657627403856|   -8.933 8.638  |10.44    |~                |    ~     ~    |    1| 1109.262   pc  | -18.4569    +18.4569  |paral   |2020yCat.1350....0G
30  |TYC 3638-1074-1                                                                                          |Star                                  |23 45 11.6871858432 +45 46 49.498906944|111.0239066072857 -15.5541111602688| -11.984 -3.166  |9.93     |~                |    ~     ~    |    1|  525.956   pc  |  -3.7068     +3.7068  |paral   |2020yCat.1350....0G
31  |TYC 3638-1385-1                                                                                          |Star                                  |23 47 52.8366203760 +46 18 07.247697300|111.6304092020078 -15.1703615921037|   3.879 -1.216  |10.64    |~                |    ~     ~    |    1| 1253.918   pc  | -22.4841    +22.4841  |paral   |2020yCat.1350....0G
32  |TYC 3638-1588-1                                                                                          |Star                                  |23 47 30.2038274112 +45 57 19.439202168|111.4737878881368 -15.4891037939956| 42.588 -11.489  |10.85    |~                |    ~     ~    |    1|  310.858   pc  |  -1.5075     +1.5075  |paral   |2020yCat.1350....0G
33  |TYC 3638-1626-1                                                                                          |Star                                  |23 48 00.5784733968 +45 57 12.931156116|111.5616441747281 -15.5131436879211|   1.029 -0.910  |10.53    |~                |    ~     ~    |    1|  557.662   pc  |  -4.5093     +4.5093  |paral   |2020yCat.1350....0G
34  |TYC 3638-1918-1                                                                                          |High Proper Motion Star               |23 47 46.9222099104 +45 36 34.985955348|111.4314045640873 -15.8357883890312|  85.550 -4.465  |9.90     |~                |    ~     ~    |    1|  160.033   pc  |  -0.3278     +0.3278  |paral   |2020yCat.1350....0G
35  |TYC 3638-1931-1                                                                                          |Star                                  |23 47 18.4614755736 +45 58 12.613360188|111.4435648261111 -15.4661588625610| -4.984 -10.594  |10.72    |~                |    ~     ~    |    1|  956.206   pc  | -11.8863    +11.8863  |paral   |2020yCat.1350....0G
36  |TYC 3638-2073-1                                                                                          |Star                                  |23 46 37.4402039640 +45 29 55.036025448|111.1981142514612 -15.8913003540648| -4.739 -12.093  |10.60    |~                |    ~     ~    |    1|  218.145   pc  |  -0.5330     +0.5330  |paral   |2020yCat.1350....0G
