C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:14:34

dec >=0&rah >=0.0&rah< 0.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4977

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |      ang. size      |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------------|-----|----------------|-----------------------|--------|-------------------
1289|HD 236307                                                                                                |Star                              |00 07 33.5435379984 +60 44 36.366786888|117.5934945937082 -01.6726991039233| -13.719 -5.807   |9.79     |A0              |    ~     ~          |    1|  508.647   pc  |  -7.8910     +7.8910  |paral   |2020yCat.1350....0G
1290|TYC 4014-2834-1                                                                                          |Star                              |00 07 31.6459005312 +60 44 04.165811052|117.5881674285181 -01.6808593732135| -13.315 -6.279   |10.69    |A2              |    ~     ~          |    1|  547.795   pc  |  -5.9716     +5.9716  |paral   |2020yCat.1350....0G
1291|HD 236306                                                                                                |Star                              |00 07 32.3580095328 +60 20 37.561084116|117.5233256874805 -02.0661736202028|  -2.712 -2.057   |9.43     |B8              |    ~     ~          |    1| 1123.974   pc  | -18.5708    +18.5708  |paral   |2020yCat.1350....0G
1292|HD 611                                                                                                   |Star                              |00 10 41.5643373696 +60 48 21.827653488|117.9812503582679 -01.6734330000856|  -1.438 -1.231   |8.29     |G2Ib-II         |    ~     ~          |    1|  858.664   pc  | -11.9443    +11.9443  |paral   |2020yCat.1350....0G
1293|BD+59 6                                                                                                  |Star                              |00 10 52.5616946904 +60 26 32.042669136|117.9462632229344 -02.0362746562919|  -0.079 -0.048   |9.57     |B8              |    ~     ~          |    1|  972.006   pc  | -14.7388    +14.7388  |paral   |2020yCat.1350....0G
1294|HD 236343                                                                                                |Star                              |00 13 46.6953866640 +60 19 07.583306268|118.2822920751685 -02.2125498128363|   4.247 -5.421   |8.77     |K2              |    ~     ~          |    1|  345.853   pc  |  -1.9736     +1.9736  |paral   |2020yCat.1350....0G
1295|HD 962                                                                                                   |Star                              |00 14 06.6264048360 +60 43 13.284851304|118.3810361963630 -01.8211402553168|  -7.105 -3.343   |7.75     |A0              |    ~     ~          |    1|  396.904   pc  |  -4.9623     +4.9623  |paral   |2020yCat.1350....0G
1296|BD+59 18                                                                                                 |Star                              |00 14 22.2161650560 +60 28 28.220924388|118.3772146539014 -02.0690215750555|  -4.522 -1.814   |9.94     |B8              |    ~     ~          |    1|  723.484   pc  |  -8.4796     +8.4796  |paral   |2020yCat.1350....0G
1297|HD 240487                                                                                                |Star                              |00 03 53.3252937408 +60 40 34.552468920|117.1395894562328 -01.6596184448870|  -0.448 -1.557   |9.53     |B5              |    ~     ~          |    1| 1071.926   pc  | -20.2229    +20.2229  |paral   |2020yCat.1350....0G
1298|BD+59 2826a                                                                                              |Star                              |00 05 47.1755033976 +60 29 02.819796072|117.3343515749200 -01.8905309578662|  13.157 -0.029   |9.97     |K0              |    ~     ~          |    1|  722.387   pc  |  -6.3143     +6.3143  |paral   |2020yCat.1350....0G
1299|HD 135                                                                                                   |Pulsating Variable                |00 06 20.2339065360 +60 27 25.633100628|117.3964974625501 -01.9290012747623|  45.274 -1.068   |7.95     |F0              |    ~     ~          |    1|  200.321   pc  |  -0.7584     +0.7584  |paral   |2020yCat.1350....0G
1300|BD+59 2829                                                                                               |Be Star                           |00 06 48.3057007056 +60 36 00.848235564|117.4780058000688 -01.7980168932674|  -3.425 -1.687   |9.9      |B0              |    ~     ~          |    1| 2495.633   pc  | -85.9489    +85.9489  |paral   |2020yCat.1350....0G
1301|LS I +59 28                                                                                              |Star                              |00 04 42.5389648704 +60 13 56.997542496|117.1583242177027 -02.1143723285086|  -1.561 -0.926   |10.16    |F8I             |    ~     ~          |    1| 3835.827   pc  |-158.9065   +158.9065  |paral   |2020yCat.1350....0G
1302|HD 236308                                                                                                |Star                              |00 08 00.5577776736 +60 11 30.335643888|117.5551500607468 -02.2258311855871|  -9.616 -4.774   |9.47     |A5              |    ~     ~          |    1|  522.493   pc  |  -3.4125     +3.4125  |paral   |2020yCat.1350....0G
1303|HD 554                                                                                                   |Star                              |00 10 14.1042373560 +60 01 33.747154392|117.8018263489044 -02.4346649428638|    1.571 0.784   |7.85     |G8III           |    ~     ~          |    1|  871.840   pc  | -11.6296    +11.6296  |paral   |2020yCat.1350....0G
1304|HD 679                                                                                                   |Double or Multiple Star           |00 11 19.8221 +59 57 44.360            |117.9271608 -02.5191172            |      -8.1 -4.1   |8.90     |A2              |    ~     ~          |    0|                |                       |        |                   
1305|HD 236331                                                                                                |Star                              |00 11 23.6296449648 +59 54 32.711264136|117.9267613035653 -02.5729414657690|  34.451 -4.431   |8.88     |K5              |    ~     ~          |    1|  322.706   pc  |  -1.5308     +1.5308  |paral   |2020yCat.1350....0G
1306|HD 236336                                                                                                |Star                              |00 12 16.1495456688 +60 01 44.124705768|118.0534678720527 -02.4712959531649|   8.983 -0.468   |10.61    |A0              |    ~     ~          |    1|  599.018   pc  |  -6.3153     +6.3153  |paral   |2020yCat.1350....0G
1307|BD+59 12                                                                                                 |Classical Cepheid Variable        |00 12 40.0099348848 +60 13 35.154962220|118.1322582666730 -02.2835081598324|  -1.448 -0.888   |10.217   |G0II            |    ~     ~          |    1| 2978.850   pc  |-110.9194   +110.9194  |paral   |2020yCat.1350....0G
1308|HD 236340                                                                                                |Star                              |00 13 09.0868509528 +60 13 05.153948652|118.1905603711164 -02.3007160191662|  -0.561 -1.059   |9.38     |B8              |    ~     ~          |    1|  668.539   pc  |  -7.9556     +7.9556  |paral   |2020yCat.1350....0G
1309|HD 936                                                                                                   |Spectroscopic Binary              |00 13 56.1982409424 +59 59 57.569785692|118.2553115046731 -02.5314677060109|   7.300 -9.270   |6.910    |G7.5IIab        |    ~     ~          |    1|  325.722   pc  |  -7.6070     +7.6070  |paral   |2020yCat.1350....0G
1310|HD 240477                                                                                                |Star                              |00 02 36.4267135632 +59 49 39.946575144|116.8254510395971 -02.4637778638992| -31.492 18.488   |9.28     |G0              |    ~     ~          |    1|  151.274   pc  |  -0.2860     +0.2860  |paral   |2020yCat.1350....0G
1311|HD 240480                                                                                                |Star                              |00 02 44.9512981848 +59 57 35.919363888|116.8678548786912 -02.3372740572673|  -3.630 -2.873   |9.338    |K               |    ~     ~          |    1| 1208.021   pc  | -18.6792    +18.6792  |paral   |2020yCat.1350....0G
1312|HD 240479                                                                                                |Star                              |00 02 43.6966308624 +59 57 39.362212944|116.8654621136029 -02.3358431292332|  -3.747 -1.714   |10.26    |A0              |    ~     ~          |    1| 1141.813   pc  | -22.8154    +22.8154  |paral   |2020yCat.1350....0G
1313|HD 240481                                                                                                |Star                              |00 02 52.0838005512 +59 59 12.946204644|116.8875341220652 -02.3135901913102|  -7.519 -3.979   |9.66     |K0              |    ~     ~          |    1|  611.546   pc  |  -4.4879     +4.4879  |paral   |2020yCat.1350....0G
1314|HD 240483                                                                                                |Star                              |00 03 16.2027146832 +59 57 34.771865832|116.9318873828321 -02.3497653867913|  -0.709 -0.884   |9.66     |B9              |    ~     ~          |    1|  910.581   pc  | -12.6032    +12.6032  |paral   |2020yCat.1350....0G
1315|BD+59 2822                                                                                               |Star                              |00 03 39.1039698768 +59 59 22.858063548|116.9844110949747 -02.3290986471202|   3.779 12.050   |10.71    |F5              |    ~     ~          |    1|  479.916   pc  |  -9.6273     +9.6273  |paral   |2020yCat.1350....0G
1316|HD 240489                                                                                                |Star                              |00 04 15.3202759056 +60 09 18.049971960|117.0887952398917 -02.1803604106864|  -5.005 -2.279   |8.8      |B0              |    ~     ~          |    1| 2081.599   pc  | -86.6611    +86.6611  |paral   |2020yCat.1350....0G
1317|HD 236313                                                                                                |Double or Multiple Star           |00 09 07.0950726816 +59 38 15.207760032|117.6004273246195 -02.7953985843282|   0.235 25.062   |9.82     |K               |    ~     ~          |    1|  308.375   pc  |  -1.1792     +1.1792  |paral   |2020yCat.1350....0G
1318|HD 236314                                                                                                |Pulsating Variable                |00 09 08.8617521376 +59 37 53.314589244|117.6031069906582 -02.8020067231638|   0.684 -1.372   |9.66     |A2              |    ~     ~          |    1|  953.925   pc  | -22.5673    +22.5673  |paral   |2020yCat.1350....0G
1319|HD 236323                                                                                                |Star                              |00 10 00.8027842200 +59 40 09.139525572|117.7172591243229 -02.7824719878339| -3.548 -12.225   |8.95     |A0              |    ~     ~          |    1|  283.696   pc  |  -1.1268     +1.1268  |paral   |2020yCat.1350....0G
1320|HD 593                                                                                                   |Star                              |00 10 34.6609238280 +59 40 24.269874564|117.7883419381718 -02.7896565174781|   7.714 -2.962   |6.695    |B1V             |    ~     ~          |    1|  441.209   pc  |  -5.1781     +5.1781  |paral   |2020yCat.1350....0G
1321|HD 697                                                                                                   |Star                              |00 11 33.3752146392 +59 45 43.677158472|117.9242031003960 -02.7212831255335|  -7.205 -2.912   |7.74     |G8III           |    ~     ~          |    1|  715.410   pc  |  -8.1378     +8.1378  |paral   |2020yCat.1350....0G
1322|HD 236344                                                                                                |Star                              |00 13 47.8191480408 +59 47 48.871946364|118.2085066397306 -02.7291866675103|   -0.720 0.070   |9.50     |K0              |    ~     ~          |    1|  713.063   pc  |  -5.9998     +5.9998  |paral   |2020yCat.1350....0G
1323|HD 236346                                                                                                |Star                              |00 13 56.6650851336 +59 25 42.041561880|118.1733104993271 -03.0965440638870|  -2.915 -2.397   |8.94     |F0I             |    ~     ~          |    1| 1381.788   pc  | -27.3035    +27.3035  |paral   |2020yCat.1350....0G
1324|HD 240482                                                                                                |Spectroscopic Binary              |00 03 01.6677398232 +59 26 27.424353012|116.8050859459298 -02.8536957408019|  39.730 19.536   |9.53     |F8              |    ~     ~          |    1|  179.144   pc  |  -2.8594     +2.8594  |paral   |2020yCat.1350....0G
1325|HD 236303                                                                                                |Star                              |00 06 59.8522989144 +59 44 43.157610492|117.3544450932268 -02.6443067598719|    2.004 0.711   |9.81     |A7              |    ~     ~          |    1|  950.661   pc  | -12.6526    +12.6526  |paral   |2020yCat.1350....0G
1326|HD 236305                                                                                                |Variable Star                     |00 07 09.4197498408 +59 47 14.016121836|117.3814306965256 -02.6064614775003|   -7.180 6.565   |9.33     |M2              |    ~     ~          |    1|  774.413   pc  | -11.8144    +11.8144  |paral   |2020yCat.1350....0G
1327|IRAS 00045+5941                                                                                          |Star                              |00 07 11.1867035616 +59 58 16.947482124|117.4165935023456 -02.4256578566911|    3.754 1.535   |9.24     |~               |    ~     ~          |    1|  784.498   pc  | -15.9398    +15.9398  |paral   |2020yCat.1350....0G
1328|DO 22882                                                                                                 |Long-Period Variable Candidate    |00 12 08.1803007216 +61 15 47.197310292|118.2247009942000 -01.2489239921185|   4.048 -4.729   |10.97    |M6.5            |    ~     ~          |    1|  842.886   pc  | -33.0362    +33.0362  |paral   |2020yCat.1350....0G
1329|TYC 4014-1920-1                                                                                          |Star                              |00 13 00.0267530424 +61 07 41.580943212|118.3073583147066 -01.3979256719032|  -2.795 -0.172   |10.39    |M2              |    ~     ~          |    1| 1176.194   pc  | -27.3920    +27.3920  |paral   |2020yCat.1350....0G
1330|TYC 4014-2515-1                                                                                          |Star                              |00 03 17.5093867104 +60 53 25.047058740|117.1074796275244 -01.4358262253969| -19.140 -5.163   |10.64    |~               |    ~     ~          |    1|  286.066   pc  |  -1.0147     +1.0147  |paral   |2020yCat.1350....0G
1331|TYC 4014-2453-1                                                                                          |Star                              |00 14 32.3720179728 +60 57 19.495581048|118.4665492185418 -01.5960204785372|  -2.408 -0.352   |10.23    |B5              |    ~     ~          |    1| 1715.854   pc  | -35.9187    +35.9187  |paral   |2020yCat.1350....0G
1332|TYC 4014-1686-1                                                                                          |Star                              |00 00 13.8625488504 +61 04 47.351066952|116.7793980823387 -01.1787499358554|   0.605 -1.076   |9.8      |A0V             |    ~     ~          |    1| 1011.327   pc  | -14.4212    +14.4212  |paral   |2020yCat.1350....0G
1333|BD+60 2652                                                                                               |Star                              |00 00 41.3415822312 +61 29 42.013651668|116.9148798498559 -00.7824502775320|    2.897 0.624   |10.01    |B9V             |    ~     ~          |    1|  722.335   pc  |  -8.0874     +8.0874  |paral   |2020yCat.1350....0G
1334|BD+60 2654                                                                                               |Star                              |00 00 47.7039762456 +60 48 49.803211152|116.7943643146240 -01.4530002263359|    -2.10 -6.50   |9.8      |B8III           |    ~     ~          |    0|                |                       |        |                   
1335|BD+60 2655                                                                                               |Star                              |00 01 16.3820042736 +60 49 18.095555280|116.8530630281688 -01.4566068372004|  -1.326 -1.666   |10.0     |B7V             |    ~     ~          |    1|  727.961   pc  | -12.9832    +12.9832  |paral   |2020yCat.1350....0G
1336|HD 224868                                                                                                |Star                              |00 01 21.6203790096 +60 50 21.125210064|116.8668870126815 -01.4414830565611|  -0.107 -1.057   |7.291    |B0Ib            |    ~     ~          |    1|  790.451   pc  | -55.3585    +55.3585  |paral   |2020yCat.1350....0G
1337|HD 224893                                                                                                |Star                              |00 01 37.0160378616 +61 13 22.079486208|116.9712368761491 -01.0710381995119|   -1.765 0.027   |5.567    |A8II            |    ~     ~          |    1|  723.327   pc  | -27.2065    +27.2065  |paral   |2020yCat.1350....0G
1338|BD+60 2658                                                                                               |Star                              |00 01 45.8370029424 +60 59 21.730637076|116.9439092440031 -01.3035432102087|  31.164 -1.301   |9.0      |A5V             |    ~     ~          |    1|  256.654   pc  |  -0.9024     +0.9024  |paral   |2020yCat.1350....0G
1339|HD 224754                                                                                                |Long-Period Variable Candidate    |00 00 18.1379236224 +60 21 01.564105176|116.6441010887283 -01.8955392507762|  -6.934 -1.695   |8.46     |M4.5Ib-II       |    ~     ~          |    1|  735.619   pc  | -14.1777    +14.1777  |paral   |2020yCat.1350....0G
1340|TYC 4014-3283-1                                                                                          |Star                              |00 00 26.0046122400 +60 25 39.326484000|116.6751799333332 -01.8230788583869|  29.097 11.999   |10.69    |K               |    ~     ~          |    1|   97.425   pc  |  -0.1130     +0.1130  |paral   |2020yCat.1350....0G
1341|TYC 4014-1005-1                                                                                          |Star                              |00 00 24.7733033928 +60 25 31.105994628|116.6722468946097 -01.8248200337605|  28.226 11.724   |10.29    |K               |    ~     ~          |    1|   97.960   pc  |  -0.1324     +0.1324  |paral   |2020yCat.1350....0G
1342|HD 240473                                                                                                |Star                              |00 00 31.9811959176 +60 24 29.136027600|116.6834102103678 -01.8446104948618|  -5.604 -1.457   |9.89     |B8              |    ~     ~          |    1|  759.129   pc  | -10.6035    +10.6035  |paral   |2020yCat.1350....0G
1343|HD 240474                                                                                                |Spectroscopic Binary              |00 01 03.4881393000 +60 23 24.472348512|116.7435352318691 -01.8748829269386| 10.545 -11.858   |9.41     |G5              |    ~     ~          |    1|  425.767   pc  |  -6.1453     +6.1453  |paral   |2020yCat.1350....0G
1344|TYC 4014-1435-1                                                                                          |Star                              |00 01 37.5102810864 +60 19 54.282144792|116.8010780214741 -01.9457074439541|  -2.101 -2.471   |10.26    |~               |    ~     ~          |    1| 1058.313   pc  | -61.3775    +61.3775  |paral   |2020yCat.1350....0G
1345|BD+59 2811                                                                                               |Star                              |00 01 15.4270815000 +60 32 39.875727516|116.7975149396299 -01.7282805650412|   14.922 0.452   |9.85     |~               |    ~     ~          |    1|  334.829   pc  |  -1.7489     +1.7489  |paral   |2020yCat.1350....0G
1346|HD 224869                                                                                                |Emission-line Star                |00 01 23.6324677464 +60 21 19.696002120|116.7775547875371 -01.9169182564812|   2.078 -3.700   |8.33     |B2ne            |    ~     ~          |    1|  918.105   pc  | -31.9465    +31.9465  |paral   |2020yCat.1350....0G
1347|HD 224905                                                                                                |Be Star                           |00 01 38.6347030992 +60 26 59.726569560|116.8260522126773 -01.8301712896581|  -3.198 -1.531   |8.4      |B2              |    ~     ~          |    1| 1290.822   pc  | -30.3252    +30.3252  |paral   |2020yCat.1350....0G
1348|V* V822 Cas                                                                                              |Long-Period Variable              |00 02 17.7055622448 +60 42 11.404671732|116.9529092789070 -01.5968259620176| -8.963 -11.082   |6.753    |M0              |    ~     ~          |    1|  387.717   pc  |  -3.8784     +3.8784  |paral   |2020yCat.1350....0G
1349|HD 240476                                                                                                |High Proper Motion Star           |00 02 17.9518541544 +60 30 21.530305584|116.9160300760933 -01.7905376246369|-71.476 -98.518   |9.71     |K5              |    ~     ~          |    1|   38.227   pc  |  -0.0170     +0.0170  |paral   |2020yCat.1350....0G
1350|V* WZ Cas                                                                                                |Carbon Star                       |00 01 15.8567946264 +60 21 19.025920224|116.7617868074076 -01.9140056737313|  10.693 -5.672   |7.13     |C-N7III:        |    ~     ~          |    1|  471.098   pc  |  -6.5914     +6.5914  |paral   |2020yCat.1350....0G
1351|V* V654 Cas                                                                                              |Eclipsing Binary                  |00 00 20.6448851184 +60 59 43.121746320|116.7761626405861 -01.2642977303907|  -0.997 -1.493   |10.96    |B3              |    ~     ~          |    1| 1478.197   pc  | -44.7938    +44.7938  |paral   |2020yCat.1350....0G
1352|HD 240472                                                                                                |Star                              |00 00 10.7577523728 +59 48 48.948613704|116.5230583951478 -02.4187976839636|   3.717 -0.709   |9.69     |A0              |    ~     ~          |    0|                |                       |        |                   
1353|HD 224940                                                                                                |High Proper Motion Star           |00 02 04.5905212632 +59 56 24.363306276|116.7813316258878 -02.3408686717538| 113.301 36.520   |7.960    |G9III           |    ~     ~          |    1|  261.698   pc  |  -1.3560     +1.3560  |paral   |2020yCat.1350....0G
1354|HD 240475                                                                                                |Spectroscopic Binary              |00 02 12.3920538216 +59 57 55.243898568|116.8021278148531 -02.3191789204417|  14.033 -0.367   |8.85     |G9II-III        |    ~     ~          |    1|  381.069   pc  |  -3.0930     +3.0930  |paral   |2020yCat.1350....0G
1355|HD 224784                                                                                                |High Proper Motion Star           |00 00 30.8875627152 +59 33 34.850960676|116.5145439318235 -02.6760778941979|-81.473 -23.455   |6.177    |G9III-IV        |    ~     ~          |    1|  126.336   pc  |  -0.3160     +0.3160  |paral   |2020yCat.1350....0G
1356|TYC 3664-1262-1                                                                                          |Star                              |00 00 28.2133770624 +59 31 53.518784952|116.5034651712181 -02.7025680146730|    3.380 0.279   |10.17    |~               |    ~     ~          |    1|  599.089   pc  |  -4.0198     +4.0198  |paral   |2020yCat.1350....0G
1357|BD+58 2689                                                                                               |Star                              |00 02 26.4639358056 +59 42 52.716058308|116.7835422242482 -02.5709219510460|  -3.441 -5.805   |10.35    |~               |    ~     ~          |    1|  802.504   pc  |  -9.4670     +9.4670  |paral   |2020yCat.1350....0G
1358|Cl Berkeley 58                                                                                           |Open Cluster                      |00 00 15.1 +60 56 13                   |116.7537 -01.3193                  |  -3.498 -1.782   |9.7      |~               | 7.2   7.2           |    1| 3468.0     pc  |                       |paral   |2021A&A...651A.104P
1359|BD+60 2660                                                                                               |Star                              |00 02 59.1077713992 +61 22 05.363718456|117.1601051264648 -00.9594252495611|  -1.096 -1.256   |9.66     |M3Ib-II         |    ~     ~          |    1| 1122.712   pc  | -22.3106    +22.3106  |paral   |2020yCat.1350....0G
1360|BD+59 11                                                                                                 |Star                              |00 12 36.5044781880 +60 28 17.813711892|118.1619279249009 -02.0400171458193|  4.254 -13.527   |9.59     |M3              |    ~     ~          |    1|  578.001   pc  |  -6.8153     +6.8153  |paral   |2020yCat.1350....0G
1361|TYC 3664-47-1                                                                                            |Star                              |00 12 55.6786551264 +59 55 17.284200996|118.1188648396656 -02.5899144811502|   7.833 -2.604   |10.78    |~               |    ~     ~          |    1|  432.788   pc  |  -2.5286     +2.5286  |paral   |2020yCat.1350....0G
1362|TYC 3664-95-1                                                                                            |Star                              |00 10 37.8578783664 +59 58 24.493589544|117.8423910094586 -02.4944158790121|   1.179 -9.900   |10.86    |~               |    ~     ~          |    1|  473.037   pc  |  -2.6404     +2.6404  |paral   |2020yCat.1350....0G
1363|TYC 3664-193-1                                                                                           |Star                              |00 06 50.8029954480 +59 18 56.329143228|117.2615921528577 -03.0642895380008|  16.394 -6.997   |9.34     |~               |    ~     ~          |    1|  573.987   pc  |  -4.7113     +4.7113  |paral   |2020yCat.1350....0G
1364|TYC 3664-203-1                                                                                           |Star                              |00 07 24.4766619696 +59 50 10.730383764|117.4209288972184 -02.5634750406969|   9.333 -3.896   |10.57    |~               |    ~     ~          |    1|  368.297   pc  |  -1.7769     +1.7769  |paral   |2020yCat.1350....0G
1365|TYC 3664-205-1                                                                                           |Star                              |00 13 07.6414049184 +59 26 08.714782068|118.0714932630972 -03.0739727903985|-15.798 -14.267   |10.59    |~               |    ~     ~          |    1|  225.256   pc  |  -0.5987     +0.5987  |paral   |2020yCat.1350....0G
1366|TYC 3664-220-1                                                                                           |Star                              |00 12 08.5821595704 +59 10 05.317265820|117.9068404400769 -03.3196780310166|   16.485 5.464   |10.27    |~               |    ~     ~          |    1|  463.886   pc  |  -4.1962     +4.1962  |paral   |2020yCat.1350....0G
1367|TYC 3664-295-1                                                                                           |Star                              |00 02 36.1563455112 +59 25 19.372698372|116.7483691380605 -02.8621196616899|   -7.563 0.255   |10.76    |~               |    ~     ~          |    1|  425.206   pc  |  -7.9914     +7.9914  |paral   |2020yCat.1350....0G
1368|TYC 3664-338-1                                                                                           |Star                              |00 08 40.0302473880 +59 45 59.261852988|117.5654690144339 -02.6588935906793|  -8.985 17.397   |9.98     |~               |    ~     ~          |    1|  164.498   pc  |  -0.3626     +0.3626  |paral   |2020yCat.1350....0G
1369|TYC 3664-353-1                                                                                           |Star                              |00 05 26.5457685192 +59 53 26.413956240|117.1872076941411 -02.4670589249829|   7.826 -6.264   |10.91    |~               |    ~     ~          |    1|  461.382   pc  |  -6.3649     +6.3649  |paral   |2020yCat.1350....0G
1370|TYC 3664-405-1                                                                                           |Star                              |00 03 54.6198130512 +59 20 05.199869940|116.8959536188129 -02.9788362454048| -3.070 -22.500   |10.60    |~               |    ~     ~          |    1|  201.706   pc  |  -0.4638     +0.4638  |paral   |2020yCat.1350....0G
1371|TYC 3664-477-1                                                                                           |Star                              |00 04 00.2714723544 +59 27 59.224235616|116.9319201040345 -02.8515910526635|    2.564 0.399   |10.32    |~               |    ~     ~          |    1|  535.963   pc  |  -3.7918     +3.7918  |paral   |2020yCat.1350....0G
1372|TYC 3664-522-1                                                                                           |Star                              |00 07 43.5748716192 +59 57 19.209626208|117.4804944442515 -02.4529398134618|  -1.176 -1.287   |10.95    |~               |    ~     ~          |    1|  773.934   pc  | -11.3206    +11.3206  |paral   |2020yCat.1350....0G
1373|TYC 3664-548-1                                                                                           |Star                              |00 13 03.7835630640 +59 51 27.421710876|118.1261283978712 -02.6555748094280| 39.647 -14.818   |10.32    |~               |    ~     ~          |    1|  209.666   pc  |  -0.4704     +0.4704  |paral   |2020yCat.1350....0G
1374|TYC 3664-610-1                                                                                           |Star                              |00 04 53.0562771384 +59 41 22.907087160|117.0821149794237 -02.6522556055314|   1.524 -6.349   |9.85     |~               |    ~     ~          |    1|  722.596   pc  | -11.0172    +11.0172  |paral   |2020yCat.1350....0G
1375|TYC 3664-620-1                                                                                           |Star                              |00 03 35.3352944376 +59 54 51.761275452|116.9627709041729 -02.4016597633598| -2.981 -11.485   |10.60    |~               |    ~     ~          |    1|  318.471   pc  |  -1.3287     +1.3287  |paral   |2020yCat.1350....0G
1376|GSC 03664-00637                                                                                          |Double or Multiple Star           |00 03 02.588352 +59 07 59.74500        |116.749450248 -03.156333086        |       0.8 -1.9   |10.254   |~               |    ~     ~          |    0|                |                       |        |                   
1377|GSC 03664-00668                                                                                          |Double or Multiple Star           |00 10 19.8444903144 +59 36 01.224312732|117.7458979479366 -02.8568550439903|     -9.1 -11.1   |10.708   |~               |    ~     ~          |    0|                |                       |        |                   
1378|TYC 3664-684-1                                                                                           |Star                              |00 12 42.4437678816 +59 37 03.790954056|118.0459378374470 -02.8861028892189|  -0.706 -0.718   |10.66    |~               |    ~     ~          |    1| 1386.386   pc  | -33.0595    +33.0595  |paral   |2020yCat.1350....0G
1379|TYC 3664-692-1                                                                                           |Star                              |00 00 18.7785348024 +59 38 13.289166204|116.5047145004518 -02.5952224888313|  -5.209 -0.752   |10.81    |~               |    ~     ~          |    1|  748.783   pc  | -15.0261    +15.0261  |paral   |2020yCat.1350....0G
1380|TYC 3664-717-1                                                                                           |Star                              |00 03 51.3075148536 +59 24 52.846962408|116.9037219333972 -02.8990016249185|    2.664 9.372   |10.71    |~               |    ~     ~          |    1|  270.482   pc  |  -0.8340     +0.8340  |paral   |2020yCat.1350....0G
1381|TYC 3664-739-1                                                                                           |Star                              |00 07 29.3023606680 +59 04 22.573321644|117.3010633187164 -03.3174770672583|  -1.070 -1.773   |10.30    |~               |    ~     ~          |    1| 1149.425   pc  | -19.8177    +19.8177  |paral   |2020yCat.1350....0G
1382|TYC 3664-843-1                                                                                           |Star                              |00 02 29.4668392896 +59 23 48.021756936|116.7296284551773 -02.8843631993437|  -2.604 -7.881   |10.72    |~               |    ~     ~          |    1|  540.570   pc  |  -3.8865     +3.8865  |paral   |2020yCat.1350....0G
1383|TYC 3664-851-1                                                                                           |Star                              |00 02 40.6061793456 +59 07 49.480041684|116.7026855644137 -03.1503219087504|   4.826 -0.774   |9.80     |~               |    ~     ~          |    1|  474.766   pc  |  -2.8626     +2.8626  |paral   |2020yCat.1350....0G
1384|TYC 3664-1005-1                                                                                          |Star                              |00 05 44.5628637936 +59 15 16.675971480|117.1119226241166 -03.0997797753703|  -2.216 -1.473   |10.48    |~               |    ~     ~          |    1| 2367.985   pc  | -74.0170    +74.0170  |paral   |2020yCat.1350....0G
1385|TYC 3664-1090-1                                                                                          |Star                              |00 09 30.9997805088 +59 46 20.936138448|117.6720532202645 -02.6704563215374|-10.406 -14.992   |10.11    |~               |    ~     ~          |    1|  317.904   pc  |  -1.1925     +1.1925  |paral   |2020yCat.1350....0G
1386|TYC 3664-1131-1                                                                                          |Spectroscopic Binary              |00 06 27.8950683336 +59 03 19.636008480|117.1682599704218 -03.3120936957158|   0.033 -3.563   |10.67    |~               |    ~     ~          |    1| 1043.950   pc  | -14.0588    +14.0588  |paral   |2020yCat.1350....0G
1387|TYC 3664-1152-1                                                                                          |Star                              |00 03 18.8082384528 +59 35 40.491572820|116.8693734561668 -02.7095032634344|  -2.737 -0.295   |10.60    |~               |    ~     ~          |    1|  846.597   pc  | -14.5495    +14.5495  |paral   |2020yCat.1350....0G
1388|TYC 3664-1165-1                                                                                          |Star                              |00 05 28.2771973872 +59 09 57.224989296|117.0619497173603 -03.1809640271222|   0.498 -3.048   |10.82    |~               |    ~     ~          |    1|  931.185   pc  | -11.7926    +11.7926  |paral   |2020yCat.1350....0G
1389|TYC 3664-1185-1                                                                                          |Star                              |00 03 58.7550493488 +59 07 06.832836084|116.8649258318274 -03.1929994366110|  -34.684 9.460   |10.75    |~               |    ~     ~          |    1|  145.446   pc  |  -0.2433     +0.2433  |paral   |2020yCat.1350....0G
1390|TYC 3664-1202-1                                                                                          |Star                              |00 04 51.7758944520 +59 33 50.336030484|117.0568317241184 -02.7754364581028|   2.329 -3.330   |10.82    |~               |    ~     ~          |    1|  786.225   pc  | -28.8058    +28.8058  |paral   |2020yCat.1350....0G
1391|TYC 3664-1220-1                                                                                          |Star                              |00 10 04.9564625376 +59 29 48.647845680|117.6982973371812 -02.9540111531495|   12.816 2.486   |10.42    |~               |    ~     ~          |    1|  493.510   pc  |  -3.3854     +3.3854  |paral   |2020yCat.1350....0G
1392|TYC 3664-1286-1                                                                                          |Star                              |00 01 37.1918189952 +59 49 20.752672008|116.7025317121090 -02.4454112224291|    5.875 1.081   |10.21    |~               |    ~     ~          |    1|  759.071   pc  |  -7.4905     +7.4905  |paral   |2020yCat.1350....0G
