C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:24:04

dec >=0&rah >=1.5&rah< 1.75&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 5048

 #  |                                                                                                                     identifier                                                                                                                      |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
1564|BD+59 292                                                                                                                                                                                                                                            |Star                              |01 37 50.0214988320 +60 12 44.294655060|128.6684397904361 -02.1416717477465|   4.018 -4.595   |9.45     |B9                |    ~     ~    |    1|  507.872   pc  |  -6.0099     +6.0099  |paral   |2020yCat.1350....0G
1565|BD+59 294                                                                                                                                                                                                                                            |Star                              |01 38 15.3450840288 +60 09 00.173792952|128.7312953450388 -02.1934745450214|  24.501 -4.374   |10.22    |F2                |    ~     ~    |    1|  313.107   pc  |  -1.3137     +1.3137  |paral   |2020yCat.1350....0G
1566|TYC 4031-3029-1                                                                                                                                                                                                                                      |Spectroscopic Binary              |01 39 09.3880086864 +60 09 48.186275580|128.8391166192237 -02.1599236759439| -4.116 -13.737   |10.56    |F8V               |    ~     ~    |    1|  282.111   pc  |  -5.2846     +5.2846  |paral   |2020yCat.1350....0G
1567|TYC 4031-2937-1                                                                                                                                                                                                                                      |Star                              |01 40 02.6111135016 +60 04 18.352514784|128.9647944500716 -02.2294213766736|  -1.650 -2.993   |10.31    |M2                |    ~     ~    |    1|  952.472   pc  | -16.2389    +16.2389  |paral   |2020yCat.1350....0G
1568|TYC 4031-3104-1                                                                                                                                                                                                                                      |Pulsating Variable                |01 39 45.7194475128 +60 13 37.210234476|128.9013153794403 -02.0834684396579|  -2.702 -0.440   |10.91    |B5                |    ~     ~    |    1| 1114.703   pc  | -26.3423    +26.3423  |paral   |2020yCat.1350....0G
1569|BD+59 301                                                                                                                                                                                                                                            |Star                              |01 40 54.0161981040 +59 57 22.357136916|129.0918644918614 -02.3226459796756|  -1.112 -0.377   |10.43    |B3                |    ~     ~    |    1| 3122.073   pc  |-198.8457   +198.8457  |paral   |2020yCat.1350....0G
1570|TYC 3683-1317-1                                                                                                                                                                                                                                      |Star                              |01 41 41.2857688032 +59 59 22.495761708|129.1822423892342 -02.2709498364841|   3.296 -5.152   |10.5     |A                 |    ~     ~    |    1|  578.369   pc  | -10.5371    +10.5371  |paral   |2020yCat.1350....0G
1571|BD+59 262                                                                                                                                                                                                                                            |Star                              |01 30 26.6461330896 +60 32 19.825720368|127.7133123414475 -01.9702842978923|  -1.583 -0.715   |10.47    |B3                |    ~     ~    |    1| 2358.491   pc  |-135.1682   +135.1682  |paral   |2020yCat.1350....0G
1572|BD+60 252                                                                                                                                                                                                                                            |Star                              |01 31 13.4113017144 +60 46 59.946694824|127.7704647466646 -01.7141171156338|  -2.390 -0.369   |10.02    |B5                |    ~     ~    |    1| 1283.532   pc  | -21.9112    +21.9112  |paral   |2020yCat.1350....0G
1573|BD+59 265                                                                                                                                                                                                                                            |Star                              |01 31 34.6386964368 +60 36 27.835807428|127.8403943188081 -01.8809083174792|  -1.485 -0.968   |10.39    |B2                |    ~     ~    |    1| 2152.389   pc  | -69.4917    +69.4917  |paral   |2020yCat.1350....0G
1574|BD+60 262                                                                                                                                                                                                                                            |Pulsating Variable                |01 32 43.6194381552 +60 58 11.841164976|127.9219581603669 -01.5011268809923|  -9.305 -0.215   |10.78    |A5                |    ~     ~    |    1|  585.857   pc  |  -6.1095     +6.1095  |paral   |2020yCat.1350....0G
1575|GSC 04031-00082                                                                                                                                                                                                                                      |Double or Multiple Star           |01 32 48.6949299480 +60 17 12.545444616|128.0413680720166 -02.1738384006538|    0.993 2.206   |10.453   |G5III             |    ~     ~    |    1|  682.687   pc  | -25.0275    +25.0275  |paral   |2020yCat.1350....0G
1576|TYC 4031-1142-1                                                                                                                                                                                                                                      |Spectroscopic Binary              |01 33 37.7014991976 +60 22 51.460699188|128.1259636748244 -02.0646122231708|124.259 -63.142   |10.89    |K2III             |    ~     ~    |    1|  102.434   pc  |  -0.1521     +0.1521  |paral   |2020yCat.1350....0G
1577|TYC 4031-912-1                                                                                                                                                                                                                                       |Star                              |01 33 54.2030119104 +60 51 07.894359828|128.0821651221270 -01.5942072305738|   -3.563 0.499   |10.65    |B5                |    ~     ~    |    1| 1168.224   pc  | -52.5428    +52.5428  |paral   |2020yCat.1350....0G
1578|BD+59 278                                                                                                                                                                                                                                            |Star                              |01 34 27.3483226008 +60 29 05.496665352|128.2095958675739 -01.9453296463834|  -1.405 -0.422   |9.71     |B2                |    ~     ~    |    1| 2560.819   pc  |-140.3368   +140.3368  |paral   |2020yCat.1350....0G
1579|TYC 4031-2607-1                                                                                                                                                                                                                                      |Star                              |01 34 32.7637837896 +60 57 40.698555336|128.1412043298121 -01.4736853387895|  -3.274 -2.784   |10.70    |B8                |    ~     ~    |    1|  801.603   pc  |  -9.1245     +9.1245  |paral   |2020yCat.1350....0G
1580|BD+59 281                                                                                                                                                                                                                                            |Pulsating Variable                |01 34 55.8231836520 +60 22 02.780006340|128.2869952542690 -02.0513167362779|  -0.392 -2.341   |10.52    |B8                |    ~     ~    |    1| 1015.332   pc  | -17.6284    +17.6284  |paral   |2020yCat.1350....0G
1581|TYC 4031-2018-1                                                                                                                                                                                                                                      |Star                              |01 35 11.7987225384 +60 22 43.789774836|128.3175309649158 -02.0345433936792|  9.917 -17.989   |10.81    |G8III             |    ~     ~    |    1|  474.856   pc  |  -3.3147     +3.3147  |paral   |2020yCat.1350....0G
1582|TYC 4031-974-1                                                                                                                                                                                                                                       |Star                              |01 35 17.0430026352 +60 51 29.652113052|128.2469714822826 -01.5602317653425|  -1.722 -0.679   |10.71    |B1                |    ~     ~    |    1| 2781.641   pc  |-104.4566   +104.4566  |paral   |2020yCat.1350....0G
1583|TYC 4031-1118-1                                                                                                                                                                                                                                      |Star                              |01 36 00.6135729912 +60 28 49.727712612|128.3991464488071 -01.9172645943237|   1.272 -1.274   |10.69    |G8:               |    ~     ~    |    1| 1501.051   pc  | -27.9391    +27.9391  |paral   |2020yCat.1350....0G
1584|TYC 4031-1840-1                                                                                                                                                                                                                                      |Star                              |01 36 10.6462149504 +60 16 16.358880828|128.4556185562838 -02.1198365501723|  -3.552 -3.375   |10.89    |A2                |    ~     ~    |    1|  541.360   pc  |  -7.5612     +7.5612  |paral   |2020yCat.1350....0G
1585|TYC 4031-2267-1                                                                                                                                                                                                                                      |Star                              |01 36 29.6032502184 +61 00 01.806044976|128.3673214188059 -01.3948701968143|  14.310 -6.460   |10.99    |A3                |    ~     ~    |    1|  504.872   pc  |  -3.3646     +3.3646  |paral   |2020yCat.1350....0G
1586|TYC 4031-1221-1                                                                                                                                                                                                                                      |Star                              |01 36 49.4342285688 +61 09 12.502885284|128.3799779864462 -01.2372722990992|  18.760 -2.868   |10.59    |G5V               |    ~     ~    |    1|  277.354   pc  |  -0.9616     +0.9616  |paral   |2020yCat.1350....0G
1587|BD+60 284                                                                                                                                                                                                                                            |Star                              |01 36 54.4773888456 +60 49 42.611849868|128.4470009451928 -01.5554228413631|  -1.335 -0.636   |10.07    |B2                |    ~     ~    |    1| 2917.153   pc  |-136.1565   +136.1565  |paral   |2020yCat.1350....0G
1588|TYC 4031-2831-1                                                                                                                                                                                                                                      |Star                              |01 37 14.8817728800 +60 56 04.364586816|128.4690563281397 -01.4437515725327|   9.126 -5.967   |10.74    |K0III             |    ~     ~    |    1| 1074.345   pc  | -13.9660    +13.9660  |paral   |2020yCat.1350....0G
1589|BD+59 288                                                                                                                                                                                                                                            |Star                              |01 37 28.9849057128 +60 34 56.824063608|128.5597451218347 -01.7851848174541|  3.177 -13.321   |10.25    |F5                |    ~     ~    |    1|  214.878   pc  |  -0.6834     +0.6834  |paral   |2020yCat.1350....0G
1590|TYC 4031-1888-1                                                                                                                                                                                                                                      |Star                              |01 37 44.3508157824 +60 41 06.270409284|128.5723604543345 -01.6786087730537|  -0.792 -0.428   |10.66    |G8:               |    ~     ~    |    1| 2772.387   pc  |-114.5233   +114.5233  |paral   |2020yCat.1350....0G
1591|TYC 4031-784-1                                                                                                                                                                                                                                       |Spectroscopic Binary              |01 37 50.1339617472 +60 54 49.958156088|128.5429988067513 -01.4513926619266| -39.785 -4.146   |10.33    |G0III             |    ~     ~    |    1|  255.898   pc  |  -0.9233     +0.9233  |paral   |2020yCat.1350....0G
1592|TYC 4031-1471-1                                                                                                                                                                                                                                      |Star                              |01 37 52.7424079344 +61 05 59.510557680|128.5148670049013 -01.2674690871856|  -2.147 -2.303   |10.82    |G5III             |    ~     ~    |    1|  753.636   pc  |  -7.6108     +7.6108  |paral   |2020yCat.1350....0G
1593|TYC 4031-3096-1                                                                                                                                                                                                                                      |Star                              |01 38 50.1082586424 +60 16 02.176127688|128.7807886133395 -02.0651231484636|   0.683 -1.199   |10.85    |A0                |    ~     ~    |    1| 1197.461   pc  | -29.8254    +29.8254  |paral   |2020yCat.1350....0G
1594|TYC 4031-1922-1                                                                                                                                                                                                                                      |Star                              |01 39 14.2909319520 +60 36 18.411573312|128.7676177922586 -01.7238956296590|   6.208 -2.274   |10.62    |A5                |    ~     ~    |    1|  833.681   pc  | -15.3600    +15.3600  |paral   |2020yCat.1350....0G
1595|TYC 4031-1871-1                                                                                                                                                                                                                                      |Star                              |01 39 24.9042123168 +61 10 48.631683612|128.6825326708642 -01.1547531368489|  0.717 -27.738   |10.94    |F5                |    ~     ~    |    1|  236.518   pc  |  -0.7776     +0.7776  |paral   |2020yCat.1350....0G
1596|TYC 4031-3218-1                                                                                                                                                                                                                                      |Star                              |01 39 31.9668641472 +60 36 50.015305008|128.8015305025581 -01.7085843263168|  -1.788 -0.314   |10.92    |B3                |    ~     ~    |    1| 3234.153   pc  |-245.8040   +245.8040  |paral   |2020yCat.1350....0G
1597|TYC 4031-1194-1                                                                                                                                                                                                                                      |Star                              |01 39 49.2548612544 +60 37 48.945460728|128.8332196324017 -01.6859268626063| 26.373 -12.455   |10.60    |G5                |    ~     ~    |    1|  563.539   pc  |  -3.8109     +3.8109  |paral   |2020yCat.1350....0G
1598|TYC 4031-870-1                                                                                                                                                                                                                                       |Pulsating Variable                |01 40 00.3459063888 +60 49 33.465784404|128.8188322353817 -01.4894522926582|  -1.007 -0.258   |10.73    |B1                |    ~     ~    |    1| 2965.599   pc  |-180.2929   +180.2929  |paral   |2020yCat.1350....0G
1599|BD+59 299                                                                                                                                                                                                                                            |Star                              |01 40 23.8482154344 +60 34 09.784441740|128.9141822053298 -01.7324438029002|  -1.168 -1.482   |10.41    |B8                |    ~     ~    |    1|  757.461   pc  |  -8.2046     +8.2046  |paral   |2020yCat.1350....0G
1600|BD+59 300                                                                                                                                                                                                                                            |Star                              |01 40 35.6676540840 +60 36 09.723649140|128.9316382746112 -01.6951541082458|  -2.276 -1.297   |10.48    |B5                |    ~     ~    |    1| 1262.467   pc  | -19.9228    +19.9228  |paral   |2020yCat.1350....0G
1601|BD+60 302                                                                                                                                                                                                                                            |Emission-line Star                |01 40 42.7226237880 +61 12 54.286194348|128.8294660790886 -01.0911849331293|  -0.335 -0.061   |10.19    |B2                |    ~     ~    |    1| 3615.329   pc  |-360.7487   +360.7487  |paral   |2020yCat.1350....0G
1602|TYC 4031-2361-1                                                                                                                                                                                                                                      |Star                              |01 40 49.7822466864 +60 59 30.255894312|128.8858997858739 -01.3077495099691|  -2.583 -1.595   |10.93    |B8                |    ~     ~    |    1| 1226.242   pc  | -25.4120    +25.4120  |paral   |2020yCat.1350....0G
1603|TYC 4031-2899-1                                                                                                                                                                                                                                      |High Proper Motion Star           |01 40 49.4400165552 +60 21 46.519435548|129.0049811558007 -01.9251964304465| 57.924 -16.814   |10.53    |G5III             |    ~     ~    |    1|  223.894   pc  |  -1.0126     +1.0126  |paral   |2020yCat.1350....0G
1604|BD+60 304                                                                                                                                                                                                                                            |Star                              |01 41 36.7066342680 +60 59 40.315755912|128.9784357438492 -01.2868173800450|  -15.915 0.185   |10.84    |F5                |    ~     ~    |    0|                |                       |        |                   
1605|BD+59 304                                                                                                                                                                                                                                            |Star                              |01 42 03.8327095776 +60 16 36.856012296|129.1722641206775 -01.9800145921304|  -7.465 -3.196   |10.73    |A3                |    ~     ~    |    1|  454.794   pc  |  -2.7303     +2.7303  |paral   |2020yCat.1350....0G
1606|LF 5 +60 198                                                                                                                                                                                                                                         |Star                              |01 42 41.3048739600 +60 24 20.350685448|129.2227768604120 -01.8386052861130| -1.031 -29.087   |10.42    |G0V               |    ~     ~    |    1|  135.435   pc  |  -0.2274     +0.2274  |paral   |2020yCat.1350....0G
1607|BD+60 315                                                                                                                                                                                                                                            |Star                              |01 43 12.0002958432 +60 47 00.942030708|129.2093282116348 -01.4557180447951|  -1.345 -0.842   |10.35    |G2                |    ~     ~    |    0|                |                       |        |                   
1608|BD+60 316                                                                                                                                                                                                                                            |Star                              |01 43 16.3783516704 +60 53 16.955008296|129.1971978627441 -01.3515961859326|   -5.326 0.703   |10.16    |B9                |    ~     ~    |    1|  661.201   pc  |  -7.4759     +7.4759  |paral   |2020yCat.1350....0G
1609|TYC 4032-2551-1                                                                                                                                                                                                                                      |Star                              |01 44 17.6334301032 +60 45 27.848473164|129.3453815247417 -01.4541476746652|   1.760 -1.746   |10.57    |B8                |    ~     ~    |    1|  892.618   pc  | -17.2898    +17.2898  |paral   |2020yCat.1350....0G
1610|TYC 4032-3064-1                                                                                                                                                                                                                                      |Star                              |01 44 32.0804334432 +60 56 53.627343432|129.3352289487948 -01.2616780296775|  -2.053 -0.310   |10.50    |B9                |    ~     ~    |    1|  798.977   pc  |  -8.6818     +8.6818  |paral   |2020yCat.1350....0G
1611|TYC 4032-1086-1                                                                                                                                                                                                                                      |Star                              |01 44 54.0083075472 +60 29 03.345635328|129.4741808955646 -01.7066140134121|  -8.521 -0.130   |10.51    |A3                |    ~     ~    |    1|  611.883   pc  |  -5.3539     +5.3539  |paral   |2020yCat.1350....0G
1612|TYC 4031-203-1                                                                                                                                                                                                                                       |Star                              |01 30 54.7700764272 +61 18 46.401828624|127.6521510883990 -01.1965556373418|  -2.351 -0.165   |10.90    |B5                |    ~     ~    |    1|  762.893   pc  |  -8.4973     +8.4973  |paral   |2020yCat.1350....0G
1613|TYC 4031-1291-1                                                                                                                                                                                                                                      |Star                              |01 30 59.1644729376 +61 17 17.679564168|127.6646070120962 -01.2195689074211|   -4.832 0.338   |10.83    |B9                |    ~     ~    |    1|  659.065   pc  |  -6.7327     +6.7327  |paral   |2020yCat.1350....0G
1614|GSC 04031-00759                                                                                                                                                                                                                                      |Double or Multiple Star           |01 31 05.8987843752 +61 18 17.971142292|127.6753634671271 -01.2009558384939| -18.436 -2.841   |10.599   |F5                |    ~     ~    |    1|  462.899   pc  |  -2.8713     +2.8713  |paral   |2020yCat.1350....0G
1615|BD+60 258                                                                                                                                                                                                                                            |Pulsating Variable                |01 31 58.4097796608 +61 32 39.859735776|127.7416677884221 -00.9482184901067|   -1.315 0.135   |10.94    |B8                |    ~     ~    |    1| 1775.884   pc  | -52.9832    +52.9832  |paral   |2020yCat.1350....0G
1616|TYC 4031-739-1                                                                                                                                                                                                                                       |Star                              |01 36 18.7734380784 +61 46 23.852900928|128.2119162689962 -00.6375527622980|  15.709 -1.383   |10.38    |F2III             |    ~     ~    |    1|  285.242   pc  |  -1.2611     +1.2611  |paral   |2020yCat.1350....0G
1617|TYC 4035-2151-1                                                                                                                                                                                                                                      |Star                              |01 37 50.7336237528 +61 52 49.279804032|128.3711539199007 -00.5003089699926|   0.744 -3.993   |10.53    |B8                |    ~     ~    |    1|  567.924   pc  |  -4.6123     +4.6123  |paral   |2020yCat.1350....0G
1618|BD+60 290                                                                                                                                                                                                                                            |Star                              |01 38 30.3926892690 +61 43 58.076512568|128.4745479506290 -00.6313760814157|   -6.017 -8.48   |10.04    |A7                |    ~     ~    |    0|                |                       |        |                   
1619|BD+60 291                                                                                                                                                                                                                                            |Star                              |01 38 39.5153679528 +61 29 44.113820388|128.5354488518108 -00.8613493997138|  15.530 -3.601   |10.46    |A5                |    ~     ~    |    1|  520.210   pc  |  -3.8428     +3.8428  |paral   |2020yCat.1350....0G
1620|BD+60 293                                                                                                                                                                                                                                            |Star                              |01 38 49.5393480792 +61 42 10.945887660|128.5171377579723 -00.6537529286326|   6.905 -5.993   |10.38    |A7                |    ~     ~    |    1|  323.792   pc  |  -2.4533     +2.4533  |paral   |2020yCat.1350....0G
1621|BD+60 294                                                                                                                                                                                                                                            |Pulsating Variable                |01 38 56.6511205488 +61 20 49.013080908|128.5961853172896 -01.0012500207972|  -1.397 -0.637   |10.81    |A7                |    ~     ~    |    1| 2666.667   pc  | -90.3111    +90.3111  |paral   |2020yCat.1350....0G
1622|TYC 4031-135-1                                                                                                                                                                                                                                       |Spectroscopic Binary              |01 39 04.9109456544 +61 25 29.761743000|128.5980813857241 -00.9215641451605|   -3.758 0.499   |10.77    |F2                |    ~     ~    |    1|  485.531   pc  |  -2.8289     +2.8289  |paral   |2020yCat.1350....0G
1623|TYC 4035-2208-1                                                                                                                                                                                                                                      |Star                              |01 39 11.0109342480 +61 56 50.076582144|128.5138762459484 -00.4059448976638|   1.476 -4.784   |10.35    |A0                |    ~     ~    |    1|  736.594   pc  |  -9.9290     +9.9290  |paral   |2020yCat.1350....0G
1624|TYC 4031-2549-1                                                                                                                                                                                                                                      |Star                              |01 39 09.6236008944 +61 17 20.355259128|128.6323340391377 -01.0534621453402|  -5.177 -5.741   |10.29    |A5                |    ~     ~    |    1|  347.935   pc  |  -1.7311     +1.7311  |paral   |2020yCat.1350....0G
1625|BD+60 298                                                                                                                                                                                                                                            |Star                              |01 39 29.1288931416 +61 16 25.023022752|128.6735594924595 -01.0613576436234|   9.836 -2.084   |10.35    |A7                |    ~     ~    |    1|  537.577   pc  |  -9.1898     +9.1898  |paral   |2020yCat.1350....0G
1626|TYC 4031-251-1                                                                                                                                                                                                                                       |Star                              |01 40 19.0316948496 +61 17 10.720192704|128.7693604122353 -01.0302202438054|   0.281 -6.462   |10.91    |A0                |    ~     ~    |    1|  841.468   pc  |  -8.9925     +8.9925  |paral   |2020yCat.1350....0G
1627|2MASS J01402877+6152446                                                                                                                                                                                                                              |Red Giant Branch star             |01 40 28.7919588552 +61 52 44.777074188|128.6764962387569 -00.4444246393832|  7.314 -10.375   |10.34    |G8III             |    ~     ~    |    1|  654.579   pc  |  -6.1272     +6.1272  |paral   |2020yCat.1350....0G
1628|BD+60 303                                                                                                                                                                                                                                            |Star                              |01 41 24.8930237616 +61 25 45.689724768|128.8712582695603 -00.8647359831789|   -2.720 0.730   |10.65    |A7                |    ~     ~    |    1|  553.067   pc  |  -4.7412     +4.7412  |paral   |2020yCat.1350....0G
1629|BD+60 309                                                                                                                                                                                                                                            |Star                              |01 42 10.6001981064 +61 42 47.831081904|128.9051210121845 -00.5686133552663| -13.422 -6.576   |10.49    |G5                |    ~     ~    |    1|  352.858   pc  |  -2.4777     +2.4777  |paral   |2020yCat.1350....0G
1630|Cl* NGC 654 STO 20                                                                                                                                                                                                                                   |Spectroscopic Binary              |01 42 15.5098437552 +61 45 19.259071020|128.9063942538627 -00.5254676530790|   17.283 1.388   |10.49    |G2III             |    ~     ~    |    1|  173.172   pc  |  -0.8337     +0.8337  |paral   |2020yCat.1350....0G
1631|Cl* NGC 654 STO 28                                                                                                                                                                                                                                   |Star                              |01 42 20.8697353872 +62 02 39.910599600|128.8600760805433 -00.2399387320133| 22.539 -18.207   |10.33    |G2                |    ~     ~    |    1|  329.457   pc  |  -1.5739     +1.5739  |paral   |2020yCat.1350....0G
1632|Cl* NGC 654 STO 61                                                                                                                                                                                                                                   |Star                              |01 43 27.3434166456 +62 03 06.612118704|128.9858579415428 -00.2069404227318| -13.978 11.804   |10.98    |G5                |    ~     ~    |    1|  120.771   pc  |  -0.2100     +0.2100  |paral   |2020yCat.1350....0G
1633|TYC 4032-1363-1                                                                                                                                                                                                                                      |Star                              |01 43 36.4653735216 +61 15 32.773920192|129.1625464051776 -00.9799449020707|  -0.874 -0.795   |10.97    |B5                |    ~     ~    |    1| 2909.514   pc  |-135.4444   +135.4444  |paral   |2020yCat.1350....0G
1634|TYC 4032-2031-1                                                                                                                                                                                                                                      |Star                              |01 44 15.9970782600 +61 15 32.469060636|129.2401433787885 -00.9640191251288|   9.103 -4.899   |10.60    |A5                |    ~     ~    |    1|  651.423   pc  | -28.1346    +28.1346  |paral   |2020yCat.1350....0G
1635|BD+61 318                                                                                                                                                                                                                                            |Star                              |01 44 49.3295073264 +62 05 39.713584884|129.1338955238458 -00.1328415558867|  -3.324 -0.803   |10.23    |B5                |    ~     ~    |    1|  836.120   pc  | -10.3466    +10.3466  |paral   |2020yCat.1350....0G
1636|TYC 4036-2303-1                                                                                                                                                                                                                                      |Star                              |01 44 53.9890010520 +62 10 39.352616760|129.1256641133257 -00.0495209577060|   0.707 -3.100   |10.70    |A7                |    ~     ~    |    1|  755.401   pc  | -42.1696    +42.1696  |paral   |2020yCat.1350....0G
1637|NGC 654 83                         NGC 654 83                                                                                                                                                                                                        |Star                              |01 44 58.4842159502 +61 55 32.376056304|129.1861221191115 -00.2942547883563| -16.603 -1.129   |11.599   |F5:               |    ~     ~    |    0|                |                       |        |                   
1638|BD+61 307                                                                                                                                                                                                                                            |Star                              |01 39 24.3338228760 +62 17 09.978780732|128.4768729489421 -00.0681105829753|       2.3 -3.8   |10.22    |B8                |    ~     ~    |    0|                |                       |        |                   
1639|BD+59 298                                                                                                                                                                                                                                            |Star                              |01 39 49.6399376856 +60 29 20.807034828|128.8603447024785 -01.8244502981161|  -0.491 -0.835   |9.95     |K:                |    ~     ~    |    1| 2834.467   pc  |-141.4020   +141.4020  |paral   |2020yCat.1350....0G
1640|EM* MWC 691                                                                                                                                                                                                                                          |Double or Multiple Star           |01 31 04.6494862368 +62 23 04.835073120|127.5074946063888 -00.1343963346662|  -1.663 -0.424   |10.893   |B                 |    ~     ~    |    1| 2892.682   pc  |-116.3097   +116.3097  |paral   |2020yCat.1350....0G
1641|LS I +62 167                                                                                                                                                                                                                                         |Star                              |01 31 23.6930338584 +62 19 42.021535224|127.5525351091208 -00.1844021577743|  -1.634 -0.546   |10.78    |OB-               |    ~     ~    |    1| 2745.744   pc  | -91.9771    +91.9771  |paral   |2020yCat.1350....0G
1642|BD+61 282                                                                                                                                                                                                                                            |Star                              |01 31 28.9552349112 +62 21 01.214310564|127.5591918036938 -00.1610953593532| 30.217 -10.377   |9.47     |~                 |    ~     ~    |    1|  790.264   pc  | -15.5505    +15.5505  |paral   |2020yCat.1350....0G
1643|BD+60 311                                                                                                                                                                                                                                            |Emission-line Star                |01 42 45.7900200168 +60 50 47.529157920|129.1446181614445 -01.4046030954161|  -1.019 -0.351   |10.16    |B2III:nn          |    ~     ~    |    1| 2325.041   pc  | -81.6278    +81.6278  |paral   |2020yCat.1350....0G
1644|EM* GGA 50                                                                                                                                                                                                                                           |Emission-line Star                |01 31 48.2280786072 +60 33 32.402166156|127.8754678969433 -01.9247191427470|  -1.829 -0.568   |10.81    |B2Ve              |    ~     ~    |    1| 2965.599   pc  |-226.9053   +226.9053  |paral   |2020yCat.1350....0G
1645|NGC 581 49                         NGC 581 49                                                                                                                                                                                                        |Be Star                           |01 33 10.9704301848 +60 39 31.485877092|128.0267758479970 -01.7993921683177|  -1.313 -1.029   |11.76    |B3Ve              |    ~     ~    |    1| 2896.871   pc  |-142.6617   +142.6617  |paral   |2020yCat.1350....0G
1646|NGC 581 158                        NGC 581 158                                                                                                                                                                                                       |Star                              |01 33 44.8082769672 +60 33 40.065117876|128.1109432640540 -01.8844786011966|  -0.956 -1.169   |12.76    |~                 |    ~     ~    |    1| 1890.717   pc  |-140.4900   +140.4900  |paral   |2020yCat.1350....0G
1647|NGC 581 15                         NGC 581 15                                                                                                                                                                                                        |Star                              |01 32 52.3419643488 +60 39 53.661608100|127.9882309369308 -01.7994237579700|  -1.386 -0.579   |13.46    |~                 |    ~     ~    |    1| 2684.564   pc  | -88.6447    +88.6447  |paral   |2020yCat.1350....0G
1648|NGC 581 43                         NGC 581 43                                                                                                                                                                                                        |Star                              |01 33 10.4742095952 +60 37 30.123007644|128.0312146898272 -01.8328262340228|  -1.468 -0.619   |13.47    |~                 |    ~     ~    |    1| 2836.075   pc  |-100.5415   +100.5415  |paral   |2020yCat.1350....0G
1649|NGC 581 22                         NGC 581 22                                                                                                                                                                                                        |Star                              |01 32 37.8272430720 +60 37 36.025954752|127.9650563242314 -01.8418985152290|  -1.407 -0.661   |8.50     |~                 |    ~     ~    |    1| 2653.224   pc  |-142.9038   +142.9038  |paral   |2020yCat.1350....0G
1650|NGC 581 34                         NGC 581 34                                                                                                                                                                                                        |Star                              |01 33 02.6923985784 +60 37 45.453614700|128.0148243666569 -01.8311840675850|  -1.323 -0.578   |14.37    |~                 |    ~     ~    |    1| 2553.626   pc  |-127.8117   +127.8117  |paral   |2020yCat.1350....0G
1651|NGC 581 38                         NGC 581 38                                                                                                                                                                                                        |Star                              |01 33 12.8285447688 +60 36 29.032997256|128.0387065136388 -01.8487968065077|  -1.410 -0.599   |15.17    |~                 |    ~     ~    |    1| 2783.190   pc  |-161.1198   +161.1198  |paral   |2020yCat.1350....0G
1652|NGC 581 44                         NGC 581 44                                                                                                                                                                                                        |Star                              |01 32 59.2310110536 +60 39 36.947782836|128.0028643396171 -01.8017516438461|  -1.387 -0.523   |14.62    |~                 |    ~     ~    |    1| 2805.836   pc  |-172.4125   +172.4125  |paral   |2020yCat.1350....0G
1653|NGC 581 45                         NGC 581 45                                                                                                                                                                                                        |Star                              |01 33 01.0421508168 +60 40 00.958989288|128.0054436940989 -01.7945746528313|  -1.334 -0.567   |14.37    |~                 |    ~     ~    |    1| 2838.490   pc  |-130.5238   +130.5238  |paral   |2020yCat.1350....0G
