C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
747 |HD 72706                                                                                                 |High Proper Motion Star           |08 33 50.5040161608 -16 13 43.035054276|239.7589394710745 +13.9932225951727| 66.243 115.842   |9.94     |G2/3V          |    ~     ~    |    1|   89.770   pc  |  -0.0967     +0.0967    |paral   |2020yCat.1350....0G
748 |HD 72990                                                                                                 |Star                              |08 35 20.3888651040 -16 12 34.133244444|239.9514454134074 +14.3011906644996| 11.122 -24.299   |10.23    |G8IV/V         |    ~     ~    |    1|  398.772   pc  | -10.3100    +10.3100    |ST-L    |2020AJ....160...83S
749 |HD 73147                                                                                                 |Star                              |08 36 17.3500750043 -16 17 48.161456013|240.1586382719477 +14.4399048470184|     -3.2 -10.5   |10.22    |F3IV           |    ~     ~    |    0|                |                         |        |                   
750 |HD 72046                                                                                                 |Star                              |08 30 08.7966244248 -17 23 46.595821164|240.2426536416945 +12.6062193495624|  8.708 -20.291   |9.88     |F2V            |    ~     ~    |    1|  226.116   pc  |  -0.6493     +0.6493    |paral   |2020yCat.1350....0G
751 |HD 72045                                                                                                 |Star                              |08 30 11.8786275408 -16 49 43.418928720|239.7671523160992 +12.9336465514169|   -4.688 0.915   |8.18     |F0V            |    ~     ~    |    1|  215.424   pc  |  -1.1091     +1.1091    |paral   |2020yCat.1350....0G
752 |HD 72080                                                                                                 |Star                              |08 30 21.5481477264 -16 31 40.314879300|239.5329750690984 +13.1335411332595|   -9.057 2.285   |10.06    |F3/5(V)        |    ~     ~    |    1|  374.476   pc  |  -3.9545     +3.9545    |paral   |2020yCat.1350....0G
753 |HD 72174                                                                                                 |Star                              |08 30 49.7232844104 -17 27 51.538117464|240.3938445716121 +12.7028536840690|    1.517 4.367   |8.78     |G8IV/V         |    ~     ~    |    1|  285.927   pc  |  -1.2917     +1.2917    |paral   |2020yCat.1350....0G
754 |HD 72221                                                                                                 |Star                              |08 31 00.7451451480 -17 00 21.919662324|240.0298106034142 +12.9959916878648|   -5.512 2.557   |9.23     |M3/4III        |    ~     ~    |    1|  565.483   pc  |  -8.0263     +8.0263    |paral   |2020yCat.1350....0G
755 |HD 72282                                                                                                 |Star                              |08 31 19.0964221056 -17 00 19.455088068|240.0712714114839 +13.0569456485272|   -7.525 1.080   |8.86     |A0V            |    ~     ~    |    1|  332.358   pc  |  -2.8720     +2.8720    |paral   |2020yCat.1350....0G
756 |HD 72309                                                                                                 |Star                              |08 31 35.5573256712 -17 27 00.653671980|240.4867427918209 +12.8615400331388|  -2.479 -0.037   |10.93    |A8II           |    ~     ~    |    1|  537.317   pc  |  -9.0943     +9.0943    |paral   |2020yCat.1350....0G
757 |HD 72331                                                                                                 |Spectroscopic Binary              |08 31 40.6320260328 -17 17 28.122920232|240.3634066928160 +12.9675959350764|   2.683 -4.276   |9.75     |M0/1           |    ~     ~    |    1| 1226.392   pc  | -36.3977    +36.3977    |paral   |2020yCat.1350....0G
758 |HD 72377                                                                                                 |Star                              |08 31 58.8602488920 -16 53 05.709206004|240.0600901067150 +13.2557343471066| 13.033 -46.805   |9.19     |F3V            |    ~     ~    |    1|  178.492   pc  |  -0.7073     +0.7073    |paral   |2020yCat.1350....0G
759 |HD 72376                                                                                                 |Star                              |08 32 01.3676393160 -16 31 43.274868348|239.7626605056236 +13.4637250065526| -4.675 -39.617   |9.99     |G8IV/V         |    ~     ~    |    1|   83.636   pc  |  -0.0909     +0.0909    |paral   |2020yCat.1350....0G
760 |HD 72463                                                                                                 |Star                              |08 32 30.3089563512 -16 47 44.584393308|240.0565760662449 +13.4095998142080|  -6.936 -0.612   |9.48     |K1V            |    ~     ~    |    1|  203.604   pc  |  -0.5638     +0.5638    |paral   |2020yCat.1350....0G
761 |HD 72493                                                                                                 |Spectroscopic Binary              |08 32 35.0358762504 -17 21 54.207587052|240.5510827377677 +13.1049259979143|  -7.437 -6.244   |10.171   |G8/K0(III)     |    ~     ~    |    1|  746.139   pc  | -23.9600    +23.9600    |ST-L    |2020AJ....160...83S
762 |HD 72593                                                                                                 |Star                              |08 33 11.4 -16 57 20                   |240.2872 +13.4552                  |            ~ ~   |9.6      |A7/8III        |    ~     ~    |    0|                |                         |        |                   
763 |HD 72624                                                                                                 |Star                              |08 33 19.1365733808 -17 28 31.574597952|240.7462339959212 +13.1874396528334|   1.851 -4.921   |9.99     |F0V            |    ~     ~    |    1|  373.525   pc  |  -2.6090     +2.6090    |paral   |2020yCat.1350....0G
764 |HD 72623                                                                                                 |Star                              |08 33 21.8071477488 -16 59 46.604933628|240.3458102488613 +13.4665206849481|   -5.724 2.903   |9.04     |K4(III)        |    ~     ~    |    1| 1060.558   pc  | -24.9702    +24.9702    |paral   |2020yCat.1350....0G
765 |HD 72707                                                                                                 |Star                              |08 33 46.8252995064 -17 17 31.696613520|240.6547206345727 +13.3818316286251|    5.372 9.319   |9.90     |G8(IV)         |    ~     ~    |    1|  574.614   pc  |  -4.8537     +4.8537    |paral   |2020yCat.1350....0G
766 |HD 72728                                                                                                 |Star                              |08 33 48.0847199328 -17 02 43.767173868|240.4483179366256 +13.5252327428449| -13.549 11.736   |10.51    |F0V            |    ~     ~    |    1|  360.633   pc  |  -2.0159     +2.0159    |paral   |2020yCat.1350....0G
767 |HD 72748                                                                                                 |Star                              |08 33 58.5730613232 -16 58 19.643824308|240.4102704172922 +13.6011353378067|   0.150 -7.356   |9.56     |F3/5V          |    ~     ~    |    1|  505.587   pc  |  -5.9559     +5.9559    |paral   |2020yCat.1350....0G
768 |HD 72829                                                                                                 |Spectroscopic Binary              |08 34 27.4470427920 -16 38 52.897751844|240.2017066380434 +13.8790867732414|   -0.284 0.897   |9.22     |K2/3III        |    ~     ~    |    1| 1052.299   pc  | -40.3069    +40.3069    |paral   |2020yCat.1350....0G
769 |HD 72893                                                                                                 |Spectroscopic Binary              |08 34 44.8723360488 -16 48 39.720329928|240.3807179547777 +13.8444446392885|  -7.026 -9.795   |9.84     |G1V            |    ~     ~    |    1|  413.702   pc  |  -2.4817     +2.4817    |paral   |2020yCat.1350....0G
770 |HD 73021                                                                                                 |High Proper Motion Star           |08 35 29.4207607824 -17 22 03.872539452|240.9565301792570 +13.6753237717220| 8.070 -158.861   |9.82     |G3/5V          |    ~     ~    |    1|   98.763   pc  |  -0.1327     +0.1327    |paral   |2020yCat.1350....0G
771 |HD 73050                                                                                                 |Star                              |08 35 41.4296817720 -17 14 03.814116216|240.8714502794971 +13.7903617748291|  6.533 -12.183   |10.30    |F8/G0V         |    ~     ~    |    1|  202.684   pc  |  -0.6203     +0.6203    |paral   |2020yCat.1350....0G
772 |HD 73114                                                                                                 |Star                              |08 36 04.8600038064 -16 40 14.909795472|240.4476937879350 +14.1869372928896|   -6.809 2.268   |10.16    |B9IV           |    ~     ~    |    1|  796.559   pc  | -22.7788    +22.7788    |paral   |2020yCat.1350....0G
773 |HD 73148                                                                                                 |Star                              |08 36 14.5349961528 -16 37 36.092488944|240.4327778572399 +14.2437602281441|  -0.152 -2.120   |10.30    |A3III          |    ~     ~    |    1|  644.704   pc  | -10.2248    +10.2248    |paral   |2020yCat.1350....0G
774 |HD 73180                                                                                                 |Star                              |08 36 30.0017064624 -17 23 54.311211924|241.1235413035921 +13.8560356177520|  -3.535 -2.154   |8.83     |K2/3III        |    ~     ~    |    1|  816.993   pc  | -13.4163    +13.4163    |paral   |2020yCat.1350....0G
775 |HD 73321                                                                                                 |High Proper Motion Star           |08 37 15.2981360472 -16 38 08.235736512|240.5824791486903 +14.4384224384964| -32.625 50.634   |10.48    |G1/2(V)        |    ~     ~    |    1|  195.603   pc  |  -0.5471     +0.5471    |paral   |2020yCat.1350....0G
776 |V* CT Pyx                                                                                                |BY Dra Variable                   |08 37 15.5383245984 -17 29 40.752023820|241.3113078549179 +13.9498642200709|-116.170 56.866   |8.74     |K1V            |    ~     ~    |    1|   36.172   pc  |  -0.0245     +0.0245    |paral   |2020yCat.1350....0G
777 |HD 73333                                                                                                 |Star                              |08 37 21.0644543376 -16 56 19.349110608|240.8532917361950 +14.2849178405921|   -4.987 1.117   |9.79     |K1(III)        |    ~     ~    |    1|  625.939   pc  |  -5.6419     +5.6419    |paral   |2020yCat.1350....0G
778 |HD 73357                                                                                                 |Star                              |08 37 28.4501245992 -17 13 12.106372620|241.1090495409958 +14.1487545508448|-11.815 -11.556   |9.17     |F0V            |    ~     ~    |    1|  175.685   pc  |  -0.9661     +0.9661    |paral   |2020yCat.1350....0G
779 |HD 72151                                                                                                 |Pulsating Variable                |08 30 45.6482005200 -18 03 20.317006080|240.8857211583097 +12.3573456699312| -22.053 25.215   |8.94     |F0V            |    ~     ~    |    1|  158.932   pc  |  -0.4774     +0.4774    |paral   |2020yCat.1350....0G
780 |HD 72152                                                                                                 |Star                              |08 30 49.2766133520 -18 06 19.032135876|240.9360136310441 +12.3413035871377|  -0.144 15.676   |9.06     |G8/K0III       |    ~     ~    |    1|  284.325   pc  |  -1.4551     +1.4551    |paral   |2020yCat.1350....0G
781 |HD 72222                                                                                                 |Star                              |08 31 00.3564903168 -17 37 32.689231788|240.5550889806950 +12.6472075426695| -11.543 -2.047   |9.97     |K2/3(III)      |    ~     ~    |    1|  977.995   pc  | -16.7383    +16.7383    |paral   |2020yCat.1350....0G
782 |HD 72365                                                                                                 |Star                              |08 31 50.6289973152 -17 53 05.941665708|240.8897745657554 +12.6662768558289|  -4.623 -7.286   |10.44    |A0III          |    ~     ~    |    1|  468.977   pc  |  -7.5659     +7.5659    |paral   |2020yCat.1350....0G
783 |HD 72447                                                                                                 |Star                              |08 32 19.0762511520 -17 55 03.751759128|240.9826892895838 +12.7409580160559|   -2.228 0.372   |9.605    |G8IV           |    ~     ~    |    1|  517.633   pc  | -13.6800    +13.6800    |ST-L    |2020AJ....160...83S
784 |HD 72494                                                                                                 |Star                              |08 32 39.1880022648 -17 37 33.075237432|240.7817354941242 +12.9715313259620| 13.433 -23.460   |9.175    |K0III          |    ~     ~    |    1|  364.625   pc  |  -7.6240     +7.6240    |ST-L    |2020AJ....160...83S
785 |HD 72666                                                                                                 |Star                              |08 33 34.8253994544 -17 46 38.389422864|241.0380951399995 +13.0681413267528|  -4.446 -2.745   |9.39     |A3V            |    ~     ~    |    1|  337.439   pc  |  -2.3684     +2.3684    |paral   |2020yCat.1350....0G
786 |HD 72685                                                                                                 |Star                              |08 33 40.3950330168 -17 30 23.428545588|240.8216025503671 +13.2395825332329|  -16.539 7.967   |10.46    |F3V            |    ~     ~    |    1|  438.251   pc  |  -2.9386     +2.9386    |paral   |2020yCat.1350....0G
787 |HD 72729                                                                                                 |Star                              |08 33 53.0260008072 -17 44 20.516335764|241.0476677168836 +13.1493564831775|   -0.878 0.877   |9.29     |K2III          |    ~     ~    |    1| 1070.435   pc  | -30.5937    +30.5937    |paral   |2020yCat.1350....0G
788 |HD 72764                                                                                                 |Red Giant Branch star Candidate   |08 33 57.3800318568 -17 53 59.514233820|241.1937832394646 +13.0724521088674| -15.035 14.158   |9.39     |G8(IV)         |    ~     ~    |    1|  487.781   pc  |  -3.0693     +3.0693    |paral   |2020yCat.1350....0G
789 |HD 72812                                                                                                 |Star                              |08 34 17.4804450240 -17 49 45.336181080|241.1804861409336 +13.1781480207860|   -6.252 3.222   |10.79    |A5/7(III)      |    ~     ~    |    1|  629.208   pc  |  -7.8785     +7.8785    |paral   |2020yCat.1350....0G
790 |HD 72811                                                                                                 |Star                              |08 34 21.6713209392 -17 43 24.987130104|241.1007902461512 +13.2517649053844|-12.406 -14.852   |9.02     |G8V            |    ~     ~    |    1|  139.299   pc  |  -0.3609     +0.3609    |paral   |2020yCat.1350....0G
791 |HD 72852                                                                                                 |Star                              |08 34 32.4713577408 -17 36 21.420447228|241.0261890372683 +13.3537998591889| -40.096 24.552   |10.32    |G6/8(V)        |    ~     ~    |    1|  322.883   pc  |  -5.8903     +5.8903    |paral   |2020yCat.1350....0G
792 |HD 72865                                                                                                 |Star                              |08 34 36.0691534536 -17 41 15.444040128|241.1036460098384 +13.3192421561173| -38.669 16.601   |10.43    |A3V(+F)        |    ~     ~    |    1|  259.612   pc  |  -1.2267     +1.2267    |paral   |2020yCat.1350....0G
793 |HD 72894                                                                                                 |Star                              |08 34 43.1883754320 -17 46 51.522984984|241.1991061410471 +13.2895196964927|   1.230 -2.713   |9.94     |A4V+F/G        |    ~     ~    |    1|  361.808   pc  |  -2.3956     +2.3956    |paral   |2020yCat.1350....0G
794 |HD 72911                                                                                                 |High Proper Motion Star           |08 34 47.7881556984 -17 41 09.229316928|241.1293172322224 +13.3585264913369|  -55.351 7.438   |9.69     |G2V            |    ~     ~    |    1|  140.590   pc  |  -1.5002     +1.5002    |paral   |2020yCat.1350....0G
795 |HD 73098                                                                                                 |Star                              |08 35 53.6685079560 -17 48 05.358180780|241.3799269000883 +13.5078524428933| -19.416 35.016   |10.22    |F5V            |    ~     ~    |    1|  212.233   pc  |  -0.6982     +0.6982    |paral   |2020yCat.1350....0G
796 |HD 73298                                                                                                 |Star                              |08 37 10.2380526432 -17 36 33.739468488|241.3959424761258 +13.8670716725864|  -3.459 -4.938   |9.61     |G8/K0III       |    ~     ~    |    1|  687.805   pc  |  -5.9608     +5.9608    |paral   |2020yCat.1350....0G
797 |V* SZ Pyx                                                                                                |S Star                            |08 33 08.4042473160 -17 58 54.978394728|241.1503511305217 +12.8659667479004|   -6.822 7.572   |10.33    |S              |    ~     ~    |    1|  930.925   pc  | -34.0582    +34.0582    |paral   |2020yCat.1350....0G
798 |V* V370 Hya                                                                                              |Long-Period Variable              |08 37 13.6069464384 -16 21 40.439997036|240.3452254424078 +14.5886896275700|  -3.789 -0.436   |10.03    |~              |    ~     ~    |    1|  837.731   pc  | -24.1417    +24.1417    |paral   |2020yCat.1350....0G
799 |BD-15 2504                                                                                               |Star                              |08 34 41.9427435312 -16 27 54.897840108|240.0798374421781 +14.0299877403679|   -5.651 0.433   |10.232   |~              |    ~     ~    |    1|  928.616   pc  | -50.4700    +50.4700    |ST-L    |2020AJ....160...83S
800 |BD-15 2465                                                                                               |Star                              |08 30 22.0950290208 -16 25 38.024040684|239.4484270482047 +13.1914613296529| -14.740 14.779   |10.40    |~              |    ~     ~    |    1|  948.767   pc  | -12.4222    +12.4222    |paral   |2020yCat.1350....0G
801 |BD-17 2524                                                                                               |Star                              |08 30 27.4177839528 -17 46 56.401637412|240.6126407872722 +12.4511010804795| -8.954 -12.034   |10.388   |~              |    ~     ~    |    1| 1163.360   pc  | -78.9500    +78.9500    |ST-L    |2020AJ....160...83S
802 |BD-17 2526                                                                                               |Star                              |08 30 34.9063728696 -18 04 58.730767788|240.8843703465508 +12.3067877514645|    0.927 2.513   |9.93     |~              |    ~     ~    |    1|  910.996   pc  | -11.5358    +11.5358    |paral   |2020yCat.1350....0G
803 |BD-15 2469                                                                                               |Star                              |08 30 39.2984023992 -16 06 34.278316812|239.2167112580534 +13.4256102690895|   -2.091 3.394   |10.286   |~              |    ~     ~    |    1| 1926.000   pc  |-195.7000   +195.7000    |ST-L    |2020AJ....160...83S
804 |TYC 5998-487-1                                                                                           |Star                              |08 30 41.7881236104 -16 46 23.284335936|239.7882148904899 +13.0636568381384|   -3.804 1.707   |10.679   |~              |    ~     ~    |    1| 2476.820   pc  |-329.7000   +329.7000    |ST-L    |2020AJ....160...83S
805 |BD-15 2471                                                                                               |Star                              |08 30 44.9482632864 -16 26 22.223920632|239.5112176384051 +13.2604250106107|   -0.409 3.550   |10.071   |~              |    ~     ~    |    1| 1436.510   pc  |-124.5000   +124.5000    |ST-L    |2020AJ....160...83S
806 |TYC 5998-27-1                                                                                            |Star                              |08 30 55.1723096448 -16 12 48.135997584|239.3417587288794 +13.4204912081368|   -4.945 4.517   |10.881   |~              |    ~     ~    |    1| 3064.970   pc  |-447.2000   +447.2000    |ST-L    |2020AJ....160...83S
807 |TYC 6002-313-1                                                                                           |Star                              |08 31 03.2327505384 -17 49 59.070077184|240.7373857505959 +12.5401423809979|  -3.547 -1.021   |10.475   |~              |    ~     ~    |    1| 1262.920   pc  |-103.8000   +103.8000    |ST-L    |2020AJ....160...83S
808 |2MASS J08324558-1730157                                                                                  |Long-Period Variable Candidate    |08 32 45.5838336696 -17 30 15.726730176|240.6934854641906 +13.0610370917189|   -2.079 3.456   |10.873   |~              |    ~     ~    |    1| 2434.730   pc  |-268.3000   +268.3000    |ST-L    |2020AJ....160...83S
809 |BD-17 2542                                                                                               |Star                              |08 32 46.1423063832 -17 54 03.339888804|241.0306349641611 +12.8389939767811|  -11.843 1.969   |10.021   |~              |    ~     ~    |    1| 1209.620   pc  | -79.9000    +79.9000    |ST-L    |2020AJ....160...83S
810 |TYC 6015-2762-1                                                                                          |Star                              |08 32 54.8318097312 -17 48 06.837659712|240.9667992109896 +12.9233849993328|   -8.761 6.056   |10.718   |~              |    ~     ~    |    1| 1547.810   pc  |-131.1000   +131.1000    |ST-L    |2020AJ....160...83S
811 |BD-16 2498                                                                                               |Star                              |08 32 57.6429911088 -16 45 11.900103480|240.0835047891257 +13.5236344202067|  -1.067 -5.063   |10.474   |~              |    ~     ~    |    1|  881.102   pc  | -51.0600    +51.0600    |ST-L    |2020AJ....160...83S
812 |BD-17 2544                                                                                               |Star                              |08 33 13.5202962528 -17 30 22.452158808|240.7593934318003 +13.1516267604600| -2.569 -13.734   |10.61    |~              |    ~     ~    |    1|  953.736   pc  | -34.4000    +34.4000    |ST-L    |2020AJ....160...83S
813 |BD-16 2501                                                                                               |Star                              |08 33 20.1937430736 -16 48 52.302633480|240.1876232500010 +13.5635681453988|  -7.271 -2.966   |10.659   |~              |    ~     ~    |    1| 1525.900   pc  |-133.0000   +133.0000    |ST-L    |2020AJ....160...83S
814 |TYC 6015-2626-1                                                                                          |Star                              |08 33 23.2659304560 -17 42 39.021062112|240.9551676627688 +13.0679341561598|  -0.239 -3.841   |10.326   |~              |    ~     ~    |    1|  732.762   pc  | -23.8200    +23.8200    |ST-L    |2020AJ....160...83S
815 |BD-16 2512                                                                                               |Star                              |08 35 30.0622776600 -16 56 48.306043284|240.6010039323076 +13.9162149345530| -11.957 12.420   |10.861   |~              |    ~     ~    |    1| 4210.090   pc  |-1279.0000   +1279.0000  |ST-L    |2020AJ....160...83S
816 |BD-17 2571                                                                                               |Star                              |08 35 30.8763344088 -17 41 22.112773440|241.2322651051119 +13.4972460928967|   -4.981 6.846   |10.238   |~              |    ~     ~    |    1|  836.146   pc  | -31.9800    +31.9800    |ST-L    |2020AJ....160...83S
817 |BD-16 2515                                                                                               |Star                              |08 35 44.5841168976 -17 19 17.975316468|240.9527437635977 +13.7511333588900|   -2.909 0.853   |10.388   |~              |    ~     ~    |    1|  726.490   pc  | -27.2800    +27.2800    |ST-L    |2020AJ....160...83S
818 |BD-15 2512                                                                                               |Star                              |08 36 02.7406893264 -15 51 39.558214548|239.7530922498644 +14.6378268977555|   -7.630 1.902   |10.209   |~              |    ~     ~    |    1|  729.324   pc  | -23.1900    +23.1900    |ST-L    |2020AJ....160...83S
819 |2MASS J08362091-1701307                                                                                  |Long-Period Variable              |08 36 20.9246182104 -17 01 30.662641704|240.7860640376136 +14.0386166650783|   -4.836 1.164   |10.862   |~              |    ~     ~    |    1| 2387.205   pc  |-116.8243   +116.8243    |paral   |2020yCat.1350....0G
820 |BD-15 2518                                                                                               |Star                              |08 36 48.4447546368 -15 48 42.492504852|239.8180772825083 +14.8168055058798| -21.045 -1.474   |10.31    |~              |    ~     ~    |    1|  310.049   pc  |  -1.5092     +1.5092    |paral   |2020yCat.1350....0G
821 |TYC 6015-2415-1                                                                                          |Star                              |08 37 10.0935420168 -17 10 50.395444644|241.0327434758789 +14.1111723051595| 24.923 -21.729   |10.449   |~              |    ~     ~    |    1|  532.563   pc  | -17.8200    +17.8200    |ST-L    |2020AJ....160...83S
822 |HD 72134                                                                                                 |Star                              |08 30 42.7997700912 -15 58 50.468180268|239.1146908584249 +13.5089870685081| -3.742 -17.071   |9.61     |F2/3V          |    ~     ~    |    1|  287.737   pc  | -11.5992    +11.5992    |paral   |2020yCat.1350....0G
823 |HD 72150                                                                                                 |Star                              |08 30 47.1531733464 -15 57 46.714270536|239.1095432028802 +13.5333323114082|  -0.733 -0.043   |10.52    |A7/8V          |    ~     ~    |    1|  562.841   pc  |  -5.4805     +5.4805    |paral   |2020yCat.1350....0G
824 |HD 72173                                                                                                 |Star                              |08 30 53.4939883512 -15 50 04.837342200|239.0144340454692 +13.6258484919666|  -12.910 0.853   |6.74     |K4III          |    ~     ~    |    1|  290.259   pc  |  -1.7945     +1.7945    |paral   |2020yCat.1350....0G
825 |BD-15 2475                                                                                               |Long-Period Variable Candidate    |08 31 05.1636366648 -16 00 16.909936308|239.1865170040859 +13.5700136415298| 18.693 -17.928   |8.41     |M3III          |    ~     ~    |    1|  649.984   pc  | -10.4352    +10.4352    |paral   |2020yCat.1350....0G
826 |HD 72219                                                                                                 |Star                              |08 31 06.3760612968 -15 52 45.446680560|239.0821468668851 +13.6439065183734|  -6.652 -0.017   |8.68     |K0III          |    ~     ~    |    1|  546.896   pc  |  -5.7127     +5.7127    |paral   |2020yCat.1350....0G
827 |HD 72364                                                                                                 |Star                              |08 31 52.5012431184 -15 54 35.807690628|239.2144148374564 +13.7802661238000|-38.479 -16.187   |10.39    |G2/3(V)        |    ~     ~    |    1|  191.106   pc  |  -0.4857     +0.4857    |paral   |2020yCat.1350....0G
828 |HD 72568                                                                                                 |Star                              |08 33 09.1871364480 -15 45 52.105456476|239.2671135967150 +14.1164782636724|  -23.822 2.484   |7.43     |G8III          |    ~     ~    |    1|  219.520   pc  |  -0.8867     +0.8867    |paral   |2020yCat.1350....0G
829 |HD 72607                                                                                                 |Star                              |08 33 19.6558305768 -15 41 33.615005784|239.2299716791864 +14.1914547354926|  3.007 -31.321   |10.13    |A9V            |    ~     ~    |    1|  257.732   pc  |  -6.9415     +6.9415    |paral   |2020yCat.1350....0G
830 |HD 72727                                                                                                 |Star                              |08 33 54.5648914200 -15 49 22.352869200|239.4221323127987 +14.2344694377014|   -4.608 2.162   |10.11    |K2/3           |    ~     ~    |    1| 1191.611   pc  | -22.1510    +22.1510    |paral   |2020yCat.1350....0G
831 |HD 72989                                                                                                 |Star                              |08 35 23.5084686024 -15 36 15.476432256|239.4422711510147 +14.6523981845067|   -7.616 2.612   |10.46    |A0V            |    ~     ~    |    1|  602.373   pc  |  -7.9828     +7.9828    |paral   |2020yCat.1350....0G
832 |HD 73198                                                                                                 |Star                              |08 36 40.5200781480 -15 31 03.685749348|239.5483162168474 +14.9566100075368|   33.408 3.027   |9.87     |G5/8(+F)       |    ~     ~    |    1|  103.355   pc  |  -2.5402     +2.5402    |paral   |2020yCat.1350....0G
833 |BD-15 2482                                                                                               |Star                              |08 32 14.9927505552 -16 07 16.539273444|239.4466629696000 +13.7369133768265|  -8.398 -1.436   |10.14    |~              |    ~     ~    |    1| 1347.527   pc  | -46.3037    +46.3037    |paral   |2020yCat.1350....0G
834 |TYC 5998-255-1                                                                                           |Star                              |08 30 37.1136951240 -16 24 40.026268872|239.4690668895094 +13.2502739675218|  -0.374 -8.184   |10.842   |~              |    ~     ~    |    1| 1281.700   pc  |-116.4000   +116.4000    |ST-L    |2020AJ....160...83S
835 |TYC 5998-597-1                                                                                           |Star                              |08 30 30.7048331400 -15 51 17.477899452|238.9794163872867 +13.5387117321310|  -0.482 -5.078   |10.184   |~              |    ~     ~    |    1|  858.198   pc  | -39.6100    +39.6100    |ST-L    |2020AJ....160...83S
836 |TYC 5998-676-1                                                                                           |Star                              |08 31 13.6582979352 -16 08 57.227406612|239.3294372176264 +13.5176643033105|    0.596 2.728   |10.675   |~              |    ~     ~    |    1|  777.002   pc  | -35.3400    +35.3400    |ST-L    |2020AJ....160...83S
837 |TYC 5998-697-1                                                                                           |Star                              |08 31 35.8018201680 -16 29 20.906161296|239.6701909812489 +13.4012280043755| -12.547 -9.874   |10.98    |~              |    ~     ~    |    1|  391.083   pc  |  -2.0801     +2.0801    |paral   |2020yCat.1350....0G
838 |TYC 5998-705-1                                                                                           |Star                              |08 31 18.4572768648 -16 32 22.520299200|239.6733505617728 +13.3155753510127|  -5.477 -2.175   |10.91    |~              |    ~     ~    |    1|  582.615   pc  |  -7.3319     +7.3319    |paral   |2020yCat.1350....0G
839 |TYC 5998-763-1                                                                                           |Star                              |08 31 42.6823834296 -16 08 57.429430836|239.3961888345787 +13.6140122127042|   -5.893 1.031   |10.398   |~              |    ~     ~    |    1|  866.830   pc  | -44.4700    +44.4700    |ST-L    |2020AJ....160...83S
840 |TYC 5998-867-1                                                                                           |Star                              |08 31 07.6056110568 -16 46 18.087236724|239.8461175927732 +13.1498546307865|   8.680 -1.795   |10.94    |~              |    ~     ~    |    1|  508.388   pc  |  -4.7815     +4.7815    |paral   |2020yCat.1350....0G
841 |TYC 6002-443-1                                                                                           |Star                              |08 31 33.8412775968 -18 04 52.298891472|241.0174104777362 +12.5007254339765|   -3.604 3.039   |10.572   |~              |    ~     ~    |    1| 1565.040   pc  |-138.7000   +138.7000    |ST-L    |2020AJ....160...83S
842 |TYC 6002-475-1                                                                                           |Star                              |08 31 01.3061940384 -17 17 24.210802716|240.2724002835844 +12.8387181112285|   -9.785 0.530   |10.36    |~              |    ~     ~    |    1|  213.324   pc  |  -0.6917     +0.6917    |paral   |2020yCat.1350....0G
843 |TYC 6002-512-1                                                                                           |Star                              |08 30 13.3213890768 -17 27 23.977230228|240.3042401643230 +12.5873180963845| -10.764 -8.289   |10.15    |~              |    ~     ~    |    1| 1195.743   pc  | -18.5874    +18.5874    |paral   |2020yCat.1350....0G
844 |TYC 6002-533-1                                                                                           |Star                              |08 30 48.7246027392 -17 25 58.742736708|240.3649707290345 +12.7171405369182|  -3.073 -0.629   |10.96    |~              |    ~     ~    |    1|  648.677   pc  |  -7.0271     +7.0271    |paral   |2020yCat.1350....0G
845 |TYC 6011-328-1                                                                                           |Spectroscopic Binary              |08 35 42.3739988808 -16 12 40.424503932|240.0041793547427 +14.3728158026088|-116.689 46.316   |10.77    |~              |    ~     ~    |    1|  177.123   pc  |  -0.8376     +0.8376    |paral   |2020yCat.1350....0G
846 |TYC 6011-407-1                                                                                           |Star                              |08 37 22.8069442824 -15 39 13.862583540|239.7638640555788 +15.0197757142404|  4.871 -12.507   |10.75    |~              |    ~     ~    |    1|  605.694   pc  |  -6.4568     +6.4568    |paral   |2020yCat.1350....0G
847 |TYC 6011-514-1                                                                                           |Star                              |08 34 43.0017284184 -16 06 28.540457172|239.7778799096239 +14.2348145634064|   -6.239 3.513   |10.31    |~              |    ~     ~    |    1| 1457.089   pc  | -29.7235    +29.7235    |paral   |2020yCat.1350....0G
848 |TYC 6011-842-1                                                                                           |Star                              |08 33 12.9475527840 -16 11 44.754889668|239.6440009251209 +13.8873255827841| -3.630 -11.940   |10.70    |~              |    ~     ~    |    1|  486.736   pc  |  -3.4826     +3.4826    |paral   |2020yCat.1350....0G
849 |TYC 6011-969-1                                                                                           |Star                              |08 36 35.8810854504 -15 39 39.436825392|239.6598542708132 +14.8604123352876|  -4.831 -2.490   |10.93    |~              |    ~     ~    |    1|  985.125   pc  | -13.2954    +13.2954    |paral   |2020yCat.1350....0G
