C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:33:23

dec< 0&rah >=8.5&rah< 8.75&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 8703

 #  |                                               identifier                                                |               typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 72658                                                                                                 |delta Sct Variable                |08 34 08.6839600560 -00 31 56.562637836|225.7974714172071 +22.4186843977472|    0.619 3.515   |9.21     |Fm_dD          |    ~     ~    |    1|  313.666   pc  |  -1.5643     +1.5643    |paral   |2020yCat.1350....0G
23  |BD-00 2023                                                                                               |Star                              |08 34 10.2460517664 -01 08 25.099301112|226.3703635052649 +22.1211114868168|  -10.912 2.922   |9.97     |G5             |    ~     ~    |    1|  705.716   pc  |  -7.1219     +7.1219    |paral   |2020yCat.1350....0G
24  |HD 72760                                                                                                 |High Proper Motion Star           |08 34 31.6518575208 -00 43 33.828751920|226.0307063286579 +22.4052625557774|-195.576 18.236   |7.334    |K0V            |    ~     ~    |    1|   21.160   pc  |  -0.0100     +0.0100    |paral   |2020yCat.1350....0G
25  |BD-00 2025                                                                                               |Star                              |08 34 53.7525252672 -01 11 15.756768672|226.5127062108097 +22.2542396757839| 12.435 -15.303   |9.52     |K2             |    ~     ~    |    1|  609.607   pc  |  -5.2399     +5.2399    |paral   |2020yCat.1350....0G
26  |BD-00 2026                                                                                               |Star                              |08 35 25.9286083944 -00 45 42.858997740|226.1864472416249 +22.5833536300812|   -5.029 6.968   |9.83     |G5             |    ~     ~    |    1|  602.627   pc  |  -5.4474     +5.4474    |paral   |2020yCat.1350....0G
27  |BD-00 2027                                                                                               |Spectroscopic Binary              |08 35 40.9531380960 -01 10 37.405158204|226.6093707877143 +22.4296876790769| -10.076 -0.929   |10.34    |F2             |    ~     ~    |    1|  786.411   pc  | -13.1728    +13.1728    |paral   |2020yCat.1350....0G
28  |HD 73096                                                                                                 |Star                              |08 36 32.5101486048 -00 52 36.632115948|226.4446864626821 +22.7660590889175|  -11.084 0.894   |9.63     |A7II/III       |    ~     ~    |    1|  225.169   pc  |  -1.3030     +1.3030    |paral   |2020yCat.1350....0G
29  |BD-00 2029                                                                                               |Star                              |08 36 45.9022847784 -01 26 44.578403016|227.0079498663151 +22.5283500698888| -12.314 19.015   |10.23    |F8             |    ~     ~    |    1|  157.215   pc  |  -0.5438     +0.5438    |paral   |2020yCat.1350....0G
30  |BD-00 2030                                                                                               |Star                              |08 37 06.4985803512 -00 53 40.817612904|226.5384359205772 +22.8796471749224|  -6.713 -3.902   |10.16    |F5             |    ~     ~    |    1|  642.343   pc  |  -6.7667     +6.7667    |paral   |2020yCat.1350....0G
31  |HD 72148                                                                                                 |Star                              |08 31 11.3681978136 -02 00 14.682278376|226.7723536865014 +21.0434017817224|  -6.720 13.913   |8.25     |K0III          |    ~     ~    |    1|  311.624   pc  |  -2.2141     +2.2141    |paral   |2020yCat.1350....0G
32  |BD-01 2062                                                                                               |Star                              |08 31 25.3332468840 -01 35 59.425483416|226.4285621345482 +21.2964095816094|   -1.959 0.739   |9.93     |K0             |    ~     ~    |    1|  790.576   pc  | -10.3127    +10.3127    |paral   |2020yCat.1350....0G
33  |HD 72326                                                                                                 |Star                              |08 32 10.1093972352 -01 59 38.959876860|226.8950093393166 +21.2598388914345|  -11.356 1.833   |10.01    |A2V            |    ~     ~    |    1|  421.745   pc  |  -4.0021     +4.0021    |paral   |2020yCat.1350....0G
34  |HD 72564                                                                                                 |Star                              |08 33 29.2440242880 -01 55 28.769564784|227.0087494737798 +21.5795444621174|   -6.819 0.849   |8.06     |K0III          |    ~     ~    |    1|  285.625   pc  |  -1.7051     +1.7051    |paral   |2020yCat.1350....0G
35  |BD-01 2069                                                                                               |Star                              |08 33 31.5504466248 -01 50 51.716673600|226.9424491228564 +21.6266090899719| -15.495 -1.123   |9.97     |G5             |    ~     ~    |    1| 1113.090   pc  | -19.4518    +19.4518    |paral   |2020yCat.1350....0G
36  |HD 72563                                                                                                 |Star                              |08 33 31.1651437824 -01 49 03.754647300|226.9137054436470 +21.6403217256150|   1.892 -3.402   |9.03     |G8/K0(III)     |    ~     ~    |    1|  412.797   pc  |  -2.9820     +2.9820    |paral   |2020yCat.1350....0G
37  |HD 72659                                                                                                 |High Proper Motion Star           |08 34 03.1898361960 -01 34 05.582173152|226.7537587074767 +21.8810899562043|-112.313 -96.386  |7.47     |G2V            |    ~     ~    |    1|   51.926   pc  |  -0.0731     +0.0731    |paral   |2020yCat.1350....0G
38  |BD-01 2078                                                                                               |Star                              |08 34 39.7935265056 -02 09 26.342465004|227.3844182259257 +21.7155928739425|   -7.410 1.348   |8.79     |K0             |    ~     ~    |    1|  987.167   pc  | -18.7104    +18.7104    |paral   |2020yCat.1350....0G
39  |BD-01 2083                                                                                               |Double or Multiple Star           |08 35 14.290 -01 56 51.10              |227.267753 +21.945628              |     -21.0 -6.0   |9.4      |F8             |    ~     ~    |    0|                |                         |        |                   
40  |HD 73034                                                                                                 |Star                              |08 36 05.9717040552 -01 42 29.309492160|227.1621930644232 +22.2523273528917|   -0.738 0.966   |8.43     |A2IV/V         |    ~     ~    |    1|  475.376   pc  |  -5.5140     +5.5140    |paral   |2020yCat.1350....0G
41  |HD 73047                                                                                                 |Star                              |08 36 11.7909518808 -01 33 53.622320796|227.0417615263244 +22.3455549527251|   1.237 -4.800   |9.40     |A3III          |    ~     ~    |    1|  327.718   pc  |  -2.1587     +2.1587    |paral   |2020yCat.1350....0G
42  |BD-01 2087                                                                                               |Star                              |08 36 36.7347201864 -01 58 06.553746948|227.4748369250182 +22.2310883282168| -15.799 -9.452   |10.04    |F8             |    ~     ~    |    1|  385.267   pc  | -11.7557    +11.7557    |paral   |2020yCat.1350....0G
43  |HD 73230                                                                                                 |Star                              |08 37 14.9477958768 -02 03 07.162831116|227.6398549583720 +22.3258280889236|  -5.197 -0.191   |9.43     |F2III/IV       |    ~     ~    |    1|  521.648   pc  |  -4.7620     +4.7620    |paral   |2020yCat.1350....0G
44  |BD-01 2089                                                                                               |Star                              |08 37 14.4196355112 -02 01 38.076626424|227.6156022629439 +22.3365020449792|  -8.346 -2.566   |9.92     |F5             |    ~     ~    |    1|  687.947   pc  |  -6.8624     +6.8624    |paral   |2020yCat.1350....0G
45  |TYC 4866-301-1                                                                                           |Star                              |08 31 14.3345492976 -02 11 57.801489972|226.9598396533787 +20.9558681619150|-14.234 -19.251   |9.98     |F8             |    ~     ~    |    1|  369.031   pc  |  -2.3696     +2.3696    |paral   |2020yCat.1350....0G
46  |BD-01 2080                                                                                               |Star                              |08 34 55.2250487280 -02 10 34.541076072|227.4370287197138 +21.7614079206822| -11.308 11.692   |10.41    |G5             |    ~     ~    |    1|  108.472   pc  |  -0.2224     +0.2224    |paral   |2020yCat.1350....0G
47  |CCDM J08337-0144A                                                                                        |Star                              |08 33 40.5774665832 -01 44 04.015667832|226.8575087647505 +21.7160963706642|  -6.421 -4.371   |9.7      |~              |    ~     ~    |    1|  263.790   pc  |  -1.6770     +1.6770    |paral   |2020yCat.1350....0G
48  |HD 72660                                                                                                 |Star                              |08 34 01.6141823952 -02 09 05.600032848|227.2925515110700 +21.5813797597560| -34.953 18.035   |5.792    |A0V            |    ~     ~    |    1|   98.165   pc  |  -0.5030     +0.5030    |paral   |2020yCat.1350....0G
49  |BD-00 2003                                                                                               |Star                              |08 30 08.8833700752 -01 19 17.951579400|225.9994279941552 +21.1593783726158|  -2.677 -7.017   |10.49    |~              |    ~     ~    |    1|  876.194   pc  | -11.6693    +11.6693    |paral   |2020yCat.1350....0G
50  |TYC 4862-43-1                                                                                            |Star                              |08 31 29.7182344464 -01 46 39.113780376|226.6033953251627 +21.2231984871435|   -1.849 0.217   |10.43    |~              |    ~     ~    |    1| 1839.250   pc  | -53.7871    +53.7871    |paral   |2020yCat.1350....0G
51  |TYC 4862-465-1                                                                                           |Star                              |08 32 43.8510107784 -01 23 21.408050148|226.4085649582370 +21.6849304503888|  -17.253 1.089   |10.36    |~              |    ~     ~    |    1|  369.372   pc  |  -3.4518     +3.4518    |paral   |2020yCat.1350....0G
52  |TYC 4866-291-1                                                                                           |Spectroscopic Binary              |08 32 57.7104148176 -02 09 42.948938268|227.1577563774308 +21.3465015513402|-27.874 -47.475   |10.14    |~              |    ~     ~    |    1|  156.314   pc  |  -0.5302     +0.5302    |paral   |2020yCat.1350....0G
53  |BD-01 2072                                                                                               |High Proper Motion Star           |08 33 43.4915816952 -01 41 50.447333508|226.8295613339791 +21.7452492528806|   9.351 52.437   |9.99     |~              |    ~     ~    |    1|  115.731   pc  |  -0.2478     +0.2478    |paral   |2020yCat.1350....0G
54  |BD-01 2081                                                                                               |Star                              |08 35 03.1039742760 -02 00 14.638030704|227.2949404345443 +21.8768525182451| -11.517 -1.315   |9.92     |~              |    ~     ~    |    1|  716.281   pc  | -38.3768    +38.3768    |paral   |2020yCat.1350....0G
55  |BD-01 2082                                                                                               |Star                              |08 35 10.0367093088 -02 04 31.192479264|227.3769172298895 +21.8656958214550|  -24.807 7.682   |10.05    |~              |    ~     ~    |    1|  474.789   pc  |  -4.1929     +4.1929    |paral   |2020yCat.1350....0G
56  |2MASS J08361023-0036215                                                                                  |Long-Period Variable              |08 36 10.2377775648 -00 36 21.534755904|226.1399232101391 +22.8211566228642|    5.926 3.467   |10.3     |~              |    ~     ~    |    1| 2041.650   pc  | -86.2845    +86.2845    |paral   |2020yCat.1350....0G
57  |BD+00 2343                                                                                               |Star                              |08 36 20.8481327688 -00 17 35.342427840|225.8693919024352 +23.0153967405785|  -5.203 -7.025   |10.6     |~              |    ~     ~    |    1| 1013.377   pc  | -15.9174    +15.9174    |paral   |2020yCat.1350....0G
58  |TYC 4862-1466-1                                                                                          |Star                              |08 36 24.5033714952 -01 46 41.158595496|227.2695744493743 +22.2835652674620|  -5.909 -0.758   |10.09    |~              |    ~     ~    |    1|  571.363   pc  |  -6.1374     +6.1374    |paral   |2020yCat.1350....0G
59  |TYC 4862-1519-1                                                                                          |Star                              |08 36 51.5032580160 -00 53 23.398005336|226.4998969033765 +22.8280229371770|  7.518 -20.404   |10.31    |~              |    ~     ~    |    1|  367.255   pc  |  -8.1331     +8.1331    |paral   |2020yCat.1350....0G
60  |NGC 2616                           NGC 2616                                                              |Galaxy towards a Group of Galaxies|08 35 34.0696421904 -01 51 00.415506564|227.2220054084988 +22.0659403546730|            ~ ~   |     ~   |~              |0.807 0.645    |    1|  103.28    Mpc |                         |        |2016AJ....152...50T
61  |TYC 4862-1231-1                                                                                          |Star                              |08 31 22.4950457952 -00 09 14.950467360|225.0722605742188 +22.0042469144814| -20.730 -4.057   |10.05    |F2             |    ~     ~    |    1|  271.069   pc  |  -1.2785     +1.2785    |paral   |2020yCat.1350....0G
62  |BD+00 2328                                                                                               |Star                              |08 32 54.6045194376 -00 01 25.909622292|225.1542567561095 +22.4023750134116|  2.526 -20.810   |9.96     |K0             |    ~     ~    |    1|  554.477   pc  |  -6.1489     +6.1489    |paral   |2020yCat.1350....0G
63  |TYC 4862-56-1                                                                                            |Star                              |08 33 27.1729995264 -01 38 07.529408664|226.7351578620801 +21.7176212115671|   -9.401 2.599   |10.72    |~              |    ~     ~    |    1| 1104.850   pc  | -18.9208    +18.9208    |paral   |2020yCat.1350....0G
64  |TYC 4862-135-1                                                                                           |Star                              |08 33 56.9428386744 -01 49 25.162963212|226.9774148833523 +21.7300729701146| -28.912 -9.341   |10.20    |~              |    ~     ~    |    1|  127.871   pc  |  -0.3205     +0.3205    |paral   |2020yCat.1350....0G
65  |TYC 4862-351-1                                                                                           |Star                              |08 32 35.3743559448 -01 18 11.829019932|226.3094195848841 +21.6973715177189| -12.796 -3.623   |10.48    |~              |    ~     ~    |    1|  806.257   pc  | -13.3910    +13.3910    |paral   |2020yCat.1350....0G
66  |TYC 4862-552-1                                                                                           |Star                              |08 30 44.1877997064 -00 49 39.317611188|225.6175971429561 +21.5325464199898|   0.287 -8.558   |10.9     |~              |    ~     ~    |    1|  366.582   pc  |  -2.5533     +2.5533    |paral   |2020yCat.1350....0G
67  |TYC 4862-566-1                                                                                           |Star                              |08 32 50.2054504632 -01 04 42.233973096|226.1328417658766 +21.8632164684325| -39.680 -7.220   |10.88    |~              |    ~     ~    |    1|  170.698   pc  |  -0.5041     +0.5041    |paral   |2020yCat.1350....0G
68  |TYC 4862-708-1                                                                                           |Star                              |08 31 18.1821241320 -00 53 16.989639000|225.7496365938463 +21.6254875466054|  -7.142 -2.395   |10.46    |~              |    ~     ~    |    1|  666.933   pc  | -13.0771    +13.0771    |paral   |2020yCat.1350....0G
69  |TYC 4862-746-1                                                                                           |Star                              |08 32 53.3706489264 -00 54 07.314173496|225.9751327989608 +21.9625695456631|  -26.349 6.674   |10.9     |~              |    ~     ~    |    1|  443.813   pc  |  -3.3879     +3.3879    |paral   |2020yCat.1350....0G
70  |TYC 4862-815-1                                                                                           |Spectroscopic Binary              |08 32 01.9568213928 -00 55 53.556937788|225.8878209760809 +21.7621075943926|-16.884 -15.445   |10.9     |~              |    ~     ~    |    1|  175.654   pc  |  -1.2650     +1.2650    |paral   |2020yCat.1350....0G
71  |TYC 4862-861-1                                                                                           |Star                              |08 34 29.4764029680 -00 24 07.291571292|225.7216310655908 +22.5586373954014| -10.330 -4.850   |10.5     |~              |    ~     ~    |    1| 1049.318   pc  | -17.9474    +17.9474    |paral   |2020yCat.1350....0G
72  |TYC 4862-882-1                                                                                           |Star                              |08 30 16.9592084448 -00 36 34.052276448|225.3534722968040 +21.5420065511346|  -3.526 -2.908   |10.6     |~              |    ~     ~    |    1| 1119.319   pc  | -20.6725    +20.6725    |paral   |2020yCat.1350....0G
73  |TYC 4862-1028-1                                                                                          |Star                              |08 34 36.4563797544 -00 42 44.932057848|226.0287629778766 +22.4293861026812|   -3.814 1.182   |10.5     |~              |    ~     ~    |    1|  810.964   pc  | -12.2325    +12.2325    |paral   |2020yCat.1350....0G
74  |TYC 4862-1085-1                                                                                          |Star                              |08 32 46.4375929032 -00 31 07.332565332|225.6007747996490 +22.1280222761779|  -15.166 0.466   |10.7     |~              |    ~     ~    |    1|  340.983   pc  |  -2.3951     +2.3951    |paral   |2020yCat.1350....0G
75  |TYC 4862-1103-1                                                                                          |Star                              |08 33 00.2023797216 -00 29 54.595004856|225.6125443133186 +22.1878433402147|  -2.117 17.094   |10.5     |~              |    ~     ~    |    1|  628.773   pc  |  -6.0885     +6.0885    |paral   |2020yCat.1350....0G
76  |IRAS 08277-0000                                                                                          |Star                              |08 30 18.9824269320 -00 10 34.641469164|224.9525528988629 +21.7630365301558|  3.882 -40.640   |9.51     |~              |    ~     ~    |    1| 1326.436   pc  | -36.0684    +36.0684    |paral   |2020yCat.1350....0G
77  |TYC 4862-1187-1                                                                                          |Star                              |08 30 57.6267457704 -00 10 31.927259964|225.0372664489614 +21.9035475258179|   -8.307 0.130   |10.7     |~              |    ~     ~    |    1|  813.339   pc  | -11.0474    +11.0474    |paral   |2020yCat.1350....0G
78  |TYC 4862-1205-1                                                                                          |Star                              |08 30 04.4612992728 -00 09 58.453996680|224.9110787998582 +21.7153113007797|  -4.894 -5.472   |10.26    |~              |    ~     ~    |    1|  524.219   pc  | -16.9830    +16.9830    |paral   |2020yCat.1350....0G
79  |TYC 4862-1245-1                                                                                          |Star                              |08 33 44.2631128440 -00 16 57.569872548|225.5082861939731 +22.4542782798781|  -4.655 -1.179   |10.5     |~              |    ~     ~    |    1|  932.401   pc  | -14.3446    +14.3446    |paral   |2020yCat.1350....0G
80  |TYC 4862-1292-1                                                                                          |Star                              |08 33 04.7564612640 -00 03 01.396357776|225.2017925867262 +22.4260746229822|   -2.453 7.161   |10.6     |~              |    ~     ~    |    1| 1154.734   pc  | -28.8017    +28.8017    |paral   |2020yCat.1350....0G
81  |TYC 4862-1299-1                                                                                          |Star                              |08 30 41.4458017368 -00 18 17.869932612|225.1227833401280 +21.7810878392637| -10.617 -4.559   |10.6     |~              |    ~     ~    |    1|  915.919   pc  | -16.6104    +16.6104    |paral   |2020yCat.1350....0G
