C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
22  |HD 32115                                                                                                                                    |Spectroscopic Binary               |05 00 39.8078829840 -02 03 57.709292544|201.4528359614324 -25.4539743413617| -13.342 -2.205    |6.32     |A9V            |    ~     ~    |    1|   49.078   pc  |  -0.0739     +0.0739    |paral   |2020yCat.1350....0G
23  |BD-02 1098                                                                                                                                  |Star                               |05 00 54.2302057584 -02 25 07.109945580|201.8264947876148 -25.5732331387085| 13.669 -24.894    |9.60     |F8             |    ~     ~    |    1|  225.876   pc  |  -0.9337     +0.9337    |paral   |2020yCat.1350....0G
24  |CCDM J05037-0232BC                                                                                                                          |Double or Multiple Star            |05 03 40.569 -02 31 43.12              |202.303936 -25.020750              |        4.5 3.0    |9.2      |K0             |    ~     ~    |    0|                |                         |        |                   
25  |HD 32526                                                                                                                                    |Star                               |05 03 42.8527617480 -02 32 23.950515876|202.3199625857377 -25.0179042741611|   33.002 9.250    |6.73     |K0III          |    ~     ~    |    1|  155.381   pc  |  -0.5287     +0.5287    |paral   |2020yCat.1350....0G
26  |HD 293751                                                                                                                                   |Star                               |05 03 34.1048703072 -02 25 07.931303076|202.1835491116523 -24.9912322524020|   9.446 -8.989    |9.57     |K0             |    ~     ~    |    1|  484.121   pc  |  -3.7031     +3.7031    |paral   |2020yCat.1350....0G
27  |HD 289908                                                                                                                                   |Star                               |05 03 25.6224378504 -02 00 07.528627224|201.7628549662925 -24.8198975660765|  -1.100 -2.033    |9.68     |G5             |    ~     ~    |    1|  614.968   pc  | -14.4467    +14.4467    |paral   |2020yCat.1350....0G
28  |HD 293750                                                                                                                                   |Star                               |05 03 05.0541843936 -02 28 21.881750592|202.1710037798802 -25.1231355032840| -5.218 -11.843    |10.36    |G5             |    ~     ~    |    1|  794.849   pc  | -10.0454    +10.0454    |paral   |2020yCat.1350....0G
29  |BD-02 1100                                                                                                                                  |Star                               |05 01 02.0369073600 -02 29 44.599692372|201.9186952844878 -25.5822400771795|  -2.500 -5.443    |9.86     |~              |    ~     ~    |    1|  810.767   pc  |  -9.8601     +9.8601    |paral   |2020yCat.1350....0G
30  |BD-01 780                                                                                                                                   |Star                               |05 02 16.483 -00 53 50.91              |200.548007 -24.529251              |    7.70 -12.00    |9.83     |~              |    ~     ~    |    0|                |                         |        |                   
31  |HD 289886                                                                                                                                   |Star                               |05 03 30.3977651304 -00 25 06.184120980|200.2586145030630 -24.0244989268104|  -1.895 -2.015    |10.24    |A3             |    ~     ~    |    1|  645.536   pc  |  -8.2927     +8.2927    |paral   |2020yCat.1350....0G
