C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:49:21

dec< 0&rah >=5.0&rah< 5.25&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 4311

 #  |                                                                 identifier                                                                 |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
433 |CPD-25 775                                                                                                                                  |High Proper Motion Star            |05 03 17.4341960400 -25 27 29.464483932|226.5893698881992 -34.1442846265950|  -8.377 53.147    |9.85     |~              |    ~     ~    |    1|  199.025   pc  |  -0.4872     +0.4872    |paral   |2020yCat.1350....0G
434 |CD-27 2041                                                                                                                                  |Star                               |05 03 25.1475176232 -27 00 33.504920856|228.4032824269662 -34.5492313816620|   19.277 3.648    |10.729   |~              |    ~     ~    |    1|  303.206   pc  |  -4.7170     +4.7170    |ST-L    |2020AJ....160...83S
435 |CD-25 2183                                                                                                                                  |Star                               |05 03 27.5198589792 -25 00 37.378245672|226.0853365410954 -33.9781082263926|  11.920 23.078    |10.24    |~              |    ~     ~    |    1|  275.460   pc  |  -4.1780     +4.1780    |ST-L    |2020AJ....160...83S
436 |CD-26 1956                                                                                                                                  |Star                               |05 00 09.5216575056 -26 12 50.782939776|227.2295345865411 -35.0332648813616|   5.985 -6.980    |10.485   |~              |    ~     ~    |    1| 2100.050   pc  |-210.7000   +210.7000    |ST-L    |2020AJ....160...83S
437 |CD-25 2162                                                                                                                                  |Star                               |05 01 40.3782803376 -25 25 28.151196168|226.4235387656994 -34.4844813169275|  -4.581 -9.783    |10.774   |~              |    ~     ~    |    1|  896.972   pc  | -30.2500    +30.2500    |ST-L    |2020AJ....160...83S
438 |CD-25 2168                                                                                                                                  |Spectroscopic Binary               |05 02 04.7865971424 -25 28 23.807037900|226.5120798548865 -34.4104345549416|   23.385 5.017    |10.638   |~              |    ~     ~    |    1|  219.814   pc  |  -3.6080     +3.6080    |ST-L    |2020AJ....160...83S
439 |CD-26 1979                                                                                                                                  |Star                               |05 02 49.7579605248 -26 22 52.646972196|227.6263320914258 -34.5041426381425|  -7.168 -3.799    |10.178   |~              |    ~     ~    |    1|  934.397   pc  | -42.2200    +42.2200    |ST-L    |2020AJ....160...83S
440 |CD-25 2180                                                                                                                                  |Spectroscopic Binary               |05 03 14.7820720392 -25 22 41.497898160|226.4933444368135 -34.1308261243017|   10.509 6.465    |10.32    |~              |    ~     ~    |    1|  312.071   pc  |  -1.1492     +1.1492    |paral   |2020yCat.1350....0G
441 |CD-25 2184                                                                                                                                  |Star                               |05 03 25.2557420376 -25 40 02.932023180|226.8418905269993 -34.1760306709515|   1.463 -1.225    |10.92    |~              |    ~     ~    |    1| 1005.733   pc  | -11.7334    +11.7334    |paral   |2020yCat.1350....0G
442 |TYC 6469-2153-1                                                                                                                             |Star                               |05 00 16.4478238680 -26 58 15.753710820|228.1288355867586 -35.2137886774358|   3.391 -1.100    |10.957   |~              |    ~     ~    |    1| 1093.830   pc  | -44.0900    +44.0900    |ST-L    |2020AJ....160...83S
443 |TYC 6477-89-1                                                                                                                               |Star                               |05 01 58.6571215872 -25 15 16.518005208|226.2501916523034 -34.3697690497550|   4.987 -4.629    |10.649   |~              |    ~     ~    |    1| 1160.450   pc  | -63.1400    +63.1400    |ST-L    |2020AJ....160...83S
444 |TYC 6477-102-1                                                                                                                              |Star                               |05 02 09.1484038800 -24 55 15.211631028|225.8775100511841 -34.2350796277450|   2.389 -9.978    |10.670   |~              |    ~     ~    |    1|  235.961   pc  |  -2.7920     +2.7920    |ST-L    |2020AJ....160...83S
445 |TYC 6477-119-1                                                                                                                              |Star                               |05 01 30.5964027864 -25 19 30.311817204|226.2951993190614 -34.4912899266993|   6.135 -0.960    |10.919   |~              |    ~     ~    |    1| 1005.160   pc  | -43.4100    +43.4100    |ST-L    |2020AJ....160...83S
446 |TYC 6477-129-1                                                                                                                              |Star                               |05 01 54.8324111664 -25 13 44.341323420|226.2154523585961 -34.3761902368019| -3.336 -13.235    |10.530   |~              |    ~     ~    |    1|  804.655   pc  | -31.0000    +31.0000    |ST-L    |2020AJ....160...83S
447 |TYC 6477-159-1                                                                                                                              |Star                               |05 02 07.3753832616 -25 57 33.404123772|227.0808132654507 -34.5387674596081|    2.284 4.403    |10.48    |~              |    ~     ~    |    1|  475.859   pc  | -11.3500    +11.3500    |ST-L    |2020AJ....160...83S
448 |TYC 6477-355-1                                                                                                                              |Star                               |05 03 22.0451858688 -24 39 26.304583824|225.6712628380135 -33.8940181304978|   -9.481 0.905    |10.898   |~              |    ~     ~    |    1|  317.552   pc  |  -5.0860     +5.0860    |ST-L    |2020AJ....160...83S
449 |LP 835-57                                                                                                                                   |High Proper Motion Star            |05 00 19.4888751864 -26 27 27.469491336|227.5280631138343 -35.0642594310571|202.594 -97.909    |10.985   |~              |    ~     ~    |    1|   71.488   pc  |  -0.2580     +0.2580    |ST-L    |2020AJ....160...83S
450 |HD 32354                                                                                                                                    |Star                               |05 01 16.3369462464 -30 04 39.151762104|231.8910491313574 -35.7772171016491|-41.495 -26.273    |9.897    |G2/3           |    ~     ~    |    1|  108.463   pc  |  -0.8600     +0.8600    |ST-L    |2020AJ....160...83S
451 |CD-30 2143                                                                                                                                  |Star                               |05 01 16.8938088456 -30 05 22.886613744|231.9061889582918 -35.7780837010352|-41.455 -26.375    |10.177   |~              |    ~     ~    |    1|  110.115   pc  |  -0.6250     +0.6250    |ST-L    |2020AJ....160...83S
452 |CD-27 2016                                                                                                                                  |Star                               |05 00 44.8400418264 -27 28 53.464366920|228.7655866881822 -35.2473221773555|  -3.616 -1.121    |10.283   |~              |    ~     ~    |    1|  200.254   pc  |  -1.9730     +1.9730    |ST-L    |2020AJ....160...83S
453 |CD-27 2022                                                                                                                                  |High Proper Motion Star            |05 01 23.9231503608 -27 26 58.693111044|228.7743310181124 -35.0995280240410|-24.894 -54.748    |10.290   |~              |    ~     ~    |    1|  208.678   pc  |  -2.2280     +2.2280    |ST-L    |2020AJ....160...83S
454 |CD-27 2025                                                                                                                                  |Star                               |05 01 50.2209223704 -27 42 03.553929648|229.1018559139073 -35.0715953145843| 16.361 -11.546    |9.85     |~              |    ~     ~    |    1|  612.820   pc  |  -4.3564     +4.3564    |paral   |2020yCat.1350....0G
455 |HD 32180                                                                                                                                    |Spectroscopic Binary               |05 00 02.7475405800 -27 49 56.857993608|229.1318288927978 -35.4883611132112| -68.086 55.541    |9.24     |G3/5V          |    ~     ~    |    1|   79.163   pc  |  -0.4838     +0.4838    |ST-L    |2020AJ....160...83S
456 |CD-28 1889                                                                                                                                  |Spectroscopic Binary               |05 00 09.8632365240 -28 15 10.376027856|229.6396084415327 -35.5700407819891| -7.862 -13.854    |9.63     |~              |    ~     ~    |    1|  545.556   pc  | -13.8800    +13.8800    |ST-L    |2020AJ....160...83S
457 |HD 32452                                                                                                                                    |Star                               |05 02 10.8349373640 -28 03 47.084594580|229.5532667806004 -35.0919723807479| -11.403 -7.295    |9.19     |G8III          |    ~     ~    |    1|  398.740   pc  |  -2.3531     +2.3531    |paral   |2020yCat.1350....0G
458 |HD 32472                                                                                                                                    |Star                               |05 02 13.3597289472 -28 04 37.686065340|229.5727825491189 -35.0866124250875|  5.474 -23.813    |9.40     |F3/5V          |    ~     ~    |    1|  226.829   pc  |  -0.6637     +0.6637    |paral   |2020yCat.1350....0G
459 |HD 32193                                                                                                                                    |Star                               |05 00 10.7994620976 -29 00 00.102871764|230.5315789656845 -35.7518110882188|    4.758 2.485    |10.27    |A0V            |    ~     ~    |    1|  695.009   pc  | -27.2100    +27.2100    |ST-L    |2020AJ....160...83S
460 |CD-29 2016                                                                                                                                  |Star                               |05 02 19.3341962688 -29 35 10.634443620|231.3699049000331 -35.4400774191263|   -0.773 3.730    |9.54     |~              |    ~     ~    |    1| 1060.895   pc  | -13.6185    +13.6185    |paral   |2020yCat.1350....0G
461 |HD 32568                                                                                                                                    |Star                               |05 02 54.0253521360 -29 48 00.478638900|231.6614533957980 -35.3691822829152| -13.294 20.001    |8.96     |A9V            |    ~     ~    |    1|  154.278   pc  |  -0.3308     +0.3308    |paral   |2020yCat.1350....0G
462 |HD 32624                                                                                                                                    |Star                               |05 03 22.2184144752 -28 55 06.959760024|230.6454062139540 -35.0553778875728|  33.739 30.480    |9.23     |F5V            |    ~     ~    |    1|  118.514   pc  |  -0.1770     +0.1770    |paral   |2020yCat.1350....0G
463 |CD-29 2025                                                                                                                                  |Star                               |05 03 31.6928691264 -28 54 39.175550424|230.6467818102674 -35.0199887143249|  -3.981 -7.195    |9.49     |~              |    ~     ~    |    1|  578.905   pc  |  -3.7200     +3.7200    |paral   |2020yCat.1350....0G
464 |HD 32668                                                                                                                                    |Double or Multiple Star            |05 03 37.56085 -28 58 10.1330          |230.72258333 -35.01384405          |   -6.99 -42.25    |9.53     |G6V            |    ~     ~    |    0|                |                         |        |                   
465 |CD-30 2140                                                                                                                                  |Star                               |05 01 17.0309320896 -29 50 51.307562508|231.6162604832049 -35.7210806507518|   5.812 -0.850    |9.47     |~              |    ~     ~    |    1| 1026.483   pc  | -13.1708    +13.1708    |paral   |2020yCat.1350....0G
466 |CD-30 2166                                                                                                                                  |Star                               |05 03 15.3248835480 -29 51 03.950549496|231.7445826218856 -35.3065194030234|  -3.349 -3.015    |10.44    |~              |    ~     ~    |    1| 1768.659   pc  | -36.2866    +36.2866    |paral   |2020yCat.1350....0G
467 |CD-29 1994                                                                                                                                  |Star                               |05 00 00.8035703304 -29 08 15.966511692|230.6854334789564 -35.8205173747121|  10.416 -6.314    |10.55    |~              |    ~     ~    |    1|  419.516   pc  |  -2.1823     +2.1823    |paral   |2020yCat.1350....0G
468 |CPD-27 705                                                                                                                                  |Star                               |05 00 14.1876139704 -27 45 50.154664680|229.0638530956781 -35.4299786694518|  3.805 -22.832    |10.69    |~              |    ~     ~    |    1|  337.200   pc  |  -6.0030     +6.0030    |ST-L    |2020AJ....160...83S
469 |CD-29 2000                                                                                                                                  |Star                               |05 00 26.5397230800 -29 02 14.389991376|230.5933369147494 -35.7052589939122|   -5.693 4.448    |9.99     |~              |    ~     ~    |    1|   98.174   pc  |  -0.4694     +0.4694    |ST-L    |2020AJ....160...83S
470 |CPD-28 736                                                                                                                                  |Star                               |05 00 31.3019208264 -28 28 37.258872708|229.9305577859139 -35.5502183943550|  4.488 -14.004    |10.54    |~              |    ~     ~    |    1|  497.129   pc  | -11.3200    +11.3200    |ST-L    |2020AJ....160...83S
471 |CD-29 2007                                                                                                                                  |Star                               |05 01 28.2347042472 -29 45 22.919831208|231.5188575110329 -35.6602230893193| -9.167 -19.786    |10.027   |~              |    ~     ~    |    1|  662.194   pc  | -18.7400    +18.7400    |ST-L    |2020AJ....160...83S
472 |CD-28 1907                                                                                                                                  |Star                               |05 01 28.8934644120 -28 46 40.456741980|230.3528289861330 -35.4210920277923|   -0.800 6.746    |10.60    |~              |    ~     ~    |    1|  942.241   pc  | -12.4294    +12.4294    |paral   |2020yCat.1350....0G
473 |CD-27 2031                                                                                                                                  |Star                               |05 02 29.0490475128 -27 37 20.565959952|229.0549833796631 -34.9127323384464|  -8.279 -9.427    |10.960   |~              |    ~     ~    |    1|  420.660   pc  |  -8.5750     +8.5750    |ST-L    |2020AJ....160...83S
474 |CD-28 1922                                                                                                                                  |Star                               |05 02 44.6539127976 -27 51 32.428841976|229.3518703130719 -34.9189890658530|  10.173 20.309    |10.536   |~              |    ~     ~    |    1|  299.752   pc  |  -4.2670     +4.2670    |ST-L    |2020AJ....160...83S
475 |CD-28 1923                                                                                                                                  |High Proper Motion Star            |05 02 57.2704815696 -28 03 03.362303988|229.5926243291408 -34.9238603974639|  61.621 93.778    |10.14    |~              |    ~     ~    |    1|  121.436   pc  |  -0.1873     +0.1873    |paral   |2020yCat.1350....0G
476 |CD-28 1894                                                                                                                                  |Star                               |05 00 27.7878455592 -28 47 02.947064784|230.2925336573116 -35.6388741237624|    0.089 4.457    |10.530   |~              |    ~     ~    |    1|  686.890   pc  | -26.5200    +26.5200    |ST-L    |2020AJ....160...83S
477 |CD-28 1895                                                                                                                                  |Star                               |05 00 29.4006070320 -28 48 08.981999136|230.3161930703604 -35.6376821727828|    1.947 9.823    |10.64    |~              |    ~     ~    |    1|  272.053   pc  |  -3.7430     +3.7430    |ST-L    |2020AJ....160...83S
478 |CD-28 1903                                                                                                                                  |Star                               |05 01 09.5416837728 -28 44 04.716028896|230.2798776219793 -35.4788563811907|   -0.984 1.642    |10.71    |~              |    ~     ~    |    1|  922.679   pc  |  -8.9390     +8.9390    |paral   |2020yCat.1350....0G
479 |CD-29 2006                                                                                                                                  |Star                               |05 01 23.7117602664 -29 14 12.383319120|230.8935162699222 -35.5518287621610|   9.625 -0.240    |10.67    |~              |    ~     ~    |    1| 1158.590   pc  | -65.1000    +65.1000    |ST-L    |2020AJ....160...83S
480 |CD-30 2152                                                                                                                                  |Star                               |05 01 46.6613447424 -29 49 57.319480560|231.6293437326585 -35.6134679477363|    4.861 1.001    |10.334   |~              |    ~     ~    |    1|  861.996   pc  | -27.7300    +27.7300    |ST-L    |2020AJ....160...83S
481 |CD-29 2014                                                                                                                                  |Star                               |05 02 01.4629473024 -29 20 54.192488892|231.0673238363378 -35.4457427901038| 22.101 -11.131    |10.46    |~              |    ~     ~    |    1|  708.968   pc  | -16.4865    +16.4865    |paral   |2020yCat.1350....0G
482 |CD-28 1915                                                                                                                                  |Star                               |05 02 19.4759212776 -28 49 03.774484200|230.4562774705864 -35.2520498639694|    2.886 3.542    |9.86     |~              |    ~     ~    |    1| 1445.504   pc  | -23.1933    +23.1933    |paral   |2020yCat.1350....0G
483 |TYC 6481-111-1                                                                                                                              |Star                               |05 01 48.6642960216 -27 46 32.541262788|229.1881937432492 -35.0965806702675| -1.381 -22.440    |10.798   |~              |    ~     ~    |    1|  564.466   pc  | -15.7900    +15.7900    |ST-L    |2020AJ....160...83S
484 |TYC 6481-449-1                                                                                                                              |Star                               |05 01 31.6064099424 -27 38 54.102159456|229.0178690883487 -35.1241841095221|   3.062 23.607    |10.900   |~              |    ~     ~    |    1|  548.184   pc  | -21.0400    +21.0400    |ST-L    |2020AJ....160...83S
485 |1RXS J050205.7-284235                                                                                                                       |Eclipsing Binary                   |05 02 05.4555751536 -28 42 45.663954696|230.3160801629464 -35.2755044332542|  21.124 -2.571    |10.948   |G6V+K2/M0V     |    ~     ~    |    1|  319.724   pc  |  -1.2778     +1.2778    |paral   |2020yCat.1350....0G
486 |TYC 6485-278-1                                                                                                                              |Star                               |05 02 33.1713760680 -28 59 05.248901436|230.6696398083924 -35.2450259021266|   -9.677 0.355    |10.82    |~              |    ~     ~    |    1|  291.282   pc  |  -0.8824     +0.8824    |paral   |2020yCat.1350....0G
487 |TYC 6485-476-1                                                                                                                              |Star                               |05 03 03.2981967240 -28 49 31.565315352|230.5141421572793 -35.0990328097591| 16.179 -23.818    |10.99    |~              |    ~     ~    |    1|  636.092   pc  |  -4.0057     +4.0057    |paral   |2020yCat.1350....0G
488 |TYC 6485-583-1                                                                                                                              |Star                               |05 01 49.8281050512 -28 55 57.691471692|230.5600013347985 -35.3853110523597|  9.901 -20.213    |10.81    |~              |    ~     ~    |    1|  374.209   pc  |  -1.5124     +1.5124    |paral   |2020yCat.1350....0G
489 |CD-30 2125                                                                                                                                  |Star                               |05 00 19.6851448224 -30 36 47.924037072|232.4778925901309 -36.0978235962454|    0.882 4.195    |10.162   |G5             |    ~     ~    |    1|  727.797   pc  | -20.4700    +20.4700    |ST-L    |2020AJ....160...83S
490 |HD 32369                                                                                                                                    |Star                               |05 01 28.1056701288 -30 14 03.247319976|232.0910333017599 -35.7722211506580|   0.284 -4.072    |8.01     |K2III          |    ~     ~    |    1|  607.644   pc  |  -6.0554     +6.0554    |paral   |2020yCat.1350....0G
491 |HD 32542                                                                                                                                    |Star                               |05 02 36.7530436704 -30 08 47.827348296|232.0567331194704 -35.5114073066349|  -8.022 -0.081    |9.48     |K1(III)        |    ~     ~    |    1|  258.191   pc  |  -0.7000     +0.7000    |paral   |2020yCat.1350....0G
492 |HD 32625                                                                                                                                    |Double or Multiple Star            |05 03 15.7893 -30 29 48.894            |232.5151754 -35.4560292            |      -4.7 -6.1    |9.79     |G3/5V          |    ~     ~    |    0|                |                         |        |                   
493 |HD 32223                                                                                                                                    |High Proper Motion Star            |05 00 11.3712445656 -31 42 07.935637968|233.7874869176114 -36.3636382566235|-82.702 -173.465   |8.95     |K0.5V          |    ~     ~    |    1|   41.817   pc  |  -0.0909     +0.0909    |ST-L    |2020AJ....160...83S
494 |CD-31 2138                                                                                                                                  |Star                               |05 00 17.3768739048 -31 30 54.262560528|233.5660829427668 -36.3031377870947|   6.842 -8.228    |10.30    |G0             |    ~     ~    |    1|  344.919   pc  |  -5.5010     +5.5010    |ST-L    |2020AJ....160...83S
495 |CD-31 2141                                                                                                                                  |Star                               |05 00 37.9584685056 -30 59 56.902715808|232.9615097839264 -36.1197842988431|  -2.750 12.407    |10.70    |A8             |    ~     ~    |    1|  438.982   pc  |  -2.2161     +2.2161    |paral   |2020yCat.1350....0G
496 |CD-31 2143                                                                                                                                  |Star                               |05 00 41.7406874424 -30 59 24.514391076|232.9543286221493 -36.1046257934881|    -12.5 -24.0    |10.84    |G0             |    ~     ~    |    0|                |                         |        |                   
497 |CD-31 2147                                                                                                                                  |Star                               |05 01 06.1096418472 -31 12 40.023847584|233.2447050521595 -36.0682556050922|   23.175 7.936    |9.84     |G5             |    ~     ~    |    1|  312.932   pc  |  -4.8020     +4.8020    |ST-L    |2020AJ....160...83S
498 |CD-31 2148                                                                                                                                  |Star                               |05 01 14.1750876192 -31 15 13.625970624|233.3039666578951 -36.0495188472956|   5.769 13.774    |10.16    |A5             |    ~     ~    |    1|  448.887   pc  | -10.3900    +10.3900    |ST-L    |2020AJ....160...83S
499 |CD-31 2149                                                                                                                                  |Star                               |05 01 12.7932858408 -31 38 51.109930320|233.7784799324903 -36.1391954760091|  -1.939 -8.277    |9.31     |K2             |    ~     ~    |    1| 1061.346   pc  | -14.6439    +14.6439    |paral   |2020yCat.1350....0G
500 |HD 32361                                                                                                                                    |Star                               |05 01 17.6186413128 -31 40 18.794964936|233.8124603585560 -36.1276649663824|  -2.773 18.343    |9.00     |G8/K0III       |    ~     ~    |    1|  521.948   pc  |  -3.2964     +3.2964    |paral   |2020yCat.1350....0G
501 |HD 32370                                                                                                                                    |Star                               |05 01 21.0832751112 -31 23 36.695036760|233.4792914347137 -36.0558727811228|  -3.617 14.440    |7.94     |K1/2III        |    ~     ~    |    1|  416.476   pc  |  -2.8099     +2.8099    |paral   |2020yCat.1350....0G
502 |HD 32398                                                                                                                                    |Star                               |05 01 32.6209778808 -31 24 26.117337276|233.5068544551699 -36.0187860892001| 14.004 -27.706    |8.83     |G6/8IV         |    ~     ~    |    1|  411.015   pc  |  -2.2806     +2.2806    |paral   |2020yCat.1350....0G
503 |CD-31 2157                                                                                                                                  |Star                               |05 01 33.3521365920 -31 43 07.536623808|233.8838460869641 -36.0831462311882|   5.055 -1.736    |10.390   |G0             |    ~     ~    |    1|  814.393   pc  | -26.3500    +26.3500    |ST-L    |2020AJ....160...83S
504 |HD 32489                                                                                                                                    |Star                               |05 02 07.4710314384 -31 20 56.323901544|233.4698897648178 -35.8851085700525| 11.941 -36.674    |7.05     |K1III          |    ~     ~    |    1|  288.334   pc  |  -1.3468     +1.3468    |paral   |2020yCat.1350....0G
505 |HD 32504                                                                                                                                    |Star                               |05 02 18.2794187496 -31 41 44.256317460|233.8979675086536 -35.9226239166677| -11.501 15.605    |9.44     |G5(V)          |    ~     ~    |    1|  499.925   pc  |  -2.8491     +2.8491    |paral   |2020yCat.1350....0G
506 |HD 32515                                                                                                                                    |High Proper Motion Star            |05 02 22.8044582352 -31 46 16.802804748|233.9935274377139 -35.9231621087554|  -6.866 84.982    |5.903    |K2III          |    ~     ~    |    1|   99.424   pc  |  -0.3203     +0.3203    |paral   |2020yCat.1350....0G
507 |CD-31 2164                                                                                                                                  |Long-Period Variable               |05 02 31.6006541904 -31 29 41.003576952|233.6684543241988 -35.8331050110870|    2.653 4.383    |10.46    |~              |    ~     ~    |    1| 1960.016   pc  | -57.2408    +57.2408    |paral   |2020yCat.1350....0G
508 |HD 32569                                                                                                                                    |Star                               |05 02 46.5986552633 -30 50 11.313090644|232.8922302648664 -35.6352653943461|  3.848 -44.271    |9.298    |K1III          |    ~     ~    |    1|  231.091   pc  |  -0.6354     +0.6354    |paral   |2020yCat.1350....0G
509 |CD-31 2173                                                                                                                                  |Star                               |05 03 36.0175588056 -31 15 12.650278932|233.4406340313416 -35.5565853367455|  10.400 -7.672    |10.083   |K0             |    ~     ~    |    1|  691.676   pc  | -19.0700    +19.0700    |ST-L    |2020AJ....160...83S
510 |HD 32252                                                                                                                                    |Star                               |05 00 24.3217565448 -31 48 48.241606284|233.9344456499293 -36.3421646275267|  -4.672 17.238    |8.11     |A3III/IV       |    ~     ~    |    1|  129.777   pc  |  -0.3655     +0.3655    |paral   |2020yCat.1350....0G
511 |HD 32194                                                                                                                                    |High Proper Motion Star            |05 00 02.6734178304 -32 23 50.399136600|234.6251951038079 -36.5371497990377|  55.321 42.078    |9.67     |G5V            |    ~     ~    |    1|  101.792   pc  |  -0.1233     +0.1233    |paral   |2020yCat.1350....0G
512 |CD-32 2087                                                                                                                                  |Star                               |05 00 19.5919231104 -32 20 56.899121712|234.5814791860310 -36.4690865635168|   -5.398 0.395    |10.230   |K0             |    ~     ~    |    1|  758.241   pc  | -23.5400    +23.5400    |ST-L    |2020AJ....160...83S
513 |HD 32490                                                                                                                                    |Star                               |05 02 10.4743852920 -32 08 50.652959820|234.4364265295380 -36.0451819665263|  1.558 -13.828    |9.05     |F2V            |    ~     ~    |    1|  295.858   pc  |  -1.1992     +1.1992    |paral   |2020yCat.1350....0G
514 |HD 32586                                                                                                                                    |Star                               |05 02 54.7605984312 -32 02 08.828657016|234.3421720864488 -35.8688958919783| -6.138 -33.313    |9.21     |F6V            |    ~     ~    |    1|  202.151   pc  |  -0.6416     +0.6416    |paral   |2020yCat.1350....0G
515 |HD 32691                                                                                                                                    |Star                               |05 03 44.8911857184 -31 58 43.926075444|234.3199859374769 -35.6837243985401|   0.503 -5.842    |9.66     |K1III          |    ~     ~    |    1|  590.595   pc  | -14.3500    +14.3500    |ST-L    |2020AJ....160...83S
516 |CD-31 2158                                                                                                                                  |Star                               |05 01 39.1340600184 -31 40 01.907795496|233.8269310781799 -36.0521224305805|    6.178 1.669    |10.41    |~              |    ~     ~    |    1|  290.605   pc  | -19.7616    +19.7616    |paral   |2020yCat.1350....0G
517 |CD-32 2117                                                                                                                                  |Star                               |05 03 06.5047936992 -31 53 25.114129224|234.1777009699060 -35.7974320683093|  16.598 -8.960    |10.60    |~              |    ~     ~    |    1|  241.815   pc  |  -0.7075     +0.7075    |paral   |2020yCat.1350....0G
518 |CD-31 2144                                                                                                                                  |Star                               |05 00 38.5596684744 -31 26 01.433142060|233.4875263362626 -36.2121966629212|   6.364 30.112    |10.45    |~              |    ~     ~    |    1|  169.431   pc  |  -0.3560     +0.3560    |paral   |2020yCat.1350....0G
519 |CD-32 2092                                                                                                                                  |Star                               |05 00 50.6042208192 -31 52 32.727866952|234.0343144976632 -36.2642876562047|   1.200 -8.242    |10.20    |~              |    ~     ~    |    1| 1102.050   pc  | -19.4322    +19.4322    |paral   |2020yCat.1350....0G
520 |CD-32 2096                                                                                                                                  |Star                               |05 01 23.5070932968 -32 20 40.411597560|234.6329036677603 -36.2478955351286|-12.112 -12.799    |10.564   |~              |    ~     ~    |    1|  324.501   pc  |  -5.5050     +5.5050    |ST-L    |2020AJ....160...83S
521 |CD-32 2105                                                                                                                                  |Star                               |05 02 15.3602762016 -31 55 20.541730044|234.1689228617780 -35.9810190135122|   3.799 -8.797    |10.41    |~              |    ~     ~    |    1|  704.225   pc  |  -7.4390     +7.4390    |paral   |2020yCat.1350....0G
522 |CD-30 2162                                                                                                                                  |High Proper Motion Star            |05 02 54.7838631720 -30 13 14.873628144|232.1639221735319 -35.4655502271510|  39.360 41.670    |10.86    |~              |    ~     ~    |    1|  283.190   pc  |  -1.1228     +1.1228    |paral   |2020yCat.1350....0G
523 |CD-32 2116                                                                                                                                  |Star                               |05 03 01.9825592544 -32 37 15.561657300|235.0555067494691 -35.9656893991276|   1.886 12.583    |9.98     |~              |    ~     ~    |    1| 1500.150   pc  | -28.3557    +28.3557    |paral   |2020yCat.1350....0G
524 |CD-32 2119                                                                                                                                  |Star                               |05 03 19.7397369936 -32 21 03.221170452|234.7451209930853 -35.8488852949095|  -8.405 15.937    |10.62    |~              |    ~     ~    |    1|  516.529   pc  |  -3.5751     +3.5751    |paral   |2020yCat.1350....0G
525 |CD-31 2174                                                                                                                                  |Star                               |05 03 37.8917998368 -30 53 25.122171084|233.0076126455103 -35.4687046828941|   2.463 -0.823    |10.718   |~              |    ~     ~    |    1|  811.669   pc  | -40.3600    +40.3600    |ST-L    |2020AJ....160...83S
526 |CD-32 2109                                                                                                                                  |Star                               |05 02 47.1047734440 -32 23 19.148984736|234.7612931715564 -35.9690702797022|    0.802 6.020    |10.11    |~              |    ~     ~    |    1|  588.963   pc  |  -3.8156     +3.8156    |paral   |2020yCat.1350....0G
527 |TYC 7047-573-1                                                                                                                              |Star                               |05 02 11.9938355496 -32 15 34.225920504|234.5734338642102 -36.0632660132920|  16.633 21.328    |10.86    |~              |    ~     ~    |    1|  280.930   pc  |  -0.8681     +0.8681    |paral   |2020yCat.1350....0G
528 |TYC 7047-604-1                                                                                                                              |Star                               |05 00 51.2623837128 -32 15 56.504788560|234.5082542503264 -36.3428769267441|   4.054 19.587    |10.645   |~              |    ~     ~    |    1|  361.045   pc  |  -7.0390     +7.0390    |ST-L    |2020AJ....160...83S
529 |TYC 7047-685-1                                                                                                                              |High Proper Motion Star            |05 02 58.7597531976 -32 15 38.905211124|234.6173737651765 -35.9023642376752|  25.507 99.523    |10.77    |~              |    ~     ~    |    1|  125.298   pc  |  -0.1900     +0.1900    |paral   |2020yCat.1350....0G
530 |TYC 7047-816-1                                                                                                                              |Star                               |05 01 36.7645585248 -32 02 26.151508788|234.2764089472519 -36.1392396703015|  20.744 12.183    |10.789   |~              |    ~     ~    |    1|  321.137   pc  |  -5.0280     +5.0280    |ST-L    |2020AJ....160...83S
531 |TYC 7047-820-1                                                                                                                              |High Proper Motion Star            |05 02 52.4495249184 -31 58 54.033710412|234.2747810465313 -35.8654253802952|-14.961 -78.162    |10.87    |~              |    ~     ~    |    1|   95.735   pc  |  -0.1072     +0.1072    |paral   |2020yCat.1350....0G
532 |TYC 7047-901-1                                                                                                                              |Star                               |05 03 11.5176888048 -32 03 41.290981668|234.3885745994837 -35.8164833311893|  12.931 -0.132    |10.70    |~              |    ~     ~    |    1| 1144.558   pc  | -14.8031    +14.8031    |paral   |2020yCat.1350....0G
533 |TYC 7047-1013-1                                                                                                                             |Star                               |05 03 39.6465797136 -31 33 42.232503456|233.8138254810614 -35.6118214314987|    2.414 8.405    |10.535   |~              |    ~     ~    |    1| 1318.190   pc  | -76.5600    +76.5600    |ST-L    |2020AJ....160...83S
534 |TYC 7047-1546-1                                                                                                                             |Star                               |05 00 26.8028372208 -30 22 51.797872020|232.2051450362515 -36.0204938804475| -9.036 -10.545    |10.804   |~              |    ~     ~    |    1|  273.614   pc  |  -4.2150     +4.2150    |ST-L    |2020AJ....160...83S
