C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
406 |HD 106582                                                                                                |Star                                |12 15 36.5590720176 -20 31 46.102606500|291.6953922576625 +41.5592335267817| -38.365 29.042   |6.84     |K1III          |    ~     ~    |    1|  145.514   pc  |  -0.5336     +0.5336  |paral   |2020yCat.1350....0G
407 |HD 107219                                                                                                |High Proper Motion Star             |12 19 43.6407341928 -20 21 22.569842700|292.9274119538596 +41.8986460862927|-137.982 -36.776  |9.16     |G8V            |    ~     ~    |    1|  110.297   pc  |  -0.2275     +0.2275  |paral   |2020yCat.1350....0G
408 |HD 107368                                                                                                |Star                                |12 20 40.9283967328 -20 37 14.851160404|293.2808501072780 +41.6738846186906| -4.548 -28.379   |9.677    |G2V            |    ~     ~    |    1|  438.017   pc  | -95.0400    +95.0400  |ST-L    |2020AJ....160...83S
409 |HD 107454                                                                                                |Spectroscopic Binary                |12 21 14.1653921016 -20 42 28.849317804|293.4704941621548 +41.6082189912552|-121.353 32.612   |9.60     |G6/8(IV)       |    ~     ~    |    1|   96.859   pc  |  -0.1707     +0.1707  |paral   |2020yCat.1350....0G
410 |HD 107489                                                                                                |High Proper Motion Star             |12 21 22.5478016304 -20 24 05.014955844|293.4494990733645 +41.9161807907368| -69.226 -6.489   |9.73     |F5V            |    ~     ~    |    1|  150.152   pc  |  -0.4171     +0.4171  |paral   |2020yCat.1350....0G
411 |HD 106598                                                                                                |Star                                |12 15 40.6222546728 -21 23 52.431310068|291.9279701100044 +40.7085114709033| -39.520 20.929   |9.95     |A8III/IV       |    ~     ~    |    1|  275.947   pc  | -13.2800    +13.2800  |ST-L    |2020AJ....160...83S
412 |HD 106698                                                                                                |Star                                |12 16 16.2321481344 -20 53 57.966493488|291.9882674010889 +41.2238181916003| -22.323 -9.624   |9.89     |K2/3(III)      |    ~     ~    |    1|  561.136   pc  | -16.4364    +16.4364  |paral   |2020yCat.1350....0G
413 |HD 106699                                                                                                |Spectroscopic Binary                |12 16 15.2735038440 -21 05 34.511800884|292.0297979286225 +41.0328425574599|  -66.795 1.234   |10.362   |G6(IV)         |    ~     ~    |    1|  231.829   pc  |  -5.4580     +5.4580  |ST-L    |2020AJ....160...83S
414 |HD 106787                                                                                                |Double or Multiple Star             |12 16 50.3471297184 -21 00 17.457549732|292.1869072464976 +41.1439135641397| -13.321 -2.518   |10.030   |F5V            |    ~     ~    |    1|   42.2695  pc  |  -1.6139     +1.6139  |paral   |2018yCat.1345....0G
415 |HD 106820                                                                                                |Star                                |12 17 05.7528321168 -20 50 45.611040660|292.2279148380824 +41.3108738397580| -15.926 17.379   |10.068   |G8/K0III/IV    |    ~     ~    |    1|  403.387   pc  | -11.8700    +11.8700  |ST-L    |2020AJ....160...83S
416 |HD 106855                                                                                                |Double or Multiple Star             |12 17 23.97512 -21 03 30.2268          |292.37034846 +41.11425810          |-111.72 -161.26   |9.283    |K1V            |    ~     ~    |    0|                |                       |        |                   
417 |HD 106934                                                                                                |High Proper Motion Star             |12 17 50.6898927672 -20 51 49.983466500|292.4614505149344 +41.3238855698689| -63.293 -2.374   |8.30     |K2III          |    ~     ~    |    1|  263.179   pc  |  -1.8840     +1.8840  |paral   |2020yCat.1350....0G
418 |HD 106991                                                                                                |High Proper Motion Star             |12 18 13.6672622160 -20 50 25.433467764|292.5734549842482 +41.3624236289373|-124.536 35.236   |7.30     |G0V            |    ~     ~    |    1|  113.163   pc  |  -0.3099     +0.3099  |paral   |2020yCat.1350....0G
419 |HD 107003                                                                                                |Star                                |12 18 26.6628923208 -20 48 35.191082880|292.6329493418959 +41.4012374515765|  -8.145 -7.977   |7.41     |M2III          |    ~     ~    |    1|  617.322   pc  |  -9.2985     +9.2985  |paral   |2020yCat.1350....0G
420 |HD 107091                                                                                                |Star                                |12 18 54.9457265400 -21 31 18.753061800|292.9354138086581 +40.7177525564422| -0.425 -12.275   |8.22     |K3/4III        |    ~     ~    |    1|  572.115   pc  |  -8.6411     +8.6411  |paral   |2020yCat.1350....0G
421 |HD 107242                                                                                                |Spectroscopic Binary                |12 19 56.1607613784 -21 29 36.080497068|293.2382868330197 +40.7847027954080|-28.240 -23.535   |9.02     |F7V            |    ~     ~    |    1|  122.710   pc  |  -0.8116     +0.8116  |paral   |2020yCat.1350....0G
422 |HD 107331                                                                                                |Star                                |12 20 32.7125882304 -20 49 57.925115112|293.2837939333613 +41.4595265326712|  -5.651 -0.948   |9.91     |K2/3(III)      |    ~     ~    |    1| 1299.545   pc  | -35.1274    +35.1274  |paral   |2020yCat.1350....0G
423 |HD 107499                                                                                                |Star                                |12 21 29.0136520992 -21 36 44.918737272|293.7321085486325 +40.7235729659869|   9.945 -3.506   |10.184   |G8V            |    ~     ~    |    1|  327.022   pc  |  -1.7218     +1.7218  |paral   |2020yCat.1350....0G
424 |BD-20 3630                                                                                               |Double or Multiple Star             |12 21 52.581 -21 39 50.94              |293.861477 +40.686376              |        4.2 1.0   |9.7      |G0             |    ~     ~    |    0|                |                       |        |                   
425 |HD 106611                                                                                                |Star                                |12 15 48.9085005432 -22 03 21.207108780|292.1259533516050 +40.0672281804661| -18.181 21.429   |7.39     |K5/M0III       |    ~     ~    |    1|  699.790   pc  | -10.8225    +10.8225  |paral   |2020yCat.1350....0G
426 |HD 106610                                                                                                |Star                                |12 15 50.2055893032 -21 57 21.504017736|292.1088658579560 +40.1664141883379| -23.954 -5.533   |9.57     |K1(II)         |    ~     ~    |    1|  408.814   pc  |  -2.5738     +2.5738  |paral   |2020yCat.1350....0G
427 |HD 106646                                                                                                |Star                                |12 15 56.2400449776 -21 48 44.805360492|292.1050625333168 +40.3117966303078| -24.410 -1.193   |9.57     |K2/3(III)      |    ~     ~    |    1|  842.673   pc  | -12.3557    +12.3557  |paral   |2020yCat.1350....0G
428 |HD 106897                                                                                                |Variable Star                       |12 17 39.8216666784 -21 57 17.669321640|292.6546377472222 +40.2418898392834|-18.965 -14.558   |8.67     |K3III          |    ~     ~    |    1|  538.358   pc  |  -7.0139     +7.0139  |paral   |2020yCat.1350....0G
429 |HD 107243                                                                                                |Star                                |12 19 54.5152617000 -22 11 11.776077204|293.3760560031552 +40.0993991682435|-20.428 -17.920   |8.66     |K0III          |    ~     ~    |    1|  325.098   pc  |  -2.1032     +2.1032  |paral   |2020yCat.1350....0G
430 |HD 107295                                                                                                |Double or Multiple Star             |12 20 10.7676556 -22 10 32.518069      |293.4547384124 +40.1201299333      | -106.27 -29.81   |5.97     |K0III+F/G      |0.0067  0.0    |    0|                |                       |        |                   
431 |* zet Crv                                                                                                |Be Star                             |12 20 33.6419830656 -22 12 57.241705320|293.5769482455107 +40.0943066351422|-108.879 -27.661  |5.21     |B8V            |    ~     ~    |    1|  117.940   pc  |  -1.2324     +1.2324  |paral   |2020yCat.1350....0G
432 |HD 107405                                                                                                |Double or Multiple Star             |12 20 55.8356509392 -21 52 20.901275364|293.6178151235761 +40.4468930583150|   -4.637 5.303   |10.05    |G8III/IV       |    ~     ~    |    1|  457.708   pc  | -33.3937    +33.3937  |paral   |2020yCat.1350....0G
433 |HD 107555                                                                                                |High Proper Motion Star             |12 21 45.7880140848 -22 03 46.979031456|293.9064306319035 +40.2880768840473|-141.669 -49.959  |9.72     |G5V            |    ~     ~    |    1|  128.712   pc  |  -0.2783     +0.2783  |paral   |2020yCat.1350....0G
434 |HD 107556                                                                                                |Star                                |12 21 49.8320154264 -22 10 39.741631068|293.9492262213537 +40.1770709939936|    2.544 0.791   |9.94     |G8IV/V         |    ~     ~    |    1|  689.608   pc  |  -7.2285     +7.2285  |paral   |2020yCat.1350....0G
435 |HD 107020                                                                                                |Star                                |12 18 30.0707726472 -22 21 18.346565736|292.9925538756405 +39.8801369618117|  -3.785 -3.335   |9.10     |K5/M0III       |    ~     ~    |    1|  745.434   pc  | -12.3915    +12.3915  |paral   |2020yCat.1350....0G
436 |HD 107389                                                                                                |Star                                |12 20 48.7194050496 -22 19 39.931209192|293.6746874394497 +39.9928508110995|-43.149 -15.754   |8.54     |K1/2III        |    ~     ~    |    1|  280.316   pc  |  -2.0273     +2.0273  |paral   |2020yCat.1350....0G
437 |HD 107521                                                                                                |Star                                |12 21 38.9375505912 -22 19 52.400765136|293.9251008533054 +40.0189831907486|   1.521 -1.314   |10.37    |F8/G2V         |    ~     ~    |    1|  471.921   pc  | -35.5889    +35.5889  |paral   |2020yCat.1350....0G
438 |BD-19 3449                                                                                               |Star                                |12 16 21.9583569000 -20 30 39.000559104|291.9236643221392 +41.6100335091755|  -32.566 6.304   |10.992   |~              |    ~     ~    |    1|  373.695   pc  | -19.7700    +19.7700  |ST-L    |2020AJ....160...83S
439 |BD-19 3450                                                                                               |Star                                |12 16 37.3548967008 -20 06 43.832779848|291.9060438756457 +42.0129914306939|  -9.347 11.251   |10.682   |~              |    ~     ~    |    1|  289.336   pc  |  -4.9940     +4.9940  |ST-L    |2020AJ....160...83S
440 |BD-20 3612                                                                                               |Star                                |12 16 45.8037001896 -21 35 13.303374468|292.3003187158220 +40.5678180751463|  -8.594 16.700   |10.751   |~              |    ~     ~    |    1|  357.596   pc  |  -8.7040     +8.7040  |ST-L    |2020AJ....160...83S
441 |BD-19 3453                                                                                               |High Proper Motion Star             |12 17 41.5618532328 -20 29 14.410291776|292.3271870280797 +41.6885017277691| -57.180 15.612   |10.903   |~              |    ~     ~    |    1|  312.757   pc  |  -7.3040     +7.3040  |ST-L    |2020AJ....160...83S
442 |BD-19 3454                                                                                               |Star                                |12 18 05.8389218280 -20 11 11.416599708|292.3822038161725 +42.0012575310346|  -31.790 6.582   |10.755   |~              |    ~     ~    |    1|  270.263   pc  | -19.3200    +19.3200  |ST-L    |2020AJ....160...83S
443 |BD-20 3620                                                                                               |High Proper Motion Star             |12 18 36.9494591832 -21 39 26.082984996|292.8745384408260 +40.5726567047933| -64.428 27.487   |10.69    |~              |    ~     ~    |    1|  371.634   pc  |  -9.8070     +9.8070  |ST-L    |2020AJ....160...83S
444 |BD-19 3457                                                                                               |Star                                |12 19 13.4621304000 -20 33 25.481956896|292.8162774085911 +41.6810720424576|   46.182 7.416   |10.787   |~              |    ~     ~    |    1|  148.871   pc  |  -1.7190     +1.7190  |ST-L    |2020AJ....160...83S
445 |BD-20 3622                                                                                               |Star                                |12 19 24.0452000760 -21 10 51.999820932|293.0082416955772 +41.0724950431211|   5.701 -4.215   |10.715   |~              |    ~     ~    |    1|  906.595   pc  | -38.4800    +38.4800  |ST-L    |2020AJ....160...83S
446 |BD-20 3625                                                                                               |Star                                |12 19 58.8688521240 -21 38 53.858183424|293.2848082276787 +40.6334666265291|  -3.855 -6.142   |9.94     |~              |    ~     ~    |    1|  690.703   pc  |  -7.0606     +7.0606  |paral   |2020yCat.1350....0G
447 |BD-20 3628                                                                                               |Star                                |12 21 10.5705450192 -21 04 18.605780796|293.5278145263076 +41.2466742565003| -27.327 -4.377   |10.23    |~              |    ~     ~    |    1|  683.901   pc  |  -8.7464     +8.7464  |paral   |2020yCat.1350....0G
448 |BD-20 3631                                                                                               |Star                                |12 22 19.7590335432 -20 49 09.714939492|293.8308944562377 +41.5374167243873| -16.991 -4.587   |10.90    |~              |    ~     ~    |    1| 1011.080   pc  | -57.0900    +57.0900  |ST-L    |2020AJ....160...83S
449 |TYC 6101-1105-1                                                                                          |Star                                |12 15 20.5209556584 -20 07 05.648324808|291.5100856405443 +41.9515772732323| -15.146 -0.599   |10.235   |~              |    ~     ~    |    1| 1626.590   pc  |-157.1000   +157.1000  |ST-L    |2020AJ....160...83S
450 |TYC 6101-1224-1                                                                                          |Star                                |12 15 22.1197088472 -21 38 10.447934208|291.8925224273910 +40.4610762707927| -30.750 -4.102   |10.722   |~              |    ~     ~    |    1|  244.738   pc  |  -3.4730     +3.4730  |ST-L    |2020AJ....160...83S
451 |TYC 6101-1463-1                                                                                          |High Proper Motion Star             |12 15 26.2492565976 -20 47 51.899962704|291.7089901196432 +41.2881538955727|-73.567 -33.026   |10.753   |~              |    ~     ~    |    1|  246.326   pc  |  -3.7590     +3.7590  |ST-L    |2020AJ....160...83S
452 |TYC 6105-939-1                                                                                           |Star                                |12 17 13.4120979624 -19 58 29.480057220|292.0598409211550 +42.1734666576188| -14.871 12.907   |10.882   |~              |    ~     ~    |    1|  801.663   pc  | -38.0900    +38.0900  |ST-L    |2020AJ....160...83S
453 |TYC 6108-531-1                                                                                           |Star                                |12 17 41.1481841424 -20 37 42.563076384|292.3580425479279 +41.5492363471862| -12.560 14.089   |10.72    |~              |    ~     ~    |    1|  862.716   pc  | -37.7100    +37.7100  |ST-L    |2020AJ....160...83S
454 |TYC 6108-535-1                                                                                           |Star                                |12 18 25.0628766288 -21 22 00.715846764|292.7502253139382 +40.8511606336811| -10.885 -3.695   |10.72    |~              |    ~     ~    |    1| 1942.879   pc  | -86.4425    +86.4425  |paral   |2020yCat.1350....0G
455 |TYC 6108-988-1                                                                                           |Star                                |12 19 52.2758776320 -22 00 32.519329164|293.3277274741687 +40.2733048621566|  -13.586 7.154   |10.3     |~              |    ~     ~    |    1| 1017.915   pc  | -18.0290    +18.0290  |paral   |2020yCat.1350....0G
456 |TYC 6108-1202-1                                                                                          |Star                                |12 16 54.4183244256 -21 07 51.672501660|292.2372701184861 +41.0225521753374|   -7.689 1.982   |10.695   |~              |    ~     ~    |    1| 2429.180   pc  |-395.5000   +395.5000  |ST-L    |2020AJ....160...83S
457 |TYC 6108-1337-1                                                                                          |Star                                |12 16 16.2415716192 -21 17 43.584940572|292.0829747878956 +40.8343111567359| -8.888 -12.688   |10.915   |~              |    ~     ~    |    1|  909.765   pc  | -55.9100    +55.9100  |ST-L    |2020AJ....160...83S
458 |LP 794-51                                                                                                |High Proper Motion Star             |12 18 50.5374728280 -21 31 10.682951592|292.9126914370270 +40.7171222069520|-206.620 -34.524  |10.70    |~              |    ~     ~    |    1|   53.197   pc  |  -0.0795     +0.0795  |paral   |2020yCat.1350....0G
459 |HD 106647                                                                                                |Star                                |12 15 57.2697399624 -22 30 00.919604376|292.2709461669806 +39.6358246972849| -17.683 25.503   |9.00     |K1III          |    ~     ~    |    1|  405.071   pc  |  -2.9535     +2.9535  |paral   |2020yCat.1350....0G
460 |HD 107500                                                                                                |Star                                |12 21 29.1806301792 -22 26 10.777676028|293.8973122321197 +39.9094093118156|  7.048 -16.212   |9.06     |G8/K0IV        |    ~     ~    |    1|  471.520   pc  |  -3.7796     +3.7796  |paral   |2020yCat.1350....0G
461 |HD 107674                                                                                                |High Proper Motion Star             |12 22 29.1815424696 -22 27 03.193834032|294.1980672042214 +39.9293738445271|  -62.133 1.563   |9.96     |G0V            |    ~     ~    |    1|  156.673   pc  |  -1.6470     +1.6470  |ST-L    |2020AJ....160...83S
462 |BD-21 3523                                                                                               |Star                                |12 21 38.1611709528 -22 35 26.613255804|293.9721085825986 +39.7619810201291| -10.005 -2.800   |10.69    |~              |    ~     ~    |    1|  359.260   pc  |  -2.5168     +2.5168  |paral   |2020yCat.1350....0G
463 |BD-22 3317                                                                                               |Star                                |12 15 05.3673773160 -22 52 00.948238428|292.1021905514108 +39.2392436169370| -20.912 -2.778   |10.625   |K              |    ~     ~    |    1|  747.025   pc  | -40.6900    +40.6900  |ST-L    |2020AJ....160...83S
464 |BD-22 3318                                                                                               |Star                                |12 15 19.3471957920 -23 07 24.393970236|292.2298756337390 +38.9966323351711|  -5.794 32.967   |10.30    |F8             |    ~     ~    |    1|  276.030   pc  |  -2.0572     +2.0572  |paral   |2020yCat.1350....0G
465 |BD-22 3320                                                                                               |Star                                |12 15 36.1136067624 -23 03 37.600045920|292.2967409141625 +39.0701221636480| -31.819 -1.812   |10.359   |G0             |    ~     ~    |    1|  128.365   pc  |  -1.0980     +1.0980  |ST-L    |2020AJ....160...83S
466 |BD-22 3321                                                                                               |Star                                |12 15 38.4136841208 -22 54 07.992166176|292.2714915626319 +39.2273779763672|  -32.115 0.039   |10.084   |K              |    ~     ~    |    1|  672.725   pc  | -25.4000    +25.4000  |ST-L    |2020AJ....160...83S
467 |BD-22 3323                                                                                               |Star                                |12 16 10.3454627880 -23 03 01.754452404|292.4608760055470 +39.1031707598479|-35.088 -13.762   |10.864   |G              |    ~     ~    |    1|  270.632   pc  |  -4.5060     +4.5060  |ST-L    |2020AJ....160...83S
468 |HD 106684                                                                                                |Star                                |12 16 12.1659678000 -22 49 49.847016612|292.4197899580759 +39.3209414840502| -18.105 -4.767   |10.07    |F3V            |    ~     ~    |    1|  221.612   pc  |  -0.9724     +0.9724  |paral   |2020yCat.1350....0G
469 |BD-22 3325                                                                                               |Star                                |12 16 18.4667166288 -22 48 57.213027576|292.4472595751244 +39.3395912601057| 16.722 -34.458   |10.508   |G0             |    ~     ~    |    1|  248.043   pc  |  -3.9610     +3.9610  |ST-L    |2020AJ....160...83S
470 |BD-22 3326                                                                                               |High Proper Motion Star             |12 17 02.4213993528 -23 28 38.467585668|292.8081815712725 +38.7172738401490|  -89.716 4.655   |10.77    |G              |    ~     ~    |    1|  153.695   pc  |  -1.5260     +1.5260  |ST-L    |2020AJ....160...83S
471 |HD 106864                                                                                                |Star                                |12 17 30.7185660720 -23 30 00.368128548|292.9497055436385 +38.7131695827677| -22.796 -4.397   |10.05    |A8/9V          |    ~     ~    |    1|  238.254   pc  |  -5.7446     +5.7446  |paral   |2020yCat.1350....0G
472 |BD-22 3332                                                                                               |High Proper Motion Star             |12 17 53.7807562801 -23 18 51.467558783|293.0213349607024 +38.9111217604499|-17.464 -343.236  |10.085   |K4V            |    ~     ~    |    1|   50.2983  pc  |  -0.0437     +0.0437  |paral   |2020yCat.1350....0G
473 |HD 107004                                                                                                |Star                                |12 18 21.9740644272 -22 56 54.126886416|293.0802945374255 +39.2899090306345|  -21.647 4.076   |9.35     |M0(III)        |    ~     ~    |    1|  945.269   pc  | -16.3517    +16.3517  |paral   |2020yCat.1350....0G
474 |HD 107042                                                                                                |High Proper Motion Star             |12 18 38.0416239912 -23 00 51.641681112|293.1728421670110 +39.2349800291974|-55.021 -15.137   |9.813    |F6V            |    ~     ~    |    1|  147.457   pc  |  -2.9150     +2.9150  |ST-L    |2020AJ....160...83S
475 |HD 107104                                                                                                |Star                                |12 19 01.8300909144 -22 53 18.077588376|293.2626644419216 +39.3741681269341| -24.074 -6.681   |9.12     |M1(III)        |    ~     ~    |    1|  830.703   pc  | -15.8715    +15.8715  |paral   |2020yCat.1350....0G
476 |BD-22 3341                                                                                               |Star                                |12 19 17.4290255616 -23 20 31.724451168|293.4330292292917 +38.9359361917550| -6.522 -19.860   |10.169   |G              |    ~     ~    |    1|  223.793   pc  |  -3.7380     +3.7380  |ST-L    |2020AJ....160...83S
477 |HD 107163                                                                                                |High Proper Motion Star             |12 19 28.7640901872 -23 07 31.229635044|293.4435978013008 +39.1568890113724| 72.104 -48.069   |9.836    |G5V            |    ~     ~    |    1|   90.039   pc  |  -0.7539     +0.7539  |ST-L    |2020AJ....160...83S
478 |HD 107220                                                                                                |Star                                |12 19 41.3981417376 -23 25 58.088892468|293.5678253019568 +38.8609964243201|   9.281 -9.852   |9.02     |A8V            |    ~     ~    |    1|  445.899   pc  | -14.1700    +14.1700  |ST-L    |2020AJ....160...83S
479 |BD-22 3346                                                                                               |Star                                |12 20 05.3754992544 -23 10 39.884241360|293.6328492388377 +39.1273023247744|  -19.560 3.223   |9.934    |K0             |    ~     ~    |    1|  851.223   pc  | -50.7500    +50.7500  |ST-L    |2020AJ....160...83S
480 |BD-22 3347                                                                                               |Star                                |12 20 20.0126487288 -23 42 07.523594100|293.8084282653658 +38.6180062469899|  2.048 -13.512   |10.27    |K              |    ~     ~    |    1|  691.467   pc  |  -7.6022     +7.6022  |paral   |2020yCat.1350....0G
481 |BD-22 3348                                                                                               |Star                                |12 20 27.2143644768 -23 39 55.529264196|293.8359675464129 +38.6584629615880|  -11.010 5.691   |10.480   |K0             |    ~     ~    |    1|  921.019   pc  | -44.3100    +44.3100  |ST-L    |2020AJ....160...83S
482 |HD 107455                                                                                                |High Proper Motion Star             |12 21 11.0510333050 -23 40 12.665843550|294.0486711425409 +38.6791586864726|  -65.432 3.882   |8.89     |F3V            |    ~     ~    |    0|                |                       |        |                   
483 |BD-22 3352                                                                                               |Star                                |12 21 20.9613624216 -23 05 30.712730820|293.9850997507766 +39.2566082613257|  -6.542 21.810   |10.20    |G0             |    ~     ~    |    1|  177.236   pc  |  -0.7319     +0.7319  |paral   |2020yCat.1350....0G
484 |HD 107538                                                                                                |Star                                |12 21 41.5753870344 -22 53 19.074740028|294.0468282977557 +39.4693942287190|  -0.479 11.384   |7.72     |K2/3III        |    ~     ~    |    1|  329.131   pc  |  -2.3940     +2.3940  |paral   |2020yCat.1350....0G
485 |BD-22 3354                                                                                               |Star                                |12 21 49.7241378792 -23 19 46.908290712|294.1712466132487 +39.0378487717773|  11.691 -0.218   |10.568   |K0             |    ~     ~    |    1|  952.469   pc  | -42.0300    +42.0300  |ST-L    |2020AJ....160...83S
486 |BD-22 3357                                                                                               |High Proper Motion Star             |12 22 16.6923589728 -23 07 58.402809732|294.2657094095445 +39.2476761502658| -49.584 12.537   |10.46    |G5             |    ~     ~    |    1|  101.811   pc  |  -0.6893     +0.6893  |ST-L    |2020AJ....160...83S
487 |HD 106567                                                                                                |Star                                |12 15 26.9573733408 -23 47 07.451074860|292.4179615137567 +38.3505087670433| -2.133 -14.522   |9.632    |A7III/IV       |    ~     ~    |    1|  295.614   pc  |  -5.8490     +5.8490  |ST-L    |2020AJ....160...83S
488 |HD 106627                                                                                                |Star                                |12 15 51.2247770640 -23 50 38.939714592|292.5472471903622 +38.3090046866947| 29.722 -24.853   |9.840    |G5V            |    ~     ~    |    1|  158.816   pc  |  -2.5140     +2.5140  |ST-L    |2020AJ....160...83S
489 |HD 106662                                                                                                |High Proper Motion Star             |12 16 06.2336335896 -24 06 46.714193028|292.6784953497825 +38.0542717737643| -73.879 11.570   |9.582    |F5/6V          |    ~     ~    |    1|  138.304   pc  |  -1.2600     +1.2600  |ST-L    |2020AJ....160...83S
490 |CD-23 10476                                                                                              |Star                                |12 18 32.3536705296 -23 42 42.661156896|293.2916391969021 +38.5432884219059| -14.748 -1.525   |10.15    |~              |    ~     ~    |    1|  725.125   pc  | -22.9400    +22.9400  |ST-L    |2020AJ....160...83S
491 |HD 107043                                                                                                |High Proper Motion Star             |12 18 37.5724790760 -24 07 53.350936752|293.4033735141919 +38.1324250382074|  -57.803 1.193   |9.07     |K0IV           |    ~     ~    |    1|  416.198   pc  |  -3.0833     +3.0833  |paral   |2020yCat.1350....0G
492 |HD 107119                                                                                                |Star                                |12 19 06.5436462936 -23 43 04.346912064|293.4574727839104 +38.5583945303130|   -9.090 1.145   |9.40     |K0III          |    ~     ~    |    1|  501.756   pc  |  -4.4561     +4.4561  |paral   |2020yCat.1350....0G
493 |HD 107180                                                                                                |Star                                |12 19 31.6556329176 -24 00 19.044555372|293.6362858230376 +38.2898056892829|  11.170 -3.743   |9.82     |ApEuCrSr       |    ~     ~    |    1|  603.384   pc  | -27.1100    +27.1100  |ST-L    |2020AJ....160...83S
494 |HD 107406                                                                                                |Star                                |12 20 52.7287211280 -23 45 19.400537700|293.9766538647594 +38.5843935268506|   -6.777 1.358   |10.20    |A2IV           |    ~     ~    |    1|  751.104   pc  | -54.0700    +54.0700  |ST-L    |2020AJ....160...83S
495 |CD-23 10503                                                                                              |High Proper Motion Star             |12 21 06.5637639456 -24 01 06.377840544|294.0937654199099 +38.3322760348088| -52.366 -2.771   |10.258   |~              |    ~     ~    |    1|  332.881   pc  |  -8.4320     +8.4320  |ST-L    |2020AJ....160...83S
496 |HD 107501                                                                                                |Star                                |12 21 30.0 -24 13 15                   |294.2443 +38.1454                  |            ~ ~   |10.4     |A7/8V+(F/K)    |    ~     ~    |    0|                |                       |        |                   
497 |CD-23 10505B                                                                                             |Star                                |12 21 30.1 -24 13 19                   |294.2449 +38.1443                  |            ~ ~   |10.3     |~              |    ~     ~    |    0|                |                       |        |                   
498 |HD 107661                                                                                                |Variable Star                       |12 22 26.5839233568 -24 14 11.619648132|294.5176769601672 +38.1610048524296|-37.436 -12.556   |7.02     |K2III          |    ~     ~    |    1|  222.375   pc  |  -4.5149     +4.5149  |paral   |2020yCat.1350....0G
499 |CD-23 10447                                                                                              |Star                                |12 15 51.8831281416 -24 33 57.064712220|292.7101100536471 +37.5988156320065| -3.400 -18.615   |10.502   |~              |    ~     ~    |    1|  197.458   pc  |  -2.6230     +2.6230  |ST-L    |2020AJ....160...83S
500 |CD-23 10464                                                                                              |High Proper Motion Star             |12 17 31.9220778168 -24 32 22.801591284|293.1763699723948 +37.6889671528167|-217.159 12.824   |10.563   |~              |    ~     ~    |    1|  103.281   pc  |  -0.7016     +0.7016  |ST-L    |2020AJ....160...83S
501 |HD 107332                                                                                                |High Proper Motion Star             |12 20 28.9155829032 -24 38 29.594272776|294.0335053449972 +37.6947421622599|-184.896 29.921   |9.90     |G8V            |    ~     ~    |    1|   75.867   pc  |  -0.3711     +0.3711  |ST-L    |2020AJ....160...83S
502 |HD 107601                                                                                                |High Proper Motion Star             |12 22 04.1572653336 -24 41 53.517847020|294.4948140630329 +37.6919433484868|-28.768 -50.121   |9.17     |F2IV           |    ~     ~    |    1|  215.880   pc  |  -0.8342     +0.8342  |paral   |2020yCat.1350....0G
503 |HD 107005                                                                                                |Star                                |12 18 21.5859665736 -25 03 39.205351908|293.5169827035725 +37.2054010747533|  4.951 -16.561   |9.75     |F6/7V          |    ~     ~    |    1|  209.745   pc  |  -7.3776     +7.3776  |paral   |2020yCat.1350....0G
504 |CD-24 10290                                                                                              |Spectroscopic Binary                |12 21 31.3836732336 -24 56 46.320177264|294.3854128263929 +37.4286096363542|  7.220 -12.863   |10.50    |~              |    ~     ~    |    1|  134.468   pc  |  -0.2604     +0.2604  |paral   |2020yCat.1350....0G
505 |CD-24 10301                                                                                              |Star                                |12 22 15.9188380128 -25 04 44.782841640|294.6188939964034 +37.3212981243260|  -8.608 -4.633   |10.58    |~              |    ~     ~    |    1|  404.694   pc  |  -3.4230     +3.4230  |paral   |2020yCat.1350....0G
506 |HD 107662                                                                                                |Star                                |12 22 21.6952780848 -25 11 46.655598912|294.6668655388056 +37.2083823580270|-24.337 -27.576   |9.21     |K5(III)        |    ~     ~    |    1|  904.241   pc  | -17.7430    +17.7430  |paral   |2020yCat.1350....0G
507 |BD-22 3328                                                                                               |Star                                |12 17 26.6302648032 -23 13 44.094563472|292.8711723070846 +38.9778313775425|-35.980 -18.985   |10.991   |~              |    ~     ~    |    1|  259.402   pc  |  -4.9170     +4.9170  |ST-L    |2020AJ....160...83S
508 |BD-22 3331                                                                                               |Star                                |12 17 52.6848254472 -23 14 55.608744804|293.0019571855638 +38.9750188309867|-24.661 -12.714   |10.903   |~              |    ~     ~    |    1|  254.991   pc  |  -3.8130     +3.8130  |ST-L    |2020AJ....160...83S
509 |BD-22 3335                                                                                               |Star                                |12 18 35.5019684856 -23 13 15.850178220|293.2041102601052 +39.0294526731752|   0.983 -2.799   |10.906   |~              |    ~     ~    |    1|  467.714   pc  | -13.4400    +13.4400  |ST-L    |2020AJ....160...83S
