C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:05:29

dec< 0&rah >=12.25&rah< 12.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5342

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 106973                                                                                                |Star                                |12 18 09.3525519768 -01 10 02.274304584|285.7952234745520 +60.5923363982264|  -1.930 -8.313   |10.08    |F5V            |    ~     ~    |    1|  331.972   pc  |  -8.2040     +8.2040  |ST-L    |2020AJ....160...83S
23  |HD 107639                                                                                                |High Proper Motion Star             |12 22 13.1111517696 -01 27 34.582343544|287.9450568698332 +60.5591179173598| -54.945 -1.833   |9.55     |G8IV           |    ~     ~    |    1|  535.189   pc  |  -4.6401     +4.6401  |paral   |2020yCat.1350....0G
24  |HD 106878                                                                                                |Star                                |12 17 31.4141355960 -02 03 27.059153868|285.9558191203314 +59.6917449465344|   -8.842 0.186   |9.17     |K5             |    ~     ~    |    1|  693.529   pc  |  -9.9082     +9.9082  |paral   |2020yCat.1350....0G
25  |HD 106966                                                                                                |High Proper Motion Star             |12 18 02.8204527600 -01 49 25.902248340|286.0867086875917 +59.9513019903609|  -96.701 7.459   |8.19     |G8V            |    ~     ~    |    1|  251.503   pc  |  -1.4422     +1.4422  |paral   |2020yCat.1350....0G
26  |HD 107136                                                                                                |Star                                |12 19 07.4669828040 -02 02 24.903580236|286.7149485640513 +59.8101833837345|  -28.695 4.807   |9.24     |K0III          |    ~     ~    |    1|  449.035   pc  |  -3.3068     +3.3068  |paral   |2020yCat.1350....0G
27  |HD 107175                                                                                                |High Proper Motion Star             |12 19 24.2066101080 -02 13 50.247919200|286.9422077046201 +59.6429275704332| -74.876 35.503   |9.31     |G6V            |    ~     ~    |    1|  219.082   pc  |  -2.2175     +2.2175  |paral   |2020yCat.1350....0G
28  |HD 106499                                                                                                |High Proper Motion Star             |12 15 02.1024165312 -02 29 17.775129300|285.0049852553854 +59.1105762049499|-34.872 -47.070   |9.786    |G0V            |    ~     ~    |    1|  293.463   pc  | -49.5400    +49.5400  |ST-L    |2020AJ....160...83S
29  |HD 106595                                                                                                |High Proper Motion Star             |12 15 35.4351523440 -02 47 34.418596308|285.4244231838936 +58.8549779806516|-115.834 13.780   |9.770    |G8IV           |    ~     ~    |    1|  141.575   pc  |  -1.1320     +1.1320  |ST-L    |2020AJ....160...83S
30  |HD 106775                                                                                                |Star                                |12 16 44.0905749648 -02 44 22.373803212|285.9309015800411 +58.9819435923982|-10.094 -12.446   |8.04     |K0III          |    ~     ~    |    1|  287.555   pc  |  -2.3401     +2.3401  |paral   |2020yCat.1350....0G
31  |BD-01 2650                                                                                               |Star                                |12 19 49.5783754488 -02 19 04.928933172|287.1868328771143 +59.5838717911957| -48.542 -1.065   |10.597   |G0             |    ~     ~    |    1|  200.542   pc  |  -2.6610     +2.6610  |ST-L    |2020AJ....160...83S
