C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:42:36

dec >=0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3947

 #  |                                                                                  identifier                                                                                   |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 26813                                                                                                                                                                       |Star                               |04 16 28.7992010976 +45 17 45.354547320|156.2953672161145 -03.8809948514866|   1.580 -4.887   |10.65    |F2                |    ~     ~    |    1|  925.241   pc  | -16.6934    +16.6934  |paral   |2020yCat.1350....0G
23  |HD 26858                                                                                                                                                                       |Star                               |04 16 46.3727624232 +45 15 35.335602108|156.3576417611141 -03.8710546368024|   -2.705 7.025   |9.21     |M3                |    ~     ~    |    1|  800.320   pc  | -19.1513    +19.1513  |paral   |2020yCat.1350....0G
24  |HD 26899                                                                                                                                                                       |Star                               |04 17 04.0112463120 +45 01 59.488916052|156.5532113034779 -03.9974584800263|  1.583 -12.435   |10.10    |K0                |    ~     ~    |    1|  485.084   pc  |  -5.3650     +5.3650  |paral   |2020yCat.1350....0G
25  |HD 26908                                                                                                                                                                       |Star                               |04 17 09.4681079184 +45 04 43.799921112|156.5328425984530 -03.9535463439504|   4.773 -6.723   |10.44    |F5                |    ~     ~    |    1|  299.401   pc  |  -2.7072     +2.7072  |paral   |2020yCat.1350....0G
26  |HD 26909                                                                                                                                                                       |Emission-line Star                 |04 17 10.8116534136 +44 55 50.091455460|156.6393545215393 -04.0570112598484|   1.374 -1.130   |10.19    |F8                |    ~     ~    |    1| 1374.948   pc  | -37.8097    +37.8097  |paral   |2020yCat.1350....0G
27  |HD 27038                                                                                                                                                                       |Star                               |04 18 27.2506635552 +45 09 52.264994652|156.6367265148257 -03.7324269575865|  -1.266 12.231   |10.08    |G0                |    ~     ~    |    1|  211.927   pc  |  -5.4704     +5.4704  |paral   |2020yCat.1350....0G
28  |HD 27124                                                                                                                                                                       |Star                               |04 19 00.2298963792 +45 20 04.062668064|156.5864780697459 -03.5434160170622|  2.826 -21.101   |9.23     |F8                |    ~     ~    |    1|  311.556   pc  | -11.3762    +11.3762  |paral   |2020yCat.1350....0G
29  |BD+44 917                                                                                                                                                                      |Star                               |04 20 36.4212262992 +45 03 04.597022304|156.9872008660553 -03.5459453052192|  13.205 -9.696   |9.42     |A5                |    ~     ~    |    1|  374.195   pc  |  -2.4084     +2.4084  |paral   |2020yCat.1350....0G
30  |BD+44 918                                                                                                                                                                      |Star                               |04 20 54.8688149112 +45 08 29.843264220|156.9618282056053 -03.4436456744251|   1.067 -3.130   |10.19    |A2                |    ~     ~    |    1|  825.355   pc  | -12.7386    +12.7386  |paral   |2020yCat.1350....0G
31  |BD+45 897                                                                                                                                                                      |Star                               |04 15 37.9669858968 +45 48 31.376262456|155.8314812116978 -03.6151495400566|   1.060 -1.794   |10.36    |~                 |    ~     ~    |    1| 2971.768   pc  |-145.7182   +145.7182  |paral   |2020yCat.1350....0G
