C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:42:36

dec >=0&rah >=4.25&rah< 4.5&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 3947

 #  |                                                                                  identifier                                                                                   |                typ                |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|-----------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
536 |TYC 3340-1102-1                                                                                                                                                                |Star                               |04 16 33.4186478496 +51 37 09.860437776|151.9085033389815 +00.6761016870364|  12.043 -7.941   |10.83    |~                 |    ~     ~    |    1|  529.325   pc  |  -4.1747     +4.1747  |paral   |2020yCat.1350....0G
537 |TYC 3340-1162-1                                                                                                                                                                |Star                               |04 17 03.4962903552 +51 22 51.305509740|152.1303630601813 +00.5588556494181|   -8.411 5.043   |10.56    |~                 |    ~     ~    |    1|  416.441   pc  |  -3.0349     +3.0349  |paral   |2020yCat.1350....0G
538 |TYC 3340-1209-1                                                                                                                                                                |Star                               |04 16 16.6808625552 +52 09 40.412694924|151.5013867379914 +01.0362615613152|  -2.015 -2.192   |10.44    |~                 |    ~     ~    |    1| 1204.674   pc  | -40.6347    +40.6347  |paral   |2020yCat.1350....0G
539 |TYC 3340-1543-1                                                                                                                                                                |Star                               |04 16 01.2512029632 +50 53 18.131015184|152.3552508490188 +00.0913989940048|  12.862 -9.998   |10.51    |~                 |    ~     ~    |    1|  780.518   pc  |  -9.2600     +9.2600  |paral   |2020yCat.1350....0G
540 |TYC 3340-2049-1                                                                                                                                                                |Star                               |04 18 30.9235776576 +50 41 27.901205268|152.7756248008800 +00.2241923470997|  -2.946 -3.421   |10.94    |~                 |    ~     ~    |    1|  229.001   pc  |  -0.8915     +0.8915  |paral   |2020yCat.1350....0G
541 |TYC 3340-2123-1                                                                                                                                                                |Spectroscopic Binary               |04 17 04.1933269920 +50 51 31.571258364|152.4948995871839 +00.1850087959883|  8.133 -13.821   |10.8     |~                 |    ~     ~    |    1|  491.570   pc  |  -3.9387     +3.9387  |paral   |2020yCat.1350....0G
542 |TYC 3340-2302-1                                                                                                                                                                |Star                               |04 17 53.7253101096 +50 47 04.446096792|152.6401300996666 +00.2225997495253| 11.934 -25.111   |10.46    |~                 |    ~     ~    |    1|  257.659   pc  |  -1.5203     +1.5203  |paral   |2020yCat.1350....0G
543 |TYC 3340-2333-1                                                                                                                                                                |Star                               |04 18 01.4026894536 +50 48 11.764256652|152.6415664185112 +00.2501039906247|  -3.547 -0.728   |10.54    |~                 |    ~     ~    |    1|  905.551   pc  | -11.6443    +11.6443  |paral   |2020yCat.1350....0G
544 |TYC 3340-2415-1                                                                                                                                                                |Star                               |04 18 22.4120906616 +50 55 23.204144928|152.5974184876241 +00.3744685006389|   2.106 -2.438   |9.91     |~                 |    ~     ~    |    1| 1042.318   pc  | -19.0125    +19.0125  |paral   |2020yCat.1350....0G
545 |BD+51 901                                                                                                                                                                      |Star                               |04 19 16.9775696040 +51 59 34.629773208|151.9497041569485 +01.2377070050196|  -0.851 -4.061   |10.35    |B/A               |    ~     ~    |    1|  750.300   pc  | -12.4412    +12.4412  |paral   |2020yCat.1350....0G
546 |TYC 3341-18-1                                                                                                                                                                  |Star                               |04 19 22.7095725432 +51 41 46.505663196|152.1683146141972 +01.0365165124737|  8.769 -21.941   |10.97    |~                 |    ~     ~    |    1|  309.148   pc  |  -1.9975     +1.9975  |paral   |2020yCat.1350....0G
547 |TYC 3341-92-1                                                                                                                                                                  |Star                               |04 22 35.2132000464 +51 52 24.626800884|152.3951927989079 +01.5120933326041|   0.426 -5.091   |10.77    |B8III             |    ~     ~    |    0|                |                       |        |                   
548 |TYC 3341-102-1                                                                                                                                                                 |Star                               |04 28 25.7815658832 +51 37 37.350073236|153.2033768432183 +01.9874156329392| 17.646 -15.550   |10.18    |~                 |    ~     ~    |    1|  396.306   pc  |  -2.2145     +2.2145  |paral   |2020yCat.1350....0G
549 |TYC 3341-104-1                                                                                                                                                                 |Star                               |04 25 51.0459047088 +51 47 09.748038804|152.8113488637203 +01.8102457388689|  6.541 -18.481   |10.95    |~                 |    ~     ~    |    1|  442.772   pc  | -16.9581    +16.9581  |paral   |2020yCat.1350....0G
550 |TYC 3341-112-1                                                                                                                                                                 |Star                               |04 26 23.6918664168 +52 18 08.887466592|152.4989233741146 +02.2300178767957|   0.782 -4.128   |10.87    |~                 |    ~     ~    |    1|  784.806   pc  | -13.9198    +13.9198  |paral   |2020yCat.1350....0G
551 |TYC 3341-182-1                                                                                                                                                                 |Star                               |04 20 31.1986640928 +52 11 27.391811892|151.9457888810138 +01.5120900537536|   -2.151 0.567   |9.86     |~                 |    ~     ~    |    1|  469.175   pc  |  -3.1698     +3.1698  |paral   |2020yCat.1350....0G
552 |TYC 3341-244-1                                                                                                                                                                 |Star                               |04 23 31.3049413440 +51 50 11.114931300|152.5232114130878 +01.5884943579333|  -2.508 -6.681   |9.94     |~                 |    ~     ~    |    1|  493.340   pc  |  -3.8211     +3.8211  |paral   |2020yCat.1350....0G
553 |TYC 3341-247-1                                                                                                                                                                 |Star                               |04 23 02.4783122064 +51 24 37.338253776|152.7735861754487 +01.2357496456896|  9.183 -17.216   |10.92    |~                 |    ~     ~    |    1|  338.169   pc  |  -4.8145     +4.8145  |paral   |2020yCat.1350....0G
554 |TYC 3341-297-1                                                                                                                                                                 |Star                               |04 25 29.7628014140 +51 58 24.127304123|152.6388707039159 +01.9017384618920|  -9.228 -3.460   |10.90    |~                 |    ~     ~    |    0|                |                       |        |                   
555 |TYC 3341-326-1                                                                                                                                                                 |Star                               |04 23 12.0262983936 +51 22 51.265003368|152.8119959035500 +01.2326352168098|   5.344 -9.878   |10.36    |~                 |    ~     ~    |    1|  559.065   pc  |  -4.2507     +4.2507  |paral   |2020yCat.1350....0G
556 |TYC 3341-331-1                                                                                                                                                                 |Pulsating Variable                 |04 22 02.1530396064 +52 01 29.922274920|152.2279053649438 +01.5588598779034|   0.980 -4.169   |10.76    |~                 |    ~     ~    |    1|  748.391   pc  | -11.2578    +11.2578  |paral   |2020yCat.1350....0G
557 |TYC 3341-353-1                                                                                                                                                                 |Star                               |04 24 58.8032660712 +52 08 58.764283980|152.4572386202627 +01.9681832989490| -3.885 -15.265   |10.02    |~                 |    ~     ~    |    1|  257.858   pc  |  -1.7886     +1.7886  |paral   |2020yCat.1350....0G
558 |BD+52 814                                                                                                                                                                      |Star                               |04 22 29.4672535488 +52 24 52.206709536|152.0011022984828 +01.8832002512321|   6.740 -5.332   |10.09    |B/A               |    ~     ~    |    1|  684.229   pc  |  -8.0993     +8.0993  |paral   |2020yCat.1350....0G
559 |TYC 3341-472-1                                                                                                                                                                 |Spectroscopic Binary               |04 21 42.8708500272 +51 33 05.717196144|152.5276956806783 +01.1890682171068|  4.643 -17.366   |10.82    |~                 |    ~     ~    |    1|  248.065   pc  |  -1.0215     +1.0215  |paral   |2020yCat.1350....0G
560 |TYC 3341-475-1                                                                                                                                                                 |Star                               |04 23 50.3208396216 +51 25 01.313354028|152.8563046090974 +01.3288260061040| 17.718 -19.584   |10.60    |~                 |    ~     ~    |    1|  572.279   pc  |  -4.8143     +4.8143  |paral   |2020yCat.1350....0G
561 |TYC 3341-498-1                                                                                                                                                                 |Star                               |04 21 29.4851011320 +51 36 23.165956980|152.4644009155517 +01.2033862223441|  -3.729 -1.409   |10.49    |~                 |    ~     ~    |    1|  497.587   pc  |  -4.1596     +4.1596  |paral   |2020yCat.1350....0G
562 |TYC 3341-578-1                                                                                                                                                                 |Star                               |04 26 51.0060680064 +51 14 03.199369128|153.3159321177049 +01.5376763809096|   2.292 -9.863   |9.93     |~                 |    ~     ~    |    1|  540.541   pc  |  -4.7334     +4.7334  |paral   |2020yCat.1350....0G
563 |TYC 3341-603-1                                                                                                                                                                 |Star                               |04 20 32.6745109032 +51 09 38.298473280|152.6740583734066 +00.7831293394514|   4.218 -6.409   |10.76    |~                 |    ~     ~    |    1|  540.219   pc  |  -5.7200     +5.7200  |paral   |2020yCat.1350....0G
564 |TYC 3341-634-1                                                                                                                                                                 |Pulsating Variable                 |04 21 10.6417687128 +51 21 08.399280996|152.6091809903317 +00.9888980312228|  -1.590 -2.230   |10.92    |~                 |    ~     ~    |    1|  775.615   pc  | -12.7535    +12.7535  |paral   |2020yCat.1350....0G
565 |TYC 3341-735-1                                                                                                                                                                 |Star                               |04 22 23.6856481800 +51 37 51.919793148|152.5460830543095 +01.3200074876012| 12.287 -16.845   |10.67    |~                 |    ~     ~    |    1|  293.505   pc  |  -1.4472     +1.4472  |paral   |2020yCat.1350....0G
566 |TYC 3341-749-1                                                                                                                                                                 |Star                               |04 21 36.0786982944 +51 15 57.753111960|152.7170414458075 +00.9745713693712|   0.096 -1.408   |10.66    |~                 |    ~     ~    |    1|  767.578   pc  | -38.2375    +38.2375  |paral   |2020yCat.1350....0G
567 |IRAS 04198+5129                                                                                                                                                                |Star                               |04 23 39.7448990304 +51 36 40.549837464|152.6987562516067 +01.4457504420480|   1.536 -4.760   |9.89     |~                 |    ~     ~    |    1| 1220.256   pc  | -25.7601    +25.7601  |paral   |2020yCat.1350....0G
568 |TYC 3341-832-1                                                                                                                                                                 |Star                               |04 20 47.1732115080 +52 28 09.631435044|151.7784567546408 +01.7383278258227|  -4.198 -4.695   |10.84    |~                 |    ~     ~    |    1|  277.231   pc  |  -1.0606     +1.0606  |paral   |2020yCat.1350....0G
569 |TYC 3341-916-1                                                                                                                                                                 |Star                               |04 20 23.9890023240 +51 11 03.574457124|152.6412647876912 +00.7839854184872|   1.120 -0.663   |10.06    |~                 |    ~     ~    |    1|  557.818   pc  |  -4.2007     +4.2007  |paral   |2020yCat.1350....0G
570 |TYC 3341-936-1                                                                                                                                                                 |Star                               |04 22 08.5383108936 +51 05 03.560826084|152.9055283350301 +00.9060568789855|  -3.524 -2.605   |9.89     |~                 |    ~     ~    |    1|  455.892   pc  |  -2.8682     +2.8682  |paral   |2020yCat.1350....0G
571 |TYC 3341-972-1                                                                                                                                                                 |Star                               |04 22 20.9139346656 +51 00 43.885053756|152.9795028914012 +00.8780744866321|  -1.754 -2.564   |10.94    |~                 |    ~     ~    |    1|  498.927   pc  |  -5.3520     +5.3520  |paral   |2020yCat.1350....0G
572 |TYC 3341-1079-1                                                                                                                                                                |Star                               |04 19 23.5290566688 +50 49 50.557584648|152.7768545792895 +00.4209609946216|   2.137 -3.320   |10.98    |~                 |    ~     ~    |    1|  634.437   pc  |  -6.6012     +6.6012  |paral   |2020yCat.1350....0G
573 |TYC 3719-151-1                                                                                                                                                                 |Star                               |04 16 59.1367530456 +52 52 20.731950948|151.0845935418897 +01.6225813265379|  -0.726 -5.137   |10.12    |~                 |    ~     ~    |    1|  751.936   pc  |  -8.6507     +8.6507  |paral   |2020yCat.1350....0G
574 |TYC 3719-195-1                                                                                                                                                                 |Star                               |04 17 17.8648431816 +53 04 02.325590400|150.9826255517469 +01.7952117268281|   -1.684 1.359   |10.84    |~                 |    ~     ~    |    1|  495.663   pc  |  -4.8645     +4.8645  |paral   |2020yCat.1350....0G
575 |TYC 3719-220-1                                                                                                                                                                 |Star                               |04 19 50.4698246568 +52 38 47.473938456|151.5516143007008 +01.7631220312885| 18.134 -19.475   |10.43    |~                 |    ~     ~    |    1|  409.149   pc  |  -5.8423     +5.8423  |paral   |2020yCat.1350....0G
576 |TYC 3719-263-1                                                                                                                                                                 |Star                               |04 18 59.8003279296 +52 57 39.211106616|151.2399382585421 +01.8975717355221|   2.751 -8.532   |10.48    |~                 |    ~     ~    |    1|  562.651   pc  |  -6.6481     +6.6481  |paral   |2020yCat.1350....0G
577 |TYC 3719-442-1                                                                                                                                                                 |Star                               |04 15 51.2091493536 +52 49 14.110209444|150.9975316063922 +01.4665919506686|   1.695 -1.450   |9.67     |~                 |    ~     ~    |    1| 2065.689   pc  | -77.6607    +77.6607  |paral   |2020yCat.1350....0G
578 |TYC 3719-446-1                                                                                                                                                                 |Star                               |04 15 02.6342016984 +52 57 44.355281688|150.8112404279902 +01.4844334176954|   1.902 -2.633   |10.39    |~                 |    ~     ~    |    1|  749.794   pc  | -46.3245    +46.3245  |paral   |2020yCat.1350....0G
579 |TYC 3719-571-1                                                                                                                                                                 |Star                               |04 16 57.3180154824 +52 51 02.751625764|151.0963802497894 +01.6038376938467|   2.144 -5.445   |10.20    |~                 |    ~     ~    |    1|  696.427   pc  |  -7.0812     +7.0812  |paral   |2020yCat.1350....0G
580 |TYC 3719-595-1                                                                                                                                                                 |Star                               |04 16 58.2936321048 +53 18 18.550878696|150.7818681186940 +01.9319406858559|  -5.535 13.364   |10.54    |~                 |    ~     ~    |    1|  196.232   pc  |  -0.7047     +0.7047  |paral   |2020yCat.1350....0G
581 |TYC 3719-660-1                                                                                                                                                                 |High Proper Motion Star            |04 17 11.3254201392 +52 56 30.527317788|151.0582865414467 +01.6937243479579| 14.721 -88.574   |10.70    |~                 |    ~     ~    |    1|  179.785   pc  |  -0.7079     +0.7079  |paral   |2020yCat.1350....0G
582 |TYC 3719-692-1                                                                                                                                                                 |Star                               |04 19 09.4648999560 +52 36 57.487670064|151.4991574952430 +01.6685835392242|   1.745 -0.474   |9.35     |~                 |    ~     ~    |    1| 1290.323   pc  | -29.8023    +29.8023  |paral   |2020yCat.1350....0G
583 |TYC 3719-718-1                                                                                                                                                                 |Star                               |04 20 06.7050353760 +52 40 28.517498292|151.5610711521015 +01.8119269686623|   -2.997 2.057   |10.77    |~                 |    ~     ~    |    1|  700.525   pc  |  -7.1647     +7.1647  |paral   |2020yCat.1350....0G
584 |BD+52 816                                                                                                                                                                      |Star                               |04 23 53.2754501496 +52 51 56.332142748|151.8294395156530 +02.3511809257942|  -1.493 -1.823   |9.94     |B                 |    ~     ~    |    1|  778.028   pc  | -16.2833    +16.2833  |paral   |2020yCat.1350....0G
585 |TYC 3719-821-1                                                                                                                                                                 |Star                               |04 20 36.9404668224 +53 27 03.105495900|151.0679939476478 +02.4165268728167|   0.302 -5.440   |10.74    |~                 |    ~     ~    |    1|  768.462   pc  | -14.5271    +14.5271  |paral   |2020yCat.1350....0G
586 |TYC 3719-887-1                                                                                                                                                                 |Star                               |04 22 47.4685348536 +53 30 16.944470604|151.2588696575086 +02.6835514178007| 15.371 -23.574   |10.68    |~                 |    ~     ~    |    1|  248.120   pc  |  -0.9912     +0.9912  |paral   |2020yCat.1350....0G
587 |TYC 3719-957-1                                                                                                                                                                 |Star                               |04 23 29.9960368248 +53 23 48.225799068|151.4100105518737 +02.6826224309053|  2.837 -26.041   |10.86    |~                 |    ~     ~    |    1|  110.311   pc  |  -0.1837     +0.1837  |paral   |2020yCat.1350....0G
588 |TYC 3719-1167-1                                                                                                                                                                |High Proper Motion Star            |04 20 33.9409517664 +53 18 22.125207456|151.1647633754797 +02.3085911849890| 64.218 -71.035   |10.83    |~                 |    ~     ~    |    1|  157.508   pc  |  -0.3647     +0.3647  |paral   |2020yCat.1350....0G
589 |TYC 3719-1238-1                                                                                                                                                                |Star                               |04 26 05.4052217664 +52 34 01.619428908|152.2764236366451 +02.3809161911832|   0.537 -3.590   |10.86    |~                 |    ~     ~    |    0|                |                       |        |                   
590 |TYC 3719-1308-1                                                                                                                                                                |Star                               |04 24 27.7756392504 +52 34 40.863142092|152.0957918542018 +02.2116074629150|  9.407 -25.716   |9.97     |~                 |    ~     ~    |    1|  440.160   pc  |  -3.7973     +3.7973  |paral   |2020yCat.1350....0G
591 |TYC 3719-1350-1                                                                                                                                                                |Star                               |04 26 16.3857252936 +52 37 59.881041192|152.2482421581488 +02.4469442998543|  10.642 12.849   |10.82    |~                 |    ~     ~    |    1|  195.103   pc  |  -0.5900     +0.5900  |paral   |2020yCat.1350....0G
592 |BD+51 891                                                                                                                                                                      |Star                               |04 16 31.7204370432 +51 53 25.126620252|151.7172143092255 +00.8680004129400|   6.058 -8.919   |10.29    |A3                |    ~     ~    |    1|  342.959   pc  |  -3.3757     +3.3757  |paral   |2020yCat.1350....0G
593 |BD+51 907                                                                                                                                                                      |Star                               |04 21 10.4735841936 +51 51 16.105267512|152.2544867460588 +01.3444115674511|  -0.013 -6.846   |10.14    |F2                |    ~     ~    |    1|  432.526   pc  |  -3.0494     +3.0494  |paral   |2020yCat.1350....0G
594 |BD+52 803                                                                                                                                                                      |Star                               |04 18 04.7617814280 +53 00 04.709591208|151.1129316552767 +01.8298665423367| -11.170 -3.088   |10.36    |F0                |    ~     ~    |    1|  295.972   pc  |  -1.9097     +1.9097  |paral   |2020yCat.1350....0G
595 |NGC 1545 8                         NGC 1545 8                                                                                                                                  |Star                               |04 20 17.7912980980 +50 24 44.559547352|153.1727699080846 +00.2238984484933|  -2.246 -0.190   |11.1     |B9.5V             |    ~     ~    |    1|  698.275   pc  |  -8.9228     +8.9228  |paral   |2020yCat.1350....0G
596 |NGC 1545 12                        NGC 1545 12                                                                                                                                 |Star                               |04 20 36.0 +50 13 00                   |153.3449 +00.1189                  |            ~ ~   |11.82    |~                 |    ~     ~    |    0|                |                       |        |                   
597 |NGC 1545 19                        NGC 1545 19                                                                                                                                 |Star                               |04 20 48.0 +50 15 00                   |153.3441 +00.1651                  |            ~ ~   |13.13    |~                 |    ~     ~    |    0|                |                       |        |                   
598 |NGC 1545 18                        NGC 1545 18                                                                                                                                 |Star                               |04 20 54.0 +50 18 00                   |153.3202 +00.2119                  |            ~ ~   |12.69    |~                 |    ~     ~    |    0|                |                       |        |                   
599 |NGC 1545 9                         NGC 1545 9                                                                                                                                  |Star                               |04 20 51.1282635672 +50 20 53.078371908|153.2809452608254 +00.2405962660910|  -2.082 -0.035   |11.0     |A0Vn              |    ~     ~    |    1|  698.714   pc  | -10.7404    +10.7404  |paral   |2020yCat.1350....0G
600 |NGC 1545 16                        NGC 1545 16                                                                                                                                 |Star                               |04 20 54.0 +50 18 00                   |153.3202 +00.2119                  |            ~ ~   |12.17    |~                 |    ~     ~    |    0|                |                       |        |                   
601 |NGC 1545 99                        HD 27276                                                                                                                                    |Star                               |04 20 53.7115397688 +50 22 39.004510044|153.2650801444430 +00.2663104230611|  -2.113 -0.069   |7.67     |K2                |    ~     ~    |    1|  737.790   pc  | -10.8322    +10.8322  |paral   |2020yCat.1350....0G
602 |NGC 1545 11                        NGC 1545 11                                                                                                                                 |Star                               |04 21 06.0 +50 17 00                   |153.3547 +00.2226                  |            ~ ~   |11.67    |~                 |    ~     ~    |    0|                |                       |        |                   
603 |NGC 1545 15                        NGC 1545 15                                                                                                                                 |Star                               |04 21 06.0 +50 12 00                   |153.4134 +00.1635                  |            ~ ~   |12.01    |~                 |    ~     ~    |    0|                |                       |        |                   
604 |NGC 1545 13                        NGC 1545 13                                                                                                                                 |Star                               |04 21 07.1766662448 +50 20 15.996416856|153.3184723969308 +00.2633773967125|   3.409 -4.950   |11.82    |~                 |    ~     ~    |    1|  862.292   pc  | -84.0209    +84.0209  |paral   |2020yCat.1350....0G
605 |NGC 1545 17                        NGC 1545 17                                                                                                                                 |Star                               |04 21 12.0 +50 11 00                   |153.4365 +00.1630                  |            ~ ~   |12.47    |~                 |    ~     ~    |    0|                |                       |        |                   
606 |NGC 1545 14                        NGC 1545 14                                                                                                                                 |Star                               |04 21 48.8254 +50 17 20.403            |153.4313830 +00.3070956            |   3.852 -4.044   |11.94    |~                 |    ~     ~    |    0|                |                       |        |                   
607 |NGC 1545 7                         BD+49 1156                                                                                                                                  |Star                               |04 20 04.7708182032 +50 16 44.262543720|153.2419582323337 +00.1046867766243| -2.496 -12.826   |10.9     |A3V               |    ~     ~    |    1|  333.389   pc  |  -6.8801     +6.8801  |paral   |2020yCat.1350....0G
608 |NGC 1545 6                         BD+49 1157                                                                                                                                  |Star                               |04 20 13.4795185209 +50 16 29.155093388|153.2614002628745 +00.1180053587442|  -2.255 -0.252   |10.6     |B8                |    ~     ~    |    1|  702.691   pc  | -11.1593    +11.1593  |paral   |2020yCat.1350....0G
609 |NGC 1545 10                        BD+49 1159                                                                                                                                  |Star                               |04 20 17.4962816834 +50 10 38.566472836|153.3375015666386 +00.0563025810797|  -2.096 -0.086   |11.0     |A2:V              |    ~     ~    |    1|  707.264   pc  | -12.7557    +12.7557  |paral   |2020yCat.1350....0G
610 |NGC 1545 5                         HD 27257                                                                                                                                    |Star                               |04 20 41.9967251208 +50 14 55.669504308|153.3336408084066 +00.1530148996140|   -1.910 0.128   |9.31     |B3                |    ~     ~    |    1|  908.678   pc  | -26.4223    +26.4223  |paral   |2020yCat.1350....0G
611 |NGC 1545 4                         HD 27277                                                                                                                                    |Star                               |04 20 53.5488625632 +50 16 18.210679032|153.3393239196880 +00.1909664556358|  7.986 -21.159   |8.11     |G6III             |    ~     ~    |    1|  279.431   pc  |  -2.0535     +2.0535  |paral   |2020yCat.1350....0G
612 |NGC 1545 3                         HD 27292                                                                                                                                    |Star                               |04 20 57.5014421472 +50 15 17.412424956|153.3586960467174 +00.1864076700641|  -2.085 -0.244   |7.13     |K2+III            |    ~     ~    |    1|  724.270   pc  | -10.1766    +10.1766  |paral   |2020yCat.1350....0G
613 |NGC 1545 2                         HD 27084                                                                                                                                    |High Proper Motion Star            |04 19 13.2132944256 +50 02 55.350197772|153.3055270468095 -00.1559149161159| 61.124 -58.952   |5.40     |A7IV              |    ~     ~    |    1|   79.401   pc  |  -0.5598     +0.5598  |paral   |2020yCat.1350....0G
614 |BD+49 1158                                                                                                                                                                     |Star                               |04 20 11.6443185048 +49 52 15.743315424|153.5417952509057 -00.1725065972241|  -0.860 -0.746   |10.72    |OB-               |    ~     ~    |    1| 2363.507   pc  |-213.3916   +213.3916  |paral   |2020yCat.1350....0G
615 |NGC 1545 98                        HD 27395                                                                                                                                    |Double or Multiple Star            |04 21 45.47510 +50 02 06.6444          |153.60448613 +00.12124279          |     4.38 -3.81   |     ~   |G3Ib              |    ~     ~    |    0|                |                       |        |                   
616 |HD 27434                                                                                                                                                                       |Star                               |04 22 07.9429341576 +49 59 03.898231008|153.6829210847016 +00.1279082374898| 12.207 -20.118   |9.17     |A3                |    ~     ~    |    1|  287.216   pc  |  -1.2869     +1.2869  |paral   |2020yCat.1350....0G
617 |BD+49 1172                                                                                                                                                                     |Star                               |04 23 04.66 +49 00 00.0                |154.48899 -00.45767                |          -15 9   |9.0      |A3                |    ~     ~    |    0|                |                       |        |                   
618 |BD+49 1172B                                                                                                                                                                    |Star                               |04 23 05.4173068344 +49 34 16.993413120|154.0847723120194 -00.0538129630166|   0.587 -6.940   |9.79     |~                 |    ~     ~    |    1|  714.082   pc  | -17.4390    +17.4390  |paral   |2020yCat.1350....0G
619 |BD+48 1091                                                                                                                                                                     |Star                               |04 23 48.0052680480 +49 09 41.527244052|154.4573782129216 -00.2599633008364|   -0.999 3.207   |8.76     |K0                |    ~     ~    |    1|  237.852   pc  |  -1.1880     +1.1880  |paral   |2020yCat.1350....0G
620 |BD+48 1094                                                                                                                                                                     |Star                               |04 25 29.9795900784 +48 28 07.137558588|155.1478493940495 -00.5456935148900|   4.713 -2.711   |9.31     |K0                |    ~     ~    |    1|  331.290   pc  |  -1.9756     +1.9756  |paral   |2020yCat.1350....0G
621 |HD 27981                                                                                                                                                                       |Star                               |04 27 22.7867885184 +48 47 27.251610108|155.1328647533655 -00.0983380897882| -10.512 -9.408   |8.00     |A0                |    ~     ~    |    1|  244.517   pc  |  -9.9129     +9.9129  |paral   |2020yCat.1350....0G
622 |HD 28004                                                                                                                                                                       |Star                               |04 27 35.6937225288 +48 17 51.152354484|155.5128592267154 -00.4150083368015|  -1.354 -2.336   |8.72     |G5                |    ~     ~    |    1|  872.524   pc  | -16.2918    +16.2918  |paral   |2020yCat.1350....0G
623 |NGC 1545                           NGC 1545                                                                                                                                    |Open Cluster                       |04 20 48.5 +50 13 16                   |153.3655 +00.1455                  |  -1.957 -0.082   |6.2      |~                 |34.8  34.8     |    1|  732.0     pc  |                       |paral   |2021A&A...651A.104P
624 |NGC 1545 1                         * b Per                                                                                                                                     |Spectroscopic Binary               |04 18 14.6214589094 +50 17 43.775037161|153.0211465520702 -00.0889824774960| 41.798 -53.997   |4.594    |A1III             |    ~     ~    |    1|  117.004   pc  |  -3.1966     +3.1966  |paral   |2020yCat.1350....0G
625 |HD 232944                                                                                                                                                                      |Star                               |04 23 21.3914580504 +50 47 09.848528556|153.2519614160608 +00.8314782342027|   34.559 1.641   |9.58     |G5                |    ~     ~    |    1|  142.857   pc  |  -0.3000     +0.3000  |paral   |2020yCat.1350....0G
626 |2MASS J04232133+5047191                                                                                                                                                        |Star                               |04 23 21.3497594016 +50 47 18.982613256|153.2500808213160 +00.8331852171552|   32.235 4.130   |9.5      |G5                |    ~     ~    |    1|  152.133   pc  |  -1.8423     +1.8423  |paral   |2020yCat.1350....0G
627 |HD 27673                                                                                                                                                                       |High Proper Motion Star            |04 24 32.7931222968 +50 50 42.634533444|153.3418609569142 +01.0068252179698|  4.761 -65.177   |6.86     |F7V               |0.0167  0.0    |    1|   49.206   pc  |  -0.0554     +0.0554  |paral   |2020yCat.1350....0G
628 |HD 232945                                                                                                                                                                      |Star                               |04 24 52.0137890472 +50 50 43.493018820|153.3771091273092 +01.0430896900212|  -7.803 -4.756   |8.55     |K7                |    ~     ~    |    1|  416.771   pc  |  -3.3524     +3.3524  |paral   |2020yCat.1350....0G
629 |HD 232952                                                                                                                                                                      |High Proper Motion Star            |04 26 01.6975357848 +50 30 26.392111380|153.7476110653385 +00.9385757627470| -9.108 -51.487   |9.66     |G5                |    ~     ~    |    1|   92.398   pc  |  -0.1375     +0.1375  |paral   |2020yCat.1350....0G
630 |HD 232954                                                                                                                                                                      |High Proper Motion Star            |04 26 59.8189311888 +50 41 45.679410672|153.7191069196710 +01.1802745597836| 25.911 -74.110   |9.55     |G0                |    ~     ~    |    1|  125.676   pc  |  -0.2543     +0.2543  |paral   |2020yCat.1350....0G
631 |HD 27968                                                                                                                                                                       |Star                               |04 27 26.7509069688 +50 43 05.329964028|153.7525320681749 +01.2467804134841|  -2.832 -1.465   |9.18     |A                 |    ~     ~    |    1|  704.126   pc  | -19.0881    +19.0881  |paral   |2020yCat.1350....0G
632 |HD 28063                                                                                                                                                                       |Star                               |04 28 17.5904550816 +50 41 04.023641652|153.8698058304002 +01.3201954955117|  5.585 -23.399   |9.38     |A                 |    ~     ~    |    1|  306.476   pc  |  -1.4559     +1.4559  |paral   |2020yCat.1350....0G
633 |HD 232962                                                                                                                                                                      |Star                               |04 29 31.2251669808 +50 36 35.483051664|154.0581214485414 +01.4094719349916|   0.249 -1.223   |8.65     |K5                |    ~     ~    |    1| 1072.156   pc  | -50.8087    +50.8087  |paral   |2020yCat.1350....0G
634 |BD+49 1179                                                                                                                                                                     |Star                               |04 25 35.1477953664 +50 08 10.072332060|153.9642554656366 +00.6289758631398|  -2.067 -3.949   |10.79    |A0                |    ~     ~    |    1|  457.206   pc  | -10.9744    +10.9744  |paral   |2020yCat.1350....0G
635 |BD+49 1178                                                                                                                                                                     |Star                               |04 25 10.5031800432 +49 33 29.795129352|154.3313394073467 +00.1778028356174| -7.928 -11.686   |9.24     |K2                |    ~     ~    |    1|  449.499   pc  |  -3.4752     +3.4752  |paral   |2020yCat.1350....0G
636 |BD+49 1183                                                                                                                                                                     |Star                               |04 27 51.6886762752 +49 52 08.013270612|154.4106397405187 +00.7057972442787| 14.667 -16.539   |10.60    |A2                |    ~     ~    |    1|  322.238   pc  |  -1.5679     +1.5679  |paral   |2020yCat.1350....0G
