C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
2034|HD 70864                                                              |Star                                  |08 23 30.3525616800 -24 44 05.578677168|245.5179476882305 +07.1963157215446|   -7.449 5.602   |9.79     |A0V            |    ~     ~    |    1|  429.295   pc  |  -3.5937     +3.5937    |paral   |2020yCat.1350....0G
2035|CD-24 6883                                                            |Star                                  |08 23 31.6448279808 -24 41 38.228803224|245.4866657510532 +07.2234466232332|   -6.688 5.973   |9.76     |~              |    ~     ~    |    1| 3727.171   pc  |-341.7384   +341.7384    |paral   |2020yCat.1350....0G
2036|CD-24 6885                                                            |Star                                  |08 23 39.3850976976 -24 28 01.109011980|245.3143993978725 +07.3757044148464|   -2.107 4.009   |9.74     |~              |    ~     ~    |    1| 1041.680   pc  | -55.2100    +55.2100    |ST-L    |2020AJ....160...83S
2037|HD 70926                                                              |Star                                  |08 23 46.4888028936 -24 43 34.736637036|245.5455631450317 +07.2515618552038|  -3.175 -5.612   |9.80     |A3III          |    ~     ~    |    1|  482.975   pc  |  -3.9655     +3.9655    |paral   |2020yCat.1350....0G
2038|CD-24 6893                                                            |Star                                  |08 23 55.3653035184 -24 25 57.826180524|245.3203778896894 +07.4450697179539|  -0.874 -2.535   |10.42    |~              |    ~     ~    |    0|                |                         |        |                   
2039|CD-24 6897                                                            |Star                                  |08 24 02.8033897080 -25 00 50.653002096|245.8199789594923 +07.1398310874060|   -1.963 7.958   |10.02    |~              |    ~     ~    |    1|  243.279   pc  |  -4.3501     +4.3501    |paral   |2020yCat.1350....0G
2040|CD-24 6916                                                            |Star                                  |08 25 20.6468610744 -24 57 36.152433396|245.9430453857507 +07.4126802330664|   -5.697 3.943   |9.09     |~              |    ~     ~    |    1| 1014.816   pc  | -16.8896    +16.8896    |paral   |2020yCat.1350....0G
2041|CD-24 6929                                                            |Star                                  |08 25 56.8049795400 -24 40 49.697105376|245.7893095448363 +07.6840314611670|   -3.457 2.375   |9.83     |~              |    ~     ~    |    1| 1723.841   pc  | -50.2205    +50.2205    |paral   |2020yCat.1350....0G
2042|CD-24 6930                                                            |Star                                  |08 25 58.3135845240 -24 54 09.293558220|245.9769276595490 +07.5624403525132|   -0.809 2.230   |9.80     |~              |    ~     ~    |    1| 1461.561   pc  | -29.2654    +29.2654    |paral   |2020yCat.1350....0G
2043|CD-24 6935                                                            |Star                                  |08 26 11.6745573432 -25 22 15.626868276|246.3942415694679 +07.3371852897515|   -2.090 2.811   |10.04    |~              |    ~     ~    |    1|  694.686   pc  | -11.3408    +11.3408    |paral   |2020yCat.1350....0G
2044|HD 69775                                                              |Star                                  |08 17 36.7199752080 -25 25 23.681777376|245.3405628454985 +05.7050872783665|  -2.230 -0.821   |10.03    |A1/2IV         |    ~     ~    |    1|  595.344   pc  |  -9.2508     +9.2508    |paral   |2020yCat.1350....0G
2045|HD 69815                                                              |Star                                  |08 17 47.0830753824 -25 29 53.650826880|245.4249984597088 +05.6958903583856|   -5.657 3.307   |10.13    |A2             |    ~     ~    |    1| 1323.101   pc  | -33.6115    +33.6115    |paral   |2020yCat.1350....0G
2046|CD-25 5855                                                            |Star                                  |08 18 01.2474082296 -26 02 06.536586372|245.9031428322787 +05.4416632914286| -16.789 21.391   |9.77     |~              |    ~     ~    |    1|  397.646   pc  |  -3.1624     +3.1624    |paral   |2020yCat.1350....0G
2047|HD 69946                                                              |Double or Multiple Star               |08 18 26.9280989040 -25 34 44.309061120|245.5761421707241 +05.7755297277942|  -4.893 -1.472   |9.29     |A2V            |    ~     ~    |    0|                |                         |        |                   
2048|CD-25 5886                                                            |Star                                  |08 19 07.2196139616 -25 28 00.751190160|245.5673905411467 +05.9637907127998|  -11.896 4.220   |10.57    |~              |    ~     ~    |    1|  562.335   pc  | -18.8467    +18.8467    |paral   |2020yCat.1350....0G
2049|HD 70186                                                              |Star                                  |08 19 40.8439707816 -25 25 25.483425168|245.6023897851671 +06.0928403119198|   -5.613 7.707   |8.07     |K2/3III        |    ~     ~    |    1|  614.213   pc  |  -7.4697     +7.4697    |paral   |2020yCat.1350....0G
2050|HD 70246                                                              |Star                                  |08 20 01.4140234176 -25 29 03.775769340|245.6964557527324 +06.1231325429001| -27.297 -0.139   |8.75     |A7V            |    ~     ~    |    1|  388.878   pc  |  -3.8260     +3.8260    |paral   |2020yCat.1350....0G
2051|HD 70261                                                              |Star                                  |08 20 07.6733165904 -25 36 01.903090932|245.8065199745032 +06.0776747340097|  -4.211 -6.053   |9.07     |A0V            |    ~     ~    |    1|  309.943   pc  |  -2.0750     +2.0750    |paral   |2020yCat.1350....0G
2052|HD 70323                                                              |High Proper Motion Star               |08 20 22.6206716520 -25 49 13.052233560|246.0212219420670 +06.0011353935847| 15.010 -55.479   |7.74     |F3III          |    ~     ~    |    1|  172.378   pc  |  -0.6091     +0.6091    |paral   |2020yCat.1350....0G
2053|HD 70347                                                              |Star                                  |08 20 28.0265118288 -26 06 32.571504432|246.2730584369613 +05.8560671834071|   -5.050 4.350   |9.14     |A2V            |    ~     ~    |    1|  422.708   pc  |  -5.3605     +5.3605    |paral   |2020yCat.1350....0G
2054|HD 70483                                                              |Star                                  |08 21 21.6643517664 -25 26 31.084721808|245.8312834966214 +06.3969528250348|   5.976 -7.335   |8.55     |G8III/IV       |    ~     ~    |    1|  296.762   pc  |  -1.5852     +1.5852    |paral   |2020yCat.1350....0G
2055|HD 70501                                                              |High Proper Motion Star               |08 21 21.6402469200 -25 49 26.714512128|246.1492882925132 +06.1822389726245|  -55.895 5.737   |9.57     |G3/5V          |    ~     ~    |    1|   80.643   pc  |  -0.0761     +0.0761    |paral   |2020yCat.1350....0G
2056|HD 70526                                                              |Star                                  |08 21 32.4720078864 -25 44 14.253360792|246.1000526175498 +06.2646360963593|   -2.616 3.934   |9.98     |A1III          |    ~     ~    |    1| 1307.360   pc  | -32.3037    +32.3037    |paral   |2020yCat.1350....0G
2057|HD 70887                                                              |Star                                  |08 23 34.4413299000 -25 34 03.364542516|246.2189799902236 +06.7386632553436|   -6.094 1.027   |9.92     |A1/2V          |    ~     ~    |    1|  482.742   pc  |  -3.4024     +3.4024    |paral   |2020yCat.1350....0G
2058|HD 70907                                                              |Star                                  |08 23 35.6921285688 -25 25 59.709532836|246.1100702907302 +06.8185106448480|   -2.591 1.537   |8.85     |F3IV/V         |    ~     ~    |    1|  280.820   pc  |  -1.2066     +1.2066    |paral   |2020yCat.1350....0G
2059|V* OT Pup                                                             |Long-Period Variable                  |08 22 11.1335867256 -25 37 54.592461696|246.0945185921344 +06.4439879962828| -10.708 -2.477   |8.54     |M5/6III        |    ~     ~    |    1|  685.307   pc  | -31.4663    +31.4663    |paral   |2020yCat.1350....0G
2060|HD 69756                                                              |Star                                  |08 17 29.0994572424 -26 18 07.208145072|246.0587771002532 +05.1933701493447|  3.406 -12.595   |7.30     |F5IV           |    ~     ~    |    1|  539.782   pc  |  -9.7316     +9.7316    |paral   |2020yCat.1350....0G
2061|NGC 2566                           NGC 2566                           |Galaxy towards a Group of Galaxies    |08 18 45.608 -25 29 58.27              |245.549100 +05.878103              |            ~ ~   |     ~   |~              | 3.72  2.34    |    1|    7.87    Mpc |  -1.10       +1.10      |T-F     |2020ApJ...902..145K
2062|CD-25 5832                                                            |Star                                  |08 17 12.0994837824 -25 55 49.289829276|245.7129024790085 +05.3468121239091|   -3.153 1.135   |10.59    |~              |    ~     ~    |    1| 1731.302   pc  | -48.8577    +48.8577    |paral   |2020yCat.1350....0G
2063|CD-24 6742                                                            |Star                                  |08 17 15.1609201440 -24 51 08.782820316|244.8176656424121 +05.9537462858537|   -3.686 6.106   |10.63    |~              |    ~     ~    |    1| 1973.944   pc  | -50.2643    +50.2643    |paral   |2020yCat.1350....0G
2064|CD-24 6746                                                            |Star                                  |08 17 25.8109724664 -25 09 58.580224380|245.1027341271595 +05.8133966661020|   -4.256 3.390   |10.27    |~              |    ~     ~    |    1|  814.266   pc  |  -9.1498     +9.1498    |paral   |2020yCat.1350....0G
2065|CD-25 5847                                                            |Star                                  |08 17 38.5207007952 -25 41 22.203456360|245.5668876946210 +05.5629293827930|   -6.220 9.126   |10.21    |~              |    ~     ~    |    1| 1800.828   pc  | -44.7532    +44.7532    |paral   |2020yCat.1350....0G
2066|CD-24 6752                                                            |Star                                  |08 17 42.1553872128 -24 54 36.151714836|244.9227191656441 +06.0067854547819|   -2.120 2.676   |10.45    |~              |    ~     ~    |    1| 2347.969   pc  | -84.3483    +84.3483    |paral   |2020yCat.1350....0G
2067|CD-25 5852                                                            |Star                                  |08 17 47.5843403136 -25 56 45.994397316|245.8002192545422 +05.4486435129472|  -5.089 -1.396   |10.31    |~              |    ~     ~    |    1|  915.919   pc  | -13.0031    +13.0031    |paral   |2020yCat.1350....0G
2068|CD-25 5861                                                            |Star                                  |08 18 09.1194657432 -26 07 53.382981972|246.0000210457222 +05.4125250833178| -10.326 10.147   |9.88     |~              |    ~     ~    |    1| 1531.628   pc  | -34.9537    +34.9537    |paral   |2020yCat.1350....0G
2069|CD-24 6773                                                            |Star                                  |08 18 35.5686677520 -24 46 24.105093672|244.9211242444418 +06.2506454627391| 16.384 -33.392   |9.98     |~              |    ~     ~    |    1|  636.132   pc  |  -5.2202     +5.2202    |paral   |2020yCat.1350....0G
2070|CD-25 5877                                                            |Carbon Star                           |08 18 37.2339208872 -25 54 35.470154160|245.8739799095356 +05.6233983620300|   -3.702 2.889   |10.3     |C9,1           |    ~     ~    |    1| 3208.213   pc  |-227.4671   +227.4671    |paral   |2020yCat.1350....0G
2071|CD-24 6777                                                            |Star                                  |08 18 37.5731630856 -25 20 47.466291408|245.4044025956521 +05.9381713192927| -10.886 -0.260   |10.09    |~              |    ~     ~    |    1|  932.488   pc  | -12.7821    +12.7821    |paral   |2020yCat.1350....0G
2072|CD-25 5898                                                            |High Proper Motion Star               |08 19 46.7140111224 -25 42 16.018595172|245.8488773310812 +05.9542955951792| -24.197 87.276   |10.30    |~              |    ~     ~    |    1|  112.581   pc  |  -0.1888     +0.1888    |paral   |2020yCat.1350....0G
2073|CD-24 6808                                                            |Star                                  |08 20 08.7897027000 -25 04 30.603248364|245.3707476892214 +06.3749264501081|    2.730 0.472   |10.08    |~              |    ~     ~    |    1| 1196.602   pc  | -21.1915    +21.1915    |paral   |2020yCat.1350....0G
2074|CD-24 6810                                                            |Star                                  |08 20 18.8204617992 -24 43 09.613265772|245.0950582636847 +06.6051851433672|   -4.913 7.556   |10.45    |~              |    ~     ~    |    1|  732.386   pc  |  -6.7049     +6.7049    |paral   |2020yCat.1350....0G
2075|CPD-23 3675                                                           |Star                                  |08 20 54.2756922648 -24 13 23.808798372|244.7564306432321 +06.9938889503426|   -3.652 2.909   |10.32    |~              |    ~     ~    |    1| 2485.707   pc  | -79.7057    +79.7057    |paral   |2020yCat.1350....0G
2076|CD-25 5973                                                            |Star                                  |08 22 23.8984949736 -25 29 27.795624000|246.0046441640545 +06.5629272783030| -10.184 18.677   |10.07    |~              |    ~     ~    |    1|  455.270   pc  |  -2.5494     +2.5494    |paral   |2020yCat.1350....0G
2077|CD-23 7210                                                            |Star                                  |08 22 50.2583209992 -24 17 53.394992844|245.0678822515973 +07.3167248906714|  -7.295 -0.253   |10.64    |~              |    ~     ~    |    1| 1350.621   pc  | -23.5319    +23.5319    |paral   |2020yCat.1350....0G
2078|CD-24 6868                                                            |Star                                  |08 22 59.6087358216 -24 53 53.087576784|245.5876990892137 +07.0082702649928|   -8.444 1.358   |10.56    |~              |    ~     ~    |    1| 1052.189   pc  | -24.7991    +24.7991    |paral   |2020yCat.1350....0G
2079|CD-23 7241                                                            |Star                                  |08 23 45.4981352928 -23 49 30.067451472|244.7926861424987 +07.7567333457727|    0.077 1.425   |10.36    |~              |    ~     ~    |    1| 1576.044   pc  | -38.2523    +38.2523    |paral   |2020yCat.1350....0G
2080|CD-23 7261                                                            |Star                                  |08 24 24.2785651464 -23 44 28.881245940|244.8070664934135 +07.9260259412012|    1.659 1.397   |10.18    |~              |    ~     ~    |    1| 1368.363   pc  | -34.8270    +34.8270    |paral   |2020yCat.1350....0G
2081|CD-24 6906                                                            |Star                                  |08 24 29.4088673712 -25 20 16.672100928|246.1462544869738 +07.0391411074071|   2.820 -1.775   |9.67     |~              |    ~     ~    |    1|  590.354   pc  |  -5.0187     +5.0187    |paral   |2020yCat.1350....0G
2082|CD-24 6907                                                            |Star                                  |08 24 33.7594169808 -25 14 27.998184660|246.0752110000168 +07.1075418281658|  -0.107 -2.516   |10.26    |~              |    ~     ~    |    1| 1065.303   pc  | -17.8175    +17.8175    |paral   |2020yCat.1350....0G
2083|CPD-25 3604                                                           |Star                                  |08 24 35.4664344288 -25 29 22.681818960|246.2851488421976 +06.9719201794469|   -6.440 2.139   |10.04    |~              |    ~     ~    |    1|  276.297   pc  |  -1.0764     +1.0764    |paral   |2020yCat.1350....0G
2084|CD-24 6913                                                            |High Proper Motion Star               |08 25 02.1565031448 -24 32 28.017257928|245.5550104359967 +07.5926543245013|-68.016 -53.761   |10.48    |~              |    ~     ~    |    1|  205.015   pc  |  -0.5716     +0.5716    |paral   |2020yCat.1350....0G
2085|CD-23 7288                                                            |Star                                  |08 25 24.0820055232 -23 57 58.283298144|245.1244072481478 +07.9869455786841|   2.337 -8.362   |10.32    |~              |    ~     ~    |    1|  865.202   pc  | -10.7046    +10.7046    |paral   |2020yCat.1350....0G
2086|CD-23 7039                                                            |Star                                  |08 15 53.8007206392 -23 58 45.262883496|243.9140571715868 +06.1781826523577|  5.291 -10.245   |10.143   |~              |    ~     ~    |    1|  938.681   pc  | -47.1600    +47.1600    |ST-L    |2020AJ....160...83S
2087|CD-23 7061                                                            |Star                                  |08 16 34.0806181752 -23 59 06.183058308|244.0038849765830 +06.3029806618587| -34.156 25.812   |10.20    |~              |    ~     ~    |    1|  141.792   pc  |  -0.4001     +0.4001    |paral   |2020yCat.1350....0G
2088|CD-23 7066                                                            |Star                                  |08 16 53.1294011832 -24 00 50.519987460|244.0684450565021 +06.3474781207430|   -9.084 0.258   |10.20    |~              |    ~     ~    |    1|  320.082   pc  |  -1.3934     +1.3934    |paral   |2020yCat.1350....0G
2089|HD 69641                                                              |Star                                  |08 16 58.8615607776 -24 03 21.787496964|244.1158135402229 +06.3424760181823|   -3.227 0.634   |10.19    |B9V            |    ~     ~    |    1|  792.959   pc  | -14.3991    +14.3991    |paral   |2020yCat.1350....0G
2090|CD-23 7054                                                            |Star                                  |08 16 21.2990190312 -24 05 05.258627304|244.0606425080815 +06.2074228074053|   -4.541 0.485   |10.02    |~              |    ~     ~    |    1|  732.279   pc  |  -6.9174     +6.9174    |paral   |2020yCat.1350....0G
2091|HD 70097                                                              |Star                                  |08 19 18.2742027552 -23 47 49.217646084|244.1947173293511 +06.9280432616681|   -6.481 0.879   |7.64     |K4III          |    ~     ~    |    1|  476.168   pc  |  -4.0812     +4.0812    |paral   |2020yCat.1350....0G
2092|CD-23 7136                                                            |Star                                  |08 19 45.8411947032 -23 53 34.370566044|244.3338432870912 +06.9620484209365|   -5.913 3.482   |10.04    |~              |    ~     ~    |    1|  921.150   pc  | -21.2129    +21.2129    |paral   |2020yCat.1350....0G
2093|HD 70259                                                              |Double or Multiple Star               |08 20 12.6743361360 -23 47 00.667461156|244.2996904415372 +07.1078894363220|   -6.148 6.834   |8.24     |A0V            |0.0017  0.0    |    0|                |                         |        |                   
2094|HD 70344                                                              |Pulsating Variable                    |08 20 33.2778913080 -23 54 20.364681528|244.4459857558500 +07.1049837513174|   -2.742 2.125   |9.63     |A4/5IV         |    ~     ~    |    1|  623.053   pc  |  -6.5217     +6.5217    |paral   |2020yCat.1350....0G
2095|HD 70360                                                              |Star                                  |08 20 42.6408997584 -23 36 42.627849732|244.2202597657347 +07.2985069788568|  -5.008 -3.791   |9.21     |A0V            |    ~     ~    |    1|  387.732   pc  |  -2.7061     +2.7061    |paral   |2020yCat.1350....0G
2096|CD-23 7195                                                            |Star                                  |08 22 13.6357612824 -23 39 13.300670376|244.4510735943427 +07.5631165551966|  13.440 16.619   |9.40     |~              |    ~     ~    |    1|   62.543   pc  |  -0.0469     +0.0469    |paral   |2020yCat.1350....0G
2097|BD-22 2255                                                            |Star                                  |08 24 20.7538899360 -23 26 02.730651216|244.5431467682199 +08.0881687352821|   -7.675 4.704   |10.20    |A0             |    ~     ~    |    1|  621.813   pc  |  -6.9984     +6.9984    |paral   |2020yCat.1350....0G
2098|CPD-23 3751                                                           |Star                                  |08 24 46.0410797088 -23 34 11.310374496|244.7113878387779 +08.0914056182798|   -1.209 2.023   |9.94     |~              |    ~     ~    |    1| 1189.626   pc  | -17.5486    +17.5486    |paral   |2020yCat.1350....0G
2099|CD-23 7268                                                            |Star                                  |08 24 54.6643001592 -23 31 54.103201032|244.6983970989844 +08.1401096347907|-22.873 -16.594   |9.65     |~              |    ~     ~    |    1|  117.802   pc  |  -6.7055     +6.7055    |paral   |2020yCat.1350....0G
2100|CD-23 7075                                                            |Star                                  |08 17 12.7817766312 -23 52 26.196833856|243.9924682961570 +06.4872118892828|   12.740 2.404   |9.97     |~              |    ~     ~    |    1|  260.947   pc  |  -1.6683     +1.6683    |paral   |2020yCat.1350....0G
2101|CD-23 7081                                                            |Star                                  |08 17 24.8631402720 -24 00 25.547762844|244.1297489073330 +06.4520012945340|  -11.553 6.019   |10.033   |~              |    ~     ~    |    1|  849.668   pc  | -34.3500    +34.3500    |ST-L    |2020AJ....160...83S
2102|CD-23 7196                                                            |Star                                  |08 22 18.4120670400 -23 46 42.606549732|244.5656355240796 +07.5082520623321|  -9.299 11.308   |10.01    |~              |    ~     ~    |    1|  518.834   pc  |  -5.3838     +5.3838    |paral   |2020yCat.1350....0G
2103|CD-23 7214                                                            |Star                                  |08 22 57.0725569368 -23 45 20.847523248|244.6301343700906 +07.6430177196853|   -4.543 2.162   |10.392   |~              |    ~     ~    |    1| 2009.660   pc  |-203.0000   +203.0000    |ST-L    |2020AJ....160...83S
2104|CD-23 7296                                                            |Star                                  |08 25 51.3974421960 -23 31 52.190572188|244.8217903925508 +08.3191582011848|   2.388 -2.146   |10.06    |~              |    ~     ~    |    1| 1455.816   pc  | -29.6716    +29.6716    |paral   |2020yCat.1350....0G
2105|V* V430 Pup                                                           |High Proper Motion Star               |08 15 40.0974982104 -26 00 35.584684920|245.5878909912563 +05.0157597544525|228.491 -191.450  |10.11    |M0             |    ~     ~    |    1|   28.629   pc  |  -0.0108     +0.0108    |paral   |2020yCat.1350....0G
2106|CD-25 5795                                                            |Star                                  |08 15 25.5817177872 -26 10 21.175080384|245.6939353516649 +04.8806731643428| -36.056 15.017   |10.34    |~              |    ~     ~    |    1|  237.942   pc  |  -0.8153     +0.8153    |paral   |2020yCat.1350....0G
2107|CD-25 5863                                                            |Star                                  |08 18 17.1871961448 -25 49 45.293441412|245.7646519261635 +05.6058602938745|   -6.891 9.779   |9.40     |M3             |    ~     ~    |    1| 1261.511   pc  | -31.8282    +31.8282    |paral   |2020yCat.1350....0G
2108|AKARI-IRC-V1 J0820568-235117                                          |Long-Period Variable Candidate        |08 20 56.8057701744 -23 51 17.256585564|244.4538799344242 +07.2077512908868|   -6.952 2.211   |10.178   |~              |    ~     ~    |    1| 1557.39    pc  | -60.1515    +60.1515    |paral   |2020yCat.1350....0G
2109|AKARI-IRC-V1 J0822107-242154                                          |Long-Period Variable Candidate        |08 22 10.7970262872 -24 21 54.714100536|245.0389263656691 +07.1551280754852|   -3.893 5.620   |9.7      |M2/3:          |    ~     ~    |    1| 3011.14    pc  |-210.354    +210.354     |paral   |2020yCat.1350....0G
2110|CD-23 7284                                                            |Star                                  |08 25 12.4052828832 -23 48 21.628225980|244.9656201940792 +08.0409269571962|  -6.387 -1.506   |9.86     |~              |    ~     ~    |    1| 1161.170   pc  | -19.2809    +19.2809    |paral   |2020yCat.1350....0G
2111|CD-24 6760                                                            |Star                                  |08 17 57.4299880440 -24 28 40.153527372|244.5931402714618 +06.2945077896150|   -1.930 2.579   |10.763   |~              |    ~     ~    |    1| 1886.500   pc  |-187.5000   +187.5000    |ST-L    |2020AJ....160...83S
2112|TYC 6556-35-1                                                         |Star                                  |08 16 32.9777785272 -24 09 14.540164020|244.1433840673734 +06.2063081946479|   -6.994 3.874   |10.57    |~              |    ~     ~    |    1|  691.563   pc  |  -7.1261     +7.1261    |paral   |2020yCat.1350....0G
2113|TYC 6556-41-1                                                         |Star                                  |08 19 55.1729526600 -24 17 50.937258300|244.6922217108568 +06.7661859694060| -14.454 12.213   |9.42     |~              |    ~     ~    |    1|  462.406   pc  | -12.8933    +12.8933    |paral   |2020yCat.1350....0G
2114|GSC 06556-00071                                                       |Double or Multiple Star               |08 19 16.826760 -24 18 02.15820        |244.613184033 +06.643493356        |     -27.1 12.5   |10.865   |~              |    ~     ~    |    0|                |                         |        |                   
2115|TYC 6556-153-1                                                        |Star                                  |08 17 59.6314458696 -24 20 07.298253672|244.4784882455110 +06.3804126851992|   -3.175 1.165   |10.50    |~              |    ~     ~    |    1| 1803.210   pc  |-177.9000   +177.9000    |ST-L    |2020AJ....160...83S
2116|TYC 6556-173-1                                                        |Star                                  |08 16 24.4069415784 -24 16 04.051989732|244.2207687998772 +06.1164124427586|   -5.185 1.343   |10.47    |~              |    ~     ~    |    1|  537.317   pc  |  -5.6876     +5.6876    |paral   |2020yCat.1350....0G
2117|GSC 06556-00255                                                       |Double or Multiple Star               |08 18 16.220544 -24 21 47.49804        |244.536928501 +06.417391428        |       -4.1 0.0   |10.857   |~              |    ~     ~    |    0|                |                         |        |                   
2118|SCR J0818-2346                                                        |High Proper Motion Star               |08 18 26.5761061752 -23 46 36.054773004|244.0675323286017 +06.7753354309328|109.286 -114.002  |10.58    |~              |    ~     ~    |    1|  253.383   pc  |  -1.4638     +1.4638    |paral   |2020yCat.1350....0G
2119|TYC 6556-591-1                                                        |Star                                  |08 18 52.7285341176 -23 43 44.872624020|244.0833725478527 +06.8847033059014| -26.221 10.886   |10.64    |~              |    ~     ~    |    1|  375.239   pc  |  -7.7950     +7.7950    |ST-L    |2020AJ....160...83S
2120|V* V701 Pup                                                           |RR Lyrae Variable                     |08 19 32.8526089128 -23 58 09.837506028|244.3701656624912 +06.8783711512536|  0.997 -42.309   |10.48    |~              |    ~     ~    |    1|  977.326   pc  | -21.4912    +21.4912    |paral   |2020yCat.1350....0G
2121|TYC 6556-654-1                                                        |Star                                  |08 19 59.3383278096 -23 53 04.612156512|244.3557651856183 +07.0093656529853|  -8.179 15.283   |10.92    |~              |    ~     ~    |    1|  842.389   pc  |  -8.0187     +8.0187    |paral   |2020yCat.1350....0G
2122|TYC 6556-664-1                                                        |Star                                  |08 17 22.1500930344 -23 57 13.892459760|244.0793513333914 +06.4728142800264|  -2.468 -1.772   |10.56    |~              |    ~     ~    |    1|  771.129   pc  |  -9.1575     +9.1575    |paral   |2020yCat.1350....0G
2123|TYC 6556-701-1                                                        |Star                                  |08 17 36.6952104936 -23 49 15.513088080|243.9987089086975 +06.5924368357632|   -6.543 1.980   |10.36    |~              |    ~     ~    |    1|  256.951   pc  | -10.4647    +10.4647    |paral   |2020yCat.1350....0G
2124|TYC 6556-765-1                                                        |Star                                  |08 16 59.9230572480 -23 58 28.173135216|244.0496279257959 +06.3908662289428|   -2.953 1.748   |10.89    |~              |    ~     ~    |    1| 1378.740   pc  | -55.6971    +55.6971    |paral   |2020yCat.1350....0G
2125|TYC 6556-787-1                                                        |Star                                  |08 19 15.6215258928 -24 03 05.681399184|244.4022241946292 +06.7781645266850|   -5.616 3.591   |10.35    |~              |    ~     ~    |    1|  765.873   pc  |  -7.6253     +7.6253    |paral   |2020yCat.1350....0G
2126|TYC 6556-921-1                                                        |Star                                  |08 20 02.2753504248 -23 51 12.469356864|244.3359760354585 +07.0360086932676|  -6.096 -0.192   |10.86    |~              |    ~     ~    |    1|  951.203   pc  | -12.6670    +12.6670    |paral   |2020yCat.1350....0G
2127|TYC 6556-1019-1                                                       |Star                                  |08 16 17.2199674032 -23 58 25.278798432|243.9587633531839 +06.2556756174734|   -6.265 3.326   |10.63    |~              |    ~     ~    |    1|  926.097   pc  | -24.1859    +24.1859    |paral   |2020yCat.1350....0G
2128|TYC 6556-1061-1                                                       |Star                                  |08 17 12.3593696520 -24 06 18.083871756|244.1854233358624 +06.3582363482679|   -2.317 5.026   |10.49    |~              |    ~     ~    |    1|  835.282   pc  | -13.1865    +13.1865    |paral   |2020yCat.1350....0G
2129|TYC 6556-1115-1                                                       |Star                                  |08 17 53.6887383624 -23 59 11.320475712|244.1735426281121 +06.5548193748405|  -8.921 14.515   |10.81    |~              |    ~     ~    |    1| 1034.233   pc  | -12.4078    +12.4078    |paral   |2020yCat.1350....0G
2130|TYC 6556-1117-1                                                       |High Proper Motion Star               |08 16 14.7023596128 -23 54 29.573112096|243.8984713479753 +06.2837285633441|25.983 -138.824   |10.85    |~              |    ~     ~    |    1|  125.788   pc  |  -0.2009     +0.2009    |paral   |2020yCat.1350....0G
2131|TYC 6556-2000-1                                                       |Star                                  |08 20 28.2653077152 -23 47 46.516456860|244.3437352987539 +07.1501452249747|   -4.673 1.918   |10.22    |~              |    ~     ~    |    1|  941.886   pc  | -16.5897    +16.5897    |paral   |2020yCat.1350....0G
2132|TYC 6556-2202-1                                                       |Star                                  |08 20 38.7747067272 -23 49 10.143783516|244.3856882761085 +07.1704418297855|   -6.276 1.745   |10.88    |~              |    ~     ~    |    1|  911.660   pc  | -13.9629    +13.9629    |paral   |2020yCat.1350....0G
2133|TYC 6556-2780-1                                                       |Star                                  |08 21 45.7738313520 -23 57 55.954180296|244.6515867002496 +07.3004432599254|   -8.814 3.413   |9.85     |~              |    ~     ~    |    1|  645.453   pc  |  -5.0410     +5.0410    |paral   |2020yCat.1350....0G
2134|TYC 6556-3126-1                                                       |Star                                  |08 22 00.5186714640 -23 59 31.794037512|244.7055273190313 +07.3320252721481|   -5.794 3.287   |10.06    |~              |    ~     ~    |    1|  953.289   pc  | -25.8996    +25.8996    |paral   |2020yCat.1350....0G
2135|TYC 6556-3339-1                                                       |Star                                  |08 20 27.7430704992 -24 06 31.102900560|244.6038715208961 +06.9742460283165|   -2.308 0.008   |10.03    |~              |    ~     ~    |    1| 1755.926   pc  | -47.4825    +47.4825    |paral   |2020yCat.1350....0G
2136|TYC 6556-3787-1                                                       |Star                                  |08 20 56.0859229272 -24 09 30.331557576|244.7061209319750 +07.0358432793997|   -8.580 2.078   |10.52    |~              |    ~     ~    |    1| 1252.191   pc  | -19.1294    +19.1294    |paral   |2020yCat.1350....0G
2137|TYC 6556-3879-1                                                       |Star                                  |08 21 11.5793958360 -24 11 09.489984288|244.7623133134781 +07.0692708463288|  19.962 26.166   |10.99    |~              |    ~     ~    |    1|  196.514   pc  |  -0.4827     +0.4827    |paral   |2020yCat.1350....0G
2138|TYC 6556-4038-1                                                       |Star                                  |08 21 08.8259323872 -24 11 26.099297556|244.7602683368413 +07.0580149928845|   -9.689 4.912   |10.43    |~              |    ~     ~    |    1|  665.912   pc  |  -6.9176     +6.9176    |paral   |2020yCat.1350....0G
