C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST06:30:39

dec< 0&rah >=8.25&rah< 8.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 9790

 #  |                              identifier                              |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|----------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |BD-00 1953                                                            |Pulsating Variable                    |08 18 13.4591165856 -00 49 47.756320500|223.9828087585285 +18.8070347715498|  -1.636 -5.794   |10.39    |F2             |    ~     ~    |    1|  623.558   pc  | -10.3039    +10.3039    |paral   |2020yCat.1350....0G
24  |BD-00 1956                                                            |Star                                  |08 18 36.7119179688 -01 26 06.051525792|224.5902497299200 +18.5961817599404| -14.475 21.198   |9.00     |K0             |    ~     ~    |    1|  732.332   pc  | -10.9407    +10.9407    |paral   |2020yCat.1350....0G
25  |BD-00 1957                                                            |Star                                  |08 18 49.3310711472 -00 59 20.993603316|224.2066642826851 +18.8599546912800|   -5.834 2.509   |9.39     |A2             |    ~     ~    |    1|  605.620   pc  | -12.5804    +12.5804    |paral   |2020yCat.1350....0G
26  |BD-00 1958                                                            |Star                                  |08 18 55.5748411728 -01 19 47.760734676|224.5341402592711 +18.7161380567060| -10.630 -3.366   |10.38    |F5             |    ~     ~    |    1|  249.339   pc  |  -1.3367     +1.3367    |paral   |2020yCat.1350....0G
27  |BD-00 1959                                                            |Star                                  |08 19 09.1776133704 -00 55 13.607685624|224.1858848685759 +18.9656531823693|  1.170 -12.602   |9.94     |K5             |    ~     ~    |    1|  982.898   pc  | -17.6794    +17.6794    |paral   |2020yCat.1350....0G
28  |BD-00 1960                                                            |Star                                  |08 19 28.5864516984 -00 44 38.097104460|224.0645203721370 +19.1223074555964|   4.156 -8.283   |9.46     |K0             |    ~     ~    |    1|  583.226   pc  |  -5.6125     +5.6125    |paral   |2020yCat.1350....0G
29  |BD-00 1961                                                            |Star                                  |08 19 34.3056939432 -01 18 01.091089260|224.5902883859305 +18.8713214236945|  -3.231 -0.346   |9.26     |M0             |    ~     ~    |    1| 1611.863   pc  | -88.5953    +88.5953    |paral   |2020yCat.1350....0G
30  |HD 69996                                                              |Star                                  |08 19 35.6658453504 -00 47 21.357384000|224.1216472464008 +19.1259641495454| -1.214 -20.352   |7.82     |K0III          |    ~     ~    |    1|  263.838   pc  |  -1.8934     +1.8934    |paral   |2020yCat.1350....0G
31  |HD 70053                                                              |Star                                  |08 19 55.6813023600 -01 14 57.522699132|224.5893953774574 +18.9739276831660| -41.583 16.078   |7.77     |K1III          |    ~     ~    |    1|  305.446   pc  |  -2.4817     +2.4817    |paral   |2020yCat.1350....0G
32  |HD 70110                                                              |High Proper Motion Star               |08 20 12.9995585712 -00 54 33.529605120|224.3129296869820 +19.2031547560058| 39.483 -86.245   |6.177    |G0V            |    ~     ~    |    1|   38.078   pc  |  -0.0496     +0.0496    |paral   |2020yCat.1350....0G
33  |BD-00 1969                                                            |Star                                  |08 20 36.0434068008 -01 25 30.211511772|224.8385944921607 +19.0342547718180|  1.551 -24.533   |9.50     |K0             |    ~     ~    |    1|  582.920   pc  |  -5.5727     +5.5727    |paral   |2020yCat.1350....0G
34  |BD-00 1972                                                            |Star                                  |08 21 23.3380082520 -01 05 36.122398332|224.6348914031621 +19.3686601840826|  -2.189 -4.600   |9.43     |A2             |    ~     ~    |    1|  487.448   pc  | -12.1179    +12.1179    |paral   |2020yCat.1350....0G
35  |HD 70475                                                              |Star                                  |08 22 13.3973045664 -00 35 10.322208276|224.2737085595800 +19.7986812072411|-29.163 -20.129   |9.09     |F2/3IV/V       |    ~     ~    |    1|  119.885   pc  |  -0.2544     +0.2544    |paral   |2020yCat.1350....0G
36  |HD 70520                                                              |Star                                  |08 22 22.8730438248 -00 55 32.684424744|224.6088423976650 +19.6670058636971|   -4.248 2.876   |9.34     |A0V            |    ~     ~    |    1|  538.764   pc  |  -9.0273     +9.0273    |paral   |2020yCat.1350....0G
37  |BD-00 1975                                                            |Star                                  |08 22 29.3326758840 -01 05 58.784933688|224.7837718424582 +19.6051469888559|  -3.341 -2.827   |9.70     |K2             |    ~     ~    |    1|  572.410   pc  |  -5.0459     +5.0459    |paral   |2020yCat.1350....0G
38  |HD 70549                                                              |Star                                  |08 22 33.8790767520 -00 32 11.611628700|224.2719579242112 +19.8973925950316|  -11.329 1.963   |7.88     |A2IV           |    ~     ~    |    1|  323.855   pc  |  -2.6850     +2.6850    |paral   |2020yCat.1350....0G
39  |HD 70596                                                              |Star                                  |08 22 47.4402668304 -00 52 03.279711252|224.6082650529701 +19.7847297896958| -31.411 -7.809   |6.95     |K1IIICNII      |    ~     ~    |    1|  140.025   pc  |  -5.0547     +5.0547    |paral   |2020yCat.1350....0G
40  |HD 70597                                                              |Star                                  |08 22 50.6381243688 -01 03 34.435942884|224.7929565952904 +19.7021559703610|  8.447 -35.826   |8.52     |F5V            |    ~     ~    |    1|  112.528   pc  |  -0.2786     +0.2786    |paral   |2020yCat.1350....0G
41  |HD 70650                                                              |Star                                  |08 23 06.0898637616 -00 45 51.319215720|224.5529804963662 +19.9030869661135|-20.691 -31.124   |8.89     |F3V            |    ~     ~    |    1|  154.945   pc  |  -5.1545     +5.1545    |paral   |2020yCat.1350....0G
42  |TYC 4849-1430-1                                                       |Star                                  |08 24 20.2361668872 -01 05 43.891500624|225.0213751355271 +20.0094991355449|   0.217 -2.854   |9.71     |K0             |    ~     ~    |    1|  631.273   pc  |  -6.6550     +6.6550    |paral   |2020yCat.1350....0G
43  |HD 70923                                                              |Double or Multiple Star               |08 24 33.2588898432 -01 08 54.287530476|225.0988022834023 +20.0306639192936|86.228 -184.256   |7.05     |G1V            |    ~     ~    |    1|   41.269   pc  |  -0.0419     +0.0419    |paral   |2020yCat.1350....0G
44  |BD-00 1988                                                            |Star                                  |08 24 40.0167639456 -01 06 48.523642020|225.0812068035783 +20.0723743641384|  -0.080 -5.328   |10.07    |A0             |    ~     ~    |    1|  728.491   pc  | -23.0324    +23.0324    |paral   |2020yCat.1350....0G
45  |BD-00 1989                                                            |Red Giant Branch star Candidate       |08 24 58.0822415136 -00 39 41.555657124|224.7012713377417 +20.3601198248717| 22.023 -23.833   |9.56     |K0             |    ~     ~    |    1|  564.016   pc  |  -4.6445     +4.6445    |paral   |2020yCat.1350....0G
46  |HD 71190                                                              |High Proper Motion Star               |08 26 00.1428408888 -01 15 17.331666336|225.3876797806550 +20.2929295227378|  -49.385 6.934   |8.97     |F6V            |    ~     ~    |    1|  120.847   pc  |  -0.8500     +0.8500    |paral   |2020yCat.1350....0G
47  |BD-01 2002                                                            |Star                                  |08 17 41.7214440576 -01 34 23.903396652|224.5991305107208 +18.3287556182090|   -5.654 1.487   |10.28    |G5             |    ~     ~    |    1|  746.436   pc  |  -9.6947     +9.6947    |paral   |2020yCat.1350....0G
48  |HD 69663                                                              |Red Giant Branch star                 |08 17 52.1025676176 -01 48 14.551680960|224.8332658571887 +18.2533332654411|-69.219 -224.127  |7.45     |G8IV/V         |    ~     ~    |    1|  125.414   pc  |  -0.2815     +0.2815    |paral   |2020yCat.1350....0G
49  |BD-01 2006                                                            |Star                                  |08 18 13.8293687064 -01 38 08.402594496|224.7254549324646 +18.4147796317842|  -4.464 -2.031   |10.75    |A2             |    ~     ~    |    1|  463.349   pc  |  -3.2633     +3.2633    |paral   |2020yCat.1350....0G
50  |BD-01 2007                                                            |Long-Period Variable                  |08 18 47.0622196320 -01 53 25.452410748|225.0309671160872 +18.4102562311203|   -0.852 2.586   |9.21     |M2             |    ~     ~    |    1| 1145.213   pc  | -30.9517    +30.9517    |paral   |2020yCat.1350....0G
51  |V* MR Hya                                                             |Long-Period Variable                  |08 19 07.3998023160 -02 04 48.363801312|225.2489185900991 +18.3905663312567|    4.840 0.956   |9.02     |M0             |    ~     ~    |    1| 1818.843   pc  | -66.4946    +66.4946    |paral   |2020yCat.1350....0G
52  |HD 70134                                                              |Star                                  |08 20 18.2624082288 -01 35 10.320306684|224.9485181682630 +18.8905732985758| -10.794 -2.514   |9.37     |A3V            |    ~     ~    |    1|  272.777   pc  |  -2.9391     +2.9391    |paral   |2020yCat.1350....0G
53  |BD-01 2012                                                            |Star                                  |08 20 25.8042634272 -02 06 56.861247996|225.4515721177239 +18.6568951077785| -10.440 -0.894   |10.69    |K0             |    ~     ~    |    1|  546.418   pc  |  -6.2103     +6.2103    |paral   |2020yCat.1350....0G
54  |BD-01 2018                                                            |Star                                  |08 21 35.7409810584 -01 59 18.177572364|225.4866133245981 +18.9730287410464|  4.170 -13.319   |9.63     |K2             |    ~     ~    |    1|  495.074   pc  |  -3.4314     +3.4314    |paral   |2020yCat.1350....0G
55  |BD-01 2019                                                            |Star                                  |08 21 42.3408638928 -01 55 10.524585720|225.4377336391293 +19.0309236771630|  3.684 -10.588   |9.78     |K2             |    ~     ~    |    1|  612.332   pc  |  -6.4492     +6.4492    |paral   |2020yCat.1350....0G
56  |BD-01 2020                                                            |Star                                  |08 21 52.6897055736 -01 55 55.151589396|225.4716688773907 +19.0622599233981|-16.988 -19.008   |9.52     |F8             |    ~     ~    |    1|  419.762   pc  |  -8.1581     +8.1581    |paral   |2020yCat.1350....0G
57  |BD-01 2021                                                            |High Proper Motion Star               |08 21 51.9273267912 -01 38 49.749332820|225.2078309357040 +19.2001251136875| 19.970 -58.167   |9.55     |F8             |    ~     ~    |    1|  111.627   pc  |  -0.2044     +0.2044    |paral   |2020yCat.1350....0G
58  |BD-01 2023                                                            |Star                                  |08 22 25.7508330312 -02 05 09.483439848|225.6853491281841 +19.1056749109613|  13.922 32.000   |10.93    |K2             |    ~     ~    |    1|  127.804   pc  |  -0.2287     +0.2287    |paral   |2020yCat.1350....0G
59  |BD-01 2024                                                            |Star                                  |08 22 31.7065913448 -01 55 34.286597292|225.5513996750137 +19.2063389890408| -1.957 -10.310   |9.65     |F2             |    ~     ~    |    1|  388.712   pc  | -10.2444    +10.2444    |paral   |2020yCat.1350....0G
60  |BD-01 2026                                                            |Star                                  |08 23 32.6028996072 -02 06 40.834361232|225.8549026199830 +19.3347978281168| 19.080 -23.333   |9.93     |F5             |    ~     ~    |    1|  345.292   pc  | -14.4026    +14.4026    |paral   |2020yCat.1350....0G
61  |BD-01 2027                                                            |High Proper Motion Star               |08 23 40.8768694032 -01 29 09.248038980|225.2965137828932 +19.6743932849109|-22.728 -57.865   |9.77     |K0             |    ~     ~    |    1|  262.474   pc  |  -1.0403     +1.0403    |paral   |2020yCat.1350....0G
62  |HD 70804                                                              |Star                                  |08 23 56.1870053256 -01 29 52.836131076|225.3411454390204 +19.7238669247924|-15.667 -18.468   |6.91     |G8III+G        |    ~     ~    |    1|  161.564   pc  |  -0.6708     +0.6708    |paral   |2020yCat.1350....0G
