C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:21:03

dec >=0&rah >=1.0&rah< 1.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4690

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
678 |TYC 3276-89-1                                                                                            |Star                                |01 13 29.2792788432 +52 16 28.185556008|126.3585690660527 -10.4504840710128|    5.694 0.701    |10.26    |~                   |    ~     ~    |    1|  664.673   pc  |  -6.4501     +6.4501  |paral   |2020yCat.1350....0G
679 |TYC 3276-99-1                                                                                            |Star                                |01 13 40.9726250184 +52 21 37.791940536|126.3811005309320 -10.3622104027115|  -3.944 -0.170    |10.82    |~                   |    ~     ~    |    1|  729.661   pc  | -12.9374    +12.9374  |paral   |2020yCat.1350....0G
680 |TYC 3276-136-1                                                                                           |Star                                |01 13 04.0627033920 +52 23 37.077208944|126.2831089250249 -10.3373175197707|  10.363 -6.386    |9.51     |~                   |    ~     ~    |    1|  636.254   pc  |  -6.4771     +6.4771  |paral   |2020yCat.1350....0G
681 |TYC 3276-409-1                                                                                           |Eclipsing Binary                    |01 13 11.9512712712 +52 17 40.185839328|126.3120688651443 -10.4343733815538|  -3.047 -3.140    |10.47    |~                   |    ~     ~    |    1|  903.832   pc  | -19.3608    +19.3608  |paral   |2020yCat.1350....0G
682 |TYC 3668-103-1                                                                                           |Star                                |01 03 13.1624180760 +53 11 48.923164680|124.7211378755697 -09.6338904872827| -16.586 -6.710    |9.60     |~                   |    ~     ~    |    1|  194.469   pc  |  -0.5559     +0.5559  |paral   |2020yCat.1350....0G
683 |TYC 3668-220-1                                                                                           |Star                                |01 01 53.2477017240 +52 36 16.378174728|124.5437673992624 -10.2344917455657|  22.950 -4.077    |10.45    |~                   |    ~     ~    |    0|                |                       |        |                   
684 |TYC 3668-344-1                                                                                           |Star                                |01 03 02.3973446208 +52 48 48.186986688|124.7117024494005 -10.0182644210227|   19.554 0.705    |10.33    |~                   |    ~     ~    |    1|  349.333   pc  |  -2.2820     +2.2820  |paral   |2020yCat.1350....0G
685 |TYC 3668-445-1                                                                                           |Star                                |01 01 38.1132161736 +53 04 50.480085144|124.4854485423890 -09.7602967537691|-18.552 -21.173    |10.61    |~                   |    ~     ~    |    1|  502.513   pc  | -15.9339    +15.9339  |paral   |2020yCat.1350....0G
686 |TYC 3668-518-1                                                                                           |Pulsating Variable                  |01 00 21.4111483560 +52 33 53.088387120|124.3092131667478 -10.2831480312922|  -5.910 -1.401    |10.43    |~                   |    ~     ~    |    1|  518.242   pc  |  -5.4252     +5.4252  |paral   |2020yCat.1350....0G
687 |TYC 3668-525-1                                                                                           |Star                                |01 03 54.7707125208 +53 18 54.203617800|124.8204788612234 -09.5109404208308|  -9.286 -1.917    |10.49    |~                   |    ~     ~    |    1|  440.412   pc  |  -3.6077     +3.6077  |paral   |2020yCat.1350....0G
688 |TYC 3668-556-1                                                                                           |Star                                |01 02 55.9967427072 +52 34 12.926050320|124.7065463694578 -10.2618763293802|   2.349 -1.326    |10.58    |~                   |    ~     ~    |    1|  916.086   pc  | -15.9451    +15.9451  |paral   |2020yCat.1350....0G
689 |TYC 3668-593-1                                                                                           |Star                                |01 01 43.2511126296 +52 58 22.805456700|124.5029136145390 -09.8673770458582|  -14.719 4.278    |10.96    |~                   |    ~     ~    |    1|  472.769   pc  |  -4.5373     +4.5373  |paral   |2020yCat.1350....0G
690 |TYC 3668-629-1                                                                                           |Star                                |01 02 48.1710774792 +53 27 55.579811652|124.6457522241650 -09.3684859548068|  -1.281 -2.954    |10.65    |~                   |    ~     ~    |    1|  859.845   pc  | -12.3469    +12.3469  |paral   |2020yCat.1350....0G
691 |TYC 3668-872-1                                                                                           |Spectroscopic Binary                |01 01 08.4018891408 +52 51 08.457125184|124.4189114997746 -09.9913840696384|  40.796 -0.212    |10.45    |~                   |    ~     ~    |    1|  234.687   pc  |  -6.9673     +6.9673  |paral   |2020yCat.1350....0G
692 |TYC 3668-917-1                                                                                           |Star                                |01 02 10.5676568736 +53 22 47.433954828|124.5549729869887 -09.4580611251934|  -5.805 -0.784    |10.30    |~                   |    ~     ~    |    1|  609.868   pc  | -16.6628    +16.6628  |paral   |2020yCat.1350....0G
693 |TYC 3668-1165-1                                                                                          |Star                                |01 02 43.2855299976 +53 01 44.229403164|124.6531456933348 -09.8050812351212|   2.573 -5.029    |10.54    |~                   |    ~     ~    |    1|  720.357   pc  |  -8.7178     +8.7178  |paral   |2020yCat.1350....0G
694 |TYC 3668-1242-1                                                                                          |Star                                |01 05 42.9719923248 +53 18 27.922078908|125.0936014367776 -09.5040518395873| 21.010 -12.578    |10.28    |~                   |    ~     ~    |    1|  184.165   pc  |  -0.5834     +0.5834  |paral   |2020yCat.1350....0G
695 |TYC 3668-1308-1                                                                                          |High Proper Motion Star             |01 05 37.0606619760 +53 36 10.332718668|125.0620219095479 -09.2102210952515| 78.701 -17.139    |9.25     |~                   |    ~     ~    |    1|   90.699   pc  |  -0.1127     +0.1127  |paral   |2020yCat.1350....0G
696 |TYC 3668-1400-1                                                                                          |High Proper Motion Star             |01 06 26.8288072200 +53 12 06.242333724|125.2104742314147 -09.6035977176396|-35.919 -34.046    |10.81    |~                   |    ~     ~    |    1|   56.164   pc  |  -0.0502     +0.0502  |paral   |2020yCat.1350....0G
697 |TYC 3668-1477-1                                                                                          |Star                                |01 04 39.3988380288 +54 13 04.178624124|124.8854787307648 -08.6037723907227|  -3.347 -0.554    |9.35     |~                   |    ~     ~    |    1|  253.988   pc  |  -2.0385     +2.0385  |paral   |2020yCat.1350....0G
698 |TYC 3668-1532-1                                                                                          |Star                                |01 06 08.8254788544 +53 16 17.897722248|125.1608764665686 -09.5364384596635|  38.442 -8.912    |10.39    |~                   |    ~     ~    |    1|  381.127   pc  | -10.8653    +10.8653  |paral   |2020yCat.1350....0G
699 |TYC 3668-1542-1                                                                                          |Star                                |01 06 16.5232149840 +53 15 56.629094652|125.1806429988967 -09.5412212923666|   7.794 -4.642    |9.75     |~                   |    ~     ~    |    1|  396.794   pc  |  -2.5034     +2.5034  |paral   |2020yCat.1350....0G
700 |TYC 3668-1583-1                                                                                          |Star                                |01 04 49.0645803072 +53 23 45.713636628|124.9530116460664 -09.4232022145842|   5.899 -6.304    |10.23    |~                   |    ~     ~    |    1|  544.870   pc  | -11.8160    +11.8160  |paral   |2020yCat.1350....0G
701 |TYC 3668-1600-1                                                                                          |Star                                |01 06 21.1114892520 +52 58 56.677241676|125.2090922785698 -09.8233832052383|   -2.591 3.039    |10.51    |~                   |    ~     ~    |    1|  554.047   pc  | -33.7051    +33.7051  |paral   |2020yCat.1350....0G
702 |TYC 3668-1608-1                                                                                          |Star                                |01 03 38.4968593776 +53 06 44.770815900|124.7893264741157 -09.7152938779872| -24.969 -3.085    |10.38    |~                   |    ~     ~    |    1|  374.083   pc  |  -2.4629     +2.4629  |paral   |2020yCat.1350....0G
703 |TYC 3668-1689-1                                                                                          |Star                                |01 03 59.0214229080 +53 49 01.837583112|124.8060935864380 -09.0089104382555|  -5.111 -0.327    |10.52    |~                   |    ~     ~    |    1|  989.022   pc  | -37.3659    +37.3659  |paral   |2020yCat.1350....0G
704 |TYC 3668-1745-1                                                                                          |Star                                |01 04 36.8400949440 +54 01 28.941393576|124.8892897002374 -08.7969581723015|   0.657 -4.495    |10.42    |~                   |    ~     ~    |    1| 1286.836   pc  | -27.8199    +27.8199  |paral   |2020yCat.1350....0G
705 |TYC 3668-1756-1                                                                                          |Spectroscopic Binary                |01 02 19.4869854456 +53 14 09.848474592|124.5836738836185 -09.6007595035959|  -0.073 10.112    |10.48    |~                   |    ~     ~    |    1|  802.246   pc  | -24.6498    +24.6498  |paral   |2020yCat.1350....0G
706 |TYC 3668-1793-1                                                                                          |Star                                |01 06 04.5723977664 +54 11 58.769911500|125.0960849508634 -08.6105671741103|   -0.997 1.726    |9.43     |~                   |    ~     ~    |    1|  872.220   pc  | -13.6177    +13.6177  |paral   |2020yCat.1350....0G
707 |TYC 3668-1880-1                                                                                          |Star                                |01 03 52.0950345432 +53 39 10.224464148|124.7969955229701 -09.1738872869636|   3.033 -8.235    |10.15    |~                   |    ~     ~    |    1|  365.350   pc  |  -2.2959     +2.2959  |paral   |2020yCat.1350....0G
708 |TYC 3668-1906-1                                                                                          |Star                                |01 03 52.6251093504 +53 06 12.105587340|124.8255843737971 -09.7226421777744| -7.421 -13.042    |10.34    |~                   |    ~     ~    |    1|  796.115   pc  | -10.9013    +10.9013  |paral   |2020yCat.1350....0G
709 |TYC 3668-1999-1                                                                                          |Star                                |01 04 07.9009279056 +53 38 32.175935196|124.8370196178738 -09.1825153617064|   0.780 -3.988    |10.77    |~                   |    ~     ~    |    1|  843.953   pc  | -11.0400    +11.0400  |paral   |2020yCat.1350....0G
710 |TYC 3668-2042-1                                                                                          |Star                                |01 04 26.2453816296 +53 25 26.276959560|124.8941708637321 -09.3982464796882|  -8.018 -0.469    |10.54    |~                   |    ~     ~    |    1|  751.484   pc  |  -8.5274     +8.5274  |paral   |2020yCat.1350....0G
711 |TYC 3669-25-1                                                                                            |Star                                |01 07 01.7838244320 +53 09 39.078347220|125.3013390496678 -09.6391462205656| 28.179 -12.940    |9.82     |~                   |    ~     ~    |    1|  160.085   pc  |  -0.4613     +0.4613  |paral   |2020yCat.1350....0G
712 |TYC 3669-39-1                                                                                            |Star                                |01 07 12.7345018296 +54 08 16.486810476|125.2676779183497 -08.6622792548112|   1.639 -3.994    |10.91    |~                   |    ~     ~    |    1|  408.747   pc  |  -6.5159     +6.5159  |paral   |2020yCat.1350....0G
713 |TYC 3669-41-1                                                                                            |Spectroscopic Binary                |01 07 23.7421509648 +53 48 11.620048356|125.3160278625083 -08.9946334958944|-19.409 -15.300    |10.17    |~                   |    ~     ~    |    1|  363.994   pc  | -12.1892    +12.1892  |paral   |2020yCat.1350....0G
714 |TYC 3669-78-1                                                                                            |Star                                |01 07 34.3302352464 +54 11 22.101338940|125.3175939541939 -08.6075221586002|  -2.998 -1.881    |10.94    |~                   |    ~     ~    |    1| 1096.852   pc  | -25.0242    +25.0242  |paral   |2020yCat.1350....0G
715 |TYC 3669-79-1                                                                                            |Star                                |01 07 16.9756195032 +54 09 26.448552144|125.2769071856432 -08.6422406523192|  -3.116 -1.483    |10.78    |~                   |    ~     ~    |    1|  693.626   pc  |  -6.7837     +6.7837  |paral   |2020yCat.1350....0G
716 |TYC 3669-94-1                                                                                            |Star                                |01 06 44.3710676304 +53 02 57.922090620|125.2641065233199 -09.7530208965529|  -3.795 -0.709    |10.70    |~                   |    ~     ~    |    1|  484.097   pc  |  -5.8353     +5.8353  |paral   |2020yCat.1350....0G
717 |TYC 3669-177-1                                                                                           |Star                                |01 12 15.2104607376 +53 19 10.276968720|126.0802746411923 -09.4249333854825|   7.317 -1.127    |10.957   |~                   |    ~     ~    |    1|  483.512   pc  |  -3.6237     +3.6237  |paral   |2020yCat.1350....0G
718 |TYC 3669-260-1                                                                                           |Star                                |01 14 02.5084400952 +54 09 37.159930800|126.2744664202635 -08.5646606323936|  -10.695 0.443    |10.65    |~                   |    ~     ~    |    1|  657.203   pc  |  -6.3492     +6.3492  |paral   |2020yCat.1350....0G
719 |TYC 3669-262-1                                                                                           |Spectroscopic Binary                |01 11 25.8381030552 +54 21 26.289955908|125.8736540878469 -08.4002108949652|  93.395 27.248    |10.11    |~                   |    ~     ~    |    1|  170.430   pc  |  -0.4880     +0.4880  |paral   |2020yCat.1350....0G
720 |TYC 3669-271-1                                                                                           |Star                                |01 08 50.5570835880 +53 46 19.046995500|125.5340053384694 -09.0118328723943|  -6.629 -1.871    |10.27    |~                   |    ~     ~    |    1|  980.008   pc  | -16.6152    +16.6152  |paral   |2020yCat.1350....0G
721 |TYC 3669-418-1                                                                                           |High Proper Motion Star             |01 09 47.2614368256 +54 21 11.401806600|125.6326908112087 -08.4223273078079|130.431 -19.702    |9.63     |~                   |    ~     ~    |    1|   59.046   pc  |  -0.0530     +0.0530  |paral   |2020yCat.1350....0G
722 |TYC 3669-489-1                                                                                           |Star                                |01 11 25.0016580744 +53 22 29.670027456|125.9495932374726 -09.3797384044037|   9.196 -3.335    |10.40    |~                   |    ~     ~    |    1|  728.173   pc  | -11.9833    +11.9833  |paral   |2020yCat.1350....0G
723 |TYC 3669-519-1                                                                                           |Star                                |01 12 45.8515930512 +53 25 11.859344292|126.1487844807582 -09.3185304707019|  -4.945 -3.798    |10.25    |~                   |    ~     ~    |    1|  731.743   pc  |  -8.1924     +8.1924  |paral   |2020yCat.1350....0G
724 |TYC 3669-609-1                                                                                           |Star                                |01 08 51.2177480712 +53 15 32.306429664|125.5712318043948 -09.5235015962807|   4.673 -3.230    |10.80    |~                   |    ~     ~    |    1|  225.291   pc  |  -0.7512     +0.7512  |paral   |2020yCat.1350....0G
725 |GSC 03669-00614                                                                                          |Double or Multiple Star             |01 10 29.1791859624 +54 08 03.495534432|125.7518447017811 -08.6331150020830|  6.144 -10.590    |10.728   |~                   |    ~     ~    |    1|  803.148   pc  | -11.3528    +11.3528  |paral   |2020yCat.1350....0G
726 |TYC 3669-654-1                                                                                           |High Proper Motion Star             |01 13 16.9295590104 +53 59 27.581023284|126.1771162148016 -08.7430552689517| 39.717 -48.476    |10.42    |~                   |    ~     ~    |    1|  163.268   pc  |  -0.8263     +0.8263  |paral   |2020yCat.1350....0G
727 |TYC 3669-664-1                                                                                           |Star                                |01 09 11.3565407856 +53 54 40.988760624|125.5759008893420 -08.8692073645824|  29.925 -3.096    |10.92    |~                   |    ~     ~    |    1|  353.557   pc  |  -2.0500     +2.0500  |paral   |2020yCat.1350....0G
728 |TYC 3669-679-1                                                                                           |High Proper Motion Star             |01 13 43.3068110880 +53 28 28.831099368|126.2879720698685 -09.2518028284233|-68.873 -51.492    |10.19    |~                   |    ~     ~    |    1|  144.022   pc  |  -0.6119     +0.6119  |paral   |2020yCat.1350....0G
729 |TYC 3669-728-1                                                                                           |Star                                |01 13 59.7062869704 +54 05 59.691416100|126.2729838393915 -08.6254370363520| 10.359 -12.080    |10.71    |~                   |    ~     ~    |    1|  681.989   pc  |  -6.7906     +6.7906  |paral   |2020yCat.1350....0G
730 |TYC 3669-766-1                                                                                           |Star                                |01 10 15.2382856608 +54 09 09.408349476|125.7161501064791 -08.6173837048291|   0.866 -7.124    |10.54    |~                   |    ~     ~    |    1|  726.427   pc  |  -8.7070     +8.7070  |paral   |2020yCat.1350....0G
731 |TYC 3669-825-1                                                                                           |Pulsating Variable                  |01 07 28.4811310656 +52 46 33.615281280|125.3935239642334 -10.0190776702471|  -0.634 -1.398    |10.15    |~                   |    ~     ~    |    1| 1068.034   pc  | -30.4566    +30.4566  |paral   |2020yCat.1350....0G
732 |TYC 3669-833-1                                                                                           |Star                                |01 13 32.4611484072 +52 57 13.829236524|126.3067144575147 -09.7730115068525|    0.371 3.216    |10.54    |~                   |    ~     ~    |    1|  621.581   pc  |  -7.7659     +7.7659  |paral   |2020yCat.1350....0G
733 |TYC 3669-917-1                                                                                           |Star                                |01 07 32.3406602928 +53 20 53.477104920|125.3665842548370 -09.4474285314467|  -4.378 -1.720    |10.58    |~                   |    ~     ~    |    1|  795.608   pc  |  -9.3050     +9.3050  |paral   |2020yCat.1350....0G
734 |TYC 3669-929-1                                                                                           |Star                                |01 08 11.2379344416 +53 33 46.438588584|125.4501276685889 -09.2269326360245| -17.603 -8.722    |10.85    |~                   |    ~     ~    |    1|  675.950   pc  |  -8.0873     +8.0873  |paral   |2020yCat.1350....0G
735 |TYC 3669-963-1                                                                                           |High Proper Motion Star             |01 13 37.2533594784 +53 25 15.449495232|126.2775637949434 -09.3066267114952| 51.213 -16.305    |10.77    |~                   |    ~     ~    |    1|  225.378   pc  |  -1.3715     +1.3715  |paral   |2020yCat.1350....0G
736 |TYC 3669-976-1                                                                                           |Star                                |01 11 05.8674759144 +54 02 26.254205556|125.8494814343918 -08.7197136630372|   23.517 5.205    |9.81     |~                   |    ~     ~    |    1|  188.761   pc  |  -1.0939     +1.0939  |paral   |2020yCat.1350....0G
737 |TYC 3669-1002-1                                                                                          |Star                                |01 11 01.5696626352 +54 02 04.113115548|125.8393527949418 -08.7266555001681| 26.603 -11.119    |10.17    |~                   |    ~     ~    |    1|  535.074   pc  |  -4.8958     +4.8958  |paral   |2020yCat.1350....0G
738 |TYC 3669-1010-1                                                                                          |Star                                |01 11 44.6010275928 +53 49 03.677941344|125.9630426230184 -08.9345119390507|  30.786 -3.658    |10.81    |~                   |    ~     ~    |    1|  300.969   pc  | -15.6073    +15.6073  |paral   |2020yCat.1350....0G
739 |TYC 3669-1015-1                                                                                          |Star                                |01 09 24.7325478696 +53 31 40.906532568|125.6364554189550 -09.2493042545142|  -0.546 -2.194    |10.77    |~                   |    ~     ~    |    1|  755.572   pc  | -19.8670    +19.8670  |paral   |2020yCat.1350....0G
740 |TYC 3669-1049-1                                                                                          |Star                                |01 08 21.1958026152 +53 21 51.173142264|125.4884299863230 -09.4235471346397|  -3.511 -3.724    |10.65    |~                   |    ~     ~    |    1|  582.920   pc  |  -5.4707     +5.4707  |paral   |2020yCat.1350....0G
741 |IRAS 01044+5242                                                                                          |Star                                |01 07 26.9645062512 +52 58 34.284928908|125.3768324638200 -09.8195315669436|   0.390 -0.980    |10.05    |~                   |    ~     ~    |    1| 1578.532   pc  | -84.2216    +84.2216  |paral   |2020yCat.1350....0G
742 |TYC 3669-1104-1                                                                                          |Star                                |01 10 29.8166843232 +53 11 50.890057620|125.8244501453371 -09.5672041095144|-36.133 -23.203    |10.88    |~                   |    ~     ~    |    1|  163.969   pc  |  -0.3630     +0.3630  |paral   |2020yCat.1350....0G
743 |TYC 3669-1169-1                                                                                          |Star                                |01 10 31.1172649656 +53 14 53.016402264|125.8238829699732 -09.5165126160379|   9.255 -6.375    |9.81     |~                   |    ~     ~    |    1|  567.151   pc  |  -5.5004     +5.5004  |paral   |2020yCat.1350....0G
744 |TYC 3669-1187-1                                                                                          |Star                                |01 13 23.7138032184 +52 32 52.096824816|126.3201554711210 -10.1794316097893|   1.895 -1.602    |10.89    |~                   |    ~     ~    |    1|  221.229   pc  |  -0.7586     +0.7586  |paral   |2020yCat.1350....0G
745 |GSC 03669-01223                                                                                          |Double or Multiple Star             |01 08 06.1367581128 +52 53 02.711579892|125.4825020586968 -09.9051139862857|  -21.921 2.169    |10.889   |~                   |    ~     ~    |    1|  510.673   pc  |  -4.7724     +4.7724  |paral   |2020yCat.1350....0G
746 |TYC 3669-1232-1                                                                                          |Star                                |01 11 57.1460476704 +53 34 59.992385736|126.0132974419559 -09.1656347644261|  -2.370 -2.697    |10.86    |~                   |    ~     ~    |    1|  676.865   pc  | -10.6290    +10.6290  |paral   |2020yCat.1350....0G
747 |TYC 3669-1250-1                                                                                          |Star                                |01 14 13.6377793176 +52 31 49.812145248|126.4497487012569 -10.1855150447152|  8.297 -13.435    |10.82    |~                   |    ~     ~    |    1|  389.272   pc  |  -2.5609     +2.5609  |paral   |2020yCat.1350....0G
748 |TYC 3669-1251-1                                                                                          |Star                                |01 09 27.1905870144 +53 22 21.464524992|125.6537615779011 -09.4038839968440|  -0.733 -1.921    |10.96    |~                   |    ~     ~    |    1| 1273.074   pc  | -29.6592    +29.6592  |paral   |2020yCat.1350....0G
749 |TYC 3669-1283-1                                                                                          |Star                                |01 12 36.2894284416 +52 34 55.467513012|126.1956083307444 -10.1554887184416|   5.025 -2.360    |9.89     |~                   |    ~     ~    |    1| 1174.398   pc  | -22.2053    +22.2053  |paral   |2020yCat.1350....0G
750 |TYC 3669-1323-1                                                                                          |Star                                |01 11 54.0489665232 +52 44 28.439575620|126.0742974816073 -10.0056175891392|   42.683 7.122    |10.05    |~                   |    ~     ~    |    1|  239.981   pc  |  -0.9042     +0.9042  |paral   |2020yCat.1350....0G
751 |TYC 3669-1329-1                                                                                          |Spectroscopic Binary                |01 08 26.3420500272 +52 31 28.302980736|125.5584251772637 -10.2604961720391| 21.702 -16.222    |10.84    |~                   |    ~     ~    |    1|  415.058   pc  |  -9.0099     +9.0099  |paral   |2020yCat.1350....0G
752 |TYC 3669-1331-1                                                                                          |Star                                |01 10 43.9217592768 +52 41 25.694137608|125.8991306590653 -10.0700829069197|  -5.149 -6.288    |10.83    |~                   |    ~     ~    |    1|  809.192   pc  | -20.9534    +20.9534  |paral   |2020yCat.1350....0G
753 |TYC 3669-1341-1                                                                                          |High Proper Motion Star             |01 07 33.4992782064 +53 36 59.132203632|125.3522706025076 -09.1795477567081| 66.545 -10.653    |9.86     |~                   |    ~     ~    |    1|  395.946   pc  |  -2.3673     +2.3673  |paral   |2020yCat.1350....0G
754 |TYC 3669-1376-1                                                                                          |Star                                |01 08 50.1606432552 +53 08 33.053651124|125.5766511017766 -09.6398679545414| 27.353 -11.718    |10.39    |~                   |    ~     ~    |    1|  986.875   pc  | -23.6663    +23.6663  |paral   |2020yCat.1350....0G
755 |TYC 3669-1381-1                                                                                          |Star                                |01 08 03.0968903232 +52 44 48.088629708|125.4838903272023 -10.0427155530699|   1.969 -1.178    |10.56    |~                   |    ~     ~    |    1|  438.962   pc  |  -8.5746     +8.5746  |paral   |2020yCat.1350....0G
756 |TYC 3669-1423-1                                                                                          |Star                                |01 14 44.0079342960 +52 36 03.743844552|126.5210643562250 -10.1082891962907|  -9.574 -1.370    |10.73    |~                   |    ~     ~    |    1|  525.431   pc  |  -6.6811     +6.6811  |paral   |2020yCat.1350....0G
757 |TYC 3669-1450-1                                                                                          |Star                                |01 10 07.3605467136 +52 46 03.272273976|125.7998487384816 -10.0000946996199|  -5.763 -6.083    |10.69    |~                   |    ~     ~    |    1|  549.632   pc  |  -6.1325     +6.1325  |paral   |2020yCat.1350....0G
758 |TYC 3669-1452-1                                                                                          |Star                                |01 07 26.9223728808 +53 11 53.521653336|125.3625294350064 -09.5979694261233|  -6.408 -5.566    |10.39    |~                   |    ~     ~    |    1|  944.376   pc  | -19.2639    +19.2639  |paral   |2020yCat.1350....0G
759 |TYC 3669-1481-1                                                                                          |Star                                |01 09 42.3725836272 +52 37 27.763707828|125.7465186867231 -10.1475048494058|  20.641 -1.648    |10.50    |~                   |    ~     ~    |    1|  765.345   pc  | -11.1879    +11.1879  |paral   |2020yCat.1350....0G
760 |TYC 3669-1501-1                                                                                          |Star                                |01 12 20.5687848600 +53 02 48.943437072|126.1164735304643 -09.6955096990817|    1.501 1.831    |10.78    |~                   |    ~     ~    |    1| 1164.144   pc  | -23.8521    +23.8521  |paral   |2020yCat.1350....0G
761 |TYC 3669-1514-1                                                                                          |Star                                |01 08 46.7148846792 +52 38 59.253945216|125.6020911479283 -10.1320285046367|  -6.577 -0.335    |10.51    |~                   |    ~     ~    |    1|  531.321   pc  | -19.5918    +19.5918  |paral   |2020yCat.1350....0G
762 |TYC 3669-1520-1                                                                                          |Star                                |01 12 58.4611588392 +52 31 29.657481456|126.2573610653736 -10.2077304907752|   9.657 -4.854    |9.73     |~                   |    ~     ~    |    1|  637.471   pc  |  -5.6485     +5.6485  |paral   |2020yCat.1350....0G
763 |TYC 3669-1539-1                                                                                          |Star                                |01 12 15.7039798416 +53 06 06.256121256|126.0995985764352 -09.6418850585294|    7.399 0.740    |10.84    |~                   |    ~     ~    |    1|  858.001   pc  | -11.4842    +11.4842  |paral   |2020yCat.1350....0G
764 |TYC 3669-1656-1                                                                                          |Star                                |01 10 34.5074535480 +52 34 49.601749980|125.8834796884384 -10.1815951494317|   0.853 -2.501    |10.25    |~                   |    ~     ~    |    1| 1178.134   pc  | -22.9020    +22.9020  |paral   |2020yCat.1350....0G
765 |TYC 3672-6-1                                                                                             |Star                                |01 06 31.6420430256 +54 25 22.808849340|125.1493314951917 -08.3837657853028|  -4.834 -4.325    |10.63    |~                   |    ~     ~    |    1|  766.930   pc  |  -8.5875     +8.5875  |paral   |2020yCat.1350....0G
766 |TYC 3672-479-1                                                                                           |Star                                |01 05 42.2871897888 +54 32 29.578776576|125.0218907081689 -08.2722930035668|  -6.717 -6.367    |10.59    |~                   |    ~     ~    |    1|  579.777   pc  |  -6.6220     +6.6220  |paral   |2020yCat.1350....0G
767 |TYC 3672-524-1                                                                                           |Star                                |01 06 38.8097679264 +54 46 35.290843824|125.1455690845783 -08.0298950255390|    0.712 2.321    |10.23    |~                   |    ~     ~    |    1|  657.203   pc  |  -6.5651     +6.5651  |paral   |2020yCat.1350....0G
768 |TYC 3673-26-1                                                                                            |Star                                |01 07 14.1880029744 +54 23 25.778564160|125.2554273532146 -08.4099641248042|  -0.422 -2.006    |10.83    |~                   |    ~     ~    |    1|  314.199   pc  |  -1.6091     +1.6091  |paral   |2020yCat.1350....0G
769 |GSC 03673-00194                                                                                          |Star                                |01 07 26.2250039088 +54 55 12.969477552|125.2513281566732 -07.8794105324519|   -2.981 1.672    |10.50    |~                   |    ~     ~    |    1|  950.119   pc  | -17.7837    +17.7837  |paral   |2020yCat.1350....0G
770 |TYC 3673-333-1                                                                                           |Star                                |01 10 11.8266522864 +54 41 25.948321692|125.6677665808893 -08.0815263551992|   14.126 0.663    |10.23    |~                   |    ~     ~    |    1|  169.039   pc  |  -0.4229     +0.4229  |paral   |2020yCat.1350....0G
771 |BD+53 252                                                                                                |Double or Multiple Star             |01 12 17.1460452432 +54 38 47.193579708|125.9753097178453 -08.1020648386570|    0.256 6.804    |9.39     |~                   |    ~     ~    |    1|  443.302   pc  |  -3.3997     +3.3997  |paral   |2020yCat.1350....0G
772 |TYC 3673-366-1                                                                                           |High Proper Motion Star             |01 11 40.8234233928 +54 25 37.770660804|125.9047162964543 -08.3277057908223| 44.421 -24.093    |10.15    |~                   |    ~     ~    |    1|  146.310   pc  |  -0.9055     +0.9055  |paral   |2020yCat.1350....0G
773 |TYC 3673-399-1                                                                                           |Star                                |01 13 18.5399513856 +54 39 58.045733964|126.1225885326566 -08.0700731677922|  14.635 -2.714    |10.60    |~                   |    ~     ~    |    1|  815.461   pc  | -12.0361    +12.0361  |paral   |2020yCat.1350....0G
774 |TYC 3673-576-1                                                                                           |High Proper Motion Star             |01 10 29.9618315736 +54 44 55.427597916|125.7073699472193 -08.0202643843775|-48.680 -20.994    |10.60    |~                   |    ~     ~    |    1|  291.172   pc  |  -1.3226     +1.3226  |paral   |2020yCat.1350....0G
775 |TYC 3673-585-1                                                                                           |Star                                |01 11 44.8780720488 +54 32 30.096943512|125.9054055192509 -08.2127530169175|    3.910 5.073    |10.60    |~                   |    ~     ~    |    1|  628.378   pc  | -15.1231    +15.1231  |paral   |2020yCat.1350....0G
776 |TYC 3673-750-1                                                                                           |Star                                |01 12 48.6892717992 +54 37 30.874667988|126.0536535736141 -08.1169018373584|    0.031 3.077    |10.62    |~                   |    ~     ~    |    1| 1094.331   pc  | -18.5622    +18.5622  |paral   |2020yCat.1350....0G
777 |TYC 3673-780-1                                                                                           |Star                                |01 12 02.3019801096 +54 40 20.177427072|125.9371750771014 -08.0792254466130|   1.802 -3.449    |10.49    |~                   |    ~     ~    |    1| 1151.278   pc  | -24.3881    +24.3881  |paral   |2020yCat.1350....0G
778 |TYC 3673-904-1                                                                                           |Spectroscopic Binary                |01 14 39.6192904032 +54 39 30.874872024|126.3198417954685 -08.0603397580006|  11.218 -2.037    |9.95     |~                   |    ~     ~    |    1|  435.066   pc  |  -4.0507     +4.0507  |paral   |2020yCat.1350....0G
