C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:21:03

dec >=0&rah >=1.0&rah< 1.25&(cat='NGC'|Vmag< 11)
------------------------------------------------

Number of objects : 4690

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm         |  Mag V  |     spec. type     |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|-------------------|---------|--------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+44 244                                                                                                |Star                                |01 08 16.9283546928 +44 49 05.069663328|126.0706269464020 -17.9509946891598|  37.236 14.605    |8.73     |G5                  |    ~     ~    |    1|  151.051   pc  |  -0.6092     +0.6092  |paral   |2020yCat.1350....0G
23  |BD+44 250                                                                                                |Double or Multiple Star             |01 09 23.3133 +44 53 41.167            |126.2704499 -17.8605865            |   -29.40 -3.40    |9.30     |F8                  |    ~     ~    |    0|                |                       |        |                   
24  |BD+44 251                                                                                                |Double or Multiple Star             |01 09 56.5214 +45 25 52.452            |126.3307705 -17.3183599            |  20.878 -3.335    |9.62     |K0                  |    ~     ~    |    0|                |                       |        |                   
25  |HD 6873                                                                                                  |High Proper Motion Star             |01 09 57.3025171200 +45 44 50.090509356|126.3082927248168 -17.0030716193784| 56.279 -24.664    |8.43     |F8                  |    ~     ~    |    1|  130.993   pc  |  -0.4204     +0.4204  |paral   |2020yCat.1350....0G
26  |HD 6919                                                                                                  |High Proper Motion Star             |01 10 22.3675466472 +45 39 08.574148152|126.3919042792837 -17.0921212588972|  49.780 90.922    |8.82     |K0                  |    ~     ~    |    1|   52.060   pc  |  -0.0518     +0.0518  |paral   |2020yCat.1350....0G
27  |HD 5789                                                                                                  |Star                                |01 00 03.5576514672 +44 42 47.691064620|124.5434549867411 -18.1315217866703| 12.671 -23.581    |6.05     |B9.5Vnn_lB          |    ~     ~    |    1|  148.602   pc  |  -1.0114     +1.0114  |paral   |2020yCat.1350....0G
28  |HD 5788                                                                                                  |Star                                |01 00 03.3828486168 +44 42 40.049003880|124.5429893383352 -18.1336614917803| 11.521 -24.209    |6.763    |A2Vn                |    ~     ~    |    1|  147.495   pc  |  -0.6526     +0.6526  |paral   |2020yCat.1350....0G
29  |BD+43 200                                                                                                |Star                                |01 01 54.1461654168 +44 31 39.008624916|124.8961027816107 -18.3043323818254|  -5.659 -0.897    |9.45     |A2                  |    ~     ~    |    1|  515.305   pc  |  -5.4701     +5.4701  |paral   |2020yCat.1350....0G
30  |BD+43 210                                                                                                |High Proper Motion Star             |01 04 06.9372037872 +44 20 32.498696976|125.3212050066858 -18.4705649744300| 37.122 -56.475    |9.26     |G0                  |    ~     ~    |    1|  148.628   pc  |  -0.3269     +0.3269  |paral   |2020yCat.1350....0G
31  |BD+43 213                                                                                                |Star                                |01 04 26.8496169312 +44 29 01.340836332|125.3757512223156 -18.3263016400801|-18.092 -11.926    |8.73     |F8                  |    ~     ~    |    1|  250.419   pc  |  -1.0849     +1.0849  |paral   |2020yCat.1350....0G
32  |BD+43 218                                                                                                |Star                                |01 05 15.5796104544 +44 35 23.326420632|125.5218058922445 -18.2124186763978|  -5.999 -1.657    |9.29     |F2                  |    ~     ~    |    1|  363.769   pc  |  -2.4613     +2.4613  |paral   |2020yCat.1350....0G
33  |HD 6584                                                                                                  |Star                                |01 07 14.9753290416 +44 36 59.968377648|125.8922404433418 -18.1641863794037|  6.796 -12.315    |7.47     |K0                  |    ~     ~    |    1|  381.956   pc  |  -2.9178     +2.9178  |paral   |2020yCat.1350....0G
34  |IRC +50024                                                                                               |Long-Period Variable                |01 03 12.7390243488 +45 52 06.356649468|125.0742669369653 -16.9543316294263|   21.441 0.409    |10.13    |M7                  |    ~     ~    |    1| 1217.14    pc  | -61.1828    +61.1828  |paral   |2020yCat.1350....0G
35  |V* EI And                                                                                                |Long-Period Variable                |01 07 26.3636846856 +45 36 33.922188540|125.8598196736463 -17.1713373224276| 30.102 -11.018    |9.78     |M4                  |    ~     ~    |    1|  435.806   pc  | -10.332     +10.332   |paral   |2020yCat.1350....0G
36  |BD+45 290                                                                                                |Star                                |01 11 08.7591206448 +46 14 23.914707072|126.4838223578764 -16.4958089203887|   5.280 -1.088    |10.03    |G                   |    ~     ~    |    1|  714.235   pc  |  -9.5395     +9.5395  |paral   |2020yCat.1350....0G
37  |HD 7011                                                                                                  |Star                                |01 11 10.5779250072 +46 11 01.865119092|126.4939462088567 -16.5513364108978| -6.586 -25.763    |6.600    |K5                  |    ~     ~    |    1|  376.464   pc  |  -3.8266     +3.8266  |paral   |2020yCat.1350....0G
38  |BD+45 293                                                                                                |High Proper Motion Star             |01 11 25.4245946832 +46 08 15.344656944|126.5423848502937 -16.5939986790617| -61.676 42.145    |9.36     |G0                  |    ~     ~    |    1|  106.375   pc  |  -0.1890     +0.1890  |paral   |2020yCat.1350....0G
39  |HD 7073                                                                                                  |Star                                |01 11 46.8736401672 +45 56 33.984108240|126.6235391690380 -16.7831057023442|  -7.522 -1.283    |8.46     |K2                  |    ~     ~    |    1|  665.425   pc  | -11.8225    +11.8225  |paral   |2020yCat.1350....0G
40  |BD+45 297                                                                                                |Star                                |01 12 52.1191322736 +46 10 45.106243068|126.7988719159878 -16.5315812096877|  -10.602 0.357    |9.41     |A0                  |    ~     ~    |    1|  357.756   pc  |  -5.9003     +5.9003  |paral   |2020yCat.1350....0G
41  |HD 7253                                                                                                  |Star                                |01 13 34.2866427120 +46 15 03.528056916|126.9185749809643 -16.4493678495774| 33.848 -23.607    |9.40     |G5                  |    ~     ~    |    1|   85.204   pc  |  -0.1074     +0.1074  |paral   |2020yCat.1350....0G
42  |BD+43 215                                                                                                |Star                                |01 05 00.5900469168 +44 13 19.227343368|125.4965718332348 -18.5821459182566|   6.079 -3.864    |10.37    |G5                  |    ~     ~    |    1|  743.550   pc  | -11.8866    +11.8866  |paral   |2020yCat.1350....0G
43  |BD+43 219                                                                                                |Star                                |01 05 35.7563548968 +44 12 04.854225708|125.6084370538062 -18.5968093859656|  11.097 -4.952    |9.68     |F0                  |    ~     ~    |    1|  625.782   pc  |  -7.4796     +7.4796  |paral   |2020yCat.1350....0G
44  |BD+43 232                                                                                                |Star                                |01 07 47.0125806216 +44 14 31.168215564|126.0184009823122 -18.5317769807920|   6.034 -3.711    |9.06     |A5                  |    ~     ~    |    1|  242.207   pc  |  -1.0501     +1.0501  |paral   |2020yCat.1350....0G
45  |IRAS 01064+4451                                                                                          |Star                                |01 09 18.1408473048 +45 07 57.898609428|126.2362708436461 -17.6243506574152|  -1.936 -3.398    |10.72    |~                   |    ~     ~    |    1| 1239.311   pc  | -43.4657    +43.4657  |paral   |2020yCat.1350....0G
46  |BD+45 261                                                                                                |Star                                |01 02 50.9297734656 +46 31 41.960884332|124.9763534898629 -16.2981236948289|  -7.440 -5.599    |8.96     |A5                  |    ~     ~    |    1|  279.752   pc  | -10.2287    +10.2287  |paral   |2020yCat.1350....0G
47  |BD+45 268                                                                                                |Star                                |01 03 21.6080135856 +46 32 49.701498936|125.0669311778841 -16.2751794819241|   25.924 7.021    |8.87     |M0                  |    ~     ~    |    1|  608.680   pc  |  -8.7806     +8.7806  |paral   |2020yCat.1350....0G
48  |BD+45 252                                                                                                |Star                                |01 00 48.2003117400 +46 10 01.255012212|124.6243998748514 -16.6739533711603|   1.479 -4.790    |9.23     |A5                  |    ~     ~    |    1|  601.649   pc  |  -4.6696     +4.6696  |paral   |2020yCat.1350....0G
49  |BD+45 253                                                                                                |Star                                |01 01 18.7521406440 +46 14 50.971653636|124.7130006923046 -16.5901039192259|  -4.173 -4.305    |9.30     |A0                  |    ~     ~    |    1|  714.286   pc  | -20.4082    +20.4082  |paral   |2020yCat.1350....0G
