C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:58

dec< 0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2350

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
513 |HD 8281                                                                                                  |Double or Multiple Star             |01 21 46.63266 -24 07 40.6462          |190.91959624 -82.53422410          |    72.08 23.90   |9.31     |G1V               |    ~     ~    |    0|                |                       |        |                   
514 |CD-24 596                                                                                                |Star                                |01 23 25.1925584136 -23 59 11.329802052|191.1601656418587 -82.1347145340358| 40.982 -10.448   |10.33    |~                 |    ~     ~    |    1|  140.029   pc  |  -0.3412     +0.3412  |paral   |2020yCat.1350....0G
515 |HD 8514                                                                                                  |Star                                |01 23 47.2608130800 -24 03 31.886068212|191.8960745260211 -82.0889740989034|-19.849 -11.651   |8.69     |G8/K0III          |    ~     ~    |    1|  402.658   pc  |  -3.1940     +3.1940  |paral   |2020yCat.1350....0G
516 |HD 8830                                                                                                  |High Proper Motion Star             |01 26 37.1659577736 -24 16 59.806785504|195.1330868121260 -81.5825614431499|-111.174 -25.868  |10.12    |K1/2(IV/V)        |    ~     ~    |    1|   46.917   pc  |  -0.0328     +0.0328  |paral   |2020yCat.1350....0G
517 |HD 8932                                                                                                  |Star                                |01 27 38.4490328616 -24 00 56.574554508|194.0622622396043 -81.2657167553715|   12.156 5.195   |9.06     |A2V               |    ~     ~    |    1|  279.603   pc  |  -1.9857     +1.9857  |paral   |2020yCat.1350....0G
518 |CD-24 626                                                                                                |High Proper Motion Star             |01 27 53.4920129880 -23 57 14.416475364|193.8357213357032 -81.1889445908630|   59.721 8.056   |10.36    |~                 |    ~     ~    |    1|  147.091   pc  |  -1.2410     +1.2410  |ST-L    |2020AJ....160...83S
519 |HD 9039                                                                                                  |Star                                |01 28 37.1514614280 -24 11 44.664587844|195.6997227780069 -81.1262455094505|   47.328 8.202   |10.11    |F3/5V             |    ~     ~    |    1|  214.519   pc  |  -0.8099     +0.8099  |paral   |2020yCat.1350....0G
520 |HD 9051                                                                                                  |High Proper Motion Star             |01 28 46.5026384544 -24 20 25.442103012|196.6591401690779 -81.1444113688465| 53.584 -17.122   |8.92     |G6/8IIIwF5        |    ~     ~    |    1|  502.361   pc  |  -4.8454     +4.8454  |paral   |2020yCat.1350....0G
521 |HD 9062                                                                                                  |Star                                |01 28 52.9294789512 -23 49 30.072889056|193.6462116346029 -80.9300154659722|  34.180 -8.451   |8.27     |K1/2III           |    ~     ~    |    1|  379.896   pc  |  -4.0121     +4.0121  |paral   |2020yCat.1350....0G
522 |CD-25 545                                                                                                |Star                                |01 22 09.8085791616 -24 21 58.009588884|192.8712759900514 -82.5522066871439|  10.864 -6.050   |10.056   |~                 |    ~     ~    |    1| 1173.770   pc  | -75.7200    +75.7200  |ST-L    |2020AJ....160...83S
523 |CD-25 546                                                                                                |Star                                |01 22 13.1487074208 -24 44 54.049322148|195.6664360283396 -82.6838175187759| 24.186 -13.963   |10.41    |~                 |    ~     ~    |    1| 1007.354   pc  | -19.4834    +19.4834  |paral   |2020yCat.1350....0G
524 |CD-25 551                                                                                                |Spectroscopic Binary                |01 23 07.8500932680 -24 59 53.092500108|198.0393608728663 -82.5722766330266|  1.456 -15.953   |10.71    |~                 |    ~     ~    |    1|  353.357   pc  |  -9.4645     +9.4645  |paral   |2020yCat.1350....0G
525 |HD 8472                                                                                                  |Star                                |01 23 24.7278871920 -25 05 05.056045728|198.8274139674649 -82.5384640602660|   8.459 -0.258   |10.27    |B8IV/V            |    ~     ~    |    1| 1022.077   pc  | -43.2481    +43.2481  |paral   |2020yCat.1350....0G
526 |HD 8487                                                                                                  |Double or Multiple Star             |01 23 34.93180 -24 21 09.9523          |193.73494165 -82.24965732          |    -19.51 4.20   |6.65     |A9V               |    ~     ~    |    0|                |                       |        |                   
527 |CD-25 559                                                                                                |Star                                |01 24 08.2728383136 -24 50 33.598082904|197.4772640645414 -82.3061638934734|  22.367 -7.537   |10.543   |~                 |    ~     ~    |    1|  278.434   pc  |  -4.8180     +4.8180  |ST-L    |2020AJ....160...83S
528 |HD 8603                                                                                                  |Double or Multiple Star             |01 24 32.1549053 -25 19 10.934375      |201.0932241611 -82.3617606454      |     18.85 3.30   |8.83     |A4IV              |0.0033  0.0    |    0|                |                       |        |                   
529 |HD 8636                                                                                                  |Star                                |01 24 51.2333045784 -24 31 45.585518556|195.7211622546044 -82.0463426905981|  23.177 19.905   |10.00    |F3/5IV/V          |    ~     ~    |    1|  186.860   pc  |  -0.6564     +0.6564  |paral   |2020yCat.1350....0G
530 |HD 8650                                                                                                  |Star                                |01 24 54.5224212912 -24 39 44.758297152|196.6562007981393 -82.0810523545933| -0.591 -30.557   |9.73     |G8/K0(III)        |    ~     ~    |    1|  452.448   pc  |  -3.2139     +3.2139  |paral   |2020yCat.1350....0G
531 |HD 8649                                                                                                  |Star                                |01 24 59.8178945472 -24 30 19.474873668|195.6437732593511 -82.0074064298689|  23.128 19.809   |10.288   |F6/7IV/V          |    ~     ~    |    1|  174.396   pc  |  -6.3810     +6.3810  |ST-L    |2020AJ....160...83S
532 |HD 8695                                                                                                  |Star                                |01 25 22.0388361792 -24 26 34.852485912|195.4441195978032 -81.9063425207580|  1.424 -24.670   |10.36    |F8/G0V            |    ~     ~    |    1|  320.020   pc  |  -1.5874     +1.5874  |paral   |2020yCat.1350....0G
533 |HD 8715                                                                                                  |High Proper Motion Star             |01 25 30.0864993408 -24 43 10.792740504|197.3707182671688 -81.9734373236001|-3.427 -108.234   |8.07     |F5V               |    ~     ~    |    1|   90.840   pc  |  -0.1840     +0.1840  |paral   |2020yCat.1350....0G
534 |CD-25 570                                                                                                |Star                                |01 25 38.2534250712 -24 41 31.121205396|197.2572812559222 -81.9350948679513|  9.607 -28.990   |10.18    |~                 |    ~     ~    |    1|  235.693   pc  |  -1.1944     +1.1944  |paral   |2020yCat.1350....0G
535 |HD 8805                                                                                                  |Star                                |01 26 28.8645904296 -24 31 24.352772052|196.5990824417072 -81.6976265205760|-14.269 -37.784   |9.40     |F7/8V             |    ~     ~    |    1|  150.121   pc  |  -0.3921     +0.3921  |paral   |2020yCat.1350....0G
536 |HD 8831                                                                                                  |Star                                |01 26 40.2315062688 -25 09 00.285231240|200.8573636891480 -81.8511266744689|   25.733 9.333   |9.93     |A9V               |    ~     ~    |    1|  267.781   pc  |  -1.2620     +1.2620  |paral   |2020yCat.1350....0G
537 |HD 8897                                                                                                  |High Proper Motion Star             |01 27 18.3950904960 -24 50 32.686582416|199.0994237317245 -81.6239172829947|24.789 -101.744   |9.36     |G8IIICNIV/V       |    ~     ~    |    1|  478.881   pc  |  -3.7151     +3.7151  |paral   |2020yCat.1350....0G
538 |HD 8933                                                                                                  |Double or Multiple Star             |01 27 36.1383 -25 19 57.609            |202.4751286 -81.6956961            |     52.5 -10.0   |8.64     |F3V               |    ~     ~    |    0|                |                       |        |                   
539 |HD 9000                                                                                                  |High Proper Motion Star             |01 28 14.1961820256 -25 08 29.497966908|201.4650386542099 -81.5076833904317| 23.699 -73.194   |9.97     |G3V               |    ~     ~    |    1|  193.859   pc  |  -0.5825     +0.5825  |paral   |2020yCat.1350....0G
540 |HD 9063                                                                                                  |Star                                |01 28 47.8983539880 -24 47 52.526724108|199.5047104817578 -81.2878735828055|  -7.685 -3.022   |7.037    |A8V               |    ~     ~    |    1|  108.931   pc  |  -0.3548     +0.3548  |paral   |2020yCat.1350....0G
541 |HD 9075                                                                                                  |Star                                |01 28 53.0100068952 -25 07 52.236771132|201.6602031109803 -81.3638151852499|   14.248 6.899   |9.56     |G8(III)           |    ~     ~    |    1|  553.557   pc  |  -4.6577     +4.6577  |paral   |2020yCat.1350....0G
542 |HD 9119                                                                                                  |Star                                |01 29 26.1243161424 -25 09 06.577671096|202.0094896259158 -81.2487484551372|   3.720 10.677   |9.32     |K3/4(III)         |    ~     ~    |    1|  981.451   pc  | -17.9164    +17.9164  |paral   |2020yCat.1350....0G
543 |CD-26 450                                                                                                |Spectroscopic Binary                |01 22 43.3149502896 -25 25 12.657557172|200.9979331140920 -82.7834844334519|  10.873 -1.225   |9.68     |~                 |    ~     ~    |    1| 1365.747   pc  | -32.6421    +32.6421  |paral   |2020yCat.1350....0G
544 |HD 9151                                                                                                  |Star                                |01 29 42.8167606896 -25 37 03.920263428|205.0919428771425 -81.2973110206076|  38.895 14.619   |6.37     |K1III             |    ~     ~    |    1|  206.492   pc  |  -1.1385     +1.1385  |paral   |2020yCat.1350....0G
545 |CD-26 442                                                                                                |Star                                |01 21 28.0358528328 -26 00 31.752620928|205.1611422293194 -83.1938956977250|   -4.112 3.597   |10.38    |A7                |    ~     ~    |    1|  895.817   pc  | -51.7600    +51.7600  |ST-L    |2020AJ....160...83S
546 |HD 8515                                                                                                  |Star                                |01 23 42.3219471792 -26 11 31.052993676|207.3565096700776 -82.7315573638054| 24.754 -21.422   |9.20     |G6V               |    ~     ~    |    1|  159.064   pc  |  -1.3590     +1.3590  |ST-L    |2020AJ....160...83S
547 |HD 8637                                                                                                  |High Proper Motion Star             |01 24 49.3811170776 -26 15 39.059851572|208.1858989326370 -82.4944857680109|  51.529 -9.416   |9.76     |G6/8V             |    ~     ~    |    1|  241.984   pc  |  -0.9076     +0.9076  |paral   |2020yCat.1350....0G
548 |HD 8912                                                                                                  |High Proper Motion Star             |01 27 27.2127521904 -25 56 12.859898604|206.5511244677620 -81.8586512976185|-27.252 -140.856  |9.15     |K0V               |    ~     ~    |    1|   45.034   pc  |  -0.0335     +0.0335  |paral   |2020yCat.1350....0G
549 |HD 9052                                                                                                  |High Proper Motion Star             |01 28 44.2155313128 -25 45 26.163107028|205.7073044666750 -81.5411415828724| 51.391 -14.500   |8.94     |K1IV              |    ~     ~    |    1|  450.572   pc  |  -3.9588     +3.9588  |paral   |2020yCat.1350....0G
550 |CD-27 469                                                                                                |Spectroscopic Binary                |01 24 01.4103989376 -26 20 46.742301672|208.6428466296971 -82.6840587177952|  16.520 -6.032   |10.35    |~                 |    ~     ~    |    1|  384.317   pc  | -48.1200    +48.1200  |ST-L    |2020AJ....160...83S
551 |CD-25 584                                                                                                |High Proper Motion Star             |01 27 35.4606822696 -24 56 38.085923724|199.8952251750245 -81.5926999085245| 219.534 -3.149   |10.40    |~                 |    ~     ~    |    1|   69.899   pc  |  -0.0811     +0.0811  |paral   |2020yCat.1350....0G
552 |CD-24 591                                                                                                |Star                                |01 22 24.5335288728 -24 07 12.416930112|191.3322704987247 -82.4004033698945| -31.288 32.639   |10.43    |~                 |    ~     ~    |    1|  218.570   pc  |  -2.7730     +2.7730  |ST-L    |2020AJ....160...83S
553 |CD-25 550                                                                                                |Star                                |01 22 43.2804994920 -24 58 17.968470672|197.6147786905391 -82.6518263894744|  10.053 -3.988   |10.430   |~                 |    ~     ~    |    1|  924.618   pc  | -45.4600    +45.4600  |ST-L    |2020AJ....160...83S
554 |CD-26 461                                                                                                |High Proper Motion Star             |01 23 52.3609968528 -25 24 14.652218520|201.4112974811980 -82.5285458273701|  -57.431 4.496   |10.507   |~                 |    ~     ~    |    1|  190.926   pc  |  -2.4430     +2.4430  |ST-L    |2020AJ....160...83S
555 |CD-25 589                                                                                                |High Proper Motion Star             |01 28 05.1266534976 -25 11 11.327278920|201.6975930824274 -81.5525983872518|-50.818 -31.724   |10.037   |~                 |    ~     ~    |    1|  175.732   pc  |  -1.8160     +1.8160  |ST-L    |2020AJ....160...83S
556 |CD-25 611                                                                                                |High Proper Motion Star             |01 29 41.4723236688 -25 06 48.875659200|201.8671770721089 -81.1828493279737|  65.691 -8.358   |10.47    |~                 |    ~     ~    |    1|  301.768   pc  |  -2.0216     +2.0216  |paral   |2020yCat.1350....0G
557 |CD-24 613                                                                                                |Spectroscopic Binary                |01 26 26.9666276736 -24 21 03.264950628|195.4675494720789 -81.6433341656658|   7.014 -0.482   |10.38    |~                 |    ~     ~    |    1| 2030.869   pc  |-105.5854   +105.5854  |paral   |2020yCat.1350....0G
558 |TYC 6425-588-1                                                                                           |Star                                |01 19 09.1235349048 -25 12 55.889144856|197.3839754516203 -83.4954619612962|   1.375 -2.280   |10.893   |~                 |    ~     ~    |    1| 1071.830   pc  | -53.0100    +53.0100  |ST-L    |2020AJ....160...83S
559 |TYC 6425-951-1                                                                                           |High Proper Motion Star             |01 19 38.8931278464 -23 59 12.081728544|188.2085258209167 -82.9060422830446| 141.923 33.500   |10.85    |~                 |    ~     ~    |    1|   71.508   pc  |  -0.4960     +0.4960  |paral   |2020yCat.1350....0G
560 |TYC 6425-1890-1                                                                                          |Star                                |01 21 25.7023117800 -26 06 43.962089364|206.0064007753813 -83.2216942981679| -2.745 -12.090   |10.969   |~                 |    ~     ~    |    1| 1119.310   pc  | -46.8500    +46.8500  |ST-L    |2020AJ....160...83S
561 |TYC 6426-1660-1                                                                                          |Star                                |01 27 34.1565154296 -23 57 10.243430244|193.6393243894098 -81.2562051113235| 17.261 -16.310   |10.942   |~                 |    ~     ~    |    1|  405.546   pc  | -10.0300    +10.0300  |ST-L    |2020AJ....160...83S
562 |TYC 6426-2226-1                                                                                          |Star                                |01 24 21.6100341072 -25 17 46.866519996|200.8430612474422 -82.3937288763337| -10.894 -3.192   |10.975   |~                 |    ~     ~    |    1|  509.409   pc  | -14.6700    +14.6700  |ST-L    |2020AJ....160...83S
563 |CD-26 466                                                                                                |High Proper Motion Star             |01 24 47.6066605912 -26 15 20.365996822|208.1390431087914 -82.5002736229641|-82.248 -376.823  |10.29    |~                 |    ~     ~    |    1|   34.9588  pc  |  -0.0234     +0.0234  |paral   |2020yCat.1350....0G
564 |HD 7567                                                                                                  |Star                                |01 15 27.2492142576 -23 57 09.595081728|183.8754576792052 -83.7219130712590|  -5.407 -4.555   |8.35     |G8IV              |    ~     ~    |    1|  359.324   pc  |  -3.0213     +3.0213  |paral   |2020yCat.1350....0G
565 |HD 7629                                                                                                  |Star                                |01 15 53.6918229480 -23 58 23.324117484|184.5106660003193 -83.6465906089987|  -27.676 1.365   |7.142    |A9IV              |    ~     ~    |    1|   99.419   pc  |  -0.2511     +0.2511  |paral   |2020yCat.1350....0G
566 |HD 7552                                                                                                  |Spectroscopic Binary                |01 15 21.7357069728 -21 43 45.946465356|169.4549611200380 -82.3343580193929|-39.959 -32.849   |8.03     |K0III             |    ~     ~    |    1|  216.633   pc  |  -4.5757     +4.5757  |paral   |2020yCat.1350....0G
567 |HD 7663                                                                                                  |Star                                |01 16 11.0567785440 -21 28 58.272433068|169.2107670701714 -82.0241937492096|   18.318 1.609   |9.11     |K2/3III           |    ~     ~    |    1|  449.742   pc  | -11.1800    +11.1800  |ST-L    |2020AJ....160...83S
568 |HD 7544                                                                                                  |Star                                |01 15 14.3837225976 -22 17 48.038200116|172.4206405528867 -82.7522022478253|   4.488 25.929   |8.10     |G8III/IV          |    ~     ~    |    1|  176.236   pc  |  -2.7363     +2.7363  |paral   |2020yCat.1350....0G
569 |HD 7739                                                                                                  |Star                                |01 16 47.2344355872 -21 48 40.986141480|171.6174169007809 -82.1580858116448|   8.938 15.329   |8.87     |F2V               |    ~     ~    |    1|  238.533   pc  |  -3.8890     +3.8890  |ST-L    |2020AJ....160...83S
570 |CD-22 451                                                                                                |Star                                |01 18 41.7312318792 -22 16 24.057275484|176.2959936265451 -82.1354005369116|  40.022 -8.877   |10.483   |~                 |    ~     ~    |    1|  341.896   pc  |  -6.2800     +6.2800  |ST-L    |2020AJ....160...83S
571 |HD 7530                                                                                                  |Star                                |01 15 08.0361975384 -22 53 58.092798444|175.9889958911564 -83.1680358741633|   49.143 3.115   |8.31     |G8IV              |    ~     ~    |    1|  155.531   pc  |  -0.5467     +0.5467  |paral   |2020yCat.1350....0G
572 |HIP 5858                                                                                                 |High Proper Motion Star             |01 15 08.7192170208 -22 54 09.727175268|176.0239771418553 -83.1680638937130|   50.100 3.462   |10.53    |~                 |    ~     ~    |    1|  155.477   pc  |  -0.4158     +0.4158  |paral   |2020yCat.1350....0G
573 |HD 7553                                                                                                  |Star                                |01 15 21.2502640080 -22 55 16.554978192|176.3998872377718 -83.1425589117779|  23.304 -0.275   |9.56     |A9V               |    ~     ~    |    1|  222.301   pc  |  -1.0081     +1.0081  |paral   |2020yCat.1350....0G
574 |HD 7628                                                                                                  |Star                                |01 15 55.7883353040 -23 18 54.048729672|179.7249750884031 -83.2769149180959|  23.629 -0.582   |8.03     |K4III             |    ~     ~    |    1|  375.562   pc  |  -8.3210     +8.3210  |ST-L    |2020AJ....160...83S
575 |CD-23 470                                                                                                |Star                                |01 16 57.0410351616 -22 26 40.388567064|175.3404838793106 -82.5547639460906|  30.472 -7.515   |10.371   |~                 |    ~     ~    |    1|  255.494   pc  |  -3.8030     +3.8030  |ST-L    |2020AJ....160...83S
576 |CD-23 475                                                                                                |Star                                |01 18 22.3260530208 -23 09 27.429456168|181.3198459373043 -82.7275040532019| 13.700 -27.571   |10.176   |~                 |    ~     ~    |    1|  264.445   pc  |  -4.5200     +4.5200  |ST-L    |2020AJ....160...83S
577 |HD 7908                                                                                                  |Star                                |01 18 25.3734538512 -23 00 47.600538120|180.4428202218896 -82.6352763218057| -4.022 -38.041   |7.302    |F0VmA3_lB         |    ~     ~    |    1|   82.173   pc  |  -0.3969     +0.3969  |ST-L    |2020AJ....160...83S
578 |HD 7930                                                                                                  |High Proper Motion Star             |01 18 40.4219862360 -22 49 15.548188908|179.5008404185120 -82.4759119792680|  49.945 20.057   |8.74     |G3V               |    ~     ~    |    1|  165.758   pc  |  -0.5742     +0.5742  |paral   |2020yCat.1350....0G
579 |CD-23 478B                                                                                               |High Proper Motion Star             |01 18 41.0336136624 -22 49 11.099283960|179.5038572036361 -82.4732873321456|  53.644 22.112   |10.49    |~                 |    ~     ~    |    1|  165.961   pc  |  -2.6000     +2.6000  |ST-L    |2020AJ....160...83S
580 |HD 7896                                                                                                  |High Proper Motion Star             |01 18 19.0035060120 -23 29 59.452719936|183.5529746061131 -82.9263834481014| 49.772 -99.583   |7.92     |G6/8IV            |    ~     ~    |    1|   92.733   pc  |  -0.1909     +0.1909  |paral   |2020yCat.1350....0G
581 |CD-24 564                                                                                                |Rotating Variable                   |01 18 24.8139362688 -23 24 17.053147440|183.0015369568270 -82.8565063206859|  43.422 -9.860   |9.631    |G7III             |    ~     ~    |    1|  340.842   pc  |  -6.7370     +6.7370  |ST-L    |2020AJ....160...83S
582 |HD 7652                                                                                                  |Star                                |01 16 08.8790057448 -23 54 43.272454392|184.3098721666392 -83.5654661015689|  1.001 -11.466   |10.00    |A1IV/V            |    ~     ~    |    1|  525.397   pc  | -20.4200    +20.4200  |ST-L    |2020AJ....160...83S
583 |HD 7875                                                                                                  |Star                                |01 18 04.5808873512 -23 44 31.580665476|185.0141358101051 -83.0999818799083| -16.188 -3.721   |9.75     |A2(m)A7-A8        |    ~     ~    |    1|  341.970   pc  |  -7.9610     +7.9610  |ST-L    |2020AJ....160...83S
584 |V* RT Cet                                                                                                |Long-Period Variable                |01 16 52.8412534728 -23 50 39.934227516|184.5646134346347 -83.3871773140107|  14.709 -9.668   |9.79     |M2                |    ~     ~    |    1| 1074.807   pc  | -42.7427    +42.7427  |paral   |2020yCat.1350....0G
585 |BD-22 226                                                                                                |High Proper Motion Star             |01 18 03.0884283936 -21 27 26.395507548|171.2670460360641 -81.7006471567645|-63.197 -28.204   |10.783   |~                 |    ~     ~    |    1|  171.142   pc  |  -1.7730     +1.7730  |ST-L    |2020AJ....160...83S
586 |CD-23 469                                                                                                |Star                                |01 16 55.9205284296 -22 27 37.688363172|175.4128154587034 -82.5683385502432|  17.673 29.894   |10.12    |~                 |    ~     ~    |    1|  255.525   pc  |  -5.0050     +5.0050  |ST-L    |2020AJ....160...83S
587 |CD-24 583                                                                                                |Star                                |01 21 08.2416325320 -23 50 16.407836844|188.4194220879620 -82.5355663388927|  -0.584 -0.895   |10.884   |~                 |    ~     ~    |    1| 1121.030   pc  | -70.1300    +70.1300  |ST-L    |2020AJ....160...83S
588 |HD 8661                                                                                                  |Star                                |01 25 02.4736773216 -23 40 54.571039500|190.3533313517440 -81.6684777854518| -5.012 -13.116   |9.97     |K1(III)           |    ~     ~    |    1|  603.792   pc  |  -6.7809     +6.7809  |paral   |2020yCat.1350....0G
589 |CD-24 594                                                                                                |High Proper Motion Star             |01 22 57.7495426152 -23 46 44.542624944|189.4623751543607 -82.1375709052151|  94.610 16.674   |10.591   |~                 |    ~     ~    |    1|  187.107   pc  |  -2.1850     +2.1850  |ST-L    |2020AJ....160...83S
590 |HD 8072                                                                                                  |Spectroscopic Binary                |01 19 48.0877559496 -21 27 14.494444236|173.1604497405603 -81.4032244256807|  29.545 -9.259   |9.31     |G0V               |    ~     ~    |    1|  188.133   pc  |  -0.6265     +0.6265  |paral   |2020yCat.1350....0G
591 |CD-22 457                                                                                                |High Proper Motion Star             |01 19 47.3285586048 -22 14 27.333050964|177.2637032485490 -81.9185468610341|108.869 -154.687  |10.14    |~                 |    ~     ~    |    1|  104.795   pc  |  -0.1856     +0.1856  |paral   |2020yCat.1350....0G
592 |HD 8203                                                                                                  |Star                                |01 21 06.3022609968 -22 08 02.136913440|177.9971898850599 -81.6131712469672| -6.717 -15.518   |9.61     |G8III/IV          |    ~     ~    |    1|  607.533   pc  |  -5.5365     +5.5365  |paral   |2020yCat.1350....0G
593 |CD-23 479                                                                                                |Star                                |01 18 46.6005440016 -22 27 57.765806280|177.4860509677750 -82.2418203855421|-25.134 -13.167   |10.831   |~                 |    ~     ~    |    1|  251.649   pc  |  -3.5940     +3.5940  |ST-L    |2020AJ....160...83S
594 |HD 8033                                                                                                  |Pulsating Variable                  |01 19 22.5918771072 -23 06 27.628521228|182.0081135297801 -82.5084168925273|   23.986 8.482   |9.264    |F0V               |    ~     ~    |    1|  176.961   pc  |  -1.7980     +1.7980  |ST-L    |2020AJ....160...83S
595 |NGC 478                            NGC 478                                                               |Emission-line galaxy                |01 20 08.8589817984 -22 22 38.857049004|178.3936206214828 -81.9374595802446|            ~ ~   |     ~   |~                 |0.440 0.264    |    0|                |                       |        |                   
596 |CD-23 485                                                                                                |High Proper Motion Star             |01 19 42.2197411704 -22 28 08.258196468|178.4666013274097 -82.0745617107961| 56.022 -60.238   |10.486   |~                 |    ~     ~    |    1|  178.631   pc  |  -1.7940     +1.7940  |ST-L    |2020AJ....160...83S
597 |CD-23 493                                                                                                |High Proper Motion Star             |01 20 08.7108606624 -23 03 11.819613348|182.4093967086930 -82.3311933902368|  79.663 27.669   |10.56    |~                 |    ~     ~    |    1|  203.116   pc  |  -0.6890     +0.6890  |paral   |2020yCat.1350....0G
598 |CD-23 484                                                                                                |Star                                |01 19 23.5549258248 -23 14 13.872795468|182.8561564885403 -82.5767750173156|  14.868 -4.636   |10.886   |~                 |    ~     ~    |    1| 3525.950   pc  |-594.1000   +594.1000  |ST-L    |2020AJ....160...83S
599 |BD-22 231                                                                                                |Spectroscopic Binary                |01 21 46.2996857088 -21 24 36.754130952|174.9524089332058 -81.0326561968361| -12.685 -6.537   |9.66     |K5                |    ~     ~    |    1|  611.471   pc  |  -7.0293     +7.0293  |paral   |2020yCat.1350....0G
600 |HD 8312                                                                                                  |Star                                |01 22 05.7781263000 -21 32 02.264594568|175.8715851540133 -81.0560088258781| -14.821 -3.034   |8.71     |K0III/IV          |    ~     ~    |    1|  360.516   pc  |  -2.9634     +2.9634  |paral   |2020yCat.1350....0G
601 |HD 8380                                                                                                  |Star                                |01 22 44.2381871448 -21 25 34.545633168|175.9608931986110 -80.8725986409622|  11.740 -3.825   |8.09     |Fm_dD             |    ~     ~    |    1|  251.674   pc  |  -1.6595     +1.6595  |paral   |2020yCat.1350....0G
602 |HD 8984                                                                                                  |Star                                |01 28 07.1711675712 -21 33 27.892554876|181.2023058931896 -79.9638648860893|  -4.044 -3.234   |9.03     |K0IIIp            |    ~     ~    |    1|  513.084   pc  |  -5.3967     +5.3967  |paral   |2020yCat.1350....0G
603 |* 48 Cet                                                                                                 |High Proper Motion Star             |01 29 36.1356921336 -21 37 45.609971844|182.6529434881481 -79.7220114258331|   56.469 4.134   |5.104    |A0V               |    ~     ~    |    1|   71.961   pc  |  -0.6835     +0.6835  |paral   |2020yCat.1350....0G
604 |HD 8303                                                                                                  |Red Giant Branch star Candidate     |01 21 59.2128473256 -21 56 17.508044724|177.8110057216454 -81.3315518854982|   2.044 -1.180   |9.55     |K2(III)           |    ~     ~    |    1|  729.607   pc  |  -9.4754     +9.4754  |paral   |2020yCat.1350....0G
605 |HD 8557                                                                                                  |Spectroscopic Binary                |01 24 12.0135680304 -21 56 30.657502752|179.8511611569870 -80.9259355134401|  101.193 5.980   |8.93     |G5V               |    ~     ~    |    1|   82.535   pc  |  -1.1800     +1.1800  |ST-L    |2020AJ....160...83S
606 |HD 8565                                                                                                  |Star                                |01 24 15.3579211992 -21 45 08.327447712|178.9460262213524 -80.8016878265822|  -0.941 -3.320   |8.68     |K0III             |    ~     ~    |    1|  377.509   pc  |  -6.6860     +6.6860  |ST-L    |2020AJ....160...83S
607 |BD-22 244                                                                                                |Star                                |01 24 53.4227217600 -22 01 08.341037112|180.8389452519032 -80.8419258817974|-30.963 -32.358   |9.83     |K2                |    ~     ~    |    1|  490.292   pc  |  -3.8943     +3.8943  |paral   |2020yCat.1350....0G
608 |HD 8896                                                                                                  |Double or Multiple Star             |01 27 23.3100806280 -22 20 17.635251840|184.4718109791643 -80.5398669034434| -1.299 -83.759   |6.41     |K0/1III           |0.0117  0.0    |    1|  127.021   pc  |  -0.4695     +0.4695  |paral   |2020yCat.1350....0G
609 |HD 8959                                                                                                  |Star                                |01 27 59.4439124880 -22 02 12.958525824|183.4055664692087 -80.2595048259826|    4.377 5.591   |6.56     |K0III             |    ~     ~    |    1|  165.706   pc  |  -0.7606     +0.7606  |paral   |2020yCat.1350....0G
610 |HD 8974                                                                                                  |High Proper Motion Star             |01 28 03.2078982552 -22 20 13.384112604|184.9584437450975 -80.4088694288243| -0.722 -55.218   |9.06     |G8IV              |    ~     ~    |    1|  169.397   pc  |  -0.5481     +0.5481  |paral   |2020yCat.1350....0G
611 |CD-23 496                                                                                                |Star                                |01 21 16.8606143520 -22 24 48.620971512|179.7067144929733 -81.7497704389452|  -0.905 -6.879   |10.84    |~                 |    ~     ~    |    1| 1082.485   pc  | -20.1545    +20.1545  |paral   |2020yCat.1350....0G
612 |CD-23 497                                                                                                |High Proper Motion Star             |01 21 32.9876197536 -22 54 28.568848932|182.8257700822473 -81.9813199810472| 48.385 -29.611   |10.60    |~                 |    ~     ~    |    1|  181.337   pc  |  -0.6018     +0.6018  |paral   |2020yCat.1350....0G
613 |HD 8280                                                                                                  |Spectroscopic Binary                |01 21 51.9226210920 -22 30 09.889325532|180.7583405451218 -81.6926389700629|  2.638 -38.301   |9.93     |G3V               |    ~     ~    |    1|  184.635   pc  |  -3.3476     +3.3476  |paral   |2020yCat.1350....0G
614 |CD-23 506                                                                                                |Star                                |01 22 45.9609233136 -23 15 18.085419756|185.9866517955195 -81.9263964001649|   16.535 1.404   |10.409   |~                 |    ~     ~    |    1|  865.842   pc  | -32.7900    +32.7900  |ST-L    |2020AJ....160...83S
