C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST05:22:58

dec< 0&rah >=1.25&rah< 1.5&(cat='NGC'|Vmag< 11)
-----------------------------------------------

Number of objects : 2350

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |CD-43 390                                                                                                |Star                                |01 19 21.1554180120 -42 21 35.467413732|284.2303012092467 -73.7397160082994|   26.871 4.143   |10.54    |~                 |    ~     ~    |    1|  285.980   pc  |  -4.6690     +4.6690  |ST-L    |2020AJ....160...83S
23  |HD 8283                                                                                                  |Double or Multiple Star             |01 21 29.3952179664 -40 58 17.278505940|280.7576554416165 -74.8369437435581|  15.189 10.406   |8.59     |F3V               |    ~     ~    |    1|   87.7686  pc  |  -0.8049     +0.8049  |paral   |2018yCat.1345....0G
24  |HD 8327                                                                                                  |Star                                |01 21 53.9351550552 -40 41 28.068926568|280.0050086980119 -75.0522459351753| -10.516 -0.494   |10.30    |A9V               |    ~     ~    |    1|  503.702   pc  |  -3.8565     +3.8565  |paral   |2020yCat.1350....0G
25  |HD 8361                                                                                                  |Spectroscopic Binary                |01 22 13.9832557176 -40 28 25.878227160|279.3942704730752 -75.2155923521277|  16.548 -6.397   |9.36     |K1(III)           |    ~     ~    |    1|  838.997   pc  | -14.4303    +14.4303  |paral   |2020yCat.1350....0G
26  |CD-41 357                                                                                                |High Proper Motion Star             |01 23 15.1186769112 -40 59 53.752894332|279.6784304629067 -74.6616888183597|  76.391 39.313   |10.86    |K0                |    ~     ~    |    1|   78.642   pc  |  -0.3062     +0.3062  |ST-L    |2020AJ....160...83S
27  |HD 8535                                                                                                  |High Proper Motion Star             |01 23 37.2358505880 -41 16 11.279497332|279.9204560359433 -74.3889633133101| 57.795 -69.879   |7.69     |G0V               |    ~     ~    |    1|   55.354   pc  |  -0.0555     +0.0555  |paral   |2020yCat.1350....0G
28  |HD 8534                                                                                                  |High Proper Motion Star             |01 23 40.7083419528 -40 57 21.794273352|279.3348193117284 -74.6612517939000| -8.949 -86.995   |7.23     |K0III             |    ~     ~    |    1|  202.041   pc  |  -0.6246     +0.6246  |paral   |2020yCat.1350....0G
29  |HD 8706                                                                                                  |Star                                |01 25 11.6133051960 -40 45 53.775658188|278.0363623560430 -74.6901399481569|   4.081 18.038   |10.56    |F2/5              |    ~     ~    |    1|  306.866   pc  |  -5.7150     +5.7150  |ST-L    |2020AJ....160...83S
30  |HD 8869                                                                                                  |Star                                |01 26 43.7762290872 -40 28 59.623200012|276.5392027723220 -74.7849828610174|   7.881 -6.781   |7.64     |K2III             |    ~     ~    |    1|  389.818   pc  |  -2.6897     +2.6897  |paral   |2020yCat.1350....0G
31  |HD 8900                                                                                                  |Star                                |01 27 00.8350088448 -40 56 48.866249112|277.2637726020068 -74.3598300133499|  -2.665 -0.792   |9.87     |F7V               |    ~     ~    |    1|  173.608   pc  |  -1.0248     +1.0248  |paral   |2020yCat.1350....0G
32  |HD 8925                                                                                                  |Star                                |01 27 13.3052148720 -41 14 54.707230428|277.7025601585335 -74.0800591882889|   35.346 6.997   |8.69     |F6V               |    ~     ~    |    1|   91.218   pc  |  -0.1040     +0.1040  |paral   |2020yCat.1350....0G
33  |HD 8952                                                                                                  |Spectroscopic Binary                |01 27 34.1095292415 -40 27 18.418468470|275.9667213651551 -74.7250995419123|  33.270 -2.419   |9.819    |F3V               |    ~     ~    |    1|  256.003   pc  |  -6.5144     +6.5144  |paral   |2020yCat.1350....0G
34  |HD 9103                                                                                                  |Star                                |01 28 57.5202645312 -40 38 50.903896092|275.5152226477877 -74.4212699900803|    5.521 1.174   |9.20     |G8III             |    ~     ~    |    1|  452.202   pc  |  -3.0060     +3.0060  |paral   |2020yCat.1350....0G
35  |HD 9120                                                                                                  |Star                                |01 29 10.5694625400 -40 21 43.796926368|274.8019372837771 -74.6378613547337|   18.088 1.496   |9.78     |G0V               |    ~     ~    |    1|  411.590   pc  |  -2.1515     +2.1515  |paral   |2020yCat.1350....0G
36  |HD 9142                                                                                                  |Star                                |01 29 15.8510631552 -40 51 08.143252884|275.7431844657731 -74.2175778752100| 22.519 -22.143   |8.38     |G8III/IV          |    ~     ~    |    1|  317.108   pc  |  -1.9408     +1.9408  |paral   |2020yCat.1350....0G
37  |HD 9192                                                                                                  |High Proper Motion Star             |01 29 46.2319550280 -40 50 45.839914584|275.4350939013547 -74.1710437842217| 184.261 50.717   |9.22     |G6V               |    ~     ~    |    1|  137.193   pc  |  -0.3802     +0.3802  |paral   |2020yCat.1350....0G
38  |HD 9193                                                                                                  |Star                                |01 29 49.3965419640 -41 11 17.369846808|276.0742636921855 -73.8774776781609|   3.902 23.336   |8.62     |F0V               |    ~     ~    |    1|  132.130   pc  |  -0.2549     +0.2549  |paral   |2020yCat.1350....0G
39  |CD-42 469                                                                                                |High Proper Motion Star             |01 21 34.5939907670 -41 39 23.050001874|281.8244942731241 -74.2137152324152|1239.647 -455.795 |10.130   |M0Vk:             |    ~     ~    |    1|   16.6952  pc  |  -0.0039     +0.0039  |paral   |2020yCat.1350....0G
40  |HD 8651                                                                                                  |Star                                |01 24 40.7865339576 -41 29 33.164287944|279.6555802602167 -74.0992777942277| 16.794 -35.533   |5.417    |K0III             |    ~     ~    |    1|   80.429   pc  |  -0.3377     +0.3377  |paral   |2020yCat.1350....0G
41  |HD 8888                                                                                                  |Spectroscopic Binary                |01 26 56.9659188408 -41 32 11.586121440|278.3834905584977 -73.8560000625125| -17.065 10.961   |10.304   |F2/5              |    ~     ~    |    1|  281.941   pc  |  -8.8590     +8.8590  |ST-L    |2020AJ....160...83S
42  |HD 9143                                                                                                  |Star                                |01 29 16.1984733888 -41 26 48.121209420|276.8794981948526 -73.7127338101533| 16.214 -41.558   |9.90     |F6V               |    ~     ~    |    1|  179.142   pc  |  -1.6650     +1.6650  |ST-L    |2020AJ....160...83S
43  |HD 8295                                                                                                  |Star                                |01 21 30.4683459264 -42 08 10.752635616|282.6029534639385 -73.7842433263307|  25.264 -3.728   |9.69     |A5/7III           |    ~     ~    |    1|  472.671   pc  | -13.3400    +13.3400  |ST-L    |2020AJ....160...83S
44  |HD 8536                                                                                                  |High Proper Motion Star             |01 23 39.9825985536 -41 48 13.833397188|280.7851320904636 -73.9098882935029|  52.981 29.029   |10.05    |G3V               |    ~     ~    |    1|  143.236   pc  |  -1.0620     +1.0620  |ST-L    |2020AJ....160...83S
45  |HD 8679                                                                                                  |Spectroscopic Binary                |01 24 49.6268942712 -41 48 19.688111928|280.0955832463469 -73.8096418152991| 95.715 -17.184   |9.980    |G2/3V             |    ~     ~    |    1|  138.595   pc  |  -1.4590     +1.4590  |ST-L    |2020AJ....160...83S
46  |V* VW Phe                                                                                                |Eclipsing Binary                    |01 25 33.6481782648 -41 48 34.557899364|279.6699102138832 -73.7420764947594|  0.256 -21.620   |10.65    |M0V               |    ~     ~    |    1|  426.089   pc  |  -9.4650     +9.4650  |ST-L    |2020AJ....160...83S
47  |HD 8901                                                                                                  |High Proper Motion Star             |01 26 58.0732773480 -41 44 50.691470532|278.7433170971577 -73.6706544544735| 50.704 -18.443   |6.66     |K3III             |    ~     ~    |    1|  209.547   pc  |  -0.8299     +0.8299  |paral   |2020yCat.1350....0G
48  |HD 9144                                                                                                  |Star                                |01 29 18.4194117672 -41 49 56.558031528|277.5620502199161 -73.3789351965741|  0.239 -10.133   |8.98     |K1III             |    ~     ~    |    1|  372.135   pc  |  -2.0496     +2.0496  |paral   |2020yCat.1350....0G
49  |HD 8500                                                                                                  |High Proper Motion Star             |01 23 18.2265015192 -42 24 47.236926420|281.9538284344154 -73.3926331151330| 129.144 42.751   |9.51     |G5V               |    ~     ~    |    1|   84.538   pc  |  -0.0900     +0.0900  |paral   |2020yCat.1350....0G
50  |HD 8640                                                                                                  |Star                                |01 24 32.7578738208 -42 25 32.589676848|281.2545429826258 -73.2807862884960|  6.627 -11.230   |9.22     |K0III             |    ~     ~    |    1|  500.375   pc  |  -3.5053     +3.5053  |paral   |2020yCat.1350....0G
