C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |BD+84 368                                                                                                                                   |Star                                |16 29 47.7521128080 +84 27 58.443572916|117.7124168996727 +30.2376368806252| -12.379 32.069   |10.30    |F5             |    ~     ~    |    1|  273.920   pc  |  -2.6261     +2.6261  |paral   |2020yCat.1350....0G
23  |HD 149378                                                                                                                                   |Star                                |16 15 19.3690244640 +83 47 54.816322128|117.3183381184907 +30.9210271679416| -10.255 29.143   |8.86     |F2             |    ~     ~    |    1|  262.343   pc  |  -0.8878     +0.8878  |paral   |2020yCat.1350....0G
24  |TYC 4651-961-1                                                                                                                              |Star                                |16 22 40.4840354832 +85 43 27.507396216|119.0128776266618 +29.6581197765976|  5.866 -21.782   |10.89    |~              |    ~     ~    |    1|  217.614   pc  |  -0.5493     +0.5493  |paral   |2020yCat.1350....0G
25  |BD+88 102                                                                                                                                   |Star                                |16 23 40.5253413048 +88 26 28.239705780|121.5201240539390 +28.0580108741596| -20.794 21.762   |9.46     |F8             |    ~     ~    |    1|  236.563   pc  |  -0.5652     +0.5652  |paral   |2020yCat.1350....0G
26  |HD 163545                                                                                                                                   |Double or Multiple Star             |16 22 37.0018417896 +88 36 21.934914696|121.6749593245347 +27.9655041108431|   0.114 24.235   |8.34     |K0             |0.0100  0.0    |    1|  299.276   pc  |  -5.6606     +5.6606  |paral   |2020yCat.1350....0G
27  |BD+88 106                                                                                                                                   |Star                                |16 19 56.6828495904 +88 46 20.111223936|121.8355571298270 +27.8777234108263|   -1.151 1.787   |10.16    |A3             |    ~     ~    |    1|  488.520   pc  |  -3.2934     +3.2934  |paral   |2020yCat.1350....0G
28  |BD+88 107                                                                                                                                   |Star                                |16 15 50.0687486544 +88 50 48.125876064|121.9168390722084 +27.8488395042358| -31.534 21.803   |9.85     |K0             |    ~     ~    |    1|  602.337   pc  |  -3.8458     +3.8458  |paral   |2020yCat.1350....0G
29  |BD+87 161                                                                                                                                   |Star                                |16 19 55.9127683800 +87 19 28.991937360|120.5234755860622 +28.7501579607376|   -3.154 3.202   |9.81     |K0             |    ~     ~    |    1| 1116.819   pc  | -13.3460    +13.3460  |paral   |2020yCat.1350....0G
30  |BD+87 162                                                                                                                                   |Star                                |16 26 25.6132367472 +87 15 53.999977824|120.4170579582324 +28.7231157185826|    1.813 2.263   |10.80    |G8:            |    ~     ~    |    1|  547.735   pc  |  -3.5102     +3.5102  |paral   |2020yCat.1350....0G
31  |TYC 4655-715-1                                                                                                                              |Star                                |16 22 00.0337843152 +87 37 45.703573644|120.7868883973003 +28.5504385551517|  3.211 -10.171   |10.85    |~              |    ~     ~    |    1|  207.301   pc  |  -0.4856     +0.4856  |paral   |2020yCat.1350....0G
