C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:35:42

dec >=0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3354

 #  |                                                                 identifier                                                                 |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|--------------------------------------------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-----------------------|--------|-------------------
1005|TYC 3068-1765-1                                                                                                                             |Star                                |16 15 37.3330980240 +42 45 33.791973840|067.5232409988364 +46.0867847432160|  2.062 -42.828   |10.62    |~              |    ~     ~    |    1|  249.383   pc  |  -0.7961     +0.7961  |paral   |2020yCat.1350....0G
1006|TYC 3068-1774-1                                                                                                                             |High Proper Motion Star             |16 15 51.3414369000 +42 30 13.647648024|067.1516656877221 +46.0598579581476| -69.043 35.158   |10.89    |~              |    ~     ~    |    1|  153.318   pc  |  -0.2351     +0.2351  |paral   |2020yCat.1350....0G
1007|BD+02 3074                                                                                                                                  |Star                                |16 18 23.9447782512 +02 31 03.523010520|015.7211763670590 +34.7922654445491| -1.146 -12.338   |9.21     |M0             |    ~     ~    |    1|  839.772   pc  | -18.3356    +18.3356  |paral   |2020yCat.1350....0G
1008|V* PZ Ser                                                                                                                                   |Long-Period Variable Candidate      |16 16 04.7362163040 +02 18 08.094424248|015.1246836901328 +35.1709337118906|  9.463 -16.507   |9.90     |M2             |    ~     ~    |    1|  789.702   pc  | -25.943     +25.943   |paral   |2020yCat.1350....0G
1009|BD+02 3071                                                                                                                                  |Star                                |16 17 42.1121678568 +02 03 36.159235344|015.1362707443950 +34.6987543709044|   1.314 18.147   |9.88     |K0             |    ~     ~    |    1|  703.977   pc  | -26.8111    +26.8111  |paral   |2020yCat.1350....0G
1010|BD+02 3073                                                                                                                                  |Star                                |16 18 16.9805700768 +02 08 27.536463240|015.3131886026493 +34.6184242803179|  4.002 -20.501   |10.20    |K0             |    ~     ~    |    1|  655.093   pc  |  -5.9651     +5.9651  |paral   |2020yCat.1350....0G
1011|BD+02 3068                                                                                                                                  |Star                                |16 16 15.9821810616 +01 42 57.054624048|014.5491803024738 +34.8190931218854| -28.594 -1.798   |10.31    |K0             |    ~     ~    |    1|  635.970   pc  |  -6.1073     +6.1073  |paral   |2020yCat.1350....0G
1012|BD+02 3069                                                                                                                                  |Star                                |16 16 23.0141204160 +01 41 24.708043104|014.5418624814538 +34.7806272309733| -20.807 12.630   |10.02    |F8             |    ~     ~    |    1|  101.188   pc  |  -0.1608     +0.1608  |paral   |2020yCat.1350....0G
1013|BD+01 3186                                                                                                                                  |Star                                |16 15 19.8136427784 +01 31 36.849015408|014.2019033637209 +34.9152298868082|  8.406 -21.224   |9.70     |K0             |    ~     ~    |    1|  515.889   pc  |  -3.5663     +3.5663  |paral   |2020yCat.1350....0G
1014|BD+01 3187                                                                                                                                  |Star                                |16 16 03.7490023488 +00 51 05.349886092|013.6310339770373 +34.3964072260929|  -7.038 -2.528   |10.626   |F5             |    ~     ~    |    1|  483.656   pc  | -15.2500    +15.2500  |ST-L    |2020AJ....160...83S
1015|BD+01 3188                                                                                                                                  |Star                                |16 16 31.3004461512 +01 35 49.929438624|014.4687481508672 +34.7017012726130|   -1.736 8.899   |9.50     |G5             |    ~     ~    |    1|  614.213   pc  |  -8.1488     +8.1488  |paral   |2020yCat.1350....0G
1016|HD 146563                                                                                                                                   |Pulsating Variable                  |16 16 50.4777287808 +01 17 36.630861252|014.2095473106866 +34.4713216511965|   -9.165 3.840   |9.04     |A9IV/V         |    ~     ~    |    1|  306.410   pc  |  -1.6149     +1.6149  |paral   |2020yCat.1350....0G
1017|AG+01 1798                                                                                                                                  |Double or Multiple Star             |16 16 53.6709 +01 17 30.527            |014.2164886 +34.4591951            |   -8.538 0.659   |10.755   |F8             |    ~     ~    |    1|  243.09    pc  | +35.761     +65       |ST-L    |2017AJ....153...75K
1018|HD 146674                                                                                                                                   |High Proper Motion Star             |16 17 23.7627285456 +01 30 55.196643636|014.5268458987530 +34.4733098276058|-83.377 -53.628   |9.33     |F6V            |    ~     ~    |    1|  180.642   pc  |  -0.5091     +0.5091  |paral   |2020yCat.1350....0G
1019|BD+01 3193                                                                                                                                  |Star                                |16 17 28.7332569984 +01 12 46.202916024|014.2309507070417 +34.2935804742304|  -6.940 -4.052   |9.65     |K5             |    ~     ~    |    1|  920.810   pc  | -17.2122    +17.2122  |paral   |2020yCat.1350....0G
1020|HD 146740                                                                                                                                   |Star                                |16 17 43.3583336160 +01 29 48.168654972|014.5607199335528 +34.3943924905022| -15.232 -2.414   |6.49     |K0III          |    ~     ~    |    1|  222.573   pc  |  -1.8874     +1.8874  |paral   |2020yCat.1350....0G
1021|HD 146876                                                                                                                                   |Star                                |16 18 25.3696238472 +00 53 14.085132432|014.0529980254745 +33.9194580330490| -14.768 -0.812   |9.94     |K3(III)        |    ~     ~    |    1|  206.037   pc  |  -0.6410     +0.6410  |paral   |2020yCat.1350....0G
1022|BD+01 3197                                                                                                                                  |Star                                |16 18 26.4489125136 +00 52 02.408629728|014.0357150366973 +33.9049353115529|  0.285 -41.057   |9.31     |G5             |    ~     ~    |    1|  392.943   pc  |  -2.5168     +2.5168  |paral   |2020yCat.1350....0G
1023|BD+01 3198                                                                                                                                  |Star                                |16 18 27.0082541904 +00 51 19.259442648|014.0250688442810 +33.8965085694749| 20.989 -35.964   |10.262   |K2             |    ~     ~    |    1|  182.616   pc  |  -5.7440     +5.7440  |ST-L    |2020AJ....160...83S
1024|HD 146895                                                                                                                                   |Star                                |16 18 32.3603256264 +00 59 34.845925452|014.1793141753995 +33.9518893287112|  -30.161 1.493   |9.07     |G8IV           |    ~     ~    |    1|  207.262   pc  |  -0.6744     +0.6744  |paral   |2020yCat.1350....0G
1025|BD+01 3201                                                                                                                                  |Star                                |16 18 44.5579030368 +01 30 12.211323552|014.7323794332305 +34.1824744678999| -8.874 -21.500   |10.203   |K2             |    ~     ~    |    1|  860.311   pc  | -54.3400    +54.3400  |ST-L    |2020AJ....160...83S
1026|BD+00 3478                                                                                                                                  |Star                                |16 15 06.4680925584 +00 01 40.938699828|012.6387369356838 +34.1461901903608|   -2.132 5.394   |9.34     |K0             |    ~     ~    |    1|  482.207   pc  |  -3.5576     +3.5576  |paral   |2020yCat.1350....0G
1027|HD 146280                                                                                                                                   |Star                                |16 15 31.3607520216 +00 25 05.014350588|013.1018291765287 +34.2735023553277|  -3.946 -4.778   |9.40     |F2IV           |    ~     ~    |    1|  354.045   pc  |  -6.5740     +6.5740  |ST-L    |2020AJ....160...83S
1028|BD+00 3482                                                                                                                                  |Star                                |16 16 15.6195107088 +00 23 03.255105696|013.1894153633405 +34.1005845063228|   5.318 -4.396   |9.39     |K0             |    ~     ~    |    1|  445.177   pc  |  -3.5871     +3.5871  |paral   |2020yCat.1350....0G
1029|HD 146565                                                                                                                                   |Star                                |16 16 54.0567487992 +00 37 02.029053180|013.5307169191689 +34.0932068164835|    0.369 1.634   |9.46     |A0/1V          |    ~     ~    |    1|  267.271   pc  |  -4.7620     +4.7620  |ST-L    |2020AJ....160...83S
1030|HD 146675                                                                                                                                   |Star                                |16 17 28.3530989856 +00 24 52.208573472|013.4192691032685 +33.8630402295264|    0.631 1.676   |9.40     |F6V            |    ~     ~    |    1|  340.020   pc  |  -1.9076     +1.9076  |paral   |2020yCat.1350....0G
1031|HD 146699                                                                                                                                   |Star                                |16 17 38.1451732776 +00 01 56.011595016|013.0608284483577 +33.6202234712217| -7.290 -13.989   |9.71     |A5III/IV       |    ~     ~    |    1|  365.470   pc  |  -2.9252     +2.9252  |paral   |2020yCat.1350....0G
1032|BD+00 3489                                                                                                                                  |Star                                |16 17 48.4893435144 +00 12 05.128169220|013.2593480532000 +33.6765766125060|  5.218 -10.299   |10.135   |G0             |    ~     ~    |    1|  134.744   pc  |  -1.0910     +1.0910  |ST-L    |2020AJ....160...83S
1033|BD+00 3493                                                                                                                                  |Star                                |16 18 28.6996149144 +00 23 55.764525912|013.5678642011529 +33.6434891619765|    7.145 5.397   |9.72     |F5             |    ~     ~    |    1|  201.666   pc  |  -2.8470     +2.8470  |ST-L    |2020AJ....160...83S
1034|BD+00 3494                                                                                                                                  |Star                                |16 18 29.6534316168 +00 31 03.259640604|013.6903139608724 +33.7045853390081|-35.185 -12.374   |9.25     |K2             |    ~     ~    |    1|  424.574   pc  |  -2.8121     +2.8121  |paral   |2020yCat.1350....0G
1035|NGC 6100                           NGC 6100                                                                                                 |Galaxy                              |16 16 52.3820742768 +00 50 28.720567824|013.7536333833761 +34.2206196381394|            ~ ~   |     ~   |~              |0.540 0.324    |    1|   71       Mpc |                       |        |2007ApJS..173..185G
1036|TYC 368-200-1                                                                                                                               |Star                                |16 18 33.3167214960 +01 52 13.929523572|015.0785090674611 +34.4174784502980| -8.027 -17.775   |10.04    |~              |    ~     ~    |    1| 3138.732   pc  |-132.0120   +132.0120  |paral   |2020yCat.1350....0G
1037|TYC 368-220-1                                                                                                                               |Star                                |16 16 32.3574060624 +01 24 57.701283840|014.2857327515956 +34.6008191015197|   0.903 15.762   |10.468   |~              |    ~     ~    |    1|  376.871   pc  |  -8.0420     +8.0420  |ST-L    |2020AJ....160...83S
1038|TYC 368-249-1                                                                                                                               |Star                                |16 15 20.3075437296 +00 10 20.716475844|012.8227990643401 +34.1774199341470|   6.889 -2.740   |10.966   |~              |    ~     ~    |    1|  409.135   pc  |  -9.7960     +9.7960  |ST-L    |2020AJ....160...83S
1039|TYC 368-343-1                                                                                                                               |Star                                |16 16 09.9429589080 +00 06 27.004658184|012.8943162380330 +33.9689081132981| -4.971 -16.000   |10.952   |~              |    ~     ~    |    1|  273.739   pc  |  -4.6890     +4.6890  |ST-L    |2020AJ....160...83S
1040|TYC 368-1223-1                                                                                                                              |Star                                |16 17 58.5300510168 +01 10 56.571428208|014.2805755467895 +34.1725373360242| 32.244 -16.176   |10.24    |~              |    ~     ~    |    1|   77.998   pc  |  -0.1028     +0.1028  |paral   |2020yCat.1350....0G
1041|TYC 368-1383-1                                                                                                                              |High Proper Motion Star             |16 16 15.8057997072 +00 20 32.793104616|013.1476573672757 +34.0771012878507| 55.242 -54.485   |10.70    |~              |    ~     ~    |    1|   90.962   pc  |  -0.5735     +0.5735  |ST-L    |2020AJ....160...83S
1042|TYC 372-980-1                                                                                                                               |High Proper Motion Star             |16 15 40.0809734352 +02 30 54.062604684|015.2792652184208 +35.3706277694127|  -61.850 6.897   |9.99     |~              |    ~     ~    |    1|   87.473   pc  |  -1.3405     +1.3405  |paral   |2020yCat.1350....0G
1043|TYC 372-1171-1                                                                                                                              |Star                                |16 17 31.5107639088 +02 13 02.934760836|015.2703866137486 +34.8195627974006| -24.228 -6.460   |9.80     |~              |    ~     ~    |    1|  670.916   pc  |  -6.8419     +6.8419  |paral   |2020yCat.1350....0G
1044|BD+02 3077                                                                                                                                  |Star                                |16 19 09.6657419184 +02 10 19.556021532|015.4858653415562 +34.4485577884014|  2.458 -16.349   |10.86    |K              |    ~     ~    |    1| 1112.842   pc  | -17.7094    +17.7094  |paral   |2020yCat.1350....0G
1045|HD 147132                                                                                                                                   |Spectroscopic Binary                |16 19 54.4268688816 +02 20 08.524137552|015.7733619063239 +34.3761663957874|   4.257 -7.523   |8.97     |G6IV/V         |    ~     ~    |    1|  360.828   pc  | -13.2541    +13.2541  |paral   |2020yCat.1350....0G
1046|BD+02 3081                                                                                                                                  |Double or Multiple Star             |16 20 16.6457 +01 51 19.929            |015.3388039 +34.0445461            |       -1.3 5.2   |10.19    |A5             |    ~     ~    |    0|                |                       |        |                   
1047|BD+02 3082                                                                                                                                  |Star                                |16 20 19.4583711312 +01 38 50.608304124|015.1333496998622 +33.9243846411529|  -9.428 15.026   |9.740    |K0             |    ~     ~    |    1|  576.448   pc  | -16.7700    +16.7700  |ST-L    |2020AJ....160...83S
1048|HD 147190                                                                                                                                   |High Proper Motion Star             |16 20 19.8108758376 +01 48 59.872553388|015.3073733294762 +34.0127844824309|-24.936 -88.988   |9.25     |G2/3V          |    ~     ~    |    1|  115.566   pc  |  -0.2217     +0.2217  |paral   |2020yCat.1350....0G
1049|HD 147205                                                                                                                                   |Star                                |16 20 23.1746897856 +01 47 06.123931692|015.2839723962375 +33.9841797935840| -24.729 -9.815   |8.84     |F6V            |    ~     ~    |    1|  151.190   pc  |  -0.4412     +0.4412  |paral   |2020yCat.1350....0G
1050|BD+01 3200                                                                                                                                  |Star                                |16 18 46.3549766712 +00 42 58.378029408|013.9364483853524 +33.7535569705871|  -9.188 -5.159   |9.22     |K0             |    ~     ~    |    1|  418.533   pc  |  -4.1165     +4.1165  |paral   |2020yCat.1350....0G
1051|BD+01 3202                                                                                                                                  |Star                                |16 19 10.7380691904 +01 34 03.306352008|014.8682494368174 +34.1244283373970|  27.645 31.486   |10.395   |F8             |    ~     ~    |    1|  160.458   pc  |  -1.6780     +1.6780  |ST-L    |2020AJ....160...83S
1052|BD+01 3204                                                                                                                                  |Double or Multiple Star             |16 19 51.370680 +00 49 52.47624        |014.228287964 +33.587384838        |       -2.4 1.9   |9.983    |G0             |    ~     ~    |    1|  153.164   pc  | +24.121      +6       |ST-L    |2017AJ....153...75K
1053|HD 147116                                                                                                                                   |Spectroscopic Binary                |16 19 50.4842090424 +01 29 46.774482108|014.9018133218979 +33.9463527715432| -4.776 -12.283   |8.77     |K2III          |    ~     ~    |    1|  905.305   pc  | -35.8975    +35.8975  |paral   |2020yCat.1350....0G
1054|HD 147175                                                                                                                                   |Star                                |16 20 12.7030790832 +01 15 14.944894632|014.7145167339397 +33.7389527592391|   8.978 -4.283   |8.90     |F5/6V          |    ~     ~    |    1|  166.448   pc  |  -0.5070     +0.5070  |paral   |2020yCat.1350....0G
1055|HD 147191                                                                                                                                   |Star                                |16 20 23.1777250224 +00 55 00.009300396|014.4001609508321 +33.5214906187261| -3.073 -10.026   |8.50     |K0III          |    ~     ~    |    1|  353.882   pc  |  -2.6299     +2.6299  |paral   |2020yCat.1350....0G
1056|BD+01 3209                                                                                                                                  |Star                                |16 20 58.0127203272 +00 44 48.251819688|014.3217165661321 +33.3078259610200|   -7.435 3.805   |10.892   |G              |    ~     ~    |    1| 1339.730   pc  |-103.6000   +103.6000  |ST-L    |2020AJ....160...83S
1057|BD+00 3499                                                                                                                                  |Double or Multiple Star             |16 20 10.9043273032 +00 04 46.100066627|013.5238639438649 +33.1124690849145|  26.999 -3.034   |10.40    |G0             |    ~     ~    |    1|  166.1626  pc  |  -6.6651     +6.6651  |paral   |2018yCat.1345....0G
1058|BD+00 3501                                                                                                                                  |Star                                |16 20 16.2177354432 +00 25 53.340445200|013.8917264145730 +33.2846597019127| -1.000 -20.845   |10.388   |F0             |    ~     ~    |    1|  398.916   pc  |  -9.8520     +9.8520  |ST-L    |2020AJ....160...83S
1059|BD+00 3502                                                                                                                                  |Star                                |16 20 31.8442128096 +00 01 53.568295068|013.5324380849596 +33.0131831875591| -8.922 -10.117   |9.37     |F5             |    ~     ~    |    1|  201.325   pc  |  -0.7012     +0.7012  |paral   |2020yCat.1350....0G
1060|HD 147293                                                                                                                                   |Star                                |16 21 05.4871410792 +00 37 39.926754372|014.2217450653598 +33.2176145516138|  13.802 -5.688   |7.93     |K1III          |    ~     ~    |    1|  208.212   pc  |  -0.9754     +0.9754  |paral   |2020yCat.1350....0G
1061|TYC 368-355-1                                                                                                                               |Star                                |16 20 16.3638458328 +00 13 21.081921168|013.6820905172238 +33.1710206474981| -1.811 -25.347   |9.79     |~              |    ~     ~    |    1| 1250.938   pc  | -27.6978    +27.6978  |paral   |2020yCat.1350....0G
1062|HD 147511                                                                                                                                   |Star                                |16 22 16.1257304688 +02 28 52.195640232|016.2960692640236 +33.9494739212936| -11.265 11.666   |8.90     |K2/3III        |    ~     ~    |    1|  503.499   pc  |  -5.2730     +5.2730  |paral   |2020yCat.1350....0G
1063|HD 148207                                                                                                                                   |Star                                |16 26 21.1948216848 +02 30 28.214043876|016.9580544031828 +33.0910710098175| -23.183 15.657   |6.67     |A2IV           |    ~     ~    |    1|  124.476   pc  |  -0.4617     +0.4617  |paral   |2020yCat.1350....0G
1064|BD+02 3104                                                                                                                                  |High Proper Motion Star             |16 26 32.5964622888 +02 34 24.647576268|017.0544284386076 +33.0842931096363|-54.191 -65.861   |10.67    |G5             |    ~     ~    |    1|  113.635   pc  |  -0.2221     +0.2221  |paral   |2020yCat.1350....0G
1065|BD+02 3087                                                                                                                                  |Star                                |16 21 43.0204465632 +02 14 07.432807524|015.9566648535109 +33.9386053522122| 11.711 -28.503   |9.83     |K0             |    ~     ~    |    1|  532.652   pc  |  -5.1069     +5.1069  |paral   |2020yCat.1350....0G
1066|HD 147736                                                                                                                                   |Star                                |16 23 30.2338374264 +02 15 50.563762452|016.2666297023261 +33.5730088283032|   6.277 -1.676   |9.59     |F8/G3          |    ~     ~    |    1|  172.530   pc  |  -0.4286     +0.4286  |paral   |2020yCat.1350....0G
1067|HD 147737                                                                                                                                   |Star                                |16 23 31.4851622304 +02 12 52.602543792|016.2192814569277 +33.5427762777808|   7.504 14.224   |8.95     |G8/K1(III)     |    ~     ~    |    1|  435.863   pc  |  -3.2106     +3.2106  |paral   |2020yCat.1350....0G
1068|BD+02 3096                                                                                                                                  |Star                                |16 25 01.9199244264 +02 03 58.873313052|016.3029860856300 +33.1441792086603| -1.192 -25.521   |9.45     |G5             |    ~     ~    |    1|  443.675   pc  |  -2.8543     +2.8543  |paral   |2020yCat.1350....0G
1069|HD 148208                                                                                                                                   |Star                                |16 26 21.4118947320 +02 16 04.879569828|016.7138068188655 +32.9662564273630|-20.053 -11.037   |8.61     |K1III          |    ~     ~    |    1|  345.125   pc  |  -3.1088     +3.1088  |paral   |2020yCat.1350....0G
1070|BD+02 3105                                                                                                                                  |Star                                |16 26 38.1304249272 +02 08 32.739799416|016.6288992152114 +32.8416068025911|-14.383 -28.533   |9.27     |K2             |    ~     ~    |    1|  634.679   pc  |  -8.4994     +8.4994  |paral   |2020yCat.1350....0G
1071|HD 148287                                                                                                                                   |Star                                |16 26 50.0743972200 +02 20 52.593891036|016.8688800940706 +32.9055271899293| 20.085 -17.062   |6.049    |G8III          |    ~     ~    |    1|  137.692   pc  |  -0.5176     +0.5176  |paral   |2020yCat.1350....0G
1072|HD 148425                                                                                                                                   |Spectroscopic Binary                |16 27 52.3387291680 +02 18 34.355477160|016.9890693152620 +32.6637425470944| 15.600 -30.239   |8.41     |K2III          |    ~     ~    |    1|  294.273   pc  |  -4.9533     +4.9533  |paral   |2020yCat.1350....0G
1073|TYC 373-1768-1                                                                                                                              |Star                                |16 28 38.8603855728 +02 15 26.480929428|017.0546205563157 +32.4709057700756|-20.739 -11.515   |10.25    |F8             |    ~     ~    |    1|  185.426   pc  |  -0.6533     +0.6533  |paral   |2020yCat.1350....0G
1074|BD+02 3110                                                                                                                                  |Star                                |16 29 06.3101 +02 23 24.717            |017.2593214 +32.4413663            |   9.019 12.245   |10.36    |F8             |    ~     ~    |    0|                |                       |        |                   
1075|BD+02 3111                                                                                                                                  |Star                                |16 29 12.0336758544 +01 59 02.573122632|016.8621082167620 +32.2114418285564| -18.837 -8.940   |9.13     |K2             |    ~     ~    |    1|  594.742   pc  |  -5.3412     +5.3412  |paral   |2020yCat.1350....0G
1076|HD 148684                                                                                                                                   |Star                                |16 29 42.5737759752 +02 20 02.534760600|017.2941879896279 +32.2830035020026| -6.049 -21.348   |8.03     |K0III          |    ~     ~    |    1|  250.771   pc  |  -1.2074     +1.2074  |paral   |2020yCat.1350....0G
1077|BD+02 3088                                                                                                                                  |Star                                |16 22 07.7206336224 +01 40 56.996411808|015.4561199756843 +33.5603670026536| -10.074 -1.970   |10.76    |K5             |    ~     ~    |    1| 1147.447   pc  | -27.6493    +27.6493  |paral   |2020yCat.1350....0G
1078|BD+02 3098                                                                                                                                  |Star                                |16 25 23.4475307400 +01 53 11.505701040|016.1757940713555 +32.9738580299678|  2.756 -17.882   |10.00    |K0             |    ~     ~    |    1|  543.833   pc  |  -4.7616     +4.7616  |paral   |2020yCat.1350....0G
1079|HD 148166                                                                                                                                   |Star                                |16 26 05.4181805952 +01 46 29.818488792|016.1712642270975 +32.7665260188262| 13.666 -22.240   |8.28     |F2/3V          |    ~     ~    |    1|  189.484   pc  |  -0.9479     +0.9479  |paral   |2020yCat.1350....0G
1080|BD+02 3109                                                                                                                                  |Double or Multiple Star             |16 28 23.0462843904 +01 47 02.647091904|016.5348405840422 +32.2821322809504|   1.613 -6.968   |10.12    |F8             |    ~     ~    |    1|  400.176   pc  |  -6.3736     +6.3736  |paral   |2020yCat.1350....0G
1081|HD 147411                                                                                                                                   |Spectroscopic Binary                |16 21 47.9569591558 +01 12 56.367389610|014.9292503001995 +33.3827044282517|  10.589 -8.953   |7.37     |K1/2III        |    ~     ~    |    1|  302.197   pc  |  -4.5387     +4.5387  |paral   |2020yCat.1350....0G
1082|BD+01 3214                                                                                                                                  |Star                                |16 21 53.4622608696 +01 05 04.678737864|014.8111458159033 +33.2934980897605|  -4.365 -2.971   |10.845   |K              |    ~     ~    |    1|  885.435   pc  | -46.0600    +46.0600  |ST-L    |2020AJ....160...83S
1083|HD 147469                                                                                                                                   |Star                                |16 22 10.3916720568 +01 34 33.022219656|015.3545419473245 +33.4945664088269|  -20.264 5.008   |9.54     |A3IV           |    ~     ~    |    1|  278.280   pc  |  -1.4714     +1.4714  |paral   |2020yCat.1350....0G
1084|HD 147719                                                                                                                                   |High Proper Motion Star             |16 23 24.6018324504 +01 32 50.698187988|015.5210968885232 +33.2170899825095| -4.023 -93.020   |8.66     |G3/5IV/V       |    ~     ~    |    1|   81.508   pc  |  -0.1256     +0.1256  |paral   |2020yCat.1350....0G
1085|HD 147804                                                                                                                                   |Star                                |16 23 57.3331338168 +01 04 34.129377012|015.1301641147785 +32.8520217137274|    8.971 6.557   |9.27     |A2+(F)         |    ~     ~    |    1|  239.636   pc  |  -1.1830     +1.1830  |paral   |2020yCat.1350....0G
1086|BD+01 3222                                                                                                                                  |Star                                |16 24 00.4193767344 +01 34 46.685883144|015.6477334699177 +33.1072914550436|  9.434 -10.575   |10.55    |K2             |    ~     ~    |    1|  742.721   pc  |  -7.7781     +7.7781  |paral   |2020yCat.1350....0G
1087|BD+01 3223                                                                                                                                  |Star                                |16 24 21.2753926536 +00 50 18.013475220|014.9536861427228 +32.6411398457778|  -4.261 -4.059   |9.55     |G5             |    ~     ~    |    1|  654.236   pc  |  -6.2920     +6.2920  |paral   |2020yCat.1350....0G
1088|HD 147870                                                                                                                                   |Star                                |16 24 21.3036978984 +01 14 55.587736752|015.3674297031538 +32.8587931030127| -42.365 -4.351   |8.30     |K2/3III        |    ~     ~    |    1|  361.324   pc  |  -4.0994     +4.0994  |paral   |2020yCat.1350....0G
1089|HD 147906                                                                                                                                   |Star                                |16 24 36.2080535760 +01 09 36.931383576|015.3171476398519 +32.7592747220551|   20.520 9.494   |7.84     |F2V            |    ~     ~    |    1|  128.199   pc  |  -0.4766     +0.4766  |paral   |2020yCat.1350....0G
1090|HD 148036                                                                                                                                   |Star                                |16 25 19.7131005000 +00 58 05.260318212|015.2376183953789 +32.5037824228091|   -1.874 4.107   |9.62     |A5IV           |    ~     ~    |    1|  419.622   pc  |  -4.2084     +4.2084  |paral   |2020yCat.1350....0G
1091|HD 148035                                                                                                                                   |Star                                |16 25 19.2359077848 +01 13 07.406843052|015.4887225069109 +32.6380317959285| 30.863 -10.168   |8.69     |G8IV           |    ~     ~    |    1|  260.383   pc  |  -3.1798     +3.1798  |paral   |2020yCat.1350....0G
1092|HD 148037                                                                                                                                   |Star                                |16 25 26.4873218376 +00 44 58.607398464|015.0359488623470 +32.3638777353127| -19.051 -1.361   |9.23     |A5/7V          |    ~     ~    |    1|  281.746   pc  |  -1.7226     +1.7226  |paral   |2020yCat.1350....0G
1093|BD+01 3231                                                                                                                                  |Star                                |16 25 45.8332312368 +00 42 45.193772376|015.0495017263715 +32.2759072665108| -20.472 19.674   |9.835    |F8             |    ~     ~    |    1|  216.110   pc  |  -3.3050     +3.3050  |ST-L    |2020AJ....160...83S
1094|HD 148230                                                                                                                                   |High Proper Motion Star             |16 26 34.7389860744 +00 46 09.728414760|015.2342251647659 +32.1333799781200| 36.809 -52.377   |8.40     |K1V            |    ~     ~    |    1|  264.571   pc  |  -1.5890     +1.5890  |paral   |2020yCat.1350....0G
1095|TYC 369-27-1                                                                                                                                |Star                                |16 26 57.0487385376 +01 00 53.659417068|015.5384417092489 +32.1843614116646| -2.795 -18.482   |10.51    |F8             |    ~     ~    |    1|  239.229   pc  |  -0.9615     +0.9615  |paral   |2020yCat.1350....0G
1096|HD 148267                                                                                                                                   |Double or Multiple Star             |16 26 51.602 +01 00 43.95              |015.521583 +32.202212              |       6.0 12.0   |9.1      |F5V            |    ~     ~    |    0|                |                       |        |                   
1097|TYC 369-299-1                                                                                                                               |Star                                |16 27 19.5186343872 +01 01 47.425865844|015.6117422495010 +32.1127080727018| -14.795 -8.659   |10.87    |K              |    ~     ~    |    1|  285.429   pc  |  -2.1019     +2.1019  |paral   |2020yCat.1350....0G
1098|BD+01 3236                                                                                                                                  |Star                                |16 27 20.3934229560 +00 55 29.683590960|015.5088053156397 +32.0542560249457| -23.481 24.590   |9.99     |K5             |    ~     ~    |    1|   28.506   pc  |  -0.0128     +0.0128  |paral   |2020yCat.1350....0G
1099|HD 148348                                                                                                                                   |Star                                |16 27 18.7751537880 +01 22 39.195465960|015.9593719355003 +32.2981638413424|  -34.625 5.607   |9.07     |K0V            |    ~     ~    |    1|   55.338   pc  |  -0.1314     +0.1314  |paral   |2020yCat.1350....0G
1100|HD 148407                                                                                                                                   |Star                                |16 27 45.0483850056 +01 03 11.950904124|015.7014166076601 +32.0346764622221|-40.264 -11.711   |8.94     |K0III/IV       |    ~     ~    |    1|  372.051   pc  |  -2.6439     +2.6439  |paral   |2020yCat.1350....0G
1101|HD 148512                                                                                                                                   |Star                                |16 28 34.2919200144 +01 35 12.732645516|016.3646686666275 +32.1394776980924|  14.770 -5.994   |6.93     |G8/K0III       |    ~     ~    |    1|  245.827   pc  |  -1.2932     +1.2932  |paral   |2020yCat.1350....0G
1102|BD+01 3240                                                                                                                                  |Star                                |16 29 13.9168779528 +00 52 29.013988620|015.7520372115687 +31.6258753548744|  3.563 -18.241   |9.10     |K0             |    ~     ~    |    1|  442.321   pc  |  -3.8934     +3.8934  |paral   |2020yCat.1350....0G
1103|BD+01 3241                                                                                                                                  |Star                                |16 29 23.5608756720 +00 51 46.021951512|015.7649333892760 +31.5854240120254| -0.591 -25.244   |10.22    |G0             |    ~     ~    |    1|  224.150   pc  |  -2.1906     +2.1906  |paral   |2020yCat.1350....0G
1104|HD 147370                                                                                                                                   |Star                                |16 21 34.8706279032 +00 04 36.490994580|013.7474523942637 +32.8171419346917|-16.539 -42.820   |6.84     |K0IIICNII      |    ~     ~    |    1|  234.252   pc  |  -1.2786     +1.2786  |paral   |2020yCat.1350....0G
1105|BD+00 3507                                                                                                                                  |Star                                |16 22 05.8721861664 +00 05 29.934748536|013.8454531357409 +32.7165677166423| -28.101 -3.155   |10.848   |G0             |    ~     ~    |    1|  223.121   pc  |  -3.1570     +3.1570  |ST-L    |2020AJ....160...83S
1106|HD 147470                                                                                                                                   |Star                                |16 22 12.9156480792 +00 29 53.630281680|014.2716950421943 +32.9110997996477|-13.432 -25.117   |7.67     |A0V            |    ~     ~    |    1|  195.152   pc  |  -1.5805     +1.5805  |paral   |2020yCat.1350....0G
