C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:10:47

dec< 0&rah >=13.0&rah< 13.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5348

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
22  |HD 112902                                                                                                |High Proper Motion Star             |13 00 05.7524814024 -02 02 17.696561964|307.3635184462152 +60.7589789188983|95.368 -111.834   |9.89     |G8V              |    ~     ~    |    1|  154.485   pc  |  -0.4272     +0.4272  |paral   |2020yCat.1350....0G
23  |BD-01 2759                                                                                               |Star                                |13 01 57.4927028712 -02 00 02.158578756|308.3191893500775 +60.7610573393423| -36.073 -1.394   |9.93     |K0               |    ~     ~    |    1|  178.428   pc  |  -0.6176     +0.6176  |paral   |2020yCat.1350....0G
24  |BD-01 2763                                                                                               |Star                                |13 04 16.2997935273 -01 52 47.302966584|309.5217033320199 +60.8276292622266|   -0.126 7.477   |10.06    |K0               |    ~     ~    |    1|  209.5426  pc  |  -8.5226     +8.5226  |paral   |2018yCat.1345....0G
25  |HD 113517                                                                                                |Star                                |13 04 22.4086186464 -01 58 25.562980056|309.5538227852584 +60.7315564697046|-33.433 -22.258   |9.31     |F2V              |    ~     ~    |    1|  160.151   pc  |  -0.4412     +0.4412  |paral   |2020yCat.1350....0G
26  |HD 113546                                                                                                |Red Giant Branch star               |13 04 34.3902737832 -02 03 23.055849432|309.6377453418953 +60.6442059848679|-10.574 -17.987   |9.71     |K2III            |    ~     ~    |    1|  467.574   pc  |  -3.2575     +3.2575  |paral   |2020yCat.1350....0G
27  |HD 113642                                                                                                |High Proper Motion Star             |13 05 11.2261098984 -02 07 52.153729752|309.9322295700618 +60.5535802828276|-68.884 -19.770   |10.00    |G0/1V            |    ~     ~    |    1|  173.853   pc  |  -0.5259     +0.5259  |paral   |2020yCat.1350....0G
28  |HD 113906                                                                                                |High Proper Motion Star             |13 06 53.6256718560 -01 54 16.761218832|310.8495320600320 +60.7292695774393| -49.422 16.011   |8.41     |K2III            |    ~     ~    |    1|  447.507   pc  |  -5.7876     +5.7876  |paral   |2020yCat.1350....0G
29  |HD 112943                                                                                                |High Proper Motion Star             |13 00 16.9945663985 -02 42 17.228572168|307.3651515172888 +60.0908016405024| -806.690 7.365   |9.78     |K5.5V            |    ~     ~    |    1|   27.2979  pc  |  -0.0163     +0.0163  |paral   |2020yCat.1350....0G
30  |HD 112991                                                                                                |Star                                |13 00 38.8136505720 -02 33 46.666737396|307.5672803996187 +60.2258758187166| 27.976 -30.053   |8.33     |G3/5V            |    ~     ~    |    1|   97.610   pc  |  -1.3224     +1.3224  |paral   |2020yCat.1350....0G
31  |HD 113068                                                                                                |Star                                |13 01 09.7490806608 -02 32 28.973419872|307.8291463076233 +60.2378660756745|-12.683 -12.551   |9.15     |F6V              |    ~     ~    |    1|  245.972   pc  |  -1.0164     +1.0164  |paral   |2020yCat.1350....0G
32  |HD 113273                                                                                                |Star                                |13 02 40.1898530688 -02 37 09.492372408|308.5709099271834 +60.1294101855909|  -1.062 -4.986   |9.77     |F3/5V            |    ~     ~    |    1|  276.174   pc  |  -2.4102     +2.4102  |paral   |2020yCat.1350....0G
33  |HD 113579                                                                                                |Red Giant Branch star               |13 04 48.3161717208 -02 22 08.475252600|309.6885507193787 +60.3272446665843|-54.363 -11.841   |9.70     |K2III            |    ~     ~    |    1|  419.111   pc  |  -2.7929     +2.7929  |paral   |2020yCat.1350....0G
34  |HD 113674                                                                                                |Star                                |13 05 27.3891056496 -02 33 27.031532004|309.9735908808946 +60.1224336380408| -31.683 -8.818   |8.34     |F2IV             |    ~     ~    |    1|  191.924   pc  |  -0.6999     +0.6999  |paral   |2020yCat.1350....0G
35  |HD 113924                                                                                                |Star                                |13 07 03.3520468056 -02 40 13.365327072|310.7421556257427 +59.9643184287315|  -25.755 1.402   |9.12     |F2/3V            |    ~     ~    |    1|  148.455   pc  |  -2.1170     +2.1170  |ST-L    |2020AJ....160...83S
36  |BD-00 2644                                                                                               |Star                                |13 01 05.1417832176 -01 20 11.263963380|307.9807843565053 +61.4406717085950|  5.531 -13.487   |10.16    |~                |    ~     ~    |    1|  804.829   pc  | -12.7607    +12.7607  |paral   |2020yCat.1350....0G
37  |TYC 4957-250-1                                                                                           |Star                                |13 04 18.2115210864 -00 48 25.625677032|309.7711888196524 +61.8936635712469|  9.743 -16.054   |10.5     |~                |    ~     ~    |    1|  505.663   pc  |  -4.7815     +4.7815  |paral   |2020yCat.1350....0G
38  |BD-00 2653                                                                                               |Horizontal Branch Star              |13 04 25.1450789760 -01 39 11.391662664|309.6452581701470 +61.0492633906257|   -8.589 1.921   |10.40    |~                |    ~     ~    |    1|  814.001   pc  |  -9.5414     +9.5414  |paral   |2020yCat.1350....0G
39  |TYC 4957-1226-1                                                                                          |Star                                |13 05 31.7434280952 -02 07 41.479985604|310.1055985392350 +60.5471403004847|-15.116 -15.740   |10.47    |~                |    ~     ~    |    1|  244.039   pc  |  -6.7178     +6.7178  |paral   |2020yCat.1350....0G
40  |BD-00 2657                                                                                               |Star                                |13 06 10.0606516344 -00 55 59.183691240|310.7208828732216 +61.7156783470287|-11.110 -20.360   |10.03    |~                |    ~     ~    |    1|  678.702   pc  |  -9.6734     +9.6734  |paral   |2020yCat.1350....0G
41  |BD-01 2771                                                                                               |Red Giant Branch star               |13 06 29.3440042608 -02 16 58.816989660|310.5527643402886 +60.3658440965183|  -38.006 9.333   |10.602   |~                |    ~     ~    |    1|  305.853   pc  |  -6.2860     +6.2860  |ST-L    |2020AJ....160...83S
42  |TYC 4957-373-1                                                                                           |Star                                |13 00 47.3405901360 -01 20 53.937446280|307.8242432117115 +61.4345728298292| -26.401 13.476   |10.92    |~                |    ~     ~    |    1|  855.286   pc  | -14.0451    +14.0451  |paral   |2020yCat.1350....0G
43  |TYC 4957-17-1                                                                                            |Star                                |13 00 03.0548065344 -02 28 19.054975440|307.2806025582042 +60.3270431243744|    9.368 7.827   |10.68    |~                |    ~     ~    |    1|  284.277   pc  | -16.0657    +16.0657  |paral   |2020yCat.1350....0G
44  |TYC 4957-70-1                                                                                            |Star                                |13 01 45.3220186272 -02 22 51.654137448|308.1526493355450 +60.3861051161516|    9.767 3.873   |10.58    |~                |    ~     ~    |    1|  310.820   pc  |  -1.8066     +1.8066  |paral   |2020yCat.1350....0G
45  |TYC 4957-332-1                                                                                           |Star                                |13 03 24.1992135120 -00 05 41.781853248|309.4486643431721 +62.6253118502350| 31.076 -28.146   |10.8     |~                |    ~     ~    |    1|  270.643   pc  |  -1.6774     +1.6774  |paral   |2020yCat.1350....0G
46  |TYC 4957-527-1                                                                                           |Star                                |13 02 30.5353080816 -00 41 55.087706832|308.8440493011405 +62.0459595094158|-34.291 -20.035   |10.4     |~                |    ~     ~    |    1|  262.481   pc  |  -1.5708     +1.5708  |paral   |2020yCat.1350....0G
47  |TYC 4957-565-1                                                                                           |Star                                |13 00 26.8016419680 -00 30 55.056438324|307.7767751281816 +62.2716790765239| -4.239 -13.132   |10.8     |~                |    ~     ~    |    1| 1995.610   pc  | -86.4193    +86.4193  |paral   |2020yCat.1350....0G
48  |TYC 4957-632-1                                                                                           |Star                                |13 02 26.5408899912 -00 11 37.278044592|308.9085195929058 +62.5502911789091| 43.714 -19.438   |10.6     |~                |    ~     ~    |    1|   94.865   pc  |  -0.9368     +0.9368  |paral   |2020yCat.1350....0G
49  |TYC 4957-652-1                                                                                           |Star                                |13 06 40.4680182600 -01 30 20.749269852|310.8382186180257 +61.1318707800645|  -5.782 18.573   |10.99    |~                |    ~     ~    |    1|  346.272   pc  |  -3.3333     +3.3333  |paral   |2020yCat.1350....0G
50  |TYC 4957-775-1                                                                                           |Star                                |13 03 46.5860796696 -01 22 45.225894180|309.3716521360800 +61.3381475984582|  23.472 -9.675   |10.79    |~                |    ~     ~    |    1|  336.757   pc  | -12.9849    +12.9849  |paral   |2020yCat.1350....0G
51  |TYC 4957-1125-1                                                                                          |Star                                |13 00 20.8492516464 -01 36 42.552707580|307.5545161110736 +61.1799349389680|    0.125 1.611   |10.80    |~                |    ~     ~    |    1| 1320.829   pc  | -32.6238    +32.6238  |paral   |2020yCat.1350....0G
52  |TYC 4960-616-1                                                                                           |High Proper Motion Star             |13 00 41.4696521496 -02 35 25.302989076|307.5854975520433 +60.1977507277890|-104.353 -11.340  |9.88     |~                |    ~     ~    |    1|   97.343   pc  |  -0.8329     +0.8329  |paral   |2020yCat.1350....0G
53  |HD 113815                                                                                                |Star                                |13 06 20.6656779264 -02 46 33.236907888|310.3652706627622 +59.8805325299517|  6.985 -13.540   |9.70     |A9V              |    ~     ~    |    1|  268.327   pc  |  -1.4184     +1.4184  |paral   |2020yCat.1350....0G
54  |HD 113366                                                                                                |Star                                |13 03 17.1019519104 -02 57 50.773263480|308.8148724379005 +59.7722513844546| -45.715 -7.690   |9.04     |G3/5V            |    ~     ~    |    1|  123.496   pc  |  -0.3279     +0.3279  |paral   |2020yCat.1350....0G
55  |BD-02 3610                                                                                               |Star                                |13 01 27.3105702120 -02 59 17.290317156|307.9064197040311 +59.7868229095260| -23.059 23.231   |10.46    |~                |    ~     ~    |    1|  134.991   pc  |  -0.4337     +0.4337  |paral   |2020yCat.1350....0G
56  |HD 113156                                                                                                |Red Giant Branch star               |13 01 48.3092269584 -03 19 08.565290004|308.0274420615133 +59.4500929947604|  -6.547 11.688   |9.50     |G8IV             |    ~     ~    |    1|  327.772   pc  |  -1.8049     +1.8049  |paral   |2020yCat.1350....0G
57  |HD 113326                                                                                                |High Proper Motion Star             |13 03 00.1542612072 -03 09 29.829065868|308.6411446770424 +59.5852039980643| 46.664 -39.493   |8.83     |F5/6V            |    ~     ~    |    1|  113.327   pc  |  -1.1495     +1.1495  |paral   |2020yCat.1350....0G
58  |HD 113448                                                                                                |Star                                |13 03 53.0388698832 -03 13 04.347790500|309.0625706149403 +59.5056407797912|-35.779 -24.890   |7.61     |A9III/IV         |    ~     ~    |    1|  106.959   pc  |  -0.3146     +0.3146  |paral   |2020yCat.1350....0G
59  |HD 113925                                                                                                |Red Giant Branch star               |13 07 18.8188558992 -03 08 06.764136900|310.7571204734596 +59.4951113226524|   -3.718 5.608   |10.508   |G0/1V            |    ~     ~    |    1|  518.223   pc  | -17.0600    +17.0600  |ST-L    |2020AJ....160...83S
60  |HD 113100                                                                                                |Star                                |13 01 20.2600002960 -04 14 50.737092936|307.6640509753245 +58.5333313849102| -9.739 -14.147   |9.912    |F6/7V            |    ~     ~    |    1|  170.467   pc  |  -1.9520     +1.9520  |ST-L    |2020AJ....160...83S
61  |HD 113246                                                                                                |High Proper Motion Star             |13 02 25.8218767848 -04 00 02.018653524|308.2230870922267 +58.7582099288595|-145.182 -8.666   |9.62     |K1V              |    ~     ~    |    1|   67.420   pc  |  -0.0832     +0.0832  |paral   |2020yCat.1350....0G
62  |HD 113327                                                                                                |Star                                |13 03 00.6802496304 -04 00 40.807840644|308.4996013825026 +58.7352426027808| -20.367 11.462   |9.32     |G8IV             |    ~     ~    |    1|  199.900   pc  |  -1.5864     +1.5864  |paral   |2020yCat.1350....0G
63  |HD 113412                                                                                                |Star                                |13 03 34.9673402064 -03 56 48.570470844|308.7843676259563 +58.7868481309262| -12.719 27.661   |9.52     |G8IV             |    ~     ~    |    1|  329.554   pc  |  -1.5639     +1.5639  |paral   |2020yCat.1350....0G
64  |BD-03 3401                                                                                               |Star                                |13 04 05.2908359328 -04 00 37.608517836|309.0149050099579 +58.7118095962600| -7.512 -13.496   |10.21    |F8               |    ~     ~    |    1|  253.936   pc  |  -1.3477     +1.3477  |paral   |2020yCat.1350....0G
65  |HD 113675                                                                                                |Star                                |13 05 30.3516262320 -04 12 49.100856516|309.6511250526025 +58.4744557678946| -7.506 -12.859   |9.61     |F0Vn             |    ~     ~    |    1|  275.067   pc  |  -7.8310     +7.8310  |ST-L    |2020AJ....160...83S
66  |BD-03 3409                                                                                               |Red Giant Branch star               |13 07 02.3143660632 -04 02 40.271186004|310.4146358617675 +58.6003887259560|-107.243 -55.157  |9.73     |K2               |    ~     ~    |    1|  199.876   pc  |  -3.3950     +3.3950  |ST-L    |2020AJ....160...83S
67  |BD-03 3395                                                                                               |Star                                |13 02 31.8597826464 -04 38 04.475668776|308.1716357430340 +58.1242695948748|  -23.881 3.900   |9.12     |K2               |    ~     ~    |    1|  459.432   pc  |  -5.2347     +5.2347  |paral   |2020yCat.1350....0G
68  |HD 113286                                                                                                |High Proper Motion Star             |13 02 45.4213503384 -04 36 32.540367096|308.2819460324570 +58.1450795053069| -61.444 14.115   |8.67     |F2V              |    ~     ~    |    1|  130.444   pc  |  -0.4560     +0.4560  |paral   |2020yCat.1350....0G
69  |HD 113342                                                                                                |Star                                |13 03 05.8170261288 -04 17 11.224070808|308.4947253504064 +58.4593117255242| 16.904 -36.096   |9.10     |G6/8V            |    ~     ~    |    1|  220.226   pc  |  -0.8875     +0.8875  |paral   |2020yCat.1350....0G
70  |HD 113798                                                                                                |High Proper Motion Star             |13 06 13.3892726520 -04 18 38.673428076|309.9707949260053 +58.3587929147670|-104.749 -65.402  |8.290    |F7V              |    ~     ~    |    1|   92.883   pc  |  -0.7871     +0.7871  |ST-L    |2020AJ....160...83S
71  |HD 113830                                                                                                |Double or Multiple Star             |13 06 29.1886305288 -04 20 28.001880744|310.0887150201329 +58.3213697112871|   5.835 -9.051   |8.17     |K0III            |    ~     ~    |    1|  258.411   pc  |  -3.0717     +3.0717  |paral   |2020yCat.1350....0G
72  |HD 112978                                                                                                |High Proper Motion Star             |13 00 34.2485795448 -04 53 11.328482904|307.2169051619816 +57.9092626091955|-45.430 -47.167   |9.68     |G3V              |    ~     ~    |    1|  139.960   pc  |  -0.3330     +0.3330  |paral   |2020yCat.1350....0G
73  |BD-04 3395                                                                                               |High Proper Motion Star             |13 01 00.1688996280 -05 22 06.970133100|307.3563962289541 +57.4209521669816|22.912 -129.410   |9.887    |G0               |    ~     ~    |    1|  114.168   pc  |  -1.0970     +1.0970  |ST-L    |2020AJ....160...83S
74  |BD-04 3402                                                                                               |High Proper Motion Star             |13 02 29.8969061040 -05 19 19.139143548|308.0524055222840 +57.4397596919382| -72.794 13.494   |9.918    |G0               |    ~     ~    |    1|  163.756   pc  |  -2.0720     +2.0720  |ST-L    |2020AJ....160...83S
75  |HD 113254                                                                                                |Star                                |13 02 35.6555145000 -04 59 14.594523756|308.1471357792520 +57.7713463997214| -3.748 -13.429   |9.642    |F5/6V            |    ~     ~    |    1|  282.639   pc  | -11.4400    +11.4400  |ST-L    |2020AJ....160...83S
76  |V* PX Vir                                                                                                |BY Dra Variable                     |13 03 49.6546871 -05 09 42.517119      |308.6914692369 +57.5713186666      |-191.13 -218.73   |7.679    |K1V              |    ~     ~    |    1|   20.4571  pc  |  -0.3713     +0.3713  |paral   |2018yCat.1345....0G
77  |BD-04 3414                                                                                               |Star                                |13 05 31.9780276920 -05 11 29.614592112|309.4735806551888 +57.5010503827348|  -3.486 -3.689   |9.08     |K0               |    ~     ~    |    1|  789.889   pc  | -12.6033    +12.6033  |paral   |2020yCat.1350....0G
78  |HD 113772                                                                                                |Spectroscopic Binary                |13 06 03.8824713744 -05 08 07.226025792|309.7296746020472 +57.5432246313261|-54.428 -47.103   |8.06     |F0V              |    ~     ~    |    1|  162.602   pc  |  -5.5734     +5.5734  |paral   |2020yCat.1350....0G
79  |V* IS Vir                                                                                                |RS CVn Variable                     |13 06 26.0092106448 -04 50 45.306856248|309.9586813972484 +57.8210944438770| -3.488 -19.359   |8.432    |K0III            |    ~     ~    |    1|  247.930   pc  |  -2.1883     +2.1883  |paral   |2020yCat.1350....0G
80  |NGC 4915                           NGC 4915                                                              |Galaxy towards a Group of Galaxies  |13 01 28.228 -04 32 47.04              |307.684934 +58.232731              |            ~ ~   |     ~   |~                |1.070 0.899    |    1|   30.20    Mpc |                       |        |2016AJ....152...50T
81  |NGC 4890                           NGC 4890                                                              |Galaxy towards a Group of Galaxies  |13 00 39.1141956792 -04 36 16.381385676|307.2908525221898 +58.1891934492000|            ~ ~   |     ~   |~                |0.707 0.622    |    1|   45.30    Mpc |                       |redshift|2007ApJ...655..790C
82  |StKM 1-1041                                                                                              |High Proper Motion Star             |13 02 10.1716751904 -03 29 09.910635648|308.1789657730643 +59.2762854104679|-48.311 -29.764   |10.87    |K5               |    ~     ~    |    1|   79.266   pc  |  -0.6484     +0.6484  |paral   |2020yCat.1350....0G
83  |BD-04 3416                                                                                               |Star                                |13 05 51.28 -05 04 24.1                |309.64482 +57.61036                |            ~ ~   |10.0     |~                |    ~     ~    |    0|                |                       |        |                   
84  |BD-04 3392                                                                                               |Star                                |13 00 21.0660963984 -05 10 36.098492772|307.0788056848108 +57.6232689793123|  -2.063 21.383   |10.99    |~                |    ~     ~    |    1|  221.897   pc  |  -1.1325     +1.1325  |paral   |2020yCat.1350....0G
