C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:10:47

dec< 0&rah >=13.0&rah< 13.25&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 5348

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type    |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|-----------------|---------------|-----|----------------|-----------------------|--------|-------------------
1456|BD-18 3563                                                                                               |Star                                |13 14 50.8034447424 -18 58 27.083905824|310.5770951730696 +43.5497942786664| -17.673 -8.674   |10.629   |~                |    ~     ~    |    1|  469.347   pc  | -19.7500    +19.7500  |ST-L    |2020AJ....160...83S
1457|BD-18 3557                                                                                               |Star                                |13 12 32.9750375376 -18 49 17.793586884|309.8566121857223 +43.7660992971866| 27.880 -13.252   |10.215   |~                |    ~     ~    |    1|  223.900   pc  |  -3.2250     +3.2250  |ST-L    |2020AJ....160...83S
1458|HD 114403                                                                                                |High Proper Motion Star             |13 10 31.3898759280 -19 44 39.722839584|309.0669822768254 +42.8999165237967|-49.855 -40.193   |9.29     |F5V              |    ~     ~    |    1|  153.123   pc  |  -0.4783     +0.4783  |paral   |2020yCat.1350....0G
1459|HD 114467                                                                                                |Star                                |13 10 58.5180694224 -19 29 46.152246516|309.2466201353111 +43.1359167038306|   -2.047 1.842   |9.43     |K1III            |    ~     ~    |    1|  502.841   pc  |  -5.0823     +5.0823  |paral   |2020yCat.1350....0G
1460|HD 114559                                                                                                |Star                                |13 11 30.8935573416 -19 18 19.600199208|309.4478535843142 +43.3121484378850|  -6.237 -0.181   |9.74     |K2/3III          |    ~     ~    |    1|  614.931   pc  |  -7.2225     +7.2225  |paral   |2020yCat.1350....0G
1461|HD 114746                                                                                                |Spectroscopic Binary                |13 12 42.4932585696 -19 26 43.269018000|309.8106286041030 +43.1421239914955| -31.623 -4.782   |9.40     |F5V              |    ~     ~    |    1|  238.047   pc  |  -3.4350     +3.4350  |ST-L    |2020AJ....160...83S
1462|BD-18 3561                                                                                               |Star                                |13 13 16.6145761152 -19 45 13.690911240|309.9443388924618 +42.8203917468796|   -9.778 0.220   |9.72     |K0               |    ~     ~    |    1| 1259.129   pc  | -26.3177    +26.3177  |paral   |2020yCat.1350....0G
1463|HD 114892                                                                                                |Star                                |13 13 45.3306966240 -20 13 28.542533124|310.0216789365315 +42.3397199200067|   5.747 -8.113   |9.72     |K1III            |    ~     ~    |    1|  568.796   pc  | -11.1294    +11.1294  |paral   |2020yCat.1350....0G
1464|* 55 Vir                                                                                                 |High Proper Motion Star             |13 14 10.8951509520 -19 55 51.404410380|310.2035349898334 +42.6194526698974|-119.745 159.578  |5.33     |G7IV             |    ~     ~    |    1|   37.628   pc  |  -0.1179     +0.1179  |paral   |2020yCat.1350....0G
1465|HD 114595                                                                                                |Star                                |13 11 43.3726084248 -20 40 38.041806936|309.3155371392568 +41.9429453560905|  -39.907 9.350   |8.70     |G8III            |    ~     ~    |    1|  423.478   pc  |  -4.6806     +4.6806  |paral   |2020yCat.1350....0G
1466|HD 114828                                                                                                |Star                                |13 13 22.2781977120 -20 16 17.615253000|309.8932507694867 +42.3035282907421|  -45.932 1.566   |8.96     |K1/2III          |    ~     ~    |    1|  349.736   pc  |  -2.2995     +2.2995  |paral   |2020yCat.1350....0G
1467|HD 114483                                                                                                |Star                                |13 11 05.3830552920 -21 22 26.869415484|309.0224675206077 +41.2651010523086|-45.746 -14.125   |9.35     |G7III            |    ~     ~    |    1|  365.644   pc  |  -2.0589     +2.0589  |paral   |2020yCat.1350....0G
1468|HD 114596                                                                                                |Star                                |13 11 48.1975291104 -21 09 05.154931980|309.2734859831701 +41.4694150772761| 11.562 -27.615   |10.05    |F5/6V            |    ~     ~    |    1|  215.086   pc  |  -0.8558     +0.8558  |paral   |2020yCat.1350....0G
1469|HD 114662                                                                                                |Star                                |13 12 09.9234368544 -20 53 03.909742368|309.4238845162543 +41.7259036991618| -14.488 -4.274   |7.62     |K0IIICNII        |    ~     ~    |    1|  286.903   pc  |  -1.9344     +1.9344  |paral   |2020yCat.1350....0G
1470|HD 115049                                                                                                |Star                                |13 14 52.8135447864 -21 22 02.734750632|310.1894034331126 +41.1737430015006| -13.335 -0.551   |8.96     |K4III            |    ~     ~    |    1|  727.326   pc  | -13.0135    +13.0135  |paral   |2020yCat.1350....0G
1471|BD-20 3795                                                                                               |Star                                |13 14 57.4710633528 -20 52 51.022949628|310.2921164568887 +41.6545348543424|  -28.498 9.606   |9.61     |K0               |    ~     ~    |    1|  510.156   pc  | -16.9200    +16.9200  |ST-L    |2020AJ....160...83S
1472|NGC 5006                           NGC 5006                                                              |Galaxy towards a Group of Galaxies  |13 11 45.7713514368 -19 15 42.466312620|309.5342890406302 +43.3492407157832|            ~ ~   |     ~   |~                |0.997 0.738    |    1|   38.55    Mpc |                       |        |2016AJ....152...50T
1473|NGC 5022                           NGC 5022                                                              |Galaxy in Pair of Galaxies          |13 13 30.8022092664 -19 32 47.870776104|310.0527372843429 +43.0196867476495|            ~ ~   |     ~   |~                |1.587 0.317    |    1|   40.18    Mpc |  -3.98       +3.98    |T-F     |2020ApJ...902..145K
1474|CPD-19 5375                                                                                              |Star                                |13 11 00.5288649216 -19 50 23.175853260|309.2086760583441 +42.7933318598378|  -33.123 6.055   |10.91    |~                |    ~     ~    |    1|  678.650   pc  | -36.9900    +36.9900  |ST-L    |2020AJ....160...83S
1475|BD-18 3556                                                                                               |Star                                |13 12 04.5138571512 -19 33 46.772142660|309.5897058437485 +43.0418129325608|    6.857 1.629   |10.294   |~                |    ~     ~    |    1|  718.338   pc  | -27.9400    +27.9400  |ST-L    |2020AJ....160...83S
1476|BD-19 3650                                                                                               |Star                                |13 13 45.8101263312 -19 57 54.338608512|310.0654791558836 +42.5972086723866| -22.715 -1.827   |10.48    |~                |    ~     ~    |    1|  348.068   pc  |  -2.3867     +2.3867  |paral   |2020yCat.1350....0G
1477|CPD-19 5376                                                                                              |High Proper Motion Star             |13 11 31.1579877192 -20 18 49.310559648|309.3033502253196 +42.3094828433543|-66.823 -34.112   |10.61    |~                |    ~     ~    |    1|  194.923   pc  |  -2.2880     +2.2880  |ST-L    |2020AJ....160...83S
1478|CPD-19 5377                                                                                              |Double or Multiple Star             |13 11 53.705952 -20 37 56.36316        |309.375829250 +41.983321370        |     -4.5 -11.5   |10.428   |~                |    ~     ~    |    1|  193.114   pc  | +30.275      +2       |ST-L    |2017AJ....153...75K
1479|BD-20 3788                                                                                               |Star                                |13 12 16.3062330168 -21 18 34.765180524|309.3957106693516 +41.3004655456384|  -6.402 -0.536   |10.131   |~                |    ~     ~    |    1| 1282.690   pc  | -88.9100    +88.9100  |ST-L    |2020AJ....160...83S
1480|BD-20 3790                                                                                               |Star                                |13 13 27.3438059352 -21 16 16.384070244|309.7662422673306 +41.3081673821008| -6.840 -18.445   |10.879   |~                |    ~     ~    |    1|  316.375   pc  |  -7.9910     +7.9910  |ST-L    |2020AJ....160...83S
1481|BD-20 3791                                                                                               |High Proper Motion Star             |13 13 36.0429213264 -21 20 17.813187060|309.8007120043085 +41.2376922542923|-51.263 -14.582   |9.99     |~                |    ~     ~    |    1|  309.472   pc  |  -6.8260     +6.8260  |ST-L    |2020AJ....160...83S
1482|BD-18 3551                                                                                               |Star                                |13 10 52.1509777872 -19 14 27.002244948|309.2488228358670 +43.3924549098106| -19.426 -5.370   |10.751   |~                |    ~     ~    |    1|  800.608   pc  | -47.9200    +47.9200  |ST-L    |2020AJ....160...83S
1483|BD-18 3555                                                                                               |Star                                |13 11 31.8453872352 -19 19 56.423858520|309.4490111933190 +43.2850068942571|    1.591 0.394   |10.43    |~                |    ~     ~    |    1|  816.593   pc  | -12.0695    +12.0695  |paral   |2020yCat.1350....0G
1484|BD-19 3647                                                                                               |Star                                |13 11 58.6501258944 -20 33 58.989092724|309.4111308402447 +42.0468167998337| -4.681 -23.971   |10.184   |~                |    ~     ~    |    1|  510.078   pc  | -21.7800    +21.7800  |ST-L    |2020AJ....160...83S
1485|CPD-20 5747                                                                                              |Star                                |13 13 36.8461906128 -20 47 54.441824748|309.8875934345095 +41.7735913915839| -9.938 -14.022   |10.745   |~                |    ~     ~    |    1|  938.176   pc  | -52.5300    +52.5300  |ST-L    |2020AJ....160...83S
1486|BD-20 3792                                                                                               |Star                                |13 13 44.4801862200 -21 13 56.944946100|309.8601720766031 +41.3390324637785|  -13.131 1.333   |10.60    |~                |    ~     ~    |    1|  888.257   pc  | -21.0663    +21.0663  |paral   |2020yCat.1350....0G
1487|TYC 6116-826-1                                                                                           |Star                                |13 10 38.2526105640 -19 00 43.007835240|309.2063875945235 +43.6257695635248|  -18.343 8.906   |10.37    |~                |    ~     ~    |    1|  783.208   pc  | -10.4281    +10.4281  |paral   |2020yCat.1350....0G
1488|TYC 6116-1264-1                                                                                          |Star                                |13 11 03.6970122096 -19 57 36.406322136|309.2085298870645 +42.6723516805709|   -5.605 0.579   |10.773   |~                |    ~     ~    |    1| 1612.590   pc  |-151.8000   +151.8000  |ST-L    |2020AJ....160...83S
1489|TYC 6116-1459-1                                                                                          |Star                                |13 11 17.7312241896 -19 24 11.678131728|309.3629136884533 +43.2204065792826|-38.801 -10.952   |10.992   |~                |    ~     ~    |    1|  263.732   pc  |  -5.5860     +5.5860  |ST-L    |2020AJ....160...83S
1490|TYC 6119-826-1                                                                                           |Star                                |13 12 43.6744655568 -20 44 34.889763588|309.6198527183168 +41.8520881549906|  -28.764 4.658   |10.896   |~                |    ~     ~    |    1|  342.454   pc  |  -9.8220     +9.8220  |ST-L    |2020AJ....160...83S
1491|TYC 6119-1071-1                                                                                          |Star                                |13 10 25.4104866744 -20 47 01.836833532|308.8948101762723 +41.8679838012371|  -30.788 0.288   |10.526   |~                |    ~     ~    |    1|  525.705   pc  | -15.7100    +15.7100  |ST-L    |2020AJ....160...83S
1492|NGC 5018                           NGC 5018                                                              |Galaxy in Pair of Galaxies          |13 13 01.0452720960 -19 31 05.649751992|309.8984311053412 +43.0614218753091|            ~ ~   |     ~   |~                |1.603 1.283    |    1|   34.04    Mpc |                       |        |2016AJ....152...50T
1493|BD-21 3658                                                                                               |Star                                |13 09 24.1015503960 -21 50 53.894746788|308.4438378175501 +40.8311098958128|-20.262 -13.215   |10.042   |~                |    ~     ~    |    1|  605.336   pc  | -16.5800    +16.5800  |ST-L    |2020AJ....160...83S
1494|HD 114260                                                                                                |Spectroscopic Binary                |13 09 42.5556976767 -22 11 33.180584020|308.4953575094798 +40.4817404294199|156.106 -345.899  |7.37     |G8V              |    ~     ~    |    1|   26.405   pc  |  -0.0470     +0.0470  |ST-L    |2020AJ....160...83S
1495|HD 114039                                                                                                |Double or Multiple Star             |13 08 07.26233 -23 35 18.9559          |307.86061538 +39.12343958          |   -31.44 -2.00   |8.38     |F6IV/V           |0.0033  0.0    |    0|                |                       |        |                   
1496|HD 114086                                                                                                |Star                                |13 08 32.7395652312 -23 40 45.677160588|307.9755676916120 +39.0247962471008| 18.357 -16.944   |8.85     |A0III/IV         |    ~     ~    |    1|  270.629   pc  |  -2.2411     +2.2411  |paral   |2020yCat.1350....0G
1497|HD 114098                                                                                                |High Proper Motion Star             |13 08 39.3583659624 -23 06 23.417773776|308.0718762507849 +39.5933424890572|-122.425 -53.401  |6.69     |K1III            |    ~     ~    |    1|  103.209   pc  |  -0.2695     +0.2695  |paral   |2020yCat.1350....0G
1498|* psi Hya                                                                                                |Star                                |13 09 03.2659754016 -23 07 04.957919256|308.1889849256527 +39.5738151503867|-20.533 -46.131   |4.934    |K0III            |    ~     ~    |    1|   71.278   pc  |  -0.5604     +0.5604  |paral   |2020yCat.1350....0G
1499|HD 114180                                                                                                |Star                                |13 09 14.8025278704 -23 12 36.216215028|308.2354247794048 +39.4782277819938| 12.942 -29.239   |8.702    |F3III            |    ~     ~    |    1|  167.191   pc  |  -1.7660     +1.7660  |ST-L    |2020AJ....160...83S
1500|HD 114192                                                                                                |Spectroscopic Binary                |13 09 18.3706873992 -23 26 58.136325684|308.2252955856487 +39.2385445561326|-42.032 -24.212   |9.767    |F5V              |    ~     ~    |    1|  237.205   pc  |  -6.7030     +6.7030  |ST-L    |2020AJ....160...83S
1501|HD 114205                                                                                                |High Proper Motion Star             |13 09 26.4049367472 -22 51 08.185454748|308.3349030856750 +39.8305409483316|-49.164 -26.971   |8.18     |K0III            |    ~     ~    |    1|  245.158   pc  |  -1.4364     +1.4364  |paral   |2020yCat.1350....0G
1502|HD 114303                                                                                                |Star                                |13 10 00.3990632640 -23 10 36.989863752|308.4646731673438 +39.4952420130421| 11.204 -17.284   |9.28     |G6V              |    ~     ~    |    1|   69.250   pc  |  -0.2820     +0.2820  |ST-L    |2020AJ....160...83S
1503|HD 114312                                                                                                |Star                                |13 10 09.4330939512 -23 24 54.072029484|308.4803876961614 +39.2549733200492|-20.778 -16.713   |8.08     |A8V              |    ~     ~    |    1|  119.960   pc  |  -0.4332     +0.4332  |paral   |2020yCat.1350....0G
1504|HD 114116                                                                                                |High Proper Motion Star             |13 08 39.8622911136 -23 49 19.417175544|307.9946539841845 +38.8802885383760| -115.373 4.985   |7.54     |F5/6V            |    ~     ~    |    1|   83.664   pc  |  -0.5166     +0.5166  |paral   |2020yCat.1350....0G
1505|NGC 4993                           NGC 4994                           NGC 4993                           |Galaxy towards a Group of Galaxies  |13 09 47.6908761600 -23 23 02.314044636|308.3771758224349 +39.2936062752428|            ~ ~   |     ~   |~                |0.887 0.798    |    1|   39.57    Mpc |                       |redshift|2007ApJ...655..790C
1506|NGC 4970                           NGC 4970                                                              |Galaxy towards a Group of Galaxies  |13 07 33.7182596040 -24 00 30.683451384|307.6526448119586 +38.7153844840623|            ~ ~   |     ~   |~                |1.217 0.608    |    1|   39.81    Mpc |                       |        |2016AJ....152...50T
1507|BD-22 3509                                                                                               |Star                                |13 08 10.7593484760 -23 42 48.398850756|307.8643179878010 +38.9979158031687| 42.872 -20.339   |10.684   |~                |    ~     ~    |    1|  139.500   pc  |  -1.4390     +1.4390  |ST-L    |2020AJ....160...83S
1508|BD-21 3656                                                                                               |Star                                |13 08 45.5650451760 -22 38 26.977869672|308.1556807577346 +40.0551660493423| -0.394 -39.308   |10.46    |~                |    ~     ~    |    1|  210.588   pc  |  -0.8337     +0.8337  |paral   |2020yCat.1350....0G
1509|BD-22 3514                                                                                               |High Proper Motion Star             |13 08 57.3858186240 -22 55 14.659298544|308.1825009237305 +39.7723420080601| 46.245 -39.562   |10.42    |~                |    ~     ~    |    1|  165.695   pc  |  -0.4777     +0.4777  |paral   |2020yCat.1350....0G
1510|BD-21 3655                                                                                               |Star                                |13 08 01.3619399664 -22 15 26.877740580|307.9767595148978 +40.4517705710402| -24.771 -5.717   |10.36    |~                |    ~     ~    |    1|  695.943   pc  |  -7.9431     +7.9431  |paral   |2020yCat.1350....0G
1511|HD 114979                                                                                                |Star                                |13 14 23.6608629696 -21 30 04.174089120|310.0192096563856 +41.0544636597985| -14.445 -9.681   |10.023   |A9V              |    ~     ~    |    1|  237.832   pc  |  -3.9660     +3.9660  |ST-L    |2020AJ....160...83S
1512|HD 114431                                                                                                |Double or Multiple Star             |13 10 47.9164848714 -22 12 08.510281041|308.8240207333491 +40.4477821586760| -74.360 30.735   |9.41     |G2/3V            |    ~     ~    |    1|  149.959   pc  |  -8.6914     +8.6914  |paral   |2018yCat.1345....0G
1513|HD 114363                                                                                                |Star                                |13 10 25.0530489624 -22 22 17.547052944|308.6872080600102 +40.2880156402724| 10.587 -30.166   |8.29     |K0III            |    ~     ~    |    1|  291.579   pc  |  -6.5660     +6.5660  |ST-L    |2020AJ....160...83S
1514|HD 114815                                                                                                |Star                                |13 13 21.6595140432 -22 39 24.749801784|309.5325655176503 +39.9337316893395|    8.931 3.593   |9.670    |A9/F0V           |    ~     ~    |    1|  187.715   pc  |  -2.4110     +2.4110  |ST-L    |2020AJ....160...83S
1515|HD 114893                                                                                                |High Proper Motion Star             |13 13 51.4880589792 -22 33 10.781308260|309.6965617444872 +40.0240841648216| -81.222 18.093   |9.75     |K0III            |    ~     ~    |    1|  265.562   pc  |  -1.3752     +1.3752  |paral   |2020yCat.1350....0G
1516|HD 114917                                                                                                |Star                                |13 14 01.4881729224 -22 21 44.789134464|309.7750149468610 +40.2090000613629|  3.359 -37.787   |8.05     |F2IV/V           |    ~     ~    |    1|  131.679   pc  |  -0.4508     +0.4508  |paral   |2020yCat.1350....0G
1517|HD 114345                                                                                                |Star                                |13 10 21.2592694176 -23 37 28.732728432|308.5129477642595 +39.0420233284092|  11.104 -3.302   |7.77     |A0V              |    ~     ~    |    1|  204.905   pc  |  -1.2554     +1.2554  |paral   |2020yCat.1350....0G
1518|BD-22 3525                                                                                               |Spectroscopic Binary                |13 11 17.4376405800 -23 35 25.455901128|308.7921022949862 +39.0553407355542| 15.186 -19.369   |9.91     |G0               |    ~     ~    |    1|  309.792   pc  |  -5.4250     +5.4250  |ST-L    |2020AJ....160...83S
1519|BD-22 3528                                                                                               |High Proper Motion Star             |13 12 20.9118025056 -23 20 06.435221388|309.1369772213511 +39.2845575853450|-248.538 148.655  |9.77     |K3.5Vk:          |    ~     ~    |    1|   39.631   pc  |  -0.1313     +0.1313  |ST-L    |2020AJ....160...83S
1520|HD 114728                                                                                                |Star                                |13 12 44.6310233856 -22 58 29.769911148|309.3034670598928 +39.6330785341117|  -24.097 0.731   |10.248   |A3/5II(p)        |    ~     ~    |    1|  340.294   pc  |  -8.1560     +8.1560  |ST-L    |2020AJ....160...83S
1521|HD 114803                                                                                                |Star                                |13 13 12.1012234248 -22 55 59.546010180|309.4454190544885 +39.6631311428316|-33.073 -16.374   |7.94     |K4/5III          |    ~     ~    |    1|  351.148   pc  |  -2.5647     +2.5647  |paral   |2020yCat.1350....0G
1522|HD 114346                                                                                                |High Proper Motion Star             |13 10 20.8092244776 -23 51 40.011717060|308.4820896593939 +38.8067724598254|  -64.969 6.049   |8.65     |F2/3V            |    ~     ~    |    1|  164.227   pc  |  -2.2860     +2.2860  |ST-L    |2020AJ....160...83S
1523|HD 114383                                                                                                |Star                                |13 10 30.2356510584 -23 55 33.437292384|308.5200880420097 +38.7388296133274| -14.825 -1.033   |9.12     |K0III            |    ~     ~    |    1|  436.205   pc  |  -8.7146     +8.7146  |paral   |2020yCat.1350....0G
1524|HD 115064                                                                                                |Star                                |13 14 55.2294016344 -23 51 08.305311456|309.8168029574940 +38.7053135293563|   2.985 -5.969   |7.77     |K5III            |    ~     ~    |    1|  464.511   pc  |  -4.2723     +4.2723  |paral   |2020yCat.1350....0G
1525|BD-22 3529                                                                                               |Star                                |13 12 37.8119170680 -23 21 23.019899652|309.2171259947313 +39.2565852278571| -1.823 -14.642   |10.838   |K1:              |    ~     ~    |    1|  246.156   pc  |  -3.8500     +3.8500  |ST-L    |2020AJ....160...83S
1526|BD-21 3665                                                                                               |Star                                |13 10 58.2837160704 -21 53 39.218559216|308.9168071958885 +40.7504170181169|   9.849 -2.705   |10.48    |~                |    ~     ~    |    1|  281.658   pc  |  -2.2133     +2.2133  |paral   |2020yCat.1350....0G
1527|BD-21 3666                                                                                               |Star                                |13 12 09.2434885344 -21 58 25.302654120|309.2658396590467 +40.6431375214715|-10.777 -19.316   |10.42    |~                |    ~     ~    |    1|  700.525   pc  |  -8.2444     +8.2444  |paral   |2020yCat.1350....0G
1528|BD-22 3533                                                                                               |High Proper Motion Star             |13 12 54.1669141128 -22 53 45.178557504|309.3617934054086 +39.7077294166539|-49.111 -41.872   |9.990    |~                |    ~     ~    |    1|  180.540   pc  |  -1.8670     +1.8670  |ST-L    |2020AJ....160...83S
1529|BD-21 3671                                                                                               |Star                                |13 13 42.3724860888 -22 28 23.854895508|309.6627983764925 +40.1072454699935| 12.214 -17.919   |10.68    |~                |    ~     ~    |    1|  511.091   pc  |  -4.2317     +4.2317  |paral   |2020yCat.1350....0G
1530|WT 1999                                                                                                  |High Proper Motion Star             |13 10 21.7348026216 -22 39 11.894189436|308.6351244530019 +40.0087870083027|-148.024 -81.701  |10.67    |~                |    ~     ~    |    1|   87.698   pc  |  -0.4641     +0.4641  |ST-L    |2020AJ....160...83S
1531|BD-22 3523                                                                                               |Star                                |13 10 23.9726067432 -22 58 37.779863016|308.6058970196028 +39.6855939069346|  6.896 -10.172   |10.3     |~                |    ~     ~    |    1| 1368.176   pc  | -41.1819    +41.1819  |paral   |2020yCat.1350....0G
1532|TYC 6119-581-1                                                                                           |Star                                |13 10 47.2880123352 -21 59 20.738786280|308.8485779974806 +40.6602481175610|-14.495 -13.951   |10.368   |~                |    ~     ~    |    1| 1904.050   pc  |-213.1000   +213.1000  |ST-L    |2020AJ....160...83S
1533|BD-21 3663                                                                                               |Star                                |13 10 48.0035616216 -22 31 58.913034744|308.7817876594174 +40.1186878195801|    1.025 0.644   |9.78     |~                |    ~     ~    |    1| 1187.648   pc  | -40.3406    +40.3406  |paral   |2020yCat.1350....0G
1534|BD-21 3668                                                                                               |Star                                |13 12 46.0051094304 -21 53 14.937257076|309.4643330595427 +40.7135765399098|  -4.144 -3.290   |9.84     |~                |    ~     ~    |    1| 1430.411   pc  | -51.3565    +51.3565  |paral   |2020yCat.1350....0G
1535|TYC 6118-102-1                                                                                           |Star                                |13 07 42.3364141248 -22 10 51.899849544|307.8890169873905 +40.5340348325962| -37.546 21.567   |10.602   |~                |    ~     ~    |    1|  201.672   pc  |  -2.7070     +2.7070  |ST-L    |2020AJ....160...83S
1536|TYC 6119-120-1                                                                                           |Star                                |13 09 37.1353267632 -22 25 48.651598056|308.4391133516322 +40.2470737370302|  -4.142 -4.965   |10.637   |~                |    ~     ~    |    1|  695.946   pc  | -26.1900    +26.1900  |ST-L    |2020AJ....160...83S
1537|TYC 6119-246-1                                                                                           |Star                                |13 12 19.4120789592 -22 20 28.690891296|309.2659010729608 +40.2734412822212|  -11.518 2.094   |10.680   |~                |    ~     ~    |    1| 2254.290   pc  |-281.2000   +281.2000  |ST-L    |2020AJ....160...83S
1538|TYC 6119-260-1                                                                                           |Star                                |13 14 56.1319375560 -22 22 13.182363372|310.0475544380810 +40.1765446114749|  -27.628 9.960   |10.195   |~                |    ~     ~    |    1|  760.190   pc  | -53.8300    +53.8300  |ST-L    |2020AJ....160...83S
1539|TYC 6119-367-1                                                                                           |High Proper Motion Star             |13 09 21.8239935984 -22 20 43.974470112|308.3722918313349 +40.3367649292980| 47.977 -35.815   |10.738   |~                |    ~     ~    |    1|  241.354   pc  |  -3.3340     +3.3340  |ST-L    |2020AJ....160...83S
1540|TYC 6119-911-1                                                                                           |Star                                |13 12 27.3012149760 -21 56 44.454952176|309.3612328140862 +40.6635480219336| -15.500 -9.350   |10.739   |~                |    ~     ~    |    1|  908.873   pc  | -39.4500    +39.4500  |ST-L    |2020AJ....160...83S
1541|TYC 6699-155-1                                                                                           |High Proper Motion Star             |13 12 16.2048983328 -23 28 46.523886276|309.0943962360777 +39.1427591082015|-62.487 -50.157   |10.84    |~                |    ~     ~    |    1|   93.552   pc  |  -0.6323     +0.6323  |ST-L    |2020AJ....160...83S
1542|TYC 6699-439-1                                                                                           |Star                                |13 08 24.6960394296 -23 37 29.287736760|307.9421594049719 +39.0817644285890|  -45.801 2.382   |10.41    |~                |    ~     ~    |    1|  590.110   pc  |  -7.5218     +7.5218  |paral   |2020yCat.1350....0G
1543|TYC 6699-497-1                                                                                           |Star                                |13 13 27.3638524536 -23 36 09.992008584|309.4255071642867 +38.9911954410127|  -12.532 2.430   |10.747   |~                |    ~     ~    |    1|  908.753   pc  | -46.8900    +46.8900  |ST-L    |2020AJ....160...83S
1544|TYC 6699-544-1                                                                                           |Star                                |13 09 28.2834192552 -24 14 54.194773056|308.1818997995860 +38.4394613746586|  -17.462 7.037   |10.518   |~                |    ~     ~    |    1|  641.986   pc  | -23.2300    +23.2300  |ST-L    |2020AJ....160...83S
1545|TYC 6699-942-1                                                                                           |Star                                |13 12 50.2970588887 -22 43 21.991386282|309.3669316909999 +39.8814290397215| -35.433 -5.572   |10.846   |~                |    ~     ~    |    1|  268.348   pc  |  -6.3657     +6.3657  |paral   |2020yCat.1350....0G
1546|TYC 6699-974-1                                                                                           |Star                                |13 08 01.3274174640 -22 30 57.699821700|307.9479626841947 +40.1941426477958|  -11.197 0.228   |10.27    |~                |    ~     ~    |    1|  648.845   pc  |  -7.1149     +7.1149  |paral   |2020yCat.1350....0G
1547|TYC 6699-1112-1                                                                                          |Star                                |13 09 53.7875568264 -23 01 03.557007444|308.4511955775475 +39.6561969792276| -11.795 -5.214   |10.241   |~                |    ~     ~    |    1|  659.246   pc  | -19.9400    +19.9400  |ST-L    |2020AJ....160...83S
1548|CD-23 10931                                                                                              |Star                                |13 09 51.4679769840 -24 34 01.079576940|308.2569522919470 +38.1142540536629|  -21.788 6.515   |10.516   |~                |    ~     ~    |    1|  655.715   pc  | -26.0800    +26.0800  |ST-L    |2020AJ....160...83S
1549|HD 114048                                                                                                |Star                                |13 08 14.4360097296 -25 14 10.198043520|307.7213666161042 +37.4792742910360|-16.561 -33.255   |9.14     |K0III            |    ~     ~    |    1|  414.594   pc  |  -3.1971     +3.1971  |paral   |2020yCat.1350....0G
1550|HD 114181                                                                                                |Star                                |13 09 16.6239855768 -25 12 46.856204532|308.0181656836016 +37.4824918788568| -23.258 -4.044   |9.24     |G8/K0IV          |    ~     ~    |    1|  486.481   pc  | -15.8200    +15.8200  |ST-L    |2020AJ....160...83S
1551|HD 114244                                                                                                |High Proper Motion Star             |13 09 36.8444506752 -24 44 23.254310436|308.1671617287260 +37.9471212317993|  -53.316 1.028   |8.74     |K1III            |    ~     ~    |    1|  315.788   pc  |  -8.1510     +8.1510  |ST-L    |2020AJ....160...83S
1552|HD 114333                                                                                                |High Proper Motion Star             |13 10 11.3087105544 -25 32 14.946298332|308.2395749225054 +37.1409475951495|-53.734 -14.738   |7.94     |G8III/IV         |    ~     ~    |    1|  153.425   pc  |  -1.6660     +1.6660  |ST-L    |2020AJ....160...83S
1553|CD-24 10733                                                                                              |Double or Multiple Star             |13 08 56.432 -25 02 56.87              |307.940312 +37.652351              |       -6.8 0.0   |10.513   |~                |    ~     ~    |    1|  205.512   pc  | +45.357      +8       |ST-L    |2017AJ....153...75K
1554|CD-24 10719                                                                                              |High Proper Motion Star             |13 07 41.4415069728 -25 11 07.570482252|307.5702494878876 +37.5398931524841|  -76.415 2.061   |10.95    |~                |    ~     ~    |    1|  211.712   pc  |  -0.8785     +0.8785  |paral   |2020yCat.1350....0G
1555|CD-24 10726                                                                                              |Star                                |13 08 08.2000760520 -25 16 16.762777248|307.6882334292198 +37.4461595703800|   -3.933 4.335   |10.76    |~                |    ~     ~    |    1| 1716.444   pc  | -65.1105    +65.1105  |paral   |2020yCat.1350....0G
1556|HD 114993                                                                                                |Double or Multiple Star             |13 14 27.5334196560 -24 17 03.431593932|309.6194969080929 +38.2883444901915| -79.634 14.783   |6.68     |F0V              |0.0033  0.0    |    1|   95.119   pc  |  -2.6483     +2.6483  |paral   |2020yCat.1350....0G
1557|CD-23 10952                                                                                              |Star                                |13 12 04.1618761944 -24 33 14.914815804|308.8945442219772 +38.0786259069096|   6.099 -4.872   |10.39    |~                |    ~     ~    |    1|  696.040   pc  |  -8.0422     +8.0422  |paral   |2020yCat.1350....0G
1558|HD 114597                                                                                                |Star                                |13 11 54.0281814720 -24 34 08.620315464|308.8440936550439 +38.0676715273510|   -2.680 0.214   |7.96     |K1/2III          |    ~     ~    |    1|  468.296   pc  |  -5.2194     +5.2194  |paral   |2020yCat.1350....0G
