C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
710 |BD+49 664                                                                                                |Star                          |02 27 29.4675706848 +49 43 32.154280428|138.4369746561768 -10.2324036831652| -2.863 -12.851   |9.43     |K0                |    ~     ~    
711 |HD 15254                                                                                                 |Star                          |02 28 54.5798649048 +49 40 48.305963640|138.6705716517234 -10.1896843360822|  -5.459 -5.600   |8.00     |K0                |    ~     ~    
712 |HD 14163                                                                                                 |Star                          |02 18 55.0126512792 +48 54 55.000188180|137.3974076465127 -11.4839161082761| 17.204 -30.392   |8.49     |A3                |    ~     ~    
713 |HD 14221                                                                                                 |High Proper Motion Star       |02 19 22.6777319784 +48 57 19.657981440|137.4561881627235 -11.4204365983805| -98.856 73.884   |6.410    |F4V               |    ~     ~    
714 |HD 14271                                                                                                 |Star                          |02 19 58.5195515928 +49 15 04.241458080|137.4471464572779 -11.1091011746041|-11.173 -12.178   |8.94     |A2                |    ~     ~    
715 |HD 14393                                                                                                 |High Proper Motion Star       |02 21 00.3417741264 +49 21 38.191581144|137.5695492420862 -10.9486332360834| -7.414 -54.797   |8.51     |G0                |    ~     ~    
716 |HD 14407                                                                                                 |Star                          |02 21 05.8875235416 +48 48 20.854252548|137.7796070946977 -11.4639897159073|   3.466 -6.213   |8.61     |B9                |    ~     ~    
717 |HD 14560                                                                                                 |Star                          |02 22 42.8276251584 +48 56 13.301697084|137.9868123146976 -11.2482645434068| 12.391 -13.751   |8.74     |A2                |    ~     ~    
718 |BD+48 658                                                                                                |Star                          |02 23 23.6042146008 +49 01 55.411047444|138.0589485821565 -11.1199864362474|  -0.504 -3.014   |8.76     |B2                |    ~     ~    
719 |HD 14648                                                                                                 |Star                          |02 23 25.3073231376 +49 10 55.296918012|138.0092524756701 -10.9780953494896|    1.619 1.677   |7.65     |G5                |    ~     ~    
720 |BD+48 661                                                                                                |Star                          |02 23 27.7287160032 +49 03 06.731136036|138.0625298135520 -11.0974689861039|  -0.145 -4.399   |9.51     |A0                |    ~     ~    
721 |BD+48 662                                                                                                |Variable Star                 |02 23 45.1558420008 +49 20 19.358082636|138.0040518154660 -10.8124547873215|   0.374 -2.852   |9.26     |B8                |    ~     ~    
722 |HIP 11170                                                                                                |Star                          |02 23 47.7446395680 +49 20 44.622252636|138.0082018671346 -10.8033980552952|  -4.092 -9.631   |9.73     |~                 |    ~     ~    
723 |BD+48 663                                                                                                |Star                          |02 23 51.2660491632 +48 54 51.768435240|138.1736337530732 -11.2031266083053|   2.475 -3.422   |8.95     |M0                |    ~     ~    
724 |BD+48 664                                                                                                |Star                          |02 23 53.0542657560 +49 25 24.692696292|137.9937570329850 -10.7255619058241|  -2.920 -3.149   |10.30    |A0                |    ~     ~    
725 |BD+48 665                                                                                                |Star                          |02 24 13.0549269624 +48 52 06.050299332|138.2472233488078 -11.2248399451114|  -1.954 -8.822   |9.42     |A0                |    ~     ~    
726 |BD+48 668                                                                                                |Star                          |02 25 17.6954087328 +49 03 29.373447060|138.3459254550140 -10.9841812088282|   -0.327 4.626   |8.97     |K0                |    ~     ~    
727 |HD 14932                                                                                                 |Double or Multiple Star       |02 26 04.952 +49 13 40.74              |138.405530 -10.779228              |     30.4 -20.0   |8.5      |A5                |    ~     ~    
728 |BD+48 671                                                                                                |Star                          |02 26 32.7946107624 +49 02 06.179361504|138.5491135414472 -10.9312162682378|  -3.616 -2.643   |9.32     |K0                |    ~     ~    
729 |BD+48 673                                                                                                |Star                          |02 26 50.4212753952 +49 23 56.756621832|138.4590219329092 -10.5748466007459|   5.204 -8.520   |10.45    |K0                |    ~     ~    
730 |BD+48 677                                                                                                |Star                          |02 28 16.9319201448 +48 54 02.332279116|138.8692676480199 -10.9511555022807|   4.673 -6.238   |9.26     |A0                |    ~     ~    
731 |HD 15226                                                                                                 |Star                          |02 28 39.8095120248 +49 18 23.597948016|138.7744514428858 -10.5511830203920|   -4.199 0.622   |8.64     |A0                |    ~     ~    
732 |HD 15241                                                                                                 |High Proper Motion Star       |02 28 49.1418917496 +49 34 01.221058848|138.6995929420175 -10.3000779357214|-47.468 -52.767   |8.61     |K0                |    ~     ~    
733 |BD+48 682                                                                                                |Star                          |02 28 50.1510462720 +49 36 40.796630244|138.6853645030411 -10.2579321086995|    0.415 0.154   |8.99     |M                 |    ~     ~    
734 |BD+48 683                                                                                                |Star                          |02 29 00.1083692808 +49 04 59.749489920|138.9114505166222 -10.7376917161711|  31.120 -6.531   |9.65     |F2                |    ~     ~    
735 |BD+48 685                                                                                                |Star                          |02 29 40.1483852664 +49 07 55.808546988|138.9958005932393 -10.6513791261241|    1.592 2.638   |9.33     |K2                |    ~     ~    
736 |HD 14572                                                                                                 |Star                          |02 22 43.4516789784 +48 22 43.051181736|138.1891923695042 -11.7702702437118|  -5.503 -0.144   |9.13     |A0                |    ~     ~    
737 |HD 14751                                                                                                 |Star                          |02 24 11.9602679664 +48 26 42.675552888|138.3987253629392 -11.6210983310020|   1.369 -8.961   |8.92     |A0                |    ~     ~    
738 |BD+47 622                                                                                                |Star                          |02 24 40.4265699720 +48 38 09.410367732|138.4037421069367 -11.4148653376740|   2.809 -8.534   |9.17     |M0                |    ~     ~    
739 |LEE 246                                                                                                  |Carbon Star                   |02 22 14.1699624384 +50 05 04.524014472|137.5036128180016 -10.2006394533019|  -1.627 -1.047   |10.64    |C5+,4:            |    ~     ~    
740 |BD+47 623                                                                                                |Star                          |02 24 45.5955704568 +48 10 47.639795700|138.5848338301591 -11.8352475031688|    7.804 4.047   |9.88     |K2                |    ~     ~    
741 |HD 14865                                                                                                 |Star                          |02 25 22.3100622984 +48 04 02.455669164|138.7236839566884 -11.9033039374239|   -3.820 0.939   |9.01     |F8                |    ~     ~    
742 |HD 14873                                                                                                 |Chemically Peculiar Star      |02 25 29.9404976712 +47 59 11.708770992|138.7738783506081 -11.9708545588086| -12.175 -0.432   |9.08     |A5pSrCr           |    ~     ~    
743 |IRC +50063                                                                                               |Long-Period Variable          |02 28 41.5161563616 +48 30 42.252660324|139.0809182788363 -11.2868508398212|   0.203 -6.888   |10.59    |~                 |    ~     ~    
744 |IRAS 02259+4831                                                                                          |Long-Period Variable Candidate|02 29 15.0379801704 +48 44 38.044631292|139.0795440834860 -11.0370089993508|    2.829 1.477   |10.69    |~                 |    ~     ~    
745 |StKM 1-259                                                                                               |Star                          |02 22 33.8194527768 +49 20 34.871642880|137.8180136454510 -10.8767967234741|   1.443 -3.372   |10.77    |K4                |    ~     ~    
746 |HD 13785                                                                                                 |Star                          |02 15 47.7533025024 +49 42 03.800455380|136.6421646747597 -10.9117814251354| -14.928 -7.554   |8.40     |G5                |    ~     ~    
747 |HD 13867                                                                                                 |Be Star                       |02 16 35.9953510392 +49 49 11.545139316|136.7274538153153 -10.7569878004507|   1.702 -3.538   |7.71     |B5IIIe            |    ~     ~    
748 |BD+48 636                                                                                                |High Proper Motion Star       |02 15 36.4505159904 +49 21 45.984865464|136.7250838409474 -11.2415499105941|-52.898 -54.500   |9.23     |G5                |    ~     ~    
749 |HD 13786                                                                                                 |Star                          |02 15 43.1324234232 +49 32 57.490749240|136.6805607116231 -11.0593067375609|   6.079 -3.648   |9.27     |A0                |    ~     ~    
750 |BD+49 621                                                                                                |Star                          |02 18 22.5195592440 +49 54 19.259438328|136.9731923802312 -10.5813436713141|    1.390 0.508   |8.80     |K5                |    ~     ~    
751 |HD 14188                                                                                                 |Star                          |02 19 14.0852918928 +50 08 37.874722992|137.0237036722658 -10.3102887348867| 39.200 -22.100   |7.22     |K5                |    ~     ~    
752 |TYC 3298-3-1                                                                                             |Star                          |02 17 51.6805181928 +48 15 09.846297828|137.4574338076167 -12.1665450707426| -46.792 -3.562   |10.15    |~                 |    ~     ~    
753 |TYC 3298-71-1                                                                                            |Star                          |02 19 52.0254582432 +48 38 51.521303256|137.6405952181027 -11.6823438521114|-14.965 -24.330   |10.96    |~                 |    ~     ~    
754 |TYC 3298-87-1                                                                                            |Star                          |02 22 02.0687757936 +48 21 04.814914824|138.0894180403780 -11.8360724956537|   3.017 -3.273   |10.86    |~                 |    ~     ~    
755 |TYC 3298-177-1                                                                                           |High Proper Motion Star       |02 19 30.5518588752 +48 08 25.843375968|137.7606296183277 -12.1792550659568| 59.345 -10.518   |10.65    |~                 |    ~     ~    
756 |TYC 3298-213-1                                                                                           |Star                          |02 17 30.4308422784 +48 30 52.904913264|137.3111812974628 -11.9393356869900|    4.152 6.394   |9.74     |~                 |    ~     ~    
757 |TYC 3298-217-1                                                                                           |Star                          |02 19 17.4110200344 +48 35 12.067170360|137.5702849591000 -11.7721642318698|    0.921 1.218   |10.75    |~                 |    ~     ~    
758 |TYC 3298-223-1                                                                                           |Star                          |02 25 05.2802905464 +48 44 38.835409164|138.4290815170728 -11.2893360453612|   1.349 -0.648   |10.38    |~                 |    ~     ~    
759 |TYC 3298-287-1                                                                                           |Star                          |02 15 27.9733350384 +48 40 17.235280740|136.9327267185716 -11.9026693867145|  -29.629 9.055   |10.94    |~                 |    ~     ~    
760 |TYC 3298-323-1                                                                                           |High Proper Motion Star       |02 17 07.1059353624 +48 28 12.597110868|137.2642555019811 -12.0027705174252|-33.954 -82.556   |10.42    |~                 |    ~     ~    
761 |TYC 3298-443-1                                                                                           |Star                          |02 15 40.3582754664 +48 39 52.411952016|136.9679479737791 -11.8980619875852|    3.789 1.588   |10.89    |~                 |    ~     ~    
762 |TYC 3298-465-1                                                                                           |High Proper Motion Star       |02 18 53.7684314376 +48 40 31.030359888|137.4770303260383 -11.7109053084329|117.112 -64.028   |10.28    |~                 |    ~     ~    
763 |TYC 3298-467-1                                                                                           |Star                          |02 16 58.8365499840 +48 20 42.896896404|137.2846176395921 -12.1281931785926|   1.231 -1.762   |10.86    |~                 |    ~     ~    
764 |TYC 3298-551-1                                                                                           |Star                          |02 24 33.5889586896 +48 18 35.824353120|138.5052948997515 -11.7258832818281|   -6.923 1.045   |9.86     |~                 |    ~     ~    
765 |TYC 3298-631-1                                                                                           |Star                          |02 23 48.2602527504 +48 18 12.993119136|138.3877987145557 -11.7767671029296|   -3.131 0.511   |9.44     |~                 |    ~     ~    
766 |TYC 3298-667-1                                                                                           |Star                          |02 20 34.4511163488 +48 38 58.240866768|137.7519450551969 -11.6404970286236|  -2.241 47.064   |10.92    |~                 |    ~     ~    
767 |TYC 3298-687-1                                                                                           |High Proper Motion Star       |02 22 14.7136198200 +48 19 54.105419892|138.1299640680092 -11.8421909291331| 82.655 -25.736   |9.58     |~                 |    ~     ~    
768 |TYC 3298-731-1                                                                                           |Star                          |02 23 26.8716190632 +48 11 03.881013648|138.3744876759320 -11.9092842575918| 17.412 -10.311   |9.73     |~                 |    ~     ~    
769 |TYC 3298-753-1                                                                                           |Star                          |02 17 00.2867690736 +48 31 00.848833896|137.2302336109095 -11.9649383319516|-24.987 -15.074   |9.83     |~                 |    ~     ~    
770 |TYC 3298-771-1                                                                                           |Star                          |02 20 30.3094195512 +47 59 05.727990768|137.9751911837971 -12.2682768080550| -6.803 -14.002   |10.00    |~                 |    ~     ~    
771 |TYC 3298-833-1                                                                                           |Star                          |02 23 08.4540489360 +48 22 02.744956416|138.2593600806121 -11.7562908400245| 19.234 -15.460   |10.21    |~                 |    ~     ~    
772 |TYC 3298-927-1                                                                                           |Star                          |02 17 10.8025030344 +48 14 05.746721892|137.3541351479756 -12.2212153861569|    9.777 6.592   |9.48     |~                 |    ~     ~    
773 |TYC 3298-935-1                                                                                           |Star                          |02 22 35.8234413312 +48 07 30.721701612|138.2602531648524 -12.0148860238020|  -7.334 10.957   |10.51    |~                 |    ~     ~    
774 |TYC 3298-939-1                                                                                           |Star                          |02 16 47.8558200576 +48 34 15.606194808|137.1788381861150 -11.9252612126763|   0.007 -1.073   |9.95     |~                 |    ~     ~    
775 |TYC 3298-991-1                                                                                           |Star                          |02 20 24.0632155488 +48 08 50.584570872|137.9011743705861 -12.1217784313412|   5.147 -2.966   |10.29    |~                 |    ~     ~    
776 |TYC 3298-1003-1                                                                                          |Star                          |02 25 53.1920051424 +48 40 36.937722360|138.5791092980310 -11.3042748625427| 20.380 -21.089   |10.85    |~                 |    ~     ~    
777 |TYC 3298-1043-1                                                                                          |Star                          |02 22 49.2116633664 +48 03 44.242678224|138.3185991453159 -12.0606006676136|    4.794 8.722   |10.40    |~                 |    ~     ~    
778 |BD+47 608                                                                                                |Star                          |02 20 15.3647357568 +47 58 54.670394388|137.9362330431345 -12.2855259001340|   7.016 -3.670   |10.24    |~                 |    ~     ~    
779 |TYC 3298-1069-1                                                                                          |Star                          |02 22 26.7126697368 +48 37 08.943234960|138.0585790391656 -11.5614015130632|   -7.262 1.683   |10.15    |~                 |    ~     ~    
780 |TYC 3298-1107-1                                                                                          |Star                          |02 18 27.9127185864 +48 44 37.980225636|137.3850445354775 -11.6703423116414|   -6.195 3.843   |10.01    |~                 |    ~     ~    
781 |TYC 3298-1121-1                                                                                          |Star                          |02 18 40.4850433680 +48 02 46.198905324|137.6593505625147 -12.3153420606007|   2.653 -3.410   |10.52    |~                 |    ~     ~    
782 |TYC 3298-1223-1                                                                                          |Star                          |02 24 00.7307025216 +47 49 00.003222768|138.5987955468161 -12.2191724972170| 17.102 -11.706   |9.68     |~                 |    ~     ~    
783 |TYC 3298-1229-1                                                                                          |Star                          |02 22 57.2287615200 +48 32 13.802032176|138.1684278482474 -11.6084947501518|   10.680 1.061   |10.97    |~                 |    ~     ~    
784 |TYC 3298-1318-1                                                                                          |Spectroscopic Binary          |02 18 35.5177075416 +48 02 20.318403948|137.6485109773120 -12.3267883797280|-67.805 -64.494   |10.49    |~                 |    ~     ~    
785 |TYC 3298-1358-1                                                                                          |Star                          |02 22 10.5070669392 +48 32 36.891216204|138.0429454179405 -11.6478408206050|  7.449 -12.598   |10.32    |~                 |    ~     ~    
786 |TYC 3298-1404-1                                                                                          |Star                          |02 24 54.4498966584 +48 35 42.671995332|138.4554726329572 -11.4390026931029| 30.318 -20.703   |10.86    |~                 |    ~     ~    
787 |TYC 3298-1491-1                                                                                          |Star                          |02 25 43.8561428472 +48 03 38.271316428|138.7833059760418 -11.8877795075693|   5.440 -0.990   |10.95    |~                 |    ~     ~    
788 |TYC 3298-1560-1                                                                                          |Star                          |02 18 49.3229137992 +48 26 45.230290656|137.5445729923781 -11.9309030181268|   0.665 -7.735   |10.94    |~                 |    ~     ~    
789 |TYC 3298-1581-1                                                                                          |Star                          |02 20 47.8485091752 +47 58 02.929344636|138.0283413492543 -12.2677355318203|   7.825 -3.500   |10.98    |~                 |    ~     ~    
790 |TYC 3299-796-1                                                                                           |High Proper Motion Star       |02 26 35.8283574480 +48 25 12.497653416|138.7864062621110 -11.5004338911713|-49.792 -20.775   |10.99    |~                 |    ~     ~    
791 |TYC 3299-1200-1                                                                                          |Star                          |02 29 50.9616973536 +48 42 58.109115888|139.1833817623352 -11.0255622078732|   7.668 -7.479   |10.47    |~                 |    ~     ~    
792 |TYC 3299-1244-1                                                                                          |Star                          |02 28 13.5608154144 +48 30 03.717378972|139.0119631155002 -11.3255566760151|   9.107 -8.873   |9.75     |~                 |    ~     ~    
793 |TYC 3299-1439-1                                                                                          |Star                          |02 27 37.6020574392 +48 33 23.640182028|138.8969834401762 -11.3107898250426|  -3.229 -0.699   |10.53    |~                 |    ~     ~    
794 |TYC 3302-11-1                                                                                            |Star                          |02 15 44.8951909776 +49 43 22.728396072|136.6274714392405 -10.8935657247986| -0.425 -15.115   |10.69    |~                 |    ~     ~    
795 |TYC 3302-23-1                                                                                            |Star                          |02 23 16.0928893416 +48 54 27.870470892|138.0842331121083 -11.2435239311739|  -0.931 -6.942   |9.89     |~                 |    ~     ~    
796 |TYC 3302-35-1                                                                                            |Star                          |02 18 05.2913168904 +49 00 23.645587536|137.2353538491916 -11.4437624904089|    5.045 0.347   |10.77    |~                 |    ~     ~    
797 |TYC 3302-68-1                                                                                            |Star                          |02 19 51.4228536288 +50 05 12.554639376|137.1387582872150 -10.3300932922652|  15.892 -8.560   |9.53     |~                 |    ~     ~    
798 |TYC 3302-72-1                                                                                            |Star                          |02 20 55.1496756240 +50 27 00.973315872|137.1744409307873 -09.9305095361790|   7.616 -9.103   |10.97    |~                 |    ~     ~    
799 |TYC 3302-101-1                                                                                           |Star                          |02 24 49.9115111112 +49 43 26.430075264|138.0305827604781 -10.3900329086014| 10.138 -11.578   |10.69    |~                 |    ~     ~    
800 |TYC 3302-109-1                                                                                           |Star                          |02 20 24.4310491536 +49 41 53.314198836|137.3584857516663 -10.6651208247503|   4.940 -3.799   |10.84    |~                 |    ~     ~    
801 |TYC 3302-166-1                                                                                           |Star                          |02 25 32.6236287624 +50 08 05.520909444|137.9890608748666 -09.9654638451920|   8.545 -3.085   |10.95    |~                 |    ~     ~    
802 |TYC 3302-193-1                                                                                           |Star                          |02 17 15.9682443912 +49 32 22.930460124|136.9252622217811 -10.9858407332248|  -4.985 -8.922   |10.11    |~                 |    ~     ~    
803 |TYC 3302-199-1                                                                                           |Star                          |02 21 11.3987690304 +49 29 05.629085700|137.5544473293218 -10.8216462744706|  -0.417 -4.911   |10.86    |~                 |    ~     ~    
804 |TYC 3302-213-1                                                                                           |Star                          |02 15 00.7289150256 +49 21 39.211608456|136.6322246842070 -11.2748073362043|  -6.953 -1.032   |10.14    |~                 |    ~     ~    
805 |TYC 3302-315-1                                                                                           |Star                          |02 23 10.7897476968 +49 34 41.598381792|137.8291621075543 -10.6214057211887|    4.460 4.212   |10.27    |~                 |    ~     ~    
806 |TYC 3302-319-1                                                                                           |Star                          |02 15 37.2270357120 +49 01 27.334232544|136.8397054469594 -11.5608797718293|   8.228 -1.725   |10.11    |~                 |    ~     ~    
807 |TYC 3302-423-1                                                                                           |Star                          |02 25 53.9528090232 +49 39 25.009140744|138.2188607063703 -10.3903474064907|    4.155 1.070   |10.95    |~                 |    ~     ~    
808 |TYC 3302-428-1                                                                                           |Eclipsing Binary              |02 21 14.2739498064 +50 36 18.732174660|137.1685574260114 -09.7676088397389|  -0.636 -3.177   |10.32    |~                 |    ~     ~    
809 |TYC 3302-483-1                                                                                           |Star                          |02 23 01.6204895448 +49 23 44.201942916|137.8710740759776 -10.8010345121311|    0.245 4.920   |10.57    |~                 |    ~     ~    
810 |TYC 3302-498-1                                                                                           |Star                          |02 19 01.0566943752 +50 01 41.413899972|137.0301006126226 -10.4309384049979|   4.614 -8.376   |10.80    |~                 |    ~     ~    
811 |TYC 3302-515-1                                                                                           |Star                          |02 17 17.9774606616 +49 21 41.228157816|136.9907573805892 -11.1521880101701|   0.757 -2.950   |10.95    |~                 |    ~     ~    
812 |TYC 3302-517-1                                                                                           |Star                          |02 19 25.6456735944 +48 58 21.069678252|137.4580606843520 -11.4016336367636|   1.945 -4.522   |10.9     |~                 |    ~     ~    
813 |TYC 3302-546-1                                                                                           |Star                          |02 25 59.2348978584 +50 10 54.054792696|138.0391234893550 -09.8961367155587|  -5.927 -3.917   |10.95    |~                 |    ~     ~    
814 |TYC 3302-555-1                                                                                           |Star                          |02 19 26.6395846776 +48 51 06.874140276|137.5025338732968 -11.5141251173955|   4.335 -3.775   |10.76    |~                 |    ~     ~    
815 |TYC 3302-562-1                                                                                           |Star                          |02 19 52.2406996680 +50 23 32.329045536|137.0352187566198 -10.0420906505096| -9.419 -12.896   |10.74    |~                 |    ~     ~    
816 |TYC 3302-571-1                                                                                           |High Proper Motion Star       |02 21 43.2338133384 +49 43 18.220205424|137.5529533220746 -10.5697006949047| 49.068 -18.093   |10.17    |~                 |    ~     ~    
817 |TYC 3302-583-1                                                                                           |Star                          |02 20 02.8239149592 +49 10 27.104826540|137.4851943245777 -11.1774384565306|  4.759 -37.195   |10.20    |~                 |    ~     ~    
818 |TYC 3302-595-1                                                                                           |Star                          |02 24 27.7072106808 +48 51 35.229847644|138.2885807513813 -11.2184639870099|   12.581 1.194   |10.44    |~                 |    ~     ~    
819 |TYC 3302-607-1                                                                                           |Star                          |02 20 25.0269992040 +49 31 09.579542484|137.4224381566471 -10.8325418925283|   1.119 -5.307   |10.26    |~                 |    ~     ~    
820 |TYC 3302-623-1                                                                                           |Star                          |02 21 55.6960231152 +49 35 33.797474304|137.6306860387042 -10.6789508269255| 14.653 -11.503   |10.71    |~                 |    ~     ~    
821 |TYC 3302-632-1                                                                                           |High Proper Motion Star       |02 20 35.5916087424 +50 10 07.594591188|137.2229835934872 -10.2127561520933|-10.851 -55.769   |10.47    |~                 |    ~     ~    
822 |TYC 3302-707-1                                                                                           |Star                          |02 16 30.9923864543 +49 46 37.024053293|136.7288848095676 -10.8019479607494| 12.158 -11.188   |10.68    |~                 |    ~     ~    
823 |TYC 3302-729-1                                                                                           |Star                          |02 23 21.5820741288 +49 41 56.877538236|137.8134446571819 -10.4980008526644|   4.528 -3.090   |10.34    |~                 |    ~     ~    
824 |TYC 3302-731-1                                                                                           |Star                          |02 19 35.8532291208 +49 26 42.383389380|137.3208554588544 -10.9477696316702|  -1.806 -1.998   |10.82    |~                 |    ~     ~    
825 |TYC 3302-753-1                                                                                           |Star                          |02 24 49.4449862952 +49 45 27.452730132|138.0171360397464 -10.3591014136164|  -6.682 -2.159   |9.73     |~                 |    ~     ~    
826 |TYC 3302-791-1                                                                                           |Star                          |02 19 16.1826635688 +49 28 45.311245788|137.2580132885839 -10.9337397834609|  -14.991 0.622   |10.09    |~                 |    ~     ~    
827 |TYC 3302-821-1                                                                                           |Star                          |02 16 01.0961844096 +49 40 54.416073936|136.6831939305500 -10.9182539264428| -0.972 -11.600   |9.99     |~                 |    ~     ~    
828 |TYC 3302-870-1                                                                                           |Star                          |02 18 53.7976705296 +49 55 04.876665348|137.0492609479395 -10.5411940056370|  -5.012 -0.925   |10.69    |~                 |    ~     ~    
829 |TYC 3302-883-1                                                                                           |Star                          |02 17 21.3481266600 +48 56 04.330496832|137.1442836034654 -11.5517936850809|   -1.712 1.888   |10.13    |~                 |    ~     ~    
830 |TYC 3302-956-1                                                                                           |Star                          |02 20 56.1084020040 +50 16 42.070152612|137.2369224750636 -10.0910591077760|   7.857 -7.303   |9.53     |~                 |    ~     ~    
831 |TYC 3302-961-1                                                                                           |Star                          |02 16 51.8842860480 +49 40 51.570535836|136.8151580731575 -10.8740207871683|  -4.139 -9.077   |9.79     |~                 |    ~     ~    
832 |TYC 3302-991-1                                                                                           |Star                          |02 24 25.8025474296 +49 11 05.420602392|138.1650533313153 -10.9168187279966|  -0.462 -5.172   |9.71     |~                 |    ~     ~    
833 |TYC 3302-1007-1                                                                                          |Star                          |02 16 12.7406595240 +49 08 12.725422728|136.8955613157976 -11.4227546133548| 17.972 -34.006   |9.92     |~                 |    ~     ~    
834 |TYC 3302-1019-1                                                                                          |Star                          |02 26 08.2383874152 +48 45 01.209590712|138.5911550805776 -11.2208453991392|  -2.871 -4.046   |10.58    |~                 |    ~     ~    
835 |TYC 3302-1059-1                                                                                          |High Proper Motion Star       |02 23 06.5606721984 +49 41 12.088296384|137.7793818240356 -10.5239315073177| 72.709 -33.037   |10.74    |~                 |    ~     ~    
836 |TYC 3302-1087-1                                                                                          |Star                          |02 22 50.8012719000 +48 47 36.824314488|138.0592072455652 -11.3748376369850|  -6.513 -4.842   |10.63    |~                 |    ~     ~    
837 |TYC 3302-1103-1                                                                                          |Star                          |02 16 21.3412376496 +49 18 21.095450208|136.8615038688174 -11.2554496789821|  6.598 -13.172   |10.67    |~                 |    ~     ~    
838 |TYC 3302-1124-1                                                                                          |Star                          |02 26 13.6041873984 +49 59 43.079416296|138.1441183373626 -10.0558891202141| -10.088 -7.902   |10.95    |~                 |    ~     ~    
839 |TYC 3302-1128-1                                                                                          |Star                          |02 19 22.8123784200 +50 00 27.979659000|137.0928502224365 -10.4304410889305|  37.761 -6.960   |9.96     |~                 |    ~     ~    
840 |TYC 3302-1137-1                                                                                          |Star                          |02 15 27.6234130296 +49 16 54.067078272|136.7288916945201 -11.3260251875862| -8.129 -16.394   |9.88     |~                 |    ~     ~    
841 |TYC 3302-1201-1                                                                                          |Star                          |02 19 32.6779092336 +49 33 52.286722488|137.2712802267111 -10.8383875241944|   5.184 -1.855   |9.95     |~                 |    ~     ~    
842 |TYC 3302-1208-1                                                                                          |Star                          |02 18 39.9760410744 +49 54 59.129735004|137.0142910296479 -10.5551833969391|  -2.662 -2.634   |10.59    |~                 |    ~     ~    
843 |TYC 3302-1225-1                                                                                          |Star                          |02 17 15.7076089224 +48 54 12.058740540|137.1399998346044 -11.5863408231334|   8.418 -7.048   |9.79     |~                 |    ~     ~    
844 |TYC 3302-1308-1                                                                                          |Star                          |02 20 17.1228966576 +49 53 28.341826656|137.2724344399067 -10.4904654400372|  -3.420 -2.099   |10.39    |~                 |    ~     ~    
845 |TYC 3302-1467-1                                                                                          |Star                          |02 23 06.1437818112 +49 25 41.420760060|137.8710662144320 -10.7662413211450| 13.283 -10.059   |10.60    |~                 |    ~     ~    
846 |TYC 3302-1496-1                                                                                          |Star                          |02 24 13.2383601048 +49 53 29.824224252|137.8760718783127 -10.2687423363969|   0.091 -3.260   |10.99    |~                 |    ~     ~    
847 |TYC 3302-1515-1                                                                                          |Star                          |02 16 14.4335168568 +48 52 03.817855920|136.9902485626120 -11.6754441422613|    4.500 1.811   |10.99    |~                 |    ~     ~    
848 |TYC 3302-1538-1                                                                                          |Star                          |02 20 33.2433707328 +50 12 12.319056612|137.2049335070958 -10.1823591375420|  -0.174 -7.106   |10.46    |~                 |    ~     ~    
849 |TYC 3302-1541-1                                                                                          |High Proper Motion Star       |02 15 44.4610242600 +49 23 50.607681468|136.7345202409165 -11.2017393909959|  91.405 -1.304   |10.46    |~                 |    ~     ~    
850 |TYC 3302-1627-1                                                                                          |Star                          |02 16 44.1429300264 +49 09 15.724932444|136.9721301072449 -11.3780548826835|   2.037 -7.408   |10.15    |~                 |    ~     ~    
851 |TYC 3302-1685-1                                                                                          |Star                          |02 18 48.9889091064 +48 56 38.078964528|137.3716946054688 -11.4625442803295|  -1.737 -5.782   |10.17    |~                 |    ~     ~    
852 |TYC 3302-1688-1                                                                                          |Star                          |02 17 14.0482924272 +49 48 47.612890980|136.8279809685522 -10.7294938032675|   2.936 -2.406   |10.59    |~                 |    ~     ~    
853 |TYC 3302-1697-1                                                                                          |Star                          |02 23 30.1993830192 +49 34 08.151208644|137.8824165576811 -10.6115604306986|   5.546 -8.365   |9.75     |~                 |    ~     ~    
854 |TYC 3302-1707-1                                                                                          |Star                          |02 21 18.1705775832 +48 45 49.587992928|137.8267465396514 -11.4917124639199|  -3.729 -4.057   |10.90    |~                 |    ~     ~    
855 |TYC 3302-1722-1                                                                                          |Star                          |02 17 15.5628867672 +49 47 53.853740232|136.8369276261875 -10.7422343128729|  -0.028 -0.494   |10.16    |~                 |    ~     ~    
856 |TYC 3302-1822-1                                                                                          |Star                          |02 21 36.6162909672 +48 54 26.531980524|137.8242295004008 -11.3394861752511|  3.192 -11.527   |10.88    |~                 |    ~     ~    
857 |TYC 3302-1825-1                                                                                          |Star                          |02 16 31.8369958872 +48 57 50.981296860|137.0037863540021 -11.5686984551039|  -2.441 -3.041   |10.61    |~                 |    ~     ~    
858 |TYC 3302-1827-1                                                                                          |Star                          |02 15 52.0445220792 +48 51 25.055457732|136.9346503747570 -11.7057443032298|  -0.832 -5.932   |10.69    |~                 |    ~     ~    
