C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST03:53:05

Vmag< 11&dec >=0&rah >=2.25&rah< 2.5
------------------------------------

Number of objects : 4895

 #  |                                               identifier                                                |             typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |    spec. type    |   ang. size   
----|---------------------------------------------------------------------------------------------------------|------------------------------|---------------------------------------|-----------------------------------|------------------|---------|------------------|---------------
33  |TYC 2834-883-1                                                                                           |Star                          |02 19 15.6147502368 +41 02 13.190128152|140.2704647963455 -18.8592096022989|  -2.085 -1.506   |10.86    |~                 |    ~     ~    
34  |TYC 2834-944-1                                                                                           |Star                          |02 19 13.3533751128 +40 55 23.063564748|140.3057767623995 -18.9683579803401| -0.223 -13.133   |10.31    |~                 |    ~     ~    
35  |TYC 2834-953-1                                                                                           |Star                          |02 19 50.0593516992 +40 38 37.928050872|140.5247409390965 -19.1886826333274| -2.894 -10.042   |9.54     |~                 |    ~     ~    
36  |TYC 2834-1233-1                                                                                          |Star                          |02 16 26.4344673408 +40 17 00.071344608|140.0163518455329 -19.7516217576454|   5.872 -4.934   |10.24    |~                 |    ~     ~    
37  |TYC 2834-1246-1                                                                                          |Star                          |02 16 59.7385270440 +40 20 19.595251212|140.1016684820104 -19.6632050162104|  -8.063 -4.805   |9.92     |~                 |    ~     ~    
38  |TYC 2834-1465-1                                                                                          |Star                          |02 16 09.4548035352 +40 26 55.216217544|139.9024988972658 -19.6147135634018|   1.582 -5.459   |10.54    |~                 |    ~     ~    
39  |TYC 2834-1483-1                                                                                          |Star                          |02 15 06.4057301904 +40 42 04.416043536|139.6124427825196 -19.4448034692573|  7.674 -13.066   |10.51    |~                 |    ~     ~    
40  |TYC 2835-220-1                                                                                           |Star                          |02 22 05.4309941664 +41 07 27.202812492|140.7637176035420 -18.5874643856458| -21.434 11.272   |10.49    |~                 |    ~     ~    
41  |TYC 2835-399-1                                                                                           |Star                          |02 21 28.4329499640 +41 02 06.443831760|140.6832576859519 -18.7124859394000| -1.354 -27.400   |10.88    |~                 |    ~     ~    
42  |TYC 2838-248-1                                                                                           |Star                          |02 19 22.9180232928 +41 34 33.610995912|140.0932357237117 -18.3465339342267|  -2.095 -1.282   |9.85     |~                 |    ~     ~    
43  |TYC 2838-308-1                                                                                           |Star                          |02 15 11.2786809912 +41 25 37.168303224|139.3693155729695 -18.7561904300024|   2.619 -4.014   |10.72    |~                 |    ~     ~    
44  |TYC 2838-372-1                                                                                           |Star                          |02 16 53.4357835992 +41 32 42.884984292|139.6436307114716 -18.5368680047688|  8.844 -31.438   |10.53    |~                 |    ~     ~    
45  |TYC 2838-1092-1                                                                                          |Star                          |02 16 05.7262499688 +41 21 08.940347460|139.5650808187074 -18.7688593907662| 36.399 -24.231   |9.61     |~                 |    ~     ~    
46  |TYC 2838-1198-1                                                                                          |Star                          |02 16 27.8782725792 +41 24 43.510306140|139.6124529502218 -18.6892611287386|   1.357 -8.071   |10.60    |~                 |    ~     ~    
47  |TYC 2838-1224-1                                                                                          |Star                          |02 19 51.8743671720 +41 24 07.108464168|140.2469693261297 -18.4775980304446| -40.580 12.009   |9.97     |~                 |    ~     ~    
48  |TYC 2838-1244-1                                                                                          |Star                          |02 16 28.2088351512 +41 49 25.110075216|139.4658160459837 -18.3019103681836|   1.798 -5.886   |10.54    |~                 |    ~     ~    
49  |TYC 2838-1404-1                                                                                          |Star                          |02 19 23.2025823552 +41 18 57.959447364|140.1903729702686 -18.5895600177870|   0.872 -3.707   |10.02    |~                 |    ~     ~    
50  |TYC 2838-1414-1                                                                                          |Star                          |02 17 48.0883949232 +41 30 58.112944164|139.8230116423444 -18.5056168477152|   9.818 -6.209   |10.63    |~                 |    ~     ~    
51  |TYC 2838-1479-1                                                                                          |Star                          |02 15 54.7478070648 +42 19 45.732101556|139.1833546769455 -17.8610342776662| -11.253 -5.603   |10.56    |~                 |    ~     ~    
52  |TYC 2838-1772-1                                                                                          |Star                          |02 16 10.1408905920 +42 06 25.601459112|139.3092266843842 -18.0542113882304| -9.174 -10.492   |10.66    |~                 |    ~     ~    
53  |TYC 2838-1981-1                                                                                          |Star                          |02 16 11.6227945272 +41 58 00.234899256|139.3637531717417 -18.1847559821060|   2.349 -8.169   |10.26    |~                 |    ~     ~    
54  |TYC 2838-2033-1                                                                                          |Star                          |02 18 02.5073481960 +42 16 08.619904236|139.5937595782396 -17.7835173535409|  14.135 -2.664   |10.98    |~                 |    ~     ~    
55  |TYC 2838-2043-1                                                                                          |Star                          |02 18 28.2663530376 +42 06 28.087686108|139.7307279569346 -17.9073320048329|   1.537 -0.774   |10.89    |~                 |    ~     ~    
56  |TYC 2838-2048-1                                                                                          |Star                          |02 16 02.4530829144 +41 57 11.152454400|139.3404654478067 -18.2071981973221| -4.127 -12.184   |10.38    |~                 |    ~     ~    
57  |TYC 2838-2070-1                                                                                          |Star                          |02 15 29.1642099576 +41 56 51.516129588|139.2401485496014 -18.2471011110378|   3.328 -6.924   |10.25    |~                 |    ~     ~    
58  |TYC 2838-2139-1                                                                                          |Star                          |02 17 45.2114054160 +42 07 24.722097960|139.5937623871360 -17.9385291986395|   3.442 -9.668   |10.80    |~                 |    ~     ~    
59  |TYC 2838-2155-1                                                                                          |Star                          |02 16 49.6102900872 +41 55 36.434582436|139.4945789015359 -18.1823215037318| -7.587 -11.729   |10.37    |~                 |    ~     ~    
60  |TYC 2838-2266-1                                                                                          |Star                          |02 17 41.8124539896 +42 01 24.915382716|139.6195362698721 -18.0359911467420|  -3.398 -7.604   |10.38    |~                 |    ~     ~    
61  |TYC 2839-25-1                                                                                            |Star                          |02 23 30.2347080120 +41 22 12.830490516|140.9301063163075 -18.2616088243770|  -2.492 -2.552   |10.33    |~                 |    ~     ~    
62  |TYC 2839-243-1                                                                                           |Star                          |02 21 50.9786205792 +41 15 46.385283852|140.6663265160779 -18.4745332000437|  -2.521 -1.236   |10.83    |~                 |    ~     ~    
