C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:37:09

dec< 0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6662

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
23  |CD-39 10378                                                                                              |Star                                  |16 17 07.0759031304 -39 34 15.351082752|340.4027364826966 +07.8939228953841|  -3.615 -4.396   |10.15    |~              |    ~     ~    |    1|  898.876   pc  | -21.9770    +21.9770    |paral   |2020yCat.1350....0G
24  |HD 325476                                                                                                |Star                                  |16 15 40.0846831896 -41 15 59.701155156|339.0074149860436 +06.8757540931445|   1.108 -8.188   |10.38    |K2             |    ~     ~    |    1|  421.532   pc  |  -3.7492     +3.7492    |paral   |2020yCat.1350....0G
25  |HD 146651                                                                                                |Star                                  |16 18 55.8414088128 -39 56 47.277601404|340.3855053155064 +07.3819590540025| -35.134 -8.310   |10.34    |G3/5           |    ~     ~    |    1|  127.188   pc  |  -0.3252     +0.3252    |paral   |2020yCat.1350....0G
26  |HD 146665                                                                                                |Star                                  |16 19 02.0974811976 -39 25 26.529622428|340.7720953402858 +07.7375865206981|-12.135 -16.696   |10.13    |G8/K0          |    ~     ~    |    1|  513.637   pc  |  -4.4586     +4.4586    |paral   |2020yCat.1350....0G
27  |HD 146746                                                                                                |Star                                  |16 19 28.5421988736 -39 58 52.521894120|340.4352350947762 +07.2835543898945|   0.208 -6.205   |10.56    |B9IV/V         |    ~     ~    |    1|  564.270   pc  |  -8.7560     +8.7560    |paral   |2020yCat.1350....0G
28  |HD 146881                                                                                                |High Proper Motion Star               |16 20 09.6258105048 -39 26 30.922175256|340.9141688166526 +07.5710902840694|-160.530 11.433   |8.89     |F5V            |    ~     ~    |    1|   70.261   pc  |  -0.0968     +0.0968    |paral   |2020yCat.1350....0G
29  |HD 146905                                                                                                |Star                                  |16 20 12.3371737272 -39 30 02.147189940|340.8783930109269 +07.5235422077763|-14.301 -20.631   |7.06     |B9V            |    ~     ~    |    1|  175.408   pc  |  -1.4246     +1.4246    |paral   |2020yCat.1350....0G
30  |HD 146906                                                                                                |Star                                  |16 20 14.6162146080 -39 37 48.064941912|340.7910222391569 +07.4271103930164|   7.664 17.439   |6.88     |K1III          |    ~     ~    |    1|  158.977   pc  |  -0.5914     +0.5914    |paral   |2020yCat.1350....0G
31  |HD 147047                                                                                                |Star                                  |16 21 10.5327896904 -39 37 26.196359988|340.9227535121125 +07.3039407039605|  7.489 -10.341   |9.82     |K2             |    ~     ~    |    1|  599.484   pc  | -11.2846    +11.2846    |paral   |2020yCat.1350....0G
32  |HD 146681                                                                                                |Pulsating Variable                    |16 19 14.8157804544 -40 49 15.085310628|339.8066154629674 +06.7200481043652|-10.945 -20.881   |8.93     |A7II/III       |    ~     ~    |    1|  154.012   pc  |  -0.9061     +0.9061    |paral   |2020yCat.1350....0G
33  |V* V1195 Sco                                                                                             |Eclipsing Binary                      |16 19 23.0207165832 -40 56 38.890323168|339.7374477775522 +06.6144727148489|  -4.103 -6.097   |8.91     |B9IV           |    ~     ~    |    1|  472.947   pc  |  -9.6182     +9.6182    |paral   |2020yCat.1350....0G
34  |HD 146817                                                                                                |High Proper Motion Star               |16 19 59.5924730184 -40 49 05.658380040|339.9090762592855 +06.6221445365220|41.728 -116.245   |7.71     |G3/5V          |    ~     ~    |    1|   49.007   pc  |  -0.0632     +0.0632    |paral   |2020yCat.1350....0G
35  |HD 146907                                                                                                |Star                                  |16 20 21.2216159136 -40 40 18.481137996|340.0619891436531 +06.6772552262658| -7.698 -39.525   |10.24    |F0V            |    ~     ~    |    1|  175.923   pc  |  -0.6314     +0.6314    |paral   |2020yCat.1350....0G
36  |HD 146940                                                                                                |Star                                  |16 20 34.8066210384 -40 56 04.707460788|339.9049961977194 +06.4613920824845|  -1.431 -2.194   |10.66    |A              |    ~     ~    |    1|  534.416   pc  |  -5.9691     +5.9691    |paral   |2020yCat.1350....0G
37  |HD 147048                                                                                                |T Tauri Star                          |16 21 12.1943779488 -40 30 20.599834284|340.2950615555533 +06.6799158816133|-11.267 -28.704   |10.482   |G9IV           |    ~     ~    |    1|  143.176   pc  |  -0.3505     +0.3505    |paral   |2020yCat.1350....0G
38  |HD 147198                                                                                                |Star                                  |16 22 10.0015452720 -40 39 44.233361388|340.3123804448226 +06.4397540005154|  -0.357 -1.854   |10.43    |B7/9Ib/II      |    ~     ~    |    1|  608.939   pc  |  -6.4150     +6.4150    |paral   |2020yCat.1350....0G
39  |HD 146652                                                                                                |High Proper Motion Star               |16 19 07.1193010968 -41 18 36.581381064|339.4419741228318 +06.3902400577286|66.826 -113.558   |10.13    |G6/8V          |    ~     ~    |    1|  114.712   pc  |  -0.2579     +0.2579    |paral   |2020yCat.1350....0G
40  |HD 146666                                                                                                |Star                                  |16 19 14.6194521336 -42 01 03.730774800|338.9571300814760 +05.8718103828116| -3.847 -11.642   |10.45    |F0V            |    ~     ~    |    1|  246.057   pc  |  -1.0474     +1.0474    |paral   |2020yCat.1350....0G
41  |HD 146882                                                                                                |High Proper Motion Star               |16 20 20.4977247840 -41 40 05.461161924|339.3508056082717 +05.9750086059283| -9.793 -65.758   |9.14     |F6V            |    ~     ~    |    1|  108.351   pc  |  -0.4062     +0.4062    |paral   |2020yCat.1350....0G
42  |HD 147123                                                                                                |Star                                  |16 21 45.7585796880 -42 00 13.420338732|339.2994566426726 +05.5507011366835|-14.936 -17.217   |7.43     |A5mF0-F3       |    ~     ~    |    1|  109.102   pc  |  -0.2952     +0.2952    |paral   |2020yCat.1350....0G
