C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:37:09

dec< 0&rah >=16.25&rah< 16.5&(cat='NGC'|Vmag< 11)
-------------------------------------------------

Number of objects : 6662

 #  |                                               identifier                                                |                 typ                  |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   |#Dist| distance Q unit|   err-        err+      | method |     reference     
----|---------------------------------------------------------------------------------------------------------|--------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------|-----|----------------|-------------------------|--------|-------------------
1949|BD-03 3947                                                                                               |High Proper Motion Star               |16 28 16.9131952368 -04 14 46.430910528|010.6288181276119 +29.0305455358310|  6.982 -66.386   |10.332   |~              |    ~     ~    |    1|  118.487   pc  |  -0.8891     +0.8891    |ST-L    |2020AJ....160...83S
1950|BD-02 4195                                                                                               |Star                                  |16 28 40.8662990160 -03 16 11.500956012|011.6196030918400 +29.4954470670547| -6.504 -47.912   |10.782   |~              |    ~     ~    |    1|  230.082   pc  |  -4.0380     +4.0380    |ST-L    |2020AJ....160...83S
1951|BD-03 3948                                                                                               |Star                                  |16 28 59.1660904416 -04 00 45.444935376|010.9626688844583 +29.0169038044488|-19.570 -17.474   |10.863   |~              |    ~     ~    |    1|  167.043   pc  |  -2.5010     +2.5010    |ST-L    |2020AJ....160...83S
1952|BD-04 4117                                                                                               |Double or Multiple Star               |16 29 16.479192 -05 01 20.43624        |010.058933197 +28.387332866        |       8.5 -2.5   |10.02    |~              |    ~     ~    |    0|                |                         |        |                   
1953|BD-02 4197                                                                                               |Star                                  |16 29 41.1533060976 -02 54 30.947847048|012.1247914950587 +29.4873746916673|   -8.063 6.799   |10.488   |~              |    ~     ~    |    1| 1124.150   pc  | -95.2900    +95.2900    |ST-L    |2020AJ....160...83S
1954|BD-03 3950                                                                                               |Star                                  |16 29 49.6615059456 -04 05 14.022717144|011.0267053186269 +28.8013350795380| -27.986 -5.552   |10.23    |~              |    ~     ~    |    1|  516.612   pc  | -18.1000    +18.1000    |ST-L    |2020AJ....160...83S
1955|BD-02 4200                                                                                               |Star                                  |16 29 58.0998120984 -02 57 51.134090724|012.1163999785590 +29.3978676099583|-36.289 -10.865   |10.567   |~              |    ~     ~    |    1|  331.225   pc  |  -6.9470     +6.9470    |ST-L    |2020AJ....160...83S
1956|BD-04 4104                                                                                               |Star                                  |16 23 24.4281522840 -04 54 14.029034148|009.2147418877530 +29.6541264785370| -2.641 -17.167   |10.512   |~              |    ~     ~    |    1|  592.786   pc  | -22.4100    +22.4100    |ST-L    |2020AJ....160...83S
1957|TYC 5043-649-1                                                                                           |Star                                  |16 24 18.6369644880 -04 29 58.446158532|009.7445741915561 +29.7015832279789|  -0.235 -5.243   |10.36    |~              |    ~     ~    |    1|  737.246   pc  |  -8.5878     +8.5878    |paral   |2020yCat.1350....0G
1958|TYC 5043-855-1                                                                                           |Spectroscopic Binary                  |16 26 37.9586382120 -04 44 11.699059308|009.9001079088652 +29.0911594022974|  -4.561 -3.059   |10.751   |~              |    ~     ~    |    1|  703.382   pc  | -35.6800    +35.6800    |ST-L    |2020AJ....160...83S
1959|BD-03 3945                                                                                               |Star                                  |16 28 04.8321414912 -03 24 19.669282992|011.3941786655481 +29.5441825667917| -15.353 -1.318   |10.772   |~              |    ~     ~    |    1|  656.360   pc  | -28.7700    +28.7700    |ST-L    |2020AJ....160...83S
1960|PPM 706497                                                                                               |Star                                  |16 29 21.3493365936 -03 41 46.534896960|011.3215841840625 +29.1177859557548|   -6.787 0.584   |10.1     |~              |    ~     ~    |    1|  772.977   pc  | -10.7549    +10.7549    |paral   |2020yCat.1350....0G
1961|BD-03 3949                                                                                               |High Proper Motion Star               |16 29 32.4528204192 -03 56 32.736387948|011.1178273550491 +28.9417496519598|-50.827 -55.307   |10.71    |~              |    ~     ~    |    1|   97.565   pc  |  -0.4493     +0.4493    |paral   |2020yCat.1350....0G
1962|TYC 5038-533-1                                                                                           |Star                                  |16 21 59.7099923472 -02 59 32.358773796|010.8022180003481 +31.0330416275887|  -31.640 0.005   |10.67    |~              |    ~     ~    |    1|  569.573   pc  |  -5.8719     +5.8719    |paral   |2020yCat.1350....0G
1963|TYC 5039-513-1                                                                                           |Star                                  |16 23 30.6050253984 -02 39 33.393703212|011.3714431998513 +30.9073782183495|   -5.377 3.772   |10.939   |~              |    ~     ~    |    1|  324.953   pc  |  -7.1620     +7.1620    |ST-L    |2020AJ....160...83S
1964|TYC 5039-573-1                                                                                           |Star                                  |16 24 21.2778002832 -02 40 09.573245796|011.4990933304497 +30.7269195929342|   -2.022 9.389   |10.9     |~              |    ~     ~    |    1|  330.524   pc  |  -2.0211     +2.0211    |paral   |2020yCat.1350....0G
1965|TYC 5039-1000-1                                                                                          |Star                                  |16 22 36.0976141104 -03 30 56.698697160|010.3993494800500 +30.6120928631544| -4.819 -40.651   |10.45    |~              |    ~     ~    |    1|  156.531   pc  |  -2.9670     +2.9670    |ST-L    |2020AJ....160...83S
1966|TYC 5039-1016-1                                                                                          |Star                                  |16 24 17.9365676208 -03 37 33.371449824|010.5721611380107 +30.2006512705462| -26.715 -2.200   |10.91    |~              |    ~     ~    |    1|  273.606   pc  |  -5.9850     +5.9850    |ST-L    |2020AJ....160...83S
1967|TYC 5043-51-1                                                                                            |Star                                  |16 23 37.1641659816 -04 19 51.049959780|009.7907006372283 +29.9393842673538|   -1.950 2.692   |10.88    |~              |    ~     ~    |    1|  450.558   pc  | -13.6100    +13.6100    |ST-L    |2020AJ....160...83S
1968|BD+00 3484                                                                                               |Star                                  |16 16 40.3185707664 -00 01 24.989502360|012.8459507446458 +33.7911551790924| -19.500 -2.663   |10.498   |~              |    ~     ~    |    1| 4039.190   pc  |-2072.0000   +2072.0000  |ST-L    |2020AJ....160...83S
1969|BD+00 3487                                                                                               |Star                                  |16 17 35.7598427760 -00 13 21.840063744|012.7984301581191 +33.4887501717381|  6.748 -10.317   |9.74     |K0             |    ~     ~    |    1|  332.867   pc  |  -2.4265     +2.4265    |paral   |2020yCat.1350....0G
1970|HD 146231                                                                                                |Star                                  |16 15 15.6822633240 -00 38 17.949210360|011.9952112666188 +33.7455432978857|   -5.375 0.585   |7.73     |K0III          |    ~     ~    |    1|  268.348   pc  |  -1.9587     +1.9587    |paral   |2020yCat.1350....0G
1971|HD 146393                                                                                                |High Proper Motion Star               |16 16 11.0657522496 -00 56 59.419772916|011.8386801455161 +33.3804768867663| -29.148 71.083   |9.72     |G6/8V          |    ~     ~    |    1|   95.157   pc  |  -0.1856     +0.1856    |paral   |2020yCat.1350....0G
1972|BD-00 3087                                                                                               |Star                                  |16 16 20.7532162152 -00 30 47.985164064|012.3008428231010 +33.5892643896346|  -1.654 11.910   |9.727    |F8             |    ~     ~    |    1|  248.399   pc  |  -3.4660     +3.4660    |ST-L    |2020AJ....160...83S
1973|BD-00 3089                                                                                               |Star                                  |16 18 07.0937949504 -00 57 59.305763952|012.1431393937708 +32.9693856780281|-12.399 -29.668   |10.416   |K              |    ~     ~    |    1|  496.354   pc  | -14.6100    +14.6100    |ST-L    |2020AJ....160...83S
1974|HD 146849                                                                                                |Star                                  |16 18 28.2504520224 -00 51 21.603448620|012.3109529648584 +32.9571839633459|  -11.880 4.226   |9.45     |F2/3III        |    ~     ~    |    1|  392.141   pc  |  -7.1659     +7.1659    |paral   |2020yCat.1350....0G
1975|BD-00 3091                                                                                               |Star                                  |16 18 33.0624011736 -00 39 10.412222688|012.5260552671434 +33.0526541974281| -7.544 -19.285   |9.63     |K0             |    ~     ~    |    1|  544.307   pc  |  -5.4514     +5.4514    |paral   |2020yCat.1350....0G
1976|HD 146193                                                                                                |Star                                  |16 15 04.2686791238 -01 46 28.251482441|010.8355701984033 +33.1480691418270| -27.260 -5.558   |7.07     |A0V            |    ~     ~    |    1|  193.1807  pc  | -10.0985    +10.0985    |paral   |2018yCat.1345....0G
1977|HD 146433                                                                                                |High Proper Motion Star               |16 16 19.6043180400 -01 38 53.273347044|011.1711405550421 +32.9601599299523|-124.199 29.395   |7.07     |G8/K0IV        |    ~     ~    |    1|   44.623   pc  |  -0.0560     +0.0560    |paral   |2020yCat.1350....0G
1978|HD 146212                                                                                                |Star                                  |16 15 14.9317153344 -02 20 05.358495768|010.3155108154431 +32.7937275465987| -13.029 10.389   |8.60     |G8/K0III/IV    |    ~     ~    |    1|  281.389   pc  |  -1.8528     +1.8528    |paral   |2020yCat.1350....0G
1979|HD 146773                                                                                                |Star                                  |16 18 10.6949394720 -02 16 24.538490364|010.8672711543448 +32.2256362342131|-12.494 -14.036   |9.13     |A3/5V          |    ~     ~    |    1|  321.161   pc  |  -4.0433     +4.0433    |paral   |2020yCat.1350....0G
1980|BD-01 3166A                                                                                              |Star                                  |16 18 10.6237899600 -02 16 13.850343084|010.8699705418708 +32.2275565880451|-12.088 -13.673   |9.08     |~              |    ~     ~    |    1|  318.360   pc  |  -2.3717     +2.3717    |paral   |2020yCat.1350....0G
1981|BD-02 4145                                                                                               |Star                                  |16 15 24.5874702072 -02 26 22.986105432|010.2402026356844 +32.7009520641707| -25.551 41.004   |9.97     |F5             |    ~     ~    |    1|  175.417   pc  |  -0.6062     +0.6062    |paral   |2020yCat.1350....0G
1982|BD-02 4146                                                                                               |High Proper Motion Star               |16 15 35.5414298400 -02 23 05.165133036|010.3247360513100 +32.6947516197959|-73.016 -28.224   |10.429   |K4V            |    ~     ~    |    1|   57.436   pc  |  -0.2638     +0.2638    |ST-L    |2020AJ....160...83S
1983|BD-01 3158                                                                                               |Star                                  |16 15 15.6020955264 -02 07 28.003244052|010.5234481863813 +32.9109973627702|  4.174 -11.984   |10.537   |K4             |    ~     ~    |    1| 1048.520   pc  | -69.9400    +69.9400    |ST-L    |2020AJ....160...83S
1984|IRAS 16155-0125                                                                                          |Long-Period Variable                  |16 18 08.1361505808 -01 32 27.130808580|011.5783264349867 +32.6459811915730|   -8.100 0.197   |10.73    |~              |    ~     ~    |    1| 1967.729   pc  |-156.4271   +156.4271    |paral   |2020yCat.1350....0G
1985|TYC 5034-592-1                                                                                           |Star                                  |16 15 05.4089206488 -01 50 40.209482616|010.7698429444307 +33.1045832242291|  -5.874 -4.575   |10.440   |~              |    ~     ~    |    1|  509.799   pc  | -15.4400    +15.4400    |ST-L    |2020AJ....160...83S
1986|BD-01 3160                                                                                               |Star                                  |16 16 01.9838313240 -02 04 52.992966792|010.6959640545029 +32.7762956131291| -11.416 -5.977   |10.187   |~              |    ~     ~    |    1|  355.582   pc  |  -8.3050     +8.3050    |ST-L    |2020AJ....160...83S
1987|BD-00 3088                                                                                               |Star                                  |16 16 58.0327284264 -01 05 18.664491912|011.8313019184432 +33.1407301213525|    1.450 0.011   |10.427   |~              |    ~     ~    |    1|  664.782   pc  | -28.3000    +28.3000    |ST-L    |2020AJ....160...83S
1988|BD-01 3168                                                                                               |Star                                  |16 18 17.2275254592 -01 59 36.783523320|011.1590056380890 +32.3608588384680|    6.496 3.778   |10.13    |~              |    ~     ~    |    1|  422.940   pc  |  -3.0946     +3.0946    |paral   |2020yCat.1350....0G
1989|IRAS 16140-0021                                                                                          |Variable Star                         |16 16 37.5121024416 -00 28 42.229114860|012.3821184136438 +33.5504061014696|  -8.390 -8.185   |10.64    |~              |    ~     ~    |    1| 2035.002   pc  | -96.4907    +96.4907    |paral   |2020yCat.1350....0G
1990|TYC 5034-286-1                                                                                           |Star                                  |16 16 44.7768935232 -01 45 55.702659852|011.1258338663920 +32.8074750363522|-15.999 -17.269   |10.10    |~              |    ~     ~    |    1|  331.411   pc  |  -2.0759     +2.0759    |paral   |2020yCat.1350....0G
1991|TYC 5034-488-1                                                                                           |Star                                  |16 17 31.8907468704 -01 42 52.371525744|011.3069945830234 +32.6737769949009| -3.188 -31.165   |10.28    |~              |    ~     ~    |    1|  179.453   pc  |  -0.5764     +0.5764    |paral   |2020yCat.1350....0G
1992|TYC 5034-659-1                                                                                           |Star                                  |16 15 44.6700457656 -00 12 22.282868772|012.5087937604076 +33.8842773862495|-18.060 -13.195   |10.303   |~              |    ~     ~    |    1|  217.054   pc  |  -3.0930     +3.0930    |ST-L    |2020AJ....160...83S
1993|TYC 5038-199-1                                                                                           |Star                                  |16 18 13.0638358008 -02 07 02.008319412|011.0264648572860 +32.3055971509236|  -39.656 6.126   |10.587   |~              |    ~     ~    |    1|  190.236   pc  |  -2.1060     +2.1060    |ST-L    |2020AJ....160...83S
1994|TYC 5038-263-1                                                                                           |Star                                  |16 17 10.8015400416 -01 57 22.586689872|011.0109628988166 +32.6104756005075| -4.444 -10.464   |10.23    |~              |    ~     ~    |    1|  629.485   pc  |  -6.6570     +6.6570    |paral   |2020yCat.1350....0G
1995|HD 146916                                                                                                |Star                                  |16 18 45.3278616048 -01 06 03.859481916|012.1149728886243 +32.7621950946446|   0.666 -1.585   |8.84     |K4/5(III)      |    ~     ~    |    1|  886.918   pc  | -19.5869    +19.5869    |paral   |2020yCat.1350....0G
1996|BD-00 3093                                                                                               |Star                                  |16 19 00.4689552120 -01 12 40.733227944|012.0475858182644 +32.6485437581028|  -12.511 0.517   |10.45    |A2             |    ~     ~    |    1|  488.303   pc  | -20.0400    +20.0400    |ST-L    |2020AJ....160...83S
1997|HD 147027                                                                                                |Star                                  |16 19 23.7581325024 -00 46 29.330076432|012.5436267214580 +32.8092214959305|-15.444 -12.809   |9.469    |F6V            |    ~     ~    |    1|  194.145   pc  |  -2.6630     +2.6630    |ST-L    |2020AJ....160...83S
1998|HD 147026                                                                                                |Spectroscopic Binary                  |16 19 26.5499953296 -00 42 19.123723044|012.6202726357415 +32.8378096305281| -14.554 -6.172   |9.565    |F3IV           |    ~     ~    |    1|  136.053   pc  |  -1.2140     +1.2140    |ST-L    |2020AJ....160...83S
1999|BD-00 3096                                                                                               |Star                                  |16 20 21.2755890192 -01 15 09.081178776|012.2282171101142 +32.3455602907973|  -22.302 4.033   |9.91     |F8             |    ~     ~    |    1|  127.557   pc  |  -1.0130     +1.0130    |ST-L    |2020AJ....160...83S
2000|HD 147176                                                                                                |High Proper Motion Star               |16 20 22.5909765336 -00 58 29.879574924|012.5058391532247 +32.4943773398710|-18.803 -52.663   |8.89     |F5V            |    ~     ~    |    1|  201.861   pc  |  -1.9192     +1.9192    |paral   |2020yCat.1350....0G
2001|BD-00 3098                                                                                               |Star                                  |16 20 25.7537035704 -00 54 30.127366008|012.5803405510257 +32.5200956078058|  2.359 -13.273   |10.315   |K0             |    ~     ~    |    1|  717.700   pc  | -27.4900    +27.4900    |ST-L    |2020AJ....160...83S
2002|HD 147294                                                                                                |High Proper Motion Star               |16 21 16.1219155872 -01 52 11.803702584|011.7720149550207 +31.8126626263587|-23.156 -78.466   |8.94     |F8V            |    ~     ~    |    1|   94.221   pc  |  -0.2255     +0.2255    |paral   |2020yCat.1350....0G
2003|BD-02 4155                                                                                               |Star                                  |16 19 00.8952976944 -02 31 34.880979504|010.7603136259660 +31.9103521136511|   0.861 -9.348   |10.52    |~              |    ~     ~    |    1|  377.151   pc  |  -8.7180     +8.7180    |ST-L    |2020AJ....160...83S
2004|TYC 5034-589-1                                                                                           |Star                                  |16 19 56.7231219312 -00 29 23.973376092|012.9166236881987 +32.8510964178389|  -28.150 2.793   |10.280   |~              |    ~     ~    |    1| 2078.910   pc  |-292.8000   +292.8000    |ST-L    |2020AJ....160...83S
2005|TYC 5034-762-1                                                                                           |Star                                  |16 20 11.3489064528 -00 44 34.340365428|012.7051177522128 +32.6612991819430|    0.519 9.091   |10.5     |~              |    ~     ~    |    1| 1045.916   pc  | -19.5815    +19.5815    |paral   |2020yCat.1350....0G
2006|TYC 5034-402-1                                                                                           |Star                                  |16 20 12.5410572864 -01 26 45.480790320|012.0138857369166 +32.2685637920979| -2.837 -13.816   |10.24    |~              |    ~     ~    |    1| 1129.178   pc  | -24.9908    +24.9908    |paral   |2020yCat.1350....0G
2007|TYC 5038-230-1                                                                                           |Star                                  |16 20 46.8377470368 -02 14 08.212914996|011.3352183561778 +31.7094380704183|  10.029 -8.166   |10.494   |~              |    ~     ~    |    1|  812.816   pc  | -54.9900    +54.9900    |ST-L    |2020AJ....160...83S
2008|BD+00 3523                                                                                               |Star                                  |16 27 29.0385099576 -00 00 47.573426124|014.5964543782349 +31.5250942353086| -8.781 -14.399   |9.971    |~              |    ~     ~    |    1|  194.670   pc  |  -2.2360     +2.2360    |ST-L    |2020AJ....160...83S
2009|BD+00 3510                                                                                               |Star                                  |16 23 05.0798114472 -00 09 23.273409960|013.7563772190555 +32.3748337078648|-11.199 -18.136   |9.933    |F5             |    ~     ~    |    1|  185.741   pc  |  -2.1870     +2.1870    |ST-L    |2020AJ....160...83S
2010|HD 147642                                                                                                |High Proper Motion Star               |16 23 07.5845830296 -00 15 48.688209000|013.6565852995642 +32.3080337913439|-47.148 -22.453   |8.16     |F7/8V          |    ~     ~    |    1|   57.370   pc  |  -0.0885     +0.0885    |paral   |2020yCat.1350....0G
2011|HD 147871                                                                                                |Star                                  |16 24 24.4398732288 -00 11 48.075664092|013.9278357214373 +32.0749690009296|   0.707 -4.073   |8.54     |K5III          |    ~     ~    |    1|  522.439   pc  |  -8.4885     +8.4885    |paral   |2020yCat.1350....0G
2012|BD+00 3521                                                                                               |Star                                  |16 26 21.2662555992 -00 13 11.615894868|014.2138386796034 +31.6524940796541|  3.632 -12.549   |9.35     |K2             |    ~     ~    |    1|  420.221   pc  |  -3.4258     +3.4258    |paral   |2020yCat.1350....0G
2013|HD 148712                                                                                                |Star                                  |16 29 59.9026228848 -00 07 36.038076060|014.8768190228387 +30.9330323334028|-20.792 -37.409   |7.51     |M3III          |    ~     ~    |    1|  323.666   pc  |  -2.9333     +2.9333    |paral   |2020yCat.1350....0G
2014|BD-00 3100                                                                                               |Star                                  |16 21 31.4853990456 -01 15 00.629003628|012.4216835441400 +32.1031590647881|  6.634 -11.380   |9.50     |K5             |    ~     ~    |    1|  432.370   pc  | -11.9200    +11.9200    |ST-L    |2020AJ....160...83S
2015|HD 147574                                                                                                |Star                                  |16 22 45.2117849208 -00 28 40.391464548|013.3838016669541 +32.2697780256339|  -10.812 9.762   |9.508    |G8III/IV       |    ~     ~    |    1|  342.263   pc  |  -6.6900     +6.6900    |ST-L    |2020AJ....160...83S
2016|BD-00 3104                                                                                               |Star                                  |16 22 58.0850355576 -00 59 40.420726044|012.9075482479568 +31.9425395975763|   -8.152 0.148   |10.3     |G5             |    ~     ~    |    1|  871.080   pc  | -14.8721    +14.8721    |paral   |2020yCat.1350....0G
2017|HD 147645                                                                                                |Pulsating Variable                    |16 23 05.9232790200 -00 51 22.179797100|013.0651291645760 +31.9910104096010|-18.737 -11.567   |7.44     |A6V            |    ~     ~    |    1|  130.438   pc  |  -3.0914     +3.0914    |paral   |2020yCat.1350....0G
2018|HD 147644                                                                                                |High Proper Motion Star               |16 23 09.4455462456 -00 42 29.012549940|013.2208891010399 +32.0596466163337|-110.493 -198.533 |8.19     |F8V            |    ~     ~    |    1|   63.905   pc  |  -0.0992     +0.0992    |paral   |2020yCat.1350....0G
2019|HD 147643                                                                                                |Star                                  |16 23 12.0770702664 -00 33 54.905479164|013.3692530747919 +32.1283202172740|  0.766 -34.993   |8.11     |K0III          |    ~     ~    |    1|  173.445   pc  |  -9.1844     +9.1844    |paral   |2020yCat.1350....0G
2020|BD-00 3114                                                                                               |Star                                  |16 26 30.1003129920 -01 01 45.320964276|013.4395352488572 +31.1836666379571|  -2.502 13.122   |10.540   |K0             |    ~     ~    |    1|  678.028   pc  | -25.2300    +25.2300    |ST-L    |2020AJ....160...83S
2021|HD 148375                                                                                                |Star                                  |16 27 42.0038446584 -00 47 14.743395996|013.8666465620021 +31.0631232538675|  -0.430 -8.456   |9.41     |A0V            |    ~     ~    |    1|  448.471   pc  |  -6.5768     +6.5768    |paral   |2020yCat.1350....0G
2022|HD 148408                                                                                                |High Proper Motion Star               |16 27 48.2177572650 -01 04 08.771024165|013.6068335547564 +30.8887988533711|-345.369 -101.387 |9.62     |G5/6V          |    ~     ~    |    1|   59.8319  pc  |  -0.0769     +0.0769    |paral   |2020yCat.1350....0G
2023|BD-00 3120                                                                                               |Star                                  |16 28 25.5432145776 -00 44 26.996121240|014.0266810051941 +30.9356130001126|    2.856 6.051   |9.53     |A2             |    ~     ~    |    1|  669.254   pc  |  -9.1372     +9.1372    |paral   |2020yCat.1350....0G
2024|HD 148475                                                                                                |Star                                  |16 28 25.8424099968 -00 22 17.620582404|014.3907329047957 +31.1332387072154|  1.033 -41.466   |9.53     |G0V            |    ~     ~    |    1|  243.778   pc  |  -0.9033     +0.9033    |paral   |2020yCat.1350....0G
2025|HD 148496                                                                                                |Star                                  |16 28 31.2041784384 -00 48 09.089375940|013.9809744278250 +30.8824681065044|  -10.241 6.490   |9.03     |A0V            |    ~     ~    |    1|  361.624   pc  | -17.3535    +17.3535    |paral   |2020yCat.1350....0G
2026|BD-00 3124                                                                                               |Star                                  |16 28 58.7580789792 -01 04 19.197398892|013.7893194740826 +30.6402470129657| -7.497 -11.084   |10.047   |K2             |    ~     ~    |    1|  904.975   pc  | -50.0700    +50.0700    |ST-L    |2020AJ....160...83S
2027|BD-01 3173                                                                                               |Double or Multiple Star               |16 22 36.1329609841 -01 36 56.776660337|012.2381717145919 +31.6766674755608|   2.333 -4.301   |10.00    |F5             |    ~     ~    |    1|  357.556   pc  | -37.3500    +37.3500    |ST-L    |2020AJ....160...83S
2028|HD 147550                                                                                                |Star                                  |16 22 38.9052134400 -02 04 47.519268672|011.7927453061593 +31.4094372587710| -10.694 -6.556   |6.241    |B9V            |    ~     ~    |    1|  144.754   pc  |  -2.6210     +2.6210    |ST-L    |2020AJ....160...83S
2029|HD 147699                                                                                                |Star                                  |16 23 33.1113932736 -02 01 29.576224236|011.9931677263815 +31.2523959894165|  -7.114 -1.952   |9.32     |K0III          |    ~     ~    |    1|  462.449   pc  |  -3.6356     +3.6356    |paral   |2020yCat.1350....0G
2030|BD-01 3179                                                                                               |Star                                  |16 23 57.4128383832 -01 58 32.297761992|012.1067239371812 +31.1955151113870|-16.594 -17.234   |10.71    |M0             |    ~     ~    |    1|  801.025   pc  | -11.4212    +11.4212    |paral   |2020yCat.1350....0G
2031|BD-01 3182                                                                                               |Star                                  |16 24 48.5084912064 -01 57 18.624711600|012.2642170700372 +31.0296538912599|  -1.763 -3.100   |9.88     |G0             |    ~     ~    |    1|  229.116   pc  |  -2.4095     +2.4095    |paral   |2020yCat.1350....0G
2032|BD-01 3185                                                                                               |Star                                  |16 25 36.8517785112 -01 22 17.230503720|012.9628616772145 +31.1827650650338|    4.301 0.544   |10.440   |K5             |    ~     ~    |    1| 1316.840   pc  |-108.6000   +108.6000    |ST-L    |2020AJ....160...83S
2033|HD 148209                                                                                                |Star                                  |16 26 37.4205221760 -01 48 34.059203100|012.6971924276943 +30.7315574050814|  -0.342 15.180   |8.94     |K2/3III        |    ~     ~    |    1|  368.840   pc  |  -3.4011     +3.4011    |paral   |2020yCat.1350....0G
2034|HD 148332                                                                                                |Star                                  |16 27 23.3797130904 -01 22 26.948249940|013.2431254877674 +30.8096758279789|  -4.113 -5.229   |9.47     |F2/3V          |    ~     ~    |    1|  313.067   pc  |  -8.2525     +8.2525    |paral   |2020yCat.1350....0G
2035|BD-01 3191                                                                                               |Star                                  |16 27 31.5033929688 -01 22 43.169573820|013.2602093201652 +30.7788535483914| 11.518 -11.764   |9.77     |K0             |    ~     ~    |    1|  365.297   pc  |  -2.6688     +2.6688    |paral   |2020yCat.1350....0G
2036|BD-01 3193                                                                                               |Star                                  |16 27 41.7192813960 -02 06 16.450583472|012.5819560526944 +30.3456415371949| 27.125 -18.392   |10.467   |G0             |    ~     ~    |    1|  109.631   pc  |  -0.7861     +0.7861    |ST-L    |2020AJ....160...83S
2037|BD-01 3194                                                                                               |Star                                  |16 27 47.2680752136 -01 38 57.576368760|013.0382469055367 +30.5760467392849|   1.608 -2.689   |10.98    |B8             |    ~     ~    |    1|  993.101   pc  |+179.178      +5         |ST-L    |2017AJ....153...75K
2038|BD-01 3195                                                                                               |Star                                  |16 28 06.7765237632 -01 35 02.260901400|013.1533814848498 +30.5437127115123|  21.674 -3.540   |9.566    |K0             |    ~     ~    |    1|  230.079   pc  |  -3.4810     +3.4810    |ST-L    |2020AJ....160...83S
2039|HD 148559                                                                                                |Star                                  |16 29 02.1428495760 -01 48 33.272913456|013.0806249698033 +30.2275086753965|   10.742 0.411   |9.05     |A2V            |    ~     ~    |    1|  404.793   pc  |  -3.7523     +3.7523    |paral   |2020yCat.1350....0G
2040|BD-01 3201                                                                                               |Star                                  |16 29 55.4456981256 -01 49 41.733621336|013.2023154354339 +30.0311396001584|   8.852 -7.462   |10.514   |A0             |    ~     ~    |    1|  587.691   pc  | -31.3900    +31.3900    |ST-L    |2020AJ....160...83S
2041|HD 147738                                                                                                |Star                                  |16 23 43.7201447304 -02 15 54.307174392|011.7885218846482 +31.0821427139740|    2.070 2.192   |8.32     |G8III          |    ~     ~    |    1|  344.602   pc  |  -3.1113     +3.1113    |paral   |2020yCat.1350....0G
2042|HD 147805                                                                                                |Star                                  |16 24 05.3478829824 -02 19 26.128877124|011.7899717962758 +30.9745865589778|  -14.425 5.636   |9.55     |F3V            |    ~     ~    |    1|  195.362   pc  | -19.5068    +19.5068    |paral   |2020yCat.1350....0G
2043|BD-01 3189                                                                                               |Star                                  |16 26 50.3093038392 -02 08 40.695843012|012.4064083302337 +30.5022082643426|  -0.313 10.724   |9.760    |K2             |    ~     ~    |    1|  907.612   pc  | -53.6100    +53.6100    |ST-L    |2020AJ....160...83S
2044|HD 148476                                                                                                |Star                                  |16 28 34.1905326336 -02 18 36.182505204|012.5225884476753 +30.0501455457290|  -8.888 -4.437   |9.077    |M0III          |    ~     ~    |    1|  488.326   pc  | -16.4500    +16.4500    |ST-L    |2020AJ....160...83S
2045|HD 147853                                                                                                |Star                                  |16 24 27.9074584800 -02 28 10.187722812|011.7100182432970 +30.8155135660670|  -4.962 15.973   |9.56     |A9V            |    ~     ~    |    1|  270.278   pc  |  -1.3953     +1.3953    |paral   |2020yCat.1350....0G
2046|HD 147907                                                                                                |Star                                  |16 24 39.4495372176 -02 29 17.130140340|011.7232009094737 +30.7652537667103|-32.253 -13.740   |7.23     |F2III          |    ~     ~    |    1|   67.327   pc  |  -0.1133     +0.1133    |paral   |2020yCat.1350....0G
2047|HD 147929                                                                                                |Star                                  |16 24 52.0571181792 -02 28 16.597597728|011.7734560154720 +30.7310233326282|-13.949 -23.486   |8.10     |M3III          |    ~     ~    |    1|  388.606   pc  |  -4.0472     +4.0472    |paral   |2020yCat.1350....0G
2048|BD-02 4181                                                                                               |Star                                  |16 24 52.8431065680 -02 21 31.148211852|011.8844936909906 +30.7909476479601| 16.552 -11.365   |9.69     |K2             |    ~     ~    |    1|  413.753   pc  |  -3.5437     +3.5437    |paral   |2020yCat.1350....0G
2049|BD-02 4182                                                                                               |Star                                  |16 25 02.4860776704 -02 33 17.965325628|011.7207044376156 +30.6483511465981|  4.526 -14.870   |9.39     |K2             |    ~     ~    |    1|  955.110   pc  | -17.8798    +17.8798    |paral   |2020yCat.1350....0G
2050|BD-02 4187                                                                                               |High Proper Motion Star               |16 26 49.5162716640 -02 26 05.222398488|012.1238783068660 +30.3445965255866|-67.033 -173.663  |9.82     |G5             |    ~     ~    |    1|   83.624   pc  |  -0.1280     +0.1280    |paral   |2020yCat.1350....0G
2051|LP 625-49                                                                                                |High Proper Motion Star               |16 25 59.2479987024 -01 05 29.884468488|013.2965166748874 +31.2575046299609| 9.531 -170.229   |10.265   |~              |    ~     ~    |    1|   69.816   pc  |  -0.3903     +0.3903    |ST-L    |2020AJ....160...83S
