C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.25CEST07:13:43

dec >=0&rah >=13.5&rah< 13.75&(cat='NGC'|Vmag< 11)
--------------------------------------------------

Number of objects : 3219

 #  |                                               identifier                                                |                typ                 |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |   spec. type   |   ang. size   |#Dist| distance Q unit|  err-        err+     | method |     reference     
----|---------------------------------------------------------------------------------------------------------|------------------------------------|---------------------------------------|-----------------------------------|------------------|---------|----------------|---------------|-----|----------------|-----------------------|--------|-------------------
654 |HD 119170                                                                                                |High Proper Motion Star             |13 40 33.1879541112 +46 16 51.308140440|099.2611558186631 +68.5249529044201|  -53.138 7.704   |7.53     |F8              |    ~     ~    |    1|  124.462   pc  |  -0.2881     +0.2881  |paral   |2020yCat.1350....0G
655 |BD+47 2078                                                                                               |High Proper Motion Star             |13 40 35.6664661992 +46 42 33.331825044|099.8399851117829 +68.1536279326648| 38.927 -42.922   |9.57     |G5              |    ~     ~    |    1|  252.099   pc  |  -0.8961     +0.8961  |paral   |2020yCat.1350....0G
656 |BD+47 2079                                                                                               |Star                                |13 40 48.1640945160 +46 35 02.509978380|099.5849133061125 +68.2429916172078|   -6.418 6.892   |9.13     |K0              |    ~     ~    |    1|  479.501   pc  |  -2.9200     +2.9200  |paral   |2020yCat.1350....0G
657 |BD+47 2081                                                                                               |Spectroscopic Binary                |13 41 37.2010132848 +46 55 07.780433124|099.7233574164449 +67.8838087640405|-58.384 -46.826   |9.53     |G8V             |    ~     ~    |    1|   62.054   pc  |  -0.1251     +0.1251  |paral   |2020yCat.1350....0G
658 |BD+47 2082                                                                                               |Star                                |13 41 44.1118314720 +46 43 10.246834020|099.4043232914115 +68.0443932908076|  8.744 -12.208   |9.47     |G5              |    ~     ~    |    1|  548.035   pc  |  -4.1147     +4.1147  |paral   |2020yCat.1350....0G
659 |BD+47 2083                                                                                               |High Proper Motion Star             |13 42 40.4080042824 +46 33 26.104286808|098.8094048362171 +68.0983071930884| 54.352 -44.765   |10.61    |G4V             |    ~     ~    |    1|  179.417   pc  |  -2.7555     +2.7555  |paral   |2020yCat.1350....0G
660 |BD+46 1881                                                                                               |Star                                |13 34 05.3079058080 +46 08 48.038331804|101.7807360726750 +69.1906092803751|-21.348 -17.654   |8.96     |K0              |    ~     ~    |    1|  415.541   pc  |  -1.9685     +1.9685  |paral   |2020yCat.1350....0G
661 |HD 118142                                                                                                |Spectroscopic Binary                |13 34 07.5860579472 +45 58 50.538547992|101.5461835810493 +69.3344585561091| 11.928 -16.590   |8.28     |K0              |    ~     ~    |    1|  367.485   pc  |  -3.1466     +3.1466  |paral   |2020yCat.1350....0G
662 |BD+46 1886                                                                                               |Star                                |13 35 20.2591485144 +45 54 17.346166704|100.9192884916014 +69.3016698882777| -36.704 13.402   |10.03    |F2              |    ~     ~    |    1|  254.440   pc  |  -4.3246     +4.3246  |paral   |2020yCat.1350....0G
663 |BD+46 1890                                                                                               |Star                                |13 39 26.9634790176 +46 12 40.864953852|099.6122999514149 +68.6825732821380|    3.266 9.521   |9.72     |F5              |    ~     ~    |    1|  250.482   pc  |  -0.8847     +0.8847  |paral   |2020yCat.1350....0G
664 |V* CO CVn                                                                                                |Long-Period Variable                |13 30 12.6627818256 +45 44 06.873602568|102.9736587218833 +69.8611311224562|  -37.662 2.299   |7.22     |Ma              |    ~     ~    |    1|  381.083   pc  |  -4.8795     +4.8795  |paral   |2020yCat.1350....0G
665 |BD+46 1879                                                                                               |Double or Multiple Star             |13 33 19.3057 +45 26 20.466            |101.1738769 +69.8788193            |   13.80 -11.00   |9.29     |A5              |    ~     ~    |    0|                |                       |        |                   
666 |HD 118095                                                                                                |High Proper Motion Star             |13 33 51.6580762992 +45 35 58.693899444|101.1517345792739 +69.6926449754914|  74.804 24.960   |7.56     |F0              |    ~     ~    |    1|   90.658   pc  |  -0.4340     +0.4340  |paral   |2020yCat.1350....0G
667 |BD+46 1883                                                                                               |High Proper Motion Star             |13 34 31.4483255352 +45 42 18.684304560|101.0023705322112 +69.5447728716225| -49.481 17.554   |9.64     |F5              |    ~     ~    |    1|  192.297   pc  |  -0.5251     +0.5251  |paral   |2020yCat.1350....0G
668 |HD 118263                                                                                                |High Proper Motion Star             |13 34 50.5055384304 +45 27 22.140189828|100.5187221998457 +69.7365995206587| -55.810 10.413   |8.75     |G0              |    ~     ~    |    1|  151.300   pc  |  -0.3731     +0.3731  |paral   |2020yCat.1350....0G
669 |HD 118790                                                                                                |Star                                |13 38 10.6240782552 +45 23 44.627018280|098.9762904452515 +69.4967576040139|-18.990 -28.494   |8.46     |G5              |    ~     ~    |    1|   61.903   pc  |  -0.0621     +0.0621  |paral   |2020yCat.1350....0G
670 |BD+47 2068                                                                                               |Star                                |13 33 34.0009572578 +46 47 48.424279013|102.8260493088018 +68.6526467158135|   4.928 10.015   |8.81     |G5              |    ~     ~    |    1|  311.381   pc  |  -1.3574     +1.3574  |paral   |2020yCat.1350....0G
671 |BD+48 2142                                                                                               |Double or Multiple Star             |13 39 31.6669 +47 19 28.657            |101.0766137 +67.7110197            |    3.076 2.697   |10.55    |G3V             |    ~     ~    |    0|                |                       |        |                   
672 |TYC 3463-51-1                                                                                            |Star                                |13 30 53.6827047192 +45 54 43.869077640|102.8874052089181 +69.6499336732958| 15.965 -14.448   |10.44    |~               |    ~     ~    |    1|  343.112   pc  |  -1.4833     +1.4833  |paral   |2020yCat.1350....0G
673 |TYC 3463-150-1                                                                                           |Star                                |13 44 49.4695364328 +47 29 27.030066576|099.2879022141883 +67.1120298949523|  20.654 -4.024   |10.69    |G9V             |    ~     ~    |    1|  422.066   pc  |  -2.1555     +2.1555  |paral   |2020yCat.1350....0G
674 |TYC 3463-185-1                                                                                           |High Proper Motion Star             |13 38 41.2449869352 +47 10 15.879850536|101.2086484645722 +67.9145646052696|  0.215 -50.606   |10.46    |F7V             |    ~     ~    |    1|  245.718   pc  |  -0.7668     +0.7668  |paral   |2020yCat.1350....0G
675 |TYC 3463-273-1                                                                                           |Star                                |13 36 35.3363769240 +46 17 08.060705340|100.8998959305960 +68.8635105793786|  4.092 -18.394   |10.14    |~               |    ~     ~    |    1|  287.134   pc  |  -1.0471     +1.0471  |paral   |2020yCat.1350....0G
676 |TYC 3463-373-1                                                                                           |Star                                |13 40 39.6454341768 +46 07 31.755715248|098.9966100896204 +68.6481485977511|   4.440 -4.946   |10.93    |~               |    ~     ~    |    1|  607.201   pc  |  -4.2768     +4.2768  |paral   |2020yCat.1350....0G
677 |TYC 3463-374-1                                                                                           |Spectroscopic Binary                |13 32 05.6532145896 +45 50 00.632106456|102.2493750355880 +69.6275284390154|  3.200 -29.506   |10.60    |~               |    ~     ~    |    1|  191.865   pc  |  -2.5953     +2.5953  |paral   |2020yCat.1350....0G
678 |TYC 3463-383-1                                                                                           |Star                                |13 32 35.6142334272 +46 54 38.951534484|103.3740813879930 +68.6237825234794| -22.290 -1.512   |10.91    |~               |    ~     ~    |    1|  317.803   pc  |  -1.2625     +1.2625  |paral   |2020yCat.1350....0G
679 |TYC 3463-477-1                                                                                           |High Proper Motion Star             |13 38 54.8361202776 +45 18 16.572841812|098.5252192746517 +69.5075061333233| -145.848 5.630   |10.09    |~               |    ~     ~    |    1|  136.747   pc  |  -0.2674     +0.2674  |paral   |2020yCat.1350....0G
680 |V* EN CVn                                                                                                |Spectroscopic Binary                |13 32 05.2705625688 +46 00 07.407929448|102.4690959300090 +69.4774683238959|-18.623 -24.922   |10.89    |F6              |    ~     ~    |    1|  278.777   pc  |  -1.0647     +1.0647  |paral   |2020yCat.1350....0G
681 |TYC 3463-706-1                                                                                           |Star                                |13 42 53.4883972296 +46 30 22.673746692|098.6516649944047 +68.1216197511959|-12.217 -23.915   |10.78    |~               |    ~     ~    |    1|  392.388   pc  |  -2.0016     +2.0016  |paral   |2020yCat.1350....0G
682 |TYC 3463-958-1                                                                                           |Star                                |13 38 44.1992520792 +45 14 41.005288392|098.5117366689745 +69.5748568415923| -41.187 17.575   |10.61    |~               |    ~     ~    |    1|  296.595   pc  |  -1.1436     +1.1436  |paral   |2020yCat.1350....0G
683 |TYC 3463-988-1                                                                                           |Star                                |13 39 07.6533725904 +45 42 19.929992760|099.0248061131305 +69.1455088128016|   -0.108 2.534   |10.54    |~               |    ~     ~    |    1|  568.085   pc  |  -4.1631     +4.1631  |paral   |2020yCat.1350....0G
684 |TYC 3466-975-1                                                                                           |Star                                |13 36 46.8503389896 +47 47 35.323319976|102.7307948080250 +67.5175527943927| 18.523 -43.220   |10.48    |G6V             |    ~     ~    |    1|  287.035   pc  |  -3.4686     +3.4686  |paral   |2020yCat.1350....0G
685 |TYC 3466-1061-1                                                                                          |Star                                |13 39 47.0449059048 +47 38 45.198874104|101.3873599077414 +67.4093329526356| -37.564 -0.342   |10.56    |G0V             |    ~     ~    |    1|  158.408   pc  |  -0.3388     +0.3388  |paral   |2020yCat.1350....0G
686 |TYC 3466-1208-1                                                                                          |Star                                |13 44 46.2210403536 +47 31 58.619304156|099.3649459777273 +67.0810840440521|  5.680 -17.278   |10.06    |~               |    ~     ~    |    1|  593.225   pc  |  -4.3286     +4.3286  |paral   |2020yCat.1350....0G
687 |TYC 3466-1246-1                                                                                          |Star                                |13 38 38.4839516712 +47 51 00.198061092|102.0795061206862 +67.3220012285856| 14.994 -33.168   |10.52    |~               |    ~     ~    |    1|  183.523   pc  |  -0.5119     +0.5119  |paral   |2020yCat.1350....0G
688 |TYC 3463-978-1                                                                                           |Star                                |13 30 54.2777294904 +46 48 55.043717652|103.9797999368092 +68.8339928089326| -10.277 -0.259   |10.85    |~               |    ~     ~    |    1|  238.180   pc  |  -0.6694     +0.6694  |paral   |2020yCat.1350....0G
689 |TYC 3463-772-1                                                                                           |Star                                |13 33 32.7769689936 +46 28 32.664844128|102.4355126815467 +68.9409723509068|-36.465 -11.201   |10.32    |~               |    ~     ~    |    1|  181.802   pc  |  -0.4198     +0.4198  |paral   |2020yCat.1350....0G
690 |TYC 3466-1058-1                                                                                          |Star                                |13 35 43.0032247584 +47 39 51.028368984|102.9956952048577 +67.7137097970669| -14.870 -1.233   |10.54    |~               |    ~     ~    |    1|  963.948   pc  | -11.8008    +11.8008  |paral   |2020yCat.1350....0G
691 |BD+48 2128                                                                                               |Star                                |13 33 26.4567420000 +48 10 30.106688880|104.4791028192052 +67.4205478577012| 23.841 -32.976   |9.25     |K2              |    ~     ~    |    1|  669.344   pc  |  -5.8691     +5.8691  |paral   |2020yCat.1350....0G
692 |BD+48 2124                                                                                               |Star                                |13 30 46.9741813920 +47 59 36.938930604|105.3440402184725 +67.7688308254353|  -20.148 1.868   |9.30     |K0              |    ~     ~    |    1|  480.354   pc  |  -2.7458     +2.7458  |paral   |2020yCat.1350....0G
693 |BD+48 2125                                                                                               |Star                                |13 31 01.7931137088 +47 42 30.333899016|104.9363577290454 +68.0127454941161|-29.774 -14.033   |9.59     |F8              |    ~     ~    |    1|  128.212   pc  |  -0.2301     +0.2301  |paral   |2020yCat.1350....0G
694 |TYC 3466-1024-1                                                                                          |Star                                |13 32 43.6931491896 +47 45 07.231139028|104.2932673538055 +67.8543484582591|  -17.240 9.515   |10.34    |~               |    ~     ~    |    1|  395.226   pc  |  -2.7336     +2.7336  |paral   |2020yCat.1350....0G
695 |TYC 3466-1070-1                                                                                          |Star                                |13 30 45.6243894216 +47 47 02.695856856|105.1288794511317 +67.9620598180477|  11.179 -6.448   |10.69    |~               |    ~     ~    |    1|  374.728   pc  |  -1.9378     +1.9378  |paral   |2020yCat.1350....0G
696 |TYC 3466-997-1                                                                                           |Star                                |13 30 07.8706242936 +47 44 17.192067000|105.3379334112222 +68.0467068027155|  -7.830 10.282   |10.75    |~               |    ~     ~    |    1| 1238.543   pc  | -23.3166    +23.3166  |paral   |2020yCat.1350....0G
697 |BD+43 2348                                                                                               |Star                                |13 43 28.3665392088 +42 29 25.415786616|091.6830101248807 +71.3389604009176|  -22.890 0.147   |10.08    |K0              |    ~     ~    |    1|  713.878   pc  |  -6.8799     +6.8799  |paral   |2020yCat.1350....0G
698 |HD 119349                                                                                                |High Proper Motion Star             |13 42 00.8188794072 +42 12 39.914488980|091.7983243843562 +71.7254237257516|-45.289 -79.153   |8.78     |G5              |    ~     ~    |    1|   94.399   pc  |  -0.1114     +0.1114  |paral   |2020yCat.1350....0G
699 |HD 119766                                                                                                |Star                                |13 44 24.1097681976 +41 55 29.507925504|090.1293406864057 +71.6652590576948|  22.175 -5.464   |9.43     |G5              |    ~     ~    |    1|  148.551   pc  |  -0.3111     +0.3111  |paral   |2020yCat.1350....0G
700 |TYC 3029-5-1                                                                                             |Red Giant Branch star               |13 44 06.6668614752 +42 17 50.918431812|091.0154727238909 +71.4142175884120|  0.444 -16.655   |10.25    |~               |    ~     ~    |    1| 1653.713   pc  | -67.8222    +67.8222  |paral   |2020yCat.1350....0G
701 |TYC 3032-629-1                                                                                           |Star                                |13 44 07.7151380616 +42 44 36.292188336|091.8821190558922 +71.0660856834212|   -9.456 8.145   |10.22    |~               |    ~     ~    |    1|  734.754   pc  |  -6.8023     +6.8023  |paral   |2020yCat.1350....0G
702 |HD 118955                                                                                                |Star                                |13 39 21.3395321976 +44 58 57.175400604|097.8467258652434 +69.7398392111689| -11.908 36.920   |8.38     |G5              |    ~     ~    |    1|  342.759   pc  |  -2.0795     +2.0795  |paral   |2020yCat.1350....0G
703 |BD+45 2119                                                                                               |Star                                |13 35 51.7661781864 +44 21 37.898997732|098.4427601132050 +70.5952037060681| -40.197 -2.642   |9.72     |G8III           |    ~     ~    |    1|  312.051   pc  |  -1.2172     +1.2172  |paral   |2020yCat.1350....0G
704 |BD+45 2122                                                                                               |Star                                |13 38 10.7698213728 +44 23 23.987112828|097.4358008496658 +70.3523413864555|-11.020 -24.187   |10.56    |K0              |    ~     ~    |    1|  345.531   pc  |  -1.4924     +1.4924  |paral   |2020yCat.1350....0G
705 |HD 118295                                                                                                |Star                                |13 35 14.0988841800 +44 11 49.362208368|098.4794905123936 +70.7932068142505| -16.359 12.867   |6.826    |A8.5III         |    ~     ~    |    1|  119.316   pc  |  -0.3075     +0.3075  |paral   |2020yCat.1350....0G
706 |BD+44 2286                                                                                               |Star                                |13 35 17.1479049000 +44 07 30.364357044|098.3429488169523 +70.8501892461635|  5.500 -17.976   |10.7     |~               |    ~     ~    |    1| 1093.853   pc  | -17.1101    +17.1101  |paral   |2020yCat.1350....0G
707 |BD+44 2279                                                                                               |Double or Multiple Star             |13 33 08.2119262302 +43 15 09.919284040|097.9774047831908 +71.7979206867227| 21.222 -57.717   |9.31     |K8V:            |    ~     ~    |    1|   31.162   pc  |  -0.1162     +0.1162  |paral   |2020yCat.1350....0G
708 |BD+44 2281                                                                                               |Star                                |13 33 46.1583685248 +43 23 23.185813776|097.8893659815228 +71.6211663186694|   -3.348 1.388   |10.81    |K0III           |    ~     ~    |    1| 1646.091   pc  | -38.7475    +38.7475  |paral   |2020yCat.1350....0G
709 |BD+43 2339                                                                                               |Spectroscopic Binary                |13 32 33.7104052344 +42 43 51.866955768|097.3906216538804 +72.2984253415656| -39.669 -8.709   |8.14     |M0              |    ~     ~    |    1|  553.587   pc  |  -4.8420     +4.8420  |paral   |2020yCat.1350....0G
710 |BD+43 2340                                                                                               |Star                                |13 34 00.8359956072 +43 08 42.210501216|097.3608619102000 +71.8065623194310|  6.265 -24.763   |9.22     |G8III           |    ~     ~    |    1|  394.789   pc  |  -3.0392     +3.0392  |paral   |2020yCat.1350....0G
711 |StKM 1-1078                                                                                              |High Proper Motion Star             |13 35 26.1445234992 +43 45 56.792621088|097.6976406610591 +71.1429215769038|-122.235 -13.249  |10.96    |K4              |    ~     ~    |    1|   42.105   pc  |  -0.0209     +0.0209  |paral   |2020yCat.1350....0G
712 |BD+45 2126                                                                                               |Star                                |13 41 41.3403436968 +44 47 33.569314620|096.5492999393523 +69.6735759112005| -9.935 -29.634   |10.02    |K2              |    ~     ~    |    1| 1347.891   pc  | -26.5254    +26.5254  |paral   |2020yCat.1350....0G
713 |BD+44 2292                                                                                               |Star                                |13 39 45.3506193840 +44 03 19.468860408|096.1845800714459 +70.4780771929217|  9.470 -14.214   |9.82     |F2              |    ~     ~    |    1|  293.075   pc  |  -2.6283     +2.6283  |paral   |2020yCat.1350....0G
714 |HD 119245                                                                                                |Star                                |13 41 12.6499017216 +44 04 37.940672964|095.5775506883926 +70.3128362282538| -46.782 14.143   |8.97     |G               |    ~     ~    |    1|  151.281   pc  |  -0.3433     +0.3433  |paral   |2020yCat.1350....0G
715 |BD+44 2288                                                                                               |Star                                |13 37 28.0213761192 +43 34 11.926315416|096.4146071214982 +71.1108522862562|   -8.731 6.493   |9.31     |M0              |    ~     ~    |    1|  612.033   pc  |  -7.3793     +7.3793  |paral   |2020yCat.1350....0G
716 |HD 118722                                                                                                |Star                                |13 37 51.5658140112 +43 22 00.178158792|095.8825955458466 +71.2409220274059| -0.186 -21.464   |9.14     |G5              |    ~     ~    |    1|  105.516   pc  |  -0.3207     +0.3207  |paral   |2020yCat.1350....0G
717 |HD 118871                                                                                                |High Proper Motion Star             |13 38 52.6109381808 +43 43 03.289302768|096.0129874195001 +70.8468345531924|-39.789 -59.925   |9.04     |K0              |    ~     ~    |    1|  222.911   pc  |  -0.7006     +0.7006  |paral   |2020yCat.1350....0G
718 |HD 118243                                                                                                |Double or Multiple Star             |13 34 50.0754460296 +42 41 34.353674520|096.1689002679329 +72.1078256769935| -57.837 21.400   |8.95     |G5              |0.0083  0.0    |    1|  127.997   pc  |  -2.1953     +2.1953  |paral   |2020yCat.1350....0G
719 |BD+43 2343                                                                                               |High Proper Motion Star             |13 38 24.9214999800 +43 06 13.179595428|095.1592414189092 +71.4014970991442| -28.172 51.454   |10.06    |F8              |    ~     ~    |    1|  119.875   pc  |  -0.1753     +0.1753  |paral   |2020yCat.1350....0G
720 |TYC 3032-544-1                                                                                           |High Proper Motion Star             |13 38 29.2571525880 +43 06 47.769495012|095.1423372714300 +71.3860966999058|  54.942 28.663   |10.46    |~               |    ~     ~    |    1|   75.605   pc  |  -0.0726     +0.0726  |paral   |2020yCat.1350....0G
721 |BD+43 2346                                                                                               |Spectroscopic Binary                |13 41 20.7588483096 +42 33 43.578725004|092.7907352971186 +71.5240660196064| -22.013 -2.674   |10.82    |A5              |    ~     ~    |    1|  553.649   pc  | -14.8052    +14.8052  |paral   |2020yCat.1350....0G
722 |BD+43 2347                                                                                               |Spectroscopic Binary                |13 42 19.2829843200 +43 15 09.396271116|093.6386373780932 +70.8652685783315|   2.892 -6.533   |10.02    |K2              |    ~     ~    |    1|  626.056   pc  | -15.8346    +15.8346  |paral   |2020yCat.1350....0G
723 |BD+43 2344                                                                                               |High Proper Motion Star             |13 40 02.5718970504 +43 14 32.389789200|094.6501004560426 +71.1177318987646| -8.032 -61.228   |10.96    |B8V             |    ~     ~    |    1| 1146.789   pc  | -51.1584    +51.1584  |paral   |2020yCat.1350....0G
724 |BD+44 2296                                                                                               |Horizontal Branch Star              |13 42 34.7484181560 +43 53 41.887605048|094.6685516129743 +70.3196395829587|  -24.578 2.306   |10.28    |~               |    ~     ~    |    1|  797.321   pc  |  -9.4087     +9.4087  |paral   |2020yCat.1350....0G
725 |BD+43 2342                                                                                               |Star                                |13 38 17.1466731432 +42 21 13.839465528|093.8427557924353 +72.0277866041772|  -10.800 3.651   |10.28    |~               |    ~     ~    |    1|  688.990   pc  |  -5.6965     +5.6965  |paral   |2020yCat.1350....0G
726 |TYC 3029-47-1                                                                                            |Star                                |13 39 09.2844053328 +42 16 13.544991156|093.2633613152342 +72.0002599185190|  10.486 -9.577   |10.73    |~               |    ~     ~    |    1|  842.176   pc  |  -9.3622     +9.3622  |paral   |2020yCat.1350....0G
727 |TYC 3029-480-1                                                                                           |Star                                |13 40 35.1962018088 +42 26 10.538511360|092.9026184722360 +71.7089533486519|    2.615 9.327   |10.30    |~               |    ~     ~    |    1|  211.363   pc  |  -0.5942     +0.5942  |paral   |2020yCat.1350....0G
728 |TYC 3032-45-1                                                                                            |Star                                |13 41 20.2854217992 +44 03 52.837517268|095.5006068291800 +70.3101037807269| -47.411 -6.180   |10.59    |~               |    ~     ~    |    1|  211.797   pc  |  -0.8702     +0.8702  |paral   |2020yCat.1350....0G
729 |TYC 3032-99-1                                                                                            |Star                                |13 36 59.8733869728 +43 33 12.842186436|096.6070446453038 +71.1710427595200|  26.997 22.000   |10.62    |~               |    ~     ~    |    1|  214.179   pc  |  -0.6330     +0.6330  |paral   |2020yCat.1350....0G
730 |TYC 3032-125-1                                                                                           |Star                                |13 43 34.4504389656 +43 21 00.724370508|093.2645168399390 +70.6501519346913| -13.810 -7.861   |10.62    |~               |    ~     ~    |    1| 1019.160   pc  | -13.5029    +13.5029  |paral   |2020yCat.1350....0G
731 |TYC 3032-128-1                                                                                           |High Proper Motion Star             |13 44 07.2653231880 +43 33 12.927511152|093.3971205064892 +70.4281881639018|-65.317 -43.745   |10.96    |~               |    ~     ~    |    1|  258.405   pc  |  -0.7812     +0.7812  |paral   |2020yCat.1350....0G
732 |TYC 3032-189-1                                                                                           |Star                                |13 42 52.4006361480 +44 09 20.124727380|094.9902701246779 +70.0770644689755| 13.378 -20.727   |10.58    |~               |    ~     ~    |    1|  326.936   pc  |  -1.7102     +1.7102  |paral   |2020yCat.1350....0G
733 |TYC 3032-201-1                                                                                           |Star                                |13 38 26.0529648912 +44 07 19.656454656|096.8885827253714 +70.5531228986875|-42.231 -15.703   |10.76    |~               |    ~     ~    |    1|  257.069   pc  |  -2.5509     +2.5509  |paral   |2020yCat.1350....0G
734 |TYC 3032-260-1                                                                                           |Star                                |13 35 44.8874428584 +42 35 28.563034668|095.5304673775599 +72.1000931753725|  -25.346 4.134   |10.92    |~               |    ~     ~    |    1|  525.901   pc  |  -4.0933     +4.0933  |paral   |2020yCat.1350....0G
735 |TYC 3032-406-1                                                                                           |Star                                |13 39 36.1872245592 +43 32 24.537820272|095.3763762390199 +70.9195495032625|  19.440 12.299   |9.86     |~               |    ~     ~    |    1|  428.486   pc  |  -2.7724     +2.7724  |paral   |2020yCat.1350....0G
736 |TYC 3032-612-1                                                                                           |Star                                |13 40 37.2124007328 +43 27 13.509569808|094.7630876969144 +70.8845730979277| -3.011 -14.951   |10.32    |~               |    ~     ~    |    1|  296.419   pc  |  -1.9769     +1.9769  |paral   |2020yCat.1350....0G
737 |TYC 3032-649-1                                                                                           |Star                                |13 38 19.4630587536 +44 03 26.235409500|096.8321164466252 +70.6182441876187| -2.419 -12.628   |10.64    |~               |    ~     ~    |    1|  221.415   pc  |  -0.6667     +0.6667  |paral   |2020yCat.1350....0G
738 |TYC 3032-674-1                                                                                           |Spectroscopic Binary                |13 35 34.7776613088 +43 42 17.107690032|097.5296688055046 +71.1811021633464| -16.477 -2.039   |10.28    |~               |    ~     ~    |    1|  961.446   pc  | -30.4121    +30.4121  |paral   |2020yCat.1350....0G
739 |TYC 3032-793-1                                                                                           |Red Giant Branch star               |13 37 10.9018006680 +42 52 17.753512008|095.3328618811064 +71.7204571332534| -6.208 -27.062   |10.61    |~               |    ~     ~    |    1| 1065.417   pc  | -15.5510    +15.5510  |paral   |2020yCat.1350....0G
740 |TYC 3032-969-1                                                                                           |High Proper Motion Star             |13 36 55.6394851008 +44 23 44.850750396|098.0104906547554 +70.4660936952745|-73.870 -37.238   |10.57    |~               |    ~     ~    |    1|  118.521   pc  |  -0.1995     +0.1995  |paral   |2020yCat.1350....0G
741 |TYC 3032-1014-1                                                                                          |Star                                |13 42 58.1293686888 +44 47 22.535964528|096.0055249706073 +69.5483632191141|  9.749 -14.000   |10.07    |~               |    ~     ~    |    1| 1073.883   pc  | -13.9540    +13.9540  |paral   |2020yCat.1350....0G
742 |HD 117576                                                                                                |High Proper Motion Star             |13 30 31.0116407424 +44 34 58.246577328|101.2936794109682 +70.8673318622123|-131.856 -28.976  |8.32     |G5III           |    ~     ~    |    1|   62.234   pc  |  -0.0740     +0.0740  |paral   |2020yCat.1350....0G
743 |BD+45 2114                                                                                               |Star                                |13 31 14.5662219336 +44 39 18.001283832|101.0472830980510 +70.7435182951576| 20.458 -16.243   |8.87     |G8III           |    ~     ~    |    1|  432.414   pc  |  -3.0852     +3.0852  |paral   |2020yCat.1350....0G
744 |HD 117588                                                                                                |High Proper Motion Star             |13 30 36.7076115384 +43 47 24.891371664|100.0910347268524 +71.5591037954323|-45.056 -21.750   |8.49     |F8              |    ~     ~    |    1|  124.073   pc  |  -0.2663     +0.2663  |paral   |2020yCat.1350....0G
745 |BD+44 2275                                                                                               |Star                                |13 30 45.7065671280 +43 58 35.297983992|100.2959917250130 +71.3825603875614| -8.672 -38.163   |10.43    |F8              |    ~     ~    |    1|  179.791   pc  |  -1.5613     +1.5613  |paral   |2020yCat.1350....0G
746 |BD+45 2115                                                                                               |Star                                |13 32 58.9357342416 +44 48 31.699361412|100.4468209608110 +70.4618620479064|  11.917 -2.705   |9.76     |F5              |    ~     ~    |    1|  178.060   pc  |  -3.4844     +3.4844  |paral   |2020yCat.1350....0G
747 |V* CQ CVn                                                                                                |Long-Period Variable Candidate      |13 33 19.7670265584 +44 17 34.129915476|099.5245343343787 +70.8824649192469|  -0.383 -3.017   |8.15     |K3III           |    ~     ~    |    1| 1007.455   pc  | -18.1679    +18.1679  |paral   |2020yCat.1350....0G
748 |BD+45 2118                                                                                               |Star                                |13 33 54.3385533552 +44 54 27.758712816|100.1624178166246 +70.2962165746071| -7.291 -13.433   |9.67     |G8III           |    ~     ~    |    1|  486.169   pc  |  -3.0254     +3.0254  |paral   |2020yCat.1350....0G
749 |HD 118406                                                                                                |Star                                |13 35 58.2967816632 +45 00 54.688974768|099.3832890745175 +70.0220139510124|-45.082 -19.346   |8.10     |F5              |    ~     ~    |    1|  102.924   pc  |  -0.2299     +0.2299  |paral   |2020yCat.1350....0G
750 |HD 117935                                                                                                |Star                                |13 32 53.7991943642 +44 07 48.954527949|099.4852765201318 +71.0621114765081|  -11.824 7.718   |8.57     |F2              |    ~     ~    |    1|  249.576   pc  |  -4.0424     +4.0424  |paral   |2020yCat.1350....0G
751 |BD+44 2280                                                                                               |Star                                |13 33 22.2707514984 +43 46 37.817803848|098.7085988188370 +71.3253294651491|   -6.198 0.910   |10.46    |G8III           |    ~     ~    |    1|  766.754   pc  |  -7.5253     +7.5253  |paral   |2020yCat.1350....0G
752 |BD+44 2277                                                                                               |Star                                |13 31 57.1210718256 +43 28 37.923681756|098.9338488902955 +71.7137071276842| -16.147 11.828   |9.30     |A5              |    ~     ~    |    1|  249.569   pc  |  -0.8533     +0.8533  |paral   |2020yCat.1350....0G
753 |TYC 3031-103-1                                                                                           |Star                                |13 30 42.8556736200 +43 30 42.288380820|099.6122269453764 +71.7941543775777|  3.215 -10.421   |10.16    |~               |    ~     ~    |    1|  797.067   pc  | -22.4902    +22.4902  |paral   |2020yCat.1350....0G
754 |TYC 3031-468-1                                                                                           |Star                                |13 31 54.2942955720 +44 14 58.263149580|100.1423891057574 +71.0446153076265|  6.257 -16.539   |10.91    |~               |    ~     ~    |    1| 1080.147   pc  | -15.5173    +15.5173  |paral   |2020yCat.1350....0G
755 |GSC 03031-00770                                                                                          |Double or Multiple Star             |13 30 37.5769051488 +44 38 00.835530864|101.3122242161489 +70.8133442707158| -27.511 -8.979   |10.622   |~               |    ~     ~    |    1|  175.405   pc  |  -0.4307     +0.4307  |paral   |2020yCat.1350....0G
